"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"12","De'Von Achane","MIA","rb","6","ARZ","16.2","0","0","0","0","0","0","13.5366","61.3775","0.5019","4.3456","3.536","26.3466","0.1593","0.2212","0.1016","0.0296","35.849","0.0092","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","Tyreek Hill","MIA","wr","6","ARZ","18","0","0","0","0","0","0","0.3723","2.193","0.0162","9.1857","6.1478","83.3758","0.525","0.0713","0.0388","0.0274","16.8429","0.0145","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","A.J. Brown","PHI","wr","5","@CIN","17.9","0","0","0","0","0","0","0","0","0","9.9841","6.6141","81.4491","0.5212","0","0","0.0313","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","Jahmyr Gibbs","DET","rb","5","TEN","15.8","0","0","0","0","0","0","12.1182","55.9543","0.5624","4.4878","3.6816","25.6455","0.1067","0.2036","0.094","0.0278","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16","Justin Jefferson","MIN","wr","6","@LA","17.7","0","0","0","0","0","0","0","0","0","9.932","6.6102","83.0546","0.4504","0","0","0.0225","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","Jonathan Taylor","IND","rb","14","@HST","15.4","0","0","0","0","0","0","16.5817","73.2352","0.5507","3.2709","2.6609","17.3712","0.0714","0.2529","0.1145","0.0235","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","Deebo Samuel","SF","wr","9","DAL","17.1","0","0","0","0","0","0","1.994","11.112","0.1607","7.6366","5.4361","73.5133","0.3688","0.0856","0.0442","0.0268","38.774","0.0099","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","Amon-Ra St. Brown","DET","wr","5","TEN","17","0","0","0","0","0","0","0.1396","0.8634","0.0091","9.0421","6.8354","71.889","0.4718","0.0756","0.0415","0.0277","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","Drake London","ATL","wr","12","@TB","17","0","0","0","0","0","0","0","0","0","9.506","6.4628","73.1356","0.5323","0","0","0.0247","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21","Alvin Kamara","NO","rb","12","@LAC","14.8","0","0","0","0","0","0","13.6379","53.9365","0.4721","4.6344","3.668","24.6469","0.0881","0.224","0.103","0.0257","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22","Malik Nabers","NYG","wr","11","@PIT","16.7","0","0","0","0","0","0","0","0","0","10.1852","6.642","75.4877","0.4161","0","0","0.0207","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23","Joe Mixon","HST","rb","14","IND","14.7","0","0","0","0","0","0","16.6001","69.5137","0.5366","2.8115","2.3382","16.8861","0.0915","0.2497","0.1127","0.0251","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24","George Kittle","SF","te","9","DAL","14.3","0","0","0","0","0","0","0","0","0","6.927","4.9685","62.499","0.5072","0","0","0.0219","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25","Stefon Diggs","HST","wr","14","IND","16.3","0","0","0","0","0","0","0.2582","1.5125","0.0122","9.0175","6.2345","73.5336","0.4174","0.0707","0.0386","0.0232","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26","Kenneth Walker III","SEA","rb","10","BUF","13.8","0","0","0","0","0","0","12.5767","58.1376","0.5375","3.035","2.5652","17.5604","0.083","0.1977","0.0901","0.0245","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"27","Brock Bowers","LV","te","10","KC","13.7","0","0","0","0","0","0","0","0","0","8.4071","6.1825","57.3881","0.2861","0","0","0.0171","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"28","DJ Moore","CHI","wr","7","@WAS","15.6","0","0","0","0","0","0","0","0","0","9.2966","6.1757","70.8049","0.3787","0","0","0.0227","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"29","Jaxon Smith-Njigba","SEA","wr","10","BUF","15.6","0","0","0","0","0","0","0","0","0","8.8774","6.4288","67.0126","0.4","0","0","0.0208","18.9671","0.0163","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30","Tank Dell","HST","wr","14","IND","15.5","0","0","0","0","0","0","0.7745","4.4602","0.034","8.4346","5.4059","69.5653","0.4058","0.0687","0.0368","0.0223","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"31","Jalen Hurts","PHI","qb","5","@CIN","22.6","23.7886","33.365","240.1194","1.4231","0.6785","2.5479","9.098","36.6409","0.7121","0","0","0","0","0.442","0.2162","0.1135","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"32","Brian Robinson","WAS","rb","14","CHI","13.5","0","0","0","0","0","0","14.6082","65.4272","0.5905","2.22","1.8339","12.4838","0.0689","0.2173","0.0978","0.0222","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"33","Najee Harris","PIT","rb","9","NYG","13.5","0","0","0","0","0","0","14.932","67.4643","0.3697","2.8809","2.3508","17.1407","0.0927","0.2273","0.1028","0.0225","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"34","James Cook","BUF","rb","12","@SEA","13.5","0","0","0","0","0","0","12.0899","55.6506","0.4246","3.4148","2.7127","19.8262","0.1238","0.1928","0.0881","0.0271","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35","Aaron Jones","MIN","rb","6","@LA","13.4","0","0","0","0","0","0","12.5628","57.9701","0.3381","3.6024","2.8979","20.5067","0.1102","0.2011","0.092","0.0224","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"36","David Njoku","CLV","te","10","BLT","13.2","0","0","0","0","0","0","0","0","0","7.451","5.3729","53.8177","0.4012","0","0","0.0174","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37","DeVonta Smith","PHI","wr","5","@CIN","15.1","0","0","0","0","0","0","0","0","0","8.5382","5.8701","69.8665","0.3727","0","0","0.0268","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"38","Cooper Kupp","LA","wr","6","MIN","15","0","0","0","0","0","0","0","0","0","8.385","6.0569","65.6895","0.3953","0","0","0.0233","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"39","George Pickens","PIT","wr","9","NYG","14.9","0","0","0","0","0","0","0","0","0","8.307","5.2561","68.059","0.4669","0","0","0.0248","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40","Josh Jacobs","GB","rb","10","@JAX","13","0","0","0","0","0","0","14.4678","61.6811","0.3127","3.26","2.6404","18.9823","0.0822","0.2241","0.1018","0.0266","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"41","Xavier Worthy","KC","wr","6","@LV","14.7","0","0","0","0","0","0","0.7066","4.0633","0.0406","7.8851","4.9808","65.4612","0.4176","0.0632","0.0338","0.0228","16.6817","0.0144","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"42","Tee Higgins","CIN","wr","12","PHI","14.6","0","0","0","0","0","0","0","0","0","8.176","5.3583","66.0651","0.4338","0","0","0.0206","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"43","Trey McBride","ARZ","te","11","@MIA","12.5","0","0","0","0","0","0","0","0","0","7.5109","5.5531","52.7423","0.2745","0","0","0.0203","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"44","Davante Adams","NYJ","wr","12","@NE","14.5","0","0","0","0","0","0","0","0","0","8.0093","5.356","61.4071","0.489","0","0","0.0221","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"45","Kareem Hunt","KC","rb","6","@LV","12.6","0","0","0","0","0","0","13.425","56.7665","0.5764","2.1702","1.8231","12.2736","0.0765","0.2012","0.0907","0.0244","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"46","Jayden Reed","GB","wr","10","@JAX","14.4","0","0","0","0","0","0","0.9876","5.8847","0.0148","7.3704","5.1359","60.4862","0.4192","0.0687","0.0364","0.0209","51.2207","0.0227","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"47","James Conner","ARZ","rb","11","@MIA","12.5","0","0","0","0","0","0","13.6866","61.6499","0.4803","2.2533","1.8738","12.5126","0.0586","0.2053","0.0926","0.0217","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"48","Cade Otton","TB","te","11","ATL","12.3","0","0","0","0","0","0","0","0","0","6.9136","4.985","49.5881","0.3857","0","0","0.0172","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"49","D'Andre Swift","CHI","rb","7","@WAS","12.3","0","0","0","0","0","0","13.2137","58.8469","0.4401","2.5479","2.0905","13.7615","0.0538","0.2012","0.0911","0.0206","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50","Jake Ferguson","DAL","te","7","@SF","12.1","0","0","0","0","0","0","0","0","0","6.6901","4.9788","48.3646","0.3715","0","0","0.0166","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"51","Jaylen Waddle","MIA","wr","6","ARZ","14.1","0","0","0","0","0","0","0.1862","1.1075","0.0094","7.7372","5.3358","66.1027","0.3368","0.06","0.0329","0.0229","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"52","David Montgomery","DET","rb","5","TEN","12.2","0","0","0","0","0","0","12.8163","57.2987","0.5402","2.1608","1.762","12.6179","0.0487","0.1923","0.0867","0.0215","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"53","Chuba Hubbard","CAR","rb","11","@DEN","12.2","0","0","0","0","0","0","13.4153","56.4669","0.3216","3.2019","2.6811","15.7396","0.0636","0.2103","0.0958","0.0179","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"54","Tyler Lockett","SEA","wr","10","BUF","14","0","0","0","0","0","0","0","0","0","7.6634","5.2675","63.2851","0.3872","0","0","0.018","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"55","Marvin Harrison Jr.","ARZ","wr","11","@MIA","14","0","0","0","0","0","0","0","0","0","8.8565","5.3334","59.1688","0.458","0","0","0.024","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"56","Brian Thomas Jr.","JAX","wr","12","GB","13.8","0","0","0","0","0","0","0","0","0","8.1447","5.1539","63.508","0.3748","0","0","0.0195","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"57","Tucker Kraft","GB","te","10","@JAX","11.7","0","0","0","0","0","0","0","0","0","6.1657","4.8608","46.8961","0.3521","0","0","0.0165","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"58","Michael Pittman Jr.","IND","wr","14","@HST","13.7","0","0","0","0","0","0","0","0","0","8.7528","5.6509","62.3622","0.3009","0","0","0.021","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"59","Terry McLaurin","WAS","wr","14","CHI","13.7","0","0","0","0","0","0","0","0","0","8.1091","5.1474","64.0187","0.3454","0","0","0.0231","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60","Lamar Jackson","BLT","qb","14","@CLV","20.8","20.626","28.4987","213.3153","1.4297","0.5579","2.7925","8.5068","52.9699","0.3017","0","0","0","0","0.465","0.2283","0.1042","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"61","Chris Olave","NO","wr","12","@LAC","13.5","0","0","0","0","0","0","0","0","0","8.593","5.3026","63.8311","0.2989","0","0","0.0204","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"62","Jerry Jeudy","CLV","wr","10","BLT","13.4","0","0","0","0","0","0","0","0","0","7.6293","4.7709","64.2754","0.3653","0","0","0.0178","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"63","Nick Chubb","CLV","rb","10","BLT","11.4","0","0","0","0","0","0","12.8343","53.8054","0.3899","2.3886","1.8963","14.0632","0.0645","0.194","0.0876","0.0209","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"64","Jaylen Warren","PIT","rb","9","NYG","11.3","0","0","0","0","0","0","9.2423","43.0873","0.229","3.6081","3.03","21.1633","0.0867","0.1577","0.073","0.0193","29.7061","0.0076","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"65","Zay Flowers","BLT","wr","14","@CLV","13.1","0","0","0","0","0","0","0.5204","4.9467","0.0277","6.9154","5.0032","56.9882","0.2851","0.061","0.0329","0.0244","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"66","Javonte Williams","DEN","rb","14","CAR","11.2","0","0","0","0","0","0","11.5227","52.182","0.2795","3.0078","2.4672","14.9503","0.0614","0.1824","0.0832","0.0167","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"67","Sam LaPorta","DET","te","5","TEN","10.8","0","0","0","0","0","0","0","0","0","5.7511","4.3807","42.7444","0.344","0","0","0.0175","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"68","Amari Cooper","BUF","wr","12","@SEA","12.8","0","0","0","0","0","0","0","0","0","7.4041","4.6624","57.042","0.3923","0","0","0.0223","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"69","Evan Engram","JAX","te","12","GB","10.7","0","0","0","0","0","0","0","0","0","6.6198","5.0472","43.3133","0.2162","0","0","0.0159","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70","Jalen McMillan","TB","wr","11","ATL","12.7","0","0","0","0","0","0","0.1695","1.0043","0.0074","7.4772","4.5308","55.1945","0.4182","0.0511","0.028","0.0189","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"71","Josh Allen","BUF","qb","12","@SEA","19.8","21.9217","30.9737","228.7412","1.6035","0.6779","1.498","6.188","30.328","0.3041","0","0","0","0","0.274","0.1329","0.098","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"72","Dak Prescott","DAL","qb","7","@SF","19.7","26.2608","37.0966","267.2411","1.8767","0.7932","2.6972","3.5692","16.2842","0.1201","0","0","0","0","0.3824","0.1918","0.0945","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"73","Brock Purdy","SF","qb","9","DAL","19.7","23.4748","32.7958","277.7995","1.7257","0.719","2.0216","3.7428","14.0488","0.151","0","0","0","0","0.3025","0.1505","0.106","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"74","Calvin Ridley","TEN","wr","5","@DET","12.4","0","0","0","0","0","0","0","0","0","7.9759","4.5543","58.3605","0.3309","0","0","0.0185","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"75","Dalton Kincaid","BUF","te","12","@SEA","10.3","0","0","0","0","0","0","0","0","0","5.8084","4.3195","42.2296","0.2908","0","0","0.0175","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"76","Darnell Mooney","ATL","wr","12","@TB","12.2","0","0","0","0","0","0","0","0","0","6.8302","4.4805","55.0624","0.3692","0","0","0.0177","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"77","Xavier Legette","CAR","wr","11","@DEN","12.2","0","0","0","0","0","0","0","0","0","7.989","5.1334","51.0921","0.3192","0","0","0.0153","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"78","Rachaad White","TB","rb","11","ATL","10.2","0","0","0","0","0","0","6.4836","26.0821","0.1538","3.8701","3.3107","23.8857","0.1721","0.1234","0.0583","0.0189","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"79","Jakobi Meyers","LV","wr","10","KC","12","0","0","0","0","0","0","0","0","0","7.4617","4.9944","52.951","0.2802","0","0","0.0151","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80","Jordan Addison","MIN","wr","6","@LA","11.9","0","0","0","0","0","0","0","0","0","7.0029","4.3994","55.0066","0.3345","0","0","0.0159","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"81","Kyle Pitts","ATL","te","12","@TB","9.8","0","0","0","0","0","0","0","0","0","5.7388","3.8135","43.0912","0.2673","0","0","0.0149","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
