"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","salary","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"171","Jacoby Brissett","NE","qb","14","@SF","15.5","0","21.4783","31.0378","210.8571","1.2204","0.6087","3.1218","4.9713","17.7608","0.1469","0","0","0","0","0.4543","0.2271","0.0772","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"172","Tyler Allgeier","ATL","rb","12","NO","5.6","0","0","0","0","0","0","0","6.4503","27.6213","0.171","1.151","0.9649","6.7741","0.0326","0.0976","0.0441","0.01","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"173","Greg Dulcich","DEN","te","14","@NYJ","5.5","0","0","0","0","0","0","0","0","0","0","3.7679","2.4877","22.7241","0.1177","0","0","0.0064","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"174","Mike Williams","NYJ","wr","12","DEN","7.8","0","0","0","0","0","0","0","0","0","0","4.1627","2.6989","35.8554","0.2514","0","0","0.012","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"175","Jamaal Williams","NO","rb","12","@ATL","5.5","0","0","0","0","0","0","0","4.8207","18.5863","0.1657","1.7015","1.4203","9.4368","0.0413","0.0805","0.0371","0.0106","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"176","Emanuel Wilson","GB","rb","10","MIN","5.5","0","0","0","0","0","0","0","4.8228","20.4917","0.1147","1.7781","1.4608","9.8805","0.0521","0.081","0.0374","0.0103","33.4721","0.0086","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"177","Christian Watson","GB","wr","10","MIN","7.7","0","0","0","0","0","0","0","0.217","1.346","0.0094","3.8699","2.2916","32.6602","0.3203","0.0276","0.0149","0.0102","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"178","Blake Corum","LA","rb","6","@CHI","5.4","0","0","0","0","0","0","0","5.7123","23.29","0.1804","1.245","0.9917","7.3554","0.0387","0.0879","0.0399","0.0109","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"179","Jonnu Smith","MIA","te","6","TEN","5.3","0","0","0","0","0","0","0","0","0","0","3.3242","2.45","20.9207","0.1202","0","0","0.0089","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"180","Juwan Johnson","NO","te","12","@ATL","5.3","0","0","0","0","0","0","0","0","0","0","3.0104","2.1059","20.9392","0.1847","0","0","0.0085","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
