player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Drew Lock,39517,QB,NYG,1,25.4,0,21,68.9,,60.0,0,0,0,0.0,0.0,,1,0,0,16,0,0,0,63,0,46,0,0,16,0
Jahan Dotson,84375,WR,PHI,1,41.7,0,24,52.5,,59.8,0,0,0,0.0,0.0,,0,0,0,15,0,0,0,36,0,21,0,0,15,0
Sedrick Van Pran-Granger,124042,C,BUF,1,100.0,0,4,53.7,68.2,53.0,0,0,1,100.0,100.0,100.0,0,0,0,15,15,0,0,15,1,1,0,0,14,0
Marcedes Lewis,2973,TE,CHI,1,100.0,0,6,43.0,76.0,43.8,0,0,5,100.0,100.0,100.0,0,0,0,15,0,0,0,15,5,5,0,0,10,15
Ryan Van Demark,55113,T,BUF,1,100.0,0,4,60.8,68.4,59.4,0,0,1,100.0,100.0,100.0,0,0,0,15,0,0,14,15,1,1,0,1,14,0
Elijah Moore,84302,WR,CLV,1,23.4,0,8,77.7,,54.6,0,0,0,0.0,0.0,,0,0,0,15,0,0,0,64,0,49,0,0,15,0
Travis Kelce,7844,TE,KC,1,23.4,0,16,69.1,17.6,66.3,1,0,1,2.2,3.9,50.0,0,1,0,15,0,0,0,64,2,51,0,0,13,20
Noah Brown,11993,WR,WAS,1,40.5,0,32,68.9,,82.3,0,0,0,0.0,0.0,,0,0,0,15,0,0,0,37,0,22,0,0,15,0
Elijah Higgins,98027,TE,ARZ,1,60.0,0,1,65.5,72.4,56.9,0,0,1,9.1,9.1,100.0,0,0,0,15,0,0,0,25,1,11,0,0,14,18
Isaiah Adams,158192,G,ARZ,1,100.0,0,1,63.3,70.9,59.6,0,1,9,100.0,100.0,94.4,1,1,0,15,0,0,0,15,11,11,15,0,4,0
Landon Young,41761,G,NO,1,100.0,0,20,59.0,80.9,54.9,0,0,7,100.0,100.0,100.0,0,0,0,15,0,15,0,15,8,8,0,0,7,0
Parris Campbell,47940,WR,PHI,1,53.6,0,24,58.9,,89.3,0,0,0,0.0,0.0,,0,0,0,15,0,0,0,28,0,13,0,0,15,3
Luke Farrell,42353,TE,JAX,1,75.0,0,15,80.7,45.9,80.6,1,0,2,28.6,28.6,75.0,0,1,0,15,0,0,0,20,2,7,0,0,13,20
