"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS (?)","% GAMES (?)"
"31","Jamaal Williams",GB,"at HOU"," 7.4","C","9.2","+0.6","50% (7/14)"
"32","Joshua Kelley",LAC,"vs. JAC"," 4.6","C","9.0","+0.3","40% (2/5)"
"33","Melvin Gordon III",DEN,"vs. KC"," 8.2","C","8.7","+1.3","57% (8/14)"
"34","Frank Gore",NYJ,"vs. BUF"," 6.4","C","8.6","-2.3","17% (3/17)"
"35","Le'Veon Bell",KC,"at DEN"," 3.2","C","8.4","-3.5","16% (2/12)"
"36","Latavius Murray",NO,"vs. CAR"," 8.4","C-","8.1","+2.1","46% (7/15)"
"37","Damien Harris",NE,"vs. SF"," 5.0","C-","7.0","+0.2","33% (2/6)"
"38","Rex Burkhead",NE,"vs. SF"," 6.2","C-","6.9","+1.3","42% (6/14)"
"39","Lamical Perine",NYJ,"vs. BUF"," 5.4","C-","6.6","-1.2","20% (1/5)"
"40","Malcolm Brown",LAR,"vs. CHI"," 6.6","D+","6.1","+0.8","42% (6/14)"
"41","Zack Moss",BUF,"at NYJ"," 6.8","D+","6.1","-1.7","33% (1/3)"
"42","Duke Johnson Jr.",HOU,"vs. GB"," 8.0","D+","6.0","-0.1","42% (6/14)"
"43","Brian Hill",ATL,"vs. DET"," 9.0","D+","5.9","+1.1","50% (8/16)"
"44","D'Ernest Johnson",CLE,"at CIN"," 7.4","D","5.9","-0.3","13% (2/15)"
"45","JaMycal Hasty",SF,"at NE"," 5.8","D","5.8","-0.7","25% (1/4)"
"46","Giovani Bernard",CIN,"vs. CLE"," 4.4","D-","5.5","-0.7","56% (9/16)"
"47","Chris Thompson",JAC,"at LAC"," 4.2","D-","5.3","-1.4","45% (5/11)"
"48","Tony Pollard",DAL,"at WAS"," 6.0","D-","5.1","+1.6","46% (7/15)"
"49","Corey Clement",PHI,"vs. NYG"," 7.8","F","4.9","-1.6","0% (0/5)"
"50","Leonard Fournette",TB,"at LV"," 6.8","F","4.9","-2.3","15% (2/13)"
"51","Cam Akers",LAR,"vs. CHI"," 8.0","F","4.8","-3.7","25% (1/4)"
"52","Kerryon Johnson",DET,"at ATL"," 4.2","F","4.7","-2.3","25% (2/8)"
"53","Benny Snell Jr.",PIT,"at TEN"," 5.0","F","4.7","-0.1","41% (5/12)"
"54","Dion Lewis",NYG,"at PHI"," 4.0","F","4.5","-1.1","25% (4/16)"
"55","Jalen Richard",LV,"vs. TB"," 3.4","F","4.4","+0.2","50% (8/16)"
"56","Wayne Gallman",NYG,"at PHI"," 6.4","F","4.1","-1.0","25% (3/12)"
"57","Jeff Wilson Jr.",SF,"at NE"," 5.6","F","4.1","+0.4","21% (3/14)"
"58","Royce Freeman",DEN,"vs. KC"," 9.2","F","4.0","-1.3","33% (5/15)"
"59","Ito Smith",ATL,"vs. DET"," 8.8","F","3.9","-1.3","28% (2/7)"
"60","Anthony McFarland Jr.",PIT,"at TEN"," 5.4","F","3.6","-0.2","25% (1/4)"
"61","Kyle Juszczyk",SF,"at NE"," 5.8","F","3.3","+0.6","42% (6/14)"
"62","Jeremy McNichols",TEN,"vs. PIT"," 7.4","F","3.3","-","-"
"63","Darrel Williams",KC,"at DEN"," 5.6","F","3.1","-0.2","27% (3/11)"
"64","Travis Homer",SEA,"at ARI"," 6.6","F","3.1","+0.5","33% (5/15)"
"65","Carlos Hyde",SEA,"at ARI"," 7.0","F","3.0","-0.5","38% (5/13)"
"66","LeSean McCoy",TB,"at LV"," 8.0","F","2.7","-1.4","30% (4/13)"
"67","Peyton Barber",WAS,"vs. DAL"," 9.0","F","2.5","+0.2","31% (5/16)"
"68","Ke'Shawn Vaughn",TB,"at LV"," 8.0","F","2.5","-0.4","16% (1/6)"
"69","Dontrell Hilliard",CLE,"at CIN"," 5.8","F","2.5","-0.5","33% (4/12)"
"70","Ty Johnson",NYJ,"vs. BUF"," 6.0","F","2.4","-1.0","25% (4/16)"
"71","Trenton Cannon",CAR,"at NO"," 5.2","F","2.2","-1.3","16% (1/6)"
"72","AJ Dillon",GB,"at HOU"," 7.8","F","2.2","0.0","20% (1/5)"
"73","Devontae Booker",LV,"vs. TB"," 3.8","F","2.2","+0.4","35% (5/14)"
"74","Jaylen Samuels",PIT,"at TEN"," 5.4","F","2.1","-2.5","14% (2/14)"
"75","Alex Armah",CAR,"at NO"," 5.2","F","2.1","-0.8","6% (1/15)"
"76","Jakob Johnson",NE,"vs. SF"," 6.4","F","2.0","+1.2","25% (1/4)"
"77","T.J. Yeldon",BUF,"at NYJ"," 7.0","F","1.9","+1.1","16% (1/6)"
"78","Jason Huntley",PHI,"vs. NYG"," 7.8","F","1.9","-0.9","0% (0/3)"
"79","Ryan Nall",CHI,"at LAR"," 6.8","F","1.9","-1.3","0% (0/12)"
"80","Darwin Thompson",KC,"at DEN"," 3.0","F","1.9","-0.1","33% (4/12)"
"81","Alec Ingold",LV,"vs. TB","-","F","1.8","+1.4","46% (7/15)"
"82","Dare Ogunbowale",JAC,"at LAC"," 6.4","F","1.8","-0.4","28% (4/14)"
"83","C.J. Prosise",HOU,"vs. GB"," 7.2","F","1.8","-0.9","0% (0/10)"
"84","DeAndre Washington",KC,"at DEN"," 3.0","F","1.6","+1.7","45% (5/11)"
"85","Samaje Perine",CIN,"vs. CLE"," 4.8","F","1.5","-0.2","0% (0/5)"
"86","Elijhaa Penny",NYG,"at PHI"," 7.2","F","1.5","-0.4","0% (0/14)"
"87","Raheem Mostert",SF,"at NE"," 7.2","F","1.4","+3.8","60% (9/15)"
"88","Tyler Ervin",GB,"at HOU","-","F","1.4","+0.3","37% (3/8)"
"89","Eno Benjamin",ARI,"vs. SEA"," 4.6","F","1.3","-1.3","0% (0/3)"
"90","DeeJay Dallas",SEA,"at ARI"," 7.6","F","1.3","-0.1","33% (1/3)"
"91","Andy Janovich",CLE,"at CIN","-","F","1.2","-0.1","30% (3/10)"
"92","Keith Smith",ATL,"vs. DET","-","F","0.9","-0.2","40% (6/15)"
"93","Josh Adams",NYJ,"vs. BUF"," 6.0","F","0.8","-0.5","25% (3/12)"
"94","Michael Burton",NO,"vs. CAR","-","F","0.6","-0.3","7% (1/14)"
"95","Ryquell Armstead",JAC,"at LAC"," 6.4","F","0.5","-0.5","16% (2/12)"
"96","Anthony Sherman",KC,"at DEN","-","F","0.4","0.0","13% (2/15)"
"97","Reggie Gilliam",BUF,"at NYJ","-","F","0.1","-0.3","20% (1/5)"
"98","Derek Watt",PIT,"at TEN","-","F","0.8","-0.1","8% (1/12)"
"99","Ty Montgomery",NO,"vs. CAR","-","F","0.7","-1.0","30% (4/13)"
"100","Kalen Ballage",LAC,"vs. JAC","-","F","0.6","0.0","45% (5/11)"
