"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS (?)","% GAMES (?)"
"42","Jerry Jeudy",DEN,"vs. KC"," 4.4","C","10.8","-0.6","40% (2/5)"
"43","Keelan Cole",JAC,"at LAC"," 6.4","C","10.6","+2.5","60% (9/15)"
"44","Cole Beasley",BUF,"at NYJ"," 7.0","C","10.5","+2.7","81% (13/16)"
"45","Henry Ruggs III",LV,"vs. TB"," 4.6","C","10.5","+1.6","66% (2/3)"
"46","Marvin Jones Jr.",DET,"at ATL"," 7.6","C-","10.4","+1.1","41% (5/12)"
"47","Brandon Aiyuk",SF,"at NE"," 5.2","C-","10.3","+2.3","60% (3/5)"
"48","A.J. Green",CIN,"vs. CLE"," 7.4","C-","10.1","-4.3","16% (1/6)"
"49","Marquez Valdes-Scantling",GB,"at HOU"," 6.6","C-","9.7","-1.9","26% (4/15)"
"50","John Brown",BUF,"at NYJ"," 7.0","C-","9.6","-0.7","40% (6/15)"
"51","Emmanuel Sanders",NO,"vs. CAR"," 5.4","C-","9.1","+0.1","43% (7/16)"
"52","James Washington",PIT,"at TEN"," 6.2","C-","9.4","+2.0","46% (7/15)"
"53","Randall Cobb",HOU,"vs. GB"," 4.6","D+","8.8","+1.9","56% (9/16)"
"54","Diontae Johnson",PIT,"at TEN"," 6.2","C-","8.4","-0.2","35% (5/14)"
"55","Russell Gage",ATL,"vs. DET"," 4.0","D+","8.6","+0.9","56% (9/16)"
"56","Mecole Hardman",KC,"at DEN"," 4.2","D+","8.6","+0.9","50% (8/16)"
"57","Adam Humphries",TEN,"vs. PIT"," 7.8","D","8.6","+1.6","60% (6/10)"
"58","Demarcus Robinson",KC,"at DEN"," 5.4","D","8.5","-1.3","25% (4/16)"
"59","Golden Tate",NYG,"at PHI"," 7.0","D","8.3","-0.9","35% (5/14)"
"60","Damiere Byrd",NE,"vs. SF"," 5.8","D-","8.1","+0.5","26% (4/15)"
"61","Breshad Perriman",NYJ,"vs. BUF"," 6.4","D-","8.1","+2.9","61% (8/13)"
"62","Corey Davis",TEN,"vs. PIT"," 7.8","D-","8.0","-1.2","30% (4/13)"
"63","DeSean Jackson",PHI,"vs. NYG"," 5.6","F","7.9","-4.1","33% (1/3)"
"64","N'Keal Harry",NE,"vs. SF"," 4.0","F","7.9","-0.3","58% (7/12)"
"65","Darnell Mooney",CHI,"at LAR"," 6.4","F","7.8","+1.4","50% (3/6)"
"66","Greg Ward",PHI,"vs. NYG"," 6.2","F","7.6","+1.6","58% (7/12)"
"67","Danny Amendola",DET,"at ATL"," 7.6","F","7.5","-0.3","31% (5/16)"
"68","Anthony Miller",CHI,"at LAR"," 7.4","F","7.4","+0.3","52% (9/17)"
"69","Hunter Renfrow",LV,"vs. TB"," 4.2","F","7.3","+3.3","53% (7/13)"
"70","Larry Fitzgerald",ARI,"vs. SEA"," 7.0","F","7.2","-2.5","31% (5/16)"
"71","Nelson Agholor",LV,"vs. TB"," 4.6","F","7.1","+0.9","40% (4/10)"
"72","Kendrick Bourne",SF,"at NE"," 5.4","F","6.9","+1.8","58% (10/17)"
"73","Tre'Quan Smith",NO,"vs. CAR"," 3.0","F","6.9","+1.3","46% (6/13)"
"74","Scotty Miller",TB,"at LV"," 7.6","F","6.9","-0.3","45% (5/11)"
"75","Andy Isabella",ARI,"vs. SEA"," 9.0","F","6.9","+0.8","33% (5/15)"
"76","Sterling Shepard",NYG,"at PHI"," 7.4","F","6.4","-2.5","22% (2/9)"
"77","Dontrelle Inman",WAS,"vs. DAL"," 7.8","F","6.4","+0.1","37% (3/8)"
"78","Josh Reynolds",LAR,"vs. CHI"," 5.2","F","6.3","+1.6","62% (10/16)"
"79","Curtis Samuel",CAR,"at NO"," 9.4","F","6.3","-1.6","40% (6/15)"
"80","Cordarrelle Patterson",CHI,"at LAR"," 7.8","F","6.1","-1.1","31% (5/16)"
"81","Tyler Johnson",TB,"at LV"," 7.4","F","6.1","+1.1","40% (2/5)"
"82","Jeff Smith",NYJ,"vs. BUF"," 6.2","F","6.0","-0.5","25% (1/4)"
"83","Rashard Higgins",CLE,"at CIN"," 6.8","F","6.0","-0.5","20% (3/15)"
"84","Gabriel Davis",BUF,"at NYJ"," 6.0","F","5.7","+3.4","83% (5/6)"
"85","Cedrick Wilson",DAL,"at WAS"," 5.4","F","5.5","+2.4","30% (3/10)"
"86","Isaiah Wright",WAS,"vs. DAL"," 9.0","F","5.4","-0.7","40% (2/5)"
"87","David Moore",SEA,"at ARI"," 5.6","F","5.3","+0.2","26% (4/15)"
"88","Jalen Guyton",LAC,"vs. JAC"," 8.0","F","5.3","+1.4","37% (3/8)"
"89","Chris Conley",JAC,"at LAC"," 5.8","F","5.3","+0.3","50% (8/16)"
"90","Kenny Stills",HOU,"vs. GB"," 4.2","F","5.1","-0.6","40% (6/15)"
"91","John Hightower",PHI,"vs. NYG"," 6.4","F","5.1","-0.5","50% (3/6)"
"92","Olamide Zaccheaus",ATL,"vs. DET"," 3.4","F","5.0","+0.4","28% (4/14)"
"93","DaeSean Hamilton",DEN,"vs. KC"," 4.6","F","4.9","-0.7","20% (3/15)"
"94","Kalif Raymond",TEN,"vs. PIT"," 7.2","F","4.9","+0.8","38% (5/13)"
"95","Braxton Berrios",NYJ,"vs. BUF"," 6.8","F","4.8","-0.1","18% (3/16)"
"96","Byron Pringle",KC,"at DEN"," 5.6","F","4.8","-0.2","25% (4/16)"
"97","Collin Johnson",JAC,"at LAC"," 6.0","F","4.4","+0.4","33% (2/6)"
"98","Denzel Mims",NYJ,"vs. BUF"," 6.4","F","4.3","-1.7","0% (0/1)"
"99","Mike Thomas",CIN,"vs. CLE"," 6.6","F","4.2","+0.3","26% (4/15)"
"100","Isaiah McKenzie",BUF,"at NYJ"," 8.0","F","4.2","+0.4","43% (7/16)"
"101","Darrius Shepherd",GB,"at HOU"," 7.8","F","4.2","-","-"
"102","Van Jefferson",LAR,"vs. CHI"," 4.8","F","4.1","-1.8","16% (1/6)"
"103","Freddie Swain",SEA,"at ARI"," 6.6","F","4.1","+1.4","40% (2/5)"
"104","Trent Taylor",SF,"at NE"," 5.4","F","3.9","-1.0","33% (2/6)"
"105","Christian Blake",ATL,"vs. DET"," 3.8","F","3.9","-1.4","21% (3/14)"
"106","JJ Arcega-Whiteside",PHI,"vs. NYG"," 6.0","F","3.5","-0.7","38% (5/13)"
"107","Zay Jones",LV,"vs. TB"," 4.8","F","3.5","-1.2","31% (5/16)"
"108","Keith Kirkwood",CAR,"at NO"," 9.4","F","3.5","-0.6","0% (0/9)"
"109","Marvin Hall",DET,"at ATL"," 7.6","F","3.4","+0.9","45% (5/11)"
"110","Austin Mack",NYG,"at PHI"," 6.8","F","3.3","-","-"
"111","Malik Taylor",GB,"at HOU"," 7.8","F","3.1","-1.9","20% (1/5)"
"112","Justin Watson",TB,"at LV"," 7.4","F","3.1","+0.5","28% (4/14)"
"113","K.J. Hill",LAC,"vs. JAC"," 8.0","F","2.8","-1.2","20% (1/5)"
"114","Jakobi Meyers",NE,"vs. SF"," 4.6","F","2.9","-1.0","33% (4/12)"
"115","Cam Sims",WAS,"vs. DAL"," 8.4","F","2.8","+1.0","37% (3/8)"
"116","Equanimeous St. Brown",GB,"at HOU"," 7.8","F","2.7","-1.6","0% (0/2)"
"117","Antonio Gandy-Golden",WAS,"vs. DAL"," 8.4","F","2.7","-1.6","16% (1/6)"
"118","Seth Roberts",CAR,"at NO"," 9.4","F","2.4","-0.1","33% (5/15)"
"119","Ray-Ray McCloud",PIT,"at TEN"," 6.8","F","2.3","+0.8","20% (1/5)"
"120","Diontae Spencer",DEN,"vs. KC"," 4.6","F","2.5","-0.6","21% (3/14)"
"121","Noah Brown",DAL,"at WAS"," 4.6","F","2.3","+0.6","30% (3/10)"
"122","Marquez Callaway",NO,"vs. CAR"," 4.0","F","1.9","-0.1","40% (2/5)"
"123","Javon Wims",CHI,"at LAR"," 7.2","F","1.9","-0.2","37% (6/16)"
"124","KJ Hamler",DEN,"vs. KC","-","F","2.0","-1.2","33% (1/3)"
"125","Cam Batson",TEN,"vs. PIT"," 7.4","F","1.9","-3.3","0% (0/3)"
"126","Damion Ratley",FA,"-","-","F","1.9","-0.7","21% (3/14)"
"127","Ted Ginn Jr.",CHI,"at LAR"," 7.2","F","1.8","-2.2","20% (3/15)"
"128","Andre Roberts",BUF,"at NYJ"," 6.8","F","1.7","-0.7","18% (3/16)"
"129","Isaiah Zuber",NE,"vs. SF"," 4.6","F","1.8","-","-"
"130","Tyron Johnson",LAC,"vs. JAC"," 8.0","F","1.2","-","-"
"131","Tyrie Cleveland",DEN,"vs. KC"," 4.6","F","1.0","-0.1","33% (1/3)"
"132","Bryan Edwards",LV,"vs. TB","-","F","1.3","-1.6","66% (2/3)"
"133","John Ross",CIN,"vs. CLE"," 6.4","F","1.3","-4.0","12% (1/8)"
"134","Pharoh Cooper",CAR,"at NO"," 9.4","F","1.0","0.0","40% (6/15)"
"135","KeeSean Johnson",ARI,"vs. SEA"," 7.0","F","0.8","-1.2","27% (3/11)"
"136","Auden Tate",CIN,"vs. CLE","-","F","1.0","-1.1","27% (3/11)"
"137","Donovan Peoples-Jones",CLE,"at CIN"," 6.8","F","0.8","-1.6","0% (0/2)"
"138","Deonte Harris",NO,"vs. CAR"," 4.0","F","1.1","-0.2","33% (4/12)"
"139","Alex Erickson",CIN,"vs. CLE"," 6.4","F","0.7","-0.6","31% (5/16)"
"140","Brandon Powell",ATL,"vs. DET"," 3.8","F","0.9","-0.5","12% (1/8)"
"141","Jalen Reagor",PHI,"vs. NYG"," 6.0","F","0.8","+0.2","100% (2/2)"
"142","Bennie Fowler III",NO,"vs. CAR"," 4.0","F","0.9","-","-"
"143","DeAndre Carter",HOU,"vs. GB"," 4.6","F","0.5","-0.4","25% (4/16)"
"144","Taywan Taylor",CLE,"at CIN"," 6.8","F","0.7","-0.3","0% (0/5)"
"145","Quintez Cephus",DET,"at ATL"," 7.6","F","0.4","-0.1","50% (2/4)"
"146","Deon Cain",PIT,"at TEN"," 6.8","F","0.5","-0.7","28% (2/7)"
"147","Gunner Olszewski",NE,"vs. SF"," 4.6","F","0.2","-1.2","0% (0/5)"
"148","Nick Westbrook-Ikhine",TEN,"vs. PIT"," 7.4","F","0.3","-","-"
"149","Trent Sherfield",ARI,"vs. SEA"," 7.0","F","0.2","-1.1","6% (1/15)"
"150","Hakeem Butler",PHI,"vs. NYG","-","F","0.3","-","-"
"151","Richie James Jr.",SF,"at NE"," 5.4","F","0.2","-0.1","12% (2/16)"
"152","Jaydon Mickens",TB,"at LV"," 7.4","F","0.2","-0.8","16% (1/6)"
"153","Cyril Grayson Jr.",TB,"at LV"," 7.4","F","0.2","-","-"
"154","Vyncint Smith",NYJ,"vs. BUF"," 6.4","F","0.1","-0.7","36% (4/11)"
"155","Keke Coutee",HOU,"vs. GB"," 4.6","F","0.1","-1.0","30% (3/10)"
"156","Joe Reed",LAC,"vs. JAC","-","F","0.1","-1.2","0% (0/4)"
