"RK","PLAYER NAME","OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS (?)","% GAMES (?)"
"42","Christian Kirk (ARI) ","at DAL"," 6.2","C","6.8","-1.1","46% (6/13)"
"43","Curtis Samuel (CAR) ","vs. CHI"," 4.6","C","6.8","-0.9","43% (7/16)"
"44","Diontae Johnson (PIT) ","vs. CLE"," 7.4","C+","6.6","-0.5","33% (5/15)"
"45","Keelan Cole (JAC) ","vs. DET"," 6.4","C","6.6","+1.8","53% (8/15)"
"46","Marvin Jones Jr. (DET) ","at JAC"," 8.4","C","6.5","+1.3","41% (5/12)"
"47","Cole Beasley (BUF) ","vs. KC"," 3.8","C","6.4","+2.5","80% (12/15)"
"48","Russell Gage (ATL) ","at MIN"," 4.8","C","6.4","+0.8","50% (8/16)"
"49","Randall Cobb (HOU) ","at TEN"," 5.0","C","6.3","+1.9","53% (8/15)"
"50","Travis Fulgham (PHI) ","vs. BAL"," 4.6","C","6.3","+5.0","33% (2/6)"
"51","Scotty Miller (TB) ","vs. GB"," 6.4","C","6.2","+0.4","54% (6/11)"
"52","Preston Williams (MIA) ","vs. NYJ"," 7.8","C-","6.2","-0.7","25% (2/8)"
"53","Zach Pascal (IND) ","vs. CIN"," 7.4","C-","6.1","-0.3","37% (6/16)"
"54","N'Keal Harry (NE) ","vs. DEN"," 4.2","C-","5.9","+0.4","63% (7/11)"
"55","Demarcus Robinson (KC) ","at BUF"," 4.6","D+","5.9","-2.1","18% (3/16)"
"56","Anthony Miller (CHI) ","at CAR"," 3.8","C-","5.7","+0.6","56% (9/16)"
"57","Marquez Valdes-Scantling (GB) ","at TB"," 4.8","C-","5.5","-2.0","26% (4/15)"
"58","Greg Ward (PHI) ","vs. BAL"," 3.2","D","5.5","+2.0","63% (7/11)"
"59","Tim Patrick (DEN) ","at NE"," 6.6","D+","5.4","+1.8","63% (7/11)"
"60","Olamide Zaccheaus (ATL) ","at MIN"," 6.8","D+","5.3","+0.7","30% (4/13)"
"61","A.J. Green (CIN) ","at IND"," 5.8","C-","5.2","-6.8","0% (0/5)"
"62","James Washington (PIT) ","vs. CLE"," 6.6","D","5.2","+1.7","42% (6/14)"
"63","Andy Isabella (ARI) ","at DAL"," 7.8","D","5.2","+1.1","33% (5/15)"
"64","Damiere Byrd (NE) ","vs. DEN"," 4.8","D","5.1","+0.8","33% (5/15)"
"65","Darnell Mooney (CHI) ","at CAR"," 4.6","D","5.1","+1.9","60% (3/5)"
"66","Kendrick Bourne (SF) ","vs. LAR"," 7.0","D","4.8","+1.7","52% (9/17)"
"67","Larry Fitzgerald (ARI) ","at DAL"," 8.8","D","4.7","-2.6","31% (5/16)"
"68","Gabriel Davis (BUF) ","vs. KC"," 4.2","D-","4.7","+4.8","100% (5/5)"
"69","Chris Godwin (TB) ","vs. GB"," 6.4","C+","4.6","-1.3","27% (3/11)"
"70","Cordarrelle Patterson (CHI) ","at CAR"," 4.2","D","4.5","-0.8","33% (5/15)"
"71","Dontrelle Inman (WAS) ","at NYG"," 6.8","F","4.5","0.0","28% (2/7)"
"72","Jeff Smith (NYJ) ","at MIA"," 4.2","F","4.4","+0.9","33% (1/3)"
"73","Chris Conley (JAC) ","vs. DET"," 6.4","F","4.3","0.0","50% (8/16)"
"74","Josh Reynolds (LAR) ","at SF"," 6.4","F","4.2","+1.1","56% (9/16)"
"75","Miles Boykin (BAL) ","at PHI"," 6.2","F","4.2","-1.5","31% (5/16)"
"76","Isaiah Ford (MIA) ","vs. NYJ"," 8.0","F","4.2","+0.4","41% (5/12)"
"77","Kenny Stills (HOU) ","at TEN"," 5.8","F","4.2","-0.3","42% (6/14)"
"78","Adam Humphries (TEN) ","vs. HOU"," 6.6","F","4.1","+0.9","60% (6/10)"
"79","Danny Amendola (DET) ","at JAC"," 8.4","F","4.0","-0.4","31% (5/16)"
"80","Willie Snead IV (BAL) ","at PHI"," 6.6","F","3.9","-0.5","25% (4/16)"
"81","Kalif Raymond (TEN) ","vs. HOU"," 6.2","F","3.9","+0.8","33% (4/12)"
"82","Cedrick Wilson (DAL) ","vs. ARI"," 6.0","F","3.7","+3.3","40% (4/10)"
"83","John Hightower (PHI) ","vs. BAL"," 4.0","F","3.7","-0.8","40% (2/5)"
"84","Tyler Johnson (TB) ","vs. GB"," 6.0","F","3.7","+0.6","25% (1/4)"
"85","Julio Jones (ATL) ","at MIN"," 6.0","C-","3.6","-2.5","30% (4/13)"
"86","Devin Duvernay (BAL) ","at PHI"," 6.0","F","3.6","+1.3","40% (2/5)"
"87","Alshon Jeffery (PHI) ","vs. BAL"," 4.0","F","3.6","+0.4","40% (2/5)"
"88","Isaiah Wright (WAS) ","at NYG"," 3.8","F","3.6","-1.1","25% (1/4)"
"89","Corey Davis (TEN) COV-IR ","vs. HOU"," 6.6","F","3.5","-1.3","28% (4/14)"
"90","Marcus Johnson (IND) ","vs. CIN"," 6.4","F","3.4","+1.4","46% (6/13)"
"91","Collin Johnson (JAC) ","vs. DET"," 6.2","F","3.4","+0.8","40% (2/5)"
"92","Braxton Berrios (NYJ) ","at MIA"," 4.6","F","3.3","0.0","18% (3/16)"
"93","DaeSean Hamilton (DEN) ","at NE"," 6.8","F","3.3","-0.3","26% (4/15)"
"94","Van Jefferson (LAR) ","at SF"," 5.8","F","3.2","-1.9","20% (1/5)"
"95","Olabisi Johnson (MIN) ","vs. ATL"," 6.6","F","3.2","-0.4","31% (5/16)"
"96","Breshad Perriman (NYJ) ","at MIA"," 4.2","F","3.2","+2.9","58% (7/12)"
"97","Jakeem Grant (MIA) ","vs. NYJ"," 8.8","F","3.0","-0.7","50% (6/12)"
"98","Auden Tate (CIN) ","at IND"," 4.6","F","2.8","-0.8","33% (4/12)"
"99","Christian Blake (ATL) ","at MIN"," 6.0","F","2.8","-1.4","21% (3/14)"
"100","DeSean Jackson (PHI) ","vs. BAL"," 5.0","F","2.7","-4.1","33% (1/3)"
"101","Chad Beebe (MIN) ","vs. ATL"," 6.6","F","2.5","-1.1","20% (1/5)"
"102","Trent Taylor (SF) ","vs. LAR"," 6.4","F","2.5","-1.4","20% (1/5)"
"103","Isaiah McKenzie (BUF) ","vs. KC"," 3.0","F","2.5","+0.5","46% (7/15)"
"104","Sterling Shepard (NYG) IR ","vs. WAS"," 6.4","F","2.4","-2.0","25% (2/8)"
"105","Darrius Shepherd (GB) ","at TB"," 5.0","F","2.4","-","-"
"106","Jakobi Meyers (NE) ","vs. DEN"," 5.2","F","2.0","-0.8","38% (5/13)"
"107","Damion Ratley (FA) ","-","-","F","2.0","-0.8","20% (3/15)"
"108","Rashard Higgins (CLE) ","at PIT"," 7.6","F","2.0","-1.3","13% (2/15)"
"109","Dante Pettis (SF) ","vs. LAR"," 6.4","F","1.9","-2.3","15% (2/13)"
"110","Mike Thomas (CIN) ","at IND"," 3.6","F","1.8","+0.4","26% (4/15)"
"111","Daurice Fountain (IND) ","vs. CIN"," 6.4","F","1.6","-","-"
"112","Byron Pringle (KC) ","at BUF"," 4.6","F","1.6","-0.5","18% (3/16)"
"113","Antonio Gandy-Golden (WAS) ","at NYG"," 6.0","F","1.6","-1.4","20% (1/5)"
"114","Noah Brown (DAL) ","vs. ARI"," 6.4","F","1.5","+0.5","20% (2/10)"
"115","Malik Taylor (GB) ","at TB"," 5.0","F","1.4","-1.9","25% (1/4)"
"116","Ray-Ray McCloud (PIT) ","vs. CLE"," 7.4","F","1.3","+1.1","20% (1/5)"
"117","Chris Hogan (NYJ) IR ","at MIA"," 4.2","F","1.3","-1.2","42% (3/7)"
"118","KJ Hamler (DEN) ","at NE","-","F","1.3","-1.2","33% (1/3)"
"119","C.J. Board (NYG) ","vs. WAS"," 6.8","F","1.3","+0.1","30% (3/10)"
"120","Isaiah Zuber (NE) ","vs. DEN"," 6.0","F","1.3","-","-"
"121","Javon Wims (CHI) ","at CAR"," 4.2","F","1.1","-0.2","40% (6/15)"
"122","Ted Ginn Jr. (CHI) ","at CAR"," 4.2","F","1.1","-2.0","26% (4/15)"
"123","Seth Roberts (CAR) ","vs. CHI"," 4.6","F","1.1","+0.1","33% (5/15)"
"124","Justin Watson (TB) ","vs. GB","-","F","1.1","+0.5","28% (4/14)"
"125","Quintez Cephus (DET) ","at JAC"," 8.4","F","1.0","-0.1","50% (2/4)"
"126","Ashton Dulin (IND) ","vs. CIN"," 6.4","F","1.0","-0.3","20% (3/15)"
"127","Gunner Olszewski (NE) ","vs. DEN"," 6.0","F","0.9","-0.1","20% (1/5)"
"128","JJ Arcega-Whiteside (PHI) ","vs. BAL"," 4.0","F","0.8","-0.7","35% (5/14)"
"129","Brandon Powell (ATL) ","at MIN"," 6.0","F","0.8","-0.5","14% (1/7)"
"130","Nick Westbrook-Ikhine (TEN) ","vs. HOU"," 6.2","F","0.8","-","-"
"131","Marvin Hall (DET) ","at JAC"," 8.4","F","0.7","+1.3","54% (6/11)"
"132","Tyrie Cleveland (DEN) ","at NE"," 6.6","F","0.7","-0.1","33% (1/3)"
"133","Jaydon Mickens (TB) ","vs. GB"," 6.0","F","0.6","-0.9","20% (1/5)"
"134","Diontae Spencer (DEN) ","at NE"," 6.6","F","0.5","-0.5","21% (3/14)"
"135","Equanimeous St. Brown (GB) ","at TB","-","F","0.5","0.0","0% (0/1)"
"136","Andre Roberts (BUF) ","vs. KC"," 4.0","F","0.4","-0.8","20% (3/15)"
"137","Pharoh Cooper (CAR) ","vs. CHI"," 4.6","F","0.4","+0.2","40% (6/15)"
"138","Donovan Peoples-Jones (CLE) ","at PIT"," 7.6","F","0.2","-1.6","0% (0/2)"
"139","Alex Erickson (CIN) ","at IND"," 4.6","F","0.2","-0.1","37% (6/16)"
"140","Cam Batson (TEN) ","vs. HOU"," 6.2","F","0.1","-4.3","0% (0/2)"
"141","Quez Watkins (PHI) ","vs. BAL"," 4.2","F","0.1","-1.9","0% (0/1)"
"142","Dede Westbrook (JAC) ","vs. DET","-","F","0.1","-0.9","36% (4/11)"
"143","KeeSean Johnson (ARI) ","at DAL"," 8.6","F","0.1","-1.5","25% (3/12)"
"144","John Ross (CIN) ","at IND","-","F","0.1","-4.0","12% (1/8)"
"145","DeAndre Carter (HOU) ","at TEN"," 6.8","F","0.1","-0.5","25% (4/16)"
"146","James Proche (BAL) ","at PHI"," 5.8","F","0.1","-0.2","0% (0/5)"
"147","Cam Sims (WAS) ","at NYG"," 5.8","F","0.1","+0.2","28% (2/7)"
"148","Tajae Sharpe (MIN) ","vs. ATL"," 6.6","F","0.1","+1.3","38% (5/13)"
"149","Mack Hollins (MIA) ","vs. NYJ"," 7.8","F","0.1","-1.9","0% (0/15)"
"150","Trent Sherfield (ARI) ","at DAL"," 8.6","F","0.0","-1.1","6% (1/15)"
