"RK","PLAYER NAME",TEAM,"OPP","MATCHUP (?)","START/SIT","PROJ. FPTS"
"39","Joshua Kelley",LAC,"vs. LV","4 out of 5 stars","C-","7.5"
"40","J.D. McKissic",WAS,"vs. NYG","3 out of 5 stars","C-","7.5"
"41","Mike Davis",CAR,"at KC","2 out of 5 stars","C-","7.2"
"42","Tyler Ervin",GB,"at SF","1 out of 5 stars","D+","7.0"
"43","Latavius Murray",NO,"at TB","1 out of 5 stars","D+","6.6"
"44","Adrian Peterson",DET,"at MIN","2 out of 5 stars","D","6.5"
"45","Rex Burkhead",NE,"at NYJ","4 out of 5 stars","D","6.4"
"46","Brian Hill",ATL,"vs. DEN","1 out of 5 stars","D","6.4"
"47","Tony Pollard",DAL,"vs. PIT","2 out of 5 stars","D-","6.4"
"48","Frank Gore",NYJ,"vs. NE","4 out of 5 stars","F","6.2"
"49","Alexander Mattison",MIN,"vs. DET","5 out of 5 stars","F","6.1"
"50","Kerryon Johnson",DET,"at MIN","2 out of 5 stars","F","6.0"
"51","Troymaine Pope",LAC,"vs. LV","4 out of 5 stars","F","5.8"
"52","Jalen Richard",LV,"at LAC","3 out of 5 stars","F","5.7"
"53","Benny Snell Jr.",PIT,"at DAL","4 out of 5 stars","F","5.7"
"54","Kyle Juszczyk",SF,"vs. GB","5 out of 5 stars","F","5.5"
"55","Duke Johnson Jr.",HOU,"at JAC","5 out of 5 stars","F","5.2"
"56","Travis Homer",SEA,"at BUF","5 out of 5 stars","F","5.1"
"57","Dion Lewis",NYG,"at WAS","2 out of 5 stars","F","5.0"
"58","Devontae Booker",LV,"at LAC","3 out of 5 stars","F","4.8"
"59","Anthony McFarland Jr.",PIT,"at DAL","4 out of 5 stars","F","4.6"
"60","Dexter Williams",GB,"at SF","1 out of 5 stars","F","4.4"
"61","Jeremy McNichols",TEN,"vs. CHI","2 out of 5 stars","F","4.2"
"62","Royce Freeman",DEN,"at ATL","2 out of 5 stars","F","3.9"
"63","Eno Benjamin",ARI,"vs. MIA","5 out of 5 stars","F","3.7"
"64","Darrel Williams",KC,"vs. CAR","5 out of 5 stars","F","3.4"
"65","Jaylen Samuels",PIT,"at DAL","4 out of 5 stars","F","3.3"
"66","Chris Thompson",JAC,"vs. HOU","5 out of 5 stars","F","3.3"
"67","Alfred Morris",NYG,"at WAS","2 out of 5 stars","F","3.3"
"68","Jordan Howard",MIA,"at ARI","3 out of 5 stars","F","3.2"
"69","LeSean McCoy",TB,"vs. NO","1 out of 5 stars","F","2.9"
"70","Darwin Thompson",KC,"vs. CAR","5 out of 5 stars","F","2.8"
"71","Ty Johnson",NYJ,"vs. NE","4 out of 5 stars","F","2.7"
"72","Ryan Nall",CHI,"at TEN","5 out of 5 stars","F","2.6"
"73","Patrick Laird",MIA,"at ARI","3 out of 5 stars","F","2.4"
"74","Jakob Johnson",NE,"at NYJ","4 out of 5 stars","F","2.3"
"75","Qadree Ollison",ATL,"vs. DEN","1 out of 5 stars","F","2.3"
"76","Peyton Barber",WAS,"vs. NYG","3 out of 5 stars","F","2.0"
"77","Alec Ingold",LV,"at LAC","3 out of 5 stars","F","2.0"
"78","D'Onta Foreman",TEN,"vs. CHI","2 out of 5 stars","F","1.9"
"79","Justice Hill",BAL,"at IND","1 out of 5 stars","F","1.8"
"80","Elijhaa Penny",NYG,"at WAS","2 out of 5 stars","F","1.8"
"81","Ke'Shawn Vaughn",TB,"vs. NO","1 out of 5 stars","F","1.8"
"82","C.J. Ham",MIN,"vs. DET","5 out of 5 stars","F","1.7"
"83","Kenyan Drake",ARI,"vs. MIA","5 out of 5 stars","F","1.7"
"84","Alex Armah",CAR,"at KC","2 out of 5 stars","F","1.7"
"85","Trenton Cannon",CAR,"at KC","2 out of 5 stars","F","1.7"
"86","Devonta Freeman",NYG,"at WAS","2 out of 5 stars","F","1.6"
"87","Reggie Gilliam",BUF,"vs. SEA","2 out of 5 stars","F","1.6"
"88","Ameer Abdullah",MIN,"vs. DET","5 out of 5 stars","F","1.5"
"89","Ito Smith",ATL,"vs. DEN","1 out of 5 stars","F","1.5"
"90","Patrick Ricard",BAL,"at IND","1 out of 5 stars","F","1.5"
"91","Keith Smith",ATL,"vs. DEN","1 out of 5 stars","F","1.5"
"92","Michael Burton",NO,"at TB","1 out of 5 stars","F","1.4"
"93","Dare Ogunbowale",JAC,"vs. HOU","5 out of 5 stars","F","1.4"
"94","DeAndre Washington",KC,"vs. CAR","5 out of 5 stars","F","1.4"
"95","Ty Montgomery",NO,"at TB","1 out of 5 stars","F","1.3"
"96","Anthony Sherman",KC,"vs. CAR","5 out of 5 stars","F","1.3"
"97","Kalen Ballage",LAC,"vs. LV","4 out of 5 stars","F","1.1"
"98","Mike Boone",MIN,"vs. DET","5 out of 5 stars","F","1.1"
"99","Rico Dowdle",DAL,"vs. PIT","2 out of 5 stars","F","1.0"
"100","T.J. Yeldon",BUF,"vs. SEA","2 out of 5 stars","F","0.9"
"101","Josh Adams",NYJ,"vs. NE","4 out of 5 stars","F","0.4"
"102","Devine Ozigbo",JAC,"vs. HOU","5 out of 5 stars","F","0.1"
"103","Jonathan Ward",ARI,"vs. MIA","5 out of 5 stars","F","0.3"
"104","Khari Blasingame",TEN,"vs. CHI","2 out of 5 stars","F","0.2"
"105","Lynn Bowden Jr.",MIA,"at ARI","3 out of 5 stars","F","-"
"106","J.J. Taylor",NE,"at NYJ","4 out of 5 stars","F","-"
