"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"58","Charlie Woerner",SF,"vs. WAS","3 out of 5 stars","F","1.7"
"59","Jason Witten",LV,"vs. IND","1 out of 5 stars","F","1.7"
"60","Pharaoh Brown",HOU,"at CHI","5 out of 5 stars","F","1.7"
"61","Tyler Conklin",MIN,"at TB","3 out of 5 stars","F","1.6"
"62","Nick Vannett",DEN,"at CAR","3 out of 5 stars","F","1.6"
"63","Chris Manhertz",CAR,"vs. DEN","3 out of 5 stars","F","1.6"
"64","Jace Sternberger",GB,"at DET","3 out of 5 stars","F","1.6"
"65","Kaden Smith",NYG,"vs. ARI","3 out of 5 stars","F","1.5"
"66","Dalton Keene",NE,"at LAR","3 out of 5 stars","F","1.5"
"67","Troy Fumagalli",DEN,"at CAR","3 out of 5 stars","F","1.5"
"68","Nick Keizer",KC,"at MIA","3 out of 5 stars","F","1.4"
"69","Blake Bell",DAL,"at CIN","4 out of 5 stars","F","1.4"
"70","Gabe Nabers",LAC,"vs. ATL","5 out of 5 stars","F","1.4"
"71","Kahale Warring",HOU,"at CHI","5 out of 5 stars","F","1.4"
"72","Lee Smith",BUF,"vs. PIT","1 out of 5 stars","F","1.4"
"73","Richard Rodgers",PHI,"vs. NO","1 out of 5 stars","F","1.4"
"74","Stephen Anderson",LAC,"vs. ATL","5 out of 5 stars","F","1.3"
"75","Deon Yelder",KC,"at MIA","3 out of 5 stars","F","1.3"
"76","Vance McDonald",PIT,"at BUF","4 out of 5 stars","F","1.4"
"77","Jaeden Graham",ATL,"at LAC","4 out of 5 stars","F","1.3"
"78","Cethan Carter",CIN,"vs. DAL","4 out of 5 stars","F","1.3"
"79","Demetrius Harris",CHI,"vs. HOU","3 out of 5 stars","F","1.3"
"80","Tyler Kroft",BUF,"vs. PIT","1 out of 5 stars","F","1.3"
"81","Luke Stocker",ATL,"at LAC","4 out of 5 stars","F","1.2"
"82","Mason Schreck",CIN,"vs. DAL","4 out of 5 stars","F","1.2"
"83","Eric Saubert",JAC,"vs. TEN","4 out of 5 stars","F","1.2"
"84","Levine Toilolo",NYG,"vs. ARI","3 out of 5 stars","F","1.2"
"85","Colin Thompson",CAR,"vs. DEN","3 out of 5 stars","F","1.0"
"86","Jeremy Sprinkle",WAS,"at SF","1 out of 5 stars","F","1.1"
"87","Johnny Mundt",LAR,"vs. NE","1 out of 5 stars","F","0.9"
"88","Josh Hill",NO,"at PHI","3 out of 5 stars","F","1.0"
"89","Seth DeValve",ARI,"at NYG","2 out of 5 stars","F","0.8"
"90","Brandon Dillon",MIN,"at TB","3 out of 5 stars","F","0.7"
"91","Hunter Bryant",DET,"vs. GB","1 out of 5 stars","F","0.6"
"92","Colby Parkinson",SEA,"vs. NYJ","4 out of 5 stars","F","0.6"
"93","Stephen Carlson",CLE,"vs. BAL","3 out of 5 stars","F","0.5"
"94","Eric Tomlinson",BAL,"at CLE","4 out of 5 stars","F","0.6"
"95","Temarrick Hemingway",WAS,"at SF","1 out of 5 stars","F","0.4"
"96","Derek Carrier",LV,"vs. IND","1 out of 5 stars","F","0.5"
"97","Daniel Brown",NYJ,"at SEA","3 out of 5 stars","F","0.4"
"98","Tanner Hudson",TB,"vs. MIN","3 out of 5 stars","F","0.5"
"99","J.P. Holtz",CHI,"vs. HOU","3 out of 5 stars","F","0.4"
"100","Sean McKeon",DAL,"at CIN","4 out of 5 stars","F","0.3"
"101","Sean Culkin",BAL,"at CLE","4 out of 5 stars","F","-"
"102","Jordan Thomas",NE,"at LAR","3 out of 5 stars","F","-"
"103","Tyler Davis",JAC,"vs. TEN","4 out of 5 stars","F","-"
"104","Andrew Beck",DEN,"at CAR","3 out of 5 stars","F","-"
"105","Antony Auclair",TB,"vs. MIN","3 out of 5 stars","F","-"
