"Player","Position","Team","Opp","DK Salary","DK Small","DK Medium","DK Large","FD Salary","FD Large"
"Ricky Pearsall","WR","SF","SEA","4900","7.3%","7.1%","6.9%","5800","4.2%"
"Antonio Gibson","RB","NE","LA","4800","0.0%","0.0%","0.0%","5100","0.0%"
"Kyle Pitts","TE","ATL","@DEN","4800","0.5%","0.7%","0.9%","5500","8.0%"
"Diontae Johnson","WR","BAL","@PIT","4800","0.0%","0.0%","0.0%","5700","0.0%"
"Tyjae Spears","RB","TEN","MIN","4700","0.3%","0.4%","0.5%","5300","0.5%"
"Jaleel McLaughlin","RB","DEN","ATL","4700","0.0%","0.0%","0.0%","5000","0.0%"
"T.J. Hockenson","TE","MIN","@TEN","4700","2.0%","3.1%","3.9%","6500","0.5%"
"DeMario Douglas","WR","NE","LA","4700","2.2%","3.3%","4.0%","5300","6.5%"
"Gabe Davis","WR","JAX","@DET","4700","0.3%","0.4%","0.5%","5700","0.5%"
"Roschon Johnson","RB","CHI","GB","4600","0.1%","0.2%","0.3%","5900","0.3%"
"Samaje Perine","RB","KC","@BUF","4600","0.0%","0.0%","0.0%","5000","0.0%"
"Cam Akers","RB","MIN","@TEN","4600","0.0%","0.0%","0.0%","5600","0.0%"
"Mark Andrews","TE","BAL","@PIT","4600","0.6%","1.1%","1.4%","6100","0.6%"
"Rashod Bateman","WR","BAL","@PIT","4600","1.8%","1.5%","1.3%","5400","2.7%"
"Mason Tipton","WR","NO","CLE","4600","0.0%","0.0%","0.0%","5000","0.6%"
"Audric Estime","RB","DEN","ATL","4500","6.0%","6.9%","7.5%","5400","6.0%"
"Emanuel Wilson","RB","GB","@CHI","4500","0.0%","0.0%","0.0%","5200","0.3%"
"Zamir White","RB","LV","@MIA","4500","0.0%","0.0%","0.0%","5100","0.0%"
"Ty Chandler","RB","MIN","@TEN","4500","0.0%","0.0%","0.0%","5100","0.0%"
"Taysom Hill","TE","NO","CLE","4500","6.5%","6.6%","6.6%","6400","1.0%"
"Jordan Whittington","WR","LA","@NE","4500","0.0%","0.0%","0.0%","4700","0.0%"
"JuJu Smith-Schuster","WR","KC","@BUF","4500","0.0%","0.0%","0.0%","5200","0.0%"
"Jerome Ford","RB","CLE","@NO","4400","0.1%","0.2%","0.3%","5200","0.3%"
"Tucker Kraft","TE","GB","@CHI","4400","0.5%","0.7%","0.8%","6000","0.6%"
"Marquez Valdes-Scantling","WR","NO","CLE","4400","1.8%","1.0%","0.5%","5900","0.5%"
"Adonai Mitchell","WR","IND","@NYJ","4400","0.0%","0.0%","0.0%","5300","0.0%"
"Ty Johnson","RB","BUF","KC","4300","0.0%","0.0%","0.0%","4800","0.0%"
"Trey Sermon","RB","IND","@NYJ","4300","0.0%","0.0%","0.0%","5000","0.0%"
"Elijah Moore","WR","CLE","@NO","4300","25.5%","22.3%","20.1%","5500","6.4%"
"Cedrick Wilson Jr.","WR","NO","CLE","4300","0.0%","0.0%","0.0%","5100","0.0%"
"Julius Chestnut","RB","TEN","MIN","4200","0.0%","0.0%","0.0%","4700","0.0%"
"Pat Freiermuth","TE","PIT","BAL","4200","0.3%","0.6%","0.8%","5300","1.4%"
"Ray-Ray McCloud III","WR","ATL","@DEN","4200","1.2%","2.0%","2.6%","5600","0.5%"
"Tutu Atwell","WR","LA","@NE","4200","0.0%","0.0%","0.0%","5000","0.0%"
"Ameer Abdullah","RB","LV","@MIA","4100","0.0%","0.0%","0.0%","4700","0.0%"
"JaMycal Hasty","RB","NE","LA","4100","0.0%","0.0%","0.0%","4500","0.0%"
"Cole Kmet","TE","CHI","GB","4100","0.1%","0.2%","0.3%","5200","0.3%"
"Tre Tucker","WR","LV","@MIA","4100","2.4%","2.6%","2.8%","5100","1.5%"
"Mike Williams","WR","PIT","BAL","4100","0.7%","1.0%","1.3%","5700","0.3%"
"D'Ernest Johnson","RB","JAX","@DET","4000","0.1%","0.2%","0.3%","5200","0.3%"
"Cordarrelle Patterson","RB","PIT","BAL","4000","0.0%","0.0%","0.0%","4300","0.0%"
"Kyle Juszczyk","RB","SF","SEA","4000","0.0%","0.0%","0.0%","4200","0.0%"
"Pierre Strong Jr.","RB","CLE","@NO","4000","0.0%","0.0%","0.0%","4700","0.0%"
"Alec Ingold","RB","MIA","LV","4000","0.0%","0.0%","0.0%","4200","0.0%"
"Carson Steele","RB","KC","@BUF","4000","0.0%","0.0%","0.0%","4900","0.0%"
"Chris Brooks","RB","GB","@CHI","4000","0.0%","0.0%","0.0%","4700","0.0%"
"Jordan Mims","RB","NO","CLE","4000","0.0%","0.0%","0.0%","4800","0.0%"
"Patrick Ricard","RB","BAL","@PIT","4000","0.0%","0.0%","0.0%","4300","0.0%"
"C.J. Ham","RB","MIN","@TEN","4000","0.0%","0.0%","0.0%","4000","0.0%"
"Michael Burton","RB","DEN","ATL","4000","0.0%","0.0%","0.0%","4400","0.0%"
"Ronnie Rivers","RB","LA","@NE","4000","0.0%","0.0%","0.0%","4800","0.0%"
"Sione Vaki","RB","DET","JAX","4000","0.0%","0.0%","0.0%","4000","0.0%"
"Isaiah Davis","RB","NYJ","IND","4000","0.0%","0.0%","0.0%","4200","0.0%"
"Travis Homer","RB","CHI","GB","4000","0.0%","0.0%","0.0%","4000","0.0%"
"Craig Reynolds","RB","DET","JAX","4000","0.0%","0.0%","0.0%","4600","0.0%"
"Kenny McIntosh","RB","SEA","@SF","4000","0.0%","0.0%","0.0%","4200","0.0%"
"Adam Prentice","RB","NO","CLE","4000","0.0%","0.0%","0.0%","4000","0.0%"
"Keaton Mitchell","RB","BAL","@PIT","4000","0.0%","0.0%","0.0%","4100","0.0%"
"Avery Williams","RB","ATL","@DEN","4000","0.0%","0.0%","0.0%","4100","0.0%"
"Isaiah Likely","TE","BAL","@PIT","4000","0.1%","0.2%","0.3%","5600","0.3%"
"Parker Washington","WR","JAX","@DET","4000","0.1%","0.2%","0.3%","5300","0.3%"
"Jalen Nailor","WR","MIN","@TEN","4000","0.0%","0.0%","0.0%","5000","0.0%"
"Hunter Henry","TE","NE","LA","3900","15.6%","14.8%","14.2%","5300","10.0%"
"Devaughn Vele","WR","DEN","ATL","3900","6.7%","6.6%","6.6%","5200","2.0%"
"DJ Turner","WR","LV","@MIA","3900","0.0%","0.0%","0.0%","5100","0.0%"
"Lions ","DST","DET","JAX","3800","1.2%","2.1%","2.7%","5100","0.9%"
"Jonnu Smith","TE","MIA","LV","3800","9.7%","10.2%","10.6%","5100","9.0%"
"Mack Hollins","WR","BUF","KC","3800","0.1%","0.3%","0.4%","5600","0.3%"
"Vikings ","DST","MIN","@TEN","3700","3.4%","3.9%","4.3%","5000","1.7%"
"Troy Franklin","WR","DEN","ATL","3700","0.1%","0.2%","0.3%","5000","0.3%"
"Justin Watson","WR","KC","@BUF","3700","0.0%","0.0%","0.0%","4800","0.0%"
"49ers ","DST","SF","SEA","3600","0.4%","0.5%","0.5%","4900","0.5%"
"Colby Parkinson","TE","LA","@NE","3600","0.0%","0.0%","0.0%","5000","0.0%"
"Nick Westbrook-Ikhine","WR","TEN","MIN","3600","6.1%","6.5%","6.7%","5400","0.3%"
"Calvin Austin III","WR","PIT","BAL","3600","5.7%","5.3%","5.0%","5200","0.5%"
"Packers ","DST","GB","@CHI","3500","6.0%","6.8%","7.3%","4600","10.6%"
"Dawson Knox","TE","BUF","KC","3500","20.5%","17.9%","16.1%","5100","10.0%"
"Kayshon Boutte","WR","NE","LA","3500","27.1%","23.7%","21.4%","4900","4.7%"
"Van Jefferson","WR","PIT","BAL","3500","0.1%","0.1%","0.1%","4400","0.3%"
"Kalif Raymond","WR","DET","JAX","3500","0.0%","0.0%","0.0%","4800","0.0%"
"Tyler Johnson","WR","LA","@NE","3500","0.0%","0.0%","0.0%","4900","0.0%"
"Nelson Agholor","WR","BAL","@PIT","3500","0.0%","0.0%","0.0%","5100","0.0%"
"Ravens ","DST","BAL","@PIT","3400","0.3%","0.4%","0.5%","4800","0.5%"
"Juwan Johnson","TE","NO","CLE","3400","2.3%","2.8%","3.1%","5200","0.8%"
"Tyler Boyd","WR","TEN","MIN","3400","0.3%","0.7%","0.9%","4600","0.1%"
"Tim Patrick","WR","DET","JAX","3400","0.0%","0.0%","0.1%","4900","0.0%"
"Ja'Lynn Polk","WR","NE","LA","3400","0.0%","0.0%","0.0%","4800","0.0%"
"Odell Beckham Jr.","WR","MIA","LV","3400","0.0%","0.0%","0.0%","4700","0.0%"
"Saints ","DST","NO","CLE","3300","0.4%","0.9%","1.2%","3900","13.0%"
"Brock Wright","TE","DET","JAX","3300","0.1%","0.2%","0.3%","4600","0.3%"
"Curtis Samuel","WR","BUF","KC","3300","2.0%","2.2%","2.3%","5000","0.3%"
"Jake Bobo","WR","SEA","@SF","3300","0.0%","0.0%","0.0%","4800","0.0%"
"Mecole Hardman","WR","KC","@BUF","3300","0.0%","0.0%","0.0%","5000","0.0%"
"Tylan Wallace","WR","BAL","@PIT","3300","0.0%","0.0%","0.0%","4700","0.0%"
"Rams ","DST","LA","@NE","3200","8.5%","8.4%","8.3%","4700","2.5%"
"Tyler Conklin","TE","NYJ","IND","3200","1.6%","2.6%","3.2%","5000","0.3%"
"Lil'Jordan Humphrey","WR","DEN","ATL","3200","5.1%","5.8%","6.3%","4500","1.5%"
"Chiefs ","DST","KC","@BUF","3100","0.1%","0.2%","0.3%","3900","0.3%"
"AJ Barner","TE","SEA","@SF","3100","15.5%","14.4%","13.6%","4800","3.4%"
"Josh Oliver","TE","MIN","@TEN","3100","0.0%","0.0%","0.0%","4700","0.0%"
"Marvin Mims Jr.","WR","DEN","ATL","3100","0.0%","0.1%","0.2%","4400","0.0%"
"Kendrick Bourne","WR","NE","LA","3100","0.0%","0.0%","0.0%","5000","0.0%"
"Laviska Shenault Jr.","WR","SEA","@SF","3100","0.0%","0.0%","0.0%","4300","0.0%"
"Malik Washington","WR","MIA","LV","3100","0.0%","0.0%","0.0%","4500","0.0%"
"Tim Jones","WR","JAX","@DET","3100","0.0%","0.0%","0.0%","4500","0.0%"
"Allen Robinson II","WR","DET","JAX","3100","0.0%","0.0%","0.0%","4400","0.0%"
"Dolphins ","DST","MIA","LV","3000","16.4%","14.2%","12.7%","4300","8.8%"
"Foster Moreau","TE","NO","CLE","3000","0.1%","0.3%","0.4%","4800","0.0%"
"Chig Okonkwo","TE","TEN","MIN","3000","0.1%","0.3%","0.4%","4800","0.3%"
"K.J. Osborn","WR","NE","LA","3000","0.0%","0.0%","0.1%","4700","0.0%"
"Ramel Keyton","WR","LV","@MIA","3000","0.0%","0.0%","0.1%","4200","0.1%"
"Kevin Austin Jr.","WR","NO","CLE","3000","0.0%","0.0%","0.0%","4700","0.0%"
"Cody White","WR","SEA","@SF","3000","0.0%","0.0%","0.0%","4000","0.0%"
"Bryce Oliver","WR","TEN","MIN","3000","0.0%","0.0%","0.0%","4400","0.0%"
"Trent Sherfield Sr.","WR","MIN","@TEN","3000","0.0%","0.0%","0.0%","4600","0.0%"
"Velus Jones Jr.","WR","JAX","@DET","3000","0.0%","0.0%","0.0%","4000","0.0%"
"Ashton Dulin","WR","IND","@NYJ","3000","0.0%","0.0%","0.0%","4300","0.0%"
"DeAndre Carter","WR","CHI","GB","3000","0.0%","0.0%","0.0%","4100","0.0%"
"Dante Pettis","WR","NO","CLE","3000","0.0%","0.0%","0.0%","4400","0.0%"
"Bo Melton","WR","GB","@CHI","3000","0.0%","0.0%","0.0%","4500","0.0%"
"KhaDarel Hodge","WR","ATL","@DEN","3000","0.0%","0.0%","0.0%","4300","0.0%"
"Xavier Gipson","WR","NYJ","IND","3000","0.0%","0.0%","0.0%","4600","0.0%"
"Malik Heath","WR","GB","@CHI","3000","0.0%","0.0%","0.0%","4100","0.0%"
"Brandon Powell","WR","MIN","@TEN","3000","0.0%","0.0%","0.0%","4300","0.0%"
"Malachi Corley","WR","NYJ","IND","3000","0.0%","0.0%","0.0%","4800","0.0%"
"Ronnie Bell","WR","SF","SEA","3000","0.0%","0.0%","0.0%","4200","0.0%"
"Devin Duvernay","WR","JAX","@DET","3000","0.0%","0.0%","0.0%","4000","0.0%"
"Jaelon Darden","WR","CLE","@NO","3000","0.0%","0.0%","0.0%","4000","0.0%"
"Chris Conley","WR","SF","SEA","3000","0.0%","0.0%","0.0%","4500","0.0%"
"Jha'Quan Jackson","WR","TEN","MIN","3000","0.0%","0.0%","0.0%","4000","0.0%"
"Tyler Scott","WR","CHI","GB","3000","0.0%","0.0%","0.0%","4100","0.0%"
"River Cracraft","WR","MIA","LV","3000","0.0%","0.0%","0.0%","4000","0.0%"
"Justin Shorter","WR","LV","@MIA","3000","0.0%","0.0%","0.0%","4000","0.0%"
"Terrace Marshall Jr.","WR","LV","@MIA","3000","0.0%","0.0%","0.0%","4000","0.0%"
"Javon Baker","WR","NE","LA","3000","0.0%","0.0%","0.0%","4000","0.0%"
"Jermaine Jackson","WR","NO","CLE","3000","0.0%","0.0%","0.0%","4600","0.0%"
"Jamari Thrash","WR","CLE","@NO","3000","0.0%","0.0%","0.0%","4000","0.0%"
"Kadarius Toney","WR","CLE","@NO","3000","0.0%","0.0%","0.0%","4300","0.0%"
"Ben Skowronek","WR","PIT","BAL","3000","0.0%","0.0%","0.0%","4000","0.0%"
"Jalen Virgil","WR","BUF","KC","3000","0.0%","0.0%","0.0%","4100","0.0%"
"Broncos ","DST","DEN","ATL","2900","2.4%","2.8%","3.1%","4500","0.5%"
"Austin Hooper","TE","NE","LA","2900","0.1%","0.5%","0.8%","4900","0.3%"
"Jordan Akins","TE","CLE","@NO","2900","0.0%","0.0%","0.0%","4700","0.0%"
"Jets ","DST","NYJ","IND","2800","15.4%","13.8%","12.7%","4200","7.0%"
"Noah Gray","TE","KC","@BUF","2800","0.3%","0.5%","0.6%","4600","0.1%"
"Adam Trautman","TE","DEN","ATL","2800","0.0%","0.0%","0.0%","4700","0.0%"
"Bills ","DST","BUF","KC","2700","4.6%","5.3%","5.7%","4400","0.5%"
"Falcons ","DST","ATL","@DEN","2700","1.0%","1.3%","1.4%","3800","1.2%"
"Darnell Washington","TE","PIT","BAL","2700","0.0%","0.1%","0.1%","4600","0.0%"
"Brenton Strange","TE","JAX","@DET","2700","0.0%","0.1%","0.1%","4700","0.0%"
"Lucas Krull","TE","DEN","ATL","2700","0.0%","0.0%","0.0%","4500","0.0%"
"Browns ","DST","CLE","@NO","2600","4.6%","5.1%","5.4%","4100","0.8%"
"Colts ","DST","IND","@NYJ","2600","0.7%","2.2%","3.2%","3300","13.0%"
"Johnny Mundt","TE","MIN","@TEN","2600","0.0%","0.0%","0.0%","4300","0.0%"
"Jeremy Ruckert","TE","NYJ","IND","2600","0.0%","0.0%","0.0%","4900","0.0%"
"Kylen Granson","TE","IND","@NYJ","2600","0.0%","0.0%","0.0%","4000","0.0%"
"Patriots ","DST","NE","LA","2500","2.7%","2.9%","3.0%","3400","9.4%"
"Steelers ","DST","PIT","BAL","2500","0.3%","0.8%","1.0%","4000","0.3%"
"Davis Allen","TE","LA","@NE","2500","20.3%","18.0%","16.5%","4200","4.0%"
"Eric Saubert","TE","SF","SEA","2500","5.8%","5.4%","5.2%","4100","0.2%"
"Josh Whyle","TE","TEN","MIN","2500","0.1%","0.1%","0.1%","4300","0.0%"
"Michael Mayer","TE","LV","@MIA","2500","0.0%","0.0%","0.0%","4000","0.2%"
"Charlie Kolar","TE","BAL","@PIT","2500","0.0%","0.0%","0.0%","4500","0.0%"
"Quintin Morris","TE","BUF","KC","2500","0.0%","0.0%","0.0%","4100","0.0%"
"Nick Vannett","TE","TEN","MIN","2500","0.0%","0.0%","0.0%","4400","0.0%"
"Mo Alie-Cox","TE","IND","@NYJ","2500","0.0%","0.0%","0.0%","4000","0.0%"
"Kenny Yeboah","TE","NYJ","IND","2500","0.0%","0.0%","0.0%","4200","0.0%"
"Drew Ogletree","TE","IND","@NYJ","2500","0.0%","0.0%","0.0%","4000","0.0%"
"Julian Hill","TE","MIA","LV","2500","0.0%","0.0%","0.0%","4200","0.0%"
"Connor Heyward","TE","PIT","BAL","2500","0.0%","0.0%","0.0%","4100","0.0%"
"Luke Farrell","TE","JAX","@DET","2500","0.0%","0.0%","0.0%","4200","0.0%"
"Nate Adkins","TE","DEN","ATL","2500","0.0%","0.0%","0.0%","4100","0.0%"
"Hunter Long","TE","LA","@NE","2500","0.0%","0.0%","0.0%","4400","0.0%"
"Peyton Hendershot","TE","KC","@BUF","2500","0.0%","0.0%","0.0%","4100","0.0%"
"Gerald Everett","TE","CHI","GB","2500","0.0%","0.0%","0.0%","4200","0.0%"
"Ben Sims","TE","GB","@CHI","2500","0.0%","0.0%","0.0%","4200","0.0%"
"Pharaoh Brown","TE","SEA","@SF","2500","0.0%","0.0%","0.0%","4200","0.0%"
"Will Mallory","TE","IND","@NYJ","2500","0.0%","0.0%","0.0%","4000","0.0%"
"Durham Smythe","TE","MIA","LV","2500","0.0%","0.0%","0.0%","4300","0.0%"
"Josiah Deguara","TE","JAX","@DET","2500","0.0%","0.0%","0.0%","4000","0.0%"
"Geoff Swaim","TE","CLE","@NO","2500","0.0%","0.0%","0.0%","4000","0.0%"
"Marcedes Lewis","TE","CHI","GB","2500","0.0%","0.0%","0.0%","4100","0.0%"
"Jaheim Bell","TE","NE","LA","2500","0.0%","0.0%","0.0%","4000","0.0%"
"John FitzPatrick","TE","GB","@CHI","2500","0.0%","0.0%","0.0%","4000","0.0%"
"Shane Zylstra","TE","DET","JAX","2500","0.0%","0.0%","0.0%","4000","0.1%"
"James Mitchell","TE","DET","JAX","2500","0.0%","0.0%","0.0%","4000","0.0%"
"Dallin Holker","TE","NO","CLE","2500","0.0%","0.0%","0.0%","4000","0.0%"
"Ross Dwelley","TE","ATL","@DEN","2500","0.0%","0.0%","0.0%","4000","0.0%"
"Tyler Mabry","TE","SEA","@SF","2500","0.0%","0.0%","0.0%","4000","0.0%"
"Jake Tonges","TE","SF","SEA","2500","0.0%","0.0%","0.0%","4100","0.0%"
"Bears ","DST","CHI","GB","2400","3.2%","3.7%","4.0%","3700","2.4%"
