"Player","Team","Opponent","DK Position","DK Salary","DK Projection","DK Value","DK Large Ownership","DK Small Ownership","DKSlateID","DK Floor","DK Ceiling"
"Javonte Williams","DEN","PIT","RB","5500","11.2","-2.7","0.5","0.3","35785570","4.0","21.1"
"Gabe Davis","JAX","CLE","WR","4400","9.0","-2.7","0.5","0.3","35785908","1.7","19.3"
"Noah Fant","SEA","@NE","TE","3600","7.5","-2.7","1.0","0.5","35786304","1.5","15.3"
"Diontae Johnson","CAR","LAC","WR","5100","10.4","-2.8","2.2","1.8","35785876","2.7","20.5"
"Justin Herbert","LAC","@CAR","QB","5800","15.2","-2.8","0.5","0.3","35785446","7.4","23.9"
"Theo Johnson","NYG","@WAS","TE","2600","5.4","-2.8","3.2","1.9","35786372","0.6","11.9"
"Zay Flowers","BAL","LV","WR","6300","12.5","-3.0","1.2","0.9","35785830","3.8","24.8"
"Travis Etienne Jr.","JAX","CLE","RB","7200","14.3","-3.0","1.3","0.5","35785522","5.3","26.4"
"Adonai Mitchell","IND","@GB","WR","4000","7.8","-3.1","0.5","0.3","35785922","1.2","17.2"
"Davante Adams","LV","@BAL","WR","7300","14.4","-3.1","0.5","0.3","35785812","4.7","27.1"
"Greg Dulcich","DEN","PIT","TE","2900","5.6","-3.2","1.0","0.9","35786338","0.8","12.5"
"Jalen McMillan","TB","@DET","WR","3600","7.0","-3.2","5.9","5.8","35785948","1.0","15.6"
"Cade Otton","TB","@DET","TE","3600","6.9","-3.2","0.8","0.1","35786302","1.2","14.5"
"Juwan Johnson","NO","@DAL","TE","3700","7.0","-3.4","0.3","0.1","35786300","1.2","14.7"
"Isaiah Likely","BAL","LV","TE","4800","9.0","-3.5","0.5","0.5","35786286","2.1","18.2"
"Josh Reynolds","DEN","PIT","WR","4300","8.0","-3.5","0.5","0.3","35785914","1.6","16.9"
"Kalif Raymond","DET","TB","WR","3500","6.5","-3.5","1.0","0.7","35785954","0.6","14.9"
"DeMario Douglas","NE","SEA","WR","4500","8.4","-3.5","0.7","0.3","35785902","1.9","17.4"
"Marvin Harrison Jr.","ARI","LA","WR","6900","13.1","-3.6","0.5","0.3","35785818","3.8","25.9"
"Michael Wilson","ARI","LA","WR","4300","7.9","-3.6","0.5","0.3","35785910","1.2","17.5"
"Bryce Young","CAR","LAC","QB","5100","12.3","-3.6","0.5","0.1","35785457","5.5","19.9"
"Joshua Palmer","LAC","@CAR","WR","5000","9.3","-3.6","0.5","0.3","35785882","2.1","19.4"
"Darius Slayton","NYG","@WAS","WR","4100","7.5","-3.6","0.5","0.3","35785918","1.1","16.5"
"Terry McLaurin","WAS","NYG","WR","5700","10.7","-3.6","2.0","1.6","35785850","2.6","21.8"
"Trenton Irwin","CIN","@KC","WR","3700","6.7","-3.7","0.3","0.1","35785938","0.8","15.0"
"Rashod Bateman","BAL","LV","WR","3900","7.0","-3.8","0.3","0.2","35785928","0.9","15.8"
"Jerry Jeudy","CLE","@JAX","WR","5100","9.3","-3.8","0.5","0.3","35785874","2.2","19.3"
"Hunter Henry","NE","SEA","TE","3800","6.8","-3.8","0.4","0.1","35786298","1.2","14.1"
"Tyjae Spears","TEN","NYJ","RB","5000","9.1","-3.8","0.6","0.3","35785596","2.8","17.9"
"Calvin Ridley","TEN","NYJ","WR","5800","10.6","-3.9","0.5","0.3","35785848","2.6","21.7"
"Jonathan Mingo","CAR","LAC","WR","3200","5.4","-4.0","0.3","0.1","35785994","0.6","12.2"
"Noah Gray","KC","CIN","TE","2800","4.5","-4.0","0.6","0.3","35786356","0.2","10.8"
"Kylen Granson","IND","@GB","TE","2900","4.7","-4.1","0.3","0.1","35786340","0.4","10.7"
"Gus Edwards","LAC","@CAR","RB","5200","9.2","-4.1","0.5","0.3","35785582","2.6","18.8"
"Foster Moreau","NO","@DAL","TE","2600","4.1","-4.1","1.7","1.6","35786376","0.1","9.8"
"Jalen Nailor","MIN","SF","WR","3900","6.5","-4.2","0.3","0.1","35785926","0.8","14.8"
"Tucker Kraft","GB","IND","TE","3300","5.2","-4.3","0.3","0.1","35786316","0.7","11.4"
"Pat Freiermuth","PIT","@DEN","TE","4100","6.8","-4.3","0.3","0.1","35786292","1.3","14.3"
"Brandon Powell","MIN","SF","WR","3300","5.1","-4.4","0.3","0.1","35785984","0.4","12.0"
"Tyquan Thornton","NE","SEA","WR","3300","5.2","-4.4","0.3","0.1","35785988","0.5","11.9"
"Olamide Zaccheaus","WAS","NYG","WR","3000","4.5","-4.4","0.0","0.0","35786062","0.0","11.5"
"Chase Brown","CIN","@KC","RB","4700","7.8","-4.5","0.5","0.3","35785610","2.0","16.0"
"Tre Tucker","LV","@BAL","WR","3400","5.2","-4.5","0.3","0.1","35785966","0.4","12.4"
"Michael Mayer","LV","@BAL","TE","2900","4.3","-4.5","0.0","0.0","35786344","0.2","9.9"
"Luke McCaffrey","WAS","NYG","WR","3800","6.0","-4.5","0.3","0.1","35785936","0.7","13.8"
"Zamir White","LV","@BAL","RB","5600","9.5","-4.6","0.5","0.3","35785564","3.1","18.8"
"Austin Hooper","NE","SEA","TE","3000","4.4","-4.6","0.1","0.0","35786330","0.3","10.0"
"Elijah Higgins","ARI","LA","TE","2500","3.3","-4.7","0.0","0.0","35786386","0.0","8.4"
"Drew Sample","CIN","@KC","TE","2500","3.2","-4.8","0.0","0.0","35786388","0.0","8.0"
"Jakobi Meyers","LV","@BAL","WR","5100","8.3","-4.8","0.5","0.3","35785878","1.7","17.5"
"K.J. Osborn","NE","SEA","WR","3900","5.9","-4.8","0.3","0.1","35785930","0.8","13.3"
"Mo Alie-Cox","IND","@GB","TE","2500","3.1","-4.9","0.0","0.0","35786476","0.0","8.1"
"Tommy Tremble","CAR","LAC","TE","2500","2.9","-5.0","0.0","0.0","35786514","0.0","7.4"
"Ty Chandler","MIN","SF","RB","5300","8.5","-5.0","0.5","0.3","35785578","2.4","17.3"
"Jauan Jennings","SF","@MIN","WR","4300","6.5","-5.0","0.3","0.1","35785916","0.7","15.1"
"Tyler Boyd","TEN","NYJ","WR","4400","6.7","-5.0","0.3","0.1","35785906","1.2","14.4"
"Josh Whyle","TEN","NYJ","TE","2500","3.0","-5.0","0.1","0.0","35786436","0.0","7.7"
"Lil'Jordan Humphrey","DEN","PIT","WR","3000","3.9","-5.1","0.0","0.0","35786038","0.0","9.7"
"Adam Thielen","CAR","LAC","WR","5200","8.1","-5.2","0.5","0.3","35785872","1.9","16.9"
"Justin Watson","KC","CIN","WR","3300","4.3","-5.2","0.4","0.0","35785980","0.0","11.4"
"Austin Ekeler","WAS","NYG","RB","5700","9.1","-5.2","0.5","0.3","35785562","2.7","17.9"
"Ja'Tavion Sanders","CAR","LAC","TE","2600","2.8","-5.4","0.2","0.1","35786374","0.0","7.3"
"Josh Oliver","MIN","SF","TE","3400","4.4","-5.4","0.0","0.0","35786312","0.2","10.0"
"Bucky Irving","TB","@DET","RB","4900","7.3","-5.4","0.5","0.3","35785600","1.9","15.2"
"DeAndre Hopkins","TEN","NYJ","WR","5400","8.2","-5.5","0.5","0.3","35785862","1.5","17.5"
"Christian Watson","GB","IND","WR","5000","7.4","-5.6","0.5","0.3","35785880","1.1","16.0"
"Alexander Mattison","LV","@BAL","RB","5300","7.9","-5.6","0.5","0.3","35785580","2.3","15.7"
"Antonio Gibson","NE","SEA","RB","4800","6.8","-5.7","0.3","0.1","35785604","1.7","13.9"
"Chig Okonkwo","TEN","NYJ","TE","4000","5.2","-5.7","0.3","0.1","35786294","0.6","11.6"
"Alec Pierce","IND","@GB","WR","4500","6.1","-5.8","1.4","1.0","35785904","0.6","14.4"
"Van Jefferson","PIT","@DEN","WR","3400","3.8","-5.9","0.1","0.0","35785968","0.0","9.9"
"Erick All Jr.","CIN","@KC","TE","2500","1.9","-6.0","0.0","0.0","35786548","0.0","5.7"
"MyCole Pruitt","PIT","@DEN","TE","2500","2.0","-6.0","0.0","0.0","35786396","0.0","5.7"
"Rico Dowdle","DAL","NO","RB","4800","6.4","-6.1","0.3","0.1","35785608","3.2","20.3"
"Ja'Lynn Polk","NE","SEA","WR","3800","4.4","-6.1","0.0","0.0","35785934","0.1","10.7"
"Romeo Doubs","GB","IND","WR","5700","8.1","-6.2","0.5","0.3","35785852","1.5","17.0"
"Tank Bigsby","JAX","CLE","RB","5100","6.9","-6.2","0.3","0.1","35785590","1.7","15.0"
"Will Dissly","LAC","@CAR","TE","2900","2.6","-6.2","0.0","0.0","35786342","0.0","7.0"
"Calvin Austin III","PIT","@DEN","WR","3100","2.9","-6.2","0.0","0.0","35786012","0.0","8.1"
"Cedric Tillman","CLE","@JAX","WR","3100","2.8","-6.4","0.0","0.0","35786014","0.0","7.6"
"Derius Davis","LAC","@CAR","WR","3000","2.6","-6.4","0.0","0.0","35786214","0.0","7.9"
"Darnell Washington","PIT","@DEN","TE","2500","1.5","-6.4","0.0","0.0","35786392","0.0","4.7"
"Luke Musgrave","GB","IND","TE","3400","3.2","-6.5","0.0","0.0","35786310","0.0","8.1"
"Jeremy Ruckert","NYJ","@TEN","TE","2800","2.1","-6.5","0.0","0.0","35786358","0.0","6.0"
