"Player","Position","Team","Opp","DK Salary","DK Small","DK Medium","DK Large","FD Salary","FD Large"
"Calvin Ridley","WR","TEN","JAX","5700","22.1%","19.6%","17.9%","6300","18.0%"
"Caleb Williams","QB","CHI","@SF","5600","7.1%","6.9%","6.7%","7300","4.3%"
"Travis Etienne Jr.","RB","JAX","@TEN","5600","0.3%","0.4%","0.5%","6400","0.5%"
"Jakobi Meyers","WR","LV","@TB","5600","33.9%","29.3%","26.3%","6700","16.2%"
"Keenan Allen","WR","CHI","@SF","5600","7.9%","7.9%","7.8%","6400","6.6%"
"Kirk Cousins","QB","ATL","@MIN","5500","0.8%","1.7%","2.3%","7000","2.1%"
"Jaylen Warren","RB","PIT","CLE","5500","0.3%","0.4%","0.5%","5900","0.8%"
"Darnell Mooney","WR","ATL","@MIN","5500","5.9%","6.3%","6.6%","5900","13.7%"
"Jameis Winston","QB","CLE","@PIT","5400","3.1%","3.7%","4.0%","6900","3.1%"
"Isaac Guerendo","RB","SF","CHI","5400","32.7%","31.0%","29.9%","5200","43.5%"
"Jaylen Waddle","WR","MIA","NYJ","5400","0.4%","0.7%","0.9%","5900","3.4%"
"Aaron Rodgers","QB","NYJ","@MIA","5300","0.3%","0.5%","0.7%","6800","0.8%"
"Rachaad White","RB","TB","LV","5300","0.6%","1.7%","2.5%","6200","1.0%"
"Jonnu Smith","TE","MIA","NYJ","5300","4.3%","5.8%","6.8%","7000","3.1%"
"Jordan Addison","WR","MIN","ATL","5300","4.4%","5.4%","6.0%","6000","11.1%"
"Adam Thielen","WR","CAR","@PHI","5300","0.3%","0.4%","0.5%","5900","1.5%"
"Bryce Young","QB","CAR","@PHI","5200","0.3%","0.4%","0.5%","7000","0.5%"
"Ray Davis","RB","BUF","@LA","5200","0.0%","0.0%","0.0%","5400","0.3%"
"Jauan Jennings","WR","SF","CHI","5200","36.6%","32.5%","29.7%","6400","21.3%"
"Derek Carr","QB","NO","@NYG","5100","0.3%","0.8%","1.1%","7100","0.5%"
"Tank Bigsby","RB","JAX","@TEN","5100","0.3%","0.4%","0.5%","5800","0.5%"
"David Njoku","TE","CLE","@PIT","5100","11.6%","12.8%","13.6%","6200","10.2%"
"Amari Cooper","WR","BUF","@LA","5100","0.3%","0.4%","0.5%","5700","2.4%"
"Will Levis","QB","TEN","JAX","5000","14.2%","11.9%","10.4%","6600","8.6%"
"Mac Jones","QB","JAX","@TEN","5000","0.3%","0.4%","0.5%","6700","0.5%"
"Braelon Allen","RB","NYJ","@MIA","5000","26.0%","24.2%","23.0%","5200","28.1%"
"Kenneth Gainwell","RB","PHI","CAR","5000","0.0%","0.0%","0.0%","4900","0.3%"
"Rome Odunze","WR","CHI","@SF","5000","0.8%","1.5%","1.9%","5600","3.4%"
"Keon Coleman","WR","BUF","@LA","5000","0.1%","0.2%","0.3%","5600","0.7%"
"Justin Fields","QB","PIT","CLE","4900","0.0%","0.0%","0.0%","6000","0.0%"
"Jerome Ford","RB","CLE","@PIT","4900","0.3%","0.4%","0.5%","5400","0.5%"
"Xavier Legette","WR","CAR","@PHI","4900","0.3%","0.5%","0.7%","5500","1.2%"
"Aidan O'Connell","QB","LV","@TB","4800","8.4%","8.0%","7.8%","6700","1.8%"
"Zach Charbonnet","RB","SEA","@ARI","4800","66.5%","54.2%","46.0%","5300","45.8%"
"Devin Singletary","RB","NYG","NO","4800","0.1%","0.2%","0.3%","5500","0.3%"
"Evan Engram","TE","JAX","@TEN","4800","7.2%","6.7%","6.3%","5900","5.5%"
"Elijah Moore","WR","CLE","@PIT","4800","19.5%","18.8%","18.4%","5600","11.3%"
"Wan'Dale Robinson","WR","NYG","NO","4800","0.3%","0.4%","0.5%","5400","0.6%"
"Drew Lock","QB","NYG","NO","4700","0.8%","1.2%","1.6%","6500","0.5%"
"Ameer Abdullah","RB","LV","@TB","4700","1.4%","2.7%","3.5%","5800","0.7%"
"Jonathon Brooks","RB","CAR","@PHI","4700","0.1%","0.2%","0.3%","5600","0.3%"
"Nick Westbrook-Ikhine","WR","TEN","JAX","4700","3.8%","3.8%","3.9%","6200","1.6%"
"Sincere McCormick","RB","LV","@TB","4600","3.5%","3.8%","4.0%","5500","2.7%"
"Cam Akers","RB","MIN","ATL","4600","0.1%","0.2%","0.3%","5200","0.3%"
"Marquez Valdes-Scantling","WR","NO","@NYG","4600","2.0%","1.7%","1.6%","5800","1.5%"
"Tre Tucker","WR","LV","@TB","4600","0.3%","0.4%","0.5%","5300","0.9%"
"Tyler Allgeier","RB","ATL","@MIN","4500","0.0%","0.0%","0.0%","5600","0.3%"
"Trey Benson","RB","ARI","SEA","4500","0.0%","0.0%","0.0%","5000","0.0%"
"Ray-Ray McCloud III","WR","ATL","@MIN","4500","1.0%","1.1%","1.2%","5500","0.5%"
"Ricky Pearsall","WR","SF","CHI","4500","0.1%","0.2%","0.3%","5000","0.3%"
"Tyjae Spears","RB","TEN","JAX","4400","0.1%","0.2%","0.3%","5600","0.3%"
"Jamaal Williams","RB","NO","@NYG","4400","0.0%","0.0%","0.0%","4700","0.0%"
"Cade Otton","TE","TB","LV","4400","13.4%","12.7%","12.3%","5600","9.0%"
"Parker Washington","WR","JAX","@TEN","4400","0.3%","0.4%","0.5%","5800","1.0%"
"Allen Lazard","WR","NYJ","@MIA","4400","0.1%","0.2%","0.3%","5000","0.3%"
"Sean Tucker","RB","TB","LV","4300","0.0%","0.0%","0.0%","4800","0.0%"
"T.J. Hockenson","TE","MIN","ATL","4300","14.0%","13.7%","13.5%","6300","1.6%"
"Tyler Lockett","WR","SEA","@ARI","4300","0.6%","0.6%","0.5%","5600","0.5%"
"Darius Slayton","WR","NYG","NO","4300","0.1%","0.2%","0.3%","5300","0.3%"
"Blake Corum","RB","LA","BUF","4200","0.0%","0.0%","0.0%","4800","0.0%"
"Demarcus Robinson","WR","LA","BUF","4200","0.3%","0.4%","0.5%","5700","0.3%"
"Ty Johnson","RB","BUF","@LA","4100","0.0%","0.0%","0.0%","4900","0.0%"
"Cordarrelle Patterson","RB","PIT","CLE","4100","0.0%","0.0%","0.0%","4300","0.0%"
"Kyle Pitts","TE","ATL","@MIN","4100","0.3%","0.4%","0.5%","5300","0.6%"
"Michael Wilson","WR","ARI","SEA","4100","2.9%","3.6%","4.1%","5300","1.2%"
"Mason Tipton","WR","NO","@NYG","4100","0.0%","0.0%","0.0%","4500","0.0%"
"Isaiah Davis","RB","NYJ","@MIA","4000","0.9%","1.1%","1.3%","4400","2.3%"
"Kendre Miller","RB","NO","@NYG","4000","0.1%","0.2%","0.3%","4000","0.3%"
"Kyle Juszczyk","RB","SF","CHI","4000","0.0%","0.0%","0.0%","4300","0.0%"
"Patrick Taylor Jr.","RB","SF","CHI","4000","0.0%","0.0%","0.0%","4000","0.0%"
"Travis Homer","RB","CHI","@SF","4000","0.0%","0.0%","0.0%","4000","0.0%"
"Emari Demercado","RB","ARI","SEA","4000","0.0%","0.0%","0.0%","4800","0.0%"
"Jaylen Wright","RB","MIA","NYJ","4000","0.1%","0.2%","0.3%","4600","0.3%"
"Alec Ingold","RB","MIA","NYJ","4000","0.0%","0.0%","0.0%","4200","0.0%"
"Eric Gray","RB","NYG","NO","4000","0.0%","0.0%","0.0%","4200","0.0%"
"Ty Chandler","RB","MIN","ATL","4000","0.0%","0.0%","0.0%","4500","0.0%"
"Adam Prentice","RB","NO","@NYG","4000","0.0%","0.0%","0.0%","4000","0.0%"
"Pierre Strong Jr.","RB","CLE","@PIT","4000","0.0%","0.0%","0.0%","4700","0.0%"
"Julius Chestnut","RB","TEN","JAX","4000","0.0%","0.0%","0.0%","4300","0.0%"
"Will Shipley","RB","PHI","CAR","4000","0.0%","0.0%","0.0%","4300","0.0%"
"C.J. Ham","RB","MIN","ATL","4000","0.0%","0.0%","0.0%","4100","0.0%"
"Raheem Blackshear","RB","CAR","@PHI","4000","0.0%","0.0%","0.0%","4200","0.0%"
"Avery Williams","RB","ATL","@MIN","4000","0.0%","0.0%","0.0%","4100","0.0%"
"Jeff Wilson Jr.","RB","MIA","NYJ","4000","0.0%","0.0%","0.0%","4100","0.0%"
"Kenny McIntosh","RB","SEA","@ARI","4000","0.0%","0.0%","0.0%","4000","0.0%"
"Ronnie Rivers","RB","LA","BUF","4000","0.0%","0.0%","0.0%","4400","0.0%"
"Keilan Robinson","RB","JAX","@TEN","4000","0.0%","0.0%","0.0%","4300","0.0%"
"Kene Nwangwu","RB","NYJ","@MIA","4000","0.0%","0.0%","0.0%","4000","0.0%"
"George Holani","RB","SEA","@ARI","4000","0.0%","0.0%","0.0%","4000","0.0%"
"Darrynton Evans","RB","CHI","@SF","4000","0.0%","0.0%","0.0%","4000","0.0%"
"Sterling Shepard","WR","TB","LV","4000","2.8%","3.3%","3.6%","5400","0.5%"
"David Moore","WR","CAR","@PHI","4000","3.0%","3.6%","4.0%","5300","0.5%"
"Dawson Knox","TE","BUF","@LA","3900","0.3%","0.4%","0.5%","5000","0.8%"
"Curtis Samuel","WR","BUF","@LA","3900","0.0%","0.0%","0.0%","5500","0.0%"
"Pat Freiermuth","TE","PIT","CLE","3800","1.2%","1.9%","2.4%","5500","0.5%"
"Mike Williams","WR","PIT","CLE","3800","0.0%","0.0%","0.0%","5200","0.0%"
"Eagles ","DST","PHI","CAR","3700","3.5%","4.7%","5.4%","4800","7.0%"
"Cole Kmet","TE","CHI","@SF","3700","1.4%","2.2%","2.8%","5200","0.6%"
"Cedrick Wilson Jr.","WR","NO","@NYG","3700","0.0%","0.0%","0.0%","4900","0.0%"
"Buccaneers ","DST","TB","LV","3600","0.3%","0.5%","0.7%","4900","0.5%"
"Noah Fant","TE","SEA","@ARI","3600","0.3%","0.5%","0.7%","5000","0.3%"
"Tyler Boyd","WR","TEN","JAX","3600","0.3%","0.6%","0.8%","5000","0.3%"
"Steelers ","DST","PIT","CLE","3500","14.9%","14.3%","13.9%","5000","9.6%"
"Grant Calcaterra","TE","PHI","CAR","3500","0.6%","0.9%","1.0%","4300","4.3%"
"Jalen McMillan","WR","TB","LV","3500","0.1%","0.4%","0.6%","5000","0.3%"
"Mack Hollins","WR","BUF","@LA","3500","0.0%","0.0%","0.0%","5400","0.0%"
"Jahan Dotson","WR","PHI","CAR","3500","0.0%","0.0%","0.0%","4700","0.0%"
"Vikings ","DST","MIN","ATL","3400","2.7%","2.6%","2.6%","4700","3.0%"
"Juwan Johnson","TE","NO","@NYG","3400","9.0%","9.4%","9.7%","5400","1.2%"
"Jalen Nailor","WR","MIN","ATL","3400","0.0%","0.0%","0.0%","5000","0.0%"
"Tutu Atwell","WR","LA","BUF","3400","0.0%","0.0%","0.0%","4900","0.0%"
"Trey Palmer","WR","TB","LV","3400","0.0%","0.0%","0.0%","4900","0.0%"
"Bills ","DST","BUF","@LA","3300","0.1%","0.2%","0.3%","4300","1.0%"
"Ja'Tavion Sanders","TE","CAR","@PHI","3300","0.0%","0.0%","0.0%","4500","0.0%"
"Kevin Austin Jr.","WR","NO","@NYG","3300","1.3%","1.4%","1.6%","4800","0.3%"
"Calvin Austin III","WR","PIT","CLE","3300","0.3%","0.8%","1.2%","5500","0.3%"
"Jalin Hyatt","WR","NYG","NO","3300","0.0%","0.0%","0.0%","4600","0.0%"
"Dolphins ","DST","MIA","NYJ","3200","2.5%","3.3%","3.8%","4500","2.6%"
"Van Jefferson","WR","PIT","CLE","3200","0.0%","0.1%","0.1%","4700","0.0%"
"Greg Dortch","WR","ARI","SEA","3200","0.0%","0.0%","0.0%","4800","0.0%"
"Tim Jones","WR","JAX","@TEN","3200","0.0%","0.0%","0.0%","4700","0.0%"
"49ers ","DST","SF","CHI","3100","9.4%","9.5%","9.6%","4600","4.2%"
"Foster Moreau","TE","NO","@NYG","3100","1.3%","1.0%","0.8%","4800","0.4%"
"AJ Barner","TE","SEA","@ARI","3100","0.0%","0.0%","0.0%","5000","0.0%"
"Odell Beckham Jr.","WR","MIA","NYJ","3100","0.0%","0.0%","0.0%","4500","0.0%"
"Dante Pettis","WR","NO","@NYG","3100","0.0%","0.0%","0.0%","4400","0.0%"
"Jamari Thrash","WR","CLE","@PIT","3100","0.0%","0.0%","0.0%","4000","0.0%"
"Cardinals ","DST","ARI","SEA","3000","2.1%","2.7%","3.1%","3700","8.4%"
"Chig Okonkwo","TE","TEN","JAX","3000","1.2%","1.0%","0.9%","5100","0.3%"
"Tommy Tremble","TE","CAR","@PHI","3000","0.0%","0.0%","0.0%","4900","0.0%"
"Michael Woods II","WR","CLE","@PIT","3000","0.2%","0.4%","0.6%","4000","0.5%"
"Devin Duvernay","WR","JAX","@TEN","3000","0.0%","0.1%","0.2%","4600","0.0%"
"Malik Washington","WR","MIA","NYJ","3000","0.0%","0.0%","0.0%","4300","0.1%"
"Malachi Corley","WR","NYJ","@MIA","3000","0.0%","0.0%","0.0%","4400","0.0%"
"Terrace Marshall Jr.","WR","LV","@TB","3000","0.0%","0.0%","0.0%","4200","0.0%"
"Zay Jones","WR","ARI","SEA","3000","0.0%","0.0%","0.0%","4200","0.0%"
"Tyler Johnson","WR","LA","BUF","3000","0.0%","0.0%","0.0%","4300","0.0%"
"Xavier Gipson","WR","NYJ","@MIA","3000","0.0%","0.0%","0.0%","4600","0.0%"
"Ben Skowronek","WR","PIT","CLE","3000","0.0%","0.0%","0.0%","4200","0.0%"
"Rakim Jarrett","WR","TB","LV","3000","0.0%","0.0%","0.0%","4700","0.0%"
"Deven Thompkins","WR","CAR","@PHI","3000","0.0%","0.0%","0.0%","4200","0.0%"
"Kadarius Toney","WR","CLE","@PIT","3000","0.0%","0.0%","0.0%","4200","0.0%"
"Trent Sherfield Sr.","WR","MIN","ATL","3000","0.0%","0.0%","0.0%","4200","0.0%"
"Cody White","WR","SEA","@ARI","3000","0.0%","0.0%","0.0%","4100","0.0%"
"Jake Bobo","WR","SEA","@ARI","3000","0.0%","0.0%","0.0%","4200","0.0%"
"KhaDarel Hodge","WR","ATL","@MIN","3000","0.0%","0.0%","0.0%","4400","0.0%"
"Brandon Powell","WR","MIN","ATL","3000","0.0%","0.0%","0.0%","4200","0.0%"
"Ryan Miller","WR","TB","LV","3000","0.0%","0.0%","0.0%","4200","0.0%"
"Dan Chisena","WR","CAR","@PHI","3000","0.0%","0.0%","0.0%","4200","0.0%"
"Jordan Whittington","WR","LA","BUF","3000","0.0%","0.0%","0.0%","4400","0.0%"
"River Cracraft","WR","MIA","NYJ","3000","0.0%","0.0%","0.0%","4100","0.0%"
"Xavier Smith","WR","LA","BUF","3000","0.0%","0.0%","0.0%","4100","0.0%"
"Zach Pascal","WR","ARI","SEA","3000","0.0%","0.0%","0.0%","4100","0.0%"
"DeAndre Carter","WR","CHI","@SF","3000","0.0%","0.0%","0.0%","4100","0.0%"
"Jacob Cowing","WR","SF","CHI","3000","0.0%","0.0%","0.0%","4000","0.0%"
"Collin Johnson","WR","CHI","@SF","3000","0.0%","0.0%","0.0%","4000","0.0%"
"Bryce Oliver","WR","TEN","JAX","3000","0.0%","0.0%","0.0%","4300","0.0%"
"Chris Conley","WR","SF","CHI","3000","0.0%","0.0%","0.0%","4400","0.0%"
"Jha'Quan Jackson","WR","TEN","JAX","3000","0.0%","0.0%","0.0%","4100","0.0%"
"Ainias Smith","WR","PHI","CAR","3000","0.0%","0.0%","0.0%","4500","0.0%"
"Kristian Wilkerson","WR","LV","@TB","3000","0.0%","0.0%","0.0%","4000","0.0%"
"Johnny Wilson","WR","PHI","CAR","3000","0.0%","0.0%","0.0%","5000","0.0%"
"Ramel Keyton","WR","LV","@TB","3000","0.0%","0.0%","0.0%","4100","0.0%"
"Jaelon Darden","WR","SEA","@ARI","3000","0.0%","0.0%","0.0%","4100","0.0%"
"James Proche II","WR","CLE","@PIT","3000","0.0%","0.0%","0.0%","4000","0.0%"
"Ihmir Smith-Marsette","WR","NYG","NO","3000","0.0%","0.0%","0.0%","4200","0.0%"
"Bryce Ford-Wheaton","WR","NYG","NO","3000","0.0%","0.0%","0.0%","4000","0.0%"
"Joshua Cephus","WR","JAX","@TEN","3000","0.0%","0.0%","0.0%","4000","0.0%"
"Saints ","DST","NO","@NYG","2900","25.7%","23.4%","21.8%","4400","10.3%"
"Tyler Conklin","TE","NYJ","@MIA","2900","1.0%","1.8%","2.4%","4900","0.3%"
"Jordan Akins","TE","CLE","@PIT","2900","0.0%","0.0%","0.1%","4900","0.0%"
"Titans ","DST","TEN","JAX","2800","12.0%","12.3%","12.5%","4000","10.4%"
"Seahawks ","DST","SEA","@ARI","2800","0.1%","0.4%","0.6%","4200","0.3%"
"Darnell Washington","TE","PIT","CLE","2800","0.1%","0.1%","0.1%","4600","0.0%"
"Colby Parkinson","TE","LA","BUF","2800","0.0%","0.0%","0.0%","4800","0.0%"
"Jets ","DST","NYJ","@MIA","2700","0.2%","0.5%","0.7%","4100","0.3%"
"Josh Oliver","TE","MIN","ATL","2700","1.0%","1.1%","1.2%","4400","0.3%"
"Michael Mayer","TE","LV","@TB","2700","0.0%","0.1%","0.1%","4300","0.0%"
"Daniel Bellinger","TE","NYG","NO","2700","0.0%","0.0%","0.1%","4600","0.0%"
"Jaguars ","DST","JAX","@TEN","2600","15.0%","12.4%","10.6%","3500","14.9%"
"Giants ","DST","NYG","NO","2600","0.2%","0.3%","0.4%","3300","3.8%"
"Davis Allen","TE","LA","BUF","2600","0.0%","0.0%","0.0%","4600","0.0%"
"Chris Manhertz","TE","NYG","NO","2600","0.0%","0.0%","0.0%","4100","0.0%"
"Johnny Mundt","TE","MIN","ATL","2600","0.0%","0.0%","0.0%","4700","0.0%"
"Falcons ","DST","ATL","@MIN","2500","1.9%","2.0%","2.1%","3200","7.5%"
"Rams ","DST","LA","BUF","2500","0.3%","0.4%","0.5%","3400","1.3%"
"Brenton Strange","TE","JAX","@TEN","2500","0.1%","0.1%","0.1%","4700","0.0%"
"Elijah Higgins","TE","ARI","SEA","2500","0.1%","0.1%","0.1%","4500","0.0%"
"Jeremy Ruckert","TE","NYJ","@MIA","2500","0.0%","0.0%","0.1%","4200","0.0%"
"Julian Hill","TE","MIA","NYJ","2500","0.0%","0.0%","0.0%","4200","0.0%"
"Josh Whyle","TE","TEN","JAX","2500","0.0%","0.0%","0.0%","4100","0.0%"
"Quintin Morris","TE","BUF","@LA","2500","0.0%","0.0%","0.0%","4300","0.0%"
"Nick Vannett","TE","TEN","JAX","2500","0.0%","0.0%","0.0%","4200","0.0%"
"Luke Farrell","TE","JAX","@TEN","2500","0.0%","0.0%","0.0%","4100","0.0%"
"Durham Smythe","TE","MIA","NYJ","2500","0.0%","0.0%","0.0%","4100","0.0%"
"MyCole Pruitt","TE","PIT","CLE","2500","0.0%","0.0%","0.0%","4200","0.0%"
"Hunter Long","TE","LA","BUF","2500","0.0%","0.0%","0.0%","4200","0.0%"
"Charlie Woerner","TE","ATL","@MIN","2500","0.0%","0.0%","0.0%","4100","0.0%"
"Eric Saubert","TE","SF","CHI","2500","0.0%","0.0%","0.0%","4200","0.0%"
"Pharaoh Brown","TE","SEA","@ARI","2500","0.0%","0.0%","0.0%","4100","0.0%"
"Tip Reiman","TE","ARI","SEA","2500","0.0%","0.0%","0.0%","4100","0.0%"
"C.J. Uzomah","TE","PHI","CAR","2500","0.0%","0.0%","0.0%","4000","0.0%"
"E.J. Jenkins","TE","PHI","CAR","2500","0.0%","0.0%","0.0%","4000","0.0%"
"Payne Durham","TE","TB","LV","2500","0.0%","0.0%","0.0%","4000","0.0%"
"Kenny Yeboah","TE","NYJ","@MIA","2500","0.0%","0.0%","0.0%","4200","0.0%"
"Zach Davidson","TE","BUF","@LA","2500","0.0%","0.0%","0.0%","4100","0.0%"
"Blake Whiteheart","TE","CLE","@PIT","2500","0.0%","0.0%","0.0%","4000","0.0%"
"Dallin Holker","TE","NO","@NYG","2500","0.0%","0.0%","0.0%","4000","0.0%"
"Feleipe Franks","TE","CAR","@PHI","2500","0.0%","0.0%","0.0%","4100","0.0%"
"Ko Kieft","TE","TB","LV","2500","0.0%","0.0%","0.0%","4100","0.0%"
"Brady Russell","TE","SEA","@ARI","2500","0.0%","0.0%","0.0%","4000","0.0%"
"Ross Dwelley","TE","ATL","@MIN","2500","0.0%","0.0%","0.0%","4100","0.0%"
"Connor Heyward","TE","PIT","CLE","2500","0.0%","0.0%","0.0%","4100","0.0%"
"Marcedes Lewis","TE","CHI","@SF","2500","0.0%","0.0%","0.0%","4100","0.0%"
"Gerald Everett","TE","CHI","@SF","2500","0.0%","0.0%","0.0%","4100","0.0%"
"Harrison Bryant","TE","LV","@TB","2500","0.0%","0.0%","0.0%","4000","0.0%"
"Greg Dulcich","TE","NYG","NO","2500","0.0%","0.0%","0.0%","4400","0.0%"
"Browns ","DST","CLE","@PIT","2400","4.6%","5.3%","5.7%","3800","1.6%"
"Bears ","DST","CHI","@SF","2400","3.4%","3.9%","4.2%","3600","1.3%"
"Raiders ","DST","LV","@TB","2300","1.3%","1.5%","1.7%","3100","5.3%"
"Panthers ","DST","CAR","@PHI","2200","0.1%","0.1%","0.1%","3000","0.2%"
