"Player","Position","Team","Opp","DK Salary","DK Small","DK Medium","DK Large","FD Salary","FD Large"
"J.K. Dobbins","RB","LAC","@DEN","6200","19.5%","21.0%","22.0%","6700","25.7%"
"Tank Dell","WR","HOU","@NE","6200","3.6%","5.8%","7.3%","6700","9.1%"
"Diontae Johnson","WR","CAR","ATL","6100","27.2%","24.4%","22.5%","6900","18.8%"
"Joe Flacco","QB","IND","@TEN","6000","0.3%","0.7%","1.0%","7200","1.0%"
"Tony Pollard","RB","TEN","IND","6000","33.0%","29.7%","27.5%","7000","23.0%"
"Trey Sermon","RB","IND","@TEN","6000","0.3%","0.4%","0.6%","6000","3.5%"
"Brock Bowers","TE","LV","PIT","6000","13.9%","14.2%","14.4%","6700","22.5%"
"Amari Cooper","WR","CLE","@PHI","6000","2.0%","3.3%","4.2%","6200","8.4%"
"Rico Dowdle","RB","DAL","DET","5900","0.6%","1.2%","1.7%","6100","4.5%"
"George Pickens","WR","PIT","@LV","5900","2.1%","2.8%","3.3%","6200","7.0%"
"Justin Fields","QB","PIT","@LV","5800","6.0%","6.4%","6.7%","7600","3.2%"
"Najee Harris","RB","PIT","@LV","5800","4.5%","6.2%","7.4%","7200","3.1%"
"Jameson Williams","WR","DET","@DAL","5800","3.6%","3.3%","3.2%","6300","4.7%"
"Trey McBride","TE","ARI","@GB","5700","4.7%","6.3%","7.4%","6500","9.7%"
"Calvin Ridley","WR","TEN","IND","5700","0.3%","0.4%","0.5%","6000","2.8%"
"Austin Ekeler","RB","WAS","@BAL","5600","11.8%","13.1%","14.0%","5700","16.3%"
"Jerome Ford","RB","CLE","@PHI","5600","0.5%","1.3%","1.8%","6200","1.2%"
"Rashid Shaheed","WR","NO","TB","5600","5.3%","4.7%","4.3%","6400","3.1%"
"Justin Herbert","QB","LAC","@DEN","5500","0.1%","0.3%","0.5%","7200","0.5%"
"Javonte Williams","RB","DEN","LAC","5500","8.0%","9.9%","11.1%","5900","9.6%"
"Cam Akers","RB","HOU","@NE","5500","0.0%","0.0%","0.0%","5800","0.0%"
"Sam LaPorta","TE","DET","@DAL","5500","0.7%","1.0%","1.2%","6300","5.6%"
"Josh Downs","WR","IND","@TEN","5500","5.0%","5.4%","5.6%","6100","4.0%"
"Bo Nix","QB","DEN","LAC","5400","0.1%","0.3%","0.5%","6700","0.9%"
"Bucky Irving","RB","TB","@NO","5400","45.6%","39.2%","35.0%","5700","39.6%"
"Tyler Goodson","RB","IND","@TEN","5400","0.1%","0.3%","0.5%","4700","0.5%"
"Alec Pierce","WR","IND","@TEN","5400","0.3%","0.4%","0.5%","5800","0.5%"
"Antonio Gibson","RB","NE","HOU","5300","18.3%","16.3%","14.9%","5500","17.4%"
"Alexander Mattison","RB","LV","PIT","5300","2.5%","4.7%","6.2%","5600","8.3%"
"Darnell Mooney","WR","ATL","@CAR","5300","23.9%","21.9%","20.5%","6500","11.2%"
"Courtland Sutton","WR","DEN","LAC","5300","8.4%","8.6%","8.7%","5600","8.9%"
"Andy Dalton","QB","CAR","ATL","5200","3.7%","3.6%","3.6%","7100","0.5%"
"Justice Hill","RB","BAL","WAS","5200","0.3%","0.4%","0.5%","5500","0.5%"
"Jamaal Williams","RB","NO","TB","5200","0.0%","0.0%","0.0%","5300","0.3%"
"Dallas Goedert","TE","PHI","CLE","5200","0.3%","0.7%","1.1%","7000","0.5%"
"Dontayvion Wicks","WR","GB","ARI","5200","3.0%","4.3%","5.2%","6000","2.7%"
"Romeo Doubs","WR","GB","ARI","5200","0.5%","1.0%","1.2%","5700","1.5%"
"Deshaun Watson","QB","CLE","@PHI","5100","1.2%","2.0%","2.5%","6600","0.8%"
"Jameis Winston","QB","CLE","@PHI","5100","0.0%","0.0%","0.0%","6300","0.0%"
"Tyjae Spears","RB","TEN","IND","5100","0.3%","0.7%","0.9%","5700","0.5%"
"Tyler Allgeier","RB","ATL","@CAR","5100","0.3%","0.4%","0.5%","5400","0.5%"
"DeAndre Hopkins","WR","TEN","IND","5100","0.3%","0.7%","1.1%","5800","0.5%"
"Drake Maye","QB","NE","HOU","5000","0.1%","0.3%","0.5%","6000","0.5%"
"Jaylen Warren","RB","PIT","@LV","5000","0.1%","0.3%","0.5%","5300","0.5%"
"Jake Ferguson","TE","DAL","DET","5000","33.2%","30.8%","29.2%","6100","29.8%"
"Jalen Tolbert","WR","DAL","DET","5000","10.0%","10.0%","10.0%","6100","2.1%"
"Jerry Jeudy","WR","CLE","@PHI","5000","0.3%","0.6%","0.9%","5700","0.5%"
"Aidan O'Connell","QB","LV","PIT","4900","0.1%","0.3%","0.5%","6500","0.5%"
"Dameon Pierce","RB","HOU","@NE","4900","0.0%","0.0%","0.0%","4900","0.0%"
"Ladd McConkey","WR","LAC","@DEN","4900","21.2%","18.8%","17.2%","5800","10.5%"
"Xavier Legette","WR","CAR","ATL","4900","1.3%","3.9%","5.6%","5900","2.0%"
"Will Levis","QB","TEN","IND","4800","4.6%","4.7%","4.8%","6600","1.1%"
"Miles Sanders","RB","CAR","ATL","4800","0.1%","0.3%","0.5%","5200","0.5%"
"Dare Ogunbowale","RB","HOU","@NE","4800","0.0%","0.0%","0.0%","5400","0.0%"
"Tucker Kraft","TE","GB","ARI","4800","5.9%","7.6%","8.7%","6000","8.7%"
"Christian Watson","WR","GB","ARI","4800","0.1%","0.2%","0.3%","5700","0.3%"
"Jahan Dotson","WR","PHI","CLE","4800","0.0%","0.0%","0.0%","5600","0.0%"
"Kenneth Gainwell","RB","PHI","CLE","4700","0.0%","0.0%","0.0%","4900","0.0%"
"Quentin Johnston","WR","LAC","@DEN","4700","0.3%","0.4%","0.5%","5800","0.5%"
"Trey Benson","RB","ARI","@GB","4600","0.0%","0.0%","0.0%","4500","0.0%"
"Michael Wilson","WR","ARI","@GB","4600","4.7%","5.3%","5.7%","5900","0.6%"
"Jeremy McNichols","RB","WAS","@BAL","4500","0.5%","0.8%","1.1%","5000","0.8%"
"Ameer Abdullah","RB","LV","PIT","4500","0.1%","0.2%","0.3%","4800","0.3%"
"Isaiah Likely","TE","BAL","WAS","4500","0.3%","0.3%","0.4%","5800","0.7%"
"Joshua Palmer","WR","LAC","@DEN","4500","0.3%","0.4%","0.5%","5100","0.5%"
"Jaleel McLaughlin","RB","DEN","LAC","4400","0.1%","0.2%","0.3%","5200","0.3%"
"Ezekiel Elliott","RB","DAL","DET","4400","0.1%","0.2%","0.3%","5900","0.3%"
"Kyle Pitts","TE","ATL","@CAR","4400","3.5%","4.9%","5.9%","5900","2.6%"
"DeMario Douglas","WR","NE","HOU","4400","0.7%","0.7%","0.7%","5000","0.3%"
"Emanuel Wilson","RB","GB","ARI","4300","0.1%","0.3%","0.5%","5200","0.5%"
"D'Onta Foreman","RB","CLE","@PHI","4300","0.0%","0.0%","0.0%","5100","0.3%"
"Pat Freiermuth","TE","PIT","@LV","4300","0.6%","1.2%","1.5%","5700","0.8%"
"Ray-Ray McCloud III","WR","ATL","@CAR","4300","19.4%","17.1%","15.7%","5600","2.9%"
"Greg Dortch","WR","ARI","@GB","4300","0.3%","0.4%","0.5%","4900","0.3%"
"David Njoku","TE","CLE","@PHI","4200","0.4%","0.8%","1.0%","5400","1.4%"
"Tre Tucker","WR","LV","PIT","4200","24.4%","21.8%","20.0%","5400","4.8%"
"Aaron Shampklin","RB","PIT","@LV","4100","0.0%","0.0%","0.0%","4000","0.0%"
"Will Shipley","RB","PHI","CLE","4100","0.0%","0.0%","0.0%","4400","0.0%"
"Dalton Schultz","TE","HOU","@NE","4100","1.7%","2.1%","2.3%","5300","2.9%"
"Rashod Bateman","WR","BAL","WAS","4100","2.1%","2.9%","3.4%","5500","0.5%"
"Tyler Boyd","WR","TEN","IND","4100","0.1%","0.2%","0.3%","5000","0.3%"
"Spencer Rattler","QB","NO","TB","4000","9.8%","9.4%","9.2%","6000","1.7%"
"Sean Tucker","RB","TB","@NO","4000","0.1%","0.2%","0.3%","4200","0.3%"
"JaMycal Hasty","RB","NE","HOU","4000","0.1%","0.2%","0.3%","4200","0.3%"
"Hunter Luepke","RB","DAL","DET","4000","0.0%","0.0%","0.0%","4300","0.0%"
"Emari Demercado","RB","ARI","@GB","4000","0.0%","0.0%","0.0%","4600","0.0%"
"Pierre Strong Jr.","RB","CLE","@PHI","4000","0.0%","0.0%","0.0%","4200","0.0%"
"Audric Estime","RB","DEN","LAC","4000","0.0%","0.0%","0.0%","4000","0.0%"
"Deuce Vaughn","RB","DAL","DET","4000","0.0%","0.0%","0.0%","4200","0.0%"
"Patrick Ricard","RB","BAL","WAS","4000","0.0%","0.0%","0.0%","4200","0.0%"
"Michael Burton","RB","DEN","LAC","4000","0.0%","0.0%","0.0%","4200","0.0%"
"Sione Vaki","RB","DET","@DAL","4000","0.0%","0.0%","0.0%","4000","0.0%"
"Jordan Mims","RB","NO","TB","4000","0.0%","0.0%","0.0%","4000","0.0%"
"Hassan Haskins","RB","LAC","@DEN","4000","0.0%","0.0%","0.0%","4100","0.0%"
"Chris Brooks","RB","GB","ARI","4000","0.0%","0.0%","0.0%","4000","0.0%"
"Rasheen Ali","RB","BAL","WAS","4000","0.0%","0.0%","0.0%","4000","0.0%"
"Chris Rodriguez Jr.","RB","WAS","@BAL","4000","0.0%","0.0%","0.0%","4000","0.0%"
"Terrell Jennings","RB","NE","HOU","4000","0.0%","0.0%","0.0%","4000","0.0%"
"D.J. Williams","RB","TB","@NO","4000","0.0%","0.0%","0.0%","4000","0.0%"
"Adam Prentice","RB","NO","TB","4000","0.0%","0.0%","0.0%","4000","0.0%"
"Evan Hull","RB","IND","@TEN","4000","0.0%","0.0%","0.0%","4200","0.0%"
"Julius Chestnut","RB","TEN","IND","4000","0.0%","0.0%","0.0%","4000","0.0%"
"Kimani Vidal","RB","LAC","@DEN","4000","0.0%","0.0%","0.0%","4000","0.0%"
"Dylan Laube","RB","LV","PIT","4000","0.0%","0.0%","0.0%","4000","0.0%"
"Raheem Blackshear","RB","CAR","ATL","4000","0.0%","0.0%","0.0%","4000","0.0%"
"Avery Williams","RB","ATL","@CAR","4000","0.0%","0.0%","0.0%","4200","0.0%"
"Craig Reynolds","RB","DET","@DAL","4000","0.0%","0.0%","0.0%","4300","0.0%"
"Dyami Brown","WR","WAS","@BAL","4000","0.0%","0.0%","0.0%","4800","0.0%"
"Mark Andrews","TE","BAL","WAS","3900","0.4%","0.4%","0.4%","5500","0.3%"
"Adonai Mitchell","WR","IND","@TEN","3900","0.4%","0.6%","0.8%","5000","0.3%"
"Noah Brown","WR","WAS","@BAL","3900","0.1%","0.2%","0.3%","4700","0.3%"
"Hunter Henry","TE","NE","HOU","3800","0.1%","0.4%","0.7%","5000","0.4%"
"KaVontae Turpin","WR","DAL","DET","3800","5.3%","3.9%","3.0%","5100","0.5%"
"Kendrick Bourne","WR","NE","HOU","3800","0.0%","0.0%","0.0%","4800","0.0%"
"Steelers ","DST","PIT","@LV","3700","0.3%","0.7%","1.0%","4900","0.9%"
"Zach Ertz","TE","WAS","@BAL","3700","8.3%","8.4%","8.4%","5000","5.8%"
"Jonathan Mingo","WR","CAR","ATL","3700","0.3%","0.7%","1.1%","5300","0.3%"
"Luke McCaffrey","WR","WAS","@BAL","3700","0.0%","0.0%","0.0%","4500","0.0%"
"Texans ","DST","HOU","@NE","3600","6.4%","7.1%","7.5%","5000","4.3%"
"Ja'Lynn Polk","WR","NE","HOU","3600","0.6%","0.8%","1.0%","4700","0.3%"
"Jalen McMillan","WR","TB","@NO","3600","0.1%","0.2%","0.3%","4500","0.3%"
"Cedrick Wilson Jr.","WR","NO","TB","3600","0.0%","0.0%","0.0%","4400","0.0%"
"Falcons ","DST","ATL","@CAR","3500","0.6%","0.9%","1.2%","3800","11.0%"
"Cade Otton","TE","TB","@NO","3500","20.0%","21.0%","21.7%","5200","6.8%"
"Nelson Agholor","WR","BAL","WAS","3500","0.1%","0.2%","0.3%","4900","0.3%"
"Olamide Zaccheaus","WR","WAS","@BAL","3500","0.0%","0.0%","0.0%","5100","0.0%"
"Bo Melton","WR","GB","ARI","3500","0.0%","0.0%","0.0%","4600","0.0%"
"Eagles ","DST","PHI","CLE","3400","19.7%","17.5%","16.0%","4800","8.9%"
"Parris Campbell","WR","PHI","CLE","3400","0.0%","0.0%","0.0%","5200","0.0%"
"Chargers ","DST","LAC","@DEN","3300","6.1%","6.4%","6.5%","4400","4.9%"
"Chig Okonkwo","TE","TEN","IND","3300","0.1%","0.2%","0.3%","4900","0.3%"
"DJ Turner","WR","LV","PIT","3300","6.3%","5.7%","5.3%","4500","0.8%"
"Xavier Hutchinson","WR","HOU","@NE","3300","0.7%","1.3%","1.7%","4900","0.3%"
"Elijah Moore","WR","CLE","@PHI","3300","0.3%","0.5%","0.7%","4700","0.3%"
"Tim Patrick","WR","DET","@DAL","3300","0.1%","0.2%","0.3%","4600","0.3%"
"Calvin Austin III","WR","PIT","@LV","3300","0.0%","0.0%","0.0%","5100","0.0%"
"Sterling Shepard","WR","TB","@NO","3300","0.0%","0.0%","0.0%","4900","0.0%"
"Jalen Brooks","WR","DAL","DET","3300","0.0%","0.0%","0.0%","4500","0.0%"
"K.J. Osborn","WR","NE","HOU","3300","0.0%","0.0%","0.0%","4500","0.0%"
"Malik Heath","WR","GB","ARI","3300","0.0%","0.0%","0.0%","4700","0.0%"
"Johnny Wilson","WR","PHI","CLE","3300","0.0%","0.0%","0.0%","4800","0.0%"
"Broncos ","DST","DEN","LAC","3200","0.7%","1.6%","2.2%","4700","0.5%"
"Elijah Higgins","TE","ARI","@GB","3200","0.0%","0.0%","0.0%","4900","0.0%"
"Lil'Jordan Humphrey","WR","DEN","LAC","3200","5.1%","4.8%","4.7%","4900","0.3%"
"Kalif Raymond","WR","DET","@DAL","3200","0.0%","0.0%","0.0%","4500","0.0%"
"Treylon Burks","WR","TEN","IND","3200","0.0%","0.0%","0.0%","4500","0.0%"
"Roman Wilson","WR","PIT","@LV","3200","0.0%","0.0%","0.0%","4200","0.0%"
"Colts ","DST","IND","@TEN","3100","2.8%","2.8%","2.8%","4000","5.1%"
"Packers ","DST","GB","ARI","3100","2.0%","2.4%","2.7%","4500","0.5%"
"Juwan Johnson","TE","NO","TB","3100","1.0%","1.2%","1.4%","5100","0.3%"
"Van Jefferson","WR","PIT","@LV","3100","0.3%","0.4%","0.4%","4800","0.0%"
"Kayshon Boutte","WR","NE","HOU","3100","0.0%","0.0%","0.0%","4600","0.0%"
"KhaDarel Hodge","WR","ATL","@CAR","3100","0.0%","0.0%","0.0%","4600","0.0%"
"Mason Tipton","WR","NO","TB","3100","0.0%","0.0%","0.0%","4600","0.0%"
"Marvin Mims Jr.","WR","DEN","LAC","3100","0.0%","0.0%","0.0%","4200","0.0%"
"Ravens ","DST","BAL","WAS","3000","9.7%","10.1%","10.3%","4200","6.3%"
"Raiders ","DST","LV","PIT","3000","2.0%","2.9%","3.6%","4000","4.4%"
"Jordan Akins","TE","CLE","@PHI","3000","0.0%","0.0%","0.0%","4800","0.0%"
"Troy Franklin","WR","DEN","LAC","3000","0.4%","0.3%","0.2%","4600","0.0%"
"Ashton Dulin","WR","IND","@TEN","3000","0.0%","0.0%","0.0%","4300","0.0%"
"Devaughn Vele","WR","DEN","LAC","3000","0.0%","0.0%","0.0%","4000","0.0%"
"Jalen Coker","WR","CAR","ATL","3000","0.0%","0.0%","0.0%","4000","0.0%"
"Scotty Miller","WR","PIT","@LV","3000","0.0%","0.0%","0.0%","4400","0.0%"
"David Moore","WR","CAR","ATL","3000","0.0%","0.0%","0.0%","4100","0.0%"
"Tylan Wallace","WR","BAL","WAS","3000","0.0%","0.0%","0.0%","4400","0.0%"
"John Metchie III","WR","HOU","@NE","3000","0.0%","0.0%","0.0%","4300","0.0%"
"Cedric Tillman","WR","CLE","@PHI","3000","0.0%","0.0%","0.0%","4100","0.0%"
"Simi Fehoko","WR","LAC","@DEN","3000","0.0%","0.0%","0.0%","4200","0.0%"
"Tyreik McAllister","WR","LV","PIT","3000","0.0%","0.0%","0.1%","4000","0.0%"
"Derius Davis","WR","LAC","@DEN","3000","0.0%","0.0%","0.0%","4000","0.0%"
"Deonte Harty","WR","BAL","WAS","3000","0.0%","0.0%","0.0%","4000","0.0%"
"Zach Pascal","WR","ARI","@GB","3000","0.0%","0.0%","0.0%","4000","0.0%"
"Xavier Weaver","WR","ARI","@GB","3000","0.0%","0.0%","0.0%","4000","0.0%"
"Ryan Miller","WR","TB","@NO","3000","0.0%","0.0%","0.0%","4000","0.0%"
"Bub Means","WR","NO","TB","3000","0.0%","0.0%","0.0%","4300","0.0%"
"Jaelon Darden","WR","CLE","@PHI","3000","0.0%","0.0%","0.0%","4000","0.0%"
"Nick Westbrook-Ikhine","WR","TEN","IND","3000","0.0%","0.0%","0.0%","4000","0.0%"
"Alex Bachman","WR","LV","PIT","3000","0.0%","0.0%","0.0%","4000","0.0%"
"Kristian Wilkerson","WR","LV","PIT","3000","0.0%","0.0%","0.0%","4000","0.0%"
"Allen Robinson II","WR","DET","@DAL","3000","0.0%","0.0%","0.0%","4000","0.0%"
"Ryan Flournoy","WR","DAL","DET","3000","0.0%","0.0%","0.0%","4000","0.0%"
"Steven Sims","WR","HOU","@NE","3000","0.0%","0.0%","0.0%","4000","0.0%"
"Cowboys ","DST","DAL","DET","2900","0.0%","0.0%","0.0%","3300","1.9%"
"Foster Moreau","TE","NO","TB","2900","0.0%","0.0%","0.0%","4700","0.0%"
"Titans ","DST","TEN","IND","2800","6.8%","6.8%","6.8%","4300","1.8%"
"Lions ","DST","DET","@DAL","2800","0.7%","1.3%","1.8%","3900","1.2%"
"Austin Hooper","TE","NE","HOU","2800","0.0%","0.0%","0.1%","4500","0.0%"
"Charlie Kolar","TE","BAL","WAS","2800","0.0%","0.0%","0.0%","4800","0.0%"
"Luke Schoonmaker","TE","DAL","DET","2800","0.0%","0.0%","0.0%","4700","0.0%"
"Saints ","DST","NO","TB","2700","6.9%","7.1%","7.1%","4100","1.5%"
"Will Dissly","TE","LAC","@DEN","2700","0.2%","0.2%","0.2%","4800","0.0%"
"Darnell Washington","TE","PIT","@LV","2700","0.0%","0.0%","0.0%","4800","0.0%"
"Brock Wright","TE","DET","@DAL","2700","0.0%","0.0%","0.0%","4300","0.0%"
"Grant Calcaterra","TE","PHI","CLE","2700","0.0%","0.0%","0.0%","4600","0.0%"
"Buccaneers ","DST","TB","@NO","2600","24.2%","20.3%","17.8%","3700","14.4%"
"Browns ","DST","CLE","@PHI","2600","2.7%","3.3%","3.8%","3600","3.4%"
"Ja'Tavion Sanders","TE","CAR","ATL","2600","8.2%","8.2%","8.2%","4800","0.3%"
"Hayden Hurst","TE","LAC","@DEN","2600","4.1%","4.0%","4.0%","4600","0.3%"
"Mo Alie-Cox","TE","IND","@TEN","2600","0.0%","0.0%","0.0%","4600","0.0%"
"Cade Stover","TE","HOU","@NE","2600","0.0%","0.0%","0.0%","4200","0.0%"
"Adam Trautman","TE","DEN","LAC","2600","0.0%","0.0%","0.0%","4500","0.0%"
"John Bates","TE","WAS","@BAL","2600","0.0%","0.0%","0.0%","4000","0.0%"
"Connor Heyward","TE","PIT","@LV","2600","0.0%","0.0%","0.0%","4000","0.0%"
"Cardinals ","DST","ARI","@GB","2500","0.5%","0.7%","0.9%","3400","1.4%"
"Commanders ","DST","WAS","@BAL","2500","0.0%","0.0%","0.1%","3500","0.3%"
"Josh Whyle","TE","TEN","IND","2500","0.0%","0.2%","0.4%","4400","0.0%"
"Harrison Bryant","TE","LV","PIT","2500","0.1%","0.1%","0.1%","4000","0.0%"
"Nick Vannett","TE","TEN","IND","2500","0.0%","0.0%","0.0%","4100","0.0%"
"Drew Ogletree","TE","IND","@TEN","2500","0.0%","0.0%","0.0%","4300","0.0%"
"Lucas Krull","TE","DEN","LAC","2500","0.0%","0.0%","0.0%","4100","0.0%"
"Kylen Granson","TE","IND","@TEN","2500","0.0%","0.0%","0.0%","4700","0.0%"
"Will Mallory","TE","IND","@TEN","2500","0.0%","0.0%","0.0%","4000","0.0%"
"Nate Adkins","TE","DEN","LAC","2500","0.0%","0.0%","0.0%","4200","0.0%"
"Jack Stoll","TE","PHI","CLE","2500","0.0%","0.0%","0.0%","4100","0.0%"
"Payne Durham","TE","TB","@NO","2500","0.0%","0.0%","0.0%","4100","0.0%"
"Tip Reiman","TE","ARI","@GB","2500","0.0%","0.0%","0.0%","4200","0.0%"
"Charlie Woerner","TE","ATL","@CAR","2500","0.0%","0.0%","0.0%","4300","0.0%"
"Ben Sinnott","TE","WAS","@BAL","2500","0.0%","0.0%","0.0%","4200","0.0%"
"Ben Sims","TE","GB","ARI","2500","0.0%","0.0%","0.0%","4000","0.0%"
"Ko Kieft","TE","TB","@NO","2500","0.0%","0.0%","0.0%","4000","0.0%"
"Dallin Holker","TE","NO","TB","2500","0.0%","0.0%","0.0%","4000","0.0%"
"Geoff Swaim","TE","CLE","@PHI","2500","0.0%","0.0%","0.0%","4000","0.0%"
"Eric Tomlinson","TE","LAC","@DEN","2500","0.0%","0.0%","0.0%","4000","0.0%"
"Feleipe Franks","TE","CAR","ATL","2500","0.0%","0.0%","0.0%","4000","0.0%"
"Ian Thomas","TE","CAR","ATL","2500","0.0%","0.0%","0.0%","4000","0.0%"
"Jordan Matthews","TE","CAR","ATL","2500","0.0%","0.0%","0.0%","4000","0.0%"
"Ross Dwelley","TE","ATL","@CAR","2500","0.0%","0.0%","0.0%","4000","0.0%"
"Parker Hesse","TE","DET","@DAL","2500","0.0%","0.0%","0.0%","4000","0.0%"
"Brevyn Spann-Ford","TE","DAL","DET","2500","0.0%","0.0%","0.0%","4500","0.0%"
"Patriots ","DST","NE","HOU","2400","6.3%","5.8%","5.6%","3200","6.5%"
"Panthers ","DST","CAR","ATL","2400","1.8%","2.2%","2.5%","3000","7.8%"
