Week-6-rankings-export

Overall Rank,Full Name,Team Abbreviation,Position,Position Rank,Bye Week,ADP,Projected Points,Auction Value
91,"Antonio Gibson","NE","RB",21,14,"N/A",13.35,"N/A"
92,"Najee Harris","PIT","RB",22,9,"N/A",16.53,"N/A"
93,"Keenan Allen","CHI","WR",37,7,"N/A",9.9,"N/A"
94,"Travis Etienne Jr.","JAX","RB",23,12,"N/A",12.67,"N/A"
95,"Kyle Pitts","ATL","TE",7,12,"N/A",10.86,"N/A"
96,"Trey Sermon","IND","RB",24,14,"N/A",13.12,"N/A"
97,"Zack Moss","CIN","RB",25,12,"N/A",9.57,"N/A"
98,"Calvin Ridley","TEN","WR",38,5,"N/A",11.15,"N/A"
99,"Tyler Lockett","SEA","WR",39,10,"N/A",11.1,"N/A"
100,"Dalton Kincaid","BUF","TE",8,12,"N/A",10.28,"N/A"
101,"Rome Odunze","CHI","WR",40,7,"N/A",9.84,"N/A"
102,"DeAndre Hopkins","TEN","WR",41,5,"N/A",9.83,"N/A"
103,"Javonte Williams","DEN","RB",26,14,"N/A",12.24,"N/A"
104,"Rico Dowdle","DAL","RB",27,7,"N/A",8.59,"N/A"
105,"Dontayvion Wicks","GB","WR",42,10,"N/A",6.73,"N/A"
106,"Chase Brown","CIN","RB",28,12,"N/A",9.35,"N/A"
107,"Jerome Ford","CLE","RB",29,10,"N/A",11.89,"N/A"
108,"Tyjae Spears","TEN","RB",30,5,"N/A",9.46,"N/A"
109,"Tre Tucker","LV","WR",43,10,"N/A",12.93,"N/A"
110,"Michael Wilson","ARI","WR",44,11,"N/A",7.42,"N/A"
111,"Dallas Goedert","PHI","TE",9,5,"N/A",8.85,"N/A"
112,"Romeo Doubs","GB","WR",45,10,"N/A",9.03,"N/A"
113,"Tank Bigsby","JAX","RB",31,12,"N/A",6.03,"N/A"
114,"Allen Lazard","NYJ","WR",46,12,"N/A",9.37,"N/A"
115,"Evan Engram","JAX","TE",10,12,"N/A",10.42,"N/A"
116,"Alexander Mattison","LV","RB",32,10,"N/A",11.72,"N/A"
117,"Michael Pittman Jr.","IND","WR",47,14,"N/A",16.37,"N/A"
118,"Tyler Allgeier","ATL","RB",33,12,"N/A",6.43,"N/A"
119,"Jeremy McNichols","WAS","RB",34,14,"N/A",9.14,"N/A"
120,"Xavier Legette","CAR","WR",48,11,"N/A",10.61,"N/A"
121,"Justice Hill","BAL","RB",35,14,"N/A",9.1,"N/A"
122,"Ray-Ray McCloud III","ATL","WR",49,12,"N/A",9.49,"N/A"
123,"Quentin Johnston","LAC","WR",50,5,"N/A",7.54,"N/A"
124,"Jerry Jeudy","CLE","WR",51,10,"N/A",10,"N/A"
125,"Braelon Allen","NYJ","RB",36,12,"N/A",8.14,"N/A"
126,"Tyler Goodson","IND","RB",37,14,"N/A",5.13,"N/A"
127,"Rashod Bateman","BAL","WR",52,14,"N/A",8.21,"N/A"
128,"Dalton Schultz","HOU","TE",11,14,"N/A",6.99,"N/A"
129,"Keon Coleman","BUF","WR",53,12,"N/A",8.2,"N/A"
130,"Jauan Jennings","SF","WR",54,9,"N/A",8.44,"N/A"
131,"Joshua Palmer","LAC","WR",55,5,"N/A",7.13,"N/A"
132,"Alec Pierce","IND","WR",56,14,"N/A",7.47,"N/A"
133,"Cole Kmet","CHI","TE",12,7,"N/A",8.56,"N/A"
134,"Roschon Johnson","CHI","RB",38,7,"N/A",5.79,"N/A"
135,"Ja'Lynn Polk","NE","WR",57,14,"N/A",8.55,"N/A"
136,"Mike Williams","NYJ","WR",58,12,"N/A",8.73,"N/A"
137,"Gabe Davis","JAX","WR",59,12,"N/A",8.49,"N/A"
138,"Demario Douglas","NE","WR",60,14,"N/A",9,"N/A"
139,"Andrei Iosivas","CIN","WR",61,12,"N/A",5.53,"N/A"
140,"Curtis Samuel","BUF","WR",62,12,"N/A",5.45,"N/A"
141,"Pat Freiermuth","PIT","TE",13,9,"N/A",7.4,"N/A"
142,"Zach Ertz","WAS","TE",14,14,"N/A",8.56,"N/A"
143,"Jaylen Warren","PIT","RB",39,9,"N/A",5.64,"N/A"
144,"Emanuel Wilson","GB","RB",40,10,"N/A",7.77,"N/A"
145,"Jonathan Mingo","CAR","WR",63,11,"N/A",7.14,"N/A"
146,"Jaleel McLaughlin","DEN","RB",41,14,"N/A",9.26,"N/A"
147,"Greg Dortch","ARI","WR",64,11,"N/A",6.1,"N/A"
148,"David Njoku","CLE","TE",15,10,"N/A",11,"N/A"
149,"Tyler Conklin","NYJ","TE",16,12,"N/A",7.88,"N/A"
150,"Isaiah Likely","BAL","TE",17,14,"N/A",10.04,"N/A"
151,"Noah Brown","WAS","WR",65,14,"N/A",7.26,"N/A"
152,"Cade Otton","TB","TE",18,11,"N/A",9.16,"N/A"
153,"Mark Andrews","BAL","TE",19,14,"N/A",7.96,"N/A"
154,"Theo Johnson","NYG","TE",20,11,"N/A",3.85,"N/A"
155,"KaVontae Turpin","DAL","WR",66,7,"N/A",7.04,"N/A"
156,"Miles Sanders","CAR","RB",42,11,"N/A",6.62,"N/A"
157,"Xavier Hutchinson","HOU","WR",67,14,"N/A",8.21,"N/A"
158,"Mike Gesicki","CIN","TE",21,12,"N/A",6.22,"N/A"
159,"Mack Hollins","BUF","WR",68,12,"N/A",2.79,"N/A"
160,"Adonai Mitchell","IND","WR",69,14,"N/A",3.44,"N/A"
161,"Hunter Henry","NE","TE",22,14,"N/A",6.54,"N/A"
162,"Ameer Abdullah","LV","RB",43,10,"N/A",6.9,"N/A"
163,"Zach Charbonnet","SEA","RB",44,10,"N/A",7.77,"N/A"
164,"Lil'Jordan Humphrey","DEN","WR",70,14,"N/A",5.27,"N/A"
165,"Tyler Boyd","TEN","WR",71,5,"N/A",5.03,"N/A"
166,"D'Onta Foreman","CLE","RB",45,10,"N/A",4.78,"N/A"
167,"Ezekiel Elliott","DAL","RB",46,7,"N/A",4.28,"N/A"
168,"Christian Watson","GB","WR",72,10,"N/A",7.62,"N/A"
169,"Noah Fant","SEA","TE",23,10,"N/A",6.72,"N/A"
170,"DJ Turner","LV","WR",73,10,"N/A",8.83,"N/A"
171,"Sean Tucker","TB","RB",47,11,"N/A",6.8,"N/A"
172,"Ja'Tavion Sanders","CAR","TE",24,11,"N/A",5.05,"N/A"
173,"Juwan Johnson","NO","TE",25,12,"N/A",6.8,"N/A"
174,"Chigoziem Okonkwo","TEN","TE",26,5,"N/A",7.03,"N/A"
175,"Erick All","CIN","TE",27,12,"N/A",5.99,"N/A"
176,"Luke McCaffrey","WAS","WR",74,14,"N/A",4.81,"N/A"
177,"Hayden Hurst","LAC","TE",28,5,"N/A",5.22,"N/A"
178,"Elijah Moore","CLE","WR",75,10,"N/A",5.9,"N/A"
179,"Calvin Austin III","PIT","WR",76,9,"N/A",4.35,"N/A"
180,"Will Dissly","LAC","TE",29,5,"N/A",4.57,"N/A"
181,"Kendrick Bourne","NE","WR",77,14,"N/A",5.98,"N/A"
182,"Jalen Coker","CAR","WR",78,11,"N/A",2.44,"N/A"
183,"JaMycal Hasty","NE","RB",48,14,"N/A",4.71,"N/A"
184,"Van Jefferson","PIT","WR",79,9,"N/A",3.98,"N/A"
185,"Jalin Hyatt","NYG","WR",80,11,"N/A",7.27,"N/A"
186,"Austin Hooper","NE","TE",30,14,"N/A",4.26,"N/A"
187,"Tim Patrick","DET","WR",81,5,"N/A",3.16,"N/A"
188,"Nelson Agholor","BAL","WR",82,14,"N/A",4.74,"N/A"
189,"Josh Whyle","TEN","TE",31,5,"N/A",2.57,"N/A"
190,"Eric Gray","NYG","RB",49,11,"N/A",8.01,"N/A"
191,"Foster Moreau","NO","TE",32,12,"N/A",5.81,"N/A"
192,"Mo Alie-Cox","IND","TE",33,14,"N/A",2.18,"N/A"
193,"Harrison Bryant","LV","TE",34,10,"N/A",3.48,"N/A"
194,"Darnell Washington","PIT","TE",35,9,"N/A",2.64,"N/A"
195,"Troy Franklin","DEN","WR",83,14,"N/A",4.89,"N/A"
196,"Dare Ogunbowale","HOU","RB",50,14,"N/A",2.29,"N/A"
197,"Jalen McMillan","TB","WR",84,11,"N/A",4.23,"N/A"
198,"Ty Johnson","BUF","RB",51,12,"N/A",2.63,"N/A"
199,"Jalen Brooks","DAL","WR",85,7,"N/A",5.07,"N/A"
200,"Jamaal Williams","NO","RB",52,12,"N/A",6.08,"N/A"
201,"Olamide Zaccheaus","WAS","WR",86,14,"N/A",3.48,"N/A"
202,"Kimani Vidal","LAC","RB",53,5,"N/A",2.96,"N/A"
203,"Dyami Brown","WAS","WR",87,14,"N/A",3.44,"N/A"
204,"Marvin Mims Jr.","DEN","WR",88,14,"N/A",4.07,"N/A"
205,"Marquez Valdes-Scantling","BUF","WR",89,12,"N/A",2.13,"N/A"
206,"Sterling Shepard","TB","WR",90,11,"N/A",5.07,"N/A"
207,"Ray Davis","BUF","RB",54,12,"N/A",4.36,"N/A"
208,"Dameon Pierce","HOU","RB",55,14,"N/A",2.16,"N/A"
209,"Emari Demercado","ARI","RB",56,11,"N/A",2.13,"N/A"
210,"Kalif Raymond","DET","WR",91,5,"N/A",3.15,"N/A"
211,"Hunter Luepke","DAL","RB",57,7,"N/A",3.33,"N/A"
212,"Kenneth Gainwell","PHI","RB",58,5,"N/A",4.05,"N/A"
213,"John Metchie III","HOU","WR",92,14,"N/A",5.65,"N/A"
214,"Kyle Juszczyk","SF","RB",59,9,"N/A",2.28,"N/A"
215,"Jahan Dotson","PHI","WR",93,5,"N/A",3.62,"N/A"
216,"Khalil Shakir","BUF","WR",94,12,"N/A",10.71,"N/A"
217,"Mason Tipton","NO","WR",95,12,"N/A",2.94,"N/A"
218,"Treylon Burks","TEN","WR",96,5,"N/A",2.86,"N/A"
219,"Isaac Guerendo","SF","RB",60,9,"N/A",3.68,"N/A"
220,"Hassan Haskins","LAC","RB",61,5,"N/A",1.68,"N/A"
221,"Pierre Strong Jr.","CLE","RB",62,10,"N/A",2.98,"N/A"
222,"Trey Benson","ARI","RB",63,11,"N/A",4.82,"N/A"
223,"Kayshon Boutte","NE","WR",97,14,"N/A",3.58,"N/A"
224,"Audric Estime","DEN","RB",64,14,"N/A",0,"N/A"
225,"D'Ernest Johnson","JAX","RB",65,12,"N/A",2.33,"N/A"
226,"Tyreik McAllister","LV","WR",98,10,"N/A",3.93,"N/A"
227,"Devaughn Vele","DEN","WR",99,14,"N/A",2.69,"N/A"
228,"Isaiah Hodgins","NYG","WR",100,11,"N/A",3.68,"N/A"
229,"Jake Bobo","SEA","WR",101,10,"N/A",3.07,"N/A"
230,"Aaron Shampklin","PIT","RB",66,9,"N/A",0.06,"N/A"
231,"Michael Burton","DEN","RB",67,14,"N/A",0,"N/A"
232,"KhaDarel Hodge","ATL","WR",102,12,"N/A",2.52,"N/A"
233,"Khalil Herbert","CHI","RB",68,7,"N/A",2.27,"N/A"
234,"Parker Washington","JAX","WR",103,12,"N/A",2.27,"N/A"
235,"Cam Akers","HOU","RB",69,14,"N/A",2.2,"N/A"
236,"Patrick Ricard","BAL","RB",70,14,"N/A",0.8,"N/A"
237,"Kristian Wilkerson","LV","WR",104,10,"N/A",2.47,"N/A"
238,"Evan Hull","IND","RB",71,14,"N/A",0.77,"N/A"
239,"Reggie Gilliam","BUF","RB",72,12,"N/A",0,"N/A"
240,"Sione Vaki","DET","RB",73,5,"N/A",0.06,"N/A"
241,"Adam Prentice","NO","RB",74,12,"N/A",0.25,"N/A"
242,"Julius Chestnut","TEN","RB",75,5,"N/A",0.42,"N/A"
243,"Chris Brooks","GB","RB",76,10,"N/A",0,"N/A"
244,"Simi Fehoko","LAC","WR",105,5,"N/A",0.25,"N/A"
245,"Will Shipley","PHI","RB",77,5,"N/A",0.05,"N/A"
246,"Trayveon Williams","CIN","RB",78,12,"N/A",0.91,"N/A"
247,"Terrell Jennings","NE","RB",79,14,"N/A",0.75,"N/A"
248,"Dante Miller","NYG","RB",80,11,"N/A",0,"N/A"
249,"DeeJay Dallas","ARI","RB",81,11,"N/A",0.06,"N/A"
250,"D.J. Williams","TB","RB",82,11,"N/A",0,"N/A"
251,"Craig Reynolds","DET","RB",83,5,"N/A",1.51,"N/A"
252,"Deuce Vaughn","DAL","RB",84,7,"N/A",2.11,"N/A"
253,"Dylan Laube","LV","RB",85,10,"N/A",0.46,"N/A"
254,"Tylan Wallace","BAL","WR",106,14,"N/A",1.98,"N/A"
255,"Alex Bachman","LV","WR",107,10,"N/A",2.55,"N/A"
256,"Cedric Tillman","CLE","WR",108,10,"N/A",3.18,"N/A"
257,"K.J. Osborn","NE","WR",109,14,"N/A",0,"N/A"
258,"Ashton Dulin","IND","WR",110,14,"N/A",1.58,"N/A"
259,"Laviska Shenault Jr.","SEA","WR",111,10,"N/A",1.57,"N/A"
260,"Roman Wilson","PIT","WR",112,9,"N/A",0,"N/A"
261,"Xavier Gipson","NYJ","WR",113,12,"N/A",2.48,"N/A"
262,"Johnny Wilson","PHI","WR",114,5,"N/A",0.77,"N/A"
263,"Cade Stover","HOU","TE",36,14,"N/A",1.21,"N/A"
264,"Dawson Knox","BUF","TE",37,12,"N/A",5.2,"N/A"
265,"David Moore","CAR","WR",115,11,"N/A",1.75,"N/A"
266,"AJ Barner","SEA","TE",38,10,"N/A",2.18,"N/A"
267,"Lucas Krull","DEN","TE",39,14,"N/A",2.76,"N/A"
268,"Adam Trautman","DEN","TE",40,14,"N/A",2.1,"N/A"
269,"Brock Wright","DET","TE",41,5,"N/A",2,"N/A"
270,"Elijah Higgins","ARI","TE",42,11,"N/A",2.73,"N/A"
271,"Jordan Akins","CLE","TE",43,10,"N/A",3.28,"N/A"
272,"Gerald Everett","CHI","TE",44,7,"N/A",3.13,"N/A"
273,"Charlie Kolar","BAL","TE",45,14,"N/A",0.61,"N/A"
274,"Brenton Strange","JAX","TE",46,12,"N/A",1.16,"N/A"
275,"Kylen Granson","IND","TE",47,14,"N/A",2.7,"N/A"
276,"Luke Schoonmaker","DAL","TE",48,7,"N/A",2.28,"N/A"
277,"Jeremy Ruckert","NYJ","TE",49,12,"N/A",3.61,"N/A"
278,"Ben Sims","GB","TE",50,10,"N/A",4.6,"N/A"
