Week-4-rankings-export

Overall Rank,Full Name,Team Abbreviation,Position,Position Rank,Bye Week,ADP,Projected Points,Auction Value
54,"Chris Olave","NO","WR",16,12,"N/A",14.88,"N/A"
55,"Gardner Minshew","LV","QB",29,10,"N/A",12.22,"N/A"
56,"Derrick Henry","BAL","RB",11,14,"N/A",14.08,"N/A"
57,"Dallas Goedert","PHI","TE",1,5,"N/A",10,"N/A"
58,"Brock Bowers","LV","TE",2,10,"N/A",11.6,"N/A"
59,"Matthew Stafford","LAR","QB",30,6,"N/A",15.52,"N/A"
60,"Justin Herbert","LAC","QB",31,5,"N/A",15.36,"N/A"
61,"Jacoby Brissett","NE","QB",32,14,"N/A",14.46,"N/A"
62,"Jahmyr Gibbs","DET","RB",12,5,"N/A",15.91,"N/A"
63,"Mike Evans","TB","WR",17,11,"N/A",14.17,"N/A"
64,"James Cook","BUF","RB",13,12,"N/A",12.63,"N/A"
65,"Brian Robinson","WAS","RB",14,14,"N/A",15.19,"N/A"
66,"Travis Etienne Jr.","JAX","RB",15,12,"N/A",12.2,"N/A"
67,"David Montgomery","DET","RB",16,5,"N/A",12.36,"N/A"
68,"Jayden Reed","GB","WR",18,10,"N/A",13.57,"N/A"
69,"Najee Harris","PIT","RB",17,9,"N/A",12.14,"N/A"
70,"Drake London","ATL","WR",19,12,"N/A",15.26,"N/A"
71,"DJ Moore","CHI","WR",20,7,"N/A",13.3,"N/A"
72,"Zay Flowers","BAL","WR",21,14,"N/A",13,"N/A"
73,"Tyreek Hill","MIA","WR",22,6,"N/A",13.66,"N/A"
74,"Amari Cooper","CLE","WR",23,10,"N/A",13.58,"N/A"
75,"Terry McLaurin","WAS","WR",24,14,"N/A",12.09,"N/A"
76,"George Pickens","PIT","WR",25,9,"N/A",11.33,"N/A"
77,"Jauan Jennings","SF","WR",26,9,"N/A",8.01,"N/A"
78,"Jaxon Smith-Njigba","SEA","WR",27,10,"N/A",12.98,"N/A"
79,"George Kittle","SF","TE",3,9,"N/A",11.42,"N/A"
80,"Jameson Williams","DET","WR",28,5,"N/A",12.84,"N/A"
81,"Jakobi Meyers","LV","WR",29,10,"N/A",12.37,"N/A"
82,"Tee Higgins","CIN","WR",30,12,"N/A",12.19,"N/A"
83,"Josh Jacobs","GB","RB",18,10,"N/A",12.69,"N/A"
84,"Rashid Shaheed","NO","WR",31,12,"N/A",12.94,"N/A"
85,"Khalil Shakir","BUF","WR",32,12,"N/A",8.28,"N/A"
86,"Zack Moss","CIN","RB",19,12,"N/A",9.64,"N/A"
87,"Calvin Ridley","TEN","WR",33,5,"N/A",10.8,"N/A"
88,"Brian Thomas Jr.","JAX","WR",34,12,"N/A",9.74,"N/A"
89,"Jake Ferguson","DAL","TE",4,7,"N/A",11.95,"N/A"
90,"Michael Pittman Jr.","IND","WR",35,14,"N/A",10.9,"N/A"
91,"Travis Kelce","KC","TE",5,6,"N/A",12.69,"N/A"
92,"Dalton Kincaid","BUF","TE",6,12,"N/A",11.9,"N/A"
93,"J.K. Dobbins","LAC","RB",20,5,"N/A",12.15,"N/A"
94,"Ladd McConkey","LAC","WR",36,5,"N/A",9.9,"N/A"
95,"Chuba Hubbard","CAR","RB",21,11,"N/A",10.82,"N/A"
96,"Devin Singletary","NYG","RB",22,11,"N/A",11.48,"N/A"
97,"Rome Odunze","CHI","WR",37,7,"N/A",9.85,"N/A"
98,"Tony Pollard","TEN","RB",23,5,"N/A",10.77,"N/A"
99,"Sam LaPorta","DET","TE",7,5,"N/A",13.88,"N/A"
100,"Kenneth Walker III","SEA","RB",24,10,"N/A",12.37,"N/A"
101,"Rhamondre Stevenson","NE","RB",25,14,"N/A",11.42,"N/A"
102,"Christian Kirk","JAX","WR",38,12,"N/A",10.18,"N/A"
103,"Romeo Doubs","GB","WR",39,10,"N/A",8.92,"N/A"
104,"Kyle Pitts","ATL","TE",8,12,"N/A",11.22,"N/A"
105,"Xavier Worthy","KC","WR",40,6,"N/A",11.5,"N/A"
106,"Darnell Mooney","ATL","WR",41,12,"N/A",9.34,"N/A"
107,"Cam Akers","HOU","RB",26,14,"N/A",13.93,"N/A"
108,"Jerome Ford","CLE","RB",27,10,"N/A",14.74,"N/A"
109,"Quentin Johnston","LAC","WR",42,5,"N/A",5.74,"N/A"
110,"Rachaad White","TB","RB",28,11,"N/A",11.85,"N/A"
111,"Carson Steele","KC","RB",29,6,"N/A",9.98,"N/A"
112,"Rico Dowdle","DAL","RB",30,7,"N/A",7.5,"N/A"
113,"Tyler Lockett","SEA","WR",43,10,"N/A",11.01,"N/A"
114,"Courtland Sutton","DEN","WR",44,14,"N/A",10.32,"N/A"
115,"Cole Kmet","CHI","TE",9,7,"N/A",7.24,"N/A"
116,"Jaylen Waddle","MIA","WR",45,6,"N/A",10.84,"N/A"
117,"Bucky Irving","TB","RB",31,11,"N/A",5.95,"N/A"
118,"Wan'Dale Robinson","NYG","WR",46,11,"N/A",7.94,"N/A"
119,"Mark Andrews","BAL","TE",10,14,"N/A",11.48,"N/A"
120,"Tyjae Spears","TEN","RB",32,5,"N/A",9.32,"N/A"
121,"Keenan Allen","CHI","WR",47,7,"N/A",11.39,"N/A"
122,"Zamir White","LV","RB",33,10,"N/A",9.94,"N/A"
123,"D'Andre Swift","CHI","RB",34,7,"N/A",11.66,"N/A"
124,"Demarcus Robinson","LAR","WR",48,6,"N/A",14.33,"N/A"
125,"Braelon Allen","NYJ","RB",35,12,"N/A",7.51,"N/A"
126,"DeAndre Hopkins","TEN","WR",49,5,"N/A",9.79,"N/A"
127,"Tre Tucker","LV","WR",50,10,"N/A",9.61,"N/A"
128,"Jerry Jeudy","CLE","WR",51,10,"N/A",9.88,"N/A"
129,"Chase Brown","CIN","RB",36,12,"N/A",9.28,"N/A"
130,"Roschon Johnson","CHI","RB",37,7,"N/A",3.06,"N/A"
131,"Jordan Addison","MIN","WR",52,6,"N/A",10.44,"N/A"
132,"Pat Freiermuth","PIT","TE",11,9,"N/A",7.29,"N/A"
133,"Michael Wilson","ARI","WR",53,11,"N/A",7.54,"N/A"
134,"Joshua Palmer","LAC","WR",54,5,"N/A",9.56,"N/A"
135,"Christian Watson","GB","WR",55,10,"N/A",7.66,"N/A"
136,"Greg Dortch","ARI","WR",56,11,"N/A",4.99,"N/A"
137,"Isaiah Likely","BAL","TE",12,14,"N/A",8.02,"N/A"
138,"Zach Charbonnet","SEA","RB",38,10,"N/A",7.51,"N/A"
139,"Tutu Atwell","LAR","WR",57,6,"N/A",5.4,"N/A"
140,"Allen Lazard","NYJ","WR",58,12,"N/A",6.06,"N/A"
141,"Xavier Legette","CAR","WR",59,11,"N/A",11.28,"N/A"
142,"Brandin Cooks","DAL","WR",60,7,"N/A",10.93,"N/A"
143,"Gabe Davis","JAX","WR",61,12,"N/A",9.31,"N/A"
144,"Andrei Iosivas","CIN","WR",62,12,"N/A",3.73,"N/A"
145,"Zach Ertz","WAS","TE",13,14,"N/A",8.51,"N/A"
146,"Dalton Schultz","HOU","TE",14,14,"N/A",8.43,"N/A"
147,"Javonte Williams","DEN","RB",39,14,"N/A",10.26,"N/A"
148,"Ezekiel Elliott","DAL","RB",40,7,"N/A",9.32,"N/A"
149,"Josh Downs","IND","WR",63,14,"N/A",6.26,"N/A"
150,"Samaje Perine","KC","RB",41,6,"N/A",9.07,"N/A"
151,"Jonathan Mingo","CAR","WR",64,11,"N/A",7.86,"N/A"
152,"Mike Gesicki","CIN","TE",15,12,"N/A",5.55,"N/A"
153,"Tyler Conklin","NYJ","TE",16,12,"N/A",7.2,"N/A"
154,"Colby Parkinson","LAR","TE",17,6,"N/A",7.46,"N/A"
155,"Ray-Ray McCloud III","ATL","WR",65,12,"N/A",6.82,"N/A"
156,"Hunter Henry","NE","TE",18,14,"N/A",6.8,"N/A"
157,"Brenton Strange","JAX","TE",19,12,"N/A",11.11,"N/A"
158,"Tucker Kraft","GB","TE",20,10,"N/A",5.91,"N/A"
159,"Jalen Tolbert","DAL","WR",66,7,"N/A",7.44,"N/A"
160,"Alexander Mattison","LV","RB",42,10,"N/A",8.03,"N/A"
161,"Demario Douglas","NE","WR",67,14,"N/A",8.99,"N/A"
162,"Noah Fant","SEA","TE",21,10,"N/A",8.39,"N/A"
163,"Alec Pierce","IND","WR",68,14,"N/A",1.78,"N/A"
164,"Rashod Bateman","BAL","WR",69,14,"N/A",6.55,"N/A"
165,"Elijah Higgins","ARI","TE",22,11,"N/A",9.98,"N/A"
166,"Ty Chandler","MIN","RB",43,6,"N/A",4.65,"N/A"
167,"Miles Sanders","CAR","RB",44,11,"N/A",7.24,"N/A"
168,"Mike Williams","NYJ","WR",70,12,"N/A",7.82,"N/A"
169,"Keon Coleman","BUF","WR",71,12,"N/A",10.42,"N/A"
170,"Justice Hill","BAL","RB",45,14,"N/A",6,"N/A"
171,"Emanuel Wilson","GB","RB",46,10,"N/A",5.5,"N/A"
172,"Tyler Johnson","LAR","WR",72,6,"N/A",11.47,"N/A"
173,"Cade Otton","TB","TE",23,11,"N/A",7.49,"N/A"
174,"Jalen Nailor","MIN","WR",73,6,"N/A",1.86,"N/A"
175,"Antonio Gibson","NE","RB",47,14,"N/A",7.6,"N/A"
176,"Tommy Tremble","CAR","TE",24,11,"N/A",4.97,"N/A"
177,"Taysom Hill","NO","TE",25,12,"N/A",7.11,"N/A"
178,"Jordan Akins","CLE","TE",26,10,"N/A",10.65,"N/A"
179,"Johnny Mundt","MIN","TE",27,6,"N/A",6.8,"N/A"
180,"Jahan Dotson","PHI","WR",74,5,"N/A",9.71,"N/A"
181,"Hayden Hurst","LAC","TE",28,5,"N/A",7,"N/A"
182,"Josh Reynolds","DEN","WR",75,14,"N/A",7.85,"N/A"
183,"Noah Brown","WAS","WR",76,14,"N/A",2.77,"N/A"
184,"Chigoziem Okonkwo","TEN","TE",29,5,"N/A",6.84,"N/A"
185,"Elijah Moore","CLE","WR",77,10,"N/A",5.49,"N/A"
186,"Dontayvion Wicks","GB","WR",78,10,"N/A",6.54,"N/A"
187,"D'Onta Foreman","CLE","RB",48,10,"N/A",7.92,"N/A"
188,"Lil'Jordan Humphrey","DEN","WR",79,14,"N/A",3.59,"N/A"
189,"Tyler Boyd","TEN","WR",80,5,"N/A",4.83,"N/A"
190,"Jonnu Smith","MIA","TE",30,6,"N/A",5.28,"N/A"
191,"Calvin Austin III","PIT","WR",81,9,"N/A",4.38,"N/A"
192,"Jordan Whittington","LAR","WR",82,6,"N/A",10.16,"N/A"
193,"Greg Dulcich","DEN","TE",31,14,"N/A",5.48,"N/A"
194,"Tyler Allgeier","ATL","RB",49,12,"N/A",5.56,"N/A"
195,"Theo Johnson","NYG","TE",32,11,"N/A",5.78,"N/A"
196,"Juwan Johnson","NO","TE",33,12,"N/A",5.32,"N/A"
197,"Foster Moreau","NO","TE",34,12,"N/A",3.59,"N/A"
198,"Josh Whyle","TEN","TE",35,5,"N/A",2.48,"N/A"
199,"Luke McCaffrey","WAS","WR",83,14,"N/A",4.6,"N/A"
200,"Jaleel McLaughlin","DEN","RB",50,14,"N/A",9.35,"N/A"
201,"Ja'Lynn Polk","NE","WR",84,14,"N/A",6.13,"N/A"
202,"Cordarrelle Patterson","PIT","RB",51,9,"N/A",10.65,"N/A"
203,"Trey Palmer","TB","WR",85,11,"N/A",6.53,"N/A"
204,"Tyrone Tracy","NYG","RB",52,11,"N/A",4.96,"N/A"
205,"Darius Slayton","NYG","WR",86,11,"N/A",6.72,"N/A"
206,"Jamaal Williams","NO","RB",53,12,"N/A",5.41,"N/A"
207,"Curtis Samuel","BUF","WR",87,12,"N/A",10.08,"N/A"
208,"Mack Hollins","BUF","WR",88,12,"N/A",1.47,"N/A"
209,"K.J. Osborn","NE","WR",89,14,"N/A",6.04,"N/A"
210,"JuJu Smith-Schuster","KC","WR",90,6,"N/A",1.82,"N/A"
211,"Gus Edwards","LAC","RB",54,5,"N/A",8.01,"N/A"
212,"Tyler Badie","DEN","RB",55,14,"N/A",0,"N/A"
213,"Trey Benson","ARI","RB",56,11,"N/A",5.13,"N/A"
214,"Tim Patrick","DET","WR",91,5,"N/A",1.28,"N/A"
215,"Dare Ogunbowale","HOU","RB",57,14,"N/A",0.85,"N/A"
216,"Raheem Mostert","MIA","RB",58,6,"N/A",10.6,"N/A"
217,"Nelson Agholor","BAL","WR",92,14,"N/A",4.5,"N/A"
218,"Ray Davis","BUF","RB",59,12,"N/A",4.49,"N/A"
219,"Parris Campbell","PHI","WR",93,5,"N/A",5.98,"N/A"
220,"KaVontae Turpin","DAL","WR",94,7,"N/A",3.53,"N/A"
221,"Robert Woods","HOU","WR",95,14,"N/A",8.93,"N/A"
222,"Adonai Mitchell","IND","WR",96,14,"N/A",4.5,"N/A"
223,"Isaac Guerendo","SF","RB",60,9,"N/A",3.87,"N/A"
224,"Kyle Juszczyk","SF","RB",61,9,"N/A",1.04,"N/A"
225,"Tank Bigsby","JAX","RB",62,12,"N/A",4.71,"N/A"
226,"Jeremy McNichols","WAS","RB",63,14,"N/A",4.89,"N/A"
227,"Dyami Brown","WAS","WR",97,14,"N/A",6.62,"N/A"
228,"Emari Demercado","ARI","RB",64,11,"N/A",2.21,"N/A"
229,"Khalil Herbert","CHI","RB",65,7,"N/A",5.26,"N/A"
230,"Ronnie Bell","SF","WR",98,9,"N/A",0,"N/A"
231,"Van Jefferson","PIT","WR",99,9,"N/A",5.72,"N/A"
232,"DJ Turner","LV","WR",100,10,"N/A",3.81,"N/A"
233,"Justin Watson","KC","WR",101,6,"N/A",4.73,"N/A"
234,"Ty Johnson","BUF","RB",66,12,"N/A",3.34,"N/A"
235,"Deuce Vaughn","DAL","RB",67,7,"N/A",2.93,"N/A"
236,"David Moore","CAR","WR",102,11,"N/A",4.29,"N/A"
237,"Ronnie Rivers","LAR","RB",68,6,"N/A",0.95,"N/A"
238,"Kalif Raymond","DET","WR",103,5,"N/A",3.23,"N/A"
239,"Kenneth Gainwell","PHI","RB",69,5,"N/A",4.4,"N/A"
240,"Trey Sermon","IND","RB",70,14,"N/A",2.1,"N/A"
241,"Tyquan Thornton","NE","WR",104,14,"N/A",5.7,"N/A"
242,"Ameer Abdullah","LV","RB",71,10,"N/A",0.41,"N/A"
243,"Jeff Wilson Jr.","MIA","RB",72,6,"N/A",1.71,"N/A"
244,"Kareem Hunt","KC","RB",73,6,"N/A",0,"N/A"
245,"Alec Ingold","MIA","RB",74,6,"N/A",0.15,"N/A"
246,"J.J. Taylor","HOU","RB",75,14,"N/A",0,"N/A"
247,"D'Ernest Johnson","JAX","RB",76,12,"N/A",2.26,"N/A"
248,"Mason Tipton","NO","WR",105,12,"N/A",3.03,"N/A"
249,"Eric Gray","NYG","RB",77,11,"N/A",3.4,"N/A"
250,"Blake Corum","LAR","RB",78,6,"N/A",5.31,"N/A"
251,"British Brooks","HOU","RB",79,14,"N/A",3.55,"N/A"
252,"C.J. Ham","MIN","RB",80,6,"N/A",1.1,"N/A"
253,"Hunter Luepke","DAL","RB",81,7,"N/A",0,"N/A"
254,"Jaylen Wright","MIA","RB",82,6,"N/A",0,"N/A"
255,"Jordan Mims","NO","RB",83,12,"N/A",0.47,"N/A"
256,"Raheem Blackshear","CAR","RB",84,11,"N/A",2.68,"N/A"
257,"JaMycal Hasty","NE","RB",85,14,"N/A",0.78,"N/A"
258,"Xavier Hutchinson","HOU","WR",106,14,"N/A",6.18,"N/A"
259,"Marvin Mims Jr.","DEN","WR",107,14,"N/A",7,"N/A"
260,"Jalen Brooks","DAL","WR",108,7,"N/A",2.23,"N/A"
261,"Marquez Valdes-Scantling","BUF","WR",109,12,"N/A",2.45,"N/A"
262,"Parker Washington","JAX","WR",110,12,"N/A",2.41,"N/A"
263,"Braxton Berrios","MIA","WR",111,6,"N/A",4.85,"N/A"
264,"Treylon Burks","TEN","WR",112,5,"N/A",2.76,"N/A"
265,"Cedric Tillman","CLE","WR",113,10,"N/A",3.12,"N/A"
266,"Brandon Powell","MIN","WR",114,6,"N/A",5.45,"N/A"
267,"Kylen Granson","IND","TE",36,14,"N/A",3.44,"N/A"
268,"Will Dissly","LAC","TE",37,5,"N/A",4.83,"N/A"
269,"Johnny Wilson","PHI","WR",115,5,"N/A",3.57,"N/A"
270,"Luke Musgrave","GB","TE",38,10,"N/A",7.25,"N/A"
271,"Austin Hooper","NE","TE",39,14,"N/A",4.03,"N/A"
272,"Noah Gray","KC","TE",40,6,"N/A",3.64,"N/A"
273,"Dawson Knox","BUF","TE",41,12,"N/A",5.91,"N/A"
274,"Erick All","CIN","TE",42,12,"N/A",1.34,"N/A"
275,"Brock Wright","DET","TE",43,5,"N/A",2.03,"N/A"
276,"Grant Calcaterra","PHI","TE",44,5,"N/A",1.82,"N/A"
277,"Tip Reiman","ARI","TE",45,11,"N/A",3.32,"N/A"
278,"Ja'Tavion Sanders","CAR","TE",46,11,"N/A",4.33,"N/A"
279,"Gerald Everett","CHI","TE",47,7,"N/A",4.25,"N/A"
280,"Eric Saubert","SF","TE",48,9,"N/A",2.23,"N/A"
281,"Jeremy Ruckert","NYJ","TE",49,12,"N/A",3.23,"N/A"
282,"Darnell Washington","PIT","TE",50,9,"N/A",1.74,"N/A"
