"offPlayer","offTeam","offHeightInches","offWeight","offSpeed","offLeft","offSlot","offRight","offRoutes","offTr","offFr","offCPct","offYprr","offGrade","defPlayer","defTeam","defHeightInches","defWeight","defSpeed","defLeft","defSlot","defRight","defRoutes","defTr","defFr","defCPct","defYprr","defGrade","advantage","expectedSnaps"
"Tavon Austin","JAX","","","","","","","","","","","","","Brandin Echols","NYJ","71","178","","4","","90","302","16","0.25","62","1.34","50.9","40.57691658","7.1660925"
"Tavon Austin","JAX","","","","","","","","","","","","","Bryce Hall","NYJ","73","200","","82","","7","487","13","0.24","64","0.94","70.9","2.273142938","5.700300853"
"Tavon Austin","JAX","","","","","","","","","","","","","Javelin Guidry","NYJ","69","193","4.29","3","22","55","216","15","0.28","69","1.25","54.4","40.85329827","11.40060171"
"Demarcus Robinson","KC","73","203","4.59","44","16","38","391","7","0.13","64","0.5","49.8","All Defenders","PIT","","","","","","","","","","","","","26.40260165","42.50880751"
"Demarcus Robinson","KC","73","203","4.59","44","16","38","391","7","0.13","64","0.5","49.8","Cameron Sutton","PIT","71","188","4.52","1","15","68","484","12","0.22","68","1.04","52.8","28.75301077","19.1490147"
"Demarcus Robinson","KC","73","203","4.59","44","16","38","391","7","0.13","64","0.5","49.8","Joe Haden","PIT","71","195","4.52","94","","1","285","12","0.19","64","0.97","66.1","13.49355115","16.04105944"
"Demarcus Robinson","KC","73","203","4.59","44","16","38","391","7","0.13","64","0.5","49.8","Arthur Maulet","PIT","70","190","4.62","","83","1","173","12","0.2","65","0.93","62.8","52.25549647","6.717193639"
"Josh Gordon","KC","","","","","","","","","","","","","All Defenders","PIT","","","","","","","","","","","","","17.44219464","24.23289721"
"Josh Gordon","KC","","","","","","","","","","","","","Cameron Sutton","PIT","71","188","4.52","1","15","68","484","12","0.22","68","1.04","52.8","14.22150002","9.748866694"
"Josh Gordon","KC","","","","","","","","","","","","","Joe Haden","PIT","71","195","4.52","94","","1","285","12","0.19","64","0.97","66.1","0.11","13.64841337"
"Josh Gordon","KC","","","","","","","","","","","","","Arthur Maulet","PIT","70","190","4.62","","83","1","173","12","0.2","65","0.93","62.8","19.47870661","0.835617145"
"Byron Pringle","KC","74","205","4.46","16","60","21","312","12","0.28","74","1.29","61.5","All Defenders","PIT","","","","","","","","","","","","","39.91441496","34.35607821"
"Byron Pringle","KC","74","205","4.46","16","60","21","312","12","0.28","74","1.29","61.5","Cameron Sutton","PIT","71","188","4.52","1","15","68","484","12","0.22","68","1.04","52.8","34.25996563","5.25445902"
"Byron Pringle","KC","74","205","4.46","16","60","21","312","12","0.28","74","1.29","61.5","Joe Haden","PIT","71","195","4.52","94","","1","285","12","0.19","64","0.97","66.1","17.92359494","7.376452086"
"Byron Pringle","KC","74","205","4.46","16","60","21","312","12","0.28","74","1.29","61.5","Arthur Maulet","PIT","70","190","4.62","","83","1","173","12","0.2","65","0.93","62.8","59.29478589","20.8157415"
"Odell Beckham Jr.","LA","71","198","4.43","47","17","36","307","20","0.31","55","1.44","67.6","All Defenders","MIN","","","","","","","","","","","","","62.54623995","47.28673461"
"Odell Beckham Jr.","LA","71","198","4.43","47","17","36","307","20","0.31","55","1.44","67.6","Patrick Peterson","MIN","73","203","4.31","7","2","88","377","13","0.24","62","1.07","62.4","63.96312815","22.14333494"
"Odell Beckham Jr.","LA","71","198","4.43","47","17","36","307","20","0.31","55","1.44","67.6","Cameron Dantzler","MIN","74","185","4.64","33","7","56","314","14","0.2","56","0.82","71.7","55.01991122","16.71464637"
"Odell Beckham Jr.","LA","71","198","4.43","47","17","36","307","20","0.31","55","1.44","67.6","Mackensie Alexander","MIN","70","192","","","89","1","415","16","0.29","70","1.34","41.7","97.31391932","8.4287533"
"Van Jefferson","LA","74","197","","41","32","27","469","15","0.32","60","1.5","58.9","All Defenders","MIN","","","","","","","","","","","","","39.3457929","55.57920179"
"Van Jefferson","LA","74","197","","41","32","27","469","15","0.32","60","1.5","58.9","Patrick Peterson","MIN","73","203","4.31","7","2","88","377","13","0.24","62","1.07","62.4","34.77790014","24.65156335"
"Van Jefferson","LA","74","197","","41","32","27","469","15","0.32","60","1.5","58.9","Cameron Dantzler","MIN","74","185","4.64","33","7","56","314","14","0.2","56","0.82","71.7","31.54199254","17.36440603"
"Van Jefferson","LA","74","197","","41","32","27","469","15","0.32","60","1.5","58.9","Mackensie Alexander","MIN","70","192","","","89","1","415","16","0.29","70","1.34","41.7","60.0077724","13.45273697"
"Cooper Kupp","LA","74","208","4.62","18","67","14","516","31","0.71","75","3.15","92","All Defenders","MIN","","","","","","","","","","","","","99.3848","63.53487282"
"Cooper Kupp","LA","74","208","4.62","18","67","14","516","31","0.71","75","3.15","92","Patrick Peterson","MIN","73","203","4.31","7","2","88","377","13","0.24","62","1.07","62.4","97.1909","15.60202025"
"Cooper Kupp","LA","74","208","4.62","18","67","14","516","31","0.71","75","3.15","92","Cameron Dantzler","MIN","74","185","4.64","33","7","56","314","14","0.2","56","0.82","71.7","92.4027156","10.61864362"
"Cooper Kupp","LA","74","208","4.62","18","67","14","516","31","0.71","75","3.15","92","Mackensie Alexander","MIN","70","192","","","89","1","415","16","0.29","70","1.34","41.7","100","37.31975007"
"Keenan Allen","LAC","74","211","4.58","16","63","20","519","25","0.43","71","1.94","80.1","All Defenders","HST","","","","","","","","","","","","","92.02835063","59.69091332"
"Keenan Allen","LAC","74","211","4.58","16","63","20","519","25","0.43","71","1.94","80.1","Desmond King II","HST","70","200","","17","21","58","402","18","0.3","70","1.44","54.9","97.04267557","35.81454799"
"Keenan Allen","LAC","74","211","4.58","16","63","20","519","25","0.43","71","1.94","80.1","Tremon Smith","HST","","","","","","","","","","","","","84.87935788","12.56104437"
"Keenan Allen","LAC","74","211","4.58","16","63","20","519","25","0.43","71","1.94","80.1","Tavierre Thomas","HST","70","205","","","94","","293","11","0.1","58","0.4","78","42.08738426","11.93818266"
"Mike Williams","LAC","76","220","","48","16","35","502","20","0.4","63","1.92","75.5","All Defenders","HST","","","","","","","","","","","","","76.82645064","53.23253379"
"Mike Williams","LAC","76","220","","48","16","35","502","20","0.4","63","1.92","75.5","Desmond King II","HST","70","200","","17","21","58","402","18","0.3","70","1.44","54.9","88.95273913","18.88101091"
"Mike Williams","LAC","76","220","","48","16","35","502","20","0.4","63","1.92","75.5","Tremon Smith","HST","","","","","","","","","","","","","76.80631463","25.62648512"
"Mike Williams","LAC","76","220","","48","16","35","502","20","0.4","63","1.92","75.5","Tavierre Thomas","HST","70","205","","","94","","293","11","0.1","58","0.4","78","31.45284301","8.627003635"
"Josh Palmer","LAC","74","210","","27","47","24","200","14","0.29","75","1.25","61.9","All Defenders","HST","","","","","","","","","","","","","35.936495","26.34913963"
"Josh Palmer","LAC","74","210","","27","47","24","200","14","0.29","75","1.25","61.9","Desmond King II","HST","70","200","","17","21","58","402","18","0.3","70","1.44","54.9","66.48189949","7.062655984"
