Rank,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
481,Cobie Durant,LAR,DB,11,SEA,0,0,0,0,0,0,0,0,0.1,0.15,0.05,0.03,0,0
481,Khalil Mack,LAC,OLB,11,GB,0,0,0,0,0,0,0,0,0.22,0.02,0.06,0.03,0,0
481,Fletcher Cox,PHI,DT,11,KC,0,0,0,0,0,0,0,0,0.34,0.01,0.04,0.02,0,0
481,Russ Yeast,LAR,DB,11,SEA,0,0,0,0,0,0,0,0,0.15,0.02,0.06,0.03,0,0
481,Riq Woolen,SEA,CB,11,LAR,0,0,0,0,0,0,0,0,0.1,0.19,0.07,0.03,0,0
481,Emmanuel Forbes Jr.,WAS,CB,11,NYG,0,0,0,0,0,0,0,0,0.1,0.13,0.05,0.03,0,0
481,Joshua Williams,KC,CB,11,PHI,0,0,0,0,0,0,0,0,0.11,0.08,0.06,0.03,0,0
481,Dennis Gardeck,ARI,OLB,11,HOU,0,0,0,0,0,0,0,0,0.22,0.02,0.04,0.02,0,0
481,Joey Bosa,LAC,OLB,11,GB,0,0,0,0,0,0,0,0,0.21,0.03,0.06,0.03,0,0
481,DJ Reader,CIN,DT,11,BAL,0,0,0,0,0,0,0,0,0.35,0.01,0.04,0.02,0,0
481,Justin Jones,CHI,DT,11,DET,0,0,0,0,0,0,0,0,0.33,0.01,0.05,0.02,0,0
481,Alim McNeill,DET,DL,11,CHI,0,0,0,0,0,0,0,0,0.33,0.01,0.07,0.04,0,0
481,Michael Davis,LAC,CB,11,GB,0,0,0,0,0,0,0,0,0.11,0.09,0.06,0.03,0,0
481,Christian Izien,TB,S,11,SF,0,0,0,0,0,0,0,0,0.13,0.12,0.05,0.02,0,0
481,Rodney McLeod Jr.,CLE,S,11,PIT,0,0,0,0,0,0,0,0,0.17,0.02,0.04,0.02,0,0
481,Asante Samuel Jr.,LAC,CB,11,GB,0,0,0,0,0,0,0,0,0.08,0.2,0.07,0.04,0,0
481,Preston Smith,GB,LB,11,LAC,0,0,0,0,0,0,0,0,0.22,0.01,0.04,0.02,0,0
481,James Bradberry,PHI,CB,11,KC,0,0,0,0,0,0,0,0,0.09,0.13,0.06,0.03,0,0
481,Montaric Brown,JAX,CB,11,TEN,0,0,0,0,0,0,0,0,0.1,0.04,0.07,0.04,0,0
481,Ahkello Witherspoon,LAR,DB,11,SEA,0,0,0,0,0,0,0,0,0.09,0.24,0.06,0.03,0,0
481,Jourdan Lewis,DAL,CB,11,CAR,0,0,0,0,0,0,0,0,0.1,0.09,0.08,0.04,0,0
481,Javon Hargrave,SF,DL,11,TB,0,0,0,0,0,0,0,0,0.31,0.01,0.05,0.02,0,0
