,,,,,,,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,,,,,,,,Position Rankings,,,,Overall Rankings,,,,,Position Rankings,,,Overall Rankings,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
Christian McCaffrey,,0,RB,RB1,8000,SF,@ TB,10,28.25,10.7,25.9,0,0,0,0,0,0,0.5213,18.49,89.73,0.74,23.66,0.1528,5.17,4.16,38.56,0.26,0,0,0,0,0,0,22.99,22.99,0,6.94,44.39,22.99,22.99,11,0,100,,33,54,2.9,16.7,2.1,4,5,5,7,10,10,0.04,0.02,0.91,,,0.02,8.58,14.16,67.4,0.57,6.93,5.6,48.05,0.33,,,,,,,
Bijan Robinson,,0,RB,RB1,7700,ATL,@ NO,30,25.5,7.4,15.2,18.1,0,0,0,0,0,0.5816,20.82,95.09,0.53,26.46,0.177,5.64,4.53,38.54,0.24,0,0,0,0,0,0,22.51,22.51,0,11.41,37.31,22.51,22.51,1,0,100,,4,54,2.9,32.4,4.2,7,6,6,10,11,11,,,,,,,,13.42,61.85,0.31,4.88,3.65,30.15,0.19,,,,,,,
De'Von Achane,,0,RB,RB1,7100,MIA,@ LAR,13,23.75,13.5,18.5,17.4,0,0,0,0,0,0.4647,15.69,86.31,0.61,21.05,0.1606,5.36,4.43,34.01,0.37,0,0,0,0,0,0,22.34,22.34,0,2.09,49.34,22.34,22.34,24,0,100,,73,25,3.1,10.2,1.4,13,7,7,16,12,12,,,,,0.05,,,10.32,64.21,0.53,4.16,3.37,26.26,0.32,,,,,,,
CeeDee Lamb,,0,WR,WR1,8600,DAL,vs PHI,26,18.5,10.5,25.2,19,0,0,0,0,0,0.0551,1.22,8.16,0.06,13.24,0.3147,12.02,8.23,94.47,0.56,0,0,0,0,0,0,22.21,22.21,0,6.46,43.21,22.21,22.21,38,0,100,,92,43,2.6,8.4,1,2,1,1,2,13,13,,,,,0.01,,,0.72,5,0.04,8.8,6.05,78.45,0.49,,,,,,,
Davante Adams,,0,WR,WR2,7000,NYJ,@ ARI,1,23.75,11.2,16.1,14.2,0,0,0,0,0,0,0,0,0,11.45,0.2829,11.45,7.29,92.93,0.88,0,0,0,0,0,0,21.86,21.86,0,5.06,44.26,21.86,21.86,34,0,100,,83,41,3.1,9.1,1.3,15,2,2,17,14,14,0.01,0.01,0.23,,0.01,,1.54,0.02,-0.01,,9.61,6.18,77.16,0.69,,,,,,,
Kyler Murray,,0,QB,QB1,6300,ARI,vs NYJ,1,22.25,8.3,18.9,17.7,1,34.08,245.72,1.57,0.61,0.1937,6.58,41.78,0.36,6.58,0,0,0,0,0,0,0,0,0,0,0,21.84,21.84,0,9.39,38.44,21.84,21.84,4,0,100,,7,61,3.5,28.74,4.6,11,6,6,24,15,15,33.66,22.45,235.66,0.66,2.2,1.42,94.58,6.32,37.81,0.38,,,0.09,,,,,,,,
Justin Herbert,,0,QB,QB1,5200,LAC,vs TEN,5,24,8.6,19.3,14.8,1,40.33,308.04,2.07,0.55,0.1066,3,11.34,0.1,3,0,0,0,0,0,0,0,0,0,0,0,21.79,21.79,0,8.89,38.99,21.79,21.79,8,0,100,,18,59,4.2,19.76,3.8,22,7,7,35,16,16,37.79,25.11,270.67,0.61,2.16,1.77,96.83,3.59,14.24,0.16,0.04,0.04,,,,,,,,,
Rachaad White,,0,RB,RB1,5900,TB,vs SF,23,21.75,7,16.2,13.3,0,0,0,0,0,0.4969,13.91,53.71,0.24,21.11,0.1721,7.2,6.49,52.17,0.51,0,0,0,0,0,0,21.58,21.58,0,11.08,35.58,21.58,21.58,6,0,100,,22,46,3.7,19,3.2,25,8,8,28,17,17,,,,,,,,11.49,42.59,0.2,3.95,3.54,26.61,0.2,,,,,,,
Sam Darnold,,0,QB,QB1,6200,MIN,@ JAC,32,24.75,8.7,2.5,18.3,1,36.37,291.51,2.13,1.12,0.1203,3.94,14.34,0.18,3.94,0,0,0,0,0,0,0,0,0,0,0,21.57,21.57,0,8.52,38.97,21.57,21.57,21,0,100,,80,36,3.5,9.44,1.5,12,8,8,25,18,18,27.49,16.72,188.7,0.85,2.35,1.08,76.67,3.24,11.89,0.18,,,,,,,,,,,
Justin Jefferson,,0,WR,WR1,8800,MIN,@ JAC,15,24.75,10.7,21.8,20.8,0,0,0,0,0,0,0,0,0,11.07,0.3044,11.07,7.61,107,0.52,0,0,0,0,0,0,21.43,21.43,0,5.38,42.83,21.43,21.43,31,0,100,,77,49,2.4,9.8,1.1,1,3,3,1,19,19,0.12,0.07,1.34,,,,10.6,0.19,0.46,0.01,9.49,6.47,98.26,0.51,,,,,,,
Bo Nix,,0,QB,QB1,6000,DEN,@ KC,9,17.75,6.7,0,17.4,1,35.62,230.21,1.27,0.68,0.2738,8.48,43.4,0.57,8.48,0,0,0,0,0,0,0,0,0,0,0,21.37,21.37,0,11.32,34.77,21.37,21.37,11,0,100,,37,61,3.6,16.1,2.7,14,9,9,27,20,20,32.67,20.44,194.78,0.67,1.67,0.89,80.51,6.44,32.78,0.44,0.11,0.11,0.22,0.11,,,,,,,
Baker Mayfield,,0,QB,QB1,6400,TB,vs SF,12,21.75,7.2,17.4,24.8,1,41.83,293.19,2.15,1.11,0.1272,3.56,13.6,0.13,3.56,0,0,0,0,0,0,0,0,0,0,0,21.36,21.36,0,10.56,35.76,21.36,21.36,22,0,100,,85,57,3.3,8.94,1.4,10,10,10,23,21,21,32.04,20.15,231.85,0.85,2.37,1.56,90.83,2.9,10.33,0.09,0.02,0.01,0.17,,,,,,,,
Joe Burrow,,0,QB,QB1,7000,CIN,@ BAL,30,23.25,8.9,16.3,20.9,1,33.07,250.28,2.15,0.58,0.1824,4.51,16.86,0.23,4.51,0,0,0,0,0,0,0,0,0,0,0,21.1,21.1,0,7.75,38.9,21.1,21.1,1,0,100,,2,58,3,36.72,5.2,5,11,11,17,22,22,36.02,24.59,267.66,0.67,2.75,1.92,100.09,3.44,11.84,0.18,,,,,,,,,,,
Brock Purdy,,0,QB,QB1,6500,SF,@ TB,28,28.25,8,20.2,19.6,1,33.81,283.49,1.88,0.97,0.1041,3.69,15.45,0.24,3.69,0,0,0,0,0,0,0,0,0,0,0,20.87,20.87,0,8.87,36.87,20.87,20.87,5,0,100,,8,55,3.2,26.82,4.1,9,12,12,22,23,23,25.94,17.52,235,0.67,1.3,1.64,79.21,3.12,11.12,0.18,,,,,,,,,,,
Breece Hall,,0,RB,RB1,7600,NYJ,@ ARI,14,23.75,9.7,17.6,16.3,0,0,0,0,0,0.6705,16.86,74.3,0.44,23.65,0.1677,6.79,4.98,45.47,0.21,0,0,0,0,0,0,20.86,20.86,0,6.31,40.26,20.86,20.86,17,0,100,,56,44,2.7,12.3,1.6,8,9,9,11,24,24,,,,,,,,13,59.36,0.36,5.33,3.94,34.42,0.18,,,,,,,
Aaron Jones,,0,RB,RB1,6700,MIN,@ JAC,18,24.75,10.3,13.2,15.9,0,0,0,0,0,0.5965,19.55,95.73,0.64,24.17,0.1271,4.62,3.64,26.49,0.18,0,0,0,0,0,0,20.78,20.78,0,5.33,41.38,20.78,20.78,19,0,100,,58,36,3.1,12.1,1.8,17,10,10,20,25,25,,,,,,,,12.71,63.08,0.48,3.82,2.9,22.4,0.19,,,,,,,
James Cook,,0,RB,RB1,7000,BUF,@ IND,21,25.75,8.6,14.3,17.1,0,0,0,0,0,0.5156,17.47,82.79,0.62,22.14,0.1367,4.67,3.7,33.27,0.27,0,0,0,0,0,0,20.65,20.65,0,7.75,37.85,20.65,20.65,13,0,100,,41,28,3,15.5,2.2,14,11,11,17,26,26,,,,,,,,10.61,51.83,0.27,2.66,2.05,19.39,0.15,,,,,,,
JaMarr Chase,,0,WR,WR1,8400,CIN,@ BAL,3,23.25,12.3,17.4,19.5,0,0,0,0,0,0,0,0,0,9.94,0.3007,9.94,7.08,92.14,0.7,0,0,0,0,0,0,20.49,20.49,0,2.04,45.09,20.49,20.49,1,0,100,,1,36,2.4,58.4,7,3,4,4,3,27,27,0.02,0.02,-0.13,,0.02,,1.04,0.3,0.63,,8.83,5.98,82.11,0.67,,,,,,,
Malik Nabers,,0,WR,WR1,7600,NYG,@ CAR,5,23.5,8.5,0,19.2,0,0,0,0,0,0,0,0,0,13.32,0.3896,13.32,8.59,90.17,0.48,0,0,0,0,0,0,20.49,20.49,0,7.74,37.49,20.49,20.49,26,0,100,,67,56,2.7,10.8,1.4,9,4,4,11,27,27,0.14,,,,,,0.3,0.43,,,12,7.86,79.57,0.43,,,,,,,
Jahmyr Gibbs,,0,RB,RB2,7300,DET,@ HOU,7,26.5,8.4,16.6,19.5,0,0,0,0,0,0.4536,16.24,95.83,1.06,19.49,0.1012,3.25,2.41,16.59,0.08,0,0,0,0,0,0,20.49,20.49,0,7.89,37.29,20.49,20.49,15,0,100,,53,52,2.8,12.8,1.8,11,12,12,14,27,27,,,,,,,,12.39,69.61,0.74,4.17,3.13,20.91,0.09,,,,,,,
Aaron Rodgers,,0,QB,QB1,5700,NYJ,@ ARI,16,23.75,8.6,0,16,1,40.49,281.44,2.1,0.58,0.0585,1.47,6.55,0.05,1.47,0,0,0,0,0,0,0,0,0,0,0,20.03,20.03,0,7.13,37.23,20.03,20.03,26,0,100,,118,58,3.5,5.04,0.9,17,13,13,30,28,28,34.86,22.51,252.77,0.44,2.25,2.05,100.77,2.72,12.95,0.11,0.01,0.01,-0.07,,,,,,,,
Tank Dell,,0,WR,WR1,7400,HOU,vs DET,11,22.5,9.7,17.4,10.4,0,0,0,0,0,0,0,0,0,10.36,0.2527,10.36,6.66,91.82,0.67,0,0,0,0,0,0,19.86,19.86,0,5.31,39.26,19.86,19.86,39,0,100,,93,32,2.7,8.3,1.1,11,5,5,13,29,29,,,,,0.06,,,0.94,4.5,,6.78,4.28,59.11,0.5,,,,,,,
Derrick Henry,,0,RB,RB1,8200,BAL,vs CIN,24,29.25,11.7,15.2,24.1,0,0,0,0,0,0.5891,21.23,107.1,1.02,22.79,0.0491,1.56,1.22,11.34,0.08,0,0,0,0,0,0,19.66,19.66,0,2.11,43.06,19.66,19.66,14,0,100,,49,32,2.4,14.1,1.7,2,13,13,5,30,30,0.08,0.06,0.3,,,0.04,13.69,17.48,84.61,0.78,1.7,1.32,12.26,0.04,,,,,,,
Russell Wilson,,0,QB,QB1,5900,PIT,@ WAS,11,21.75,8,18.4,19.8,1,29,225.95,1.39,0.52,0.1955,7.89,38.99,0.26,7.89,0,0,0,0,0,0,0,0,0,0,0,19.54,19.54,0,7.54,35.54,19.54,19.54,9,0,100,,21,60,3.3,19.1,3.2,15,14,14,28,31,31,31.38,20.39,240.82,0.57,2.91,1.85,101.52,4.78,24.49,0.13,0.03,0.03,0.03,0.01,,,,,,,
C.J. Stroud,,0,QB,QB1,6800,HOU,vs DET,8,22.5,8.7,20.2,15.9,1,40.99,289.29,1.53,0.46,0.1373,3.75,17.03,0.07,3.75,0,0,0,0,0,0,0,0,0,0,0,19.35,19.35,0,6.3,36.75,19.35,19.35,18,0,100,,62,53,2.8,11.78,1.7,6,15,15,19,32,32,33.13,21.13,260.29,0.38,2.83,1.42,96,2.92,12.92,0.13,0.08,0.04,,,,,,,,,
Drake Maye,,0,QB,QB1,5800,NE,@ CHI,3,15.75,7.5,0,15.1,1,34.39,224.81,1.45,1.01,0.2072,5.29,40.98,0.24,5.29,0,0,0,0,0,0,0,0,0,0,0,19.32,19.32,0,8.07,34.32,19.32,19.32,16,0,100,,54,50,3.3,12.76,2.2,16,16,16,29,33,33,25,16.4,154,0.8,2.6,1.2,76.54,4.2,41.8,0.2,,,,,,,,,,,
James Conner,,0,RB,RB1,6500,ARI,vs NYJ,25,22.25,10.1,16.4,15.7,0,0,0,0,0,0.6164,20.93,92.55,0.84,23.96,0.0889,3.03,2.46,19.51,0.08,0,0,0,0,0,0,19.19,19.19,0,4.04,39.39,19.19,19.19,4,0,100,,12,32,3,22.3,3.4,19,14,14,22,34,34,,,,,,,,12.98,56.52,0.56,3.14,2.58,20.1,0.1,,,,,,,
Saquon Barkley,,0,RB,RB1,8300,PHI,@ DAL,29,25.5,10,16.3,24.1,0,0,0,0,0,0.5839,20.2,95.11,0.67,23.76,0.1129,3.56,2.64,18.79,0.13,0,0,0,0,0,0,18.83,18.83,0,3.83,38.83,18.83,18.83,26,0,100,,87,47,2.3,8.8,1.1,1,15,15,4,35,35,,,,,,,,16.56,74.83,0.5,5.13,3.76,27.39,0.17,,,,,,,
J.K. Dobbins,,0,RB,RB1,7200,LAC,vs TEN,15,24,7.4,11.7,17,0,0,0,0,0,0.5595,15.75,81.62,0.78,20.16,0.1093,4.41,3.58,19.32,0.04,0,0,0,0,0,0,18.59,18.59,0,7.49,33.39,18.59,18.59,29,0,100,,91,42,2.6,8.5,1.2,12,16,16,15,36,36,,,,,,,,11.25,61.47,0.56,1.88,1.5,8.88,0.03,,,,,,,
Travis Kelce,,0,TE,TE1,6000,KC,vs DEN,10,24.75,9,15.1,12.9,0,0,0,0,0,0,0,0,0,9.73,0.2439,9.73,7.11,82.68,0.52,0,0,0,0,0,0,18.5,18.5,0,5,36.5,18.5,18.5,1,0,100,,15,47,3.1,20.4,3.4,1,1,1,27,37,37,0.02,0.01,0.03,0.01,,,0.78,0.06,0.11,0.01,8.27,5.95,72.62,0.48,,,,,,,
Jared Goff,,0,QB,QB1,6200,DET,@ HOU,25,26.5,8.3,18.9,17.6,1,32.15,257.58,1.88,0.61,0.0555,1.99,3.47,0.08,1.99,0,0,0,0,0,0,0,0,0,0,0,18.04,18.04,0,5.59,34.64,18.04,18.04,15,0,100,,53,54,2.9,12.8,2.1,12,17,17,25,38,38,34.63,22.54,258.19,0.68,1.89,1.59,96.44,2.05,4.06,0.1,0.02,0.02,0.1,0.01,,,,,,,
Tyreek Hill,,0,WR,WR1,7500,MIA,@ LAR,18,23.75,11.6,25.1,11.4,0,0,0,0,0,0,0,0,0,9.2,0.2758,9.2,6.15,84.37,0.54,0,0,0,0,0,0,17.83,17.83,0,0.43,41.03,17.83,17.83,25,0,100,,63,39,2.4,11.7,1.6,10,6,6,12,39,39,0.01,,,0.01,,,,0.85,6.17,0.05,8.37,5.69,79.65,0.58,,,,,,,
Ladd McConkey,,0,WR,WR1,5900,LAC,vs TEN,31,24,8.1,0,13.2,0,0,0,0,0,0,0,0,0,9.35,0.2319,9.35,6.35,76.99,0.63,0,0,0,0,0,0,17.83,17.83,0,5.68,34.03,17.83,17.83,44,0,100,,102,39,3,7.2,1.2,26,6,6,28,39,39,,,,,,,,,,,6.5,4.38,55,0.5,,,,,,,
Chuba Hubbard,,0,RB,RB1,6700,CAR,vs NYG,16,17,7,10.9,16,0,0,0,0,0,0.7118,20.2,86.86,0.6,24.28,0.1253,4.08,3.45,17.79,0.05,0,0,0,0,0,0,17.82,17.82,0,7.32,31.82,17.82,17.82,2,0,100,,6,31,2.7,28.9,4.3,17,17,17,20,40,40,,,,,,,,11.39,47.23,0.3,2.27,1.86,12.25,0.04,,,,,,,
Cooper Kupp,,0,WR,WR1,7700,LAR,vs MIA,20,25.75,10.4,14.7,20.8,0,0,0,0,0,0,0,0,0,9.24,0.2552,9.24,6.58,76.56,0.56,0,0,0,0,0,0,17.6,17.6,0,2,38.4,17.6,17.6,18,0,100,,43,44,2.3,15,1.9,8,7,7,10,41,41,0.04,,,,,,1.25,0.27,1.43,0.01,8.8,6.28,76.67,0.56,,,,,,,
Amon-Ra St. Brown,,0,WR,WR1,8100,DET,@ HOU,13,26.5,9.9,22.4,17.6,0,0,0,0,0,0,0,0,0,8.94,0.278,8.94,6.8,72.56,0.58,0,0,0,0,0,0,17.54,17.54,0,2.69,37.34,17.54,17.54,12,0,100,,27,45,2.2,18,2.2,5,8,8,6,42,42,0.02,0.02,0.13,,0.02,0.02,8,0.36,3.21,0.02,8.73,6.48,72.36,0.48,,,,,,,
Tua Tagovailoa,,0,QB,QB1,6300,MIA,@ LAR,26,23.75,8.1,17.9,15.6,1,33.37,259.39,1.66,0.76,0.0682,2.3,7.79,0.07,2.3,0,0,0,0,0,0,0,0,0,0,0,17.45,17.45,0,5.3,33.65,17.45,17.45,20,0,100,,74,52,2.8,10.18,1.6,11,18,18,24,43,43,30.98,20.86,238.37,0.7,1.68,1.51,96.06,2.54,7.46,0.11,,,,,,,,,,,
D'Andre Swift,,0,RB,RB1,6500,CHI,vs NE,31,21.75,7.7,12.9,15.9,0,0,0,0,0,0.5981,20.97,92.48,0.75,23.4,0.0768,2.43,1.93,13.84,0.05,0,0,0,0,0,0,17.36,17.36,0,5.81,32.76,17.36,17.36,31,0,100,,100,48,2.7,7.5,1.2,19,18,18,22,44,44,0.02,,,,,,0.62,11.22,50.53,0.42,4.42,3.44,25.56,0.13,,,,,,,
Matthew Stafford,,0,QB,QB1,5600,LAR,vs MIA,4,25.75,7.1,17.9,13.6,1,36.22,276.37,1.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3,17.3,0,6.65,31.5,17.3,17.3,19,0,100,,68,61,3.1,10.72,1.9,18,19,19,31,45,45,35.2,23.09,264.54,0.73,2.41,1.7,96.69,1.88,6.07,0.03,0.01,0.01,-0.04,,,,,,,,
Terry McLaurin,,0,WR,WR1,7300,WAS,vs PIT,27,23.75,7.6,12.1,16.2,0,0,0,0,0,0,0,0,0,8.68,0.2573,8.68,5.57,81.66,0.49,0,0,0,0,0,0,16.68,16.68,0,5.28,31.88,16.68,16.68,6,0,100,,20,46,2.3,19.3,2.6,12,9,9,14,46,46,,,,,,,,0.13,0.82,,7.49,4.72,66.08,0.35,,,,,,,
Kirk Cousins,,0,QB,QB1,6700,ATL,@ NO,10,25.5,8,21.3,17.2,1,31.87,242.82,1.5,0.63,0.0745,2.67,6.65,0.15,2.67,0,0,0,0,0,0,0,0,0,0,0,16.65,16.65,0,4.65,32.65,16.65,16.65,13,0,100,,47,59,2.5,14.24,2.1,7,20,20,20,47,47,34.85,23.56,266.39,0.67,2.15,1.84,101.05,2.09,6.07,0.13,0.01,0.01,-0.01,,,,,,,,
Khalil Shakir,,0,WR,WR1,6000,BUF,@ IND,14,25.75,6.9,7.4,13.1,0,0,0,0,0,0,0,0,0,7.53,0.2204,7.53,6.58,81.28,0.32,0,0,0,0,0,0,16.63,16.63,0,6.28,30.43,16.63,16.63,24,0,100,,61,8,2.8,11.8,2,25,10,10,27,48,48,,,,,,,,0.09,0.41,,3.24,2.68,36.56,0.15,,,,,,,
DeAndre Hopkins,,0,WR,WR1,5300,KC,vs DEN,10,24.75,9.3,13.7,9,0,0,0,0,0,0,0,0,0,9.25,0.2319,9.25,5.89,73.84,0.56,0,0,0,0,0,0,16.63,16.63,0,2.68,35.23,16.63,16.63,32,0,100,,78,47,3.1,9.6,1.8,32,10,10,34,48,48,0.03,0.01,0.04,0.01,,0.01,0.23,0.04,0.15,,9.58,5.99,77.2,0.52,,,,,,,
Caleb Williams,,0,QB,QB1,5600,CHI,vs NE,19,21.75,8.4,0,15.9,1,31.6,220.12,1.11,0.55,0.1977,6.93,38.6,0,6.93,0,0,0,0,0,0,0,0,0,0,0,16.55,16.55,0,3.95,33.35,16.55,16.55,25,0,100,,108,47,3,6.3,1.1,18,21,21,31,49,49,33,20.25,208.13,0.63,3.5,1.13,85.13,4.88,26.88,,,,,,,,,,,,
Najee Harris,,0,RB,RB1,6200,PIT,@ WAS,28,21.75,7.2,11.9,14.1,0,0,0,0,0,0.5513,22.26,91.55,0.54,25.07,0.0969,2.81,2.16,14.68,0.08,0,0,0,0,0,0,16.5,16.5,0,5.7,30.9,16.5,16.5,20,0,100,,64,50,2.7,11.3,1.8,22,19,19,25,50,50,0.02,0.02,0.07,,,,1.41,16.44,65.51,0.41,3.54,2.73,17.25,0.1,,,,,,,
Garrett Wilson,,0,WR,WR1,7200,NYJ,@ ARI,1,23.75,8.1,13,18.5,0,0,0,0,0,0,0,0,0,10.61,0.262,10.61,6.36,76.01,0.42,0,0,0,0,0,0,16.48,16.48,0,4.33,32.68,16.48,16.48,34,0,100,,83,43,2.3,9.1,1.3,13,11,11,15,51,51,0.05,,,,,,0.05,0.21,0.21,,9.51,5.53,65.3,0.28,,,,,,,
Cade Otton,,0,TE,TE1,5500,TB,vs SF,29,21.75,6.7,7.3,12.4,0,0,0,0,0,0,0,0,0,9.34,0.2233,9.34,6.44,65.43,0.58,0,0,0,0,0,0,16.46,16.46,0,6.41,29.86,16.46,16.46,16,0,100,,91,19,3,8.5,1.5,4,2,2,32,52,52,,,,,,,,0.03,-0.1,,4.97,3.41,32.49,0.26,,,,,,,
Deebo Samuel,,0,WR,WR1,6900,SF,@ TB,30,28.25,9.2,16.8,12.7,0,0,0,0,0,0.0712,2.53,14.3,0.24,9.16,0.1961,6.63,4.27,70.33,0.32,0,0,0,0,0,0,16.09,16.09,0,2.29,34.49,16.09,16.09,23,0,100,,55,41,2.3,12.6,1.8,16,12,12,18,53,53,0.04,0.01,0.32,,0.01,0.01,2.63,2.49,15.46,0.26,6.39,4.17,61.25,0.26,,,,,,,
A.J. Brown,,0,WR,WR1,8200,PHI,@ DAL,9,25.5,10.5,18.4,18.3,0,0,0,0,0,0,0,0,0,7.93,0.2515,7.93,5.09,77.36,0.52,0,0,0,0,0,0,15.95,15.95,0,0.2,36.95,15.95,15.95,8,0,100,,23,37,1.9,18.9,2.3,4,13,13,5,54,54,0.02,,,,,,0.93,0.07,0.93,0.01,7.56,4.79,75.92,0.53,,,,,,,
Daniel Jones,,0,QB,QB1,5300,NYG,@ CAR,31,23.5,8.9,11.2,14.5,1,34.18,215.82,0.96,0.66,0.223,5.77,29.7,0.18,5.77,0,0,0,0,0,0,0,0,0,0,0,15.86,15.86,0,2.51,33.66,15.86,15.86,14,0,100,,48,46,3,14.2,2.7,21,22,22,34,55,55,31.94,20.51,208.58,0.65,2.99,1.01,85.59,5.68,31.2,0.2,0.01,0.01,0.23,,,,,,,,
Javonte Williams,,0,RB,RB1,6000,DEN,@ KC,2,17.75,6.3,11.3,11,0,0,0,0,0,0.4969,15.38,59.52,0.32,21.08,0.1599,5.7,4.53,27.73,0.09,0,0,0,0,0,0,15.72,15.72,0,6.27,28.32,15.72,15.72,43,0,100,,137,46,2.6,2.7,0.5,24,20,20,27,56,56,,,,,,,,12.37,49.3,0.2,3.7,2.93,18.17,0.11,,,,,,,
