,,,,,,,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,,,,,,,,Position Rankings,,,,Overall Rankings,,,,,Position Rankings,,,Overall Rankings,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
Caleb Williams,,0,QB,QB1,5700,CHI,@ MIN,16,18.5,8.5,0,17,1,37.21,259.26,1.5,0.31,0.2402,6.39,41.36,0,6.39,0,0,0,0,0,0,0,0,0,0,0,20.2,20.2,0,7.45,37.2,20.2,20.2,3,0,100,,15,50,3.5,0,,16,15,15,30,29,29,33.38,20.77,211.23,0.38,4.23,1.23,89,4.92,30.69,,,,,,,,,,,,
Chuba Hubbard,,0,RB,RB1,6500,CAR,vs DAL,23,22.75,7.4,10.9,16.3,0,0,0,0,0,0.856,24.37,103.84,0.75,28.67,0.1169,4.3,3.32,16.4,0.05,0,0,0,0,0,0,20.14,20.14,0,9.04,34.94,20.14,20.14,4,0,100,,15,30,3.1,0,,16,8,8,22,30,30,,,,,,,,12,49.85,0.33,2.38,1.88,11.98,0.03,,,,,,,
Jared Goff,,0,QB,QB1,6500,DET,vs BUF,14,28,8.4,18.9,18.6,1,35.75,287.18,2.1,0.76,0.0673,2.23,4.37,0.08,2.23,0,0,0,0,0,0,0,0,0,0,0,20.04,20.04,0,7.44,36.84,20.04,20.04,3,0,100,,15,53,3.1,0,,8,16,16,22,31,31,34.61,22.58,259.21,0.7,1.85,1.61,96.65,2.06,4.14,0.09,0.02,0.02,0.09,0.01,,,,,,,
Jameis Winston,,0,QB,QB1,5500,CLE,vs KC,12,18.75,9.5,2.5,15.2,1,42.83,315.41,1.8,1.46,0.0994,2.35,9.58,0.1,2.35,0,0,0,0,0,0,0,0,0,0,0,19.91,19.91,0,5.66,38.91,19.91,19.91,3,0,100,,15,46,3.6,0,,18,17,17,32,32,32,31.23,19.09,238.43,1.07,2.13,1.52,79.77,3.17,12.89,0.12,,,,,,,,,,,
Kyren Williams,,0,RB,RB1,7300,LAR,@ SF,30,23,10.2,22.9,17.8,0,0,0,0,0,0.7856,22.58,98.18,1.03,25.12,0.0703,2.54,1.95,11.23,0.13,0,0,0,0,0,0,19.85,19.85,0,4.55,40.25,19.85,19.85,1,0,100,,2,37,2.7,16.2,2.2,9,9,9,14,33,33,,,,,,,,15.58,69.58,0.73,2.85,2.09,13.24,0.15,,,,,,,
Drake Maye,,0,QB,QB1,5600,NE,@ ARI,8,20.25,6.1,0,16,1,35.83,239.97,1.45,1.12,0.1891,5.26,47.24,0.12,5.26,0,0,0,0,0,0,0,0,0,0,0,19.72,19.72,0,10.57,31.92,19.72,19.72,3,0,100,,15,62,3.5,0,,17,18,18,31,34,34,28.56,19.22,188.33,0.89,2.78,1.22,81.73,4.22,38.33,0.11,,,,,,,,,,,
Chase Brown,,0,RB,RB1,7200,CIN,@ TEN,18,26,8.8,4.5,15.8,0,0,0,0,0,0.7018,19.03,81.73,0.58,23.67,0.1071,4.64,3.76,27.65,0.24,0,0,0,0,0,0,19.62,19.62,0,6.42,37.22,19.62,19.62,4,0,100,,15,15,2.7,0,,10,10,10,15,35,35,,,,,,,,8.4,36.56,0.24,2.8,2.32,18.32,0.16,,,,,,,
Jahmyr Gibbs,,0,RB,RB2,7500,DET,vs BUF,17,28,7.9,16.6,18.8,0,0,0,0,0,0.4749,15.74,86.08,0.86,19.26,0.0986,3.52,2.74,22.54,0.11,0,0,0,0,0,0,19.42,19.42,0,7.57,35.22,19.42,19.42,4,0,100,,15,55,2.6,0,,7,11,11,12,36,36,,,,,,,,12.86,70.04,0.71,4.04,3.07,22.43,0.11,,,,,,,
Najee Harris,,0,RB,RB1,5900,PIT,@ PHI,12,18.75,7.1,11.9,13.9,0,0,0,0,0,0.61,23.74,93.14,0.63,27.74,0.1346,4,3.2,22.83,0.09,0,0,0,0,0,0,19.12,19.12,0,8.47,33.32,19.12,19.12,4,0,100,,15,51,3.2,0,,22,12,12,28,37,37,0.02,0.02,0.06,,,,1.3,16.52,64.84,0.42,3.47,2.7,17.42,0.09,,,,,,,
Jordan Love,,0,QB,QB1,6200,GB,@ SEA,22,24.75,9,19.9,18.4,1,28.63,242.9,1.9,0.74,0.0979,3.38,12.57,0.19,3.38,0,0,0,0,0,0,0,0,0,0,0,18.97,18.97,0,5.47,36.97,18.97,18.97,3,0,100,,15,41,3.1,0,,11,19,19,25,38,38,26.05,16.53,197.08,0.66,1.16,1.47,90.78,2.24,9.05,0.13,,,,,,,,,,,
A.J. Brown,,0,WR,WR1,8000,PHI,vs PIT,27,24.25,10.3,18.4,16.8,0,0,0,0,0,0,0,0,0,9.38,0.3276,9.38,6.24,94.87,0.53,0,0,0,0,0,0,18.91,18.91,0,3.46,39.51,18.91,18.91,6,0,100,,15,38,2.4,0,,4,8,8,7,39,39,0.02,,,,,,0.88,0.07,0.88,0.01,7.5,4.8,76.06,0.51,,,,,,,
Breece Hall,!,0,RB,RB1,6400,NYJ,@ JAC,20,22.25,9.8,17.6,16.4,0,0,0,0,0,0.6768,16.93,77.68,0.44,22.02,0.1333,5.09,3.85,33.33,0.21,0,0,0,0,0,0,18.85,18.85,0,4.15,38.45,18.85,18.85,4,0,100,,15,43,2.9,0,,17,13,13,23,40,40,,,,,,,,12.97,59.69,0.36,5.22,3.92,33.61,0.19,,,,,,,
Amon-Ra St. Brown,,0,WR,WR1,7600,DET,vs BUF,4,28,10.1,22.4,18.1,0,0,0,0,0,0,0,0,0,9.42,0.2635,9.42,7.35,79.99,0.58,0,0,0,0,0,0,18.83,18.83,0,3.68,39.03,18.83,18.83,6,0,100,,15,44,2.5,0,,5,9,9,11,41,41,0.02,0.02,0.11,,0.02,0.02,7.34,0.36,3.05,0.02,8.66,6.49,72.97,0.49,,,,,,,
Aaron Rodgers,,0,QB,QB1,5400,NYJ,@ JAC,27,22.25,8.6,0,15.4,1,38.15,268.65,1.94,0.5,0.0492,1.23,5.63,0.04,1.23,0,0,0,0,0,0,0,0,0,0,0,18.81,18.81,0,5.91,36.01,18.81,18.81,3,0,100,,15,58,3.5,0,,19,20,20,33,42,42,34.88,22.52,251.69,0.43,2.26,2.03,100.49,2.66,12.67,0.11,0.01,0.01,-0.07,,,,,,,,
David Njoku,!,0,TE,TE1,5200,CLE,vs KC,16,18.75,7,13.1,13.4,0,0,0,0,0,0,0,0,0,10.81,0.2523,10.81,6.96,73.33,0.74,0,0,0,0,0,0,18.73,18.73,0,8.23,32.73,18.73,18.73,4,0,100,,15,22,3.6,0,,6,1,1,35,43,43,,,,,,,,0.04,-0.06,,5.3,3.43,37.03,0.3,,,,,,,
Tua Tagovailoa,,0,QB,QB1,6100,MIA,@ HOU,30,21.5,8.3,17.9,20.2,1,33.98,263.06,1.85,0.61,0.0889,2.68,7.29,0.08,2.68,0,0,0,0,0,0,0,0,0,0,0,18.52,18.52,0,6.07,35.12,18.52,18.52,3,0,100,,15,52,3,0,,12,21,21,26,44,44,31.66,21.55,243.47,0.66,1.74,1.58,97.46,2.45,6.95,0.1,,,,,,,,,,,
Brian Thomas Jr,,0,WR,WR1,5800,JAC,vs NYJ,25,18.75,6.7,0,14.2,0,0,0,0,0,0,0,0,0,10.01,0.3202,10.01,6.3,89.07,0.53,0,0,0,0,0,0,18.39,18.39,0,8.34,31.79,18.39,18.39,6,0,100,,15,53,3.2,0,,22,10,10,29,45,45,,,,,,,,0.38,2.31,,6.54,4.15,65.46,0.46,,,,,,,
Matthew Stafford,,0,QB,QB1,6000,LAR,@ SF,3,23,7,17.9,15.9,1,36.14,281.65,1.79,0.7,0.0532,1.53,4.3,0.02,1.53,0,0,0,0,0,0,0,0,0,0,0,18.28,18.28,0,7.78,32.28,18.28,18.28,1,0,100,,6,62,3,8.2,1.4,13,22,22,27,46,46,35.11,23.06,264.62,0.71,2.41,1.71,97.34,1.89,5.99,0.03,0.01,0.01,-0.04,,,,,,,,
D'Andre Swift,!,0,RB,RB1,5600,CHI,@ MIN,4,18.5,7.6,12.9,13.4,0,0,0,0,0,0.7385,19.66,83.85,0.64,23.62,0.1065,3.96,3.13,23.52,0.08,0,0,0,0,0,0,18.19,18.19,0,6.79,33.39,18.19,18.19,4,0,100,,15,47,3.2,0,,25,14,14,31,47,47,0.01,,,,,,0.57,11.39,50.3,0.41,4.28,3.32,25.03,0.12,,,,,,,
Cooper Kupp,,0,WR,WR1,7000,LAR,@ SF,29,23,10.4,14.7,19.4,0,0,0,0,0,0,0,0,0,9.4,0.26,9.4,6.67,77.86,0.62,0,0,0,0,0,0,18.18,18.18,0,2.58,38.98,18.18,18.18,6,0,100,,15,44,2.6,0,,10,11,11,17,48,48,0.04,,,,,,1.19,0.25,1.36,0.01,8.78,6.25,76.39,0.57,,,,,,,
Baker Mayfield,,0,QB,QB1,6400,TB,@ LAC,7,21.25,7.1,17.4,22,1,31.78,232.48,1.7,0.88,0.1451,4.54,17.65,0.17,4.54,0,0,0,0,0,0,0,0,0,0,0,18,18,0,7.35,32.2,18,18,3,0,100,,15,58,2.8,0,,9,23,23,23,49,49,31.97,20.16,231.97,0.85,2.37,1.55,90.83,2.9,10.43,0.1,0.02,0.01,0.17,,,,,,,,
Deebo Samuel,,0,WR,WR1,5700,SF,vs LAR,18,25.5,9.2,16.8,10.2,0,0,0,0,0,0.1798,6.05,32.24,0.48,12.66,0.211,6.61,4.28,62.09,0.22,0,0,0,0,0,0,17.91,17.91,0,4.11,36.31,17.91,17.91,3,0,100,,9,39,3.1,4.9,0.9,23,12,12,30,50,50,0.04,0.01,0.3,,0.01,0.01,2.47,2.44,14.83,0.25,6.32,4.12,59.33,0.25,,,,,,,
Russell Wilson,,0,QB,QB1,5700,PIT,@ PHI,1,18.75,8,18.4,18.3,1,29.73,226.53,1.56,0.53,0.1274,4.96,23.14,0.13,4.96,0,0,0,0,0,0,0,0,0,0,0,17.87,17.87,0,5.87,33.87,17.87,17.87,3,0,100,,15,60,3.1,0,,16,24,24,30,51,51,31.38,20.39,241.06,0.57,2.9,1.85,101.5,4.75,23.92,0.12,0.03,0.03,0.03,0.01,,,,,,,
Tyreek Hill,,0,WR,WR1,7400,MIA,@ HOU,13,21.5,11.5,25.1,14.1,0,0,0,0,0,0,0,0,0,8.99,0.2645,8.99,6.15,81.74,0.59,0,0,0,0,0,0,17.86,17.86,0,0.61,40.86,17.86,17.86,6,0,100,,15,39,2.4,0,,6,13,13,13,52,52,0.01,,,0.01,,,,0.85,6.07,0.05,8.37,5.7,79.12,0.58,,,,,,,
Bryce Young,,0,QB,QB1,5300,CAR,vs DAL,26,22.75,6,11,11,1,36.82,242.82,1.36,0.76,0.144,4.1,23.21,0.18,4.1,0,0,0,0,0,0,0,0,0,0,0,17.79,17.79,0,8.79,29.79,17.79,17.79,3,0,100,,15,45,3.4,0,,20,25,25,34,53,53,30.54,18.19,171.12,0.65,2.96,0.69,74.23,2.58,15,0.08,,,,,,,,,,,
Jauan Jennings,,0,WR,WR2,6200,SF,vs LAR,18,25.5,8.8,4.3,15.8,0,0,0,0,0,0,0,0,0,8.98,0.2866,8.98,6.09,80.71,0.6,0,0,0,0,0,0,17.76,17.76,0,4.56,35.36,17.76,17.76,2,0,100,,7,0,2.9,5.1,0.8,18,14,14,25,54,54,,,,,,,,,,,3.96,2.6,33.4,0.25,,,,,,,
Tony Pollard,!,0,RB,RB1,6700,TEN,vs CIN,22,20.5,8.3,13.3,14.5,0,0,0,0,0,0.6159,18.19,84.04,0.46,23.05,0.1447,4.86,3.67,24.61,0.06,0,0,0,0,0,0,17.66,17.66,0,5.21,34.26,17.66,17.66,4,0,100,,15,28,2.6,0,,14,15,15,20,55,55,,,,,,,,10.71,50.09,0.3,3.09,2.36,17.04,0.05,,,,,,,
Jerry Jeudy,,0,WR,WR1,6200,CLE,vs KC,16,18.75,8.1,8.9,14.4,0,0,0,0,0,0,0,0,0,9.47,0.221,9.47,5.74,92.58,0.44,0,0,0,0,0,0,17.64,17.64,0,5.49,33.84,17.64,17.64,6,0,100,,15,28,2.8,0,,18,15,15,25,56,56,,,,,,,,0.09,0.61,,6.46,3.86,57.1,0.21,,,,,,,
CeeDee Lamb,,0,WR,WR1,7300,DAL,@ CAR,5,19.75,10.3,25.2,17.2,0,0,0,0,0,0,0,0,0,10.5,0.2808,10.5,7.18,78.83,0.42,0,0,0,0,0,0,17.58,17.58,0,2.13,38.18,17.58,17.58,6,0,100,,15,43,2.4,0,,7,16,16,14,57,57,,,,,0.01,,,0.72,4.91,0.04,8.84,6.08,77.44,0.47,,,,,,,
Davante Adams,,0,WR,WR2,6900,NYJ,@ JAC,15,22.25,11.1,16.1,15.4,0,0,0,0,0,0,0,0,0,9.38,0.246,9.38,5.97,73.78,0.7,0,0,0,0,0,0,17.55,17.55,0,0.9,39.75,17.55,17.55,6,0,100,,15,41,2.5,0,,11,17,17,18,58,58,0.01,0.01,0.23,,0.01,,1.5,0.02,-0.01,,9.64,6.19,76.96,0.68,,,,,,,
Quentin Johnston,,0,WR,WR2,5000,LAC,vs TB,30,24.25,6.2,5.5,10.5,0,0,0,0,0,0,0,0,0,10.23,0.2883,10.23,5.46,66.15,0.89,0,0,0,0,0,0,17.42,17.42,0,8.12,29.82,17.42,17.42,6,0,100,,15,17,3.5,0,,30,18,18,37,59,59,,,,,,,,0.21,0.54,,4.29,2.39,30.18,0.32,,,,,,,
James Cook,,0,RB,RB1,6800,BUF,@ DET,10,26,8.5,14.3,16.6,0,0,0,0,0,0.5077,16.5,78.53,0.75,19.63,0.0876,3.13,2.44,17.85,0.12,0,0,0,0,0,0,17.3,17.3,0,4.55,34.3,17.3,17.3,4,0,100,,15,30,2.5,0,,13,16,16,19,60,60,,,,,,,,10.73,52.27,0.33,2.69,2.07,18.42,0.13,,,,,,,
Will Levis,,0,QB,QB1,5000,TEN,vs CIN,28,20.5,6.7,12.6,12.6,1,33.59,242.99,1.54,0.82,0.1792,5.29,19.59,0.04,5.29,0,0,0,0,0,0,0,0,0,0,0,17.26,17.26,0,7.21,30.66,17.26,17.26,3,0,100,,15,47,3.5,0,,23,26,26,37,61,61,27.74,16.95,191.32,0.68,3.53,1.05,80.89,3.37,12.21,0.05,,,,,,,,,,,
Kirk Cousins,,0,QB,QB1,5500,ATL,@ LV,11,25,8.1,21.3,15.1,1,36.69,279.51,1.46,0.84,0.0564,1.81,4.54,0.1,1.81,0,0,0,0,0,0,0,0,0,0,0,17.23,17.23,0,5.08,33.43,17.23,17.23,3,0,100,,15,58,3.1,0,,18,27,27,32,62,62,34.86,23.52,266.41,0.71,2.15,1.79,100.05,2.05,5.93,0.13,0.01,0.01,-0.01,,,,,,,,
