,,,,,,,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,,,,,,,,Position Rankings,,,,Overall Rankings,,,,,Position Rankings,,,Overall Rankings,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
Justin Herbert,,0,QB,QB1,5400,LAC,vs BAL,29,24,8.5,19.3,16.4,1,36.2,288.17,1.88,0.46,0.1342,4.09,17.82,0.17,4.09,0,0,0,0,0,0,0,0,0,0,0,21.39,21.39,0,8.64,38.39,21.39,21.39,13,0,100,,36,60,4,17.62,3.3,18,8,8,29,10,10,37.49,24.85,269.56,0.6,2.13,1.76,97.17,3.68,15.19,0.17,0.04,0.04,,,,,,,,,
Jahmyr Gibbs,,0,RB,RB2,7300,DET,@ IND,22,29,8.1,16.6,18.8,0,0,0,0,0,0.4685,17.26,99.62,1.05,20.43,0.0948,3.17,2.41,22.1,0.08,0,0,0,0,0,0,21.36,21.36,0,9.21,37.56,21.36,21.36,4,0,100,,14,54,2.9,24.9,3.4,7,3,3,10,11,11,,,,,,,,12.6,69.64,0.72,4,3,22.88,0.08,,,,,,,
Nico Collins,,0,WR,WR1,7600,HOU,vs TEN,31,24,10.1,18.4,20.8,0,0,0,0,0,0,0,0,0,10.78,0.262,10.78,7.14,109.79,0.53,0,0,0,0,0,0,21.3,21.3,0,6.15,41.5,21.3,21.3,10,0,100,,25,22,2.8,20.2,2.7,4,1,1,7,12,12,,,,,,,,0.02,0.16,,6.4,4.13,63.22,0.31,,,,,,,
CeeDee Lamb,,0,WR,WR1,7300,DAL,@ WAS,32,17.25,10.4,25.2,17.9,0,0,0,0,0,0.0575,1.27,8.47,0.06,12.94,0.3465,11.67,7.96,92.25,0.47,0,0,0,0,0,0,21.21,21.21,0,5.61,42.01,21.21,21.21,14,0,100,,39,43,2.9,16.8,2.3,7,2,2,10,13,13,,,,,0.01,,,0.72,5.08,0.04,8.86,6.08,77.88,0.47,,,,,,,
Kyren Williams,,0,RB,RB1,7400,LAR,vs PHI,10,23,10.5,22.9,17.5,0,0,0,0,0,0.8009,23.88,102.94,1.02,26.9,0.0822,3.02,2.26,12.92,0.17,0,0,0,0,0,0,20.99,20.99,0,5.24,41.99,20.99,20.99,15,0,100,,66,34,2.8,12.2,1.6,6,4,4,9,14,14,,,,,,,,15.13,67.77,0.67,3.03,2.2,13.93,0.17,,,,,,,
Justin Jefferson,,0,WR,WR1,8100,MIN,@ CHI,6,21,10.6,21.8,19,0,0,0,0,0,0,0,0,0,10.66,0.3084,10.66,7.32,102.93,0.48,0,0,0,0,0,0,20.49,20.49,0,4.59,41.69,20.49,20.49,52,0,100,,113,49,2.5,4.7,0.6,2,3,3,4,15,15,0.11,0.07,1.3,,,,10.3,0.19,0.44,0.01,9.46,6.44,97.3,0.5,,,,,,,
Saquon Barkley,,0,RB,RB1,8200,PHI,@ LAR,8,26,10.2,16.3,23.9,0,0,0,0,0,0.5863,21.14,101.35,0.69,25.16,0.1279,4.02,2.96,23.01,0.14,0,0,0,0,0,0,20.38,20.38,0,5.08,40.78,20.38,20.38,1,0,100,,1,46,2.5,49.2,6,2,5,5,3,16,16,,,,,,,,16.64,75.57,0.51,5.06,3.7,27.5,0.17,,,,,,,
C.J. Stroud,,0,QB,QB1,6500,HOU,vs TEN,10,24,8.5,20.2,15.1,1,41.13,312.84,1.52,0.68,0.1229,3.57,17.54,0.07,3.57,0,0,0,0,0,0,0,0,0,0,0,20.09,20.09,0,7.34,37.09,20.09,20.09,12,0,100,,35,53,3.1,17.68,2.7,7,9,9,18,17,17,33.15,21.12,259.08,0.46,2.81,1.35,94.07,2.85,13.12,0.12,0.08,0.04,,,,,,,,,
Jared Goff,,0,QB,QB1,6600,DET,@ IND,28,29,8.5,18.9,19.1,1,33.48,279.24,2.15,0.75,0.0573,2.11,4.11,0.08,2.11,0,0,0,0,0,0,0,0,0,0,0,19.91,19.91,0,7.16,36.91,19.91,19.91,24,0,100,,75,53,3,10.76,1.6,6,10,10,17,18,18,34.55,22.49,259.25,0.71,1.86,1.61,96.55,2.05,4.17,0.09,0.02,0.02,0.09,0.01,,,,,,,
Christian McCaffrey,,0,RB,RB1,8500,SF,@ GB,15,19.25,10.7,25.9,15.7,0,0,0,0,0,0.5852,16.69,78.64,0.61,21.73,0.174,5.04,4.07,30.38,0.2,0,0,0,0,0,0,19.83,19.83,0,3.78,41.23,19.83,19.83,23,0,100,,89,54,2.3,8.8,1,1,6,6,1,19,19,0.04,0.02,0.89,,,0.02,8.4,14.2,67.22,0.55,6.91,5.59,48.04,0.32,,,,,,,
Geno Smith,,0,QB,QB1,5700,SEA,vs ARI,9,22.75,8.5,16.7,19,1,37.83,286.19,1.62,0.87,0.1647,3.92,19.9,0.13,3.92,0,0,0,0,0,0,0,0,0,0,0,19.83,19.83,0,7.08,36.83,19.83,19.83,20,0,100,,58,46,3.5,13.36,2.3,15,11,11,26,19,19,29.3,19.75,214.82,0.61,2.38,1.25,89.18,3.07,15,0.09,0.02,0.02,-0.04,,,,,,,,
Josh Jacobs,,0,RB,RB1,6800,GB,vs SF,27,25.25,8.9,14.5,16,0,0,0,0,0,0.676,21.25,94.16,0.69,25.73,0.1132,4.48,3.5,24.64,0.04,0,0,0,0,0,0,19.76,19.76,0,6.41,37.56,19.76,19.76,2,0,100,,4,46,2.9,31.6,4.6,11,7,7,15,20,20,,,,,0.01,,,17.84,76.89,0.6,3.42,2.65,19.69,0.01,,,,,,,
Sam Darnold,,0,QB,QB1,5900,MIN,@ CHI,4,21,8.7,2.5,18,1,34.56,269.13,1.8,1.11,0.1382,4.39,15.88,0.21,4.39,0,0,0,0,0,0,0,0,0,0,0,19.7,19.7,0,6.65,37.1,19.7,19.7,5,0,100,,16,36,3.3,24.1,4.1,13,12,12,24,21,21,27.68,16.86,190.14,0.87,2.33,1.08,76.69,3.36,12.18,0.18,,,,,,,,,,,
Drake Maye,,0,QB,QB1,5500,NE,@ MIA,13,19,6.7,0,15.5,1,34.94,231.16,1.49,1.04,0.1803,4.99,43.59,0.19,4.99,0,0,0,0,0,0,0,0,0,0,0,19.67,19.67,0,9.62,33.07,19.67,19.67,16,0,100,,46,57,3.6,15.44,2.8,17,13,13,28,22,22,27.14,18.14,176.57,0.86,2.43,1.29,80.33,4,37.14,0.14,,,,,,,,,,,
Gardner Minshew,,0,QB,QB1,4800,LV,vs DEN,6,18,7.8,13.7,10.8,1,37.1,250.01,1.37,0.85,0.3828,9.63,37.69,0.2,9.63,0,0,0,0,0,0,0,0,0,0,0,19.6,19.6,0,7.9,35.2,19.6,19.6,22,0,100,,63,47,4.1,12.7,2.6,24,14,14,35,23,23,30.13,19.09,209.29,0.59,2.34,1.2,87.05,2.91,12.04,0.09,0.02,0.02,,,,,,,,,
Tyreek Hill,,0,WR,WR1,7200,MIA,vs NE,22,26.5,11.6,25.1,12.2,0,0,0,0,0,0,0,0,0,9.81,0.2677,9.81,6.64,88.56,0.62,0,0,0,0,0,0,19.22,19.22,0,1.82,42.42,19.22,19.22,30,0,100,,81,39,2.7,9.8,1.4,8,4,4,11,24,24,0.01,,,0.01,,,,0.86,6.16,0.05,8.34,5.68,79.06,0.58,,,,,,,
J.K. Dobbins,,0,RB,RB1,7000,LAC,vs BAL,4,24,7.3,11.7,16.3,0,0,0,0,0,0.5351,16.3,80.97,0.87,20.86,0.126,4.56,3.77,18.72,0.04,0,0,0,0,0,0,19.2,19.2,0,8.25,33.8,19.2,19.2,22,0,100,,88,43,2.7,8.9,1.3,9,8,8,13,25,25,,,,,,,,11.35,60.97,0.59,1.88,1.53,8.59,0.03,,,,,,,
A.J. Brown,,0,WR,WR1,7800,PHI,@ LAR,18,26,10.4,18.4,17.4,0,0,0,0,0,0,0,0,0,9.51,0.3024,9.51,6.12,95.66,0.57,0,0,0,0,0,0,19.11,19.11,0,3.51,39.91,19.11,19.11,5,0,100,,12,37,2.5,25.9,3.3,3,5,5,6,26,26,0.02,,,,,,0.91,0.07,0.91,0.01,7.56,4.79,76.17,0.52,,,,,,,
Ladd McConkey,,0,WR,WR1,6000,LAC,vs BAL,3,24,7.9,0,13.4,0,0,0,0,0,0,0,0,0,9.55,0.2637,9.55,6.64,92.8,0.53,0,0,0,0,0,0,19.1,19.1,0,7.25,34.9,19.1,19.1,18,0,100,,54,41,3.2,14.3,2.4,20,6,6,23,27,27,,,,,,,,,,,6.3,4.3,61.5,0.4,,,,,,,
Amon-Ra St. Brown,,0,WR,WR1,8300,DET,@ IND,14,29,10.2,22.4,20,0,0,0,0,0,0,0,0,0,9.4,0.2808,9.4,7.35,78.06,0.64,0,0,0,0,0,0,19,19,0,3.7,39.4,19,19,24,0,100,,66,45,2.3,12.2,1.5,1,7,7,2,28,28,0.02,0.02,0.12,,0.02,0.02,7.72,0.36,3.03,0.02,8.76,6.55,73.67,0.52,,,,,,,
Tua Tagovailoa,,0,QB,QB1,5800,MIA,vs NE,22,26.5,8.1,17.9,16,1,36.66,282.77,1.86,0.81,0.0677,2.03,6.39,0.06,2.03,0,0,0,0,0,0,0,0,0,0,0,18.94,18.94,0,6.79,35.14,18.94,18.94,2,0,100,,5,52,3.3,31.48,5.4,14,15,15,25,29,29,31.02,20.97,238.68,0.69,1.71,1.53,96.49,2.47,7.19,0.1,,,,,,,,,,,
Jameis Winston,,0,QB,QB1,5700,CLE,vs PIT,12,16.5,9.4,2.5,11.4,1,40.66,295.59,1.79,1.29,0.079,1.69,6.67,0.05,1.69,0,0,0,0,0,0,0,0,0,0,0,18.66,18.66,0,4.56,37.46,18.66,18.66,15,0,100,,45,46,3.3,15.46,2.7,15,16,16,26,30,30,30.9,18.9,236.26,1.04,2.12,1.51,79.84,3.16,12.82,0.11,,,,,,,,,,,
Jonathan Taylor,,0,RB,RB1,7100,IND,vs DET,14,21.5,10.1,15.9,16.7,0,0,0,0,0,0.6246,21.34,102.25,0.83,23.84,0.0888,2.5,1.81,13.69,0.04,0,0,0,0,0,0,18.62,18.62,0,3.47,38.82,18.62,18.62,33,0,100,,122,45,2.6,3.5,0.5,8,9,9,12,31,31,,,,,,,,17.62,86.15,0.74,2.9,2.23,17.48,0.07,,,,,,,
James Conner,,0,RB,RB1,6500,ARI,@ SEA,16,23.75,10.1,16.4,16.3,0,0,0,0,0,0.6043,18.5,81.11,0.76,22.01,0.1017,3.51,2.9,24.02,0.1,0,0,0,0,0,0,18.57,18.57,0,3.42,38.77,18.57,18.57,19,0,100,,80,32,2.9,9.9,1.5,14,10,10,18,32,32,,,,,,,,12.97,56.28,0.57,3.16,2.61,20.71,0.1,,,,,,,
Kareem Hunt,,0,RB,RB1,5700,KC,@ CAR,32,26.75,9.2,7.9,16.1,0,0,0,0,0,0.7004,21.94,89.55,0.86,24.52,0.0667,2.58,2.02,16.51,0.12,0,0,0,0,0,0,18.51,18.51,0,4.71,36.91,18.51,18.51,17,0,100,,69,33,3.2,11.7,2.1,21,11,11,26,33,33,,,,,,,,11.93,50.29,0.46,3.1,2.45,20.31,0.17,,,,,,,
Aaron Jones,,0,RB,RB1,6400,MIN,@ CHI,25,21,10.3,13.2,14.4,0,0,0,0,0,0.5742,18.25,88.16,0.56,22.25,0.1156,4,3.13,22.92,0.15,0,0,0,0,0,0,18.5,18.5,0,3.05,39.1,18.5,18.5,5,0,100,,17,35,2.9,23.9,3.7,15,12,12,19,34,34,,,,,,,,12.78,63.08,0.47,3.79,2.87,22.14,0.19,,,,,,,
Cooper Kupp,,0,WR,WR1,7500,LAR,vs PHI,26,23,10.4,14.7,21.6,0,0,0,0,0,0,0,0,0,9.42,0.2564,9.42,6.74,79.19,0.6,0,0,0,0,0,0,18.26,18.26,0,2.66,39.06,18.26,18.26,12,0,100,,27,44,2.4,20,2.7,5,8,8,8,35,35,0.04,,,,,,1.22,0.26,1.4,0.01,8.8,6.28,77,0.57,,,,,,,
Jayden Reed,,0,WR,WR1,5900,GB,vs SF,29,25.25,8.1,13.8,15.2,0,0,0,0,0,0,0,0,0,8.08,0.2043,8.08,6.02,85.83,0.6,0,0,0,0,0,0,18.2,18.2,0,6.05,34.4,18.2,18.2,49,0,100,,108,43,3.1,5.6,0.9,21,9,9,24,36,36,,,,,,,,0.88,8.62,0.12,5.5,3.92,55.23,0.46,,,,,,,
Matthew Stafford,,0,QB,QB1,5900,LAR,vs PHI,1,23,7.1,17.9,14.8,1,36.74,284.42,1.77,0.76,0.0458,1.37,3.5,0.02,1.37,0,0,0,0,0,0,0,0,0,0,0,18.17,18.17,0,7.52,32.37,18.17,18.17,9,0,100,,31,61,3.1,19.22,3.3,13,17,17,24,37,37,35.22,23.11,264.96,0.73,2.41,1.71,96.95,1.89,5.99,0.03,0.01,0.01,-0.04,,,,,,,,
Courtland Sutton,,0,WR,WR1,5800,DEN,@ LV,19,23.5,6.8,12.1,14.2,0,0,0,0,0,0,0,0,0,11.16,0.299,11.16,6.58,86.74,0.46,0,0,0,0,0,0,18.01,18.01,0,7.81,31.61,18.01,18.01,4,0,100,,8,40,3.1,29.7,5.1,22,10,10,25,38,38,0.04,0.04,0.91,,,0.01,10.78,0.05,0.23,,6.54,3.82,53.73,0.29,,,,,,,
Anthony Richardson,,0,QB,QB1,5600,IND,vs DET,7,21.5,9.2,18.7,14.9,1,28.18,210.47,0.88,0.98,0.2093,7.15,36.89,0.5,7.15,0,0,0,0,0,0,0,0,0,0,0,17.65,17.65,0,3.85,36.05,17.65,17.65,21,0,100,,61,44,3.2,12.98,2.3,16,18,18,27,39,39,22.45,11.73,164.27,0.73,1.64,0.73,80.38,6.91,37.27,0.64,,,,,,,,,,,
Baker Mayfield,,0,QB,QB1,6100,TB,@ NYG,8,23,7.2,17.4,23.2,1,32.42,233.89,1.68,0.84,0.1365,4.13,15.38,0.14,4.13,0,0,0,0,0,0,0,0,0,0,0,17.61,17.61,0,6.81,32.01,17.61,17.61,7,0,100,,29,57,2.9,19.66,3.2,11,19,19,22,40,40,32.01,20.13,230.68,0.84,2.36,1.56,90.74,2.9,10.25,0.09,0.02,0.01,0.17,,,,,,,,
Russell Wilson,,0,QB,QB1,6000,PIT,@ CLE,20,20,8,18.4,16.5,1,27.9,217.22,1.36,0.5,0.1475,6.05,28.74,0.18,6.05,0,0,0,0,0,0,0,0,0,0,0,17.58,17.58,0,5.58,33.58,17.58,17.58,18,0,100,,51,60,2.9,14.8,2.5,12,20,20,23,41,41,31.39,20.36,240.28,0.58,2.91,1.85,101.24,4.77,24.19,0.13,0.03,0.03,0.03,0.01,,,,,,,
David Njoku,,0,TE,TE1,5700,CLE,vs PIT,27,16.5,6.8,13.1,12.4,0,0,0,0,0,0,0,0,0,9.81,0.2413,9.81,6.61,73.9,0.58,0,0,0,0,0,0,17.48,17.48,0,7.28,31.08,17.48,17.48,26,0,100,,118,23,3.1,3.9,0.7,4,1,1,26,42,42,,,,,,,,0.04,-0.06,,5.1,3.36,37.11,0.28,,,,,,,
Javonte Williams,,0,RB,RB1,5200,DEN,@ LV,23,23.5,6.4,11.3,11,0,0,0,0,0,0.4903,15.53,61.66,0.37,21.86,0.1696,6.33,5.1,30.67,0.11,0,0,0,0,0,0,17.21,17.21,0,7.61,30.01,17.21,17.21,37,0,100,,131,45,3.3,2.4,0.5,26,13,13,31,43,43,,,,,,,,12.06,48.5,0.21,3.69,2.94,18.13,0.1,,,,,,,
Rachaad White,,0,RB,RB1,5400,TB,@ NYG,19,23,6.9,16.2,14,0,0,0,0,0,0.4678,14.16,53.44,0.24,19.29,0.1582,5.13,4.6,34.84,0.38,0,0,0,0,0,0,17.15,17.15,0,6.8,30.95,17.15,17.15,17,0,100,,69,47,3.2,11.7,2.2,24,14,14,29,44,44,,,,,,,,11.45,42.31,0.19,4.02,3.6,26.9,0.21,,,,,,,
Chuba Hubbard,,0,RB,RB1,6600,CAR,vs KC,3,16.25,7.4,10.9,17.3,0,0,0,0,0,0.6498,19,83.37,0.57,23.04,0.1281,4.04,3.32,17.48,0.05,0,0,0,0,0,0,17.13,17.13,0,6.03,31.93,17.13,17.13,12,0,100,,50,29,2.6,15,2.3,13,15,15,17,45,45,,,,,,,,11.68,49.09,0.32,2.33,1.89,12.32,0.04,,,,,,,
Kenneth Walker III,,0,RB,RB1,6900,SEA,vs ARI,11,22.75,8.1,13.5,18.8,0,0,0,0,0,0.5969,14.2,59.01,0.67,18.53,0.1145,4.33,3.67,26.01,0.1,0,0,0,0,0,0,16.79,16.79,0,4.64,32.99,16.79,16.79,14,0,100,,59,46,2.4,13.3,1.9,10,16,16,14,46,46,,,,,,,,14.81,63.81,0.65,2.78,2.27,16.59,0.05,,,,,,,
Najee Harris,,0,RB,RB1,6200,PIT,@ CLE,29,20,7.1,11.9,13.7,0,0,0,0,0,0.583,23.9,95.45,0.59,26.49,0.0927,2.59,1.98,13.27,0.06,0,0,0,0,0,0,16.75,16.75,0,6.1,30.95,16.75,16.75,26,0,100,,98,51,2.7,7.4,1.2,16,17,17,21,47,47,0.02,0.02,0.07,,,,1.37,16.54,65.26,0.41,3.51,2.7,17.18,0.1,,,,,,,
Travis Kelce,,0,TE,TE1,5800,KC,@ CAR,5,26.75,9,15.1,12.7,0,0,0,0,0,0,0,0,0,8.9,0.2306,8.9,6.46,73.91,0.48,0,0,0,0,0,0,16.73,16.73,0,3.23,34.73,16.73,16.73,12,0,100,,66,46,2.9,12.2,2.1,3,2,2,25,48,48,0.02,0.01,0.03,0.01,,,0.77,0.06,0.11,0.01,8.26,5.94,72.16,0.48,,,,,,,
DK Metcalf,,0,WR,WR1,6600,SEA,vs ARI,1,22.75,8.5,14.7,16.3,0,0,0,0,0,0,0,0,0,9.08,0.2399,9.08,5.48,79.15,0.53,0,0,0,0,0,0,16.58,16.58,0,3.83,33.58,16.58,16.58,29,0,100,,80,43,2.5,9.9,1.5,14,11,11,17,49,49,,,,,,,,0.03,0.18,,7.64,4.62,67.27,0.51,,,,,,,
Tony Pollard,,0,RB,RB1,5800,TEN,@ HOU,6,16.5,8.3,13.3,13.6,0,0,0,0,0,0.7137,17.96,81.53,0.44,21.92,0.1418,3.96,3,19.49,0.05,0,0,0,0,0,0,16.04,16.04,0,3.59,32.64,16.04,16.04,4,0,100,,14,27,2.8,24.9,4.3,20,18,18,25,50,50,,,,,,,,10.48,48.89,0.3,3.05,2.34,16.89,0.06,,,,,,,
Brock Bowers,,0,TE,TE1,6300,LV,vs DEN,10,18,8.1,0,16.2,0,0,0,0,0,0,0,0,0,8.88,0.2394,8.88,6.97,71.37,0.32,0,0,0,0,0,0,16.03,16.03,0,3.88,32.23,16.03,16.03,19,0,100,,95,50,2.5,7.8,1.2,1,3,3,20,51,51,,,,,,,,0.2,0.9,,8.9,7,70.6,0.3,,,,,,,
Malik Nabers,,0,WR,WR1,7400,NYG,vs TB,30,17,8.5,0,18.2,0,0,0,0,0,0,0,0,0,11.11,0.336,11.11,7.15,65.36,0.36,0,0,0,0,0,0,15.85,15.85,0,3.1,32.85,15.85,15.85,22,0,100,,64,53,2.1,12.4,1.7,6,12,12,9,52,52,0.13,,,,,,0.26,0.5,-0.25,,11.75,7.63,75.88,0.38,,,,,,,
David Montgomery,,0,RB,RB1,6700,DET,@ IND,22,29,7.6,15.5,16.7,0,0,0,0,0,0.4742,17.47,72.17,0.81,19.92,0.0732,2.45,2,15.91,0.03,0,0,0,0,0,0,15.85,15.85,0,4.45,31.05,15.85,15.85,10,0,100,,41,48,2.4,16.3,2.4,12,19,19,16,52,52,0.02,0.01,0.04,0.01,,0.01,5.13,15.13,62.13,0.58,2.87,2.29,18.6,0.05,,,,,,,
Will Levis,,0,QB,QB1,4900,TEN,@ HOU,23,16.5,6.9,12.6,12,1,27.91,204.93,1.29,0.94,0.1981,4.98,24.53,0.09,4.98,0,0,0,0,0,0,0,0,0,0,0,15.41,15.41,0,5.06,29.21,15.41,15.41,10,0,100,,33,44,3.1,18.12,3.7,23,21,21,34,53,53,27.13,16.69,186.06,0.75,3.44,1,78.49,3.31,13.88,0.06,,,,,,,,,,,
Mike Evans,,0,WR,WR1,7000,TB,@ NYG,24,23,10.2,17.1,13.6,0,0,0,0,0,0,0,0,0,7.82,0.2411,7.82,4.52,68.19,0.61,0,0,0,0,0,0,15,15,0,0,35.4,15,15,25,0,100,,68,39,2.1,11.8,1.7,10,13,13,13,54,54,,,,,,,,0.01,0.07,,8.51,4.93,75.11,0.6,,,,,,,
Tank Dell,,0,WR,WR2,6400,HOU,vs TEN,31,24,9.3,17.4,10.2,0,0,0,0,0,0,0,0,0,9,0.2189,9,5.59,69.21,0.41,0,0,0,0,0,0,14.97,14.97,0,1.02,33.57,14.97,14.97,28,0,100,,78,33,2.3,10.2,1.6,16,14,14,19,55,55,,,,,0.05,,,0.95,3.95,,6.9,4.3,57.85,0.45,,,,,,,
Rhamondre Stevenson,,0,RB,RB1,5900,NE,@ MIA,17,19,8,12.2,14.3,0,0,0,0,0,0.5764,15.95,65.46,0.53,19.7,0.1074,3.75,3.02,16.65,0.08,0,0,0,0,0,0,14.89,14.89,0,2.89,30.89,14.89,14.89,35,0,100,,124,39,2.5,3.3,0.6,19,20,20,24,56,56,,,,,,,,12.8,55.86,0.39,3.75,2.92,17.65,0.04,,,,,,,
D'Andre Swift,,0,RB,RB1,6100,CHI,vs MIN,1,18,7.6,12.9,15.1,0,0,0,0,0,0.6036,17.75,78.75,0.63,19.94,0.0805,2.19,1.78,12.32,0.03,0,0,0,0,0,0,14.85,14.85,0,3.45,30.05,14.85,14.85,20,0,100,,84,48,2.4,9.5,1.6,17,21,21,22,57,57,0.02,,,,,,0.6,11.33,50.97,0.42,4.33,3.38,25.08,0.12,,,,,,,
Calvin Ridley,,0,WR,WR1,5700,TEN,@ HOU,13,16.5,9.7,14.2,11.9,0,0,0,0,0,0,0,0,0,8.73,0.3128,8.73,5.1,66.81,0.48,0,0,0,0,0,0,14.66,14.66,0,0.11,34.06,14.66,14.66,18,0,100,,54,36,2.6,14.3,2.5,23,15,15,26,58,58,,,,,,,,0.34,1.54,0.01,7.76,4.74,64.46,0.51,,,,,,,
Puka Nacua,,0,WR,WR2,7100,LAR,vs PHI,26,23,9.8,18.8,15.7,0,0,0,0,0,0,0,0,0,8.04,0.2188,8.04,5.43,74.81,0.28,0,0,0,0,0,0,14.59,14.59,0,0,34.19,14.59,14.59,8,0,100,,18,46,2.1,23.7,3.3,9,16,16,12,59,59,,,,,,,,0.68,4.59,,9.05,6.05,84.5,0.32,,,,,,,
