,,,,,,,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,,,,,,,,Position Rankings,,,,Overall Rankings,,,,,Position Rankings,,,Overall Rankings,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
Player,Inj,Likes,Pos,pDepth,Salary,Team,Opp,Def v Pos,VegasPts,STDV,2023 Avg,2024 Avg,Pct,Att,Yrds,TDs,Int,Pct,Att,Yrds,TDs,Att+Tar,Pct,Tar,Rec,Yrds,TDs,Sacks,Int,Fum,Sfty,TDs,PTs,FC,My,Diff,Floor,Ceiling,FC Proj,My Proj,FPs,Rdm %,Exp.,Used,FPs,Con.,Value,Score,Val,Salary,FC Proj,My Proj,Salary,FC Proj,My Proj,Att,Comp,Yrds,Int,Sack,TDs,Rtg,Att,Yrds,TDs,Trgts,Rec,Yrds,TDs,Sack,Ints,Fmbls,TDs,Sfty,Pts,Yrds
Jahmyr Gibbs,,0,RB,RB2,7300,DET,vs JAC,25,30.5,8.3,16.6,18.8,0,0,0,0,0,0.476,14.41,82.15,0.85,19.05,0.123,4.64,3.45,26.58,0.12,0,0,0,0,0,0,20.14,20.14,0,7.69,36.74,20.14,20.14,8,0,100,,37,52,2.8,19.3,2.6,9,9,9,13,22,22,,,,,,,,12.67,69.67,0.71,4.13,3.08,21.58,0.08,,,,,,,
Brock Purdy,,0,QB,QB1,6600,SF,vs SEA,28,27.25,8,20.2,20.4,1,34.21,284.74,1.72,0.89,0.1107,3.47,14.38,0.22,3.47,0,0,0,0,0,0,0,0,0,0,0,20.14,20.14,0,8.14,36.14,20.14,20.14,14,0,100,,35,56,3.1,19.48,3,9,11,11,20,22,22,26.24,17.74,238.47,0.65,1.35,1.65,80.39,3.15,11.29,0.18,,,,,,,,,,,
Jared Goff,,0,QB,QB1,6300,DET,vs JAC,32,30.5,8.3,18.9,17.1,1,37.76,299.59,2.08,0.88,0.0526,1.59,2.8,0.06,1.59,0,0,0,0,0,0,0,0,0,0,0,20.06,20.06,0,7.61,36.66,20.06,20.06,1,0,100,,4,53,3.2,37.58,6,11,12,12,23,23,23,34.6,22.48,258.05,0.72,1.87,1.59,95.92,2.04,4.04,0.09,0.02,0.02,0.09,0.01,,,,,,,
Jordan Love,,0,QB,QB1,7000,GB,@ CHI,5,23.5,9.4,19.9,18.9,1,33.04,262.95,2.18,0.97,0.0817,2.78,8.64,0.14,2.78,0,0,0,0,0,0,0,0,0,0,0,19.97,19.97,0,5.87,38.77,19.97,19.97,11,0,100,,30,37,2.9,21.24,3,6,13,13,16,24,24,26.53,16.74,193.68,0.71,1.18,1.47,87.53,2.24,8.85,0.12,,,,,,,,,,,
Saquon Barkley,,0,RB,RB1,8200,PHI,vs WAS,27,26.75,10,16.3,22.4,0,0,0,0,0,0.5828,21.09,99.79,0.67,24.96,0.1118,3.87,2.88,20.32,0.15,0,0,0,0,0,0,19.81,19.81,0,4.81,39.81,19.81,19.81,2,0,100,,5,47,2.4,36.8,4.5,2,10,10,4,25,25,,,,,,,,16.53,74.72,0.49,5.08,3.72,27.2,0.17,,,,,,,
J.K. Dobbins,,0,RB,RB1,7000,LAC,vs CIN,16,24.5,7.3,11.7,16,0,0,0,0,0,0.5514,16.46,82.98,0.76,21.66,0.1386,5.2,4.3,21.38,0.05,0,0,0,0,0,0,19.6,19.6,0,8.65,34.2,19.6,19.6,9,0,100,,41,43,2.8,18.9,2.7,12,11,11,16,26,26,,,,,,,,11.36,61.12,0.55,1.91,1.55,8.76,0.03,,,,,,,
Ladd McConkey,,0,WR,WR1,6200,LAC,vs CIN,7,24.5,7.9,0,12.6,0,0,0,0,0,0,0,0,0,9.9,0.2637,9.9,6.86,87.42,0.66,0,0,0,0,0,0,19.56,19.56,0,7.71,35.36,19.56,19.56,12,0,100,,29,37,3.2,21.3,3.4,20,4,4,24,27,27,,,,,,,,,,,6,4.11,54.67,0.44,,,,,,,
Russell Wilson,,0,QB,QB1,5900,PIT,vs BAL,31,22.75,8,18.4,19.6,1,31.91,248.61,1.61,0.57,0.1605,5.55,26.81,0.17,5.55,0,0,0,0,0,0,0,0,0,0,0,19.52,19.52,0,7.52,35.52,19.52,19.52,26,0,100,,112,60,3.3,7.3,1.2,15,14,14,27,28,28,31.36,20.35,240.51,0.57,2.91,1.86,101.46,4.77,24.35,0.13,0.03,0.03,0.03,0.01,,,,,,,
Drake Maye,,0,QB,QB1,5600,NE,vs LAR,26,19,6.9,0,14.7,1,32.35,214.16,1.4,1.02,0.1917,5.68,45.55,0.23,5.68,0,0,0,0,0,0,0,0,0,0,0,19.08,19.08,0,8.73,32.88,19.08,19.08,13,0,100,,33,53,3.4,19.98,3.6,18,15,15,30,29,29,25,16.17,159,0.83,2.33,1.17,77.02,4.17,38.83,0.17,,,,,,,,,,,
James Cook,,0,RB,RB1,6800,BUF,vs KC,1,24.75,8.5,14.3,16.9,0,0,0,0,0,0.5264,17.61,83.39,0.65,21.45,0.126,3.84,2.95,25.78,0.2,0,0,0,0,0,0,18.97,18.97,0,6.22,35.97,18.97,18.97,7,0,100,,34,29,2.8,19.7,2.9,14,12,12,18,30,30,,,,,,,,10.81,52.5,0.29,2.67,2.02,19.05,0.14,,,,,,,
Anthony Richardson,,0,QB,QB1,5300,IND,@ NYJ,2,19.5,8.7,18.7,12.6,1,38.94,277.44,1.27,1.68,0.2202,5.17,29.77,0.23,5.17,0,0,0,0,0,0,0,0,0,0,0,18.85,18.85,0,5.8,36.25,18.85,18.85,5,0,100,,14,42,3.6,29.08,5.5,21,16,16,33,31,31,21.7,10.9,153.5,0.8,1.6,0.7,77.77,6.6,37.8,0.5,,,,,,,,,,,
Cooper Kupp,,0,WR,WR1,7500,LAR,@ NE,22,23,10.4,14.7,19.6,0,0,0,0,0,0,0,0,0,9.72,0.2462,9.72,6.99,81.52,0.59,0,0,0,0,0,0,18.68,18.68,0,3.08,39.48,18.68,18.68,3,0,100,,10,44,2.5,31.6,4.2,7,5,5,11,32,32,0.04,,,,,,1.23,0.27,1.42,0.01,8.79,6.29,76.7,0.55,,,,,,,
Geno Smith,,0,QB,QB1,5700,SEA,@ SF,7,21.25,8.6,16.7,19.3,1,36.11,273.52,1.6,0.83,0.1647,3.39,16.82,0.08,3.39,0,0,0,0,0,0,0,0,0,0,0,18.67,18.67,0,5.77,35.87,18.67,18.67,19,0,100,,52,45,3.3,16.74,2.9,17,17,17,29,33,33,29.25,19.65,214.71,0.6,2.35,1.27,89.3,3.05,14.75,0.07,0.02,0.02,-0.04,,,,,,,,
Deebo Samuel,,0,WR,WR1,6800,SF,vs SEA,28,27.25,9.2,16.8,12.7,0,0,0,0,0,0.0727,2.28,12.81,0.2,10.29,0.234,8.01,5.21,85.71,0.39,0,0,0,0,0,0,18.6,18.6,0,4.8,37,18.6,18.6,47,0,100,,111,41,2.7,7.5,1.1,14,6,6,18,34,34,0.04,0.01,0.31,,0.01,0.01,2.6,2.49,15.44,0.26,6.39,4.18,61.26,0.26,,,,,,,
