,,,,,,,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,,,,,,,,Position Rankings,,,,Overall Rankings,,,,,Position Rankings,,,Overall Rankings,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
Brock Purdy,,0,QB,QB1,6200,SF,vs ARI,26,28,8.3,20.2,17.9,1,33.12,302.05,2.06,0.8,0.2427,7.98,28.67,0.16,7.98,0,0,0,0,0,0,0,0,0,0,0,23.35,23.35,0,10.9,39.95,23.35,23.35,18,0,100,,56,52,3.8,15.06,2.4,12,7,7,21,10,10,25.38,17.45,233.93,0.59,1.31,1.69,78.35,2.72,8,0.1,,,,,,,,,,,
Jayden Daniels,,0,QB,QB1,6800,WAS,vs CLE,19,23.25,6,0,23.7,1,40.2,310.11,1.59,0.68,0.2691,6.11,26.47,0.38,6.11,0,0,0,0,0,0,0,0,0,0,0,23.01,23.01,0,14.01,35.01,23.01,23.01,14,0,100,,31,75,3.4,20.72,3,6,8,8,15,11,11,26.5,21.75,224.25,0.25,2.25,0.75,112.7,11.5,54.5,1,,,,,,,,,,,
Michael Pittman,,0,WR,WR1,6000,IND,@ JAC,15,20.75,7.4,16.3,10,0,0,0,0,0,0,0,0,0,14.98,0.3655,14.98,10.24,105.7,0.35,0,0,0,0,0,0,22.91,22.91,0,11.81,37.71,22.91,22.91,21,0,100,,58,44,3.8,14.7,2.5,21,2,2,23,12,12,,,,,,,,0.17,1.52,,7.8,5.35,58.53,0.23,,,,,,,
Sam Darnold,,0,QB,QB1,5900,MIN,vs NYJ,1,22.25,8.8,2.5,20.6,1,39.58,308.81,2.42,1.17,0.104,2.47,8.27,0.13,2.47,0,0,0,0,0,0,0,0,0,0,0,22.47,22.47,0,9.27,40.07,22.47,22.47,27,0,100,,123,34,3.8,6.26,1.1,14,9,9,24,13,13,27.39,16.5,185.66,0.84,2.27,1.06,75.37,3.2,11.57,0.19,,,,,,,,,,,
Nico Collins,,0,WR,WR1,7700,HOU,vs BUF,4,24.25,10.3,18.4,25,0,0,0,0,0,0,0,0,0,11.05,0.2597,11.05,7.56,114.51,0.55,0,0,0,0,0,0,22.31,22.31,0,6.86,42.91,22.31,22.31,19,0,100,,53,20,2.9,15.8,2.1,5,3,3,6,14,14,,,,,,,,0.02,0.16,,6.49,4.19,63.09,0.3,,,,,,,
Lamar Jackson,,0,QB,QB1,7500,BAL,@ CIN,30,23,10.9,22.3,24.3,1,29.63,226.18,1.62,0.58,0.2798,8.77,54.98,0.27,8.77,0,0,0,0,0,0,0,0,0,0,0,22.07,22.07,0,5.72,43.87,22.07,22.07,3,0,100,,4,50,2.9,37.42,5,2,10,10,8,15,15,25.02,16.1,187.99,0.53,1.96,1.45,95.23,10.17,62.24,0.34,0.02,,,,,,,,,,
Bijan Robinson,,0,RB,RB1,7100,ATL,vs TB,16,23.25,7.3,15.2,14.2,0,0,0,0,0,0.5718,17.45,73.6,0.35,24.77,0.1923,7.32,5.38,50.4,0.34,0,0,0,0,0,0,21.92,21.92,0,10.97,36.52,21.92,21.92,26,0,100,,91,51,3.1,10.7,1.5,8,3,3,12,16,16,,,,,,,,12.81,57.14,0.24,4.86,3.48,29.62,0.19,,,,,,,
Justin Jefferson,,0,WR,WR1,8600,MIN,vs NYJ,25,22.25,11,21.8,20.7,0,0,0,0,0,0,0,0,0,10.9,0.2755,10.9,7.47,107.51,0.6,0,0,0,0,0,0,21.82,21.82,0,5.32,43.82,21.82,21.82,20,0,100,,55,48,2.5,15.2,1.8,2,4,4,2,17,17,0.11,0.06,1.08,,,,8.5,0.19,0.44,0.02,9.45,6.44,97.77,0.53,,,,,,,
Jordan Love,,0,QB,QB1,6500,GB,@ LAR,32,23,9.8,19.9,25.8,1,35.88,281.25,2.07,0.78,0.0922,2.95,11.23,0.21,2.95,0,0,0,0,0,0,0,0,0,0,0,21.13,21.13,0,6.43,40.73,21.13,21.13,16,0,100,,45,33,3.3,16.96,2.6,9,11,11,18,18,18,25.86,16.24,186.69,0.62,1.21,1.41,86.91,2.21,9.62,0.14,,,,,,,,,,,
Breece Hall,,0,RB,RB1,7300,NYJ,@ MIN,1,19.75,9.9,17.6,16.4,0,0,0,0,0,0.6208,15.64,63.92,0.46,22.33,0.1778,6.69,5.19,42.34,0.4,0,0,0,0,0,0,20.98,20.98,0,6.13,40.78,20.98,20.98,38,0,100,,120,43,2.9,6.7,0.9,6,4,4,10,19,19,,,,,,,,12.82,58.25,0.39,5.36,4.04,33.68,0.21,,,,,,,
Kyler Murray,,0,QB,QB1,6700,ARI,@ SF,18,21,8.3,18.9,17.4,1,33.51,243.19,1.55,0.62,0.1989,6.03,38.1,0.3,6.03,0,0,0,0,0,0,0,0,0,0,0,20.92,20.92,0,8.47,37.52,20.92,20.92,7,0,100,,18,61,3.1,25.1,3.7,7,12,12,16,20,20,34.01,22.71,238.03,0.68,2.3,1.45,94.93,6.39,37.86,0.38,,,0.1,,,,,,,,
Derek Carr,,0,QB,QB1,5700,NO,@ KC,7,18.75,7.6,15.9,15.5,1,38.61,300.4,2.09,0.76,0.0818,2.5,6.6,0.07,2.5,0,0,0,0,0,0,0,0,0,0,0,20.7,20.7,0,9.3,35.9,20.7,20.7,21,0,100,,67,55,3.6,13.6,2.4,16,13,13,26,21,21,34.05,22.44,249.33,0.67,1.88,1.54,95.38,1.96,5.54,0.05,0.01,0.01,-0.06,,,,,,,,
JaMarr Chase,,0,WR,WR1,8000,CIN,vs BAL,3,25.5,12.3,17.4,17.5,0,0,0,0,0,0,0,0,0,10.09,0.2633,10.09,7.01,93.7,0.67,0,0,0,0,0,0,20.4,20.4,0,1.95,45,20.4,20.4,1,0,100,,1,35,2.6,44.3,5.5,3,5,5,3,22,22,0.02,0.02,-0.14,,0.02,,1.15,0.31,0.47,,8.8,5.86,81.98,0.65,,,,,,,
Stefon Diggs,,0,WR,WR2,6900,HOU,vs BUF,4,24.25,9.7,17,17,0,0,0,0,0,0,0,0,0,11.27,0.2648,11.27,7.76,89.71,0.57,0,0,0,0,0,0,20.15,20.15,0,5.6,39.55,20.15,20.15,22,0,100,,62,43,2.9,14.2,2.1,12,6,6,14,23,23,0.01,0.01,0.09,,0.01,,0.98,0.26,1.3,0.01,8.6,5.91,72.66,0.49,,,,,,,
Joe Flacco,,0,QB,QB1,5500,IND,@ JAC,24,20.75,7.5,24.4,15,1,40.98,288.05,1.67,0.98,0.2381,6.14,11.21,0.28,6.14,0,0,0,0,0,0,0,0,0,0,0,20.02,20.02,0,8.77,35.02,20.02,20.02,4,0,100,,8,51,3.6,30.56,5.6,18,14,14,28,24,24,37.31,23.48,241.21,0.84,1.9,1.29,84.68,1.47,3,0.08,,,-0.04,,,,,,,,
George Pickens,,0,WR,WR1,6000,PIT,vs DAL,9,23.25,8.4,13.2,12.3,0,0,0,0,0,0,0,0,0,10.84,0.3104,10.84,6.91,107.19,0.37,0,0,0,0,0,0,19.85,19.85,0,7.25,36.65,19.85,19.85,52,0,100,,128,28,3.3,5.6,0.9,21,7,7,23,25,25,,,,,,,,0.18,0.84,0.03,5.79,3.55,58.55,0.24,,,,,,,
James Cook,,0,RB,RB1,7000,BUF,@ HOU,14,23.25,8.4,14.3,16.6,0,0,0,0,0,0.4782,14.67,70.07,0.33,19.89,0.1347,5.22,4.13,41.5,0.4,0,0,0,0,0,0,19.67,19.67,0,7.07,36.47,19.67,19.67,9,0,100,,41,26,2.8,17.9,2.6,9,5,5,13,26,26,,,,,,,,10.16,50.16,0.19,2.62,2,19.76,0.16,,,,,,,
Dak Prescott,,0,QB,QB1,6900,DAL,@ PIT,25,20.75,9.1,21.7,19,1,33.55,257.03,1.78,0.6,0.1406,3.31,14.79,0.22,3.31,0,0,0,0,0,0,0,0,0,0,0,19.6,19.6,0,5.95,37.8,19.6,19.6,11,0,100,,26,56,2.8,22.38,3.2,5,15,15,14,27,27,34.12,22.82,259.11,0.65,2.08,1.77,99.42,3.5,16.12,0.24,0.02,0.01,0.09,0.01,,,,,,,
Trevor Lawrence,,0,QB,QB1,5700,JAC,vs IND,29,24.25,7.2,18.1,12.4,1,36.17,257.71,1.58,0.81,0.1516,4.47,22.83,0.25,4.47,0,0,0,0,0,0,0,0,0,0,0,19.6,19.6,0,8.8,34,19.6,19.6,6,0,100,,17,56,3.4,25.24,4.4,16,15,15,26,27,27,34.67,21.87,231.46,0.74,1.96,1.15,85.3,3.94,18.98,0.2,,,-0.09,,,,,,,,
Travis Etienne,,0,RB,RB1,6700,JAC,vs IND,29,24.25,8.6,17,11.8,0,0,0,0,0,0.6344,18.7,79.16,0.67,24.1,0.1492,5.4,4.15,29.4,0.03,0,0,0,0,0,0,19.21,19.21,0,6.31,36.41,19.21,19.21,22,0,100,,79,41,2.9,12,1.8,12,6,6,16,28,28,,,,,,,,14.05,61.76,0.47,3.5,2.71,22.11,0.03,,,,,,,
Jayden Reed,,0,WR,WR1,6500,GB,@ LAR,18,23,8.6,13.8,20.9,0,0,0,0,0,0,0,0,0,8.33,0.2321,8.33,6.22,86.54,0.71,0,0,0,0,0,0,19.13,19.13,0,6.23,36.33,19.13,19.13,23,0,100,,66,43,2.9,13.7,2.1,16,8,8,18,29,29,,,,,,,,0.85,10.5,0.15,5.8,4.05,56.45,0.5,,,,,,,
Geno Smith,,0,QB,QB1,5900,SEA,vs NYG,12,24.75,8.7,16.7,19.7,1,36.36,276.53,1.57,0.69,0.1176,3.15,15.42,0.12,3.15,0,0,0,0,0,0,0,0,0,0,0,18.91,18.91,0,5.86,36.31,18.91,18.91,10,0,100,,25,43,3.2,22.56,3.8,14,16,16,24,30,30,28.52,19.26,208.62,0.54,2.24,1.26,89.36,2.96,13.84,0.08,0.02,0.02,-0.04,,,,,,,,
Aaron Rodgers,,0,QB,QB1,6000,NYJ,@ MIN,16,19.75,8.7,0,14.3,1,37.63,261.55,1.71,0.43,0.1146,2.89,13.64,0.11,2.89,0,0,0,0,0,0,0,0,0,0,0,18.9,18.9,0,5.85,36.3,18.9,18.9,19,0,100,,57,58,3.2,14.76,2.5,13,17,17,23,31,31,34.76,22.49,252.81,0.41,2.26,2.05,101.15,2.81,13.45,0.11,0.02,0.02,-0.08,,,,,,,,
Baker Mayfield,,0,QB,QB1,6600,TB,@ ATL,3,20.75,6.9,17.4,22.7,1,35.52,266.05,1.72,0.83,0.1089,3.04,9.94,0.14,3.04,0,0,0,0,0,0,0,0,0,0,0,18.53,18.53,0,8.18,32.33,18.53,18.53,8,0,100,,21,58,2.8,23.4,3.5,8,18,18,17,32,32,31.76,19.8,229.2,0.82,2.42,1.48,89.88,2.83,9.55,0.1,0.02,0.01,0.18,,,,,,,,
Josh Jacobs,,0,RB,RB1,6400,GB,@ LAR,6,23,9,14.5,11.8,0,0,0,0,0,0.7044,22.51,96.4,0.65,26.11,0.1004,3.6,2.74,19.04,0,0,0,0,0,0,0,18.18,18.18,0,4.68,36.18,18.18,18.18,12,0,100,,47,45,2.8,16.4,2.6,15,7,7,19,33,33,,,,,0.01,,,17.87,76.27,0.6,3.44,2.65,19.48,,,,,,,,
Derrick Henry,,0,RB,RB1,7800,BAL,@ CIN,27,23,11.8,15.2,24.9,0,0,0,0,0,0.5993,18.78,90.6,0.87,21.17,0.0808,2.39,1.82,16.2,0.06,0,0,0,0,0,0,18.08,18.08,0,0.38,41.68,18.08,18.08,11,0,100,,46,30,2.3,16.6,2.1,1,8,8,5,34,34,0.08,0.06,0.31,,,0.04,14.22,17.48,83.43,0.76,1.73,1.34,12.36,0.03,,,,,,,
Travis Kelce,,0,TE,TE1,5800,KC,vs NO,23,24.25,9,15.1,7.7,0,0,0,0,0,0,0,0,0,9.42,0.2467,9.42,6.73,80.56,0.52,0,0,0,0,0,0,17.91,17.91,0,4.41,35.91,17.91,17.91,5,0,100,,50,47,3.1,16,2.8,2,1,1,25,35,35,0.02,0.01,0.03,0.01,,,0.8,0.07,0.11,0.01,8.2,5.86,72.71,0.48,,,,,,,
James Conner,,0,RB,RB1,6500,ARI,@ SF,5,21,10.3,16.4,16.6,0,0,0,0,0,0.6357,19.27,85.63,0.87,21.63,0.0703,2.36,1.97,15.17,0.1,0,0,0,0,0,0,17.87,17.87,0,2.42,38.47,17.87,17.87,18,0,100,,64,30,2.7,14,2.2,14,9,9,18,36,36,,,,,,,,12.78,55.57,0.58,3.12,2.58,19.95,0.11,,,,,,,
Kirk Cousins,,0,QB,QB1,5600,ATL,vs TB,9,23.25,7.9,21.3,11.6,1,38.06,282.76,1.49,0.77,0.0693,2.12,5.89,0.13,2.12,0,0,0,0,0,0,0,0,0,0,0,17.87,17.87,0,6.02,33.67,17.87,17.87,1,0,100,,2,60,3.2,38.36,6.9,17,19,19,27,36,36,34.84,23.5,265.47,0.67,2.15,1.81,100.48,2.08,6.28,0.14,0.01,0.01,-0.01,,,,,,,,
Tank Dell,,0,WR,WR3,5400,HOU,vs BUF,4,24.25,10.2,17.4,7.5,0,0,0,0,0,0.1023,2.63,15.9,0,12.28,0.2267,9.65,5.62,73.18,0.55,0,0,0,0,0,0,17.83,17.83,0,2.53,38.23,17.83,17.83,45,0,100,,116,32,3.3,7.3,1.4,27,9,9,29,37,37,,,,,0.08,,,1.23,6.62,,7.08,4.31,62.15,0.54,,,,,,,
Chris Godwin,,0,WR,WR2,6800,TB,@ ATL,2,20.75,9.1,12.7,20,0,0,0,0,0,0,0,0,0,9.43,0.2655,9.43,6.63,80.96,0.46,0,0,0,0,0,0,17.49,17.49,0,3.84,35.69,17.49,17.49,33,0,100,,83,38,2.6,11.6,1.7,13,10,10,15,38,38,0.01,,,,,,0.02,0.11,0.67,0.02,7.36,5.2,65.53,0.35,,,,,,,
Aaron Jones,,0,RB,RB1,6700,MIN,vs NYJ,19,22.25,10.4,13.2,19.1,0,0,0,0,0,0.5223,12.4,62.02,0.41,18.12,0.1446,5.72,4.38,30.72,0.23,0,0,0,0,0,0,17.49,17.49,0,1.89,38.29,17.49,17.49,40,0,100,,122,35,2.6,6.3,0.9,12,10,10,16,38,38,,,,,,,,12.61,63.16,0.49,3.87,2.91,22.28,0.2,,,,,,,
Bo Nix,,0,QB,QB1,5000,DEN,vs LV,23,19.5,4.6,0,12.4,1,31.63,197.14,1.12,0.85,0.2519,7.18,31.27,0.45,7.18,0,0,0,0,0,0,0,0,0,0,0,17.34,17.34,0,10.44,26.54,17.34,17.34,9,0,100,,23,63,3.5,23.14,4.6,23,20,20,33,39,39,34.5,20.75,165,1,1,0.25,63.28,5.75,27.5,0.5,,,,,,,,,,,
Terry McLaurin,,0,WR,WR1,6100,WAS,vs CLE,8,23.25,7.7,12.1,13.3,0,0,0,0,0,0,0,0,0,10.11,0.2515,10.11,6.27,84.44,0.43,0,0,0,0,0,0,17.29,17.29,0,5.74,32.69,17.29,17.29,16,0,100,,43,44,2.8,17.4,2.9,20,11,11,22,40,40,,,,,,,,0.12,0.85,,7.56,4.73,65.17,0.32,,,,,,,
Gardner Minshew,,0,QB,QB1,5100,LV,@ DEN,14,16.5,7.8,13.7,11.7,1,36.7,255.95,1.34,0.64,0.2136,4.51,15.97,0.12,4.51,0,0,0,0,0,0,0,0,0,0,0,17.28,17.28,0,5.58,32.88,17.28,17.28,23,0,100,,99,48,3.4,9.68,1.9,22,21,21,32,41,41,30.31,19.18,212.04,0.53,2.31,1.22,88.11,3.04,12.49,0.1,0.02,0.02,,,,,,,,,
Jakobi Meyers,,0,WR,WR1,5500,LV,@ DEN,10,16.5,6.6,13.7,11.9,0,0,0,0,0,0,0,0,0,10.02,0.2729,10.02,6.84,78.59,0.4,0,0,0,0,0,0,17.1,17.1,0,7.2,30.3,17.1,17.1,25,0,100,,69,43,3.1,13.2,2.4,26,12,12,28,42,42,0.1,0.08,1.37,,,0.04,9.79,0.14,0.47,0.03,6.52,4.45,51.59,0.23,,,,,,,
Mike Evans,,0,WR,WR1,7100,TB,@ ATL,2,20.75,10.2,17.1,14.3,0,0,0,0,0,0,0,0,0,9.09,0.2559,9.09,5.28,77.28,0.68,0,0,0,0,0,0,17.09,17.09,0,1.79,37.49,17.09,17.09,11,0,100,,22,40,2.4,23.2,3.3,10,13,13,12,43,43,,,,,,,,0.01,0.07,,8.57,4.98,75.84,0.59,,,,,,,
Brock Bowers,,0,TE,TE1,5500,LV,@ DEN,10,16.5,5.3,0,10.7,0,0,0,0,0,0,0,0,0,9.98,0.2719,9.98,7.47,79.73,0.27,0,0,0,0,0,0,17.06,17.06,0,9.11,27.66,17.06,17.06,2,0,100,,20,50,3.1,23.7,4.3,4,2,2,28,44,44,,,,,,,,0.25,3,,6,5,54,,,,,,,,
DK Metcalf,,0,WR,WR1,7000,SEA,vs NYG,24,24.75,8.6,14.7,20.1,0,0,0,0,0,0,0,0,0,9,0.2475,9,5.42,78.66,0.61,0,0,0,0,0,0,16.95,16.95,0,4.05,34.15,16.95,16.95,41,0,100,,108,43,2.4,8.5,1.2,11,14,14,13,45,45,,,,,,,,0.03,0.19,,7.6,4.63,67.24,0.52,,,,,,,
Chuba Hubbard,,0,RB,RB1,6100,CAR,@ CHI,11,18,7,10.9,17.3,0,0,0,0,0,0.6741,19.35,79.82,0.43,23.25,0.1047,3.9,3.32,24.25,0.1,0,0,0,0,0,0,16.91,16.91,0,6.41,30.91,16.91,16.91,7,0,100,,38,27,2.8,18.5,3,18,11,11,22,46,46,,,,,,,,10.98,44.63,0.25,2.2,1.78,12.98,0.04,,,,,,,
Diontae Johnson,,0,WR,WR1,6100,CAR,@ CHI,6,18,7.5,11.7,14.7,0,0,0,0,0,0,0,0,0,10.24,0.2748,10.24,6.08,75.34,0.55,0,0,0,0,0,0,16.91,16.91,0,5.66,31.91,16.91,16.91,49,0,100,,125,43,2.8,5.9,1,20,15,15,22,46,46,,,,,,,,0.23,1.65,,8.37,5.07,56.83,0.33,,,,,,,
Najee Harris,,0,RB,RB1,5800,PIT,vs DAL,25,23.25,7.3,11.9,10.3,0,0,0,0,0,0.5952,19.18,73.84,0.46,24.21,0.1441,5.03,3.85,23.05,0.1,0,0,0,0,0,0,16.9,16.9,0,5.95,31.5,16.9,16.9,30,0,100,,98,49,2.9,9.7,1.7,21,12,12,25,47,47,0.02,0.02,0.07,,,,1.51,16.4,63.65,0.4,3.64,2.8,17.27,0.11,,,,,,,
Daniel Jones,,0,QB,QB1,5200,NYG,@ SEA,8,17.75,9,11.2,13.8,1,31.67,212.42,0.92,0.66,0.3128,7.72,39.89,0.23,7.72,0,0,0,0,0,0,0,0,0,0,0,16.89,16.89,0,3.39,34.89,16.89,16.89,12,0,100,,27,45,3.2,22.08,4.2,21,22,22,31,48,48,31.94,20.5,209.27,0.67,2.94,1.03,85.45,5.55,31,0.2,0.02,0.02,0.25,,,,,,,,
Deebo Samuel,,0,WR,WR1,6800,SF,vs ARI,1,28,9.1,16.8,16.6,0,0,0,0,0,0,0,0,0,8.58,0.259,8.58,5.68,85.91,0.43,0,0,0,0,0,0,16.85,16.85,0,3.2,35.05,16.85,16.85,64,0,100,,151,43,2.5,3,0.4,13,16,16,15,49,49,0.04,0.01,0.33,,0.01,0.01,2.78,2.47,15.78,0.28,6.54,4.29,62.1,0.26,,,,,,,
Chris Olave,,0,WR,WR1,6500,NO,@ KC,16,18.75,6.3,15.4,13.3,0,0,0,0,0,0,0,0,0,9.16,0.2373,9.16,6.3,82.44,0.38,0,0,0,0,0,0,16.82,16.82,0,7.37,29.42,16.82,16.82,64,0,100,,151,57,2.6,3,0.5,16,17,17,18,50,50,,,,,,,,0.03,0.2,,8.03,5.11,69.43,0.29,,,,,,,
Drake London,,0,WR,WR1,6300,ATL,vs TB,30,23.25,7,11.3,13,0,0,0,0,0,0,0,0,0,10.15,0.2667,10.15,6.3,78.48,0.44,0,0,0,0,0,0,16.79,16.79,0,6.29,30.79,16.79,16.79,2,0,100,,5,38,2.7,36.4,5.8,18,18,18,20,51,51,0.03,0.03,0.59,,,,4.79,,,,6.95,4.35,53.27,0.22,,,,,,,
George Kittle,,0,TE,TE1,5600,SF,vs ARI,1,28,9.5,13.3,14.4,0,0,0,0,0,0,0,0,0,7.61,0.2297,7.61,5.56,79.45,0.48,0,0,0,0,0,0,16.39,16.39,0,2.14,35.39,16.39,16.39,3,0,100,,32,31,2.9,20.4,3.6,3,3,3,27,52,52,,,,,,,,0.12,0.68,,6.43,4.64,62.56,0.38,,,,,,,
Dalton Kincaid,,0,TE,TE1,5300,BUF,@ HOU,13,23.25,5.4,9.5,8.1,0,0,0,0,0,0,0,0,0,9.83,0.2539,9.83,7.38,72.04,0.3,0,0,0,0,0,0,16.38,16.38,0,8.28,27.18,16.38,16.38,25,0,100,,130,41,3.1,5.4,1,5,4,4,30,53,53,,,,,,,,,,,5.45,4.3,40.25,0.15,,,,,,,
Andy Dalton,,0,QB,QB1,5400,CAR,@ CHI,6,18,7.9,13.3,14.8,1,37.27,251.76,1.54,0.83,0.0637,1.83,5.53,0.07,1.83,0,0,0,0,0,0,0,0,0,0,0,16.37,16.37,0,4.52,32.17,16.37,16.37,28,0,100,,136,51,3,4.74,0.9,19,23,23,29,54,54,31.97,20.17,227.01,0.74,2.14,1.42,88.56,2.54,8.03,0.1,0.02,0.02,-0.07,,,,,,,,
D'Andre Swift,,0,RB,RB1,5700,CHI,vs CAR,32,22,7.8,12.9,12.2,0,0,0,0,0,0.5897,21.44,90.57,0.68,23.72,0.0726,2.28,1.71,11.92,0.05,0,0,0,0,0,0,16.34,16.34,0,4.64,31.94,16.34,16.34,3,0,100,,33,45,2.9,20,3.5,22,13,13,26,55,55,0.02,,,,,,0.66,10.77,48.17,0.4,4.52,3.47,25.5,0.13,,,,,,,
Austin Ekeler,,0,RB,RB2,5600,WAS,vs CLE,18,23.25,9.7,13.7,11.8,0,0,0,0,0,0.3268,7.42,31.65,0.29,13.82,0.1593,6.4,5.07,45.92,0.26,0,0,0,0,0,0,16.13,16.13,0,1.58,35.53,16.13,16.13,24,0,100,,82,42,2.9,11.7,2.1,23,14,14,27,56,56,,,,,,,,9.62,42.68,0.39,5.43,4.31,38.63,0.29,,,,,,,
Amari Cooper,,0,WR,WR1,6200,CLE,@ WAS,32,20.25,11.1,16.2,10.7,0,0,0,0,0,0,0,0,0,8.85,0.2182,8.85,5.26,75.77,0.54,0,0,0,0,0,0,16.08,16.08,0,0,38.28,16.08,16.08,37,0,100,,96,24,2.6,10,1.6,19,19,19,21,57,57,0.01,,,0.01,,,,0.1,0.28,,7.75,4.71,66.19,0.43,,,,,,,
