,,,,,,,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,,,,,,,,Position Rankings,,,,,,,Overall Rankings,,,,,,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
Joe Burrow,,0,QB,QB1,7200,CIN,vs DEN,28,26.75,8.9,16.3,23.6,1,38.79,302.72,2.58,0.7,0.1349,3.33,12.88,0.13,3.33,0,0,0,0,0,0,0,0,0,0,0,23.8,23.8,0,10.45,41.6,23.8,23.8,1,5,7,7,0,100,,2,15,10,10,59,3.3,39.98,5.6,36.6,24.96,273.31,0.67,2.76,2.03,101.01,3.28,11.67,0.16,,,,,,,,,,,
Justin Jefferson,,0,WR,WR1,8300,MIN,vs GB,12,25,10.8,21.8,20.5,0,0,0,0,0,0,0,0,0,12.08,0.345,12.08,8.33,113.1,0.63,0,0,0,0,0,0,23.42,23.42,0,7.22,45.02,23.42,23.42,40,2,2,2,0,100,,90,4,11,11,49,2.8,0,,0.11,0.07,1.21,,,,9.61,0.17,0.41,0.01,9.45,6.45,97.15,0.53,,,,,,,
JaMarr Chase,,0,WR,WR1,8400,CIN,vs DEN,10,26.75,13.3,17.4,24.7,0,0,0,0,0,0,0,0,0,10.88,0.2806,10.88,7.56,100.61,0.9,0,0,0,0,0,0,23.02,23.02,0,3.07,49.62,23.02,23.02,6,1,3,3,0,100,,14,3,12,12,35,2.7,22.2,2.6,0.02,0.02,-0.12,,0.02,,0.94,0.3,0.92,,9.22,6.27,87.12,0.75,,,,,,,
Josh Jacobs,,0,RB,RB1,8100,GB,@ MIN,5,24,8.8,14.5,18.8,0,0,0,0,0,0.7961,27.11,115.6,1.18,29.99,0.1024,2.88,2.31,18.57,0.02,0,0,0,0,0,0,22.93,22.93,0,9.73,40.53,22.93,22.93,27,4,3,3,0,100,,90,6,13,13,48,2.8,0,,,,,,0.01,,,17.99,76.82,0.67,3.38,2.64,20.32,0.01,,,,,,,
Bo Nix,,0,QB,QB1,6200,DEN,@ CIN,27,23.25,6.5,0,18.4,1,39.29,273.15,1.76,0.85,0.263,8.09,34.95,0.3,8.09,0,0,0,0,0,0,0,0,0,0,0,22.41,22.41,0,12.66,35.41,22.41,22.41,5,11,8,8,0,100,,12,25,14,14,65,3.6,22.86,3.7,33.8,21.73,215.67,0.73,1.47,1.47,88.01,5.2,23.47,0.27,0.07,0.07,0.13,0.07,,,,,,,
Brock Purdy,,0,QB,QB1,6300,SF,vs DET,23,23.5,8.3,20.2,18.7,1,30.8,256.92,1.5,0.74,0.2817,8.74,36.13,0.53,8.74,0,0,0,0,0,0,0,0,0,0,0,22.33,22.33,0,9.88,38.93,22.33,22.33,16,10,9,9,0,100,,90,24,15,15,53,3.5,0,,26.54,17.85,234.46,0.64,1.46,1.56,81.64,3.18,12,0.18,,,,,,,,,,,
Geno Smith,,0,QB,QB1,5500,SEA,@ CHI,12,23,8.4,16.7,17.4,1,39.14,305.13,1.67,0.92,0.276,7.02,31.44,0.19,7.02,0,0,0,0,0,0,0,0,0,0,0,22.25,22.25,0,9.65,39.05,22.25,22.25,10,17,10,10,0,100,,41,32,16,16,45,4,8.3,1.5,29.43,19.97,216.16,0.62,2.39,1.25,89.65,2.95,14.05,0.08,0.02,0.02,-0.03,,,,,,,,
Nico Collins,,0,WR,WR1,8300,HOU,vs BAL,3,20.25,9.9,18.4,19.9,0,0,0,0,0,0,0,0,0,11.49,0.3112,11.49,7.5,108.08,0.65,0,0,0,0,0,0,22.21,22.21,0,7.36,42.01,22.21,22.21,14,2,4,4,0,100,,39,4,17,17,26,2.7,8.9,1.1,,,,,,,,0.02,0.14,,6.61,4.29,63.94,0.35,,,,,,,
Joe Mixon,,0,RB,RB1,7700,HOU,vs BAL,8,20.25,9.4,15.9,21,0,0,0,0,0,0.7758,20.67,83.66,0.73,26.7,0.1632,6.03,4.71,36.42,0.18,0,0,0,0,0,0,22.18,22.18,0,8.08,40.98,22.18,22.18,11,6,4,4,0,100,,53,10,18,18,43,2.9,5.9,0.8,0.01,,,,,,0.02,16.53,67.7,0.55,3.61,2.9,22.29,0.13,,,,,,,
Terry McLaurin,,0,WR,WR1,7200,WAS,vs ATL,2,25,7.8,12.1,17.5,0,0,0,0,0,0,0,0,0,10.75,0.3048,10.75,7.21,98.83,0.8,0,0,0,0,0,0,21.89,21.89,0,10.19,37.49,21.89,21.89,40,8,5,5,0,100,,90,15,19,19,46,3,0,,,,,,,,,0.13,0.77,,7.42,4.75,66.44,0.39,,,,,,,
Patrick Mahomes,,0,QB,QB1,6500,KC,@ PIT,5,23.75,8.4,19.3,18.3,1,38.38,283.07,2.05,0.66,0.1174,3.84,20.47,0.14,3.84,0,0,0,0,0,0,0,0,0,0,0,21.75,21.75,0,9.15,38.55,21.75,21.75,3,8,11,11,0,100,,7,22,20,20,65,3.3,29,4.5,37.24,24.75,288.89,0.67,1.66,2.21,102.89,4,20.7,0.14,0.04,0.02,0.07,,,,,,,,
Bijan Robinson,,0,RB,RB1,8200,ATL,@ WAS,18,21.5,7.7,15.2,19.7,0,0,0,0,0,0.6622,21.43,98.77,0.75,25.94,0.1377,4.51,3.73,27.55,0.11,0,0,0,0,0,0,21.52,21.52,0,9.97,36.92,21.52,21.52,27,3,5,5,0,100,,90,5,21,21,55,2.6,0,,,,,,,,,14.78,67.88,0.44,4.59,3.53,28.16,0.16,,,,,,,
Jaxon Smith-Njigba,,0,WR,WR2,6200,SEA,@ CHI,6,23,8,8.8,16.7,0,0,0,0,0,0,0,0,0,11.51,0.2942,11.51,8.46,94.12,0.56,0,0,0,0,0,0,21.23,21.23,0,9.23,37.23,21.23,21.23,23,16,6,6,0,100,,52,25,22,22,36,3.4,6.2,1,0.03,0.03,1.09,,,,7.23,0.13,0.69,,6.84,4.88,53.66,0.31,,,,,,,
Jonathan Taylor,,0,RB,RB1,7900,IND,@ NYG,26,24,10.4,15.9,17.6,0,0,0,0,0,0.7567,22.58,110.86,0.86,25.86,0.087,3.28,2.38,16.86,0.15,0,0,0,0,0,0,21.21,21.21,0,5.61,42.01,21.21,21.21,27,5,6,6,0,100,,90,8,23,23,43,2.7,0,,,,,,,,,17.88,87.86,0.74,2.77,2.12,16.57,0.08,,,,,,,
Puka Nacua,,0,WR,WR1,8000,LAR,vs ARI,1,27.25,10.3,18.8,19.6,0,0,0,0,0,0,0,0,0,11.32,0.2958,11.32,8.14,102.24,0.4,0,0,0,0,0,0,20.76,20.76,0,5.31,41.36,20.76,20.76,4,3,7,7,0,100,,9,7,24,24,46,2.6,25.9,3.2,,,,,,,,0.85,5,0.04,9.3,6.44,86.93,0.33,,,,,,,
Kyren Williams,,0,RB,RB1,7500,LAR,vs ARI,24,27.25,9.9,22.9,18.1,0,0,0,0,0,0.7706,24.14,105.34,1.02,26.79,0.0691,2.65,2.08,11.84,0.13,0,0,0,0,0,0,20.7,20.7,0,5.85,40.5,20.7,20.7,2,8,7,7,0,100,,20,12,25,25,40,2.8,16.2,2.2,,,,,,,,16.17,72.17,0.71,2.77,2.06,12.8,0.14,,,,,,,
Brian Thomas Jr,,0,WR,WR1,6800,JAC,vs TEN,31,20,9,0,16.8,0,0,0,0,0,0,0,0,0,10.57,0.3191,10.57,6.86,92.85,0.73,0,0,0,0,0,0,20.53,20.53,0,7.03,38.53,20.53,20.53,40,11,8,8,0,100,,90,19,26,26,46,3,0,,,,,,,,,0.33,2,,7.47,4.87,72.53,0.6,,,,,,,
Courtland Sutton,,0,WR,WR1,6300,DEN,@ CIN,7,23.25,6.9,12.1,15.2,0,0,0,0,0,0,0,0,0,11.95,0.3041,11.95,7.17,94.21,0.65,0,0,0,0,0,0,20.49,20.49,0,10.14,34.29,20.49,20.49,7,15,9,9,0,100,,19,24,27,27,40,3.3,16.5,2.6,0.04,0.04,0.88,,,0.01,10.33,0.05,0.22,,6.63,3.89,54.42,0.31,,,,,,,
Rachaad White,,0,RB,RB2,5700,TB,vs CAR,31,28.5,6.8,16.2,14.2,0,0,0,0,0,0.3922,10.88,44.45,0.25,18.23,0.1707,7.35,6.52,47.79,0.54,0,0,0,0,0,0,20.48,20.48,0,10.28,34.08,20.48,20.48,27,22,8,8,0,100,,90,30,28,28,48,3.6,0,,,,,,,,,11.47,43.7,0.21,3.91,3.49,26.15,0.23,,,,,,,
Tee Higgins,,0,WR,WR2,6900,CIN,vs DEN,10,26.75,9.4,12,17.6,0,0,0,0,0,0,0,0,0,11.11,0.2864,11.11,7.01,93.05,0.69,0,0,0,0,0,0,20.46,20.46,0,6.36,39.26,20.46,20.46,1,10,10,10,0,100,,1,18,29,29,38,3,44.1,6.4,,,,,,,,0.08,0.43,,7.62,4.85,67.86,0.48,,,,,,,
De'Von Achane,,0,RB,RB1,7700,MIA,@ CLE,32,18.25,12.1,18.5,18.6,0,0,0,0,0,0.5446,13.89,67.56,0.5,19.99,0.1864,6.1,5.28,34.01,0.33,0,0,0,0,0,0,20.42,20.42,0,2.27,44.62,20.42,20.42,27,6,9,9,0,100,,90,10,30,30,35,2.7,0,,,,,,0.04,,,10.96,60.04,0.5,4.69,3.96,29.85,0.35,,,,,,,
Russell Wilson,,0,QB,QB1,5500,PIT,vs KC,13,22.25,8,18.4,17.2,1,33.2,265.23,1.74,0.59,0.1418,4.88,23.18,0.12,4.88,0,0,0,0,0,0,0,0,0,0,0,20.02,20.02,0,8.02,36.02,20.02,20.02,7,17,12,12,0,100,,16,32,31,31,60,3.6,18.7,3.4,31.33,20.36,240.19,0.57,2.9,1.85,101.4,4.74,23.87,0.12,0.03,0.03,0.03,0.01,,,,,,,
Chase Brown,,0,RB,RB1,7600,CIN,vs DEN,3,26.75,9,4.5,16.4,0,0,0,0,0,0.7972,19.68,85.41,0.57,24.05,0.1127,4.37,3.65,26.51,0.29,0,0,0,0,0,0,20,20,0,6.5,38,20,20,4,7,10,10,0,100,,27,11,32,32,19,2.6,13.1,1.7,,,,,,,,9.37,40.81,0.26,2.81,2.37,18.22,0.19,,,,,,,
Zay Flowers,,0,WR,WR1,6400,BAL,@ HOU,13,26.75,7.6,13.1,14.4,0,0,0,0,0,0,0,0,0,11.38,0.3477,11.38,7.55,98.07,0.42,0,0,0,0,0,0,19.88,19.88,0,8.48,35.08,19.88,19.88,24,14,11,11,0,100,,55,23,33,33,45,3.1,5.1,0.8,,,,,,,,0.52,3.32,0.03,7,4.77,60.45,0.29,,,,,,,
Bucky Irving,,0,RB,RB1,6700,TB,vs CAR,31,28.5,7.8,0,14.1,0,0,0,0,0,0.4655,12.92,70.77,0.56,18.35,0.1261,5.43,5.3,41.34,0,0,0,0,0,0,0,19.87,19.87,0,8.17,35.47,19.87,19.87,27,13,11,11,0,100,,90,20,34,34,45,3,0,,,,,,,,,11.2,61.27,0.47,2.87,2.73,21.33,,,,,,,,
J.K. Dobbins,,0,RB,RB1,5800,LAC,@ NE,14,23.75,7.2,11.7,15.6,0,0,0,0,0,0.5941,18.2,92.23,0.93,22.14,0.1172,3.94,3.12,16.28,0.04,0,0,0,0,0,0,19.79,19.79,0,8.99,34.19,19.79,19.79,3,21,12,12,0,100,,23,29,35,35,43,3.4,15.3,2.6,,,,,,,,11.2,60.37,0.57,1.97,1.57,8.89,0.03,,,,,,,
Justin Herbert,,0,QB,QB1,5900,LAC,@ NE,20,23.75,8.4,19.3,16.1,1,33.59,260.75,1.55,0.46,0.1713,5.25,21.83,0.23,5.25,0,0,0,0,0,0,0,0,0,0,0,19.73,19.73,0,7.13,36.53,19.73,19.73,4,13,13,13,0,100,,10,28,36,36,59,3.3,24.44,4.1,37.04,24.56,265.78,0.58,2.21,1.71,96.84,3.71,15.12,0.17,0.04,0.04,,,,,,,,,
Drake Maye,,0,QB,QB1,5800,NE,vs LAC,7,17.75,5.6,0,16.6,1,34.03,233.14,1.43,1.06,0.1886,5.29,42.09,0.24,5.29,0,0,0,0,0,0,0,0,0,0,0,19.63,19.63,0,11.23,30.83,19.63,19.63,8,14,14,14,0,100,,32,29,37,37,66,3.4,10.88,1.9,28.73,19.45,196.18,0.91,2.64,1.27,84.52,4.36,35.36,0.18,,,,,,,,,,,
Jared Goff,,0,QB,QB1,6800,DET,@ SF,2,27,8.7,18.9,21,1,31.66,257.44,1.97,0.61,0.1162,4.25,8.43,0.15,4.25,0,0,0,0,0,0,0,0,0,0,0,19.31,19.31,0,6.26,36.71,19.31,19.31,16,7,15,15,0,100,,90,19,38,38,52,2.8,0,,34.77,22.7,261.56,0.69,1.86,1.65,97.12,2.05,4.17,0.09,0.02,0.02,0.09,0.01,,,,,,,
Matthew Stafford,,0,QB,QB1,5700,LAR,vs ARI,3,27.25,7.1,17.9,14.8,1,38.28,298.79,1.85,0.74,0.0635,1.99,5.66,0.02,1.99,0,0,0,0,0,0,0,0,0,0,0,19.3,19.3,0,8.65,33.5,19.3,19.3,9,15,16,16,0,100,,38,30,39,39,61,3.4,9.16,1.6,34.94,22.94,262.83,0.71,2.37,1.7,97.1,1.91,6,0.03,0.01,0.01,-0.04,,,,,,,,
Malik Nabers,!,0,WR,WR1,6600,NYG,vs IND,14,16.5,7.2,0,17.4,0,0,0,0,0,0,0,0,0,14.18,0.3922,14.18,8.79,84.35,0.33,0,0,0,0,0,0,19.21,19.21,0,8.41,33.61,19.21,19.21,40,12,12,12,0,100,,90,21,40,40,59,2.9,0,,0.08,,,,,,0.16,0.38,0.15,,11.85,7.46,74.54,0.31,,,,,,,
James Cook,,0,RB,RB1,7200,BUF,vs NYJ,28,27.75,9.1,14.3,18.5,0,0,0,0,0,0.505,16.37,86.15,0.88,19.09,0.0812,2.72,2.19,17.72,0.17,0,0,0,0,0,0,18.88,18.88,0,5.23,37.08,18.88,18.88,27,11,13,13,0,100,,90,15,41,41,30,2.6,0,,,,,,,,,10.81,54.4,0.38,2.66,2.06,18.79,0.15,,,,,,,
Mason Rudolph,,0,QB,QB1,5000,TEN,@ JAC,14,19,7,10.1,14.9,1,33.14,242.03,1.64,1.18,0.2793,7.73,24.7,0.2,7.73,0,0,0,0,0,0,0,0,0,0,0,18.73,18.73,0,8.23,32.73,18.73,18.73,16,22,17,17,0,100,,90,37,42,42,37,3.7,0,,24.85,15.81,167.38,0.73,1.12,1.04,82.32,2.38,6.77,0.04,,,,,,,,,,,
Davante Adams,!,0,WR,WR1,7100,NYJ,@ BUF,4,17.75,11.2,16.1,18.3,0,0,0,0,0,0,0,0,0,9.69,0.2894,9.69,6.17,77.6,0.76,0,0,0,0,0,0,18.49,18.49,0,1.69,40.89,18.49,18.49,40,9,13,13,0,100,,90,16,43,43,41,2.6,0,,0.01,0.01,0.22,,0.01,,1.48,0.02,-0.01,,9.68,6.22,77.69,0.69,,,,,,,
Amon-Ra St. Brown,,0,WR,WR1,7700,DET,@ SF,29,27,10.3,22.4,19.7,0,0,0,0,0,0,0,0,0,9.36,0.2957,9.36,7.26,79.07,0.53,0,0,0,0,0,0,18.35,18.35,0,2.9,38.95,18.35,18.35,40,5,14,14,0,100,,90,10,44,44,44,2.4,0,,0.02,0.02,0.11,,0.02,0.02,7.11,0.35,2.95,0.02,8.79,6.6,74.83,0.51,,,,,,,
C.J. Stroud,,0,QB,QB1,6000,HOU,vs BAL,9,20.25,8,20.2,15.3,1,36.93,270.21,1.52,0.75,0.1502,4,17.36,0.07,4,0,0,0,0,0,0,0,0,0,0,0,18.29,18.29,0,6.29,34.29,18.29,18.29,12,12,18,18,0,100,,48,27,45,45,55,3,7.1,1.2,33.13,21.07,253.33,0.53,2.83,1.4,93.32,3,13.1,0.1,0.07,0.03,,,,,,,,,
Kyler Murray,,0,QB,QB1,6000,ARI,@ LAR,21,20.75,8.2,18.9,18,1,32.73,233.09,1.15,0.7,0.1961,5.02,30.77,0.33,5.02,0,0,0,0,0,0,0,0,0,0,0,18.28,18.28,0,5.98,34.68,18.28,18.28,6,12,19,19,0,100,,15,27,46,46,61,3,21.04,3.5,33.71,22.58,236.69,0.69,2.19,1.38,94.28,6.2,37.08,0.39,,,0.09,,,,,,,,
DK Metcalf,,0,WR,WR1,5600,SEA,@ CHI,6,23,8.4,14.7,13.9,0,0,0,0,0,0,0,0,0,10.14,0.2591,10.14,6.13,85.57,0.58,0,0,0,0,0,0,18.17,18.17,0,5.57,34.97,18.17,18.17,19,22,15,15,0,100,,47,31,47,47,42,3.2,7.2,1.3,,,,,,,,0.03,0.18,,7.56,4.57,66.47,0.49,,,,,,,
Brock Bowers,,0,TE,TE1,6700,LV,@ NO,23,19.75,8.9,0,15.9,0,0,0,0,0,0,0,0,0,11.01,0.2662,11.01,7.92,82.72,0.31,0,0,0,0,0,0,18.05,18.05,0,4.7,35.85,18.05,18.05,19,1,1,1,0,100,,90,20,48,48,44,2.7,0,,,,,,,,,0.27,0.93,,9.13,6.73,71.13,0.27,,,,,,,
Caleb Williams,,0,QB,QB1,5700,CHI,vs SEA,24,19,8.5,0,17.2,1,33.61,236.67,1.35,0.23,0.2081,5.7,33.3,0,5.7,0,0,0,0,0,0,0,0,0,0,0,17.97,17.97,0,5.22,34.97,17.97,17.97,11,15,20,20,0,100,,45,30,49,49,51,3.2,7.58,1.3,33.67,20.93,218.07,0.33,3.93,1.27,90.11,4.93,29.07,,,,,,,,,,,,
Zach Charbonnet,,0,RB,RB1,6000,SEA,@ CHI,25,23,8.1,6.6,11.4,0,0,0,0,0,0.5605,14.26,64.45,0.89,18.66,0.1125,4.4,3.51,23.61,0.03,0,0,0,0,0,0,17.84,17.84,0,5.69,34.04,17.84,17.84,6,19,14,14,0,100,,33,27,50,50,9,3,10.6,1.8,,,,,,,,6.94,29.68,0.29,2.87,2.32,16.06,0.03,,,,,,,
Josh Downs,,0,WR,WR2,4800,IND,@ NYG,24,24,6.7,9.4,13.5,0,0,0,0,0,0,0,0,0,11.02,0.2925,11.02,7.05,79.11,0.47,0,0,0,0,0,0,17.78,17.78,0,7.73,31.18,17.78,17.78,40,30,16,16,0,100,,90,39,51,51,40,3.7,0,,,,,,,,,0.03,0.41,,6.52,4.38,50.28,0.24,,,,,,,
Jordan Love,,0,QB,QB1,6200,GB,@ MIN,26,24,8.8,19.9,17.8,1,28.08,231,1.72,0.63,0.0945,3.22,12.21,0.17,3.22,0,0,0,0,0,0,0,0,0,0,0,17.73,17.73,0,4.53,35.33,17.73,17.73,16,11,21,21,0,100,,90,25,52,52,42,2.9,0,,26.13,16.6,197.5,0.63,1.1,1.48,91.55,2.18,8.75,0.13,,,,,,,,,,,
George Kittle,,0,TE,TE1,6000,SF,vs DET,11,23.5,9.4,13.3,17.1,0,0,0,0,0,0,0,0,0,7.94,0.2577,7.94,5.93,85.32,0.54,0,0,0,0,0,0,17.7,17.7,0,3.6,36.5,17.7,17.7,19,3,2,2,0,100,,90,27,53,53,33,3,0,,,,,,,,,0.11,0.62,,6.45,4.7,64.14,0.39,,,,,,,
Tyjae Spears,,0,RB,RB1,5400,TEN,@ JAC,29,19,6.5,9,9.1,0,0,0,0,0,0.5765,15.95,59.03,0.94,19.71,0.1134,3.76,2.99,23.93,0.11,0,0,0,0,0,0,17.59,17.59,0,7.84,30.59,17.59,17.59,27,25,15,15,0,100,,90,33,54,54,29,3.3,0,,,,,,,,,5.86,23.93,0.21,3.61,2.82,21.46,0.07,,,,,,,
Jakobi Meyers,,0,WR,WR1,6000,LV,@ NO,23,19.75,6.6,13.7,13.8,0,0,0,0,0,0,0,0,0,11.08,0.2679,11.08,7.42,84.22,0.29,0,0,0,0,0,0,17.58,17.58,0,7.68,30.78,17.58,17.58,40,18,17,17,0,100,,90,27,55,55,45,2.9,0,,0.09,0.07,1.22,,0.01,0.04,8.71,0.13,0.66,0.02,6.82,4.62,53.76,0.22,,,,,,,
Jordan Addison,,0,WR,WR2,6300,MIN,vs GB,12,25,10,13.4,15.3,0,0,0,0,0,0,0,0,0,8.66,0.2473,8.66,5.76,72.88,0.71,0,0,0,0,0,0,17.31,17.31,0,2.31,37.31,17.31,17.31,40,15,18,18,0,100,,90,24,56,56,30,2.7,0,,,,,,,,,0.13,0.73,0.03,6.43,4.2,57.23,0.6,,,,,,,
James Conner,,0,RB,RB1,7400,ARI,@ LAR,7,20.75,10.1,16.4,18,0,0,0,0,0,0.614,15.73,70.91,0.66,19.31,0.1094,3.58,3.03,24.56,0.12,0,0,0,0,0,0,17.26,17.26,0,2.11,37.46,17.26,17.26,17,9,16,16,0,100,,68,13,57,57,34,2.3,2.8,0.4,,,,,,,,13.05,57.36,0.57,3.22,2.68,21.28,0.11,,,,,,,
Jauan Jennings,,0,WR,WR2,5800,SF,vs DET,11,23.5,8.6,4.3,14.4,0,0,0,0,0,0,0,0,0,9.24,0.2999,9.24,5.93,78.4,0.58,0,0,0,0,0,0,17.25,17.25,0,4.35,34.45,17.25,17.25,40,20,19,19,0,100,,90,29,58,58,0,3,0,,,,,,,,,,,,4.09,2.61,33.69,0.24,,,,,,,
Ladd McConkey,,0,WR,WR1,6600,LAC,@ NE,22,23.75,7.2,0,14.6,0,0,0,0,0,0,0,0,0,8.35,0.2487,8.35,6.36,85.26,0.39,0,0,0,0,0,0,17.23,17.23,0,6.43,31.63,17.23,17.23,3,12,20,20,0,100,,6,21,59,59,51,2.6,29.4,4.5,,,,,,,,,,,6.71,4.93,68.57,0.36,,,,,,,
A.J. Brown,,0,WR,WR1,7800,PHI,vs DAL,9,22.75,10.3,18.4,18.3,0,0,0,0,0,0,0,0,0,9.42,0.3601,9.42,6.19,82.89,0.44,0,0,0,0,0,0,17.12,17.12,0,1.67,37.72,17.12,17.12,40,4,21,21,0,100,,90,9,60,60,39,2.2,0,,0.02,,,,,,0.86,0.07,0.86,0.01,7.62,4.87,76.65,0.52,,,,,,,
Deebo Samuel,,0,WR,WR1,5700,SF,vs DET,11,23.5,9.3,16.8,10.9,0,0,0,0,0,0.1511,4.69,25,0.35,11.65,0.2261,6.96,4.5,63.29,0.26,0,0,0,0,0,0,16.99,16.99,0,3.04,35.59,16.99,16.99,40,21,22,22,0,100,,90,30,61,61,38,3,0,,0.04,0.01,0.29,,0.01,0.01,2.41,2.47,14.81,0.24,6.36,4.14,59.25,0.25,,,,,,,
Aidan O'Connell,,0,QB,QB1,5100,LV,@ NO,16,19.75,6.8,12.3,9.7,1,41.35,287.04,1.19,0.7,0.1118,2.77,3.02,0.19,2.77,0,0,0,0,0,0,0,0,0,0,0,16.98,16.98,0,6.78,30.58,16.98,16.98,16,21,22,22,0,100,,90,36,62,62,40,3.3,0,,28.72,17.94,187.44,0.56,1.83,0.89,82.34,1.72,1.61,0.11,,,,,,,,,,,
