,,,,,,,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,,,,,,,,Position Rankings,,,,Overall Rankings,,,,,Position Rankings,,,Overall Rankings,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
Dak Prescott,,0,QB,QB1,6300,DAL,@ ATL,20,24.5,9.1,21.7,17,1,39.21,298.89,2,0.83,0.1409,3.84,16.43,0.25,3.84,0,0,0,0,0,0,0,0,0,0,0,22.27,22.27,0,8.62,40.47,22.27,22.27,23,0,100,,76,56,3.5,12.32,2,12,9,9,24,18,18,34.2,22.84,259.07,0.68,2.09,1.76,98.71,3.43,15.75,0.24,0.02,0.01,0.09,0.01,,,,,,,
Aaron Rodgers,,0,QB,QB1,5700,NYJ,vs HOU,21,22.75,8.6,0,15.4,1,45.98,320,2.21,0.66,0.0589,1.63,7.69,0.06,1.63,0,0,0,0,0,0,0,0,0,0,0,22.11,22.11,0,9.21,39.31,22.11,22.11,10,0,100,,33,58,3.9,20.34,3.6,18,10,10,30,19,19,34.88,22.51,253.07,0.44,2.25,2.04,100.64,2.73,13.05,0.11,0.01,0.01,-0.07,,,,,,,,
J.K. Dobbins,,0,RB,RB1,7000,LAC,@ CLE,24,21.75,7.2,11.7,15.9,0,0,0,0,0,0.6803,21.57,109.33,0.9,26,0.1224,4.43,3.54,18.88,0.05,0,0,0,0,0,0,22.06,22.06,0,11.26,36.46,22.06,22.06,6,0,100,,20,42,3.2,24.5,3.5,12,6,6,17,20,20,,,,,,,,11.16,60.71,0.52,1.87,1.48,8.52,0.03,,,,,,,
Davante Adams,,0,WR,WR2,6800,NYJ,vs HOU,13,22.75,11.2,16.1,12.7,0,0,0,0,0,0,0,0,0,11.3,0.2458,11.3,7.2,91.32,0.93,0,0,0,0,0,0,21.91,21.91,0,5.11,44.31,21.91,21.91,10,0,100,,25,41,3.2,22.1,3.3,14,5,5,19,21,21,0.01,0.01,0.23,,0.01,,1.56,0.02,-0.01,,9.6,6.18,77.07,0.68,,,,,,,
Tyler Lockett,,0,WR,WR2,5600,SEA,vs LAR,18,23.5,9.4,11.9,9.5,0,0,0,0,0,0,0,0,0,11.12,0.2943,11.12,7.61,101.33,0.69,0,0,0,0,0,0,21.88,21.88,0,7.78,40.68,21.88,21.88,23,0,100,,59,27,3.9,15.3,2.7,26,6,6,31,22,22,,,,,,,,0.26,1.7,0.01,6.03,4.23,55.74,0.4,,,,,,,
Bo Nix,,0,QB,QB1,5900,DEN,@ BAL,31,18.75,7.1,0,17.3,1,34.81,222.37,1.36,0.59,0.279,8.72,42.67,0.64,8.72,0,0,0,0,0,0,0,0,0,0,0,21.85,21.85,0,11.2,36.05,21.85,21.85,16,0,100,,43,59,3.7,18.72,3.2,16,11,11,28,23,23,32.63,20.63,191.25,0.63,1.38,1,82.37,6.5,32.38,0.5,,,,,,,,,,,
Tony Pollard,,0,RB,RB1,6800,TEN,vs NE,31,20.75,8.4,13.3,14.2,0,0,0,0,0,0.7713,23.86,109.25,0.69,28.77,0.1518,4.91,3.72,24.12,0.06,0,0,0,0,0,0,21.56,21.56,0,8.96,38.36,21.56,21.56,10,0,100,,31,26,3.2,21.4,3.1,14,7,7,19,24,24,,,,,,,,10.31,48.41,0.31,3.02,2.32,16.79,0.06,,,,,,,
David Njoku,,0,TE,TE1,5500,CLE,vs LAC,17,19.75,6.8,13.1,11.9,0,0,0,0,0,0,0,0,0,11.64,0.2573,11.64,7.65,91.05,0.77,0,0,0,0,0,0,21.38,21.38,0,11.18,34.98,21.38,21.38,16,0,100,,102,22,3.9,7.9,1.4,4,1,1,32,25,25,,,,,,,,0.04,-0.06,,5.04,3.28,36.74,0.28,,,,,,,
Jameis Winston,,0,QB,QB1,5400,CLE,vs LAC,12,19.75,9.4,2.5,7.4,1,45.24,326.71,2.09,1.32,0.0529,1.31,4.59,0.04,1.31,0,0,0,0,0,0,0,0,0,0,0,20.81,20.81,0,6.71,39.61,20.81,20.81,21,0,100,,70,45,3.9,13.1,2.4,21,12,12,33,26,26,30.58,18.71,234.61,1.03,2.07,1.51,79.86,3.17,12.72,0.11,,,,,,,,,,,
Jahmyr Gibbs,,0,RB,RB2,7600,DET,@ GB,6,25.25,8.5,16.6,20.2,0,0,0,0,0,0.4556,16.02,92.89,1,19.83,0.1149,3.81,2.8,19.21,0.1,0,0,0,0,0,0,20.61,20.61,0,7.86,37.61,20.61,20.61,17,0,100,,61,52,2.7,14.6,1.9,7,8,8,11,27,27,,,,,,,,12.45,69.82,0.73,4.27,3.23,21.36,0.09,,,,,,,
James Conner,,0,RB,RB1,6600,ARI,vs CHI,17,23,10.1,16.4,15.4,0,0,0,0,0,0.6884,22.72,99.63,0.94,25.66,0.0816,2.94,2.37,19.12,0.09,0,0,0,0,0,0,20.43,20.43,0,5.28,40.63,20.43,20.43,13,0,100,,49,32,3.1,17.9,2.7,16,9,9,21,28,28,,,,,,,,12.93,56,0.57,3.14,2.58,20.19,0.1,,,,,,,
Evan Engram,,0,TE,TE1,5300,JAC,@ PHI,26,19.25,7.3,13.7,11.5,0,0,0,0,0,0,0,0,0,13.05,0.3097,13.05,9.16,85.18,0.43,0,0,0,0,0,0,20.26,20.26,0,9.31,34.86,20.26,20.26,10,0,100,,82,33,3.8,11.5,2.2,5,2,2,34,29,29,,,,,,,,0.16,0.9,0.01,6.74,4.55,45.97,0.24,,,,,,,
Kenneth Walker III,,0,RB,RB1,7300,SEA,vs LAR,16,23.5,8.3,13.5,20.5,0,0,0,0,0,0.5381,12.2,52.57,0.66,18.99,0.1796,6.79,5.67,41.89,0.17,0,0,0,0,0,0,20.1,20.1,0,7.65,36.7,20.1,20.1,19,0,100,,67,45,2.8,13.7,1.9,10,10,10,14,30,30,,,,,,,,14.54,63.54,0.66,2.8,2.26,16.71,0.06,,,,,,,
Derek Carr,,0,QB,QB1,5600,NO,@ CAR,30,25,7.5,15.9,15.2,1,41.03,299.77,1.92,0.83,0.0945,2.76,7.39,0.08,2.76,0,0,0,0,0,0,0,0,0,0,0,20.06,20.06,0,8.81,35.06,20.06,20.06,20,0,100,,69,56,3.6,13.44,2.4,19,13,13,31,31,31,34.01,22.41,248.76,0.67,1.87,1.55,95.34,1.95,5.5,0.05,0.01,0.01,-0.06,,,,,,,,
Saquon Barkley,,0,RB,RB1,8200,PHI,vs JAC,12,26.75,9.9,16.3,22.3,0,0,0,0,0,0.5808,20.07,93.58,0.65,24.84,0.1375,4.77,3.48,23.7,0.13,0,0,0,0,0,0,19.89,19.89,0,5.04,39.69,19.89,19.89,1,0,100,,2,47,2.4,36.9,4.5,2,11,11,5,32,32,,,,,,,,16.43,73.79,0.49,5.15,3.77,27.23,0.16,,,,,,,
Kirk Cousins,,0,QB,QB1,6400,ATL,vs DAL,18,27.5,8.1,21.3,17,1,40.38,304.88,1.81,0.81,0.0669,2.02,5.44,0.11,2.02,0,0,0,0,0,0,0,0,0,0,0,19.83,19.83,0,7.68,36.03,19.83,19.83,14,0,100,,41,59,3.1,18.78,2.9,11,14,14,23,33,33,34.93,23.59,266.69,0.68,2.16,1.83,100.73,2.08,6.18,0.14,0.01,0.01,-0.01,,,,,,,,
Caleb Williams,,0,QB,QB1,6100,CHI,@ ARI,26,21.5,8.6,0,16.8,1,36.39,261.36,1.52,0.76,0.1977,6.72,38.54,0.03,6.72,0,0,0,0,0,0,0,0,0,0,0,19.81,19.81,0,6.91,37.01,19.81,19.81,28,0,100,,95,49,3.2,9.18,1.5,14,15,15,26,34,34,31.86,20,206.86,0.71,3.14,1.29,87.44,5,30,,,,,,,,,,,,
Sam Darnold,,0,QB,QB1,6000,MIN,vs IND,28,26.5,8.7,2.5,17.7,1,36.24,285.69,1.88,1.06,0.1081,2.86,10.28,0.13,2.86,0,0,0,0,0,0,0,0,0,0,0,19.7,19.7,0,6.65,37.1,19.7,19.7,8,0,100,,26,35,3.3,22,3.7,15,16,16,27,35,35,27.4,16.56,187.32,0.84,2.33,1.05,76.19,3.23,11.86,0.18,,,,,,,,,,,
Justin Jefferson,,0,WR,WR1,8700,MIN,vs IND,14,26.5,10.7,21.8,20.3,0,0,0,0,0,0,0,0,0,10.05,0.2772,10.05,6.86,95.94,0.52,0,0,0,0,0,0,19.57,19.57,0,3.52,40.97,19.57,19.57,8,0,100,,18,49,2.2,24.58,2.8,2,7,7,2,36,36,0.1,0.06,1.03,,,,8.12,0.19,0.46,0.01,9.49,6.46,97.69,0.52,,,,,,,
Justin Herbert,,0,QB,QB1,5300,LAC,@ CLE,10,21.75,8.6,19.3,14.1,1,36.19,262.46,1.7,0.51,0.1404,4.45,17.71,0.15,4.45,0,0,0,0,0,0,0,0,0,0,0,19.46,19.46,0,6.56,36.66,19.46,19.46,12,0,100,,38,59,3.7,19.48,3.7,22,17,17,34,37,37,37.94,25.22,270.51,0.62,2.1,1.77,96.41,3.59,14.42,0.16,0.04,0.04,,,,,,,,,
Malik Nabers,,0,WR,WR1,7500,NYG,vs WAS,32,20,9,0,20,0,0,0,0,0,0,0,0,0,12.29,0.3306,12.29,7.67,84.07,0.49,0,0,0,0,0,0,19.02,19.02,0,5.52,37.02,19.02,19.02,24,0,100,,60,55,2.5,14.9,2,7,8,8,12,38,38,0.17,,,,,,0.35,0.5,,,12.17,7.67,83,0.5,,,,,,,
Amon-Ra St. Brown,,0,WR,WR1,7900,DET,@ GB,12,25.25,10,22.4,17.4,0,0,0,0,0,0,0,0,0,9.6,0.2898,9.6,7.24,80.39,0.62,0,0,0,0,0,0,19,19,0,4,39,19,19,17,0,100,,45,45,2.4,18.6,2.4,5,9,9,8,39,39,0.02,0.02,0.13,,0.02,0.02,8.14,0.36,3.27,0.02,8.76,6.47,72.65,0.47,,,,,,,
Rachaad White,,0,RB,RB1,5800,TB,@ KC,2,18.25,7.1,16.2,13.5,0,0,0,0,0,0.5197,14.73,56.94,0.16,20.74,0.1857,6.01,5.39,41.53,0.46,0,0,0,0,0,0,18.96,18.96,0,8.31,33.16,18.96,18.96,23,0,100,,75,45,3.3,12.5,2.2,24,12,12,29,40,40,,,,,,,,11.7,43.18,0.18,3.98,3.55,26.88,0.2,,,,,,,
Drake Maye,,0,QB,QB1,5500,NE,@ TEN,1,17.25,8.2,0,14.2,1,33.99,232.2,1.52,0.83,0.1604,4.39,28.09,0.26,4.39,0,0,0,0,0,0,0,0,0,0,0,18.91,18.91,0,6.61,35.31,18.91,18.91,15,0,100,,42,42,3.4,18.74,3.4,20,18,18,32,41,41,21,13.25,141,0.5,2.25,1.25,78.23,3.25,28.5,0.25,,,,,,,,,,,
James Cook,,0,RB,RB1,7200,BUF,vs MIA,26,27.5,8.7,14.3,17.8,0,0,0,0,0,0.5037,17.97,84.3,0.63,21.52,0.1119,3.55,2.78,25,0.2,0,0,0,0,0,0,18.69,18.69,0,5.64,36.09,18.69,18.69,25,0,100,,81,27,2.6,11.9,1.7,11,13,13,15,42,42,,,,,,,,10.63,52.03,0.28,2.58,1.98,19.25,0.15,,,,,,,
Terry McLaurin,,0,WR,WR1,7100,WAS,@ NYG,24,24,7.6,12.1,16.3,0,0,0,0,0,0,0,0,0,10.06,0.2572,10.06,6.42,93.85,0.47,0,0,0,0,0,0,18.63,18.63,0,7.23,33.83,18.63,18.63,22,0,100,,57,46,2.6,15.9,2.2,11,10,10,16,43,43,,,,,,,,0.14,0.83,,7.55,4.75,66.61,0.33,,,,,,,
Josh Jacobs,,0,RB,RB1,6900,GB,vs DET,15,22.75,8.9,14.5,15.5,0,0,0,0,0,0.6786,21.42,93.25,0.68,25.2,0.0971,3.78,2.96,19.71,0.04,0,0,0,0,0,0,18.58,18.58,0,5.23,36.38,18.58,18.58,21,0,100,,71,46,2.7,12.8,1.9,13,14,14,18,44,44,,,,,0.01,,,17.9,76.68,0.6,3.41,2.64,19.3,0.01,,,,,,,
Matthew Stafford,,0,QB,QB1,5700,LAR,@ SEA,22,25,7.1,17.9,12.9,1,38.19,297.15,1.86,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.53,18.53,0,7.88,32.73,18.53,18.53,13,0,100,,40,61,3.3,18.92,3.3,18,19,19,30,45,45,35.14,23.07,264.3,0.73,2.43,1.7,96.78,1.89,6.12,0.03,0.01,0.01,-0.04,,,,,,,,
Cooper Kupp,,0,WR,WR1,7700,LAR,@ SEA,28,25,10.5,14.7,19.6,0,0,0,0,0,0,0,0,0,9.72,0.2546,9.72,6.88,79.14,0.62,0,0,0,0,0,0,18.51,18.51,0,2.76,39.51,18.51,18.51,9,0,100,,21,43,2.4,24.4,3.2,6,11,11,10,46,46,0.04,,,,,,1.26,0.27,1.45,0.01,8.75,6.23,76.39,0.56,,,,,,,
Chase Brown,,0,RB,RB1,5900,CIN,vs LV,25,25.75,6.5,4.5,11.2,0,0,0,0,0,0.6788,16.69,73.05,0.64,21.15,0.1194,4.46,3.59,23.27,0.22,0,0,0,0,0,0,18.38,18.38,0,8.63,31.38,18.38,18.38,4,0,100,,9,10,3.1,29.7,5,23,15,15,28,47,47,,,,,,,,6.1,26.9,0.2,1.8,1.5,10.85,0.1,,,,,,,
Chris Olave,,0,WR,WR1,6100,NO,@ CAR,5,25,6.8,15.4,11.2,0,0,0,0,0,0,0,0,0,10.53,0.2567,10.53,6.97,92.76,0.35,0,0,0,0,0,0,18.35,18.35,0,8.15,31.95,18.35,18.35,70,0,100,,152,52,3,2.3,0.4,21,12,12,26,48,48,,,,,,,,0.03,0.18,,7.89,5,67.16,0.26,,,,,,,
De'Von Achane,,0,RB,RB1,6700,MIA,@ BUF,11,21.5,13.4,18.5,15.3,0,0,0,0,0,0.4531,13.59,74.73,0.44,18.18,0.1406,4.59,3.67,27.86,0.29,0,0,0,0,0,0,18.31,18.31,0,0,45.11,18.31,18.31,2,0,100,,4,23,2.7,32.1,4.8,15,16,16,20,49,49,,,,,0.06,,,10.22,64.28,0.5,3.94,3.11,24.5,0.28,,,,,,,
Drake London,,0,WR,WR1,6700,ATL,vs DAL,9,27.5,7.9,11.3,16.7,0,0,0,0,0,0,0,0,0,10.43,0.2583,10.43,6.78,82.54,0.54,0,0,0,0,0,0,18.27,18.27,0,6.42,34.07,18.27,18.27,35,0,100,,88,35,2.7,10.7,1.6,15,13,13,20,50,50,0.02,0.02,0.54,,,,4.32,,,,7.17,4.61,56,0.27,,,,,,,
Jayden Reed,,0,WR,WR1,6400,GB,vs DET,11,22.75,8.3,13.8,15.3,0,0,0,0,0,0,0,0,0,8.39,0.2158,8.39,6.18,83.2,0.62,0,0,0,0,0,0,18.22,18.22,0,5.77,34.82,18.22,18.22,15,0,100,,39,42,2.8,19.3,3,18,14,14,23,51,51,,,,,,,,0.92,9.54,0.13,5.63,3.96,54.17,0.46,,,,,,,
Derrick Henry,,0,RB,RB1,8300,BAL,vs DEN,7,27.75,11.7,15.2,23.4,0,0,0,0,0,0.5812,20.02,101.7,0.94,21.28,0.0391,1.26,0.98,9.35,0.07,0,0,0,0,0,0,18.15,18.15,0,0.6,41.55,18.15,18.15,5,0,100,,10,31,2.2,29.3,3.5,1,17,17,4,52,52,0.08,0.06,0.31,,,0.04,13.79,17.44,84.44,0.77,1.7,1.32,12.15,0.04,,,,,,,
Geno Smith,,0,QB,QB1,5800,SEA,vs LAR,23,23.5,8.5,16.7,18.2,1,37.79,270.68,1.39,0.72,0.1505,3.41,18.67,0.09,3.41,0,0,0,0,0,0,0,0,0,0,0,18.07,18.07,0,5.32,35.07,18.07,18.07,3,0,100,,12,44,3.1,28.12,4.8,17,20,20,29,53,53,29.17,19.63,211.96,0.56,2.26,1.24,89.27,3,14.72,0.07,0.02,0.02,-0.04,,,,,,,,
Jared Goff,,0,QB,QB1,6500,DET,@ GB,24,25.25,8.3,18.9,18.8,1,33.12,260.6,1.85,0.64,0.0559,1.97,3.61,0.08,1.97,0,0,0,0,0,0,0,0,0,0,0,18.03,18.03,0,5.58,34.63,18.03,18.03,27,0,100,,94,54,2.8,9.6,1.5,10,21,21,22,54,54,34.74,22.58,259.1,0.69,1.9,1.59,96.31,2.04,4.1,0.1,0.02,0.02,0.1,0.01,,,,,,,
DeVonta Smith,,0,WR,WR2,6800,PHI,vs JAC,15,26.75,8.2,14.7,14.6,0,0,0,0,0,0,0,0,0,9.34,0.2692,9.34,6.6,80.46,0.56,0,0,0,0,0,0,18.01,18.01,0,5.71,34.41,18.01,18.01,16,0,100,,44,41,2.6,18.7,2.8,14,15,15,19,55,55,,,,,,,,,,,7.02,4.84,63.64,0.39,,,,,,,
C.J. Stroud,,0,QB,QB1,6800,HOU,@ NYJ,9,20.25,8.8,20.2,16.3,1,34.81,245.95,1.42,0.4,0.1448,4.45,18.19,0.13,4.45,0,0,0,0,0,0,0,0,0,0,0,17.72,17.72,0,4.52,35.32,17.72,17.72,22,0,100,,74,53,2.6,12.54,1.8,7,22,22,19,56,56,33.26,21.57,263.3,0.39,2.61,1.48,97.6,2.7,10.91,0.13,0.04,0.04,,,,,,,,,
Michael Pittman,,0,WR,WR1,5900,IND,@ MIN,21,20.5,7.3,16.3,9.9,0,0,0,0,0,0,0,0,0,11.25,0.2837,11.25,7.4,79.55,0.39,0,0,0,0,0,0,17.7,17.7,0,6.75,32.3,17.7,17.7,69,0,100,,151,44,3,2.4,0.4,23,16,16,28,57,57,,,,,,,,0.16,1.43,,7.7,5.21,57.34,0.24,,,,,,,
Jonathan Taylor,,0,RB,RB1,7700,IND,@ MIN,1,20.5,10.1,15.9,20.1,0,0,0,0,0,0.7077,17.49,86.84,0.81,20.17,0.0677,2.68,2.05,16.62,0.05,0,0,0,0,0,0,17.56,17.56,0,2.41,37.76,17.56,17.56,30,0,100,,97,46,2.3,8.9,1.2,6,18,18,10,58,58,,,,,,,,17.53,86.83,0.78,2.86,2.24,18,0.07,,,,,,,
Austin Ekeler,,0,RB,RB1,5300,WAS,@ NYG,21,24,9.6,13.7,10,0,0,0,0,0,0.4543,13.19,59.38,0.45,18.18,0.1274,4.99,4,36.74,0.2,0,0,0,0,0,0,17.51,17.51,0,3.11,36.71,17.51,17.51,14,0,100,,51,41,3.3,17.3,3.3,29,19,19,34,59,59,,,,,,,,9.5,42.55,0.37,5.34,4.24,37.99,0.28,,,,,,,
Chuba Hubbard,,0,RB,RB1,6500,CAR,vs NO,29,18,6.9,10.9,15.4,0,0,0,0,0,0.693,20.22,86.6,0.51,24.27,0.1177,4.05,3.48,19.44,0.06,0,0,0,0,0,0,17.5,17.5,0,7.15,31.3,17.5,17.5,11,0,100,,32,30,2.7,21.2,3.3,17,20,20,22,60,60,,,,,,,,11.33,46.78,0.27,2.25,1.85,12.47,0.04,,,,,,,
