,,,,,,,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,,,,,,,,Position Rankings,,,,,,,Overall Rankings,,,,,,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
Player,Inj,Likes,Pos,pDepth,Salary,Team,Opp,Def v Pos,VegasPts,STDV,2023 Avg,2024 Avg,Pct,Att,Yrds,TDs,Int,Pct,Att,Yrds,TDs,Att+Tar,Pct,Tar,Rec,Yrds,TDs,Sacks,Int,Fum,Sfty,TDs,PTs,FC,My,Diff,Floor,Ceiling,FC Proj,My Proj,FPs,Salary,FC Proj,My Proj,Rdm %,Exp.,Used,FPs,Salary,FC Proj,My Proj,Con.,Value,Score,Val,Att,Comp,Yrds,Int,Sack,TDs,Rtg,Att,Yrds,TDs,Trgts,Rec,Yrds,TDs,Sack,Ints,Fmbls,TDs,Sfty,Pts,Yrds
Kyren Williams,,0,RB,RB1,7200,LAR,@ NYJ,32,24.75,10,22.9,17.7,0,0,0,0,0,0.7878,24.67,105.67,1.03,27.08,0.0674,2.41,1.89,10.45,0.12,0,0,0,0,0,0,20.4,20.4,0,5.4,40.4,20.4,20.4,20,10,9,9,0,100,,56,14,30,30,39,2.8,0,,,,,,,,,15.97,70.71,0.71,2.82,2.09,12.97,0.15,,,,,,,
Mike Evans,,0,WR,WR1,7600,TB,@ DAL,9,26,10.3,17.1,17,0,0,0,0,0,0,0,0,0,10.75,0.3244,10.75,6.41,95.76,0.73,0,0,0,0,0,0,20.37,20.37,0,4.92,40.97,20.37,20.37,20,7,9,9,0,100,,56,10,31,31,39,2.7,0,,,,,,,,,0.01,0.07,,8.51,4.97,75.87,0.61,,,,,,,
Chase Brown,,0,RB,RB1,7700,CIN,vs CLE,29,28,9.2,4.5,16.6,0,0,0,0,0,0.77,19.32,82.38,0.62,23.93,0.1121,4.61,3.79,27.9,0.3,0,0,0,0,0,0,20.34,20.34,0,6.54,38.74,20.34,20.34,20,5,10,10,0,100,,56,9,32,32,16,2.6,0,,,,,,,,,9.04,38.88,0.27,2.81,2.35,18.23,0.19,,,,,,,
A.J. Brown,,0,WR,WR1,7800,PHI,@ WAS,32,25.25,10.3,18.4,17.8,0,0,0,0,0,0,0,0,0,10.02,0.3486,10.02,6.67,100.46,0.59,0,0,0,0,0,0,20.26,20.26,0,4.81,40.86,20.26,20.26,20,6,10,10,0,100,,56,8,33,33,38,2.6,0,,0.02,,,,,,0.87,0.07,0.87,0.01,7.54,4.84,76.43,0.52,,,,,,,
Cooper Rush,,0,QB,QB1,5200,DAL,vs TB,32,22.5,7.5,0.6,9.7,1,45.46,307.65,2.11,0.67,0.0934,2.26,1.5,0,2.26,0,0,0,0,0,0,0,0,0,0,0,20.23,20.23,0,8.98,35.23,20.23,20.23,7,21,14,14,0,100,,56,34,34,34,0,3.9,0,,15.52,9.32,97.55,0.26,0.71,0.58,76.22,1.74,0.84,,,,,,,,,,,,
Baker Mayfield,,0,QB,QB1,6600,TB,@ DAL,25,26,7.2,17.4,22.5,1,33.15,252.46,1.98,0.94,0.1401,4.81,19.68,0.19,4.81,0,0,0,0,0,0,0,0,0,0,0,20.19,20.19,0,9.39,34.59,20.19,20.19,7,7,15,15,0,100,,56,20,35,35,57,3.1,0,,31.92,20.17,232.51,0.85,2.36,1.57,91.39,2.89,10.57,0.1,0.02,0.01,0.17,,,,,,,,
Tyreek Hill,!,0,WR,WR1,6900,MIA,vs SF,29,21.5,11.5,25.1,13.5,0,0,0,0,0,0,0,0,0,10.05,0.286,10.05,6.8,94.36,0.62,0,0,0,0,0,0,19.96,19.96,0,2.71,42.96,19.96,19.96,20,11,11,11,0,100,,56,17,36,36,39,2.9,0,,0.01,,,0.01,,,,0.84,6.03,0.05,8.36,5.68,78.82,0.58,,,,,,,
Jared Goff,,0,QB,QB1,6800,DET,@ CHI,11,26.75,8.7,18.9,20.4,1,32.71,265.46,2.02,0.65,0.1232,4.56,9.4,0.16,4.56,0,0,0,0,0,0,0,0,0,0,0,19.95,19.95,0,6.9,37.35,19.95,19.95,7,6,16,16,0,100,,56,18,37,37,52,2.9,0,,34.8,22.7,260.99,0.7,1.86,1.64,96.82,2.06,4.2,0.09,0.02,0.02,0.09,0.01,,,,,,,
Trey McBride,,0,TE,TE1,6200,ARI,@ CAR,5,25.75,7.5,11,15,0,0,0,0,0,0,0,0,0,12.26,0.3152,12.26,9.44,94.99,0.11,0,0,0,0,0,0,19.6,19.6,0,8.35,34.6,19.6,19.6,14,2,1,1,0,100,,56,24,38,38,34,3.2,0,,,,,,,,,0.03,0.05,0.03,6.69,5.1,52,0.1,,,,,,,
James Cook,,0,RB,RB1,7000,BUF,vs NE,22,30.25,8.8,14.3,17.5,0,0,0,0,0,0.5137,18.64,93.18,0.98,21.31,0.0822,2.67,2.12,16.48,0.1,0,0,0,0,0,0,19.57,19.57,0,6.37,37.17,19.57,19.57,20,12,11,11,0,100,,56,16,39,39,30,2.8,0,,,,,,,,,10.8,53.41,0.37,2.65,2.04,18.63,0.13,,,,,,,
