,,,,,,,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,,,,,,,,Position Rankings,,,,,,,Overall Rankings,,,,,,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
Player,Inj,Likes,Pos,pDepth,Salary,Team,Opp,Def v Pos,VegasPts,STDV,2023 Avg,2024 Avg,Pct,Att,Yrds,TDs,Int,Pct,Att,Yrds,TDs,Att+Tar,Pct,Tar,Rec,Yrds,TDs,Sacks,Int,Fum,Sfty,TDs,PTs,FC,My,Diff,Floor,Ceiling,FC Proj,My Proj,FPs,Salary,FC Proj,My Proj,Rdm %,Exp.,Used,FPs,Salary,FC Proj,My Proj,Con.,Value,Score,Val,Att,Comp,Yrds,Int,Sack,TDs,Rtg,Att,Yrds,TDs,Trgts,Rec,Yrds,TDs,Sack,Ints,Fmbls,TDs,Sfty,Pts,Yrds
Jameson Williams,,0,WR,WR2,5500,DET,@ CHI,6,26.75,7.2,6.7,13.2,0,0,0,0,0,0,0,0,0,6.14,0.1876,6.14,3.7,59.19,0.36,0,0,0,0,0,0,11.78,11.78,0,0.98,26.18,11.78,11.78,20,25,45,45,0,100,,56,31,114,114,15,2.1,0,,,,,,,,,0.4,4.17,0.03,3.93,2.23,38.07,0.27,,,,,,,
Michael Wilson,,0,WR,WR2,4200,ARI,@ CAR,5,25.75,5.9,8.8,8,0,0,0,0,0,0,0,0,0,6.12,0.1573,6.12,4.1,51.34,0.41,0,0,0,0,0,0,11.69,11.69,0,2.84,23.49,11.69,11.69,20,38,46,46,0,100,,56,44,115,115,30,2.8,0,,,,,,,,,,,,4.37,2.93,38.78,0.26,,,,,,,
Brandin Cooks,,0,WR,WR2,4500,DAL,vs TB,30,22.5,9,11,6.9,0,0,0,0,0,0,0,0,0,6.82,0.15,6.82,4.27,52.27,0.36,0,0,0,0,0,0,11.66,11.66,0,0,29.66,11.66,11.66,20,35,47,47,0,100,,56,41,116,116,35,2.6,0,,,,,,,,,0.35,1.88,0.01,7.03,4.5,61.79,0.39,,,,,,,
Pat Freiermuth,,0,TE,TE1,3900,PIT,@ BAL,3,18.75,5.1,7.3,9.4,0,0,0,0,0,0,0,0,0,5.6,0.1863,5.6,4.24,44.65,0.49,0,0,0,0,0,0,11.65,11.65,0,4,21.85,11.65,11.65,8,15,11,11,0,100,,41,47,117,117,44,3,4.6,1.2,,,,,,,,,,,5,3.61,36.23,0.3,,,,,,,
Allen Lazard,,0,WR,WR3,4000,NYJ,vs LAR,18,21.75,7,4.6,11.9,0,0,0,0,0,0,0,0,0,5.94,0.1429,5.94,3.68,50.07,0.47,0,0,0,0,0,0,11.51,11.51,0,1.01,25.51,11.51,11.51,20,40,48,48,0,100,,56,46,118,118,26,2.9,0,,,,,,,,,0.12,1,,4.81,3.01,40.17,0.35,,,,,,,
Cam Akers,,0,RB,RB2,5400,MIN,@ SEA,3,22.75,7,6.7,5.7,0,0,0,0,0,0.6515,21.02,83.23,0.53,21.02,0,0,0,0,0,0,0,0,0,0,0,11.5,11.5,0,1,25.5,11.5,11.5,20,28,31,31,0,100,,56,32,119,119,14,2.1,0,,,,,,0.02,,,10.4,41.26,0.28,1.28,1.02,7.85,0.06,,,,,,,
Jake Ferguson,,0,TE,TE1,3600,DAL,vs TB,30,22.5,5.3,10.4,8.1,0,0,0,0,0,0,0,0,0,7.95,0.1748,7.95,5.59,48.27,0.17,0,0,0,0,0,0,11.44,11.44,0,3.49,22.04,11.44,11.44,14,18,12,12,0,100,,56,50,120,120,35,3.2,0,,,,,,,,,,,,4.92,3.54,34.85,0.18,,,,,,,
T.J. Hockenson,,0,TE,TE1,4800,MIN,@ SEA,28,22.75,8,14.9,10,0,0,0,0,0,0,0,0,0,7.44,0.2102,7.44,5.18,49.69,0.21,0,0,0,0,0,0,11.41,11.41,0,0,27.41,11.41,11.41,14,7,13,13,0,100,,56,38,121,121,32,2.4,0,,,,,,,,,0.01,,,6.87,4.72,49.34,0.29,,,,,,,
Jaylen Warren,,0,RB,RB2,5200,PIT,@ BAL,8,18.75,5.3,12,7.7,0,0,0,0,0,0.265,9.55,43.73,0.17,13.79,0.1409,4.24,3.36,25.3,0,0,0,0,0,0,0,11.28,11.28,0,3.33,21.88,11.28,11.28,4,30,32,32,0,100,,15,34,122,122,39,2.2,14.2,2.7,,,,,,,,7.04,34.09,0.13,3.18,2.6,17.98,,,,,,,,
Sam LaPorta,,0,TE,TE1,4700,DET,@ CHI,6,26.75,7.2,14.3,10.1,0,0,0,0,0,0,0,0,0,5.75,0.1757,5.75,4,45.14,0.42,0,0,0,0,0,0,11.03,11.03,0,0.23,25.43,11.03,11.03,14,8,14,14,0,100,,56,39,123,123,42,2.3,0,,,,,,,,,0.03,0.13,,6.03,4.3,48.17,0.5,,,,,,,
Josh Palmer,,0,WR,WR3,4400,LAC,vs DEN,10,22.25,6.6,11.4,6.9,0,0,0,0,0,0,0,0,0,6.91,0.2013,6.91,4.34,53.81,0.19,0,0,0,0,0,0,10.86,10.86,0,0.96,24.06,10.86,10.86,11,36,49,49,0,100,,27,42,124,124,24,2.5,9.1,2.1,,,,,,,,0.06,0.3,,5,3.24,40.83,0.19,,,,,,,
Demario Douglas,,0,WR,WR1,4400,NE,@ BUF,4,16.25,4.4,7.7,9.2,0,0,0,0,0,0,0,0,0,6.81,0.2024,6.81,4.96,48.28,0.17,0,0,0,0,0,0,10.81,10.81,0,4.21,19.61,10.81,10.81,20,36,50,50,0,100,,56,42,125,125,48,2.5,0,,,,,,,,,0.37,1.89,,5.63,3.89,39.56,0.07,,,,,,,
Wan'Dale Robinson,,0,WR,WR2,4100,NYG,@ ATL,2,17,5.3,8.9,9.8,0,0,0,0,0,0,0,0,0,8.31,0.2476,8.31,5.52,43.83,0.14,0,0,0,0,0,0,10.74,10.74,0,2.79,21.34,10.74,10.74,20,39,51,51,0,100,,56,45,126,126,43,2.6,0,,,,,,,,,0.4,2.97,0.03,6.29,4.4,36.43,0.11,,,,,,,
Devaughn Vele,,0,WR,WR2,4000,DEN,@ LAC,17,19.25,5,0,7.7,0,0,0,0,0,0,0,0,0,6.64,0.1781,6.64,4.54,52.8,0.15,0,0,0,0,0,0,10.72,10.72,0,3.22,20.72,10.72,10.72,8,40,52,52,0,100,,24,46,127,127,35,2.7,10.1,2.5,,,,,,,,,,,4.6,3.3,37.7,0.1,,,,,,,
Brenton Strange,,0,TE,TE1,3500,JAC,@ LV,19,19.25,5.2,2.4,7.2,0,0,0,0,0,0,0,0,0,6.5,0.1736,6.5,5.07,43.83,0.2,0,0,0,0,0,0,10.65,10.65,0,2.85,21.05,10.65,10.65,14,19,15,15,0,100,,56,51,128,128,5,3,0,,,,,,,,,,,,3.12,2.29,21.41,0.18,,,,,,,
Kendre Miller,,0,RB,RB1,5300,NO,@ GB,15,14,4.3,6.2,5.3,0,0,0,0,0,0.6007,16.44,71.2,0.56,16.44,0,0,0,0,0,0,0,0,0,0,0,10.48,10.48,0,4.03,19.08,10.48,10.48,20,29,33,33,0,100,,56,33,129,129,27,2,0,,,,,,,,,6.27,26,0.18,1.45,1.09,10.73,,,,,,,,
Jalen McMillan,,0,WR,WR2,4100,TB,@ DAL,9,26,7,0,7.7,0,0,0,0,0,0,0,0,0,5.63,0.1697,5.63,3.19,39.55,0.54,0,0,0,0,0,0,10.39,10.39,0,0,24.39,10.39,10.39,20,39,53,53,0,100,,56,45,130,130,9,2.5,0,,,,,,,,,0.2,2.8,,4,2.2,27.9,0.4,,,,,,,
Ray-Ray McCloud,,0,WR,WR3,4500,ATL,vs NYG,24,26,4.3,2.4,8.8,0,0,0,0,0,0,0,0,0,7.17,0.1798,7.17,5.01,48.07,0.08,0,0,0,0,0,0,10.3,10.3,0,3.85,18.9,10.3,10.3,20,35,54,54,0,100,,56,41,131,131,0,2.3,0,,,,,,,,,0.26,2.8,0.01,2.35,1.62,15.24,0.02,,,,,,,
Justice Hill,,0,RB,RB2,4800,BAL,vs PIT,21,25.75,5.1,6.9,8.9,0,0,0,0,0,0.1083,3.78,17.41,0.11,8.52,0.1541,4.74,3.77,28.79,0.19,0,0,0,0,0,0,10.19,10.19,0,2.54,20.39,10.19,10.19,15,34,34,34,0,100,,47,38,132,132,0,2.1,3,0.6,,,,,,,,3.44,15.72,0.08,1.75,1.38,10.6,0.06,,,,,,,
Marquez Valdes-Scantling,!,0,WR,WR1,4200,NO,@ GB,12,14,7.2,3.6,7.4,0,0,0,0,0,0,0,0,0,6.22,0.1991,6.22,3.11,52.68,0.29,0,0,0,0,0,0,10.12,10.12,0,0,24.52,10.12,10.12,20,38,55,55,0,100,,56,44,133,133,0,2.4,0,,,,,,,,,0.1,0.51,,4.01,2.01,35.06,0.2,,,,,,,
Mark Andrews,,0,TE,TE1,4300,BAL,vs PIT,27,25.75,8.7,13.5,10.3,0,0,0,0,0,0,0,0,0,4.69,0.1524,4.69,3.42,39.72,0.45,0,0,0,0,0,0,10.09,10.09,0,0,27.49,10.09,10.09,2,11,16,16,0,100,,17,43,134,134,32,2.3,13.8,3.2,,,,,,,,0.07,0.12,,6.17,4.26,53.23,0.48,,,,,,,
Raheem Mostert,,0,RB,RB2,4900,MIA,vs SF,30,21.5,10,18.3,6.2,0,0,0,0,0,0.3176,7.92,37.17,0.35,10.47,0.0725,2.55,1.97,16.05,0.1,0,0,0,0,0,0,9.99,9.99,0,0,29.99,9.99,9.99,20,33,35,35,0,100,,56,37,135,135,12,2,0,,,,,,,,,10.1,51.81,0.49,1.82,1.39,11.09,0.1,,,,,,,
DeAndre Hopkins,,0,WR,WR2,5300,KC,vs HOU,13,23,9.2,13.7,9.8,0,0,0,0,0,0,0,0,0,5.48,0.1453,5.48,3.48,43.82,0.33,0,0,0,0,0,0,9.84,9.84,0,0,28.24,9.84,9.84,13,27,56,56,0,100,,32,33,136,136,47,1.9,7.7,1.5,0.03,0.01,0.04,0.01,,0.01,0.22,0.04,0.14,,9.46,5.92,75.96,0.51,,,,,,,
Calvin Austin III,,0,WR,WR2,3800,PIT,@ BAL,3,18.75,5.5,3.3,6.9,0,0,0,0,0,0,0,0,0,4.82,0.1604,4.82,2.89,43.53,0.42,0,0,0,0,0,0,9.76,9.76,0,1.51,20.76,9.76,9.76,7,42,57,57,0,100,,23,48,137,137,0,2.6,10.5,2.8,,,,,,,,0.37,1.9,0.03,2.57,1.5,21.07,0.17,,,,,,,
Kyle Pitts,,0,TE,TE1,4000,ATL,vs NYG,24,26,6.2,8.1,8,0,0,0,0,0,0,0,0,0,6.16,0.1546,6.16,3.61,47.35,0.2,0,0,0,0,0,0,9.55,9.55,0,0.25,21.95,9.55,9.55,14,14,17,17,0,100,,56,46,138,138,30,2.4,0,,,,,,,,,0.02,-0.07,,5.55,3.26,44.57,0.16,,,,,,,
Keon Coleman,,0,WR,WR3,4700,BUF,vs NE,22,30.25,5.6,0,9.4,0,0,0,0,0,0,0,0,0,4.13,0.1273,4.13,2.51,52.33,0.3,0,0,0,0,0,0,9.54,9.54,0,1.14,20.74,9.54,9.54,20,33,58,58,0,100,,56,39,139,139,40,2,0,,,,,,,,,,,,3.8,2.3,48.1,0.3,,,,,,,
Zach Charbonnet,,0,RB,RB2,6000,SEA,vs MIN,6,19.75,8.2,6.6,12,0,0,0,0,0,0.299,6.33,28.32,0.38,9.44,0.0941,3.11,2.45,17.13,0.03,0,0,0,0,0,0,9.46,9.46,0,0,25.86,9.46,9.46,20,22,36,36,0,100,,56,26,140,140,10,1.6,0,,,,,,,,,7.13,30.7,0.3,2.9,2.33,16.13,0.03,,,,,,,
Texans,,0,DST,DST1,3100,HOU,@ KC,15,23,6.1,7.7,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.09,1.65,0.93,0,0.2,23,9.45,9.45,0,0.3,21.65,9.45,9.45,5,7,1,1,0,100,,53,55,141,141,6,3,1,0.3,,,,,,,,,,,,,,,2.34,0.83,0.54,0.15,0.02,23.23,355.66
Foster Moreau,,0,TE,TE2,3000,NO,@ GB,12,14,4.2,4.2,6.3,0,0,0,0,0,0,0,0,0,4.84,0.155,4.84,3.46,39.33,0.34,0,0,0,0,0,0,9.43,9.43,0,3.13,17.83,9.43,9.43,14,24,18,18,0,100,,56,56,142,142,25,3.1,0,,,,,,,,,,0.03,,2.69,1.91,22.79,0.24,,,,,,,
Dalton Schultz,,0,TE,TE1,3400,HOU,@ KC,16,19.5,6.7,10.3,6.6,0,0,0,0,0,0,0,0,0,5.87,0.1802,5.87,3.96,39.16,0.25,0,0,0,0,0,0,9.38,9.38,0,0,22.78,9.38,9.38,1,20,19,19,0,100,,13,52,143,143,24,2.8,15.5,4.6,,,,,,,,,,,5.19,3.56,36.3,0.26,,,,,,,
Dontayvion Wicks,,0,WR,WR4,4100,GB,vs NO,23,28,6.6,8.1,5.9,0,0,0,0,0,0,0,0,0,6.06,0.1657,6.06,3.4,40.16,0.32,0,0,0,0,0,0,9.34,9.34,0,0,22.54,9.34,9.34,20,39,59,59,0,100,,56,45,144,144,6,2.3,0,,0.03,0.03,0.48,,,,4.96,0.03,0.03,,4,2.28,30.72,0.28,,,,,,,
Jalen Tolbert,,0,WR,WR3,4000,DAL,vs TB,30,22.5,5.2,4.3,8.3,0,0,0,0,0,0,0,0,0,5.81,0.1277,5.81,3.36,35.59,0.39,0,0,0,0,0,0,9.26,9.26,0,1.46,19.66,9.26,9.26,20,40,60,60,0,100,,56,46,145,145,13,2.3,0,,,,,,,,,,,,3.5,2.13,24.73,0.23,,,,,,,
Rome Odunze,,0,WR,WR3,5100,CHI,vs DET,11,20.25,7,0,9.6,0,0,0,0,0,0,0,0,0,6.67,0.1991,6.67,3.55,42.79,0.23,0,0,0,0,0,0,9.21,9.21,0,0,23.21,9.21,9.21,20,29,61,61,0,100,,56,35,146,146,27,1.8,0,,,,,,,,,0.21,1.07,,6.29,3.36,44.57,0.21,,,,,,,
Gus Edwards,,0,RB,RB1,5100,LAC,vs DEN,1,22.25,6.1,11.1,4.4,0,0,0,0,0,0.5046,13.89,61.83,0.49,13.89,0,0,0,0,0,0,0,0,0,0,0,9.12,9.12,0,0,21.32,9.12,9.12,2,31,37,37,0,100,,8,35,147,147,22,1.8,20.1,3.9,,,,,,,,9.86,46.4,0.35,0.53,0.4,4.71,,,,,,,,
Nick Westbrook,,0,WR,WR2,4700,TEN,@ IND,14,19.25,6.6,6.5,10.3,0,0,0,0,0,0,0,0,0,4.43,0.1373,4.43,2.5,36.36,0.49,0,0,0,0,0,0,9.08,9.08,0,0,22.28,9.08,9.08,20,33,62,62,0,100,,56,39,148,148,0,1.9,0,,,,,,,,,,,,3.23,1.89,26.92,0.29,,,,,,,
Isaiah Likely,,0,TE,TE2,3300,BAL,vs PIT,27,25.75,7,7.8,8.4,0,0,0,0,0,0,0,0,0,4.74,0.1539,4.74,3.26,36.33,0.36,0,0,0,0,0,0,9.05,9.05,0,0,23.05,9.05,9.05,3,21,20,20,0,100,,20,53,149,149,8,2.7,11.9,3.6,,,,,,,,,,,3.82,2.59,30.38,0.31,,,,,,,
Dalton Kincaid,,0,TE,TE1,4600,BUF,vs NE,22,30.25,4.8,9.5,8.3,0,0,0,0,0,0,0,0,0,6.35,0.1956,6.35,4.13,38.86,0.17,0,0,0,0,0,0,9.04,9.04,0,1.84,18.64,9.04,9.04,14,9,21,21,0,100,,56,40,150,150,47,2,0,,,,,,,,,,,,5.81,4.11,40.07,0.15,,,,,,,
Xavier Worthy,,0,WR,WR1,5000,KC,vs HOU,13,23,6.4,0,10.3,0,0,0,0,0,0,0,0,0,6.09,0.1615,6.09,3.52,38.25,0.28,0,0,0,0,0,0,9.03,9.03,0,0,21.83,9.03,9.03,2,30,63,63,0,100,,7,36,151,151,38,1.8,20.5,4.1,,,,,,,,1.07,6,0.21,5.57,3.14,35.29,0.29,,,,,,,
David Moore,!,0,WR,WR3,3600,CAR,vs ARI,1,20.75,5.9,3.4,5.2,0,0,0,0,0,0,0,0,0,5.84,0.1561,5.84,3.33,38.51,0.28,0,0,0,0,0,0,8.86,8.86,0,0.01,20.66,8.86,8.86,20,44,64,64,0,100,,56,50,152,152,0,2.5,0,,,,,,,,,0.2,1.52,,3.08,1.77,25,0.23,,,,,,,
Justin Shorter,,0,TE,WR3,2500,LV,vs JAC,15,21.75,,,,0,0,0,0,0,0,0,0,0,5.23,0.1251,5.23,3.47,36.03,0.29,0,0,0,0,0,0,8.81,8.81,0,0,,8.81,8.81,14,29,22,22,0,100,,56,61,153,153,0,3.5,0,,,,,,,,,,,,,,,,,,,,,,
Tyjae Spears,,0,RB,RB2,4900,TEN,@ IND,20,19.25,6.2,9,7.9,0,0,0,0,0,0.224,6.2,23.63,0.21,9.43,0.1003,3.23,2.6,19.19,0.1,0,0,0,0,0,0,8.74,8.74,0,0,21.14,8.74,8.74,20,33,38,38,0,100,,56,37,154,154,28,1.8,0,,,,,,,,,5.7,23.81,0.15,3.59,2.81,20.81,0.07,,,,,,,
Sterling Shepard,,0,WR,WR3,3800,TB,@ DAL,9,26,7.8,2.1,6.7,0,0,0,0,0,0,0,0,0,5.77,0.1741,5.77,3.76,39.63,0.17,0,0,0,0,0,0,8.74,8.74,0,0,24.34,8.74,8.74,20,42,65,65,0,100,,56,48,154,154,29,2.3,0,,,,,,,,,0.32,2.48,0.01,6.43,4.19,45.99,0.25,,,,,,,
Devin Singletary,,0,RB,RB2,4500,NYG,@ ATL,5,17,6.5,10.4,7.6,0,0,0,0,0,0.3877,9.89,43.04,0.3,11.82,0.0574,1.93,1.5,9.61,0.02,0,0,0,0,0,0,8.69,8.69,0,0,21.69,8.69,8.69,20,37,39,39,0,100,,56,41,155,155,39,1.9,0,,0.01,0.01,0.07,,,0.01,4.88,10.97,49.33,0.26,2.9,2.2,14.89,0.04,,,,,,,
Darius Slayton,,0,WR,WR3,3800,NYG,@ ATL,2,17,7.7,9.1,7.9,0,0,0,0,0,0,0,0,0,5.29,0.1575,5.29,2.93,42.81,0.21,0,0,0,0,0,0,8.47,8.47,0,0,23.87,8.47,8.47,20,42,66,66,0,100,,56,48,156,156,15,2.2,0,,,,,,,,,0.05,-0.03,,5.27,2.99,44.7,0.23,,,,,,,
Hollywood Brown,,0,WR,WR3,3000,KC,vs HOU,13,23,,,,0,0,0,0,0,0,0,0,0,4.97,0.1317,4.97,2.99,38.6,0.25,0,0,0,0,0,0,8.35,8.35,0,0,,8.35,8.35,10,50,67,67,0,100,,26,56,157,157,0,2.8,9.5,3.2,,,,,,,,,,,,,,,,,,,,,
Noah Gray,,0,TE,TE2,3100,KC,vs HOU,13,23,4.2,4.4,8.4,0,0,0,0,0,0,0,0,0,3.8,0.1008,3.8,2.92,31.69,0.37,0,0,0,0,0,0,8.31,8.31,0,2.01,16.71,8.31,8.31,10,23,23,23,0,100,,49,55,158,158,16,2.7,2,0.6,,,,,,,,0.04,0.04,0.02,2.47,1.89,20,0.17,,,,,,,
Mike Gesicki,,0,TE,TE1,3300,CIN,vs CLE,8,28,6.8,4.4,8.4,0,0,0,0,0,0,0,0,0,5.12,0.1244,5.12,3.41,36.3,0.21,0,0,0,0,0,0,8.3,8.3,0,0,21.9,8.3,8.3,14,21,24,24,0,100,,56,53,159,159,8,2.5,0,,0.01,,,,,,0.37,,,,4.46,2.88,31.68,0.21,,,,,,,
Josh Reynolds,,0,WR,WR4,3300,JAC,@ LV,19,19.25,6,8.1,6.1,0,0,0,0,0,0,0,0,0,5.28,0.1411,5.28,3.05,38.3,0.22,0,0,0,0,0,0,8.2,8.2,0,0,20.2,8.2,8.2,20,47,68,68,0,100,,56,53,160,160,14,2.5,0,,,,,,,,,0.08,0.38,,4.15,2.44,32.8,0.21,,,,,,,
Bengals,,0,DST,DST1,3300,CIN,vs CLE,23,18.5,5.1,6.9,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.02,0.96,0.64,0,0.32,18.5,8.14,8.14,0,0.49,18.34,8.14,8.14,6,5,2,2,0,100,,56,53,161,161,12,2.5,0,,,,,,,,,,,,,,,,2.13,0.86,0.4,0.12,0.02,22.86,370.32
Elijah Moore,,0,WR,WR2,4800,CLE,@ CIN,7,18.5,6.7,8.4,8,0,0,0,0,0,0,0,0,0,7.31,0.1819,7.31,4.32,32.53,0.09,0,0,0,0,0,0,8.11,8.11,0,0,21.51,8.11,8.11,20,32,69,69,0,100,,56,38,162,162,22,1.7,0,,,,,,,,,0.36,1.29,0.02,6.09,3.53,38.25,0.16,,,,,,,
Broncos,,0,DST,DST1,2900,DEN,@ LAC,19,22.25,6.2,6.9,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.87,0.86,0.58,0,0.38,22.25,8.03,8.03,0,0,20.43,8.03,8.03,3,9,3,3,0,100,,47,57,163,163,19,2.8,3,1,,,,,,,,,,,,,,,2.55,0.8,0.58,0.15,0.03,20.6,332.37
Parker Washington,,0,WR,WR2,4300,JAC,@ LV,19,19.25,6.8,5,5.5,0,0,0,0,0,0,0,0,0,5.41,0.1445,5.41,3.15,37.8,0.18,0,0,0,0,0,0,8.01,8.01,0,0,21.61,8.01,8.01,20,37,70,70,0,100,,56,43,164,164,0,1.9,0,,,,,,,,,,,,3.11,1.95,22.21,0.16,,,,,,,
Tyler Lockett,,0,WR,WR3,3900,SEA,vs MIN,21,19.75,9.4,11.9,7.7,0,0,0,0,0,0,0,0,0,4.14,0.1252,4.14,2.88,36.72,0.24,0,0,0,0,0,0,7.99,7.99,0,0,26.79,7.99,7.99,20,41,71,71,0,100,,56,47,165,165,25,2,0,,,,,,,,,0.25,1.64,0.01,5.9,4.14,54.54,0.39,,,,,,,
Tre Tucker,,0,WR,WR2,3900,LV,vs JAC,15,21.75,6.1,5.5,7.7,0,0,0,0,0,0,0,0,0,5.15,0.1231,5.15,3.11,37.72,0.18,0,0,0,0,0,0,7.96,7.96,0,0,20.16,7.96,7.96,20,41,72,72,0,100,,56,47,166,166,8,2,0,,,,,,,,,0.63,4.59,0.04,3.67,2.19,28.93,0.15,,,,,,,
Israel Abanikanda,,0,RB,RB2,4700,SF,@ MIA,2,23,2.1,2.9,0,0,0,0,0,0,0.4452,13.69,46.26,0.09,15.91,0.0687,2.22,1.47,10.32,0.02,0,0,0,0,0,0,7.79,7.79,0,4.64,11.99,7.79,7.79,20,35,40,40,0,100,,56,39,167,167,28,1.7,0,,,,,,,,,3.67,11.67,,1.83,1.17,7.17,,,,,,,,
Ja'Tavion Sanders,,0,TE,TE2,2900,CAR,vs ARI,1,20.75,4.5,0,5,0,0,0,0,0,0,0,0,0,4.63,0.1238,4.63,3.58,35.48,0.1,0,0,0,0,0,0,7.73,7.73,0,0.98,16.73,7.73,7.73,14,25,25,25,0,100,,56,57,168,168,10,2.7,0,,,,,,,,,,,,2.85,2.23,23.23,0.08,,,,,,,
Ameer Abdullah,,0,RB,RB2,4600,LV,vs JAC,19,21.75,5.1,2.6,6.8,0,0,0,0,0,0.2369,6.07,23.82,0.09,9.07,0.0718,3,2.32,15.6,0.15,0,0,0,0,0,0,7.7,7.7,0,0.05,17.9,7.7,7.7,20,36,41,41,0,100,,56,40,169,169,0,1.7,0,,,,,,,,,3.63,14.35,0.05,2.02,1.52,10.82,0.09,,,,,,,
Olamide Zaccheaus,,0,WR,WR3,3500,WAS,vs PHI,26,21.25,5.2,3.5,4.5,0,0,0,0,0,0,0,0,0,4.7,0.1537,4.7,3.08,36.58,0.15,0,0,0,0,0,0,7.64,7.64,0,0,18.04,7.64,7.64,20,45,73,73,0,100,,56,51,170,170,4,2.2,0,,,,,,,,,0.06,0.13,,3.09,1.94,25.97,0.14,,,,,,,
Andrei Iosivas,,0,WR,WR3,3600,CIN,vs CLE,8,28,5.4,4.6,6.7,0,0,0,0,0,0,0,0,0,4.33,0.1053,4.33,2.43,27.56,0.4,0,0,0,0,0,0,7.59,7.59,0,0,18.39,7.59,7.59,20,44,74,74,0,100,,56,50,171,171,7,2.1,0,,,,,,,,,,,,3.04,1.72,18.84,0.36,,,,,,,
Austin Hooper,,0,TE,TE2,3100,NE,@ BUF,4,16.25,6,3,6.3,0,0,0,0,0,0,0,0,0,4.01,0.1193,4.01,3,31.47,0.23,0,0,0,0,0,0,7.53,7.53,0,0,19.53,7.53,7.53,14,23,26,26,0,100,,56,55,172,172,19,2.4,0,,,,,,,,,,,,4.07,2.99,30.38,0.21,,,,,,,
Bills,,0,DST,DST1,3600,BUF,vs NE,25,16.25,6,9.5,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17,0.91,0.91,0,0.11,16.25,7.47,7.47,0,0,19.47,7.47,7.47,6,2,4,4,0,100,,56,50,173,173,21,2.1,0,,,,,,,,,,,,,,,,2.35,0.98,0.59,0.14,0.03,20.31,328.11
Jalen Nailor,,0,WR,WR3,3300,MIN,@ SEA,28,22.75,5.2,2,6.3,0,0,0,0,0,0,0,0,0,3.87,0.1095,3.87,2.2,28.58,0.4,0,0,0,0,0,0,7.46,7.46,0,0,17.86,7.46,7.46,20,47,75,75,0,100,,56,53,174,174,9,2.3,0,,,,,,,,,0.15,-0.2,,2.55,1.55,24.15,0.3,,,,,,,
Lions,,0,DST,DST1,3400,DET,@ CHI,31,20.25,5.3,6.4,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07,1.04,0.52,0,0.21,20.25,7.45,7.45,0,0,18.05,7.45,7.45,6,4,5,5,0,100,,56,52,175,175,7,2.2,0,,,,,,,,,,,,,,,,2.07,0.68,0.48,0.14,0.04,24.22,366.42
Troy Franklin,,0,WR,WR3,3300,DEN,@ LAC,17,19.25,3.5,0,4.5,0,0,0,0,0,0,0,0,0,5.54,0.1485,5.54,2.87,27.6,0.3,0,0,0,0,0,0,7.43,7.43,0,2.18,14.43,7.43,7.43,18,47,76,76,0,100,,42,53,176,176,22,2.3,4.5,1.4,,,,,,,,0.15,0.62,,3.46,1.77,17.46,0.15,,,,,,,
Marvin Mims Jr.,,0,WR,WR4,3900,DEN,@ LAC,17,19.25,6,4.4,5,0,0,0,0,0,0,0,0,0,3.73,0.1001,3.73,2.55,34.25,0.23,0,0,0,0,0,0,7.36,7.36,0,0,19.36,7.36,7.36,10,41,77,77,0,100,,26,47,177,177,0,1.9,9.5,2.4,,,,,,,,0.67,2.33,,2.23,1.5,22.13,0.1,,,,,,,
Kevin Austin Jr.,,0,WR,WR2,3100,NO,@ GB,12,14,2.2,0,3.7,0,0,0,0,0,0,0,0,0,5.79,0.1855,5.79,3.18,35.57,0.07,0,0,0,0,0,0,7.16,7.16,0,3.86,11.56,7.16,7.16,20,49,78,78,0,100,,56,55,178,178,41,2.3,0,,,,,,,,,0.2,1.8,,3,1.6,19.6,,,,,,,,
Cowboys,,0,DST,DST1,2600,DAL,vs TB,6,26,6.8,10.5,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.87,0.74,0.56,0,0.28,26,7.15,7.15,0,0,20.75,7.15,7.15,6,12,6,6,0,100,,56,60,179,179,7,2.8,0,,,,,,,,,,,,,,,,2.46,0.77,0.6,0.19,0.01,21.71,343.84
Tyler Higbee,,0,TE,TE1,3200,LAR,@ NYJ,25,24.75,6.5,7.2,0,0,0,0,0,0,0,0,0,0,4.46,0.1249,4.46,3.02,29.78,0.19,0,0,0,0,0,0,7.14,7.14,0,0,20.14,7.14,7.14,14,22,27,27,0,100,,56,54,180,180,13,2.2,0,,,,,,,,,0.01,0.01,,4.54,3.08,31.42,0.19,,,,,,,
