,,,,,,,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,,,,,,,,Position Rankings,,,,Overall Rankings,,,,,Position Rankings,,,Overall Rankings,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
Deshaun Watson,,0,QB,QB1,5100,CLE,@ PHI,18,16.75,9.3,15.5,13.8,1,38.74,276.6,1.73,0.78,0.2128,6.09,32.5,0.3,6.09,0,0,0,0,0,0,0,0,0,0,0,22.25,22.25,0,8.3,40.85,22.25,22.25,26,0,100,,100,58,4.4,8.42,1.7,24,7,7,34,13,13,31.92,21.09,248.53,0.66,3.36,1.72,97.36,5.59,29.96,0.3,0.01,0.01,0.08,0.01,,,,,,,
Joe Burrow,,0,QB,QB1,6900,CIN,@ NYG,13,21,9,16.3,21.9,1,35.55,275.9,2.27,0.62,0.1878,4.82,15.21,0.19,4.82,0,0,0,0,0,0,0,0,0,0,0,22.16,22.16,0,8.66,40.16,22.16,22.16,13,0,100,,36,57,3.2,19.82,2.9,6,8,8,16,14,14,36.28,24.79,271.11,0.68,2.79,1.91,100.06,3.46,11.3,0.18,,,,,,,,,,,
Trevor Lawrence,,0,QB,QB1,5600,JAC,@ CHI,6,21.75,7.2,18.1,15,1,42.76,306.73,1.81,0.96,0.1542,3.92,20.01,0.2,3.92,0,0,0,0,0,0,0,0,0,0,0,21.75,21.75,0,10.95,36.15,21.75,21.75,16,0,100,,46,57,3.9,18.06,3.2,19,9,9,29,15,15,34.65,21.98,234,0.75,1.93,1.16,85.99,3.91,18.71,0.2,,,-0.09,,,,,,,,
Aaron Rodgers,,0,QB,QB1,5800,NYJ,vs BUF,5,21.5,8.7,0,14.4,1,45.49,310.53,2.04,0.6,0.0912,2.51,11.81,0.09,2.51,0,0,0,0,0,0,0,0,0,0,0,21.7,21.7,0,8.65,39.1,21.7,21.7,15,0,100,,42,58,3.7,18.76,3.2,17,10,10,27,16,16,34.9,22.54,252.74,0.43,2.26,2.05,100.8,2.79,13.35,0.11,0.02,0.02,-0.08,,,,,,,,
Amon-Ra St. Brown,,0,WR,WR1,8100,DET,@ DAL,9,24.5,10.1,22.4,17.9,0,0,0,0,0,0,0,0,0,11.75,0.3003,11.75,8.5,94.14,0.61,0,0,0,0,0,0,21.57,21.57,0,6.42,41.77,21.57,21.57,27,0,100,,69,44,2.7,13.7,1.7,3,3,3,4,17,17,0.02,0.02,0.13,,0.02,0.02,8.61,0.38,3.46,0.02,9,6.58,73.85,0.44,,,,,,,
Kyler Murray,,0,QB,QB1,6800,ARI,@ GB,32,20.75,8.2,18.9,18.9,1,31.99,228,1.48,0.62,0.2188,6.49,43.41,0.36,6.49,0,0,0,0,0,0,0,0,0,0,0,20.92,20.92,0,8.62,37.32,20.92,20.92,22,0,100,,73,62,3.1,12.96,1.9,7,11,11,17,18,18,33.96,22.66,237.41,0.69,2.29,1.44,94.71,6.4,38.5,0.39,,,0.1,,,,,,,,
Brock Purdy,,0,QB,QB1,6300,SF,@ SEA,9,22.75,8.2,20.2,17.4,1,32.23,288.34,1.78,0.86,0.1947,6.25,23.69,0.12,6.25,0,0,0,0,0,0,0,0,0,0,0,20.88,20.88,0,8.58,37.28,20.88,20.88,6,0,100,,16,53,3.3,24.1,3.8,12,12,12,22,19,19,25.7,17.5,234.27,0.63,1.33,1.67,77.81,2.77,8.83,0.1,,,,,,,,,,,
Daniel Jones,,0,QB,QB1,5300,NYG,vs CIN,28,25,9,11.2,15.5,1,35.55,238.45,1.12,0.71,0.3293,11.02,55.83,0.31,11.02,0,0,0,0,0,0,0,0,0,0,0,20.75,20.75,0,7.25,38.75,20.75,20.75,23,0,100,,74,46,3.9,12.8,2.4,22,13,13,32,20,20,31.97,20.54,210,0.66,2.94,1.05,85.82,5.63,31.11,0.2,0.02,0.02,0.25,,,,,,,,
Geno Smith,,0,QB,QB1,6100,SEA,vs SF,15,26.25,8.7,16.7,20.2,1,39.31,296.15,1.69,0.68,0.1333,3.23,18.6,0.11,3.23,0,0,0,0,0,0,0,0,0,0,0,20.45,20.45,0,7.4,37.85,20.45,20.45,17,0,100,,52,43,3.4,17.48,2.9,14,14,14,24,21,21,28.75,19.43,210.1,0.53,2.33,1.25,89.54,2.98,14.98,0.08,0.02,0.02,-0.04,,,,,,,,
Austin Ekeler,,0,RB,RB1,5600,WAS,@ BAL,4,21.75,9.6,13.7,11.8,0,0,0,0,0,0.4765,14.3,64.95,0.56,20.18,0.1477,5.88,4.67,43.48,0.25,0,0,0,0,0,0,20.37,20.37,0,5.97,39.57,20.37,20.37,24,0,100,,87,42,3.6,10.8,1.9,23,4,4,29,22,22,,,,,,,,9.59,42.91,0.38,5.39,4.29,38.55,0.29,,,,,,,
Jayden Reed,,0,WR,WR1,7000,GB,vs ARI,1,26.25,8.4,13.8,19.5,0,0,0,0,0,0,0,0,0,9.3,0.229,9.3,6.85,94.31,0.67,0,0,0,0,0,0,20.3,20.3,0,7.7,37.1,20.3,20.3,25,0,100,,64,44,2.9,14.8,2.1,11,4,4,15,23,23,,,,,,,,0.9,10.9,0.14,5.81,4.05,57.48,0.48,,,,,,,
Baker Mayfield,,0,QB,QB1,6500,TB,@ NO,4,19.5,6.9,17.4,22.9,1,32.33,246.39,1.73,0.74,0.2363,6.75,23.75,0.3,6.75,0,0,0,0,0,0,0,0,0,0,0,20.21,20.21,0,9.86,34.01,20.21,20.21,1,0,100,,3,58,3.1,31.9,4.9,10,15,15,20,24,24,31.68,19.79,228.68,0.81,2.4,1.5,90.42,2.86,9.89,0.1,0.02,0.01,0.18,,,,,,,,
Justin Fields,,0,QB,QB1,5800,PIT,@ LV,24,16.75,10,19.2,18.9,1,28.2,202.72,0.97,0.62,0.2762,10.29,56.38,0.5,10.29,0,0,0,0,0,0,0,0,0,0,0,20.01,20.01,0,5.01,40.01,20.01,20.01,7,0,100,,18,44,3.5,23.7,4.1,17,16,16,27,25,25,24.31,14.89,169.67,0.69,3.29,1,81.8,8.89,53.16,0.38,,,,,,,,,,,
Bijan Robinson,,0,RB,RB1,6600,ATL,@ CAR,32,20,7.2,15.2,13.5,0,0,0,0,0,0.5879,19.96,86.21,0.36,25.51,0.1813,5.55,4.24,37.13,0.21,0,0,0,0,0,0,19.99,19.99,0,9.19,34.39,19.99,19.99,4,0,100,,12,51,3,25.5,3.9,13,5,5,19,26,26,,,,,,,,12.77,57.32,0.23,4.77,3.45,29,0.18,,,,,,,
Derrick Henry,,0,RB,RB1,8000,BAL,vs WAS,30,28.75,11.8,15.2,23.2,0,0,0,0,0,0.5862,20.68,100,0.96,23.1,0.0722,2.42,1.85,16.21,0.06,0,0,0,0,0,0,19.59,19.59,0,1.89,43.19,19.59,19.59,3,0,100,,6,30,2.4,28.2,3.5,2,6,6,5,27,27,0.08,0.06,0.31,,,0.04,14.11,17.46,83.5,0.77,1.73,1.34,12.3,0.03,,,,,,,
Jared Goff,,0,QB,QB1,6400,DET,@ DAL,8,24.5,8.4,18.9,17.2,1,39.12,301.17,1.9,0.83,0.0579,1.82,3.5,0.07,1.82,0,0,0,0,0,0,0,0,0,0,0,19.59,19.59,0,6.99,36.39,19.59,19.59,3,0,100,,7,53,3.1,28.1,4.4,11,17,17,21,27,27,35.06,22.7,259.89,0.7,1.86,1.57,94.89,2.04,4.19,0.1,0.02,0.02,0.1,0.01,,,,,,,
Spencer Rattler,,0,QB,QB1,4000,NO,vs TB,22,23,,,,1,34.13,253.22,1.75,0.84,0.1585,5.35,21.01,0.2,5.35,0,0,0,0,0,0,0,0,0,0,0,19.59,19.59,0,0,,19.59,19.59,20,0,100,,67,0,4.9,14.42,3.6,34,17,17,45,27,27,,,,,,,,,,,,,,,,,,,,,
Drake Maye,,0,QB,QB1,5000,NE,vs HOU,16,22.75,0,0,2.1,1,35.35,235.51,1.38,0.76,0.2934,8.49,35.54,0.28,8.49,0,0,0,0,0,0,0,0,0,0,0,19.41,19.41,0,19.41,19.41,19.41,19.41,9,0,100,,24,0,3.9,22.52,4.5,25,18,18,35,28,28,8,4,22,,2,,55.2,2,12,,,,,,,,,,,,
Joe Flacco,,0,QB,QB1,6000,IND,@ TEN,2,19.5,7.7,24.4,22.8,1,39.99,287.49,1.56,0.91,0.2218,5.12,11.3,0.22,5.12,0,0,0,0,0,0,0,0,0,0,0,19.28,19.28,0,7.73,34.68,19.28,19.28,19,0,100,,66,51,3.2,14.66,2.4,15,19,19,25,29,29,37.4,23.6,242.72,0.83,1.92,1.31,85.15,1.49,3.24,0.08,,,-0.04,,,,,,,,
Saquon Barkley,,0,RB,RB1,8200,PHI,vs CLE,23,25.25,9.9,16.3,26,0,0,0,0,0,0.5959,19.98,90.51,0.71,23.94,0.1138,3.96,2.87,20.16,0.13,0,0,0,0,0,0,18.98,18.98,0,4.13,38.78,18.98,18.98,32,0,100,,109,47,2.3,7.4,0.9,1,7,7,3,30,30,,,,,,,,16.33,72.38,0.5,5.27,3.85,28.01,0.17,,,,,,,
Ezekiel Elliott,,0,RB,RB2,4400,DAL,vs DET,11,28,9.1,10.3,5.1,0,0,0,0,0,0.5135,14.47,59.37,0.45,21.49,0.1561,7.02,5.32,37.65,0.21,0,0,0,0,0,0,18.98,18.98,0,5.33,37.18,18.98,18.98,50,0,100,,154,46,4.3,1.7,0.4,35,7,7,41,30,30,0.02,0.01,0.03,0.01,,,-2.61,16.68,71.9,0.57,3.79,2.87,21.24,0.11,,,,,,,
Chuba Hubbard,,0,RB,RB1,6300,CAR,vs ATL,27,26,7.1,10.9,17.5,0,0,0,0,0,0.6751,21.24,91.8,0.51,25.13,0.1079,3.89,3.34,22.35,0.12,0,0,0,0,0,0,18.54,18.54,0,7.89,32.74,18.54,18.54,17,0,100,,62,27,2.9,15.3,2.4,16,8,8,22,31,31,,,,,,,,11.02,45.63,0.27,2.23,1.83,12.69,0.04,,,,,,,
Alexander Mattison,,0,RB,RB1,5300,LV,vs PIT,2,19.75,6.7,8.4,10.4,0,0,0,0,0,0.7543,22.06,89.72,0.53,25.79,0.106,3.73,2.81,22.91,0.2,0,0,0,0,0,0,18.45,18.45,0,8.4,31.85,18.45,18.45,15,0,100,,51,4,3.5,17.5,3.3,26,9,9,32,32,32,,,,,,,,7.59,30.71,0.16,1.74,1.34,10.13,0.09,,,,,,,
Jahmyr Gibbs,,0,RB,RB2,7000,DET,@ DAL,21,24.5,8,16.6,17.8,0,0,0,0,0,0.4368,13.7,71.04,0.84,18.13,0.1132,4.43,3.23,19.73,0.17,0,0,0,0,0,0,18.37,18.37,0,6.37,34.37,18.37,18.37,21,0,100,,78,53,2.6,12.1,1.7,9,10,10,15,33,33,,,,,,,,12.42,64.74,0.68,4.42,3.32,20.63,0.11,,,,,,,
Justin Herbert,,0,QB,QB1,5500,LAC,@ DEN,11,17,8.8,19.3,10.9,1,32.45,226.66,1.63,0.54,0.1977,5.58,21.09,0.2,5.58,0,0,0,0,0,0,0,0,0,0,0,18.36,18.36,0,5.16,35.96,18.36,18.36,21,0,100,,70,58,3.3,13.68,2.5,20,20,20,30,34,34,38.08,25.33,269.7,0.65,2.06,1.8,96.24,3.61,14.18,0.17,0.05,0.05,,,,,,,,,
James Conner,,0,RB,RB1,6800,ARI,@ GB,20,20.75,10.3,16.4,16.1,0,0,0,0,0,0.6875,20.38,90.44,0.87,22.79,0.0753,2.41,2,15.35,0.09,0,0,0,0,0,0,18.34,18.34,0,2.89,38.94,18.34,18.34,31,0,100,,108,30,2.7,7.6,1.1,11,11,11,17,35,35,,,,,,,,12.85,55.89,0.57,3.12,2.57,19.88,0.11,,,,,,,
Bo Nix,,0,QB,QB1,5400,DEN,vs LAC,26,20,6,0,14.5,1,31.64,198.18,1.12,0.77,0.2644,7.88,30.51,0.59,7.88,0,0,0,0,0,0,0,0,0,0,0,18.23,18.23,0,9.23,30.23,18.23,18.23,11,0,100,,28,59,3.4,21.74,4,21,21,21,31,36,36,33,20.4,173.2,0.8,1.4,0.6,74.06,6.2,23.8,0.6,,,,,,,,,,,
Josh Jacobs,,0,RB,RB1,6700,GB,vs ARI,18,26.25,9,14.5,12.7,0,0,0,0,0,0.7066,22.83,97.37,0.68,26,0.078,3.17,2.44,17.14,0,0,0,0,0,0,0,17.97,17.97,0,4.47,35.97,17.97,17.97,22,0,100,,80,45,2.7,12,1.8,12,12,12,18,37,37,,,,,0.01,,,17.88,76.23,0.6,3.41,2.63,19.5,,,,,,,,
Terry McLaurin,,0,WR,WR1,6400,WAS,@ BAL,3,21.75,7.7,12.1,14.1,0,0,0,0,0,0,0,0,0,10.15,0.255,10.15,6.29,88.45,0.43,0,0,0,0,0,0,17.72,17.72,0,6.17,33.12,17.72,17.72,7,0,100,,19,45,2.8,23.3,3.6,17,5,5,21,38,38,,,,,,,,0.13,0.86,,7.56,4.72,65.72,0.32,,,,,,,
Wan'Dale Robinson,,0,WR,WR2,6100,NYG,vs CIN,7,25,5.8,8.9,13.8,0,0,0,0,0,0,0,0,0,11.58,0.3256,11.58,8.32,68.6,0.35,0,0,0,0,0,0,17.28,17.28,0,8.58,28.88,17.28,17.28,37,0,100,,93,41,2.8,10,1.6,20,6,6,24,39,39,,,,,,,,0.5,4,0.04,6,4.42,37.77,0.15,,,,,,,
Tony Pollard,,0,RB,RB1,6000,TEN,vs IND,29,22,8.5,13.3,14.6,0,0,0,0,0,0.6206,20.19,91.27,0.6,23.36,0.0958,3.17,2.47,16.56,0.05,0,0,0,0,0,0,17.15,17.15,0,4.4,34.15,17.15,17.15,14,0,100,,48,25,2.9,17.8,3,19,13,13,25,40,40,,,,,,,,10.04,47.16,0.3,2.98,2.3,17.13,0.06,,,,,,,
Joe Mixon,,0,RB,RB1,6900,HOU,@ NE,15,16.25,9.3,15.9,18.9,0,0,0,0,0,0.6369,16.31,67.53,0.53,20.52,0.1372,4.21,3.42,27.55,0.17,0,0,0,0,0,0,17.13,17.13,0,3.18,35.73,17.13,17.13,2,0,100,,4,42,2.5,30.2,4.4,10,14,14,16,41,41,,,,,,,,16.26,66.63,0.51,3.58,2.92,22.05,0.13,,,,,,,
Stefon Diggs,,0,WR,WR1,7400,HOU,@ NE,22,16.25,9.7,17,16.4,0,0,0,0,0,0,0,0,0,9,0.2933,9,6.19,78.95,0.49,0,0,0,0,0,0,17.03,17.03,0,2.48,36.43,17.03,17.03,13,0,100,,38,43,2.3,19.7,2.7,7,7,7,11,42,42,0.01,0.01,0.09,,0.01,,0.97,0.25,1.29,0.01,8.6,5.91,72.73,0.49,,,,,,,
Mike Evans,,0,WR,WR1,7300,TB,@ NO,23,19.5,10.2,17.1,16.1,0,0,0,0,0,0,0,0,0,9.02,0.2789,9.02,5.28,75.94,0.69,0,0,0,0,0,0,17.01,17.01,0,1.71,37.41,17.01,17.01,55,0,100,,122,40,2.3,5.4,0.7,8,8,8,12,43,43,,,,,,,,0.01,0.07,,8.56,4.98,75.74,0.6,,,,,,,
Antonio Gibson,,0,RB,RB1,5300,NE,vs HOU,12,22.75,6.9,8.1,7.5,0,0,0,0,0,0.5857,16.94,75.77,0.45,21.15,0.1191,4.21,3.43,26.46,0.11,0,0,0,0,0,0,17.01,17.01,0,6.66,30.81,17.01,17.01,33,0,100,,110,42,3.2,7.3,1.4,26,15,15,32,43,43,,,,,,,,10.26,43.18,0.33,3.36,2.73,20.74,0.11,,,,,,,
JaMarr Chase,,0,WR,WR1,8400,CIN,@ NYG,24,21,12.7,17.4,22.9,0,0,0,0,0,0,0,0,0,7.91,0.2224,7.91,5.52,79.19,0.59,0,0,0,0,0,0,16.98,16.98,0,0,42.38,16.98,16.98,29,0,100,,77,35,2,12.2,1.5,2,9,9,2,44,44,0.02,0.02,-0.14,,0.02,,1.13,0.3,0.46,,8.86,5.94,84.2,0.68,,,,,,,
Garrett Wilson,,0,WR,WR1,7100,NYJ,vs BUF,4,21.5,7.7,13,15.3,0,0,0,0,0,0,0,0,0,12.15,0.2672,12.15,6.93,77.21,0.38,0,0,0,0,0,0,16.93,16.93,0,5.38,32.33,16.93,16.93,2,0,100,,8,43,2.4,27.7,3.9,10,10,10,14,45,45,0.05,,,,,,0.05,0.23,0.23,,9.54,5.41,62.49,0.23,,,,,,,
Chris Godwin,,0,WR,WR2,6900,TB,@ NO,23,19.5,9.1,12.7,18.4,0,0,0,0,0,0,0,0,0,9.18,0.284,9.18,6.49,78.77,0.42,0,0,0,0,0,0,16.89,16.89,0,3.24,35.09,16.89,16.89,1,0,100,,1,38,2.4,38.5,5.6,12,11,11,16,46,46,0.01,,,,,,0.02,0.12,0.69,0.02,7.35,5.19,65.52,0.34,,,,,,,
D'Andre Swift,,0,RB,RB1,6200,CHI,vs JAC,17,23.25,7.7,12.9,13.8,0,0,0,0,0,0.5871,21.83,91.7,0.72,24.06,0.0689,2.23,1.71,13.33,0.05,0,0,0,0,0,0,16.83,16.83,0,5.28,32.23,16.83,16.83,9,0,100,,26,47,2.7,21.9,3.5,17,16,16,23,47,47,0.02,,,,,,0.65,10.93,48.57,0.41,4.48,3.44,25.85,0.13,,,,,,,
Caleb Williams,,0,QB,QB1,5700,CHI,vs JAC,29,23.25,7.8,0,15.6,1,32.33,226.83,1.14,0.77,0.1868,6.95,33.61,0.1,6.95,0,0,0,0,0,0,0,0,0,0,0,16.82,16.82,0,5.12,32.42,16.82,16.82,2,0,100,,5,50,3,29.64,5.2,18,22,22,28,48,48,34,21.4,218.2,0.8,3.4,1,84.06,4.2,22.6,,,,,,,,,,,,
Bucky Irving,,0,RB,RB1,5400,TB,@ NO,9,19.5,3.7,0,8.5,0,0,0,0,0,0.7249,20.7,103.46,0.51,22.99,0.0709,2.29,1.79,11.16,0.02,0,0,0,0,0,0,16.43,16.43,0,10.88,23.83,16.43,16.43,12,0,100,,44,56,3,18.5,3.4,25,17,17,31,49,49,,,,,,,,8.8,49.4,0.2,2,1.6,9.2,,,,,,,,
Travis Etienne,,0,RB,RB1,6400,JAC,@ CHI,14,21.75,8.5,17,11.8,0,0,0,0,0,0.5833,14.84,62.76,0.53,19.94,0.1192,5.1,3.97,27.7,0.02,0,0,0,0,0,0,16.32,16.32,0,3.57,33.32,16.32,16.32,60,0,100,,171,42,2.6,-0.1,,15,18,18,21,50,50,,,,,,,,13.85,60.62,0.46,3.59,2.79,22.64,0.03,,,,,,,
DK Metcalf,,0,WR,WR1,7000,SEA,vs SF,29,26.25,8.6,14.7,17.8,0,0,0,0,0,0,0,0,0,8.77,0.223,8.77,5.31,77.25,0.54,0,0,0,0,0,0,16.28,16.28,0,3.38,33.48,16.28,16.28,44,0,100,,107,42,2.3,7.8,1.1,11,12,12,15,51,51,,,,,,,,0.03,0.19,,7.6,4.62,67.1,0.52,,,,,,,
Jake Ferguson,,0,TE,TE1,5000,DAL,vs DET,11,28,5.5,10.4,11.2,0,0,0,0,0,0,0,0,0,9.87,0.2194,9.87,7.06,73.54,0.31,0,0,0,0,0,0,16.27,16.27,0,8.02,27.27,16.27,16.27,27,0,100,,133,35,3.3,4.1,0.8,7,2,2,35,52,52,,,,,,,,,,,4.81,3.5,36.38,0.22,,,,,,,
C.J. Stroud,,0,QB,QB1,7000,HOU,@ NE,14,16.25,8.8,20.2,18.4,1,30.68,232.56,1.33,0.41,0.1072,2.75,13.13,0.11,2.75,0,0,0,0,0,0,0,0,0,0,0,16.19,16.19,0,2.99,33.79,16.19,16.19,14,0,100,,41,56,2.3,19.38,2.8,5,23,23,15,53,53,33.8,22.05,274.65,0.4,2.6,1.5,99.3,2.65,11.75,0.15,0.05,0.05,,,,,,,,,
A.J. Brown,,0,WR,WR1,7800,PHI,vs CLE,8,25.25,10.6,18.4,25.9,0,0,0,0,0,0,0,0,0,8.61,0.2478,8.61,5.36,77.89,0.5,0,0,0,0,0,0,16.15,16.15,0,0.25,37.35,16.15,16.15,3,0,100,,10,37,2.1,26.6,3.4,5,13,13,7,54,54,0.02,,,,,,0.98,0.07,0.98,0.01,7.64,4.8,75.65,0.53,,,,,,,
Tyrone Tracy Jr,,0,RB,RB1,5700,NYG,vs CIN,22,25,6,0,5.6,0,0,0,0,0,0.5899,19.75,94.43,0.2,23.91,0.1169,4.16,2.79,22.14,0.04,0,0,0,0,0,0,15.89,15.89,0,6.89,27.89,15.89,15.89,8,0,100,,23,0,2.8,22.7,4,22,19,19,28,55,55,,,,,,,,6,31.6,,1.6,1,8.4,,,,,,,,
Tyler Lockett,,0,WR,WR3,5300,SEA,vs SF,29,26.25,9.5,11.9,9.9,0,0,0,0,0,0,0,0,0,8.31,0.2113,8.31,5.76,73.15,0.45,0,0,0,0,0,0,15.78,15.78,0,1.53,34.78,15.78,15.78,18,0,100,,56,27,3,16.5,3.1,28,14,14,32,56,56,,,,,,,,0.26,1.73,0.01,6.04,4.25,56.05,0.4,,,,,,,
Darius Slayton,,0,WR,WR1,4600,NYG,vs CIN,7,25,7.9,9.1,10.3,0,0,0,0,0,0,0,0,0,8.55,0.2404,8.55,5.18,76.18,0.48,0,0,0,0,0,0,15.68,15.68,0,3.83,31.48,15.68,15.68,31,0,100,,82,15,3.4,11.7,2.5,35,15,15,39,57,57,,,,,,,,0.04,-0.18,,5.31,3.05,45.74,0.26,,,,,,,
