,,,,,Games,,Passing,,,,,,,,,
37,David Blough,DET,24,qb,4,4,82,145,862,1220,8.4,571,7,3.9,291,3.5
38,Devlin Hodges,PIT,23,qb,7,5,91,135,968,1035,7.7,475,5.2,3.5,493,5.4
39,Drew Lock,DEN,23,qb,4,4,83,128,843,824,6.4,359,4.3,2.8,484,5.8
40,Nick Foles,JAX,30,qb,4,4,77,117,736,990,8.5,382,5,3.3,354,4.6
41,Josh Rosen,MIA,22,qb,6,3,58,109,567,871,8,246,4.2,2.3,321,5.5
42,Jeff Driskel,DET,26,qb,3,3,62,105,685,871,8.3,415,6.7,4,270,4.4
43,Matt Moore,KAN,35,qb,6,2,59,91,659,635,7,377,6.4,4.1,282,4.8
44,Cam Newton,CAR,30,qb,2,2,50,89,572,775,8.7,350,7,3.9,222,4.4
45,Ryan Finley,CIN,25,qb,3,3,41,87,474,568,6.5,212,5.2,2.4,262,6.4
46,Brandon Allen,DEN,27,qb,3,3,39,84,515,646,7.7,281,7.2,3.3,234,6
47,Luke Falk,NYJ,25,qb,3,2,47,73,416,397,5.4,152,3.2,2.1,264,5.6
48,Matt Schaub,ATL,38,qb,6,1,50,67,580,488,7.3,314,6.3,4.7,266,5.3
49,Brian Hoyer,IND,34,qb,4,1,35,65,372,559,8.6,215,6.1,3.3,157,4.5
50,Chase Daniel,CHI,33,qb,3,1,45,64,435,425,6.6,300,6.7,4.7,135,3
51,Ben Roethlisberger,PIT,37,qb,2,2,35,62,351,576,9.3,158,4.5,2.5,193,5.5
52,Will Grier,CAR,24,qb,1,1,27,44,224,402,9.1,53,2,1.2,171,6.3
53,Colt McCoy,WAS,33,qb,1,1,18,27,122,177,6.6,88,4.9,3.3,34,1.9
54,Robert Griffin,BAL,29,,6,0,12,17,129,147,8.6,95,7.9,5.6,34,2.8
55,Matt Barkley,BUF,29,,1,0,9,16,127,131,8.2,73,8.1,4.6,54,6
56,Mike Glennon,OAK,30,,2,0,6,10,56,112,11.2,38,6.3,3.8,18,3
57,Brett Hundley,ARI,26,,2,0,4,10,49,121,12.1,22,5.5,2.2,27,6.8
58,Taysom Hill,NOR,29,qb,15,4,3,6,55,89,14.8,43,14.3,7.2,12,4
59,Trevor Siemian,NYJ,28,qb,1,1,3,6,3,41,6.8,-8,-2.7,-1.3,11,3.7
60,Tyrod Taylor,LAC,30,,8,0,4,6,33,32,5.3,14,3.5,2.3,19,4.8
61,Josh McCown,PHI,40,,3,0,3,5,24,22,4.4,9,3,1.8,15,5
62,Jaylen Samuels,PIT,23,rb,13,4,4,5,35,-11,-2.2,-15,-3.8,-3,50,12.5
63,Tim Boyle,GNB,25,,3,0,3,4,15,10,2.5,1,0.3,0.3,14,4.7
64,Ryan Griffin,TAM,30,,2,0,2,4,18,12,3,5,2.5,1.3,13,6.5
65,Jarrett Stidham,NWE,23,,3,0,2,4,14,21,5.3,9,4.5,2.3,5,2.5
66,Garrett Gilbert,CLE,28,,5,0,0,3,0,47,15.7,0,,0,0,
67,Johnny Hekker,LAR,29,P,15,0,2,3,28,12,4,8,4,2.7,20,10
68,Odell Beckham,CLE,27,WR,15,15,1,2,20,65,32.5,15,15,7.5,5,5
69,Blake Bortles,LAR,27,,3,0,1,2,3,-3,-1.5,-3,-3,-1.5,6,6
70,Logan Cooke,JAX,24,P,15,0,2,2,16,8,4,8,4,4,8,4
71,Julian Edelman,NWE,33,WR,15,13,2,2,47,9,4.5,9,4.5,4.5,38,19
72,DeAndre Hopkins*,HOU,27,WR,15,15,1,2,6,9,4.5,0,0,0,6,6
73,Brett Kern*,TEN,33,P,15,0,1,2,11,33,16.5,3,3,1.5,8,8
74,Christian McCaffrey*,CAR,23,RB,15,15,0,2,0,16,8,0,,0,0,
75,Kenjon Barner,ATL,29,,13,0,1,1,3,-4,-4,-4,-4,-4,7,7
76,Andrew Beck,DEN,23,fb,15,5,1,1,6,-3,-3,-3,-3,-3,9,9
77,John Brown,BUF,29,WR,15,15,1,1,28,21,21,21,21,21,7,7
78,Randall Cobb,DAL,29,wr,14,5,0,1,0,0,0,0,,0,0,
79,Dustin Colquitt,KAN,37,P,15,0,0,1,0,4,4,0,,0,0,
80,Stefon Diggs,MIN,26,WR,15,15,0,1,0,12,12,0,,0,0,
81,Jake Elliott,PHI,24,K,15,0,0,1,0,6,6,0,,0,0,
82,Alex Erickson,CIN,27,wr,15,5,1,1,26,23,23,23,23,23,3,3
83,Josh Gordon,2TM,28,,11,7,0,1,0,33,33,0,,0,0,
84,Matt Haack,MIA,25,P,15,0,1,1,1,1,1,1,1,1,0,0
85,Kelvin Harmon,WAS,23,wr,15,7,1,1,11,6,6,6,6,6,5,5
86,Alvin Kamara,NOR,24,RB,13,9,1,1,13,11,11,11,11,11,2,2
87,Sam Koch,BAL,37,P,15,0,1,1,-2,-5,-5,-5,-5,-5,3,3
88,Cooper Kupp,LAR,26,WR,15,13,0,1,0,19,19,0,,0,0,
89,Andy Lee,ARI,37,P,14,0,1,1,26,26,26,26,26,26,0,0
90,A.J. McCarron,HOU,29,,1,0,0,1,0,5,5,0,,0,0,
91,Michael Palardy,CAR,27,P,15,0,1,1,12,10,10,10,10,10,2,2
92,Zach Pascal,IND,25,WR,15,12,0,1,0,21,21,0,,0,0,
93,Dante Pettis,SFO,24,wr,11,4,1,1,16,-4,-4,-4,-4,-4,20,20
94,Bilal Powell,NYJ,31,rb,12,1,0,1,0,13,13,0,,0,0,
95,Emmanuel Sanders,2TM,32,,16,15,1,1,35,22,22,22,22,22,13,13
96,Steven Sims,WAS,22,wr,15,1,0,1,0,5,5,0,,0,0,
97,Courtland Sutton,DEN,24,WR,15,13,1,1,38,37,37,37,37,37,1,1
98,Alex Tanney,NYG,32,,1,0,1,1,1,1,1,1,1,1,0,0
99,James White,NWE,27,rb,14,1,1,1,35,8,8,8,8,8,27,27
