,,,,,Games,,Passing,,,,,,,,,,,
Rk,Player,Tm,Age,Pos,G,GS,Cmp,Att,Yds,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,OnTgt,OnTgt%
72,Randall Cobb,DAL,29,wr,12,5,0,1,0,0,1,0,0,0.00%,0,0.00%,0,0.00%
73,Dustin Colquitt,KAN,37,P,13,0,0,1,0,0,0,0,0,0.00%,0,0.00%,0,0.00%
74,Logan Cooke,JAX,24,P,13,0,1,1,9,0,0,0,0,0.00%,0,0.00%,0,0.00%
75,Jake Elliott,PHI,24,K,13,0,0,1,0,0,0,0,0,0.00%,0,0.00%,0,0.00%
76,Alex Erickson,CIN,27,wr,13,3,1,1,26,0,0,0,0,0.00%,0,0.00%,1,100.00%
77,Matt Haack,MIA,25,P,13,0,1,1,1,0,0,0,0,0.00%,0,0.00%,0,0.00%
78,Brett Hundley,ARI,26,,1,0,0,1,0,0,0,0,0,0.00%,1,100.00%,0,0.00%
79,Alvin Kamara,NOR,24,RB,11,8,1,1,13,0,0,0,0,0.00%,0,0.00%,1,100.00%
80,Brett Kern,TEN,33,P,13,0,1,1,11,0,0,0,0,0.00%,0,0.00%,0,0.00%
81,Sam Koch,BAL,37,P,13,0,1,1,-2,0,0,0,0,0.00%,0,0.00%,0,0.00%
82,Cooper Kupp,LAR,26,WR,13,11,0,1,0,0,0,0,0,0.00%,1,100.00%,0,0.00%
83,Andy Lee,ARI,37,P,12,0,1,1,26,0,0,0,0,0.00%,0,0.00%,0,0.00%
84,Christian McCaffrey,CAR,23,RB,13,13,0,1,0,0,1,0,0,0.00%,0,0.00%,0,0.00%
85,A.J. McCarron,HOU,29,,1,0,0,1,0,0,0,0,0,0.00%,0,0.00%,0,0.00%
86,Zach Pascal,IND,25,WR,13,11,0,1,0,0,0,0,0,0.00%,1,100.00%,0,0.00%
87,Dante Pettis,SFO,24,wr,11,4,1,1,16,0,0,0,0,0.00%,0,0.00%,1,100.00%
88,Bilal Powell,NYJ,31,rb,11,1,0,1,0,0,0,0,0,0.00%,1,100.00%,0,0.00%
89,Emmanuel Sanders,2TM,32,,14,13,1,1,35,0,0,0,0,0.00%,0,0.00%,1,100.00%
90,Steven Sims,WAS,22,,13,0,0,1,0,0,1,0,0,0.00%,0,0.00%,0,0.00%
91,Courtland Sutton,DEN,24,WR,13,11,1,1,38,0,0,0,0,0.00%,0,0.00%,1,100.00%
92,James White,NWE,27,rb,12,1,1,1,35,0,0,0,0,0.00%,0,0.00%,1,100.00%
