,,,,,Games,,Passing,,,,,,,,,,,
48,Ben Roethlisberger,PIT,37,qb,2,2,35,62,351,2,0,0,7,11.30%,12,19.40%,44,71.00%
49,Devlin Hodges,PIT,23,qb,3,1,27,40,318,1,3,0,1,2.70%,8,21.60%,28,75.70%
50,Colt McCoy,WAS,33,qb,1,1,18,27,122,1,0,0,0,0.00%,6,22.20%,20,74.10%
51,Matt Barkley,BUF,29,,1,0,9,16,127,1,0,0,1,6.30%,4,25.00%,10,62.50%
52,Robert Griffin,BAL,29,,4,0,12,16,129,0,0,0,0,0.00%,0,0.00%,15,93.80%
53,Mike Glennon,OAK,30,,2,0,6,10,56,0,0,0,0,0.00%,3,30.00%,7,70.00%
54,Trevor Siemian,NYJ,28,qb,1,1,3,6,3,0,1,0,0,0.00%,2,40.00%,3,60.00%
55,Josh McCown,PHI,40,,3,0,3,5,24,1,0,0,1,20.00%,0,0.00%,4,80.00%
56,Jaylen Samuels,PIT,23,rb,9,2,4,5,35,0,0,0,0,0.00%,1,20.00%,4,80.00%
57,Tim Boyle,GNB,25,,2,0,3,4,15,0,0,0,0,0.00%,1,25.00%,3,75.00%
58,Jarrett Stidham,NWE,23,,3,0,2,4,14,0,0,0,0,0.00%,2,50.00%,2,50.00%
59,Odell Beckham,CLE,27,WR,11,11,1,2,20,0,0,0,0,0.00%,0,0.00%,2,100.00%
60,Julian Edelman,NWE,33,WR,11,10,2,2,47,0,0,0,0,0.00%,0,0.00%,2,100.00%
61,Johnny Hekker,LAR,29,P,11,0,1,2,23,0,0,0,0,0.00%,0,0.00%,0,0.00%
62,Taysom Hill,NOR,29,qb,11,1,2,2,35,0,0,0,0,0.00%,0,0.00%,2,100.00%
63,Kenjon Barner,ATL,29,,9,0,1,1,3,0,0,0,0,0.00%,0,0.00%,1,100.00%
64,Randall Cobb,DAL,29,wr,10,4,0,1,0,0,1,0,0,0.00%,0,0.00%,0,0.00%
65,Dustin Colquitt,KAN,37,P,11,0,0,1,0,0,0,0,0,0.00%,0,0.00%,0,0.00%
66,Jake Elliott,PHI,24,K,11,0,0,1,0,0,0,0,0,0.00%,0,0.00%,0,0.00%
67,Garrett Gilbert,CLE,28,,3,0,0,1,0,0,0,0,0,0.00%,0,0.00%,0,0.00%
68,DeAndre Hopkins,HOU,27,WR,11,11,0,1,0,0,0,0,0,0.00%,0,0.00%,0,0.00%
69,Brett Hundley,ARI,26,,1,0,0,1,0,0,0,0,0,0.00%,1,100.00%,0,0.00%
70,Alvin Kamara,NOR,24,RB,9,6,1,1,13,0,0,0,0,0.00%,0,0.00%,1,100.00%
71,Brett Kern,TEN,33,P,11,0,1,1,11,0,0,0,0,0.00%,0,0.00%,0,0.00%
72,Sam Koch,BAL,37,P,11,0,1,1,-2,0,0,0,0,0.00%,0,0.00%,0,0.00%
73,Andy Lee,ARI,37,P,10,0,1,1,26,0,0,0,0,0.00%,0,0.00%,0,0.00%
74,Christian McCaffrey,CAR,23,RB,11,11,0,1,0,0,1,0,0,0.00%,0,0.00%,0,0.00%
75,A.J. McCarron,HOU,29,,1,0,0,1,0,0,0,0,0,0.00%,0,0.00%,0,0.00%
76,Zach Pascal,IND,25,WR,11,9,0,1,0,0,0,0,0,0.00%,1,100.00%,0,0.00%
77,Dante Pettis,SFO,24,wr,11,4,1,1,16,0,0,0,0,0.00%,0,0.00%,1,100.00%
78,Bilal Powell,NYJ,31,,9,0,0,1,0,0,0,0,0,0.00%,1,100.00%,0,0.00%
79,Steven Sims,WAS,22,,11,0,0,1,0,0,1,0,0,0.00%,0,0.00%,0,0.00%
80,Courtland Sutton,DEN,24,WR,11,9,1,1,38,0,0,0,0,0.00%,0,0.00%,1,100.00%
81,Tyrod Taylor,LAC,30,,5,0,1,1,7,0,0,0,0,0.00%,0,0.00%,1,100.00%
