,,,,,Games,,Passing,,,,,,,,,
32,Drew Brees,NOR,40,QB,5,5,129,171,1296,1012,5.9,643,5,3.8,653,5.1
33,Marcus Mariota,TEN,26,QB,6,6,94,159,1179,1113,7,597,6.4,3.8,582,6.2
34,Ryan Tannehill,TEN,31,qb,6,4,97,136,1161,1251,9.2,685,7.1,5,476,4.9
35,Josh Rosen,MIA,22,qb,6,3,58,109,567,871,8,246,4.2,2.3,321,5.5
36,Matt Moore,KAN,35,qb,4,2,59,91,659,635,7,377,6.4,4.1,282,4.8
37,Eli Manning,NYG,38,qb,2,2,56,89,556,644,7.2,323,5.8,3.6,233,4.2
38,Cam Newton,CAR,30,qb,2,2,50,89,572,774,8.7,350,7,3.9,222,4.4
39,Dwayne Haskins,WAS,22,qb,4,2,46,79,498,555,7,235,5.1,3,263,5.7
40,Luke Falk,NYJ,25,qb,3,2,47,73,416,397,5.4,152,3.2,2.1,264,5.6
41,Jeff Driskel,DET,26,qb,2,2,42,72,478,574,8,295,7,4.1,183,4.4
42,Brian Hoyer,IND,34,qb,3,1,35,65,372,559,8.6,215,6.1,3.3,157,4.5
43,Chase Daniel,CHI,33,qb,3,1,45,64,435,425,6.6,300,6.7,4.7,135,3
44,Ben Roethlisberger,PIT,37,qb,2,2,35,62,351,576,9.3,158,4.5,2.5,193,5.5
45,Ryan Finley,CIN,25,qb,2,2,29,61,282,426,7,144,5,2.4,138,4.8
46,Brandon Allen,DEN,27,qb,2,2,29,59,433,499,8.5,251,8.7,4.3,182,6.3
47,Matt Schaub,ATL,38,qb,4,1,45,58,525,409,7.1,281,6.2,4.8,244,5.4
48,Nick Foles,JAX,30,qb,2,2,38,55,371,502,9.1,202,5.3,3.7,169,4.4
49,Devlin Hodges,PIT,23,qb,2,1,22,29,200,138,4.8,57,2.6,2,143,6.5
50,Colt McCoy,WAS,33,qb,1,1,18,27,122,177,6.6,88,4.9,3.3,34,1.9
51,Matt Barkley,BUF,29,,1,0,9,16,127,131,8.2,73,8.1,4.6,54,6
52,Robert Griffin,BAL,29,,3,0,11,13,90,89,6.8,56,5.1,4.3,34,3.1
53,Trevor Siemian,NYJ,28,qb,1,1,3,6,3,41,6.8,-8,-2.7,-1.3,11,3.7
54,Josh McCown,PHI,40,,3,0,3,5,24,22,4.4,9,3,1.8,15,5
55,Jaylen Samuels,PIT,23,rb,8,2,4,5,35,-11,-2.2,-15,-3.8,-3,50,12.5
56,Jarrett Stidham,NWE,23,,3,0,2,4,14,21,5.3,9,4.5,2.3,5,2.5
57,Mike Glennon,OAK,30,,1,0,2,3,36,48,16,28,14,9.3,8,4
58,Odell Beckham,CLE,27,WR,10,10,1,2,20,65,32.5,15,15,7.5,5,5
59,Julian Edelman,NWE,33,WR,10,9,2,2,47,9,4.5,9,4.5,4.5,38,19
60,Johnny Hekker,LAR,29,P,10,0,1,2,23,7,3.5,3,3,1.5,20,20
61,Taysom Hill,NOR,29,qb,10,1,2,2,35,32,16,32,16,16,3,1.5
62,Kenjon Barner,ATL,29,,8,0,1,1,3,-4,-4,-4,-4,-4,7,7
63,Randall Cobb,DAL,29,wr,9,4,0,1,0,0,0,0,,0,0,
64,Dustin Colquitt,KAN,37,P,11,0,0,1,0,4,4,0,,0,0,
65,Jake Elliott,PHI,24,K,10,0,0,1,0,6,6,0,,0,0,
66,Garrett Gilbert,CLE,28,,2,0,0,1,0,4,4,0,,0,0,
67,DeAndre Hopkins,HOU,27,WR,10,10,0,1,0,9,9,0,,0,0,
68,Brett Hundley,ARI,26,,1,0,0,1,0,44,44,0,,0,0,
69,Alvin Kamara,NOR,24,RB,8,6,1,1,13,11,11,11,11,11,2,2
70,Brett Kern,TEN,33,P,10,0,1,1,11,3,3,3,3,3,8,8
71,Sam Koch,BAL,37,P,10,0,1,1,-2,-5,-5,-5,-5,-5,3,3
72,Andy Lee,ARI,37,P,10,0,1,1,26,26,26,26,26,26,0,0
73,Christian McCaffrey,CAR,23,RB,10,10,0,1,0,0,0,0,,0,0,
74,A.J. McCarron,HOU,29,,1,0,0,1,0,5,5,0,,0,0,
75,Zach Pascal,IND,25,WR,10,8,0,1,0,21,21,0,,0,0,
76,Dante Pettis,SFO,24,wr,10,4,1,1,16,-4,-4,-4,-4,-4,20,20
77,Bilal Powell,NYJ,31,,8,0,0,1,0,13,13,0,,0,0,
78,Courtland Sutton,DEN,24,WR,10,8,1,1,38,37,37,37,37,37,1,1
79,Tyrod Taylor,LAC,30,,5,0,1,1,7,7,7,7,7,7,0,0
