,,,,,Games,,Passing,,,,,,,,,
28,Mason Rudolph,PIT,24,QB,9,8,162,263,1636,2107,8,761,4.7,2.9,875,5.4
29,Joe Flacco,DEN,34,QB,8,8,171,262,1822,1747,6.7,912,5.3,3.5,910,5.3
30,Drew Brees,NOR,40,QB,7,7,177,240,1791,1553,6.5,905,5.1,3.8,886,5
31,Teddy Bridgewater,NOR,27,qb,7,5,132,195,1370,1215,6.2,639,4.8,3.3,731,5.5
32,Case Keenum,WAS,31,QB,8,7,126,188,1343,1306,6.9,716,5.7,3.8,627,5
33,Ryan Tannehill,TEN,31,QB,8,6,128,176,1602,1555,8.8,867,6.8,4.9,735,5.7
34,Marcus Mariota,TEN,26,QB,6,6,94,159,1179,1113,7,597,6.4,3.8,582,6.2
35,Dwayne Haskins,WAS,22,qb,6,4,72,133,801,1145,8.6,445,6.2,3.3,356,4.9
36,Nick Foles,JAX,30,qb,4,4,77,117,736,990,8.5,382,5,3.3,354,4.6
37,Josh Rosen,MIA,22,qb,6,3,58,109,567,871,8,246,4.2,2.3,321,5.5
38,Jeff Driskel,DET,26,qb,3,3,62,105,685,871,8.3,415,6.7,4,270,4.4
39,Matt Moore,KAN,35,qb,5,2,59,91,659,635,7,377,6.4,4.1,282,4.8
40,Eli Manning,NYG,38,qb,2,2,56,89,556,644,7.2,323,5.8,3.6,233,4.2
41,Cam Newton,CAR,30,qb,2,2,50,89,572,774,8.7,350,7,3.9,222,4.4
42,Ryan Finley,CIN,25,qb,3,3,41,87,474,568,6.5,212,5.2,2.4,262,6.4
43,Brandon Allen,DEN,27,qb,3,3,39,84,515,646,7.7,281,7.2,3.3,234,6
44,Luke Falk,NYJ,25,qb,3,2,47,73,416,397,5.4,152,3.2,2.1,264,5.6
45,Matt Schaub,ATL,38,qb,5,1,50,67,580,488,7.3,314,6.3,4.7,266,5.3
46,Brian Hoyer,IND,34,qb,3,1,35,65,372,559,8.6,215,6.1,3.3,157,4.5
47,Chase Daniel,CHI,33,qb,3,1,45,64,435,425,6.6,300,6.7,4.7,135,3
48,Ben Roethlisberger,PIT,37,qb,2,2,35,62,351,576,9.3,158,4.5,2.5,193,5.5
49,Devlin Hodges,PIT,23,qb,4,2,41,61,530,447,7.3,237,5.8,3.9,293,7.1
50,David Blough,DET,24,qb,1,1,22,38,280,349,9.2,172,7.8,4.5,108,4.9
51,Drew Lock,DEN,23,qb,1,1,18,28,134,184,6.6,80,4.4,2.9,54,3
52,Colt McCoy,WAS,33,qb,1,1,18,27,122,177,6.6,88,4.9,3.3,34,1.9
53,Matt Barkley,BUF,29,,1,0,9,16,127,131,8.2,73,8.1,4.6,54,6
54,Robert Griffin,BAL,29,,4,0,12,16,129,144,9,95,7.9,5.9,34,2.8
55,Mike Glennon,OAK,30,,2,0,6,10,56,112,11.2,38,6.3,3.8,18,3
56,Trevor Siemian,NYJ,28,qb,1,1,3,6,3,41,6.8,-8,-2.7,-1.3,11,3.7
57,Josh McCown,PHI,40,,3,0,3,5,24,22,4.4,9,3,1.8,15,5
58,Jaylen Samuels,PIT,23,rb,10,3,4,5,35,-11,-2.2,-15,-3.8,-3,50,12.5
59,Tim Boyle,GNB,25,,3,0,3,4,15,10,2.5,1,0.3,0.3,14,4.7
60,Jarrett Stidham,NWE,23,,3,0,2,4,14,21,5.3,9,4.5,2.3,5,2.5
61,Garrett Gilbert,CLE,28,,4,0,0,3,0,47,15.7,0,,0,0,
62,Taysom Hill,NOR,29,qb,12,2,2,3,35,38,12.7,32,16,10.7,3,1.5
63,Odell Beckham,CLE,27,WR,12,12,1,2,20,65,32.5,15,15,7.5,5,5
64,Blake Bortles,LAR,27,,3,0,1,2,3,-3,-1.5,-3,-3,-1.5,6,6
65,Julian Edelman,NWE,33,WR,12,10,2,2,47,9,4.5,9,4.5,4.5,38,19
66,Johnny Hekker,LAR,29,P,12,0,1,2,23,7,3.5,3,3,1.5,20,20
67,DeAndre Hopkins,HOU,27,WR,12,12,1,2,6,9,4.5,0,0,0,6,6
68,Kenjon Barner,ATL,29,,10,0,1,1,3,-4,-4,-4,-4,-4,7,7
69,John Brown,BUF,29,WR,12,12,1,1,28,21,21,21,21,21,7,7
70,Randall Cobb,DAL,29,wr,11,4,0,1,0,0,0,0,,0,0,
71,Dustin Colquitt,KAN,37,P,12,0,0,1,0,4,4,0,,0,0,
72,Jake Elliott,PHI,24,K,12,0,0,1,0,6,6,0,,0,0,
73,Matt Haack,MIA,25,P,12,0,1,1,1,1,1,1,1,1,0,0
74,Brett Hundley,ARI,26,,1,0,0,1,0,44,44,0,,0,0,
75,Alvin Kamara,NOR,24,RB,10,7,1,1,13,11,11,11,11,11,2,2
76,Brett Kern,TEN,33,P,12,0,1,1,11,3,3,3,3,3,8,8
77,Sam Koch,BAL,37,P,12,0,1,1,-2,-5,-5,-5,-5,-5,3,3
78,Andy Lee,ARI,37,P,11,0,1,1,26,26,26,26,26,26,0,0
79,Christian McCaffrey,CAR,23,RB,12,12,0,1,0,0,0,0,,0,0,
80,A.J. McCarron,HOU,29,,1,0,0,1,0,5,5,0,,0,0,
81,Zach Pascal,IND,25,WR,12,10,0,1,0,21,21,0,,0,0,
82,Dante Pettis,SFO,24,wr,11,4,1,1,16,-4,-4,-4,-4,-4,20,20
83,Bilal Powell,NYJ,31,,10,0,0,1,0,13,13,0,,0,0,
84,Steven Sims,WAS,22,,12,0,0,1,0,5,5,0,,0,0,
85,Courtland Sutton,DEN,24,WR,12,10,1,1,38,37,37,37,37,37,1,1
86,Tyrod Taylor,LAC,30,,6,0,1,1,7,7,7,7,7,7,0,0
