,,,,,Games,,Passing,,,,,,,,,,,
43,Chase Daniel,CHI,33,qb,3,1,45,64,435,1,0,0,4,6.30%,9,14.10%,51,79.70%
44,Ben Roethlisberger,PIT,37,qb,2,2,35,62,351,2,0,0,7,11.30%,12,19.40%,44,71.00%
45,Ryan Finley,CIN,25,qb,2,2,29,61,282,1,2,0,3,5.10%,13,22.00%,39,66.10%
46,Brandon Allen,DEN,27,qb,2,2,29,59,433,1,7,0,2,3.80%,12,23.10%,34,65.40%
47,Matt Schaub,ATL,38,qb,4,1,45,58,525,0,1,2,0,0.00%,7,12.70%,45,81.80%
48,Nick Foles,JAX,30,qb,2,2,38,55,371,0,0,0,0,0.00%,6,10.90%,42,76.40%
49,Devlin Hodges,PIT,23,qb,2,1,22,29,200,0,0,0,1,3.40%,6,20.70%,23,79.30%
50,Colt McCoy,WAS,33,qb,1,1,18,27,122,1,0,0,0,0.00%,6,22.20%,20,74.10%
51,Matt Barkley,BUF,29,,1,0,9,16,127,1,0,0,1,6.30%,4,25.00%,10,62.50%
52,Robert Griffin,BAL,29,,3,0,11,13,90,0,0,0,0,0.00%,0,0.00%,12,92.30%
53,Trevor Siemian,NYJ,28,qb,1,1,3,6,3,0,1,0,0,0.00%,2,40.00%,3,60.00%
54,Josh McCown,PHI,40,,3,0,3,5,24,1,0,0,1,20.00%,0,0.00%,4,80.00%
55,Jaylen Samuels,PIT,23,rb,8,2,4,5,35,0,0,0,0,0.00%,1,20.00%,4,80.00%
56,Jarrett Stidham,NWE,23,,3,0,2,4,14,0,0,0,0,0.00%,2,50.00%,2,50.00%
57,Mike Glennon,OAK,30,,1,0,2,3,36,0,0,0,0,0.00%,1,33.30%,2,66.70%
58,Odell Beckham,CLE,27,WR,10,10,1,2,20,0,0,0,0,0.00%,0,0.00%,2,100.00%
59,Julian Edelman,NWE,33,WR,10,9,2,2,47,0,0,0,0,0.00%,0,0.00%,2,100.00%
60,Johnny Hekker,LAR,29,P,10,0,1,2,23,0,0,0,0,0.00%,0,0.00%,0,0.00%
61,Taysom Hill,NOR,29,qb,10,1,2,2,35,0,0,0,0,0.00%,0,0.00%,2,100.00%
62,Kenjon Barner,ATL,29,,8,0,1,1,3,0,0,0,0,0.00%,0,0.00%,1,100.00%
63,Randall Cobb,DAL,29,wr,9,4,0,1,0,0,1,0,0,0.00%,0,0.00%,0,0.00%
64,Dustin Colquitt,KAN,37,P,11,0,0,1,0,0,0,0,0,0.00%,0,0.00%,0,0.00%
65,Jake Elliott,PHI,24,K,10,0,0,1,0,0,0,0,0,0.00%,0,0.00%,0,0.00%
66,Garrett Gilbert,CLE,28,,2,0,0,1,0,0,0,0,0,0.00%,0,0.00%,0,0.00%
67,DeAndre Hopkins,HOU,27,WR,10,10,0,1,0,0,0,0,0,0.00%,0,0.00%,0,0.00%
68,Brett Hundley,ARI,26,,1,0,0,1,0,0,0,0,0,0.00%,1,100.00%,0,0.00%
69,Alvin Kamara,NOR,24,RB,8,6,1,1,13,0,0,0,0,0.00%,0,0.00%,1,100.00%
70,Brett Kern,TEN,33,P,10,0,1,1,11,0,0,0,0,0.00%,0,0.00%,0,0.00%
71,Sam Koch,BAL,37,P,10,0,1,1,-2,0,0,0,0,0.00%,0,0.00%,0,0.00%
72,Andy Lee,ARI,37,P,10,0,1,1,26,0,0,0,0,0.00%,0,0.00%,0,0.00%
73,Christian McCaffrey,CAR,23,RB,10,10,0,1,0,0,1,0,0,0.00%,0,0.00%,0,0.00%
74,A.J. McCarron,HOU,29,,1,0,0,1,0,0,0,0,0,0.00%,0,0.00%,0,0.00%
75,Zach Pascal,IND,25,WR,10,8,0,1,0,0,0,0,0,0.00%,1,100.00%,0,0.00%
76,Dante Pettis,SFO,24,wr,10,4,1,1,16,0,0,0,0,0.00%,0,0.00%,1,100.00%
77,Bilal Powell,NYJ,31,,8,0,0,1,0,0,0,0,0,0.00%,1,100.00%,0,0.00%
78,Courtland Sutton,DEN,24,WR,10,8,1,1,38,0,0,0,0,0.00%,0,0.00%,1,100.00%
79,Tyrod Taylor,LAC,30,,5,0,1,1,7,0,0,0,0,0.00%,0,0.00%,1,100.00%
