player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Chandler Jones,7027,ED,LV,1,1,0,,0,0,23,61.0,67.5,78.2,65.7,62.2,28.9,1,1,0,,25.0,1,0,0,0.0,0,0,0,0,2,60,60,0,2,57,1,0,0,30,28,0,2,2,0,2,0,0,0,
Bobby Wagner,7050,LB,LA,1,1,0,100.0,0,0,26,59.9,72.5,77.1,86.5,68.4,80.7,0,0,0,8,0.0,0,0,0,91.7,3,1,53,0,33,58,3,0,0,3,0,0,55,5,20,2,4,5,3,1,0,18,21,6.0
Lavonte David,7060,LB,TB,1,1,0,75.0,0,0,30,83.1,79.9,76.6,62.1,55.9,78.3,0,0,0,13,0.0,0,1,0,80.2,3,0,64,1,44,69,1,0,0,1,0,0,68,6,19,3,1,4,4,0,0,15,2,5.0
Casey Hayward Jr.,7064,CB,ATL,1,1,0,50.0,0,0,2,50.3,55.0,77.9,,75.5,44.9,0,0,0,40,20.0,1,0,0,95.8,2,0,2,55,40,59,0,0,0,0,0,0,59,0,19,2,1,3,4,0,0,71,13,35.5
Demario Davis,7079,LB,NO,1,2,0,50.0,0,0,20,59.3,71.4,79.2,61.0,73.9,55.1,1,0,0,31,14.3,1,0,0,86.5,2,0,65,1,39,75,3,0,0,3,0,0,72,0,36,6,3,4,4,1,0,41,19,20.5
Akiem Hicks,7090,DI,TB,1,0,0,,0,0,30,,55.5,77.7,56.5,56.1,69.0,1,1,0,,0.0,0,0,0,0.0,0,0,0,0,0,40,40,2,23,5,10,0,0,26,14,0,1,2,0,2,0,0,0,
Rodney McLeod,7271,S,IND,1,0,0,,0,0,14,60.0,60.2,65.6,,60.0,,0,0,0,,,0,0,0,0.0,0,0,0,1,1,2,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,
Tashaun Gipson Sr.,7288,S,SF,1,1,0,0.0,0,0,28,70.8,80.3,75.8,,77.2,83.6,0,0,0,,0.0,0,0,0,39.6,0,0,7,1,24,57,0,0,0,0,0,44,57,0,33,5,0,2,1,0,0,0,0,
Harrison Smith,7641,S,MIN,1,1,0,80.0,0,0,18,89.3,87.5,78.2,,36.5,72.4,0,0,1,15,12.5,1,0,0,48.8,4,0,5,1,43,61,0,0,0,0,0,50,61,0,18,5,2,6,5,0,0,26,15,6.5
Darius Slay,7817,CB,PHI,1,0,0,33.3,0,0,24,75.3,73.6,77.6,,60.2,63.9,0,0,0,29,0.0,0,0,0,92.4,3,0,3,64,41,67,0,0,0,0,0,0,67,0,26,0,2,6,9,0,1,55,12,18.3
Johnathan Hankins,7830,DI,LV,1,1,0,,0,0,23,,49.2,76.7,52.9,51.9,69.1,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,32,32,2,24,0,6,0,0,15,17,0,0,1,0,0,0,0,0,
Tyrann Mathieu,7850,S,NO,1,2,0,66.7,0,0,20,76.3,79.2,79.5,,66.2,84.9,0,0,0,5,0.0,0,0,0,70.1,2,0,21,0,39,75,3,0,0,3,0,43,72,0,36,8,1,5,3,0,0,6,5,3.0
John Jenkins,7863,DI,MIA,1,1,0,,0,0,17,,47.4,72.6,54.3,52.8,68.6,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,10,10,4,4,0,2,0,0,6,4,0,0,0,0,0,0,0,0,
Logan Ryan,7864,S,TB,1,1,0,100.0,0,0,30,53.4,54.0,75.7,,63.7,82.6,0,0,0,17,0.0,0,0,0,118.8,2,0,5,0,45,57,0,0,0,0,0,48,57,0,12,4,2,3,2,0,0,33,1,16.5
Duron Harmon,7872,S,LV,1,1,0,100.0,0,0,23,65.4,69.5,76.5,,65.9,82.8,0,0,0,10,0.0,0,0,0,108.3,1,0,8,0,21,45,0,0,0,0,0,33,45,0,24,4,1,2,1,0,0,10,7,10.0
William Gholston,7908,DI,TB,1,0,0,,0,0,30,60.0,51.2,74.9,55.7,51.5,,1,0,0,,,0,0,0,0.0,0,0,0,0,1,25,25,0,14,1,10,0,0,15,9,0,0,0,0,1,0,0,0,
Steven Means,7929,ED,BLT,1,0,0,,0,0,3,60.0,73.2,75.6,65.1,69.7,72.4,0,1,0,,0.0,0,0,0,0.0,0,0,0,0,1,28,28,0,0,27,1,0,0,18,9,0,0,1,0,1,0,0,0,
Micah Hyde,7941,S,BUF,1,2,0,100.0,0,0,4,74.9,74.2,81.6,,49.2,56.0,0,0,0,6,16.7,1,0,0,81.3,2,0,5,1,49,65,0,0,0,0,0,55,65,0,16,4,1,3,2,0,0,7,6,3.5
