,,,,,,Game and Vegas,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,Proj. Fantasy Pts,,,Projected Values,,,,,,,,,Position Rankings,,,Overall Rankings,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
Deshaun Watson,!,0,QB,QB1,5700,CLE,@ IND,28,21,9.1,15.1,19.1,1,30.7,231.44,1.6,0.66,0.2645,7.14,37.79,0.37,7.14,0,0,0,0,0,0,0,0,0,0,0,21,21,0,7.35,39.2,21,21,0,100,,60,3.7,15,7,7,30,11,11,32.08,21.44,259.12,0.67,3.3,1.8,101.54,5.73,30.71,0.32,0.02,0.02,0.09,0.02,,,,,,,
Justin Herbert,,0,QB,QB1,8000,LAC,@ KC,6,21.25,8.1,18.2,24.6,1,39.57,286.51,1.94,0.64,0.1707,3.3,11.41,0.2,3.3,0,0,0,0,0,0,0,0,0,0,0,20.92,20.92,0,8.77,37.12,20.92,20.92,0,100,,64,2.6,4,8,8,8,12,12,39.78,26.69,285.57,0.69,2.06,1.91,98.06,3.67,14.06,0.2,0.06,0.06,,,,,,,,,
Tua Tagovailoa,,0,QB,QB1,7700,MIA,@ PHI,26,24.75,8.9,19.4,22.7,1,36.28,301.55,2.04,0.88,0.1126,2.57,6.72,0.08,2.57,0,0,0,0,0,0,0,0,0,0,0,20.49,20.49,0,7.14,38.29,20.49,20.49,0,100,,49,2.7,5,9,9,10,13,13,30.36,20.19,235.5,0.67,1.6,1.57,96.38,2.76,7.81,0.14,,,,,,,,,,,
Austin Ekeler,,0,RB,RB1,8600,LAC,@ KC,14,21.25,10,22.5,19.8,0,0,0,0,0,0.4879,9.42,43.63,0.43,16.69,0.1837,7.27,5.85,51.16,0.35,0,0,0,0,0,0,20.01,20.01,0,5.01,40.01,20.01,20.01,0,100,,42,2.3,2,3,3,4,14,14,,,,,,,,9.42,43.51,0.4,5.53,4.45,39.82,0.33,,,,,,,
Cooper Kupp,,0,WR,WR1,9500,LAR,vs PIT,4,23.25,10.4,24.2,26.8,0,0,0,0,0,0,0,0,0,9.77,0.2616,9.77,7.08,88.06,0.68,0,0,0,0,0,0,19.97,19.97,0,4.37,40.77,19.97,19.97,0,100,,46,2.1,1,3,3,1,15,15,0.05,,,,,,1.46,0.28,1.59,0.01,8.81,6.4,80.29,0.58,,,,,,,
Brock Purdy,,0,QB,QB1,5500,SF,@ MIN,12,25.5,8.1,12.3,18.7,1,31.96,267.17,1.88,0.4,0.0927,2.68,3.35,0.25,2.68,0,0,0,0,0,0,0,0,0,0,0,19.64,19.64,0,7.49,35.84,19.64,19.64,0,100,,45,3.6,17,10,10,32,16,16,22.2,14.93,184.67,0.33,0.73,1.53,45.66,2.47,2.93,0.2,,,,,,,,,,,
Kirk Cousins,,0,QB,QB1,6900,MIN,vs SF,25,18.5,7.9,18.7,21,1,38.34,274.14,2.09,0.74,0.0844,1.64,5.02,0.09,1.64,0,0,0,0,0,0,0,0,0,0,0,19.63,19.63,0,7.78,35.43,19.63,19.63,0,100,,60,2.8,8,11,11,18,17,17,34.94,23.54,266.03,0.67,2.19,1.83,100.76,2.1,6.51,0.14,0.01,0.01,-0.01,,,,,,,,
Chris Godwin,,0,WR,WR2,6900,TB,vs ATL,31,20.25,9.4,15.4,13,0,0,0,0,0,0,0,0,0,10.52,0.2716,10.52,7.69,93.71,0.4,0,0,0,0,0,0,19.46,19.46,0,5.36,38.26,19.46,19.46,0,100,,36,2.8,12,4,4,18,18,18,0.01,,,,,,0.02,0.09,0.37,0.01,7.25,5.2,65.91,0.35,,,,,,,
Geno Smith,,0,QB,QB1,6000,SEA,vs ARI,18,25.75,9,19.5,15.4,1,36.95,277.23,1.66,0.72,0.1641,4.2,20.72,0.05,4.2,0,0,0,0,0,0,0,0,0,0,0,19.38,19.38,0,5.88,37.38,19.38,19.38,0,100,,36,3.2,12,12,12,27,19,19,25.89,17.67,188.81,0.47,2.25,1.22,88.49,2.97,14.03,0.06,0.03,0.03,-0.06,,,,,,,,
Baker Mayfield,!,0,QB,QB1,5300,TB,vs ATL,19,20.25,6.7,11,16,1,38.73,276.94,1.85,1.01,0.1719,4.1,13.34,0.09,4.1,0,0,0,0,0,0,0,0,0,0,0,19.34,19.34,0,9.29,32.74,19.34,19.34,0,100,,57,3.6,19,13,13,34,20,20,31.44,19.38,225.66,0.87,2.27,1.42,87.79,2.78,9.44,0.08,0.03,0.01,0.22,,,,,,,,
Matthew Stafford,,0,QB,QB1,6500,LAR,vs PIT,16,23.25,7.1,13.6,16.7,1,37.34,289.55,1.59,0.78,0.1397,3.72,13.35,0.05,3.72,0,0,0,0,0,0,0,0,0,0,0,18.8,18.8,0,8.15,33,18.8,18.8,0,100,,61,2.9,9,14,14,22,21,21,35.44,23.28,266.53,0.74,2.5,1.72,97.12,2.01,6.87,0.03,0.02,0.01,-0.05,,,,,,,,
Jordan Love,,0,QB,QB1,5800,GB,@ DEN,31,23,8.9,2.9,19.2,1,32.92,232.86,1.76,1.22,0.1158,3.23,16.66,0.29,3.23,0,0,0,0,0,0,0,0,0,0,0,18.54,18.54,0,5.19,36.34,18.54,18.54,0,100,,0,3.2,14,15,15,29,22,22,16.33,9.33,112.6,0.6,0.87,0.73,72.97,2.07,9,0.13,,,,,,,,,,,
Mike Evans,,0,WR,WR1,7100,TB,vs ATL,31,20.25,10.3,15.6,16.7,0,0,0,0,0,0,0,0,0,10.15,0.2621,10.15,5.88,89.89,0.61,0,0,0,0,0,0,18.53,18.53,0,3.08,39.13,18.53,18.53,0,100,,39,2.6,10,5,5,16,23,23,,,,,,,,0.01,0.08,,8.69,5.03,76.87,0.57,,,,,,,
Stefon Diggs,,0,WR,WR1,8900,BUF,@ NE,21,24.25,10,21.1,25.8,0,0,0,0,0,0,0,0,0,9.66,0.291,9.66,6.72,81.48,0.58,0,0,0,0,0,0,18.35,18.35,0,3.35,38.35,18.35,18.35,0,100,,43,2.1,3,6,6,3,24,24,0.01,,,,0.02,,0.02,0.26,1.32,,8.62,5.95,74.92,0.51,,,,,,,
Puka Nacua,,0,WR,WR2,7600,LAR,vs PIT,4,23.25,10.2,0,21.9,0,0,0,0,0,0,0,0,0,10.24,0.2743,10.24,7.05,82.94,0.38,0,0,0,0,0,0,17.62,17.62,0,2.32,38.02,17.62,17.62,0,100,,53,2.3,8,7,7,11,25,25,,,,,,,,0.33,0.67,,11.67,8.33,99.67,0.33,,,,,,,
Jaylen Waddle,,0,WR,WR2,7500,MIA,@ PHI,26,24.75,8.9,16.4,13.1,0,0,0,0,0,0,0,0,0,8.72,0.2403,8.72,5.93,83.21,0.5,0,0,0,0,0,0,17.25,17.25,0,3.9,35.05,17.25,17.25,0,100,,43,2.3,9,8,8,12,26,26,,,,,,,,0.16,0.71,0.03,7.68,5.34,70.18,0.42,,,,,,,
Davante Adams,,0,WR,WR1,8200,LV,@ CHI,23,20.25,11.2,21.1,17.9,0,0,0,0,0,0,0,0,0,8.92,0.3031,8.92,5.74,74.71,0.67,0,0,0,0,0,0,17.23,17.23,0,0.43,39.63,17.23,17.23,0,100,,43,2.1,5,9,9,6,27,27,0.01,0.01,0.26,,0.01,,1.75,0.02,-0.01,,9.57,6.25,79.12,0.72,,,,,,,
Josh Jacobs,,0,RB,RB1,7400,LV,@ CHI,28,20.25,9.3,20.4,14.8,0,0,0,0,0,0.7993,19.65,79.56,0.62,23.68,0.1369,4.03,3.1,23.82,0,0,0,0,0,0,0,17.16,17.16,0,3.21,35.76,17.16,17.16,0,100,,45,2.3,5,4,4,13,28,28,,,,,0.02,,,17.86,76.53,0.64,3.58,2.8,20.62,,,,,,,,
Trevor Lawrence,!,0,QB,QB1,6300,JAC,@ NO,3,19.25,7.2,19.1,16.2,1,30.95,219.28,1.26,0.52,0.2039,5.57,25.63,0.19,5.57,0,0,0,0,0,0,0,0,0,0,0,16.99,16.99,0,6.19,31.39,16.99,16.99,0,100,,56,2.7,11,16,16,24,29,29,34.9,22.18,229.83,0.7,1.88,1.1,85.09,4.2,19.3,0.18,,,,,,,,,,,
Daniel Jones,!,0,QB,QB1,5600,NYG,vs WAS,32,18.75,9.1,19.1,13,1,27.59,191.19,0.87,0.62,0.2635,7.63,44.1,0.32,7.63,0,0,0,0,0,0,0,0,0,0,0,16.84,16.84,0,3.19,35.04,16.84,16.84,0,100,,46,3,16,17,17,31,30,30,32.05,20.63,211.64,0.68,3,1.05,86.15,5.59,32.29,0.22,0.02,0.02,0.27,,,,,,,,
T.J. Hockenson,,0,TE,TE1,6700,MIN,vs SF,13,18.5,8.1,13.1,12.9,0,0,0,0,0,0,0,0,0,9.84,0.2566,9.84,6.73,69.74,0.45,0,0,0,0,0,0,16.4,16.4,0,4.25,32.6,16.4,16.4,0,100,,28,2.4,2,2,2,20,31,31,,,,,,,,0.02,,,6.67,4.48,45.89,0.32,,,,,,,
Kenneth Walker III,,0,RB,RB1,7000,SEA,vs ARI,31,25.75,8.4,14.7,18.3,0,0,0,0,0,0.6541,16.73,72.42,0.82,19.61,0.078,2.88,2.37,18.54,0,0,0,0,0,0,0,16.39,16.39,0,3.79,33.19,16.39,16.39,0,100,,46,2.3,9,5,5,17,32,32,,,,,,,,15.74,71,0.79,2.26,1.79,12.26,,,,,,,,
A.J. Brown,,0,WR,WR1,7900,PHI,vs MIA,22,26.75,10.6,18.6,22.2,0,0,0,0,0,0,0,0,0,8.34,0.256,8.34,5.27,82.91,0.47,0,0,0,0,0,0,16.38,16.38,0,0.48,37.58,16.38,16.38,0,100,,36,2.1,7,10,10,9,33,33,0.03,,,,,,1.15,0.09,1.14,0.01,7.41,4.64,75.72,0.54,,,,,,,
DK Metcalf,,0,WR,WR1,6800,SEA,vs ARI,13,25.75,8.3,13.8,14.1,0,0,0,0,0,0,0,0,0,9.03,0.2444,9.03,5.68,75.22,0.53,0,0,0,0,0,0,16.38,16.38,0,3.93,32.98,16.38,16.38,0,100,,44,2.4,13,10,10,19,33,33,,,,,,,,0.04,0.23,,7.48,4.64,65.4,0.52,,,,,,,
Marquise Brown,,0,WR,WR1,5300,ARI,@ SEA,7,18.75,7.7,13.3,13.9,0,0,0,0,0,0,0,0,0,10.89,0.2786,10.89,6.46,68.39,0.49,0,0,0,0,0,0,16.24,16.24,0,4.69,31.64,16.24,16.24,0,100,,40,3.1,28,11,11,34,34,34,,,,,,,,0.06,0.55,,7.48,4.58,54.31,0.42,,,,,,,
Brandon Aiyuk,,0,WR,WR2,6700,SF,@ MIN,25,25.5,7.9,13.6,17.7,0,0,0,0,0,0,0,0,0,7.86,0.246,7.86,5.21,77.03,0.54,0,0,0,0,0,0,16.15,16.15,0,4.3,31.95,16.15,16.15,0,100,,41,2.4,14,12,12,20,35,35,,,,,,,,0.25,2.29,0.04,6.51,4.29,59.67,0.39,,,,,,,
Aaron Jones,!,0,RB,RB1,6800,GB,@ DEN,30,23,10.8,15.7,14.6,0,0,0,0,0,0.4379,12.23,61.48,0.48,16.55,0.1311,4.32,3.23,24.71,0.23,0,0,0,0,0,0,16.11,16.11,0,0,37.71,16.11,16.11,0,100,,34,2.4,11,6,6,19,36,36,,,,,,,,12.3,62.06,0.53,3.81,2.85,22.23,0.22,,,,,,,
Terry McLaurin,,0,WR,WR1,5400,WAS,@ NYG,18,20.75,7.8,14.2,11.9,0,0,0,0,0,0,0,0,0,9.13,0.2577,9.13,6.03,79.65,0.35,0,0,0,0,0,0,16.1,16.1,0,4.4,31.7,16.1,16.1,0,100,,45,3,27,13,13,33,37,37,,,,,,,,0.14,1.03,,7.52,4.78,67,0.32,,,,,,,
Jared Goff,,0,QB,QB1,6400,DET,@ BAL,4,19.25,8.6,18.3,20.9,1,31.19,231.4,1.49,0.53,0.087,2.36,4.9,0.15,2.36,0,0,0,0,0,0,0,0,0,0,0,16.08,16.08,0,3.18,33.28,16.08,16.08,0,100,,52,2.5,10,18,18,23,38,38,35.06,22.58,259.21,0.68,1.87,1.56,94.08,2.1,4.57,0.11,0.01,0.01,0.05,,,,,,,,
Tyler Lockett,,0,WR,WR2,6000,SEA,vs ARI,13,25.75,9.8,15.5,12.4,0,0,0,0,0,0,0,0,0,7.99,0.2163,7.99,5.63,70.87,0.55,0,0,0,0,0,0,16.02,16.02,0,1.32,35.62,16.02,16.02,0,100,,26,2.7,21,14,14,27,39,39,,,,,,,,0.29,1.95,0.01,5.92,4.21,56.32,0.43,,,,,,,
Saquon Barkley,,0,RB,RB1,8100,NYG,vs WAS,18,18.75,10,18.5,16.8,0,0,0,0,0,0.5711,16.53,72.04,0.5,20.74,0.1527,4.21,3.12,19.36,0.11,0,0,0,0,0,0,15.92,15.92,0,0.92,35.92,15.92,15.92,0,100,,47,2,3,7,7,7,40,40,,,,,,,,15.98,70.73,0.48,5.59,4.13,29.62,0.14,,,,,,,
Alvin Kamara,,0,RB,RB1,6900,NO,vs JAC,4,20.25,10.7,14.8,19.2,0,0,0,0,0,0.5402,13.53,59.07,0.51,17.84,0.1546,4.31,3.42,25.2,0.14,0,0,0,0,0,0,15.75,15.75,0,0,37.15,15.75,15.75,0,100,,47,2.3,10,8,8,18,41,41,0.01,0.01,0.14,,,,1.49,12.93,57.68,0.55,6.36,4.97,41.97,0.24,,,,,,,
Travis Etienne,,0,RB,RB1,7200,JAC,@ NO,15,19.25,9.7,13.1,19.7,0,0,0,0,0,0.6685,18.28,81.65,0.58,20.84,0.0827,2.56,2.18,18.21,0,0,0,0,0,0,0,15.65,15.65,0,1.1,35.05,15.65,15.65,0,100,,34,2.2,7,9,9,15,42,42,,,,,,,,14.48,68.52,0.43,3,2.43,21.22,,,,,,,,
D'Andre Swift,,0,RB,RB1,6300,PHI,vs MIA,19,26.75,7.8,13.9,17.1,0,0,0,0,0,0.393,12.06,59.09,0.48,16.63,0.1404,4.57,3.51,23,0.13,0,0,0,0,0,0,15.38,15.38,0,3.68,30.98,15.38,15.38,0,100,,49,2.4,14,10,10,24,43,43,0.02,,,,,,0.86,9.78,46.35,0.43,5.04,3.89,28.54,0.17,,,,,,,
Amon-Ra St. Brown,,0,WR,WR1,8000,DET,@ BAL,14,19.25,10.4,17.5,22,0,0,0,0,0,0,0,0,0,8.32,0.2666,8.32,6.21,70.02,0.35,0,0,0,0,0,0,15.31,15.31,0,0,36.11,15.31,15.31,0,100,,38,1.9,6,15,15,8,44,44,,,,,,,,0.46,4.32,0.03,8.51,6.32,68.32,0.38,,,,,,,
Brian Robinson,,0,RB,RB1,5800,WAS,@ NYG,23,20.75,6.6,9.6,14.1,0,0,0,0,0,0.588,20.33,81.34,0.46,22.18,0.0521,1.85,1.46,14,0.21,0,0,0,0,0,0,15.01,15.01,0,5.11,28.21,15.01,15.01,0,100,,41,2.6,17,11,11,29,45,45,,,,,,,,15.67,61.06,0.28,1.39,1.11,9.61,0.17,,,,,,,
Jimmy Garoppolo,!,0,QB,QB1,5200,LV,@ CHI,27,20.25,8.1,15.8,14.2,1,29.44,233.33,1.41,0.91,0.1121,2.76,3.75,0.09,2.76,0,0,0,0,0,0,0,0,0,0,0,14.98,14.98,0,2.83,31.18,14.98,14.98,0,100,,43,2.9,20,19,19,35,46,46,25.4,17.13,208.2,0.71,1.72,1.27,90.29,2.44,3.25,0.09,0.03,0.03,-0.04,,,,,,,,
Kenny Pickett,,0,QB,QB1,5000,PIT,@ LAR,8,20.25,4.3,12.4,11.7,1,32.22,220.68,1.14,0.62,0.1475,5.07,12.98,0.12,5.07,0,0,0,0,0,0,0,0,0,0,0,14.79,14.79,0,8.34,23.39,14.79,14.79,0,100,,65,3,22,20,20,37,47,47,30.44,18.89,190.61,0.72,0.78,0.67,22.01,3.94,13.83,0.17,,,,,,,,,,,
Deebo Samuel,!,0,WR,WR1,6000,SF,@ MIN,25,25.5,8.8,13.3,12.5,0,0,0,0,0,0.0999,2.89,18.11,0.27,9.26,0.1992,6.37,4.07,58.97,0.23,0,0,0,0,0,0,14.78,14.78,0,1.58,32.38,14.78,14.78,0,100,,42,2.5,21,16,16,27,48,48,0.03,0.02,0.4,,,0.02,3.3,2.45,16.32,0.25,6.5,4.22,60.98,0.22,,,,,,,
Christian Watson,,0,WR,WR1,5600,GB,@ DEN,8,23,9.7,12.4,11.1,0,0,0,0,0,0,0,0,0,7.24,0.2199,7.24,4.24,67.63,0.63,0,0,0,0,0,0,14.78,14.78,0,0.23,34.18,14.78,14.78,0,100,,20,2.6,25,16,16,31,48,48,,,,,,,,0.5,4.69,0.13,4.75,2.88,45.44,0.5,,,,,,,
Isiah Pacheco,,0,RB,RB1,6100,KC,vs LAC,24,26.25,6.4,8.2,15,0,0,0,0,0,0.6587,15.2,71.94,0.51,17.61,0.0629,2.41,2.16,19.47,0,0,0,0,0,0,0,14.36,14.36,0,4.76,27.16,14.36,14.36,0,100,,36,2.4,16,12,12,26,49,49,,,,,,,,11.17,52.91,0.35,1.43,1.3,11.52,,,,,,,,
Najee Harris,,0,RB,RB1,5200,PIT,@ LAR,25,20.25,7.4,13.5,6.7,0,0,0,0,0,0.6129,21.05,82.42,0.43,23.7,0.0823,2.65,1.87,11.64,0.07,0,0,0,0,0,0,14.28,14.28,0,3.18,29.08,14.28,14.28,0,100,,50,2.7,22,13,13,35,50,50,0.03,0.03,0.1,,,,2.14,16.46,63.72,0.36,4,3.08,18.79,0.15,,,,,,,
David Montgomery,!,0,RB,RB1,7200,DET,@ BAL,9,19.25,8.3,11.4,18.4,0,0,0,0,0,0.5576,15.11,60.6,0.57,18.13,0.0968,3.02,2.34,19.99,0.07,0,0,0,0,0,0,14.24,14.24,0,1.79,30.84,14.24,14.24,0,100,,42,2,7,14,14,15,51,51,0.02,,,0.02,,,,15.52,61.45,0.49,3.14,2.48,20.09,0.06,,,,,,,
Amari Cooper,,0,WR,WR1,6100,CLE,@ IND,27,21,10.8,15.4,14.1,0,0,0,0,0,0,0,0,0,7.57,0.2466,7.57,4.64,68.74,0.42,0,0,0,0,0,0,14.03,14.03,0,0,35.63,14.03,14.03,0,100,,26,2.3,20,17,17,26,52,52,0.01,,,0.01,,,,0.11,0.31,,7.61,4.7,65.4,0.43,,,,,,,
DeVonta Smith,,0,WR,WR2,7000,PHI,vs MIA,22,26.75,8.6,15.9,12.7,0,0,0,0,0,0,0,0,0,8.1,0.2487,8.1,5.28,65.9,0.35,0,0,0,0,0,0,13.97,13.97,0,1.07,31.17,13.97,13.97,0,100,,36,2,11,18,18,17,53,53,,,,,,,,,,,7.13,4.68,61.15,0.35,,,,,,,
DJ Moore,,0,WR,WR1,6500,CHI,vs LV,15,17.25,9,12.2,21.5,0,0,0,0,0,0,0,0,0,7.32,0.2973,7.32,4.59,67.04,0.37,0,0,0,0,0,0,13.51,13.51,0,0.01,31.51,13.51,13.51,0,100,,36,2.1,16,19,19,22,54,54,0.01,,,,,,0.46,0.45,3.9,,7.64,4.6,67.24,0.3,,,,,,,
Jordan Addison,,0,WR,WR2,5800,MIN,vs SF,30,18.5,6,0,12.3,0,0,0,0,0,0,0,0,0,6.49,0.1693,6.49,4.12,54.88,0.63,0,0,0,0,0,0,13.39,13.39,0,4.39,25.39,13.39,13.39,0,100,,51,2.3,23,20,20,29,55,55,,,,,,,,,,,5.67,3.67,46.17,0.67,,,,,,,
Derek Carr,,0,QB,QB1,5400,NO,vs JAC,23,20.25,7.6,15.9,12.4,1,27.9,212.89,1.22,0.57,0.0538,1.35,3.66,0.03,1.35,0,0,0,0,0,0,0,0,0,0,0,13.37,13.37,0,1.97,28.57,13.37,13.37,0,100,,55,2.5,18,21,21,33,56,56,34.53,22.59,251.89,0.68,1.95,1.52,93.9,1.96,5.75,0.05,0.01,0.01,-0.07,,,,,,,,
Jonathan Taylor,,0,RB,RB1,6500,IND,vs CLE,16,19,11,14.1,8,0,0,0,0,0,0.5045,12.82,60.88,0.48,15.47,0.0937,2.65,2.12,17.07,0.06,0,0,0,0,0,0,13.16,13.16,0,0,35.16,13.16,13.16,0,100,,41,2,12,15,15,22,57,57,,,,,,,,17.11,86.18,0.73,3.09,2.44,19.2,0.07,,,,,,,
Courtland Sutton,,0,WR,WR2,5200,DEN,vs GB,17,22,6.7,10.8,12.4,0,0,0,0,0,0,0,0,0,7.81,0.2207,7.81,4.66,61.42,0.38,0,0,0,0,0,0,13.08,13.08,0,3.03,26.48,13.08,13.08,0,100,,38,2.5,29,21,21,35,58,58,0.03,0.03,0.75,,,,5.04,0.07,0.29,,6.44,3.72,52.76,0.25,,,,,,,
Jerry Jeudy,,0,WR,WR1,5800,DEN,vs GB,17,22,7.8,14.2,8.4,0,0,0,0,0,0,0,0,0,7.78,0.22,7.78,5.03,67.54,0.2,0,0,0,0,0,0,12.98,12.98,0,1.28,28.58,12.98,12.98,0,100,,29,2.2,23,22,22,29,59,59,,,,,,,,0.13,0.93,,6.48,3.85,54.72,0.2,,,,,,,
Rachaad White,,0,RB,RB1,5100,TB,vs ATL,2,20.25,5.7,9.1,10.8,0,0,0,0,0,0.5973,14.24,50.87,0.14,18.62,0.113,4.38,3.96,22.55,0.12,0,0,0,0,0,0,12.86,12.86,0,4.31,24.26,12.86,12.86,0,100,,40,2.5,23,16,16,36,60,60,,,,,,,,9.48,33.95,0.1,3.57,3.14,18.48,0.1,,,,,,,
Michael Pittman,,0,WR,WR1,6600,IND,vs CLE,3,19,7.5,14,15.3,0,0,0,0,0,0,0,0,0,8.11,0.2864,8.11,5.52,56.82,0.27,0,0,0,0,0,0,12.82,12.82,0,1.57,27.82,12.82,12.82,0,100,,41,1.9,15,23,23,21,61,61,,,,,,,,0.21,1.92,,7.5,5.13,56.08,0.23,,,,,,,
