,,,,,,Game and Vegas,,,,,,,Proj. Fantasy Pts,,,Projected Values,,,,,,,
Player,Inj,Likes,Pos,pDepth,Salary,Team,Opp,Def v Pos,VegasPts,STDV,2022 Avg,2023 Avg,FC,My,Diff,Floor,Ceiling,FC Proj,My Proj,Exp.,Used,Con.,Value
Case Keenum,,0,QB,QB3,4000,HOU,vs ARI,29,26.75,8.4,0.2,0,0,0,0,0,0,0,0,100,,36,0
Tony Jones,,0,RB,RB4,4000,ARI,@ HOU,20,21.75,3.7,3.5,5.8,0,0,0,0,0,0,0,100,,0,0
Dare Ogunbowale,,0,RB,RB3,4000,HOU,vs ARI,26,26.75,4,3.2,1.1,0,0,0,0,0,0,0,100,,0,0
Andrew Beck,,0,RB,FB1,4000,HOU,vs ARI,26,26.75,2.4,1.3,1.9,0,0,0,0,0,0,0,100,,0,0
D'Ernest Johnson,,0,RB,RB3,4000,JAC,vs TEN,12,22.75,5.9,0.6,1.8,0,0,0,0,0,0,0,100,,0,0
Skylar Thompson,,0,QB,QB3,4000,MIA,vs LV,10,29.25,3.1,3.2,0,0,0,0,0,0,0,0,100,,3,0
Alec Ingold,!,0,RB,FB1,4000,MIA,vs LV,30,29.25,3,3.2,2.3,0,0,0,0,0,0,0,100,,0,0
Brandon Bolden,,0,RB,RB4,4000,LV,@ MIA,17,16.25,5.3,2.3,0,0,0,0,0,0,0,0,100,,0,0
Kadarius Toney,,0,WR,WR6,3300,KC,vs PHI,26,23.75,6.9,6.5,4.2,0,0,0,0,0,0,0,100,,0,0
Mecole Hardman,,0,WR,WR5,3200,KC,vs PHI,26,23.75,6.3,11.7,2,0,0,0,0,0,0,0,100,,18,0
Randall Cobb,,0,WR,WR5,3200,NYJ,@ BUF,4,16.5,7.5,6.3,1.2,0,0,0,0,0,0,0,100,,26,0
Jamison Crowder,,0,WR,WR6,3100,WAS,vs NYG,24,23.25,7.9,3,3.7,0,0,0,0,0,0,0,100,,23,0
David Sills,,0,WR,WR5,3000,DEN,vs MIN,21,22,1.8,3.1,0,0,0,0,0,0,0,0,100,,22,0
Terrace Marshall Jr.,,0,WR,WR5,3000,CAR,vs DAL,9,15.75,4.1,6.4,4.5,0,0,0,0,0,0,0,100,,11,0
Ihmir Smith-Marsette,,0,WR,WR6,3000,CAR,vs DAL,9,15.75,5.2,0.3,0,0,0,0,0,0,0,0,100,,0,0
Mike Strachan,,0,WR,WR7,3000,CAR,vs DAL,9,15.75,2.5,1.8,5.5,0,0,0,0,0,0,0,100,,0,0
KaVontae Turpin,,0,WR,WR5,3000,DAL,@ CAR,5,25.75,3.7,0.2,4.8,0,0,0,0,0,0,0,100,,0,0
Jalen Brooks,,0,WR,WR6,3000,DAL,@ CAR,5,25.75,0,0,7.9,0,0,0,0,0,0,0,100,,0,0
Miles Boykin,,0,WR,WR5,3000,PIT,@ CLE,8,15.25,3.7,0.3,0.6,0,0,0,0,0,0,0,100,,0,0
James Proche,,0,WR,WR5,3000,CLE,vs PIT,27,17.25,3.5,1.5,-0.5,0,0,0,0,0,0,0,100,,0,0
Donovan Peoples-Jones,,0,WR,WR5,3000,DET,vs CHI,6,27.25,6.7,10.1,2.5,0,0,0,0,0,0,0,100,,9,0
Antoine Green,,0,WR,WR6,3000,DET,vs CHI,6,27.25,0.6,0,0.6,0,0,0,0,0,0,0,100,,0,0
Velus Jones,,0,WR,WR6,3000,CHI,@ DET,11,20.25,3.8,3.7,0.9,0,0,0,0,0,0,0,100,,0,0
Trent Taylor,,0,WR,WR5,3000,CHI,@ DET,11,20.25,3.9,0.8,0,0,0,0,0,0,0,0,100,,0,0
Simi Fehoko,,0,WR,WR5,3000,LAC,@ GB,12,23.25,2.9,2.7,4,0,0,0,0,0,0,0,100,,12,0
Alex Erickson,,0,WR,WR6,3000,LAC,@ GB,12,23.25,4.1,0,0,0,0,0,0,0,0,0,100,,0,0
Terrell Bynum,,0,WR,WR7,3000,LAC,@ GB,12,23.25,,,,0,0,0,0,,0,0,100,,0,0
Malik Heath,,0,WR,WR5,3000,GB,vs LAC,17,20.25,0,0,0,0,0,0,0,0,0,0,100,,0,0
Samori Toure,,0,WR,WR6,3000,GB,vs LAC,17,20.25,2.9,4.8,2.6,0,0,0,0,0,0,0,100,,19,0
Andre Baccellia,,0,WR,WR5,3000,ARI,@ HOU,13,21.75,1.1,2.3,0,0,0,0,0,0,0,0,100,,42,0
John Metchie III,,0,WR,WR5,3000,HOU,vs ARI,1,26.75,0.7,0,3.4,0,0,0,0,0,0,0,100,,79,0
Xavier Hutchinson,,0,WR,WR6,3000,HOU,vs ARI,1,26.75,0.8,0,1.1,0,0,0,0,0,0,0,100,,27,0
Steven Sims Jr.,,0,WR,WR7,3000,HOU,vs ARI,1,26.75,5.5,2.6,0,0,0,0,0,0,0,0,100,,0,0
Elijah Cooks,,0,WR,WR5,3000,JAC,vs TEN,31,22.75,,,,0,0,0,0,,0,0,100,,0,0
Parker Washington,!,0,WR,WR6,3000,JAC,vs TEN,31,22.75,0,0,0,0,0,0,0,0,0,0,100,,0,0
Colton Dowell,,0,WR,WR5,3000,TEN,@ JAC,15,16.75,0,0,0,0,0,0,0,0,0,0,100,,0,0
Chosen Anderson,,0,WR,WR6,3000,MIA,vs LV,19,29.25,8,4.7,6.9,0,0,0,0,0,0,0,100,,22,0
River Cracraft,,0,WR,WR5,3000,MIA,vs LV,19,29.25,3.5,3.9,6.9,0,0,0,0,0,0,0,100,,0,0
DeAndre Carter,,0,WR,WR5,3000,LV,@ MIA,20,16.25,4.6,6.7,0.8,0,0,0,0,0,0,0,100,,0,0
DJ Turner,,0,WR,WR6,3000,LV,@ MIA,20,16.25,0.8,0.5,0,0,0,0,0,0,0,0,100,,0,0
Ray-Ray McCloud,,0,WR,WR5,3000,SF,vs TB,30,26.75,3.6,3.4,2.1,0,0,0,0,0,0,0,100,,0,0
Rakim Jarrett,,0,WR,WR5,3000,TB,@ SF,29,14.75,0.8,0,0.8,0,0,0,0,0,0,0,100,,0,0
Irvin Charles,,0,WR,WR4,3000,NYJ,@ BUF,4,16.5,0,0,0,0,0,0,0,0,0,0,100,,0,0
Jason Brownlee,,0,WR,WR6,3000,NYJ,@ BUF,4,16.5,,,,0,0,0,0,,0,0,100,,0,0
Deonte Harty,,0,WR,WR5,3000,BUF,vs NYJ,25,23.5,4.6,0.6,3.1,0,0,0,0,0,0,0,100,,0,0
DWayne Eskridge,,0,WR,WR5,3000,SEA,@ LAR,18,22.75,3.1,1.5,-0.2,0,0,0,0,0,0,0,100,,0,0
Demarcus Robinson,,0,WR,WR5,3000,LAR,vs SEA,28,23.75,5.8,6.7,2.5,0,0,0,0,0,0,0,100,,3,0
Austin Trammell,,0,WR,WR6,3000,LAR,vs SEA,28,23.75,0.9,1.6,0.1,0,0,0,0,0,0,0,100,,0,0
Byron Pringle,,0,WR,WR5,3000,WAS,vs NYG,24,23.25,5.8,4.4,2.7,0,0,0,0,0,0,0,100,,2,0
Mitchell Tinsley,,0,WR,WR7,3000,WAS,vs NYG,24,23.25,,,,0,0,0,0,,0,0,100,,0,0
Sterling Shepard,,0,WR,WR6,3000,NYG,@ WAS,32,14.25,8,11.5,2.1,0,0,0,0,0,0,0,100,,33,0
Parris Campbell,,0,WR,WR5,3000,NYG,@ WAS,32,14.25,5.6,8.8,3.3,0,0,0,0,0,0,0,100,,14,0
Gunner Olszewski,,0,WR,WR7,3000,NYG,@ WAS,32,14.25,1.9,0.9,-0.2,0,0,0,0,0,0,0,100,,0,0
Britain Covey,,0,WR,WR5,3000,PHI,@ KC,16,21.75,0,0,0,0,0,0,0,0,0,0,100,,0,0
Richie James,!,0,WR,WR7,3000,KC,vs PHI,26,23.75,6.8,8.5,0.3,0,0,0,0,0,0,0,100,,0,0
Jack Stoll,,0,TE,TE1,3000,PHI,@ KC,16,21.75,1.7,2.6,1.5,0,0,0,0,0,0,0,100,,15,0
Devin Duvernay,,0,WR,WR5,3000,BAL,vs CIN,7,24.75,4.8,8.7,0.7,0,0,0,0,0,0,0,100,,0,0
Tylan Wallace,,0,WR,WR6,3000,BAL,vs CIN,7,24.75,1,1.5,0,0,0,0,0,0,0,0,100,,0,0
Trishton Jackson,,0,WR,WR6,3000,MIN,@ DEN,10,19,0.8,0,2.5,0,0,0,0,0,0,0,100,,0,0
N'Keal Harry,,0,WR,WR5,3000,MIN,@ DEN,10,19,3.8,4.1,0,0,0,0,0,0,0,0,100,,19,0
Stephen Sullivan,!,0,TE,TE3,2500,CAR,vs DAL,9,15.75,2.1,0.8,4.6,0,0,0,0,0,0,0,100,,0,0
Luke Schoonmaker,,0,TE,TE2,2500,DAL,@ CAR,5,25.75,2.4,0,1.5,0,0,0,0,0,0,0,100,,0,0
Sean McKeon,,0,TE,TE3,2500,DAL,@ CAR,5,25.75,2.2,1,0,0,0,0,0,0,0,0,100,,0,0
Darnell Washington,,0,TE,TE3,2500,PIT,@ CLE,8,15.25,0.8,0,1.3,0,0,0,0,0,0,0,100,,38,0
Rodney Williams,,0,TE,TE4,2500,PIT,@ CLE,8,15.25,,,,0,0,0,0,,0,0,100,,0,0
Jordan Akins,,0,TE,TE3,2500,CLE,vs PIT,27,17.25,4.8,7.8,1.5,0,0,0,0,0,0,0,100,,6,0
James Mitchell,,0,TE,TE3,2500,DET,vs CHI,6,27.25,3.9,4.8,0,0,0,0,0,0,0,0,100,,19,0
Marcedes Lewis,,0,TE,TE3,2500,CHI,@ DET,11,20.25,3.9,4.4,2.2,0,0,0,0,0,0,0,100,,0,0
Nick Vannett,,0,TE,TE3,2500,LAC,@ GB,12,23.25,3.3,2.3,0,0,0,0,0,0,0,0,100,,3,0
Stone Smartt,,0,TE,TE2,2500,LAC,@ GB,12,23.25,1.2,1.9,1,0,0,0,0,0,0,0,100,,8,0
Tucker Kraft,,0,TE,TE2,2500,GB,vs LAC,17,20.25,1,0,0.7,0,0,0,0,0,0,0,100,,0,0
Josiah Deguara,,0,TE,TE3,2500,GB,vs LAC,17,20.25,3.6,2.7,2.1,0,0,0,0,0,0,0,100,,0,0
Ben Sims,,0,TE,TE4,2500,GB,vs LAC,17,20.25,0.5,0,1.7,0,0,0,0,0,0,0,100,,0,0
Albert Okwuegbunam,,0,TE,TE3,2500,PHI,@ KC,16,21.75,4.5,4.3,0,0,0,0,0,0,0,0,100,,21,0
Geoff Swaim,,0,TE,TE2,2500,ARI,@ HOU,13,21.75,3.6,2.2,2.3,0,0,0,0,0,0,0,100,,3,0
Elijah Higgins,,0,TE,TE3,2500,ARI,@ HOU,13,21.75,0.4,0,0.2,0,0,0,0,0,0,0,100,,0,0
Blake Whiteheart,,0,TE,TE4,2500,ARI,@ HOU,13,21.75,,,,0,0,0,0,,0,0,100,,0,0
Blake Bell,,0,TE,TE3,2500,KC,vs PHI,26,23.75,2.6,5,3.3,0,0,0,0,0,0,0,100,,0,0
Brevin Jordan,,0,TE,TE2,2500,HOU,vs ARI,1,26.75,4.1,3,4,0,0,0,0,0,0,0,100,,13,0
Eric Saubert,,0,TE,TE3,2500,HOU,vs ARI,1,26.75,2.4,2.6,0,0,0,0,0,0,0,0,100,,0,0
Charlie Kolar,,0,TE,TE3,2500,BAL,vs CIN,7,24.75,3.9,8.9,0,0,0,0,0,0,0,0,100,,0,0
Luke Farrell,,0,TE,TE3,2500,JAC,vs TEN,31,22.75,0.8,2,2.1,0,0,0,0,0,0,0,100,,56,0
Drew Sample,,0,TE,TE1,2500,CIN,@ BAL,3,21.75,3.5,0.9,3.2,0,0,0,0,0,0,0,100,,0,0
Trevon Wesco,,0,TE,TE3,2500,TEN,@ JAC,15,16.75,1.5,1.3,1.5,0,0,0,0,0,0,0,100,,0,0
Tanner Hudson,,0,TE,TE3,2500,CIN,@ BAL,3,21.75,2.9,3.9,6.7,0,0,0,0,0,0,0,100,,15,0
Mitchell Wilcox,,0,TE,TE4,2500,CIN,@ BAL,3,21.75,3.3,4.1,0.9,0,0,0,0,0,0,0,100,,0,0
Kevin Rader,,0,TE,TE4,2500,TEN,@ JAC,15,16.75,0.5,0,0,0,0,0,0,0,0,0,100,,0,0
Julian Hill,,0,TE,TE2,2500,MIA,vs LV,19,29.25,0.7,0,0.7,0,0,0,0,0,0,0,100,,0,0
Johnny Mundt,,0,TE,TE3,2500,MIN,@ DEN,10,19,1.9,3,2.4,0,0,0,0,0,0,0,100,,17,0
Tyler Kroft,,0,TE,TE3,2500,MIA,vs LV,19,29.25,5.3,1.9,0,0,0,0,0,0,0,0,100,,0,0
Nick Muse,,0,TE,TE4,2500,MIN,@ DEN,10,19,,,,0,0,0,0,,0,0,100,,0,0
Chris Manhertz,,0,TE,TE2,2500,DEN,vs MIN,21,22,2.4,1.7,0.9,0,0,0,0,0,0,0,100,,0,0
Jesper Horsted,,0,TE,TE3,2500,LV,@ MIA,20,16.25,3.3,1,0.5,0,0,0,0,0,0,0,100,,0,0
Nate Adkins,,0,TE,TE3,2500,DEN,vs MIN,21,22,1,0,1.5,0,0,0,0,0,0,0,100,,33,0
Payne Durham,,0,TE,TE2,2500,TB,@ SF,29,14.75,0.8,0,0.6,0,0,0,0,0,0,0,100,,0,0
Ko Kieft,,0,TE,TE3,2500,TB,@ SF,29,14.75,2,2.6,0,0,0,0,0,0,0,0,100,,0,0
David Wells,,0,TE,TE4,2500,TB,@ SF,29,14.75,0,0,1,0,0,0,0,0,0,0,100,,0,0
Charlie Woerner,,0,TE,TE2,2500,SF,vs TB,30,26.75,1.5,0,0,0,0,0,0,0,0,0,100,,0,0
Ross Dwelley,,0,TE,TE3,2500,SF,vs TB,30,26.75,3.9,3.9,1.1,0,0,0,0,0,0,0,100,,7,0
Brayden Willis,,0,TE,TE4,2500,SF,vs TB,30,26.75,0,0,0,0,0,0,0,0,0,0,100,,0,0
Jeremy Ruckert,,0,TE,TE3,2500,NYJ,@ BUF,4,16.5,1.4,0.9,1.9,0,0,0,0,0,0,0,100,,13,0
Quintin Morris,,0,TE,TE2,2500,BUF,vs NYJ,25,23.5,3.3,2.7,8.5,0,0,0,0,0,0,0,100,,0,0
Colby Parkinson,,0,TE,TE3,2500,SEA,@ LAR,18,22.75,3.4,4.9,3.3,0,0,0,0,0,0,0,100,,13,0
Brady Russell,,0,TE,TE4,2500,SEA,@ LAR,18,22.75,0,0,0,0,0,0,0,0,0,0,100,,0,0
Davis Allen,,0,TE,TE3,2500,LAR,vs SEA,28,23.75,0,0,0,0,0,0,0,0,0,0,100,,0,0
Hunter Long,,0,TE,TE4,2500,LAR,vs SEA,28,23.75,0.8,0,0,0,0,0,0,0,0,0,100,,0,0
Cole Turner,,0,TE,TE3,2500,WAS,vs NYG,24,23.25,2.5,0.9,3.2,0,0,0,0,0,0,0,100,,0,0
Curtis Hodges,,0,TE,TE4,2500,WAS,vs NYG,24,23.25,,,,0,0,0,0,,0,0,100,,0,0
Tyree Jackson,,0,TE,TE3,2500,NYG,@ WAS,32,14.25,5.3,0,0,0,0,0,0,0,0,0,100,,0,0
