,,,,,,Game and Vegas,,,,,,,Proj. Fantasy Pts,,,Projected Values,,,,,,,
Player,Inj,Likes,Pos,pDepth,Salary,Team,Opp,Def v Pos,VegasPts,STDV,2022 Avg,2023 Avg,FC,My,Diff,Floor,Ceiling,FC Proj,My Proj,Exp.,Used,Con.,Value
Aidan O'Connell,,0,QB,QB1,4900,LV,@ MIA,21,16.25,2.5,0,9.1,12.07,12.07,0,8.32,17.07,12.07,12.07,100,,73,2.5
Noah Brown,!,0,WR,WR3,4800,HOU,vs ARI,1,26.75,6.8,7.7,15.4,11.99,11.99,0,1.79,25.59,11.99,11.99,100,,0,2.5
Cowboys,,0,DST,DST1,4100,DAL,@ CAR,27,15.75,6.7,9.8,12,11.94,11.94,0,1.89,25.34,11.94,11.94,100,,7,2.9
Evan Engram,,0,TE,TE1,4300,JAC,vs TEN,31,22.75,7,10.8,11,11.74,11.74,0,1.24,25.74,11.74,11.74,100,,33,2.7
Rashee Rice,,0,WR,WR1,5300,KC,vs PHI,26,23.75,3.6,0,10.4,11.5,11.5,0,6.1,18.7,11.5,11.5,100,,65,2.2
Gabriel Davis,,0,WR,WR2,5500,BUF,vs NYJ,25,23.5,7.6,11.7,11.6,11.45,11.45,0,0.05,26.65,11.45,11.45,100,,24,2.1
Gus Edwards,,0,RB,RB1,5900,BAL,vs CIN,21,24.75,6.3,6.7,11.8,11.36,11.36,0,1.91,23.96,11.36,11.36,100,,22,1.9
Cole Kmet,,0,TE,TE1,4100,CHI,@ DET,11,20.25,6.4,8.7,11.8,11.15,11.15,0,1.55,23.95,11.15,11.15,100,,18,2.7
Kenny Pickett,,0,QB,QB1,4800,PIT,@ CLE,5,15.25,4.4,12.4,10.5,11.09,11.09,0,4.49,19.89,11.09,11.09,100,,62,2.3
Zay Flowers,,0,WR,WR1,5700,BAL,vs CIN,7,24.75,4.4,0,11.2,11.06,11.06,0,4.46,19.86,11.06,11.06,100,,61,1.9
Allen Lazard,,0,WR,WR2,3500,NYJ,@ BUF,4,16.5,6.5,11.9,6.1,11.03,11.03,0,1.28,24.03,11.03,11.03,100,,32,3.2
Jaxon Smith-Njigba,,0,WR,WR3,4300,SEA,@ LAR,18,22.75,4.4,0,8.6,10.98,10.98,0,4.38,19.78,10.98,10.98,100,,49,2.6
Jalen Guyton,!,0,WR,WR3,3300,LAC,@ GB,12,23.25,5.2,4.2,7.1,10.82,10.82,0,3.02,21.22,10.82,10.82,100,,13,3.3
James Cook,,0,RB,RB1,6100,BUF,vs NYJ,28,23.5,6.1,6.7,12.5,10.8,10.8,0,1.65,23,10.8,10.8,100,,31,1.8
Dalton Kincaid,,0,TE,TE1,4900,BUF,vs NYJ,25,23.5,5.7,0,10.6,10.77,10.77,0,2.22,22.17,10.77,10.77,100,,46,2.2
Kareem Hunt,,0,RB,RB2,4900,CLE,vs PIT,16,17.25,9.5,7.5,10.1,10.59,10.59,0,0,29.59,10.59,10.59,100,,33,2.2
Miles Sanders,,0,RB,RB2,4600,CAR,vs DAL,13,15.75,8.4,13.4,7.3,10.55,10.55,0,0,27.35,10.55,10.55,100,,33,2.3
Steelers,,0,DST,DST1,3500,PIT,@ CLE,10,17.25,6.1,6.2,9.8,10.55,10.55,0,1.4,22.75,10.55,10.55,100,,24,3
Jayden Reed,,0,WR,WR3,4000,GB,vs LAC,17,20.25,5.5,0,10.8,10.54,10.54,0,2.29,21.54,10.54,10.54,100,,49,2.6
Adam Thielen,,0,WR,WR1,7500,CAR,vs DAL,9,15.75,10.1,10.6,18.8,10.47,10.47,0,0,30.67,10.47,10.47,100,,30,1.4
Bryce Young,,0,QB,QB1,5100,CAR,vs DAL,18,15.75,3.7,0,12.6,10.43,10.43,0,4.88,17.83,10.43,10.43,100,,71,2
Jake Ferguson,,0,TE,TE1,4600,DAL,@ CAR,5,25.75,5.8,4.4,10.6,10.24,10.24,0,1.54,21.84,10.24,10.24,100,,19,2.2
Logan Thomas,,0,TE,TE1,3700,WAS,vs NYG,24,23.25,5.9,5.9,10,10.16,10.16,0,1.31,21.96,10.16,10.16,100,,14,2.7
Jaleel McLaughlin,,0,RB,RB2,4700,DEN,vs MIN,8,22,6.4,0,7.4,10.12,10.12,0,0.52,22.92,10.12,10.12,100,,14,2.2
Khalil Herbert,,0,RB,RB1,4700,CHI,@ DET,11,20.25,7.9,9.3,11.1,10.05,10.05,0,0,25.85,10.05,10.05,100,,0,2.1
David Njoku,,0,TE,TE1,3900,CLE,vs PIT,27,17.25,6,10.2,9.6,10.05,10.05,0,1.05,22.05,10.05,10.05,100,,23,2.6
Browns,,0,DST,DST1,3700,CLE,vs PIT,21,15.25,5.5,6.2,10.8,9.97,9.97,0,1.72,20.97,9.97,9.97,100,,5,2.7
Alexander Mattison,!,0,RB,RB1,5400,MIN,@ DEN,32,19,7,5.2,10.3,9.95,9.95,0,0,23.95,9.95,9.95,100,,0,1.8
Rondale Moore,,0,WR,WR3,3300,ARI,@ HOU,13,21.75,6.7,11,6.3,9.67,9.67,0,0,23.07,9.67,9.67,100,,19,2.9
Jaylen Warren,,0,RB,RB2,5100,PIT,@ CLE,5,15.25,5,5.8,11.6,9.56,9.56,0,2.06,19.56,9.56,9.56,100,,37,1.9
Jaguars,,0,DST,DST1,3400,JAC,vs TEN,26,16.75,6.6,8.1,8.4,9.34,9.34,0,0,22.54,9.34,9.34,100,,0,2.7
Romeo Doubs,,0,WR,WR2,5200,GB,vs LAC,17,20.25,6.3,7.9,11.5,9.3,9.3,0,0,21.9,9.3,9.3,100,,33,1.8
Zay Jones,!,0,WR,WR3,4100,JAC,vs TEN,31,22.75,7.4,12.8,9.3,9.28,9.28,0,0,24.08,9.28,9.28,100,,0,2.3
K.J. Osborn,,0,WR,WR2,4400,MIN,@ DEN,10,19,7.5,9.5,9.1,9.26,9.26,0,0,24.26,9.26,9.26,100,,5,2.1
Curtis Samuel,,0,WR,WR3,3600,WAS,vs NYG,24,23.25,6.7,10.4,10.1,9.23,9.23,0,0,22.63,9.23,9.23,100,,34,2.6
A.J. Dillon,,0,RB,RB2,4600,GB,vs LAC,23,20.25,7.1,9.9,7.4,9.21,9.21,0,0,23.41,9.21,9.21,100,,20,2
Christian Watson,,0,WR,WR1,4600,GB,vs LAC,17,20.25,9.1,12.4,7.2,9.2,9.2,0,0,27.4,9.2,9.2,100,,16,2
Chuba Hubbard,,0,RB,RB1,4900,CAR,vs DAL,13,15.75,5.7,6.5,8.1,9.1,9.1,0,0.55,20.5,9.1,9.1,100,,28,1.9
Chargers,,0,DST,DST1,3300,LAC,@ GB,28,20.25,5.7,5.9,7.9,9.04,9.04,0,0.49,20.44,9.04,9.04,100,,10,2.7
Jakobi Meyers,,0,WR,WR2,6100,LV,@ MIA,20,16.25,6.8,13.2,14,8.84,8.84,0,0,22.44,8.84,8.84,100,,41,1.4
Jerick McKinnon,,0,RB,RB2,4600,KC,vs PHI,2,23.75,7.9,11.8,5.8,8.84,8.84,0,0,24.64,8.84,8.84,100,,9,1.9
Tyler Conklin,,0,TE,TE1,2900,NYJ,@ BUF,4,16.5,5.3,7.7,7.7,8.81,8.81,0,0.86,19.41,8.81,8.81,100,,20,3
Lawrence Cager,,0,TE,TE2,2500,NYG,@ WAS,32,14.25,4.5,5.1,5.9,8.74,8.74,0,1.99,17.74,8.74,8.74,100,,6,3.5
Keaton Mitchell,,0,RB,RB2,4800,BAL,vs CIN,21,24.75,8.8,0,13,8.72,8.72,0,0,26.32,8.72,8.72,100,,32,1.8
Michael Gallup,,0,WR,WR3,3800,DAL,@ CAR,5,25.75,7.5,7.5,6.8,8.68,8.68,0,0,23.68,8.68,8.68,100,,24,2.3
Diontae Johnson,,0,WR,WR1,5000,PIT,@ CLE,8,15.25,7.5,10.6,12.4,8.63,8.63,0,0,23.63,8.63,8.63,100,,44,1.7
Tutu Atwell,,0,WR,WR3,3900,LAR,vs SEA,28,23.75,5.8,5.3,10.7,8.61,8.61,0,0,20.21,8.61,8.61,100,,2,2.2
Tyler Higbee,,0,TE,TE1,3300,LAR,vs SEA,28,23.75,6.5,9.5,6.1,8.59,8.59,0,0,21.59,8.59,8.59,100,,12,2.6
Bills,,0,DST,DST1,4000,BUF,vs NYJ,30,16.5,5.9,8.9,8.8,8.51,8.51,0,0,20.31,8.51,8.51,100,,20,2.1
Broncos,,0,DST,DST1,3000,DEN,vs MIN,12,19,6,5.9,6.6,8.1,8.1,0,0,20.1,8.1,8.1,100,,18,2.7
Commanders,,0,DST,DST1,3600,WAS,vs NYG,32,14.25,5.2,6.6,5.3,8.03,8.03,0,0.23,18.43,8.03,8.03,100,,21,2.2
Cade Otton,,0,TE,TE1,3400,TB,@ SF,29,14.75,5.5,6.6,8.3,7.9,7.9,0,0,18.9,7.9,7.9,100,,25,2.3
49ers,,0,DST,DST1,3900,SF,vs TB,20,14.75,5.7,9.3,8.6,7.86,7.86,0,0,19.26,7.86,7.86,100,,10,2
Wan'Dale Robinson,,0,WR,WR3,3500,NYG,@ WAS,32,14.25,5.9,9.1,7.2,7.86,7.86,0,0,19.66,7.86,7.86,100,,26,2.2
Donald Parham,,0,TE,TE1,3100,LAC,@ GB,12,23.25,4.6,4.8,5.7,7.83,7.83,0,0.93,17.03,7.83,7.83,100,,6,2.5
George Pickens,,0,WR,WR2,4900,PIT,@ CLE,8,15.25,7.5,10,13.1,7.8,7.8,0,0,22.8,7.8,7.8,100,,32,1.6
Latavius Murray,,0,RB,RB2,4800,BUF,vs NYJ,28,23.5,7.8,12.3,6.1,7.64,7.64,0,0,23.24,7.64,7.64,100,,25,1.6
Darius Slayton,,0,WR,WR1,3200,NYG,@ WAS,32,14.25,7.7,10,6,7.63,7.63,0,0,23.03,7.63,7.63,100,,13,2.4
Irv Smith Jr.,,0,TE,TE2,2700,CIN,@ BAL,3,21.75,5.6,6.9,4.7,7.63,7.63,0,0,18.83,7.63,7.63,100,,20,2.8
