,,,,,,Game and Vegas,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,Proj. Fantasy Pts,,,Projected Values,,,,,,,,,Position Rankings,,,Overall Rankings,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
Matthew Stafford,,0,QB,QB1,6100,LAR,vs ARI,12,27.25,7.1,13.6,17.4,1,40.17,305.86,1.7,0.85,0.1459,4.07,14.5,0.06,4.07,0,0,0,0,0,0,0,0,0,0,0,19.99,19.99,0,9.34,34.19,19.99,19.99,0,100,,62,3.3,14,12,12,29,20,20,35.53,23.35,266.87,0.74,2.49,1.73,97.04,2.02,6.91,0.03,0.02,0.01,-0.05,,,,,,,,
Chris Godwin,,0,WR,WR2,6900,TB,vs DET,22,19.75,9.5,15.4,12.9,0,0,0,0,0,0,0,0,0,10.91,0.2807,10.91,7.92,95.05,0.41,0,0,0,0,0,0,19.89,19.89,0,5.64,38.89,19.89,19.89,0,100,,35,2.9,15,4,4,21,21,21,0.01,,,,,,0.02,0.09,0.38,0.01,7.26,5.19,65.79,0.36,,,,,,,
Trevor Lawrence,,0,QB,QB1,6500,JAC,vs IND,27,23.25,7.3,19.1,16.3,1,37.32,273.42,1.42,0.58,0.2051,5.52,25.49,0.2,5.52,0,0,0,0,0,0,0,0,0,0,0,19.79,19.79,0,8.84,34.39,19.79,19.79,0,100,,55,3,10,13,13,25,22,22,35.03,22.23,231.08,0.69,1.85,1.08,84.93,4.23,19.41,0.18,,,,,,,,,,,
Joe Burrow,,0,QB,QB1,6300,CIN,vs SEA,14,23.75,9.1,23.8,12.4,1,35.39,257.34,1.87,0.67,0.1952,4.78,12.94,0.22,4.78,0,0,0,0,0,0,0,0,0,0,0,19.72,19.72,0,6.07,37.92,19.72,19.72,0,100,,57,3.1,12,14,14,27,23,23,36.74,24.83,272.74,0.72,2.87,1.85,98.19,3.49,11.21,0.21,,,,,,,,,,,
Davante Adams,,0,WR,WR1,8100,LV,vs NE,23,21.75,11.2,21.1,20.4,0,0,0,0,0,0,0,0,0,9.99,0.303,9.99,6.45,86.28,0.75,0,0,0,0,0,0,19.58,19.58,0,2.78,41.98,19.58,19.58,0,100,,43,2.4,7,5,5,9,24,24,0.01,0.01,0.26,,0.01,,1.76,0.02,-0.01,,9.6,6.29,79.51,0.73,,,,,,,
David Montgomery,,0,RB,RB1,7300,DET,@ TB,3,22.75,8.3,11.4,21.9,0,0,0,0,0,0.7172,22.26,89.36,0.84,25.93,0.1113,3.67,2.81,22.42,0.08,0,0,0,0,0,0,19.51,19.51,0,7.06,36.11,19.51,19.51,0,100,,43,2.7,7,5,5,17,25,25,0.02,,,0.02,,,,15.67,62.19,0.5,3.17,2.5,20.11,0.06,,,,,,,
CeeDee Lamb,,0,WR,WR1,7400,DAL,@ LAC,3,25.75,8.8,18.6,14.8,0,0,0,0,0,0,0,0,0,9.92,0.2739,9.92,7.14,89.14,0.55,0,0,0,0,0,0,19.35,19.35,0,6.15,36.95,19.35,19.35,0,100,,45,2.6,12,6,6,16,26,26,,,,,0.02,,,0.59,4.19,0.02,7.8,5.31,69.52,0.39,,,,,,,
Stefon Diggs,,0,WR,WR1,8800,BUF,vs NYG,20,29.25,10,21.1,26.4,0,0,0,0,0,0,0,0,0,9.97,0.2736,9.97,6.96,85.22,0.61,0,0,0,0,0,0,19.14,19.14,0,4.14,39.14,19.14,19.14,0,100,,43,2.2,4,7,7,5,27,27,0.01,,,,0.02,,0.02,0.26,1.33,,8.56,5.92,74.73,0.51,,,,,,,
Russell Wilson,,0,QB,QB1,5800,DEN,@ KC,10,18.75,8.2,16.1,21.3,1,32.04,250.12,1.75,0.6,0.1731,3.79,20.71,0.1,3.79,0,0,0,0,0,0,0,0,0,0,0,19.08,19.08,0,6.78,35.48,19.08,19.08,0,100,,60,3.3,17,15,15,32,28,28,31.64,20.54,244.38,0.58,2.91,1.88,102.02,4.7,24.94,0.11,0.03,0.03,0.03,0.01,,,,,,,
Kirk Cousins,,0,QB,QB1,7100,MIN,@ CHI,28,23.25,7.9,18.7,23.2,1,36.27,262.92,1.95,0.71,0.0878,1.86,5.94,0.11,1.86,0,0,0,0,0,0,0,0,0,0,0,18.86,18.86,0,7.01,34.66,18.86,18.86,0,100,,60,2.7,8,16,16,19,29,29,34.97,23.56,266.65,0.67,2.19,1.84,100.82,2.1,6.6,0.15,0.01,0.01,-0.01,,,,,,,,
Mike Evans,,0,WR,WR1,7100,TB,vs DET,22,19.75,10.3,15.6,18.7,0,0,0,0,0,0,0,0,0,10.29,0.2647,10.29,6.01,90.92,0.62,0,0,0,0,0,0,18.82,18.82,0,3.37,39.42,18.82,18.82,0,100,,39,2.7,13,8,8,19,30,30,,,,,,,,0.01,0.08,,8.67,5.04,77.09,0.57,,,,,,,
Christian Kirk,,0,WR,WR2,5400,JAC,vs IND,16,23.25,7.9,14.8,14.6,0,0,0,0,0,0,0,0,0,11.22,0.3007,11.22,7.44,85.64,0.45,0,0,0,0,0,0,18.7,18.7,0,6.85,34.5,18.7,18.7,0,100,,37,3.5,30,9,9,36,31,31,0.04,0.03,0.41,,,,3.07,0.28,2.04,,6.85,4.49,55.71,0.33,,,,,,,
Cooper Kupp,,0,WR,WR1,9000,LAR,vs ARI,15,27.25,10.3,24.2,22.8,0,0,0,0,0,0,0,0,0,9.21,0.2294,9.21,6.67,81.81,0.64,0,0,0,0,0,0,18.69,18.69,0,3.24,39.29,18.69,18.69,0,100,,46,2.1,3,10,10,4,32,32,0.05,,,,,,1.47,0.28,1.61,0.01,8.8,6.39,79.46,0.57,,,,,,,
Puka Nacua,,0,WR,WR2,8000,LAR,vs ARI,15,27.25,8.2,0,24.9,0,0,0,0,0,0,0,0,0,10.53,0.2621,10.53,7.18,88.54,0.44,0,0,0,0,0,0,18.67,18.67,0,6.37,35.07,18.67,18.67,0,100,,67,2.3,8,11,11,10,33,33,,,,,,,,0.4,0.8,,12.6,9.2,114.4,0.4,,,,,,,
Josh Jacobs,,0,RB,RB1,7000,LV,vs NE,9,21.75,9.3,20.4,15.6,0,0,0,0,0,0.8624,21.27,86.74,0.7,25.36,0.124,4.09,3.23,25.44,0,0,0,0,0,0,0,18.65,18.65,0,4.7,37.25,18.65,18.65,0,100,,45,2.7,10,6,6,20,34,34,,,,,0.02,,,17.75,76.52,0.65,3.55,2.82,20.69,,,,,,,,
C.J. Stroud,,0,QB,QB1,6000,HOU,vs NO,2,20.75,5.6,0,19.3,1,36.79,284.37,1.59,0.34,0.1006,2.7,9.94,0.04,2.7,0,0,0,0,0,0,0,0,0,0,0,18.63,18.63,0,10.23,29.83,18.63,18.63,0,100,,71,3.1,15,17,17,30,35,35,37.2,22.8,292.2,,2.2,1.4,100.1,3,10.6,,0.2,0.2,,,,,,,,,
Alvin Kamara,,0,RB,RB1,6800,NO,@ HOU,31,21.75,10.7,14.8,20.1,0,0,0,0,0,0.5125,16.29,71.53,0.63,21.13,0.1592,4.84,3.82,28.39,0.16,0,0,0,0,0,0,18.55,18.55,0,2.5,39.95,18.55,18.55,0,100,,47,2.7,11,7,7,22,36,36,0.01,0.01,0.14,,,,1.5,12.86,57.57,0.56,6.34,4.95,42.03,0.25,,,,,,,
Brock Purdy,,0,QB,QB1,5600,SF,@ CLE,1,22.25,8.2,12.3,20.6,1,28.33,244.67,1.8,0.26,0.0868,2.23,2.89,0.24,2.23,0,0,0,0,0,0,0,0,0,0,0,18.46,18.46,0,6.16,34.86,18.46,18.46,0,100,,46,3.3,19,18,18,34,37,37,21.86,15.14,188.93,0.29,0.57,1.57,44.97,2.43,2.64,0.21,,,,,,,,,,,
Jared Goff,,0,QB,QB1,6400,DET,@ TB,21,22.75,8.6,18.3,20,1,32.96,254.58,1.6,0.58,0.1046,3.25,6.73,0.2,3.25,0,0,0,0,0,0,0,0,0,0,0,17.88,17.88,0,4.98,35.08,17.88,17.88,0,100,,52,2.8,11,19,19,26,38,38,34.97,22.51,258.32,0.69,1.86,1.56,93.95,2.1,4.58,0.11,0.01,0.01,0.05,,,,,,,,
Calvin Ridley,,0,WR,WR1,6700,JAC,vs IND,16,23.25,9.6,0,14.9,0,0,0,0,0,0,0,0,0,9.48,0.2539,9.48,6.07,79.56,0.58,0,0,0,0,0,0,17.51,17.51,0,3.11,36.71,17.51,17.51,0,100,,40,2.6,17,12,12,23,39,39,,,,,,,,0.28,1.41,,7.7,5,68.06,0.56,,,,,,,
Amon-Ra St. Brown,,0,WR,WR1,7700,DET,@ TB,28,22.75,10.2,17.5,19.1,0,0,0,0,0,0,0,0,0,9.82,0.2979,9.82,7.2,78.87,0.39,0,0,0,0,0,0,17.43,17.43,0,2.13,37.83,17.43,17.43,0,100,,38,2.3,10,13,13,13,40,40,,,,,,,,0.47,4.44,0.03,8.33,6.17,66.78,0.36,,,,,,,
Kyren Williams,,0,RB,RB1,6500,LAR,vs ARI,32,27.25,9.5,3.8,18.5,0,0,0,0,0,0.7244,20.22,78.65,1,22.81,0.0644,2.59,1.53,12.19,0.09,0,0,0,0,0,0,17.15,17.15,0,2.9,36.15,17.15,17.15,0,100,,0,2.6,14,8,8,25,41,41,,,,,,,,8.62,33.62,0.38,2.77,1.69,13.92,0.08,,,,,,,
Travis Etienne,,0,RB,RB1,7100,JAC,vs IND,27,23.25,9.7,13.1,19,0,0,0,0,0,0.6679,17.98,81.24,0.47,21.98,0.1072,4,3.4,27.33,0,0,0,0,0,0,0,17.08,17.08,0,2.53,36.48,17.08,17.08,0,100,,33,2.4,9,9,9,19,42,42,,,,,,,,14.32,69.14,0.36,3,2.41,20.91,,,,,,,,
T.J. Hockenson,,0,TE,TE1,6600,MIN,@ CHI,4,23.25,8.2,13.1,13.3,0,0,0,0,0,0,0,0,0,10.18,0.2806,10.18,7,71.86,0.48,0,0,0,0,0,0,17.07,17.07,0,4.77,33.47,17.07,17.07,0,100,,27,2.6,2,2,2,24,43,43,,,,,,,,0.02,,,6.65,4.45,45.82,0.32,,,,,,,
Geno Smith,,0,QB,QB1,5700,SEA,@ CIN,31,20.75,9.1,19.5,15.2,1,30.99,228.91,1.56,0.54,0.1611,3.83,19.03,0.04,3.83,0,0,0,0,0,0,0,0,0,0,0,17,17,0,3.35,35.2,17,17,0,100,,35,3,18,20,20,33,44,44,25.46,17.4,184.97,0.43,2.2,1.26,89.04,2.94,13.86,0.06,0.03,0.03,-0.06,,,,,,,,
Joe Mixon,,0,RB,RB1,6300,CIN,vs SEA,21,23.75,9.5,17.3,12,0,0,0,0,0,0.7601,18.61,76.02,0.52,22.55,0.1112,3.94,3.21,22.71,0.1,0,0,0,0,0,0,16.8,16.8,0,2.55,35.8,16.8,16.8,0,100,,40,2.7,16,10,10,27,45,45,,,,,,,,16.45,67.13,0.48,3.52,2.87,21.68,0.12,,,,,,,
Derrick Henry,,0,RB,RB1,7500,TEN,vs BAL,6,18.75,12,20.8,14.2,0,0,0,0,0,0.695,18.07,84,0.71,20.52,0.0866,2.45,1.93,20.08,0.03,0,0,0,0,0,0,16.78,16.78,0,0,40.78,16.78,16.78,0,100,,28,2.2,5,11,11,15,46,46,0.08,0.06,0.25,,,0.04,12.05,17.53,83.58,0.74,1.69,1.32,12.72,0.03,,,,,,,
Bryce Young,,0,QB,QB1,5100,CAR,@ MIA,24,16.75,4.8,0,13.1,1,32.46,215.88,1.42,0.85,0.1801,4.45,26.81,0.09,4.45,0,0,0,0,0,0,0,0,0,0,0,16.69,16.69,0,9.49,26.29,16.69,16.69,0,100,,63,3.3,24,21,21,39,47,47,36,23,187.5,1,3,1.25,77.95,2,16.25,,,,,,,,,,,,
Jimmy Garoppolo,,0,QB,QB1,5300,LV,vs NE,17,21.75,8.2,15.8,15.2,1,32.96,255.55,1.59,1,0.1262,3.11,4.14,0.11,3.11,0,0,0,0,0,0,0,0,0,0,0,16.66,16.66,0,4.36,33.06,16.66,16.66,0,100,,42,3.1,22,22,22,37,48,48,25.45,17.18,208.82,0.7,1.74,1.27,90.4,2.45,3.24,0.09,0.03,0.03,-0.04,,,,,,,,
Jaylen Waddle,,0,WR,WR2,7600,MIA,vs CAR,31,30.75,9,16.4,11.8,0,0,0,0,0,0,0,0,0,8.21,0.2195,8.21,5.51,82.74,0.45,0,0,0,0,0,0,16.48,16.48,0,2.98,34.48,16.48,16.48,0,100,,42,2.2,11,14,14,14,49,49,,,,,,,,0.16,0.73,0.03,7.65,5.3,70.7,0.41,,,,,,,
Jonathan Taylor,,0,RB,RB1,6600,IND,@ JAC,5,20.25,11.1,14.1,4.4,0,0,0,0,0,0.5108,15.29,74.81,0.61,18.47,0.0877,3.18,2.56,21.16,0.07,0,0,0,0,0,0,16.24,16.24,0,0,38.44,16.24,16.24,0,100,,41,2.5,13,12,12,24,50,50,,,,,,,,17.32,87.7,0.75,3.02,2.39,18.59,0.07,,,,,,,
Michael Pittman,,0,WR,WR1,6300,IND,@ JAC,14,20.25,7.4,14,13.7,0,0,0,0,0,0,0,0,0,10.05,0.277,10.05,6.86,70.59,0.38,0,0,0,0,0,0,16.2,16.2,0,5.1,31,16.2,16.2,0,100,,41,2.6,21,15,15,27,51,51,,,,,,,,0.22,1.96,,7.37,5.06,55.04,0.24,,,,,,,
Saquon Barkley,!,0,RB,RB1,8100,NYG,@ BUF,12,14.25,10,18.5,18.3,0,0,0,0,0,0.6986,14.66,64.21,0.47,19.63,0.1578,4.97,3.67,24.28,0.14,0,0,0,0,0,0,16.18,16.18,0,1.18,36.18,16.18,16.18,0,100,,47,2,3,13,13,9,52,52,,,,,,,,15.85,70.37,0.48,5.6,4.13,30.02,0.15,,,,,,,
Marquise Brown,!,0,WR,WR1,5300,ARI,@ LAR,8,20.25,7.8,13.3,15.2,0,0,0,0,0,0,0,0,0,10.31,0.2638,10.31,6.24,67.37,0.52,0,0,0,0,0,0,16.1,16.1,0,4.4,31.7,16.1,16.1,0,100,,40,3,31,16,16,37,53,53,,,,,,,,0.06,0.56,,7.42,4.59,54.63,0.42,,,,,,,
DJ Moore,,0,WR,WR1,6500,CHI,vs MIN,29,20.25,9,12.2,23.8,0,0,0,0,0,0,0,0,0,8.4,0.3138,8.4,5.25,77.52,0.5,0,0,0,0,0,0,16,16,0,2.5,34,16,16,0,100,,37,2.5,19,17,17,25,54,54,0.01,,,,,,0.47,0.46,3.94,,7.64,4.6,67.44,0.31,,,,,,,
Mark Andrews,,0,TE,TE1,5500,BAL,@ TEN,31,23.75,9.1,13.3,15.1,0,0,0,0,0,0,0,0,0,8.15,0.2537,8.15,5.48,66.01,0.6,0,0,0,0,0,0,15.68,15.68,0,2.03,33.88,15.68,15.68,0,100,,31,2.9,4,3,3,35,55,55,,,,,,,,0.05,0.1,,6.61,4.45,56.02,0.46,,,,,,,
Gardner Minshew,,0,QB,QB1,5000,IND,@ JAC,26,20.25,8.2,8.8,7.6,1,36.29,258.05,1.26,0.54,0.045,1.35,4.36,0.05,1.35,0,0,0,0,0,0,0,0,0,0,0,15.56,15.56,0,3.26,31.96,15.56,15.56,0,100,,46,3.1,25,23,23,40,56,56,29.03,18.37,205.29,0.43,2.17,1.31,88.95,3.31,15,0.06,0.03,0.03,,,,,,,,,
Terry McLaurin,,0,WR,WR1,5500,WAS,@ ATL,30,20.75,7.8,14.2,11.4,0,0,0,0,0,0,0,0,0,8.63,0.2447,8.63,5.76,76.13,0.34,0,0,0,0,0,0,15.41,15.41,0,3.71,31.01,15.41,15.41,0,100,,45,2.8,29,18,18,35,57,57,,,,,,,,0.15,1.04,,7.47,4.76,66.79,0.32,,,,,,,
A.J. Brown,,0,WR,WR1,7800,PHI,@ NYJ,2,24.25,10.6,18.6,22,0,0,0,0,0,0,0,0,0,7.71,0.2434,7.71,4.84,75.41,0.47,0,0,0,0,0,0,15.2,15.2,0,0,36.4,15.2,15.2,0,100,,36,1.9,9,19,19,12,58,58,0.03,,,,,,1.16,0.09,1.16,0.01,7.38,4.6,74.91,0.54,,,,,,,
Kenneth Walker III,,0,RB,RB1,6700,SEA,@ CIN,8,20.75,8.6,14.7,18.4,0,0,0,0,0,0.6374,15.14,67.51,0.74,17.71,0.0829,2.57,2.04,14.66,0,0,0,0,0,0,0,14.7,14.7,0,1.8,31.9,14.7,14.7,0,100,,45,2.2,12,14,14,23,59,59,,,,,,,,15.56,71.5,0.78,2.22,1.72,11.44,,,,,,,,
Tyrod Taylor,,0,QB,QB1,5100,NYG,@ BUF,3,14.25,8.7,6.7,1.8,1,31.49,221.81,1.15,0.43,0.0895,1.88,11.22,0.08,1.88,0,0,0,0,0,0,0,0,0,0,0,14.64,14.64,0,1.59,32.04,14.64,14.64,0,100,,40,2.9,24,24,24,39,60,60,23.76,14.58,163.95,0.38,2.39,0.91,84.86,5.3,29.97,0.27,0.03,0.02,0.06,,,,,,,,
Ryan Tannehill,,0,QB,QB1,4900,TEN,vs BAL,9,18.75,7.4,14.4,11,1,28.28,210.2,1.19,0.7,0.0929,2.42,10.22,0.19,2.42,0,0,0,0,0,0,0,0,0,0,0,14.63,14.63,0,3.53,29.43,14.63,14.63,0,100,,57,3,26,25,25,41,61,61,29.03,18.99,221.66,0.69,2.51,1.48,96.63,2.91,12.62,0.23,0.03,0.03,0.11,0.01,,,,,,,
Derek Carr,,0,QB,QB1,5300,NO,@ HOU,8,21.75,7.7,15.9,10.9,1,30.43,235.05,1.29,0.63,0.0494,1.57,4.28,0.03,1.57,0,0,0,0,0,0,0,0,0,0,0,14.54,14.54,0,2.99,29.94,14.54,14.54,0,100,,55,2.7,22,26,26,37,62,62,34.41,22.52,251.11,0.68,1.95,1.53,93.98,1.97,5.78,0.05,0.01,0.01,-0.07,,,,,,,,
Bijan Robinson,,0,RB,RB1,7200,ATL,vs WAS,18,21.75,5.4,0,17.8,0,0,0,0,0,0.4682,15.16,74.05,0.16,18.79,0.1442,3.63,3,20.78,0.18,0,0,0,0,0,0,14.52,14.52,0,6.42,25.32,14.52,14.52,0,100,,70,2,8,15,15,18,63,63,,,,,,,,13.4,72.8,,4.8,4.2,29.2,0.4,,,,,,,
D'Andre Swift,,0,RB,RB1,6100,PHI,@ NYJ,17,24.25,7.8,13.9,16.8,0,0,0,0,0,0.3737,11.51,58.06,0.47,15.61,0.1293,4.1,3.14,21.17,0.09,0,0,0,0,0,0,14.42,14.42,0,2.72,30.02,14.42,14.42,0,100,,49,2.4,18,16,16,29,64,64,0.02,,,,,,0.88,9.78,46.98,0.44,4.93,3.8,28.29,0.16,,,,,,,
