,,,,,,Game and Vegas,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,Proj. Fantasy Pts,,,Projected Values,,,,,,,,,Position Rankings,,,Overall Rankings,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
Tony Pollard,,0,RB,RB1,7300,DAL,vs NYG,29,27.75,8.8,16.3,13.9,0,0,0,0,0,0.6066,21.05,97.52,0.57,26.41,0.1514,5.36,4.14,30.99,0.11,0,0,0,0,0,0,21.07,21.07,0,7.87,38.67,21.07,21.07,0,100,,19,2.9,6,3,3,12,12,12,,,,,,,,9.13,44.78,0.28,2.84,2.17,17.35,0.07,,,,,,,
Lamar Jackson,,0,QB,QB1,8000,BAL,vs CLE,3,22.25,11.2,21.2,20.6,1,26.03,198.71,1.24,0.52,0.3504,10.58,62.12,0.41,10.58,0,0,0,0,0,0,0,0,0,0,0,21.06,21.06,0,4.26,43.46,21.06,21.06,0,100,,47,2.6,2,8,8,9,13,13,24.57,15.84,181.64,0.54,1.98,1.4,93.19,10.26,62.19,0.36,0.02,,,,,,,,,,
Austin Ekeler,,0,RB,RB1,8400,LAC,vs DET,6,23.25,9.9,22.5,18.1,0,0,0,0,0,0.5324,14.41,63.07,0.63,20.28,0.1753,5.87,4.6,42.2,0.3,0,0,0,0,0,0,20.71,20.71,0,5.86,40.51,20.71,20.71,0,100,,43,2.5,2,4,4,7,14,14,,,,,,,,9.58,43.41,0.41,5.54,4.42,39.8,0.33,,,,,,,
CeeDee Lamb,,0,WR,WR1,8500,DAL,vs NYG,24,27.75,9.6,18.6,21.5,0,0,0,0,0,0,0,0,0,10.24,0.2894,10.24,7.44,96.79,0.53,0,0,0,0,0,0,20.3,20.3,0,5.9,39.5,20.3,20.3,0,100,,43,2.4,5,3,3,6,15,15,,,,,0.02,,,0.58,4.18,0.02,8.04,5.56,74.04,0.4,,,,,,,
Joe Mixon,,0,RB,RB1,6200,CIN,vs HOU,20,26,9.4,17.3,13.3,0,0,0,0,0,0.7713,19.63,78.9,0.57,25.46,0.1453,5.83,4.79,34.05,0.13,0,0,0,0,0,0,20.29,20.29,0,6.19,39.09,20.29,20.29,0,100,,41,3.3,15,5,5,23,16,16,,,,,,,,16.36,66.68,0.49,3.55,2.9,21.83,0.11,,,,,,,
Stefon Diggs,,0,WR,WR1,9000,BUF,vs DEN,10,26.75,9.9,21.1,23.5,0,0,0,0,0,0,0,0,0,10.31,0.3111,10.31,7.15,84.37,0.65,0,0,0,0,0,0,19.49,19.49,0,4.64,39.29,19.49,19.49,0,100,,43,2.2,1,4,4,2,17,17,0.01,,,,0.02,,0.02,0.26,1.29,,8.65,5.98,74.84,0.51,,,,,,,
Jared Goff,,0,QB,QB1,6400,DET,@ LAC,25,25.25,8.6,18.3,18.7,1,40.51,296.98,1.73,0.73,0.0655,1.94,3.8,0.12,1.94,0,0,0,0,0,0,0,0,0,0,0,19.17,19.17,0,6.27,36.37,19.17,19.17,0,100,,52,3,8,9,9,21,18,18,35.24,22.71,259.55,0.69,1.88,1.54,93.8,2.08,4.47,0.11,0.01,0.01,0.05,,,,,,,,
Amon-Ra St. Brown,,0,WR,WR1,8300,DET,@ LAC,17,25.25,10.3,17.5,22.3,0,0,0,0,0,0,0,0,0,10.8,0.2666,10.8,7.9,87.4,0.42,0,0,0,0,0,0,19.16,19.16,0,3.71,39.76,19.16,19.16,0,100,,40,2.3,6,5,5,8,19,19,,,,,0.03,,,0.44,4.1,0.03,8.79,6.49,70.21,0.36,,,,,,,
Deshaun Watson,,0,QB,QB1,5400,CLE,@ BAL,2,16.25,9.4,15.1,15.1,1,29.43,213.14,1.47,0.66,0.2209,6.17,33.66,0.31,6.17,0,0,0,0,0,0,0,0,0,0,0,18.97,18.97,0,4.87,37.77,18.97,18.97,0,100,,58,3.5,15,10,10,31,20,20,31.65,21.1,254.79,0.66,3.22,1.78,99.24,5.6,30.13,0.31,0.01,0.01,0.09,0.01,,,,,,,
Josh Jacobs,,0,RB,RB1,7000,LV,vs NYJ,27,17.75,9.2,20.4,14.8,0,0,0,0,0,0.9289,23.41,93.6,0.81,26.99,0.1176,3.58,2.64,19.01,0,0,0,0,0,0,0,18.76,18.76,0,4.96,37.16,18.76,18.76,0,100,,45,2.7,8,6,6,15,21,21,,,,,0.01,,,17.84,76.01,0.65,3.54,2.72,20.2,,,,,,,,
Alvin Kamara,,0,RB,RB1,8300,NO,@ MIN,10,21.25,10.6,14.8,20.8,0,0,0,0,0,0.45,15.32,65.9,0.57,20.8,0.1688,5.48,4.36,33.45,0.17,0,0,0,0,0,0,18.74,18.74,0,2.84,39.94,18.74,18.74,0,100,,48,2.3,3,7,7,8,22,22,0.01,0.01,0.13,,,,1.44,12.97,57.41,0.55,6.41,5.02,42.59,0.25,,,,,,,
Geno Smith,,0,QB,QB1,5800,SEA,vs WAS,32,24.75,8.8,19.5,14.1,1,35.27,268.17,1.77,0.89,0.1468,3.73,15.8,0.04,3.73,0,0,0,0,0,0,0,0,0,0,0,18.74,18.74,0,5.54,36.34,18.74,18.74,0,100,,37,3.2,11,11,11,27,22,22,26.18,17.69,190.44,0.54,2.26,1.23,87.85,3,13.23,0.05,0.03,0.03,-0.05,,,,,,,,
Marquise Brown,,0,WR,WR1,5200,ARI,vs ATL,2,20.75,7.6,13.3,12.5,0,0,0,0,0,0,0,0,0,11.93,0.32,11.93,6.96,77.79,0.66,0,0,0,0,0,0,18.7,18.7,0,7.3,33.9,18.7,18.7,0,100,,40,3.6,27,6,6,33,23,23,,,,,,,,0.06,0.53,,7.5,4.57,53.47,0.41,,,,,,,
Baker Mayfield,,0,QB,QB1,5100,TB,vs TEN,15,20.25,6.6,11,17.2,1,37.03,266.05,1.72,0.89,0.1769,4.24,14.88,0.09,4.24,0,0,0,0,0,0,0,0,0,0,0,18.66,18.66,0,8.76,31.86,18.66,18.66,0,100,,58,3.7,18,12,12,34,24,24,31.69,19.56,226.91,0.85,2.29,1.43,88.14,2.8,9.78,0.08,0.03,0.01,0.21,,,,,,,,
Tank Dell,,0,WR,WR1,5500,HOU,@ CIN,7,21,11,0,15.1,0,0,0,0,0,0.0967,2.72,8.66,0.01,10.62,0.2136,7.9,5.08,80.56,0.71,0,0,0,0,0,0,18.32,18.32,0,1.82,40.32,18.32,18.32,0,100,,27,3.3,24,7,7,30,25,25,,,,,,,,1.29,3.71,,6.14,4,64.86,0.57,,,,,,,
Michael Pittman,,0,WR,WR1,6700,IND,@ NE,22,21.75,7.3,14,15.6,0,0,0,0,0,0,0,0,0,11.02,0.2913,11.02,7.5,77.85,0.47,0,0,0,0,0,0,18.11,18.11,0,7.16,32.71,18.11,18.11,0,100,,43,2.7,12,8,8,18,26,26,,,,,,,,0.2,1.82,,7.56,5.18,56.42,0.25,,,,,,,
Justin Herbert,,0,QB,QB1,7700,LAC,vs DET,20,23.25,8.2,18.2,20.9,1,33.5,240.58,1.61,0.55,0.135,3.65,12.68,0.2,3.65,0,0,0,0,0,0,0,0,0,0,0,17.98,17.98,0,5.68,34.38,17.98,17.98,0,100,,63,2.3,3,13,13,10,27,27,39.44,26.4,282.7,0.68,2.12,1.88,97.4,3.58,13.72,0.19,0.05,0.05,,,,,,,,,
Brock Purdy,,0,QB,QB1,5700,SF,@ JAC,21,23.75,7.9,12.3,18.9,1,28.85,247.89,1.59,0.68,0.119,3.34,10.51,0.2,3.34,0,0,0,0,0,0,0,0,0,0,0,17.85,17.85,0,6,33.65,17.85,17.85,0,100,,49,3.1,12,14,14,28,28,28,23.18,15.71,200.41,0.53,0.82,1.47,50.62,2.82,7.06,0.18,,,,,,,,,,,
Garrett Wilson,,0,WR,WR1,6600,NYJ,@ LV,19,18.75,7.7,13.3,14.4,0,0,0,0,0,0,0,0,0,13.45,0.3584,13.45,7.48,88.32,0.22,0,0,0,0,0,0,17.63,17.63,0,6.08,33.03,17.63,17.63,0,100,,43,2.7,13,9,9,19,29,29,0.04,,,,,,,0.2,0.4,,9.12,5.16,66.08,0.24,,,,,,,
Trevor Lawrence,,0,QB,QB1,6000,JAC,vs SF,24,20.75,7,19.1,16.4,1,33.21,241.41,1.31,0.58,0.1957,4.63,22.55,0.14,4.63,0,0,0,0,0,0,0,0,0,0,0,17.41,17.41,0,6.91,31.41,17.41,17.41,0,100,,57,2.9,9,15,15,25,30,30,34.69,22.17,230.69,0.69,1.86,1.1,85.81,4.21,20.02,0.17,,,,,,,,,,,
Tyson Bagent,,0,QB,QB1,4900,CHI,vs CAR,4,20.75,4.3,0,13.4,1,29.87,213.7,1.16,1.18,0.1779,5.62,27.07,0.44,5.62,0,0,0,0,0,0,0,0,0,0,0,17.36,17.36,0,10.91,25.96,17.36,17.36,0,100,,68,3.5,20,16,16,36,31,31,27.5,18.5,174.25,1.5,1.25,0.75,69.72,4.25,24.25,0.5,,,,,,,,,,,
Jordan Addison,,0,WR,WR1,5900,MIN,vs NO,23,19.25,8.8,0,15.5,0,0,0,0,0,0,0,0,0,8.38,0.2053,8.38,5.85,68.4,0.77,0,0,0,0,0,0,17.31,17.31,0,4.11,34.91,17.31,17.31,0,100,,43,2.9,20,10,10,26,32,32,,,,,,,,0.11,0.22,,6.56,4.56,59.33,0.78,,,,,,,
Mike Evans,,0,WR,WR1,7200,TB,vs TEN,31,20.25,10.2,15.6,16.2,0,0,0,0,0,0,0,0,0,9.32,0.2518,9.32,5.46,82.38,0.59,0,0,0,0,0,0,17.24,17.24,0,1.94,37.64,17.24,17.24,0,100,,40,2.4,9,11,11,13,33,33,,,,,,,,0.01,0.08,,8.63,5.02,76.69,0.57,,,,,,,
Chris Godwin,,0,WR,WR2,6700,TB,vs TEN,31,20.25,9.4,15.4,12.4,0,0,0,0,0,0,0,0,0,9.65,0.2607,9.65,6.78,81.61,0.38,0,0,0,0,0,0,17.22,17.22,0,3.12,36.02,17.22,17.22,0,100,,36,2.6,12,12,12,18,34,34,0.01,,,,,,0.02,0.1,0.51,0.01,7.29,5.17,65.26,0.35,,,,,,,
Gardner Minshew,,0,QB,QB1,5200,IND,@ NE,10,21.75,8.4,8.8,13.3,1,37.83,270.24,1.37,0.78,0.0638,2.01,7.6,0.15,2.01,0,0,0,0,0,0,0,0,0,0,0,17.17,17.17,0,4.57,33.97,17.17,17.17,0,100,,46,3.3,17,17,17,33,35,35,29.77,18.74,209.21,0.51,2.21,1.33,88.78,3.26,14.51,0.1,0.03,0.03,,,,,,,,,
Kyler Murray,,0,QB,QB1,5900,ARI,vs ATL,22,20.75,8.6,19.9,0,1,37.28,266.18,1.46,0.76,0.0526,1.54,8.83,0.09,1.54,0,0,0,0,0,0,0,0,0,0,0,17.15,17.15,0,4.25,34.35,17.15,17.15,0,100,,61,2.9,10,18,18,26,36,36,34.58,23.09,242.95,0.72,2.3,1.47,94.46,6.68,38.67,0.4,,,0.12,,,,,,,,
T.J. Hockenson,!,0,TE,TE1,5000,MIN,vs NO,23,19.25,8.1,13.1,14.6,0,0,0,0,0,0,0,0,0,11.27,0.2762,11.27,7.79,70.05,0.37,0,0,0,0,0,0,17.02,17.02,0,4.87,33.22,17.02,17.02,0,100,,30,3.4,5,1,1,35,37,37,,,,,,,,0.02,,,6.86,4.64,47.48,0.32,,,,,,,
Travis Etienne,,0,RB,RB1,7100,JAC,vs SF,7,20.75,9.6,13.1,20.9,0,0,0,0,0,0.6881,16.28,69.71,0.62,20.17,0.117,3.89,3.04,28.07,0.07,0,0,0,0,0,0,16.96,16.96,0,2.56,36.16,16.96,16.96,0,100,,38,2.4,7,8,8,14,38,38,,,,,,,,14.84,68.32,0.48,3.2,2.48,23.28,0.04,,,,,,,
Jahmyr Gibbs,,0,RB,RB2,7000,DET,@ LAC,19,25.25,9.9,0,16.6,0,0,0,0,0,0.4347,12.91,64.33,0.37,18.57,0.1396,5.66,4.69,30.25,0.04,0,0,0,0,0,0,16.61,16.61,0,1.76,36.41,16.61,16.61,0,100,,40,2.4,8,9,9,15,39,39,,,,,,,,12.67,66.5,0.33,5.5,4.67,27.5,,,,,,,,
Jerry Jeudy,,0,WR,WR1,5200,DEN,@ BUF,4,19.75,7.6,14.2,9.5,0,0,0,0,0,0,0,0,0,9.67,0.2864,9.67,6.19,84.99,0.32,0,0,0,0,0,0,16.61,16.61,0,5.21,31.81,16.61,16.61,0,100,,31,3.2,27,13,13,33,39,39,,,,,,,,0.13,0.9,,6.44,3.83,54.81,0.21,,,,,,,
Derek Carr,,0,QB,QB1,5800,NO,@ MIN,12,21.25,7.6,15.9,15,1,32.45,249.06,1.57,0.63,0.0567,1.93,5.25,0.04,1.93,0,0,0,0,0,0,0,0,0,0,0,16.38,16.38,0,4.98,31.58,16.38,16.38,0,100,,56,2.8,11,19,19,27,40,40,34.62,22.66,252.38,0.67,1.93,1.53,94.15,1.97,5.74,0.04,0.01,0.01,-0.07,,,,,,,,
Saquon Barkley,,0,RB,RB1,7700,NYG,@ DAL,11,10.75,9.8,18.5,17.2,0,0,0,0,0,0.6751,14.45,62.47,0.35,19.94,0.1804,5.49,4.07,27.08,0.2,0,0,0,0,0,0,16.33,16.33,0,1.63,35.93,16.33,16.33,0,100,,47,2.1,4,10,10,10,41,41,,,,,,,,16.36,71.98,0.45,5.53,4.08,29.24,0.15,,,,,,,
Derrick Henry,,0,RB,RB1,7400,TEN,@ TB,3,18.25,11.9,20.8,16.1,0,0,0,0,0,0.6855,16.48,77.99,0.65,19.26,0.0967,2.78,2.21,20.59,0.04,0,0,0,0,0,0,16.21,16.21,0,0,40.01,16.21,16.21,0,100,,29,2.2,5,11,11,11,42,42,0.08,0.06,0.25,,,0.04,11.73,17.52,83.77,0.74,1.74,1.36,12.95,0.03,,,,,,,
Adam Thielen,,0,WR,WR1,7700,CAR,@ CHI,6,17.75,10.2,10.6,19.8,0,0,0,0,0,0,0,0,0,8.56,0.247,8.56,6.07,67.02,0.55,0,0,0,0,0,0,16.07,16.07,0,0.77,36.47,16.07,16.07,0,100,,29,2.1,8,14,14,10,43,43,,,,,,,,0.18,1.45,0.01,7,4.87,59.5,0.46,,,,,,,
Cowboys,,0,DST,DST1,4400,DAL,vs NYG,32,10.75,6.7,9.8,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42,1.42,0.56,0.14,0.72,10.75,15.98,15.98,0,5.93,29.38,15.98,15.98,0,100,,7,3.6,1,1,1,41,44,44,,,,,,,,,,,,,,,2.38,0.76,0.62,0.18,0.01,21.45,344.8
Tyler Lockett,,0,WR,WR2,6100,SEA,vs WAS,32,24.75,9.8,15.5,12.3,0,0,0,0,0,0,0,0,0,8.22,0.2332,8.22,5.8,71.18,0.5,0,0,0,0,0,0,15.92,15.92,0,1.22,35.52,15.92,15.92,0,100,,26,2.6,18,15,15,24,45,45,,,,,,,,0.29,1.91,0.01,5.95,4.23,56.19,0.42,,,,,,,
Jonathan Taylor,,0,RB,RB1,6600,IND,@ NE,12,21.75,10.7,14.1,13.1,0,0,0,0,0,0.4047,12.73,60.63,0.44,16.99,0.1126,4.26,3.42,27.16,0.16,0,0,0,0,0,0,15.8,15.8,0,0,37.2,15.8,15.8,0,100,,42,2.4,12,12,12,19,46,46,,,,,,,,17.04,85.31,0.71,3.13,2.48,19.44,0.08,,,,,,,
Breece Hall,,0,RB,RB1,6700,NYJ,@ LV,31,18.75,8.4,17.4,14.5,0,0,0,0,0,0.4876,10.94,57.7,0.31,16.26,0.1417,5.32,3.87,33.22,0.15,0,0,0,0,0,0,15.72,15.72,0,3.12,32.52,15.72,15.72,0,100,,47,2.3,11,13,13,18,47,47,,,,,,,,11.6,63.73,0.4,4.13,2.8,27.8,0.13,,,,,,,
Diontae Johnson,,0,WR,WR1,5400,PIT,vs GB,12,20.75,7.4,10.6,14.8,0,0,0,0,0,0,0,0,0,10.85,0.294,10.85,6.68,72.18,0.3,0,0,0,0,0,0,15.7,15.7,0,4.6,30.5,15.7,15.7,0,100,,45,2.9,25,16,16,31,48,48,,,,,,,,0.28,1.97,,8.63,5.34,58.07,0.31,,,,,,,
Terry McLaurin,,0,WR,WR1,5800,WAS,@ SEA,28,19.75,7.6,14.2,12.9,0,0,0,0,0,0,0,0,0,9.11,0.2406,9.11,5.82,78.26,0.34,0,0,0,0,0,0,15.69,15.69,0,4.29,30.89,15.69,15.69,0,100,,46,2.7,21,17,17,27,49,49,,,,,,,,0.14,0.99,,7.6,4.81,67.35,0.32,,,,,,,
Amari Cooper,,0,WR,WR1,6300,CLE,@ BAL,3,16.25,10.8,15.4,14.7,0,0,0,0,0,0,0,0,0,8.22,0.2792,8.22,4.97,78.22,0.47,0,0,0,0,0,0,15.61,15.61,0,0,37.21,15.61,15.61,0,100,,26,2.5,16,18,18,22,50,50,0.01,,,0.01,,,,0.11,0.3,,7.62,4.7,65.8,0.43,,,,,,,
DJ Moore,,0,WR,WR1,5800,CHI,vs CAR,5,20.75,8.9,12.2,17.6,0,0,0,0,0,0,0,0,0,8.7,0.2914,8.7,5.51,76.54,0.4,0,0,0,0,0,0,15.56,15.56,0,2.21,33.36,15.56,15.56,0,100,,36,2.7,21,19,19,27,51,51,0.01,,,,,,0.44,0.44,3.76,,7.61,4.62,66.7,0.29,,,,,,,
Taylor Heinicke,,0,QB,QB1,5100,ATL,@ ARI,29,22.75,7.4,14.1,14.1,1,33.25,241.21,1.26,0.86,0.088,2.8,14.31,0.04,2.8,0,0,0,0,0,0,0,0,0,0,0,15.5,15.5,0,4.4,30.3,15.5,15.5,0,100,,41,3,18,20,20,34,52,52,26.36,16.7,183.36,0.76,1.88,1.06,87.88,3,14.42,0.06,0.03,0.03,-0.06,,,,,,,,
Dalton Schultz,,0,TE,TE1,4900,HOU,@ CIN,7,21,7.3,9.6,11.8,0,0,0,0,0,0,0,0,0,8.69,0.2349,8.69,5.88,60.95,0.55,0,0,0,0,0,0,15.28,15.28,0,4.33,29.88,15.28,15.28,0,100,,21,3.1,6,2,2,36,53,53,,,,,,,,,,,5.24,3.64,36.9,0.31,,,,,,,
Zach Wilson,,0,QB,QB1,4800,NYJ,@ LV,9,18.75,6.3,12.5,11.4,1,37.53,251.33,0.99,0.84,0.1301,2.92,14.84,0.1,2.92,0,0,0,0,0,0,0,0,0,0,0,15.26,15.26,0,5.81,27.86,15.26,15.26,0,100,,49,3.2,21,21,21,37,54,54,29.73,16.83,187.4,0.77,3.27,0.67,72.28,2.73,13.9,0.17,0.07,0.03,0.07,0.03,,,,,,,
Davante Adams,,0,WR,WR1,8000,LV,vs NYJ,25,17.75,11.3,21.1,14.4,0,0,0,0,0,0,0,0,0,8.63,0.2835,8.63,5.47,65.92,0.53,0,0,0,0,0,0,15.24,15.24,0,0,37.84,15.24,15.24,0,100,,41,1.9,7,20,20,9,55,55,0.01,0.01,0.26,,0.01,,1.71,0.02,-0.01,,9.55,6.2,78.11,0.71,,,,,,,
Jordan Love,,0,QB,QB1,5600,GB,@ PIT,26,17.75,8.5,2.9,17.7,1,27.93,195.19,1.36,0.9,0.1438,3.34,18.25,0.17,3.34,0,0,0,0,0,0,0,0,0,0,0,15.19,15.19,0,2.44,32.19,15.19,15.19,0,100,,14,2.7,13,22,22,29,56,56,19.06,11.39,129.22,0.61,1.17,0.83,76.27,2.33,10.94,0.11,,,,,,,,,,,
Brian Robinson,,0,RB,RB1,5400,WAS,@ SEA,21,19.75,6.1,9.6,12.8,0,0,0,0,0,0.6626,19.79,77.61,0.57,21.77,0.0522,1.98,1.52,13.72,0.17,0,0,0,0,0,0,15.09,15.09,0,5.94,27.29,15.09,15.09,0,100,,45,2.8,22,14,14,31,57,57,,,,,,,,15.14,59.24,0.33,1.43,1.1,9.38,0.14,,,,,,,
Kenny Pickett,,0,QB,QB1,4900,PIT,vs GB,5,20.75,4.4,12.4,11,1,36.89,248.23,1.05,0.6,0.1393,3.45,6.77,0.14,3.45,0,0,0,0,0,0,0,0,0,0,0,15.05,15.05,0,8.45,23.85,15.05,15.05,0,100,,63,3.1,20,23,23,36,58,58,29.48,18.38,185.43,0.62,0.81,0.62,31.18,3.86,12.29,0.19,,,,,,,,,,,
David Montgomery,,0,RB,RB1,6900,DET,@ LAC,19,25.25,8.3,11.4,18.4,0,0,0,0,0,0.4998,14.84,59.35,0.54,18.57,0.092,3.73,2.85,23.73,0.08,0,0,0,0,0,0,14.88,14.88,0,2.43,31.48,14.88,14.88,0,100,,42,2.2,9,15,15,16,59,59,0.02,,,0.02,,,,15.52,61.45,0.49,3.14,2.48,20.09,0.06,,,,,,,
Rachaad White,,0,RB,RB1,5800,TB,vs TEN,13,20.25,6.8,9.1,14.5,0,0,0,0,0,0.6086,14.59,50.95,0.3,19.26,0.1261,4.67,4.32,31.67,0.08,0,0,0,0,0,0,14.86,14.86,0,4.66,28.46,14.86,14.86,0,100,,38,2.6,19,16,16,27,60,60,,,,,,,,10.04,35.79,0.17,3.83,3.46,23.71,0.08,,,,,,,
Mac Jones,,0,QB,QB1,4900,NE,vs IND,18,20.75,6.7,13.9,12.6,1,38.93,250.88,1.29,1.07,0.1254,2.56,6.3,0.01,2.56,0,0,0,0,0,0,0,0,0,0,0,14.82,14.82,0,4.77,28.22,14.82,14.82,0,100,,52,3,20,24,24,36,61,61,31.68,20.93,216.48,0.83,1.95,1.15,83.02,2.85,7.55,0.03,,,,,,,,,,,
Sam LaPorta,,0,TE,TE1,5700,DET,@ LAC,17,25.25,5.4,0,13.8,0,0,0,0,0,0,0,0,0,7.89,0.1947,7.89,5.67,56.89,0.57,0,0,0,0,0,0,14.78,14.78,0,6.68,25.58,14.78,14.78,0,100,,61,2.6,3,3,3,28,62,62,,,,,,,,,,,7.38,5.38,54.25,0.5,,,,,,,
Courtland Sutton,,0,WR,WR2,5300,DEN,@ BUF,4,19.75,6.7,10.8,13.1,0,0,0,0,0,0,0,0,0,8.26,0.2448,8.26,5.03,66.13,0.51,0,0,0,0,0,0,14.7,14.7,0,4.65,28.1,14.7,14.7,0,100,,39,2.8,26,21,21,32,63,63,0.03,0.03,0.73,,,,4.9,0.07,0.28,,6.39,3.73,52.76,0.27,,,,,,,
