,,,,,Game and Vegas,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,Proj. Fantasy Pts,,,Projected Values,,,,Position Rankings,,,,Overall Rankings,,,Actual Data,,Position Rankings,,,Overall Rankings,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
JaMarr Chase,,0,WR,6700,CIN,@ DET,29,24.75,12.2,0,20.9,0,0,0,0,0,0,0,0,0,10.86,0.283,10.86,6.99,109.6,0.76,0,0,0,0,0,0,22.51,22.51,0,4.21,46.91,22.51,22.51,25,0,100,,65,36,3.4,13.70,2,12,5,5,18,14,14,,,,,,,,0.61,2.48,,8.17,5.26,87.22,0.65,,,,,,,
Austin Ekeler,,0,RB,7900,LAC,@ BAL,7,24.00,9.5,16.5,24.7,0,0,0,0,0,0.549,16.71,75.72,0.55,22.76,0.155,6.05,4.85,43.33,0.4,0,0,0,0,0,0,22.46,22.46,0,8.21,41.46,22.46,22.46,28,0,100,,94,40,2.8,9.50,1.2,3,3,3,8,15,15,,,,,,,,8.81,39.92,0.29,5.15,4.13,39.22,0.33,,,,,,,
Joe Burrow,,0,QB,6300,CIN,@ DET,29,24.75,8.1,19.8,19.2,1,38.37,315.3,2.09,0.83,0.1068,2.78,10.34,0.15,2.78,0,0,0,0,0,0,0,0,0,0,0,22.08,22.08,0,9.93,38.28,22.08,22.08,11,0,100,,23,61,3.5,23.84,3.8,12,9,9,22,16,16,36.09,24.5,279.41,0.78,3.59,1.72,98.28,3.06,11.38,0.16,,,,,,,,,,,
Ben Roethlisberger,,0,QB,5400,PIT,vs SEA,14,24.00,8.7,20.6,14.7,1,45.55,328.01,2.39,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.62,21.62,0,8.57,39.02,21.62,21.62,23,0,100,,76,56,4,11.86,2.2,20,10,10,31,17,17,39.01,25.53,280.77,0.91,1.5,1.86,94.3,1.52,2.41,0.05,,,,,,,,,,,
Kareem Hunt,!,0,RB,6200,CLE,vs ARI,15,25.75,9.5,13.9,18.7,0,0,0,0,0,0.6494,22.75,104.5,0.92,25.6,0.0981,2.85,2.29,19.72,0.19,0,0,0,0,0,0,21.37,21.37,0,7.12,40.37,21.37,21.37,23,0,100,,85,42,3.4,10.80,1.7,14,4,4,23,18,18,,,,,,,,12.84,58.98,0.52,3.63,2.92,25.88,0.27,,,,,,,
Keenan Allen,,0,WR,6400,LAC,@ BAL,17,24.00,9.4,18.5,16.6,0,0,0,0,0,0,0,0,0,12.54,0.321,12.54,8.62,94.77,0.54,0,0,0,0,0,0,21.34,21.34,0,7.24,40.14,21.34,21.34,39,0,100,,90,47,3.3,10.00,1.6,15,6,6,21,19,19,0.02,,,,0.01,,0.88,0.17,1.1,,9.62,6.61,77.3,0.41,,,,,,,
Mike Williams,,0,WR,8100,LAC,@ BAL,17,24.00,9.2,11.4,24.4,0,0,0,0,0,0,0,0,0,11.64,0.298,11.64,6.74,100.15,0.74,0,0,0,0,0,0,21.2,21.2,0,7.4,39.6,21.2,21.2,66,0,100,,134,19,2.6,4.70,0.6,3,7,7,6,20,20,,,,,,,,0.11,0.38,0.01,5.75,3.33,52.6,0.36,,,,,,,
Jaylen Waddle,,0,WR,4900,MIA,@ JAC,10,25.00,9.7,0,11.1,0,0,0,0,0,0,0,0,0,11.54,0.2813,11.54,8.32,88.29,0.63,0,0,0,0,0,0,20.93,20.93,0,6.38,40.33,20.93,20.93,5,0,100,,10,44,4.3,29.00,5.9,29,8,8,36,21,21,,,,,,,,0.17,0.61,0.06,9.17,6.61,69.72,0.5,,,,,,,
DJ Moore,,0,WR,7300,CAR,vs MIN,21,21.75,7.5,14.9,20.9,0,0,0,0,0,0,0,0,0,12.31,0.3841,12.31,7.42,104.56,0.35,0,0,0,0,0,0,19.98,19.98,0,8.73,34.98,19.98,19.98,32,0,100,,75,46,2.7,11.90,1.6,8,9,9,12,22,22,0.02,,,,,,0.61,0.46,4.45,,7.83,4.72,67.68,0.23,,,,,,,
Terry McLaurin,,0,WR,7100,WAS,vs KC,11,24.00,8.3,15.5,18.6,0,0,0,0,0,0,0,0,0,11.44,0.3392,11.44,7.13,97.79,0.49,0,0,0,0,0,0,19.85,19.85,0,7.4,36.45,19.85,19.85,54,0,100,,119,42,2.8,6.80,1,10,10,10,14,23,23,,,,,,,,0.08,1,,7.67,4.78,67.31,0.35,,,,,,,
Diontae Johnson,,0,WR,6700,PIT,vs SEA,20,24.00,8,15.9,19.1,0,0,0,0,0,0,0,0,0,12.79,0.2808,12.79,7.98,86.01,0.53,0,0,0,0,0,0,19.76,19.76,0,7.76,35.76,19.76,19.76,16,0,100,,41,45,2.9,18.60,2.8,12,11,11,18,24,24,,,,,,,,0.25,2.21,,8.75,5.46,58.87,0.4,,,,,,,
Derrick Henry,,0,RB,9000,TEN,vs BUF,9,23.75,12.3,22,29.3,0,0,0,0,0,0.891,21.31,102.58,0.92,23.65,0.0834,2.34,1.79,14.98,0.06,0,0,0,0,0,0,19.43,19.43,0,0.98,44.03,19.43,19.43,1,0,100,,2,22,2.2,38.60,4.3,1,5,5,1,25,25,0.05,0.04,0.23,,,0.02,8.4,16.84,81.06,0.73,1.49,1.14,9.83,0.03,,,,,,,
Jonathan Taylor,,0,RB,6600,IND,vs HOU,29,28.00,11.2,17.5,18.1,0,0,0,0,0,0.625,17.69,92.45,0.87,20.76,0.0807,3.07,2.46,19.4,0.08,0,0,0,0,0,0,19.35,19.35,0,2.55,41.75,19.35,19.35,2,0,100,,6,45,2.9,31.80,4.8,10,6,6,19,26,26,,,,,,,,17.44,91.14,0.86,2.94,2.36,19.61,0.08,,,,,,,
Brandin Cooks,,0,WR,5800,HOU,@ IND,31,17.00,9.2,16.1,16.5,0,0,0,0,0,0,0,0,0,10.58,0.4,10.58,6.82,92.83,0.53,0,0,0,0,0,0,19.28,19.28,0,5.48,37.68,19.28,19.28,18,0,100,,43,39,3.3,17.90,3.1,20,12,12,27,27,27,,,,,,,,0.37,2.04,0.01,7.55,4.87,69.13,0.37,,,,,,,
Myles Gaskin,,0,RB,5900,MIA,@ JAC,31,25.00,8.2,16.6,12.8,0,0,0,0,0,0.4305,10.41,39.43,0.21,18.92,0.2074,8.51,6.76,47.2,0.43,0,0,0,0,0,0,19.26,19.26,0,6.96,35.66,19.26,19.26,42,0,100,,144,25,3.3,3.40,0.6,16,7,7,26,28,28,,,,,,,,10.32,39.09,0.21,3.59,2.85,19.79,0.18,,,,,,,
Kyler Murray,,0,QB,7900,ARI,@ CLE,11,22.75,8.8,25.4,26.3,1,30.22,212.51,1.27,0.67,0.221,6.31,35.79,0.41,6.31,0,0,0,0,0,0,0,0,0,0,0,18.95,18.95,0,5.75,36.55,18.95,18.95,7,0,100,,15,61,2.4,25.76,3.3,3,11,11,8,29,29,34.5,22.94,244.94,0.76,2.22,1.52,94.3,6.52,36.98,0.42,,,,,,,,,,,
Carson Wentz,,0,QB,5400,IND,vs HOU,31,28.00,7.1,18.4,18,1,37.99,272.95,1.75,0.73,0.1058,3,12.18,0.08,3,0,0,0,0,0,0,0,0,0,0,0,18.89,18.89,0,8.24,33.09,18.89,18.89,16,0,100,,48,62,3.5,17.02,3.2,20,12,12,31,30,30,35.22,22.07,238.94,0.68,2.48,1.67,90.29,3.67,14.9,0.1,,,,,,,,,,,
Tyler Boyd,,0,WR,5400,CIN,@ DET,29,24.75,8.1,13.2,12.9,0,0,0,0,0,0,0,0,0,11.27,0.2937,11.27,7.66,83.76,0.44,0,0,0,0,0,0,18.68,18.68,0,6.53,34.88,18.68,18.68,84,0,100,,159,31,3.5,1.70,0.3,24,13,13,31,31,31,0.04,0.02,0.67,,,,3,0.19,1.7,,6.47,4.4,50.87,0.28,,,,,,,
Mike Evans,,0,WR,6900,TB,@ PHI,8,30.00,10.1,15.9,19.7,0,0,0,0,0,0,0,0,0,10.13,0.2307,10.13,5.86,86.39,0.68,0,0,0,0,0,0,18.58,18.58,0,3.43,38.78,18.58,18.58,66,0,100,,134,41,2.7,4.70,0.7,11,14,14,16,32,32,,,,,,,,0.01,0.09,,8.58,4.96,76.23,0.59,,,,,,,
Baker Mayfield,!,0,QB,5900,CLE,vs ARI,7,25.75,6.6,16.8,17.5,1,29.02,218.5,1.54,0.82,0.2258,7.91,27.93,0.26,7.91,0,0,0,0,0,0,0,0,0,0,0,18.43,18.43,0,8.53,31.63,18.43,18.43,18,0,100,,58,60,3.1,15.16,2.6,15,13,13,26,33,33,32.05,19.67,233.94,0.91,2.2,1.53,88.92,2.77,9.78,0.09,,,,,,,,,,,
D'Andre Swift,,0,RB,6300,DET,vs CIN,25,21.75,7.8,15,18.2,0,0,0,0,0,0.44,8.48,39.81,0.42,15.95,0.2106,7.47,5.91,45.32,0.24,0,0,0,0,0,0,18.38,18.38,0,6.68,33.98,18.38,18.38,16,0,100,,45,52,2.9,17.70,2.8,13,8,8,22,34,34,0.04,,,,,,1.41,10.18,47.79,0.5,5.11,4.04,31.11,0.18,,,,,,,
Tua Tagovailoa,,0,QB,4000,MIA,@ JAC,25,25.00,9.3,14.7,8.9,1,41.02,278.88,1.84,0.92,0.0436,1.05,3.09,0.08,1.05,0,0,0,0,0,0,0,0,0,0,0,18.38,18.38,0,4.43,36.98,18.38,18.38,8,0,100,,16,42,4.6,25.36,6.3,32,14,14,45,34,34,30.44,20.32,208.24,0.68,1.76,1.36,89.78,3.24,9.52,0.24,,,,,,,,,,,
Justin Fields,,0,QB,5100,CHI,vs GB,18,19.50,7.3,0,6.4,1,31.6,220.87,1.03,1.28,0.3977,9.37,48.19,0.3,9.37,0,0,0,0,0,0,0,0,0,0,0,18.29,18.29,0,7.34,32.89,18.29,18.29,19,0,100,,61,40,3.6,14.26,2.8,23,15,15,34,35,35,21.29,12.43,147.21,0.86,2.93,0.64,70.3,6.5,33.43,0.21,,,,,,,,,,,
Geno Smith,,0,QB,5100,SEA,@ PIT,9,19.00,7.7,1.1,10.5,1,28.42,216.54,1.59,0.45,0.378,7.59,24.47,0.21,7.59,0,0,0,0,0,0,0,0,0,0,0,18.28,18.28,0,6.73,33.68,18.28,18.28,24,0,100,,81,0,3.6,11.26,2.2,23,16,16,34,36,36,15.88,10.81,108.63,0.25,1.75,0.69,75.28,2.19,7.06,0.06,,,,,,,,,,,
Trevor Lawrence,,0,QB,5700,JAC,vs MIA,23,22.00,5.7,0,17.2,1,40.03,270.36,1.43,1.07,0.189,4.18,18.68,0.11,4.18,0,0,0,0,0,0,0,0,0,0,0,17.99,17.99,0,9.44,29.39,17.99,17.99,13,0,100,,33,58,3.2,19.86,3.5,17,17,17,28,37,37,35.47,21.47,218.47,0.95,1.79,0.79,75.67,4.11,18.37,0.11,,,,,,,,,,,
Chris Godwin,,0,WR,6200,TB,@ PHI,8,30.00,10,16,17.2,0,0,0,0,0,0,0,0,0,9.15,0.2083,9.15,6.42,84.04,0.52,0,0,0,0,0,0,17.94,17.94,0,2.94,37.94,17.94,17.94,44,0,100,,96,31,2.9,9.30,1.5,16,15,15,23,38,38,,,,,,,,0.08,0.47,0.01,6.83,4.79,65.35,0.4,,,,,,,
Aaron Jones,,0,RB,7300,GB,@ CHI,3,24.50,11.3,18.3,18.6,0,0,0,0,0,0.6447,13.67,69.74,0.69,17.94,0.1394,4.27,3.15,24.62,0.19,0,0,0,0,0,0,17.87,17.87,0,0.92,40.47,17.87,17.87,9,0,100,,30,33,2.4,21.00,2.9,6,9,9,12,39,39,,,,,,,,12.26,62.55,0.62,3.82,2.82,22.89,0.19,,,,,,,
Marquise Brown,,0,WR,5900,BAL,vs LAC,12,27.00,7.9,12.3,21.9,0,0,0,0,0,0,0,0,0,10.26,0.3671,10.26,6.37,76.43,0.64,0,0,0,0,0,0,17.85,17.85,0,6,33.65,17.85,17.85,51,0,100,,113,39,3,7.50,1.3,19,16,16,26,40,40,,,,,,,,0.08,0.49,,7.04,4.37,54.78,0.43,,,,,,,
CeeDee Lamb,,0,WR,6500,DAL,@ NE,5,26.75,8.3,14,15.1,0,0,0,0,0,0,0,0,0,10.33,0.2388,10.33,6.56,85.57,0.44,0,0,0,0,0,0,17.76,17.76,0,5.31,34.36,17.76,17.76,1,0,100,,1,40,2.7,39.10,6,14,17,17,20,41,41,,,,,0.03,,,0.58,4.69,0.03,7.31,4.64,61.19,0.31,,,,,,,
Daniel Jones,,0,QB,5500,NYG,vs LAR,3,21.00,8.9,14,20.8,1,31.2,211.07,1.25,0.71,0.3045,6.82,37.95,0.19,6.82,0,0,0,0,0,0,0,0,0,0,0,17.67,17.67,0,4.32,35.47,17.67,17.67,28,0,100,,109,46,3.2,8.08,1.5,19,18,18,30,42,42,33.08,20.88,219.05,0.75,2.83,1.2,85.13,4.7,26.15,0.13,,,,,,,,,,,
Teddy Bridgewater,,0,QB,5700,DEN,vs LV,15,24.75,8.4,17.6,16.6,1,36.12,270.73,1.4,0.7,0.09,2.69,9.53,0.16,2.69,0,0,0,0,0,0,0,0,0,0,0,17.64,17.64,0,5.04,34.44,17.64,17.64,9,0,100,,18,38,3.1,25.26,4.4,17,19,19,28,43,43,26.83,18.02,194.4,0.52,2.05,0.95,83.02,2.87,10.17,0.17,,,,,,,,,,,
Mike Gesicki,,0,TE,4300,MIA,@ JAC,32,25.00,7.1,10.8,10.1,0,0,0,0,0,0,0,0,0,10.91,0.266,10.91,6.89,78.03,0.47,0,0,0,0,0,0,17.51,17.51,0,6.86,31.71,17.51,17.51,2,0,100,,27,14,4.1,22.50,5.2,10,1,1,42,44,44,0.02,,,,,,0.63,,,,5.13,3.24,36.46,0.22,,,,,,,
DeVonta Smith,,0,WR,6000,PHI,vs TB,26,23.00,7.4,0,13.3,0,0,0,0,0,0,0,0,0,10.28,0.2614,10.28,6.12,87.26,0.42,0,0,0,0,0,0,17.37,17.37,0,6.27,32.17,17.37,17.37,64,0,100,,132,33,2.9,5.10,0.9,18,18,18,25,45,45,,,,,,,,,,,6.3,3.75,52.8,0.25,,,,,,,
Aaron Rodgers,,0,QB,7200,GB,@ CHI,16,24.50,8.8,25.5,19.4,1,30.63,234.84,2.06,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.31,17.31,0,4.11,34.91,17.31,17.31,12,0,100,,24,60,2.4,23.70,3.3,7,20,20,13,46,46,35.56,23.08,261.94,0.37,2.37,2.15,103.35,2.92,14.29,0.13,,,,,,,,,,,
Travis Kelce,,0,TE,7000,KC,@ WAS,7,30.00,9.3,23.5,19.4,0,0,0,0,0,0,0,0,0,8.83,0.2286,8.83,6.29,76.27,0.56,0,0,0,0,0,0,17.28,17.28,0,3.33,35.88,17.28,17.28,3,0,100,,43,47,2.5,17.90,2.6,1,2,2,15,47,47,0.03,0.02,0.05,0.01,,0.01,1.9,0.06,0.09,0.02,8.25,5.88,74.68,0.51,,,,,,,
Jared Goff,,0,QB,5100,DET,vs CIN,10,21.75,8.5,17.6,17.9,1,35.48,259.34,1.64,0.74,0.1,1.93,4.28,0.1,1.93,0,0,0,0,0,0,0,0,0,0,0,17.22,17.22,0,4.47,34.22,17.22,17.22,26,0,100,,97,51,3.4,9.18,1.8,23,21,21,34,48,48,34.99,22.23,254.85,0.73,2,1.49,92.07,2.18,4.84,0.11,,,,,,,,,,,
Courtland Sutton,,0,WR,6200,DEN,vs LV,14,24.75,7.1,9.6,14.9,0,0,0,0,0,0,0,0,0,10.76,0.298,10.76,6.08,89.53,0.36,0,0,0,0,0,0,17.19,17.19,0,6.54,31.39,17.19,17.19,9,0,100,,25,34,2.8,23.40,3.8,16,19,19,23,49,49,0.04,0.04,1.02,,,,6.84,0.09,0.4,,6.34,3.58,54.51,0.23,,,,,,,
Justin Jefferson,,0,WR,8000,MIN,@ CAR,15,23.75,10.6,18.5,20.7,0,0,0,0,0,0,0,0,0,8.57,0.2527,8.57,5.64,84.42,0.51,0,0,0,0,0,0,17.14,17.14,0,1.24,38.34,17.14,17.14,22,0,100,,59,46,2.1,15.00,1.9,4,20,20,7,50,50,0.11,0.06,0.97,,,,8.63,0.22,0.64,,9.11,6,91.5,0.53,,,,,,,
Leonard Fournette,,0,RB,5900,TB,@ PHI,16,30.00,8.9,13.2,13.4,0,0,0,0,0,0.6037,16.81,67.69,0.59,21.68,0.1108,4.87,3.81,25.66,0.07,0,0,0,0,0,0,17.11,17.11,0,3.76,34.91,17.11,17.11,3,0,100,,8,48,2.9,30.70,5.2,16,10,10,26,51,51,0.01,,,,,,0.56,15.76,63.46,0.55,4.92,3.85,27,0.07,,,,,,,
Kirk Cousins,,0,QB,6200,MIN,@ CAR,8,23.75,8,21.2,20.8,1,33.9,266.31,1.76,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.04,17.04,0,5.04,33.04,17.04,17.04,3,0,100,,7,59,2.7,31.52,5.1,13,22,22,23,52,52,34.17,23.08,263.14,0.66,2.08,1.81,101.54,2.13,6.82,0.15,,,,,,,,,,,
Taylor Heinicke,,0,QB,5800,WAS,vs KC,26,24.00,8.4,0,19.6,1,33.72,235.29,1.36,1.1,0.199,5.21,27.32,0.09,5.21,0,0,0,0,0,0,0,0,0,0,0,17.02,17.02,0,4.42,33.82,17.02,17.02,25,0,100,,88,29,2.9,10.28,1.8,16,23,23,27,53,53,25.09,16.23,170.41,0.82,1.86,0.95,87.05,3,15.73,0.05,,,,,,,,,,,
Robert Woods,,0,WR,6100,LAR,@ NYG,24,28.00,8.3,15.5,15.2,0,0,0,0,0,0,0,0,0,10.31,0.237,10.31,6.74,79.53,0.36,0,0,0,0,0,0,16.85,16.85,0,4.4,33.45,16.85,16.85,36,0,100,,82,40,2.8,11.10,1.8,17,21,21,24,54,54,,,,,,,,0.75,4.84,0.05,7.54,4.93,60.71,0.27,,,,,,,
Mark Andrews,,0,TE,5200,BAL,vs LAC,2,27.00,9.1,11.6,18.2,0,0,0,0,0,0,0,0,0,8.68,0.3107,8.68,5.83,71.41,0.64,0,0,0,0,0,0,16.81,16.81,0,3.16,35.01,16.81,16.81,4,0,100,,44,31,3.2,17.80,3.4,3,3,3,33,55,55,,,,,,,,0.03,0.04,,6.51,4.37,55.94,0.47,,,,,,,
Joe Mixon,,0,RB,6400,CIN,@ DET,24,24.75,8.9,17.3,14.1,0,0,0,0,0,0.7886,20.51,83.69,0.57,23.56,0.0794,3.05,2.51,18.09,0.09,0,0,0,0,0,0,16.65,16.65,0,3.3,34.45,16.65,16.65,4,0,100,,12,44,2.6,26.30,4.1,12,11,11,21,56,56,0.01,0.01,0.08,,,0.01,1.82,16.9,68.96,0.47,3.36,2.76,21.08,0.11,,,,,,,
Dalton Schultz,,0,TE,4900,DAL,@ NE,13,26.75,6.6,9.2,14.4,0,0,0,0,0,0,0,0,0,9.44,0.2183,9.44,6.87,68.93,0.48,0,0,0,0,0,0,16.64,16.64,0,6.74,29.84,16.64,16.64,8,0,100,,70,27,3.4,12.90,2.6,6,4,4,36,57,57,,,,,,,,,,,5.11,3.72,37.7,0.26,,,,,,,
Derek Carr,,0,QB,5600,LV,@ DEN,6,19.75,7.7,19.2,20.8,1,30.24,239.96,1.36,0.59,0.1979,4.57,13.76,0.12,4.57,0,0,0,0,0,0,0,0,0,0,0,16.54,16.54,0,4.99,31.94,16.54,16.54,10,0,100,,20,56,3,24.54,4.4,18,24,24,29,58,58,34.96,23.01,256.89,0.68,1.96,1.55,95.03,1.98,5.96,0.05,,,,,,,,,,,
Sam Darnold,,0,QB,6100,CAR,vs MIN,12,21.75,8,12.3,23.4,1,32.05,213.29,1.09,1.03,0.2469,5.97,23.55,0.37,5.97,0,0,0,0,0,0,0,0,0,0,0,16.44,16.44,0,4.44,32.44,16.44,16.44,15,0,100,,47,46,2.7,17.08,2.8,14,25,25,24,59,59,32.5,19.44,212.48,1.04,2.66,1.08,77.53,3.24,12.78,0.2,,,,,,,,,,,
Mac Jones,,0,QB,5200,NE,vs DAL,28,23.75,6,0,13.5,1,32.02,240.85,1.49,0.9,0.1233,3.26,8.41,0.12,3.26,0,0,0,0,0,0,0,0,0,0,0,16.26,16.26,0,7.26,28.26,16.26,16.26,17,0,100,,50,58,3.1,16.76,3.2,22,26,26,33,60,60,30.48,20.48,219.57,0.86,1.71,1.29,92.01,2.86,7.38,,,,,,,,,,,,
Antonio Gibson,!,0,RB,6500,WAS,vs KC,13,24.00,7.9,14.4,15.2,0,0,0,0,0,0.608,15.91,65.99,0.65,19.71,0.1127,3.8,3.05,21.03,0.09,0,0,0,0,0,0,16.19,16.19,0,4.34,31.99,16.19,16.19,37,0,100,,130,47,2.5,5.40,0.8,11,12,12,20,61,61,,,,,,,,14.24,59.06,0.58,3.36,2.7,19.09,0.09,,,,,,,
