,,,,,Game and Vegas,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,Proj. Fantasy Pts,,,Projected Values,,,,,,,,,Actual Data,,Position Rankings,,,,Overall Rankings,,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
Ryan Tannehill,,0,QB,6400,TEN,vs JAC,10,26.25,7.4,21.9,17.4,1,31.73,238.31,1.56,0.8,0.3211,8.54,37.85,0.67,8.54,0,0,0,0,0,0,0,0,0,0,0,22.78,22.78,0,11.68,37.58,22.78,22.78,0,100,,58,3.6,16.54,2.6,17,12,5,5,53,22,10,10,29.06,19.06,221.86,0.73,2.37,1.57,97.29,2.94,13.03,0.23,,,,,,,,,,,
Josh Allen,!,0,QB,7800,BUF,@ TB,12,24.75,10,26.9,24.7,1,34.21,257.34,1.87,0.71,0.1893,4.32,24.74,0.29,4.32,0,0,0,0,0,0,0,0,0,0,0,21.28,21.28,0,6.28,41.28,21.28,21.28,0,100,,59,2.7,42.22,5.4,1,2,6,6,1,8,11,11,33.73,21.23,240.27,0.7,1.96,1.79,91.97,7.08,40.55,0.48,,,,,,,,,,,
Russell Wilson,,0,QB,6600,SEA,@ HOU,11,25.00,8.6,24.2,17.3,1,31.26,258.38,2.12,0.56,0.185,4.43,23.5,0.1,4.43,0,0,0,0,0,0,0,0,0,0,0,21.21,21.21,0,8.31,38.41,21.21,21.21,0,100,,58,3.2,21.20,3.2,11,10,7,7,30,20,12,12,31.19,20.29,242.22,0.56,2.81,1.9,102.45,4.73,25.09,0.11,,,,,,,,,,,
Kyler Murray,,0,QB,7700,ARI,vs LAR,28,27.00,8.7,25.4,24.6,1,33.62,244.19,1.45,0.72,0.2437,6.21,34.38,0.4,6.21,0,0,0,0,0,0,0,0,0,0,0,20.69,20.69,0,7.64,38.09,20.69,20.69,0,100,,61,2.7,22.42,2.9,9,3,8,8,24,9,13,13,34.9,23.21,245.54,0.75,2.19,1.5,94.03,6.54,36.21,0.42,,,,,,,,,,,
Justin Jefferson,,0,WR,8300,MIN,vs PIT,21,23.75,10.9,18.5,21.5,0,0,0,0,0,0,0,0,0,10.27,0.3006,10.27,6.78,102.59,0.6,0,0,0,0,0,0,20.64,20.64,0,4.29,42.44,20.64,20.64,0,100,,45,2.5,20.50,2.5,10,4,4,4,35,4,14,14,0.11,0.05,0.92,,,,8.17,0.24,0.68,0.03,9.13,6.03,90.92,0.5,,,,,,,
Tom Brady,,0,QB,7600,TB,vs BUF,1,27.75,8.5,23.2,25.3,1,38.69,301.74,2.08,0.57,0.0783,1.61,2.14,0.1,1.61,0,0,0,0,0,0,0,0,0,0,0,20.63,20.63,0,7.88,37.63,20.63,20.63,0,100,,60,2.7,33.12,4.4,2,4,9,9,6,10,15,15,38.63,25.09,289.58,0.57,1.64,2.06,99.52,1.85,2.46,0.12,,,,,,,,,,,
Hunter Renfrow,,0,WR,6100,LV,@ KC,6,19.50,7.1,8.3,15,0,0,0,0,0,0,0,0,0,11.36,0.3489,11.36,8.47,86.26,0.55,0,0,0,0,0,0,20.4,20.4,0,9.75,34.6,20.4,20.4,0,100,,39,3.3,32.70,5.4,3,19,5,5,7,25,16,16,,,,,,,,0.06,0.06,,6.2,4.62,49.6,0.32,,,,,,,
Davante Adams,,0,WR,8600,GB,vs CHI,11,27.00,10.6,26.5,21.2,0,0,0,0,0,0,0,0,0,10.67,0.3084,10.67,7.12,83.4,0.81,0,0,0,0,0,0,20.32,20.32,0,4.42,41.52,20.32,20.32,0,100,,45,2.4,37.10,4.3,1,2,6,6,3,2,17,17,0.01,0.01,0.3,,0.01,,1.97,0.02,,,9.5,6.34,76.98,0.71,,,,,,,
Aaron Rodgers,!,0,QB,7200,GB,vs CHI,3,27.00,8.7,25.5,21.7,1,34.6,264.51,2.06,0.37,0.0836,2.36,11.47,0.11,2.36,0,0,0,0,0,0,0,0,0,0,0,20.26,20.26,0,7.21,37.66,20.26,20.26,0,100,,60,2.8,32.64,4.5,3,7,10,10,8,14,18,18,35.55,23.09,261.79,0.38,2.34,2.15,103.23,2.89,14.04,0.13,,,,,,,,,,,
Ezekiel Elliott,,0,RB,7300,DAL,@ WAS,4,27.00,9,15.6,16.9,0,0,0,0,0,0.6852,18.42,82.06,0.6,24.04,0.1239,5.62,4.21,31.83,0.16,0,0,0,0,0,0,20.16,20.16,0,6.66,38.16,20.16,20.16,0,100,,52,2.8,9.00,1.2,31,8,3,3,105,13,19,19,0.02,0.01,0.04,0.01,,,-3.38,18.3,81.53,0.6,4.15,3.11,23.97,0.12,,,,,,,
Taysom Hill,,0,QB,5600,NO,@ NYJ,32,23.00,7.4,9.8,8.3,1,33.15,255.89,1.6,1.02,0.1601,4.34,24.46,0.32,4.34,0,0,0,0,0,0,0,0,0,0,0,19.98,19.98,0,8.88,34.78,19.98,19.98,0,100,,3,3.6,26.30,4.7,5,17,11,11,14,30,20,20,4.22,2.7,32.42,0.13,0.41,0.13,35.38,3.81,21.47,0.28,0.86,0.63,6.59,0.14,,,,,,,
Jermar Jefferson,,0,RB,4000,DET,@ DEN,14,15.00,5.2,0,8.3,0,0,0,0,0,0.6729,14.31,70.6,1.91,15.31,0.033,1,0.8,4.59,0.03,0,0,0,0,0,0,19.96,19.96,0,12.16,30.36,19.96,19.96,0,100,,19,5,0.00,,58,35,4,4,175,46,21,21,,,,,,,,3.75,18.5,0.5,1.25,1,5.75,,,,,,,,
CeeDee Lamb,,0,WR,7200,DAL,@ WAS,28,27.00,8.3,14,17.4,0,0,0,0,0,0,0,0,0,11.36,0.2503,11.36,7.26,93.93,0.51,0,0,0,0,0,0,19.71,19.71,0,7.26,36.31,19.71,19.71,0,100,,42,2.7,14.60,2,29,8,7,7,68,14,22,22,,,,,0.03,,,0.55,4.45,0.03,7.45,4.76,62.82,0.34,,,,,,,
DJ Moore,!,0,WR,6200,CAR,vs ATL,12,21.75,7.5,14.9,15.6,0,0,0,0,0,0,0,0,0,11.76,0.3385,11.76,7.03,102.27,0.38,0,0,0,0,0,0,19.54,19.54,0,8.29,34.54,19.54,19.54,0,100,,45,3.2,14.40,2.3,30,18,8,8,69,24,23,23,0.01,,,,,,0.59,0.49,4.67,,7.85,4.69,66.43,0.22,,,,,,,
Cam Newton,,0,QB,5400,CAR,vs ATL,18,21.75,9.6,18.5,15.4,1,34.73,240.71,1.38,0.93,0.2418,6.03,27.87,0.39,6.03,0,0,0,0,0,0,0,0,0,0,0,19.35,19.35,0,4.95,38.55,19.35,19.35,0,100,,53,3.6,15.82,2.9,20,19,12,12,60,32,24,24,30.02,18.15,213.65,0.8,2.11,1.33,84.49,7.73,35.73,0.5,,,,,,,,,,,
Travis Kelce,,0,TE,7400,KC,vs LV,30,28.50,9.2,23.5,16.6,0,0,0,0,0,0,0,0,0,9.81,0.257,9.81,7,85.64,0.63,0,0,0,0,0,0,19.34,19.34,0,5.54,37.74,19.34,19.34,0,100,,47,2.6,5.70,0.8,20,1,1,1,126,12,25,25,0.03,0.02,0.05,0.01,,0.01,1.87,0.06,0.09,0.02,8.26,5.89,74.68,0.52,,,,,,,
Antonio Gibson,,0,RB,6000,WAS,vs DAL,29,21.00,7.7,14.4,14.7,0,0,0,0,0,0.6969,17.44,71.75,0.7,22.6,0.1599,5.16,4.17,28.19,0.14,0,0,0,0,0,0,19.2,19.2,0,7.65,34.6,19.2,19.2,0,100,,47,3.2,5.10,0.9,40,16,5,5,132,26,26,26,,,,,,,,14.14,58.17,0.57,3.29,2.66,18.46,0.09,,,,,,,
Brandin Cooks,,0,WR,5700,HOU,vs SEA,1,16.00,9.2,16.1,13.8,0,0,0,0,0,0,0,0,0,10.74,0.3747,10.74,6.92,89.82,0.53,0,0,0,0,0,0,19.08,19.08,0,5.28,37.48,19.08,19.08,0,100,,38,3.3,21.10,3.7,8,23,9,9,31,29,27,27,,,,,,,,0.37,2.01,0.01,7.54,4.86,68.62,0.38,,,,,,,
Jimmy Garoppolo,,0,QB,5800,SF,@ CIN,26,25.50,8.4,11.6,17.1,1,31.43,274.92,1.53,0.88,0.2304,7.81,10.24,0.3,7.81,0,0,0,0,0,0,0,0,0,0,0,19.06,19.06,0,6.46,35.86,19.06,19.06,0,100,,38,3.3,20.14,3.5,15,15,13,13,40,28,28,28,24.63,16.43,203.66,0.69,1.74,1.18,88.01,2.31,3.03,0.09,,,,,,,,,,,
Tyler Lockett,,0,WR,6700,SEA,@ HOU,19,25.00,9.9,16.3,15.1,0,0,0,0,0,0,0,0,0,9.48,0.3033,9.48,6.79,87.71,0.58,0,0,0,0,0,0,19.04,19.04,0,4.19,38.84,19.04,19.04,0,100,,24,2.8,30.20,4.5,4,13,10,10,10,19,29,29,,,,,,,,0.33,2.21,0.01,5.81,4.16,57,0.39,,,,,,,
Matthew Stafford,,0,QB,7500,LAR,@ ARI,14,24.00,7.4,17.5,23.4,1,32.15,256.02,1.78,0.68,0.2005,5.13,17.39,0.1,5.13,0,0,0,0,0,0,0,0,0,0,0,19.02,19.02,0,7.92,33.82,19.02,19.02,0,100,,61,2.5,23.48,3.1,8,5,14,14,23,11,30,30,35.51,23.47,269.2,0.75,2.46,1.8,98.41,2.13,7.22,0.04,,,,,,,,,,,
Jeff Wilson,,0,RB,4400,SF,@ CIN,5,25.50,8.7,13.7,3.8,0,0,0,0,0,0.5688,19.29,82.77,0.76,23.12,0.1219,3.83,2.56,21.2,0.24,0,0,0,0,0,0,18.96,18.96,0,5.91,36.36,18.96,18.96,0,100,,9,4.3,5.60,1.3,37,32,6,6,127,42,31,31,,,,,,,,9.86,42.31,0.39,1.78,1.19,10.39,0.11,,,,,,,
DK Metcalf,,0,WR,6500,SEA,@ HOU,19,25.00,8.8,18.5,14.5,0,0,0,0,0,0,0,0,0,9.86,0.3155,9.86,6.01,83.88,0.71,0,0,0,0,0,0,18.66,18.66,0,5.46,36.26,18.66,18.66,0,100,,42,2.9,8.30,1.3,49,15,11,11,110,21,32,32,,,,,,,,0.05,0.3,,7.46,4.55,67.3,0.59,,,,,,,
Joe Burrow,,0,QB,6000,CIN,vs SF,2,23.50,7.9,19.8,19.3,1,32.71,266.44,1.71,0.67,0.085,2.6,8.9,0.12,2.6,0,0,0,0,0,0,0,0,0,0,0,18.44,18.44,0,6.59,34.24,18.44,18.44,0,100,,62,3.1,25.22,4.2,6,13,15,15,19,26,33,33,35.94,24.32,279.5,0.74,3.47,1.76,99.29,3.18,10.88,0.15,,,,,,,,,,,
Stefon Diggs,,0,WR,8100,BUF,@ TB,4,24.75,9.9,22,17.4,0,0,0,0,0,0,0,0,0,10.01,0.2925,10.01,6.86,81.76,0.55,0,0,0,0,0,0,18.34,18.34,0,3.49,38.14,18.34,18.34,0,100,,41,2.3,14.40,1.8,30,5,12,12,69,5,34,34,0.02,0.01,0.13,,0.02,,1.02,0.29,1.51,0.01,8.38,5.74,72.07,0.47,,,,,,,
Najee Harris,,0,RB,7700,PIT,@ MIN,21,20.75,8.4,0,18.7,0,0,0,0,0,0.856,17.02,64.42,0.36,23.3,0.1671,6.28,5.05,31.85,0.22,0,0,0,0,0,0,18.16,18.16,0,5.56,34.96,18.16,18.16,0,100,,47,2.4,25.40,3.3,7,5,7,7,17,9,35,35,,,,,,,,16.61,62.87,0.35,4.7,3.78,22.65,0.17,,,,,,,
Kirk Cousins,,0,QB,6500,MIN,vs PIT,6,23.75,7.9,21.2,21.5,1,34.15,261.53,1.7,0.66,0.0781,2.05,6.54,0.15,2.05,0,0,0,0,0,0,0,0,0,0,0,18.16,18.16,0,6.31,33.96,18.16,18.16,0,100,,60,2.8,16.04,2.5,18,11,16,16,57,21,35,35,34.26,23.1,263.19,0.66,2.08,1.81,101.34,2.1,6.7,0.15,,,,,,,,,,,
Josh Jacobs,,0,RB,6200,LV,@ KC,2,19.50,7.7,15.9,15.2,0,0,0,0,0,0.6923,14.29,61.45,0.53,20.14,0.1797,5.85,4.64,31.73,0.16,0,0,0,0,0,0,18.1,18.1,0,6.55,33.5,18.1,18.1,0,100,,52,2.9,11.00,1.8,24,14,8,8,90,24,36,36,,,,,,,,16.98,73.02,0.63,3.23,2.56,18.46,,,,,,,,
Chris Godwin,,0,WR,7100,TB,vs BUF,2,27.75,9.9,16,18.8,0,0,0,0,0,0,0,0,0,9.24,0.2388,9.24,6.48,84.49,0.52,0,0,0,0,0,0,18.05,18.05,0,3.2,37.85,18.05,18.05,0,100,,32,2.5,23.50,3.3,6,9,13,13,22,15,37,37,,,,,,,,0.08,0.46,0.01,6.87,4.82,65.26,0.39,,,,,,,
Joe Mixon,,0,RB,7700,CIN,vs SF,23,23.50,8.8,17.3,19.6,0,0,0,0,0,0.745,22.77,91.78,0.63,25.96,0.0976,3.19,2.59,18.64,0.09,0,0,0,0,0,0,17.95,17.95,0,4.75,35.55,17.95,17.95,0,100,,44,2.3,8.80,1.1,32,5,9,9,107,9,38,38,0.01,0.01,0.08,,,0.01,1.77,16.93,68.24,0.47,3.42,2.78,20.88,0.11,,,,,,,
Dalvin Cook,,0,RB,8000,MIN,vs PIT,31,23.75,9.9,26.1,17.5,0,0,0,0,0,0.6964,18.31,85.31,0.69,21.87,0.1041,3.56,2.77,21.98,0.05,0,0,0,0,0,0,17.94,17.94,0,3.09,37.74,17.94,17.94,0,100,,48,2.2,38.20,4.8,1,2,10,10,2,6,39,39,,,,,,,,17.55,81.77,0.66,4.08,3.17,25.11,0.06,,,,,,,
Zach Wilson,,0,QB,5300,NYJ,vs NO,15,19.00,6.5,0,11.6,1,34.87,228.13,1.1,1.08,0.1516,3.83,24.77,0.5,3.83,0,0,0,0,0,0,0,0,0,0,0,17.92,17.92,0,8.17,30.92,17.92,17.92,0,100,,51,3.4,11.38,2.1,26,20,17,17,87,33,40,40,29.93,16.5,184.71,0.93,3.21,0.71,70.22,2.21,14.29,0.29,,,,,,,,,,,
JaMarr Chase,,0,WR,6900,CIN,vs SF,9,23.50,11.8,0,17.4,0,0,0,0,0,0,0,0,0,8.56,0.2617,8.56,5.5,84.95,0.63,0,0,0,0,0,0,17.78,17.78,0,0.08,41.38,17.78,17.78,0,100,,37,2.6,25.30,3.7,5,11,14,14,18,17,41,41,,,,,,,,0.64,2.2,,8.16,5.24,84.64,0.64,,,,,,,
Marquez Callaway,,0,WR,4300,NO,@ NYJ,25,23.00,5.9,4.2,8.7,0,0,0,0,0,0,0,0,0,10.75,0.3242,10.75,6.35,86.22,0.46,0,0,0,0,0,0,17.73,17.73,0,8.88,29.53,17.73,17.73,0,100,,28,4.1,5.40,1.3,59,37,15,15,129,43,42,42,,,,,,,,,,,4.62,2.73,37.23,0.27,,,,,,,
Diontae Johnson,,0,WR,7100,PIT,@ MIN,32,20.75,8,15.9,19.5,0,0,0,0,0,0,0,0,0,11.09,0.2951,11.09,6.93,78.4,0.49,0,0,0,0,0,0,17.71,17.71,0,5.71,33.71,17.71,17.71,0,100,,44,2.5,15.30,2.2,26,9,16,16,63,15,43,43,,,,,,,,0.28,2.33,,8.7,5.44,58.44,0.39,,,,,,,
Javonte Williams,,0,RB,5900,DEN,vs DET,8,27.00,6.9,0,13,0,0,0,0,0,0.5178,15.55,68.88,0.25,21.3,0.1658,5.75,4.53,29.73,0.22,0,0,0,0,0,0,17.21,17.21,0,6.86,31.01,17.21,17.21,0,100,,43,2.9,21.30,3.6,9,17,11,11,29,27,44,44,,,,,,,,11.9,52.71,0.19,3.57,2.81,18.67,0.14,,,,,,,
Derek Carr,,0,QB,5900,LV,@ KC,22,19.50,7.7,19.2,19.3,1,32.56,252.08,1.56,0.62,0.1561,3.22,10.06,0.08,3.22,0,0,0,0,0,0,0,0,0,0,0,17.19,17.19,0,5.64,32.59,17.19,17.19,0,100,,56,2.9,12.52,2.1,23,14,18,18,80,27,45,45,35.03,23.02,256.69,0.67,1.95,1.54,94.79,2.03,6.34,0.05,,,,,,,,,,,
Aaron Jones,,0,RB,6200,GB,vs CHI,27,27.00,11.2,18.3,15.2,0,0,0,0,0,0.4716,13.3,67.94,0.66,17.25,0.1143,3.95,2.92,22.38,0.19,0,0,0,0,0,0,17.05,17.05,0,0.25,39.45,17.05,17.05,0,100,,33,2.8,21.50,3.5,8,14,12,12,26,24,46,46,,,,,,,,12.3,62.83,0.61,3.83,2.83,22.5,0.18,,,,,,,
Mike Williams,,0,WR,6000,LAC,vs NYG,14,26.25,9.2,11.4,16.1,0,0,0,0,0,0,0,0,0,9.5,0.2389,9.5,5.46,81.38,0.54,0,0,0,0,0,0,16.84,16.84,0,3.04,35.24,16.84,16.84,0,100,,19,2.8,12.10,2,36,20,17,17,83,26,47,47,,,,,,,,0.11,0.37,0.01,5.83,3.35,53,0.36,,,,,,,
Leonard Fournette,,0,RB,7400,TB,vs BUF,20,27.75,8.8,13.2,18.5,0,0,0,0,0,0.6488,13.34,53.39,0.46,19.48,0.1588,6.14,4.83,32.8,0.1,0,0,0,0,0,0,16.81,16.81,0,3.61,34.41,16.81,16.81,0,100,,49,2.3,26.20,3.5,5,7,13,13,15,12,48,48,0.01,,,,,,0.54,15.53,62.16,0.53,4.96,3.9,27.52,0.08,,,,,,,
Ben Roethlisberger,,0,QB,5300,PIT,@ MIN,31,20.75,8.7,20.6,15.4,1,37.58,257.65,1.84,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.79,16.79,0,3.74,34.19,16.79,16.79,0,100,,56,3.2,28.82,5.4,4,20,19,19,12,33,49,49,39.01,25.53,280.77,0.91,1.5,1.86,94.3,1.52,2.41,0.05,,,,,,,,,,,
Kalif Raymond,,0,WR,4200,DET,@ DEN,22,15.00,6.4,1.9,7.7,0,0,0,0,0,0,0,0,0,8.91,0.295,8.91,5.78,82.59,0.44,0,0,0,0,0,0,16.68,16.68,0,7.08,29.48,16.68,16.68,0,100,,0,4,13.10,3.1,32,38,18,18,75,44,50,50,,,,,,,,0.21,0.56,,2.85,1.85,26.46,0.15,,,,,,,
Dalton Schultz,,0,TE,5400,DAL,@ WAS,25,27.00,6.6,9.2,11.3,0,0,0,0,0,0,0,0,0,9.59,0.2113,9.59,6.9,68.56,0.48,0,0,0,0,0,0,16.64,16.64,0,6.74,29.84,16.64,16.64,0,100,,26,3.1,1.40,0.3,39,7,2,2,167,32,51,51,,,,,,,,,,,5.06,3.64,36.89,0.26,,,,,,,
Jared Goff,,0,QB,5100,DET,@ DEN,20,15.00,8.7,17.6,14.6,1,30.22,221.1,1.41,0.63,0.2414,5.13,11.47,0.26,5.13,0,0,0,0,0,0,0,0,0,0,0,16.56,16.56,0,3.51,33.96,16.56,16.56,0,100,,51,3.2,12.60,2.5,22,22,20,20,79,35,52,52,35.1,22.3,256.41,0.73,1.97,1.52,92.24,2.16,4.83,0.11,,,,,,,,,,,
Teddy Bridgewater,,0,QB,5700,DEN,vs DET,17,27.00,8.4,17.6,16.4,1,34.71,254.63,1.29,0.68,0.0719,2.16,7.76,0.12,2.16,0,0,0,0,0,0,0,0,0,0,0,16.16,16.16,0,3.56,32.96,16.16,16.16,0,100,,36,2.8,15.16,2.7,21,16,21,21,64,29,53,53,26.37,17.66,191.24,0.52,2,0.94,82.34,2.79,10.02,0.16,,,,,,,,,,,
David Montgomery,,0,RB,5700,CHI,@ GB,7,16.00,8.3,17.4,15.3,0,0,0,0,0,0.6897,17.39,68.53,0.48,21.71,0.1633,4.32,3.39,26.04,0.07,0,0,0,0,0,0,16.15,16.15,0,3.7,32.75,16.15,16.15,0,100,,42,2.8,14.10,2.5,16,19,14,14,71,29,54,54,0.02,,,0.02,,,,15.85,62.46,0.44,3.35,2.63,20.04,0.06,,,,,,,
Nick Chubb,,0,RB,7600,CLE,vs BAL,1,23.50,9.9,18.6,18,0,0,0,0,0,0.549,16.35,86.65,0.65,18.57,0.0783,2.22,1.66,13.35,0.06,0,0,0,0,0,0,15.92,15.92,0,1.07,35.72,15.92,15.92,0,100,,40,2.1,9.50,1.3,29,6,15,15,101,10,55,55,,,,,,,,15.61,82.73,0.62,2.17,1.62,13.48,0.06,,,,,,,
Trevor Lawrence,,0,QB,5100,JAC,@ TEN,21,18.25,6,0,14.1,1,35.95,236.52,1.26,0.92,0.181,3.77,16.5,0.1,3.77,0,0,0,0,0,0,0,0,0,0,0,15.83,15.83,0,6.83,27.83,15.83,15.83,0,100,,57,3.1,5.04,1,29,22,22,22,133,35,56,56,35.05,21.29,218.43,0.9,1.81,0.95,77.98,3.95,17.29,0.1,,,,,,,,,,,
Sony Michel,,0,RB,5600,LAR,@ ARI,10,24.00,8,9.8,7,0,0,0,0,0,0.7995,20.44,85.7,0.55,23.56,0.0971,3.12,2.06,14.48,0.06,0,0,0,0,0,0,15.74,15.74,0,3.74,31.74,15.74,15.74,0,100,,18,2.8,7.90,1.4,33,20,16,16,113,30,57,57,,,,,,,,13.27,55.64,0.36,1.33,0.88,6.47,0.03,,,,,,,
Taylor Heinicke,!,0,QB,5500,WAS,vs DAL,7,21.00,8.4,0,17.6,1,32.24,225.01,1.22,1.05,0.1839,4.6,24.12,0.08,4.6,0,0,0,0,0,0,0,0,0,0,0,15.72,15.72,0,3.12,32.52,15.72,15.72,0,100,,29,2.9,9.68,1.8,27,18,23,23,99,31,58,58,25.09,16.23,170.41,0.82,1.86,0.95,87.05,3,15.73,0.05,,,,,,,,,,,
Amon-Ra St. Brown,,0,WR,5000,DET,@ DEN,22,15.00,11.4,0,9.2,0,0,0,0,0,0,0,0,0,8.7,0.288,8.7,6.47,66.59,0.43,0,0,0,0,0,0,15.71,15.71,0,0,38.51,15.71,15.71,0,100,,30,3.1,15.30,3.1,26,30,19,19,63,36,59,59,,,,,,,,0.47,6.79,0.05,8,5.95,61.32,0.42,,,,,,,
Ty Johnson,,0,RB,4400,NYJ,vs NO,12,19.00,5.5,6,7.6,0,0,0,0,0,0.584,14.75,63.42,0.24,20.59,0.1676,5.84,3.99,29.37,0.12,0,0,0,0,0,0,15.43,15.43,0,7.18,26.43,15.43,15.43,0,100,,8,3.5,9.70,2.2,28,32,17,17,98,42,60,60,,,,,,,,4.34,18.66,0.07,2.68,1.83,14.24,0.07,,,,,,,
Matt Ryan,,0,QB,5300,ATL,@ CAR,4,19.75,8.3,19.5,16,1,32.88,246.94,1.3,0.63,0.09,1.88,5.8,0.06,1.88,0,0,0,0,0,0,0,0,0,0,0,15.39,15.39,0,2.94,31.99,15.39,15.39,0,100,,57,2.9,11.90,2.2,25,20,24,24,85,33,61,61,36.52,24.43,282.1,0.7,2.38,1.67,97.4,2.18,6.72,0.07,,,,,,,,,,,
