,,,,,Game and Vegas,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,Proj. Fantasy Pts,,,Projected Values,,,,Position Rankings,,,,Overall Rankings,,,Actual Data,,Position Rankings,,,Overall Rankings,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
Cordarrelle Patterson,,0,RB,6600,ATL,@ DAL,12,24.00,7,4.1,19.6,0,0,0,0,0,0.4051,9.73,46.33,0.36,17.82,0.2057,8.09,6.01,57.42,0.36,0,0,0,0,0,0,20.71,20.71,0,10.21,34.71,20.71,20.71,41,0,100,,123,4,3.1,4.90,0.7,12,6,6,19,21,21,0.01,,,,,,0.39,3.56,16.95,0.13,2.64,1.96,18.24,0.1,,,,,,,
Jonathan Taylor,,0,RB,8100,IND,vs JAC,24,29.00,11.3,17.5,22.5,0,0,0,0,0,0.6708,19.94,101.14,0.93,23.15,0.0868,3.21,2.5,19.18,0.09,0,0,0,0,0,0,20.65,20.65,0,3.7,43.25,20.65,20.65,3,0,100,,7,42,2.5,27.60,3.4,3,7,7,4,22,22,,,,,,,,17.61,89.32,0.82,3,2.34,19.13,0.08,,,,,,,
Mike Williams,,0,WR,6600,LAC,vs MIN,23,28.25,9.2,11.4,17.3,0,0,0,0,0,0,0,0,0,11.33,0.253,11.33,6.51,97.18,0.71,0,0,0,0,0,0,20.49,20.49,0,6.69,38.89,20.49,20.49,42,0,100,,101,19,3.1,7.30,1.1,13,8,8,19,23,23,,,,,,,,0.11,0.37,0.01,5.83,3.35,53,0.36,,,,,,,
James Conner,,0,RB,6300,ARI,vs CAR,15,24.25,10.8,13.8,14.7,0,0,0,0,0,0.7869,20.28,82.54,1,23.78,0.1116,3.5,2.92,23.09,0.1,0,0,0,0,0,0,20.08,20.08,0,3.88,41.68,20.08,20.08,17,0,100,,47,21,3.2,15.40,2.4,14,8,8,22,24,24,,,,,,,,11.31,46.03,0.56,3.13,2.61,21.34,0.1,,,,,,,
Derek Carr,,0,QB,6000,LV,vs KC,28,25.75,7.7,19.2,20.6,1,38.7,292.25,1.71,0.74,0.1568,4.69,14.65,0.12,4.69,0,0,0,0,0,0,0,0,0,0,0,19.98,19.98,0,8.43,35.38,19.98,19.98,6,0,100,,28,56,3.3,19.24,3.2,14,9,9,25,25,25,35.03,23.02,256.69,0.67,1.95,1.54,94.79,2.03,6.34,0.05,,,,,,,,,,,
Jimmy Garoppolo,,0,QB,5500,SF,vs LAR,11,23.75,8.4,11.6,18.1,1,37.77,323.44,1.72,1.06,0.1094,2.59,3.4,0.1,2.59,0,0,0,0,0,0,0,0,0,0,0,19.7,19.7,0,7.1,36.5,19.7,19.7,12,0,100,,48,38,3.6,15.38,2.8,17,10,10,30,26,26,24.63,16.43,203.66,0.69,1.74,1.18,88.01,2.31,3.03,0.09,,,,,,,,,,,
Diontae Johnson,,0,WR,6800,PIT,vs DET,10,22.75,8,15.9,17.5,0,0,0,0,0,0,0,0,0,12.74,0.2883,12.74,7.97,85.48,0.52,0,0,0,0,0,0,19.64,19.64,0,7.64,35.64,19.64,19.64,19,0,100,,55,44,2.9,14.30,2.1,11,9,9,17,27,27,,,,,,,,0.28,2.33,,8.7,5.44,58.44,0.39,,,,,,,
Mike Evans,,0,WR,6900,TB,@ WAS,32,30.25,10.1,15.9,18.4,0,0,0,0,0,0,0,0,0,10.42,0.2331,10.42,6.04,90,0.75,0,0,0,0,0,0,19.54,19.54,0,4.39,39.74,19.54,19.54,20,0,100,,56,41,2.8,14.20,2.1,10,10,10,16,28,28,,,,,,,,0.01,0.09,,8.59,4.98,76.46,0.61,,,,,,,
Justin Jefferson,,0,WR,7700,MIN,@ LAC,5,25.25,10.9,18.5,17.5,0,0,0,0,0,0,0,0,0,9.98,0.26,9.98,6.59,96.11,0.55,0,0,0,0,0,0,19.5,19.5,0,3.15,41.3,19.5,19.5,6,0,100,,13,45,2.5,25.90,3.4,4,11,11,8,29,29,0.11,0.05,0.92,,,,8.17,0.24,0.68,0.03,9.13,6.03,90.92,0.5,,,,,,,
D'Ernest Johnson,,0,RB,4700,CLE,@ NE,18,21.25,7.6,1.3,7,0,0,0,0,0,0.8336,21.94,115.41,0.48,25.09,0.1014,3.15,2.45,19.07,0.09,0,0,0,0,0,0,19.32,19.32,0,7.92,34.52,19.32,19.32,6,0,100,,18,0,4.1,22.70,4.8,29,9,9,38,30,30,,,,,,,,5.96,31.35,0.13,1.57,1.22,9.65,,,,,,,,
Carson Wentz,,0,QB,5900,IND,vs JAC,20,29.00,7.2,18.4,19.2,1,36.93,266.13,1.69,0.72,0.1366,4.06,16.63,0.11,4.06,0,0,0,0,0,0,0,0,0,0,0,19.01,19.01,0,8.21,33.41,19.01,19.01,23,0,100,,104,61,3.2,7.10,1.2,15,11,11,26,31,31,35.38,22.13,237.87,0.69,2.54,1.64,89.7,3.63,14.87,0.1,,,,,,,,,,,
Leonard Fournette,,0,RB,6100,TB,@ WAS,19,30.25,8.8,13.2,15.2,0,0,0,0,0,0.6048,15.82,63.32,0.54,22.39,0.147,6.57,5.17,35.37,0.11,0,0,0,0,0,0,18.94,18.94,0,5.74,36.54,18.94,18.94,15,0,100,,38,49,3.1,17.20,2.8,16,10,10,24,32,32,0.01,,,,,,0.54,15.53,62.16,0.53,4.96,3.9,27.52,0.08,,,,,,,
Jalen Hurts,,0,QB,6500,PHI,@ DEN,5,21.75,11.8,8.9,23.3,0.985,31.48,243.61,1.19,0.72,0.2157,5.66,29.67,0.36,5.66,0,0,0,0,0,0,0,0,0,0,0,18.91,18.91,0,1.21,42.51,18.91,18.91,5,0,100,,27,31,2.9,19.42,3,11,12,12,20,33,33,21.94,13.15,164.21,0.5,1.44,0.79,71.16,7.76,40.68,0.5,,,,,,,,,,,
Mark Ingram,,0,RB,4500,NO,@ TEN,9,20.00,9,5.3,7,0,0,0,0,0,0.6529,18.02,83.15,0.65,22.24,0.1586,4.22,3.43,24.02,0.13,0,0,0,0,0,0,18.83,18.83,0,5.33,36.83,18.83,18.83,9,0,100,,22,31,4.2,20.80,4.6,31,11,11,40,34,34,,,,,,,,11.9,54.91,0.43,2.9,2.36,17.55,0.1,,,,,,,
Travis Kelce,,0,TE,6900,KC,@ LV,19,27.75,9.2,23.5,16.9,0,0,0,0,0,0,0,0,0,9.6,0.2545,9.6,6.85,83.06,0.6,0,0,0,0,0,0,18.76,18.76,0,4.96,37.16,18.76,18.76,1,0,100,,17,47,2.7,22.90,3.3,1,1,1,16,35,35,0.03,0.02,0.05,0.01,,0.01,1.87,0.06,0.09,0.02,8.26,5.89,74.68,0.52,,,,,,,
Russell Wilson,,0,QB,6700,SEA,@ GB,16,23.00,8.6,24.2,20.5,1,28.46,228.38,1.89,0.51,0.1757,3.71,19.68,0.09,3.71,0,0,0,0,0,0,0,0,0,0,0,18.69,18.69,0,5.79,35.89,18.69,18.69,20,0,100,,99,58,2.8,7.64,1.1,10,13,13,18,36,36,31.19,20.29,242.22,0.56,2.81,1.9,102.45,4.73,25.09,0.11,,,,,,,,,,,
Adam Thielen,,0,WR,6700,MIN,@ LAC,5,25.25,10.3,17.5,17.2,0,0,0,0,0,0,0,0,0,9.56,0.249,9.56,6.6,81.16,0.65,0,0,0,0,0,0,18.62,18.62,0,3.17,39.22,18.62,18.62,32,0,100,,75,28,2.8,11.50,1.7,12,12,12,18,37,37,0.01,,,0.01,,,-3.95,0.2,1.63,0.01,6.89,4.76,60.48,0.47,,,,,,,
Matt Ryan,,0,QB,6000,ATL,@ DAL,27,24.00,8.3,19.5,20.2,1,39.35,296.09,1.58,0.75,0.0914,2.2,6.78,0.07,2.2,0,0,0,0,0,0,0,0,0,0,0,18.51,18.51,0,6.06,35.11,18.51,18.51,31,0,100,,145,57,3.1,2.68,0.4,14,14,14,25,38,38,36.52,24.43,282.1,0.7,2.38,1.67,97.4,2.18,6.72,0.07,,,,,,,,,,,
Mason Rudolph,,0,QB,4100,PIT,vs DET,17,22.75,6.9,5.6,0,1,44.19,272.6,2.03,1.27,0.0667,1.36,3.72,0.05,1.36,0,0,0,0,0,0,0,0,0,0,0,18.43,18.43,0,8.08,32.23,18.43,18.43,10,0,100,,42,31,4.5,16.28,4,30,15,15,44,39,39,24,14.75,147.88,0.69,1,1,77.11,2.06,5.63,,,,,,,,,,,,
Aaron Rodgers,,0,QB,7100,GB,vs SEA,19,26.00,8.7,25.5,20.1,1,31,232.84,1.94,0.33,0.0809,2.17,10.54,0.1,2.17,0,0,0,0,0,0,0,0,0,0,0,18.4,18.4,0,5.35,35.8,18.4,18.4,17,0,100,,76,60,2.6,11.48,1.6,7,16,16,14,40,40,35.55,23.09,261.79,0.38,2.34,2.15,103.23,2.89,14.04,0.13,,,,,,,,,,,
Marvin Jones,,0,WR,5800,JAC,@ IND,30,19.00,8.8,14.8,12.1,0,0,0,0,0,0,0,0,0,10.77,0.2893,10.77,6.54,83.57,0.53,0,0,0,0,0,0,18.08,18.08,0,4.88,35.68,18.08,18.08,49,0,100,,117,31,3.1,5.50,0.9,21,13,13,27,41,41,,,,,,,,0.07,0.33,,6.8,4.13,57.05,0.42,,,,,,,
Ezekiel Elliott,,0,RB,7000,DAL,vs ATL,26,31.00,9,15.6,18.1,0,0,0,0,0,0.58,18.78,83.67,0.62,22.68,0.1015,3.9,2.92,22.19,0.11,0,0,0,0,0,0,17.89,17.89,0,4.39,35.89,17.89,17.89,8,0,100,,21,52,2.6,21.76,3.1,9,12,12,15,42,42,0.02,0.01,0.04,0.01,,,-3.38,18.3,81.53,0.6,4.15,3.11,23.97,0.12,,,,,,,
A.J. Brown,,0,WR,7800,TEN,vs NO,31,23.00,10.2,18.7,14.9,0,0,0,0,0,0,0,0,0,8.62,0.3256,8.62,5.39,85.22,0.64,0,0,0,0,0,0,17.75,17.75,0,2.45,38.15,17.75,17.75,65,0,100,,137,35,2.3,3.30,0.4,3,14,14,7,43,43,0.04,,,,,,1.52,0.12,1.52,0.02,6.96,4.35,70.88,0.52,,,,,,,
Hunter Renfrow,,0,WR,5100,LV,vs KC,15,25.75,7.1,8.3,13.5,0,0,0,0,0,0,0,0,0,9.54,0.2464,9.54,7.11,74.12,0.49,0,0,0,0,0,0,17.46,17.46,0,6.81,31.66,17.46,17.46,11,0,100,,37,39,3.4,17.60,3.5,28,15,15,34,44,44,,,,,,,,0.06,0.06,,6.2,4.62,49.6,0.32,,,,,,,
DeVonta Smith,,0,WR,5900,PHI,@ DEN,20,21.75,8.6,0,12.3,0,0,0,0,0,0,0,0,0,10.25,0.3208,10.25,6.21,86.86,0.41,0,0,0,0,0,0,17.36,17.36,0,4.46,34.56,17.36,17.36,8,0,100,,19,26,2.9,22.60,3.8,20,16,16,26,45,45,,,,,,,,,,,6.45,3.91,56.45,0.27,,,,,,,
Tyler Lockett,,0,WR,6500,SEA,@ GB,17,23.00,9.9,16.3,15.7,0,0,0,0,0,0,0,0,0,8.41,0.2956,8.41,6.02,79.93,0.52,0,0,0,0,0,0,17.13,17.13,0,2.28,36.93,17.13,17.13,57,0,100,,128,24,2.6,4.30,0.7,14,17,17,20,46,46,,,,,,,,0.33,2.21,0.01,5.81,4.16,57,0.39,,,,,,,
Dalvin Cook,,0,RB,8000,MIN,@ LAC,29,25.25,9.9,26.1,16.5,0,0,0,0,0,0.59,17.87,83.26,0.67,21.13,0.085,3.26,2.53,19.4,0.05,0,0,0,0,0,0,17.12,17.12,0,2.27,36.92,17.12,17.12,9,0,100,,22,48,2.1,20.80,2.6,4,13,13,5,47,47,,,,,,,,17.55,81.77,0.66,4.08,3.17,25.11,0.06,,,,,,,
Darrell Henderson,,0,RB,6400,LAR,@ SF,27,26.75,7.1,8.9,16.5,0,0,0,0,0,0.567,17.72,78.15,0.53,21.58,0.1006,3.86,2.73,19.98,0.17,0,0,0,0,0,0,16.74,16.74,0,6.09,30.94,16.74,16.74,32,0,100,,97,23,2.6,8.10,1.3,13,14,14,21,48,48,,,,,,,,9.33,41.15,0.28,2.18,1.54,11.62,0.1,,,,,,,
Trevor Lawrence,,0,QB,5300,JAC,@ IND,32,19.00,6,0,15.6,1,37.22,252.46,1.36,0.96,0.17,3.54,15.5,0.09,3.54,0,0,0,0,0,0,0,0,0,0,0,16.67,16.67,0,7.67,28.67,16.67,16.67,18,0,100,,80,57,3.1,10.78,2,19,17,17,32,49,49,35.05,21.29,218.43,0.9,1.81,0.95,77.98,3.95,17.29,0.1,,,,,,,,,,,
Baker Mayfield,!,0,QB,5400,CLE,@ NE,4,21.25,6.6,16.8,16.1,1,31.02,228.8,1.5,0.88,0.1669,4.39,15.23,0.14,4.39,0,0,0,0,0,0,0,0,0,0,0,16.64,16.64,0,6.74,29.84,16.64,16.64,26,0,100,,113,60,3.1,5.92,1.1,18,18,18,31,50,50,32,19.59,232.41,0.91,2.21,1.52,88.43,2.73,9.47,0.09,,,,,,,,,,,
Darren Waller,,0,TE,6300,LV,vs KC,30,25.75,9.7,18.5,14.6,0,0,0,0,0,0,0,0,0,9.61,0.2483,9.61,6.71,76.43,0.38,0,0,0,0,0,0,16.63,16.63,0,2.08,36.03,16.63,16.63,19,0,100,,109,22,2.6,6.40,1,2,2,2,22,51,51,,,,,,,,0.05,0.42,,6.77,4.73,55.44,0.27,,,,,,,
Terry McLaurin,,0,WR,7600,WAS,vs TB,14,20.25,8.3,15.5,16.8,0,0,0,0,0,0,0,0,0,9.61,0.3152,9.61,5.95,81.93,0.4,0,0,0,0,0,0,16.54,16.54,0,4.09,33.14,16.54,16.54,30,0,100,,71,42,2.2,11.90,1.6,5,18,18,9,52,52,,,,,,,,0.08,0.96,,7.67,4.75,66.96,0.33,,,,,,,
Michael Pittman,,0,WR,6300,IND,vs JAC,19,29.00,7.8,8.4,17,0,0,0,0,0,0,0,0,0,9.8,0.2655,9.8,6.6,76.79,0.36,0,0,0,0,0,0,16.44,16.44,0,4.74,32.04,16.44,16.44,29,0,100,,69,36,2.6,12.10,1.9,16,19,19,22,53,53,,,,,,,,0.26,2.38,,6.68,4.5,55.85,0.24,,,,,,,
Jared Goff,,0,QB,5200,DET,@ PIT,21,17.75,8.7,17.6,15.1,1,33.99,246.27,1.54,0.71,0.0929,1.92,4.29,0.1,1.92,0,0,0,0,0,0,0,0,0,0,0,16.33,16.33,0,3.28,33.73,16.33,16.33,29,0,100,,126,51,3.1,4.56,0.9,20,19,19,33,54,54,35.1,22.3,256.41,0.73,1.97,1.52,92.24,2.16,4.83,0.11,,,,,,,,,,,
Teddy Bridgewater,,0,QB,5500,DEN,vs PHI,6,22.75,8.4,17.6,17.5,1,34,254.13,1.25,0.67,0.091,2.56,9.19,0.15,2.56,0,0,0,0,0,0,0,0,0,0,0,16.31,16.31,0,3.71,33.11,16.31,16.31,19,0,100,,90,36,3,9.04,1.6,17,20,20,30,55,55,26.37,17.66,191.24,0.52,2,0.94,82.34,2.79,10.02,0.16,,,,,,,,,,,
Ryan Tannehill,,0,QB,6200,TEN,vs NO,23,23.00,7.4,21.9,18.3,1,26.46,208.29,1.42,0.66,0.1234,3.01,13.34,0.24,3.01,0,0,0,0,0,0,0,0,0,0,0,16.13,16.13,0,5.03,30.93,16.13,16.13,7,0,100,,30,58,2.6,18.62,3,12,21,21,23,56,56,29.06,19.06,221.86,0.73,2.37,1.57,97.29,2.94,13.03,0.23,,,,,,,,,,,
Mac Jones,,0,QB,5300,NE,vs CLE,10,23.25,6.1,0,14.4,1,32.78,248.5,1.38,1.02,0.1469,4.04,11.57,0.07,4.04,0,0,0,0,0,0,0,0,0,0,0,16.02,16.02,0,6.87,28.22,16.02,16.02,4,0,100,,24,58,3,19.92,3.8,19,22,22,32,57,57,30.55,20.55,224.18,0.95,1.77,1.23,90.65,2.95,8.45,0.05,,,,,,,,,,,
Cole Beasley,,0,WR,5200,BUF,@ NYJ,13,30.75,7.5,13.9,13.1,0,0,0,0,0,0,0,0,0,9.55,0.213,9.55,6.8,68.62,0.39,0,0,0,0,0,0,16,16,0,4.75,31,16,16,64,0,100,,136,26,3.1,3.50,0.7,27,20,20,33,58,58,0.03,0.01,0.17,,,0.01,2,0.01,0.06,,5.8,4.13,43.05,0.23,,,,,,,
Kyle Pitts,,0,TE,5800,ATL,@ DAL,20,24.00,6.9,0,12.8,0,0,0,0,0,0,0,0,0,10.07,0.2558,10.07,5.88,89.58,0.17,0,0,0,0,0,0,15.86,15.86,0,5.51,29.66,15.86,15.86,12,0,100,,84,31,2.7,10.00,1.7,4,3,3,27,59,59,,,,,,,,,,,6.23,3.64,53.95,0.09,,,,,,,
Josh Jacobs,,0,RB,6200,LV,vs KC,8,25.75,7.7,15.9,14.8,0,0,0,0,0,0.5565,16.65,71.6,0.62,19.87,0.0833,3.22,2.55,17.87,0.09,0,0,0,0,0,0,15.76,15.76,0,4.21,31.16,15.76,15.76,30,0,100,,93,52,2.5,8.60,1.4,15,15,15,23,60,60,,,,,,,,16.98,73.02,0.63,3.23,2.56,18.46,,,,,,,,
T.J. Hockenson,,0,TE,5500,DET,@ PIT,27,17.75,8.1,11,13.4,0,0,0,0,0,0,0,0,0,9.32,0.2743,9.32,6.06,66.3,0.49,0,0,0,0,0,0,15.63,15.63,0,3.48,31.83,15.63,15.63,43,0,100,,173,24,2.8,0.00,,6,4,4,30,61,61,,,,,,,,0.02,,,6.23,4.05,43.95,0.34,,,,,,,
DK Metcalf,,0,WR,6800,SEA,@ GB,17,23.00,8.8,18.5,18.5,0,0,0,0,0,0,0,0,0,8.13,0.2857,8.13,4.96,71.05,0.59,0,0,0,0,0,0,15.61,15.61,0,2.41,33.21,15.61,15.61,48,0,100,,116,42,2.3,5.60,0.8,11,21,21,17,62,62,,,,,,,,0.05,0.3,,7.46,4.55,67.3,0.59,,,,,,,
Jacoby Brissett,!,0,QB,5100,MIA,vs BAL,15,19.25,8.2,1.7,10.4,1,32.03,214.96,1.26,0.46,0.1177,2.86,10.6,0.21,2.86,0,0,0,0,0,0,0,0,0,0,0,15.5,15.5,0,3.2,31.9,15.5,15.5,24,0,100,,107,22,3,6.64,1.3,21,23,23,34,63,63,21.53,13.05,138.26,0.31,1.74,0.65,67.78,3.19,11.82,0.23,,,,,,,,,,,
