,,,,,Game and Vegas,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,Proj. Fantasy Pts,,,Projected Values,,,,,,,,,Actual Data,,Position Rankings,,,,Overall Rankings,,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
Joe Mixon,!,0,RB,6500,CIN,vs JAC,28,26.50,8.9,17.3,15.5,0,0,0,0,0,0.8067,25.77,105.15,0.72,29.86,0.1143,4.09,3.36,24.96,0.12,0,0,0,0,0,0,21.41,21.41,0,8.06,39.21,21.41,21.41,0,100,,44,3.3,13.70,2.1,20,11,5,5,73,19,22,22,0.01,0.01,0.08,,,0.01,1.82,16.9,68.96,0.47,3.36,2.76,21.08,0.11,,,,,,,
Chris Godwin,,0,WR,6300,TB,@ NE,2,28.00,10,16,21.1,0,0,0,0,0,0,0,0,0,10.89,0.2653,10.89,7.64,99.08,0.62,0,0,0,0,0,0,21.27,21.27,0,6.27,41.27,21.27,21.27,0,100,,31,3.4,8.50,1.3,50,16,9,9,112,21,23,23,,,,,,,,0.08,0.47,0.01,6.83,4.79,65.35,0.4,,,,,,,
Stefon Diggs,,0,WR,7600,BUF,vs HOU,24,32.00,10,22,14.7,0,0,0,0,0,0,0,0,0,11.4,0.278,11.4,7.81,94.59,0.66,0,0,0,0,0,0,21.23,21.23,0,6.23,41.23,21.23,21.23,0,100,,40,2.8,21.40,2.8,11,5,10,10,33,9,24,24,0.02,0.01,0.13,,0.02,,1.04,0.29,1.53,0.01,8.38,5.74,72.14,0.48,,,,,,,
Kyler Murray,,0,QB,7800,ARI,@ LAR,2,25.00,8.8,25.4,31.7,1,31.08,226.46,1.35,0.68,0.2782,7.7,43.67,0.5,7.7,0,0,0,0,0,0,0,0,0,0,0,21.15,21.15,0,7.95,38.75,21.15,21.15,0,100,,61,2.7,22.62,2.9,10,3,9,9,27,7,25,25,34.5,22.94,244.94,0.76,2.22,1.52,94.3,6.52,36.98,0.42,,,,,,,,,,,
Calvin Ridley,,0,WR,7000,ATL,vs WAS,15,22.75,9.6,20.4,14.5,0,0,0,0,0,0,0,0,0,10.61,0.28,10.61,6.92,93.71,0.79,0,0,0,0,0,0,21.03,21.03,0,6.63,40.23,21.03,21.03,0,100,,41,3,15.00,2.1,23,9,11,11,68,14,26,26,,,,,,,,0.27,1.27,,7.76,5.06,68.2,0.57,,,,,,,
DJ Moore,,0,WR,6600,CAR,@ DAL,31,23.75,7.5,14.9,20.3,0,0,0,0,0,0,0,0,0,12.88,0.3449,12.88,7.76,110.42,0.37,0,0,0,0,0,0,21.02,21.02,0,9.77,36.02,21.02,21.02,0,100,,46,3.2,34.90,5.3,3,13,12,12,4,18,27,27,0.02,,,,,,0.61,0.46,4.45,,7.83,4.72,67.68,0.23,,,,,,,
Jimmy Garoppolo,!,0,QB,5600,SF,vs SEA,8,27.00,8.5,11.6,18.3,1,40.75,341.47,1.81,1.16,0.0942,2.37,3.11,0.1,2.37,0,0,0,0,0,0,0,0,0,0,0,20.65,20.65,0,7.9,37.65,20.65,20.65,0,100,,37,3.7,9.60,1.7,29,18,10,10,104,28,28,28,24.52,16.41,202.98,0.7,1.73,1.19,87.91,2.35,3.08,0.1,,,,,,,,,,,
Tyler Boyd,,0,WR,5200,CIN,vs JAC,19,26.50,8.1,13.2,11.4,0,0,0,0,0,0,0,0,0,12.25,0.3428,12.25,8.33,93.68,0.49,0,0,0,0,0,0,20.64,20.64,0,8.49,36.84,20.64,20.64,0,100,,31,4,23.80,4.6,8,27,13,13,23,32,29,29,0.04,0.02,0.67,,,,3,0.19,1.7,,6.47,4.4,50.87,0.28,,,,,,,
Taylor Heinicke,,0,QB,5900,WAS,@ ATL,17,24.75,8.4,0,19.3,1,40.04,279.88,1.6,1.31,0.223,6.31,33.09,0.11,6.31,0,0,0,0,0,0,0,0,0,0,0,20.25,20.25,0,7.65,37.05,20.25,20.25,0,100,,29,3.4,27.90,4.7,6,15,11,11,14,25,30,30,25.09,16.23,170.41,0.82,1.86,0.95,87.05,3,15.73,0.05,,,,,,,,,,,
Aaron Jones,,0,RB,7700,GB,vs PIT,6,25.50,11.3,18.3,21.1,0,0,0,0,0,0.611,16.25,82.91,0.82,20.67,0.1428,4.42,3.26,25.36,0.19,0,0,0,0,0,0,20.15,20.15,0,3.2,42.75,20.15,20.15,0,100,,33,2.6,11.90,1.5,22,5,6,6,84,8,31,31,,,,,,,,12.26,62.55,0.62,3.82,2.82,22.89,0.19,,,,,,,
Joe Burrow,,0,QB,5900,CIN,vs JAC,24,26.50,8.1,19.8,16.8,1,35.74,284.7,1.84,0.77,0.0869,2.78,10.34,0.15,2.78,0,0,0,0,0,0,0,0,0,0,0,19.91,19.91,0,7.76,36.11,19.91,19.91,0,100,,61,3.4,25.32,4.3,8,15,12,12,18,25,32,32,36.09,24.5,279.41,0.78,3.59,1.72,98.28,3.06,11.38,0.16,,,,,,,,,,,
Mike Evans,,0,WR,6500,TB,@ NE,2,28.00,10.1,15.9,17.2,0,0,0,0,0,0,0,0,0,10.89,0.2653,10.89,6.3,91.99,0.73,0,0,0,0,0,0,19.88,19.88,0,4.73,40.08,19.88,19.88,0,100,,41,3.1,14.50,2.2,25,14,14,14,70,19,33,33,,,,,,,,0.01,0.09,,8.58,4.96,76.23,0.59,,,,,,,
Antonio Gibson,,0,RB,6100,WAS,@ ATL,13,24.75,7.9,14.4,13.2,0,0,0,0,0,0.66,18.67,77.43,0.76,23.52,0.1211,4.85,3.9,26.8,0.12,0,0,0,0,0,0,19.6,19.6,0,7.75,35.4,19.6,19.6,0,100,,47,3.2,15.50,2.5,16,15,7,7,66,23,34,34,,,,,,,,14.24,59.06,0.58,3.36,2.7,19.09,0.09,,,,,,,
Baker Mayfield,,0,QB,6200,CLE,@ MIN,20,26.25,6.6,16.8,17.4,1,35.74,268.8,1.94,1.01,0.135,3.79,13.38,0.12,3.79,0,0,0,0,0,0,0,0,0,0,0,19.56,19.56,0,9.66,32.76,19.56,19.56,0,100,,60,3.2,9.30,1.5,30,13,13,13,106,22,35,35,32.05,19.67,233.94,0.91,2.2,1.53,88.92,2.77,9.78,0.09,,,,,,,,,,,
Tyler Lockett,,0,WR,7100,SEA,@ SF,7,25.00,10,16.3,23.6,0,0,0,0,0,0,0,0,0,9.59,0.3012,9.59,6.84,88.66,0.61,0,0,0,0,0,0,19.37,19.37,0,4.37,39.37,19.37,19.37,0,100,,24,2.7,6.40,0.9,61,8,15,15,132,13,36,36,,,,,,,,0.34,2.25,0.01,5.75,4.1,56.55,0.4,,,,,,,
Ryan Tannehill,,0,QB,6300,TEN,@ NYJ,29,24.75,7.5,21.9,19.7,1,29.81,215.7,1.42,0.75,0.1785,6.02,27.38,0.48,6.02,0,0,0,0,0,0,0,0,0,0,0,19.18,19.18,0,7.93,34.18,19.18,19.18,0,100,,58,3,18.82,3,17,12,14,14,48,21,37,37,29.17,19.09,222.32,0.73,2.38,1.57,96.98,2.9,13.19,0.23,,,,,,,,,,,
Matthew Stafford,,0,QB,7000,LAR,vs ARI,6,29.00,7.3,17.5,26,1,35.19,280.66,1.86,0.74,0.0932,2.75,9.4,0.05,2.75,0,0,0,0,0,0,0,0,0,0,0,19.17,19.17,0,8.22,33.77,19.17,19.17,0,100,,62,2.7,20.30,2.9,16,7,15,15,43,14,38,38,35.49,23.45,269.52,0.75,2.43,1.83,98.6,2.13,7.28,0.04,,,,,,,,,,,
Brandin Cooks,,0,WR,6400,HOU,@ BUF,4,15.00,9.2,16.1,22.6,0,0,0,0,0,0,0,0,0,10.76,0.4033,10.76,6.94,88.66,0.49,0,0,0,0,0,0,18.75,18.75,0,4.95,37.15,18.75,18.75,0,100,,39,2.9,9.70,1.5,45,15,16,16,103,20,39,39,,,,,,,,0.37,2.04,0.01,7.55,4.87,69.13,0.37,,,,,,,
Daniel Jones,,0,QB,5800,NYG,@ NO,7,17.75,8.9,14,22.8,1,31.47,218.45,1.25,0.71,0.336,7.91,44.01,0.22,7.91,0,0,0,0,0,0,0,0,0,0,0,18.75,18.75,0,5.4,36.55,18.75,18.75,0,100,,46,3.2,30.78,5.3,4,16,16,16,10,26,39,39,33.08,20.88,219.05,0.75,2.83,1.2,85.13,4.7,26.15,0.13,,,,,,,,,,,
Sam Darnold,,0,QB,6000,CAR,@ DAL,25,23.75,8,12.3,23.7,1,37.33,246.09,1.29,1.19,0.2306,6.26,24.69,0.39,6.26,0,0,0,0,0,0,0,0,0,0,0,18.62,18.62,0,6.62,34.62,18.62,18.62,0,100,,46,3.1,36.54,6.1,1,14,17,17,3,24,40,40,32.5,19.44,212.48,1.04,2.66,1.08,77.53,3.24,12.78,0.2,,,,,,,,,,,
James Robinson,,0,RB,5700,JAC,@ CIN,24,19.50,8.3,18.8,14.4,0,0,0,0,0,0.7483,15.61,70.11,0.61,21.33,0.1502,5.72,4.32,26.8,0.14,0,0,0,0,0,0,18.51,18.51,0,6.06,35.11,18.51,18.51,0,100,,48,3.2,20.60,3.6,11,19,8,8,40,27,41,41,,,,,0.03,,,14.6,65.57,0.57,3.67,2.77,19.43,0.13,,,,,,,
Chuba Hubbard,,0,RB,5900,CAR,@ DAL,21,23.75,6.1,0,4.8,0,0,0,0,0,0.6382,17.32,61.56,0.49,24.56,0.194,7.24,4.88,33.73,0.19,0,0,0,0,0,0,18.49,18.49,0,9.34,30.69,18.49,18.49,0,100,,27,3.1,9.10,1.5,29,17,9,9,107,25,42,42,,,,,,,,10.18,36.18,0.29,2.18,1.47,10.24,0.06,,,,,,,
CeeDee Lamb,,0,WR,6700,DAL,vs CAR,27,27.75,8.3,14,17.8,0,0,0,0,0,0,0,0,0,10.81,0.2555,10.81,6.86,89.17,0.45,0,0,0,0,0,0,18.48,18.48,0,6.03,35.08,18.48,18.48,0,100,,40,2.8,3.30,0.5,74,12,17,17,157,17,43,43,,,,,0.03,,,0.58,4.69,0.03,7.31,4.64,61.19,0.31,,,,,,,
David Montgomery,!,0,RB,5800,CHI,vs DET,23,22.25,8.1,17.4,13.4,0,0,0,0,0,0.776,19.86,78.25,0.55,24.78,0.134,4.92,3.84,29.3,0.08,0,0,0,0,0,0,18.38,18.38,0,6.23,34.58,18.38,18.38,0,100,,45,3.2,25.60,4.4,5,18,10,10,17,26,44,44,0.02,,,0.02,,,,16.13,63.55,0.45,3.43,2.68,20.47,0.06,,,,,,,
Jacoby Brissett,,0,QB,5100,MIA,vs IND,26,22.00,8.2,1.7,9.1,1,34.34,237.33,1.35,0.49,0.192,4.85,18.01,0.34,4.85,0,0,0,0,0,0,0,0,0,0,0,18.24,18.24,0,5.94,34.64,18.24,18.24,0,100,,20,3.6,15.76,3.1,23,23,18,18,65,33,45,45,21.15,12.78,135.3,0.3,1.75,0.63,67.08,3.17,11.77,0.22,,,,,,,,,,,
Jonathan Taylor,,0,RB,6300,IND,@ MIA,14,20.00,11.2,17.5,10.7,0,0,0,0,0,0.592,15.47,80.84,0.76,18.87,0.107,3.4,2.73,21.91,0.09,0,0,0,0,0,0,18.11,18.11,0,1.31,40.51,18.11,18.11,0,100,,45,2.9,23.40,3.7,6,13,11,11,24,21,46,46,,,,,,,,17.44,91.14,0.86,2.94,2.36,19.61,0.08,,,,,,,
Aaron Rodgers,,0,QB,6800,GB,vs PIT,9,25.50,8.8,25.5,16.4,1,30.98,238.82,2.18,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.95,17.95,0,4.75,35.55,17.95,17.95,0,100,,60,2.6,24.12,3.5,9,9,19,19,20,16,47,47,35.56,23.08,261.94,0.37,2.37,2.15,103.35,2.92,14.29,0.13,,,,,,,,,,,
Clyde Edwards-Helaire,,0,RB,5400,KC,@ PHI,20,30.50,6.2,13.6,11.6,0,0,0,0,0,0.6556,19.46,89.65,0.52,23.1,0.0883,3.64,2.6,19.89,0.2,0,0,0,0,0,0,17.87,17.87,0,8.57,30.27,17.87,17.87,0,100,,53,3.3,22.40,4.1,8,22,12,12,30,30,48,48,,,,,,,,11.93,54.96,0.32,3.25,2.32,18.39,0.18,,,,,,,
Marvin Jones,,0,WR,5400,JAC,@ CIN,8,19.50,8.8,14.8,16.1,0,0,0,0,0,0,0,0,0,10.95,0.2876,10.95,6.67,81.8,0.48,0,0,0,0,0,0,17.73,17.73,0,4.53,35.33,17.73,17.73,0,100,,31,3.3,5.40,1,65,25,18,18,138,30,49,49,,,,,,,,0.08,0.34,,6.85,4.17,57.81,0.42,,,,,,,
Matt Ryan,,0,QB,5400,ATL,vs WAS,10,22.75,8.4,19.5,15.4,1,37.88,291.15,1.7,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.72,17.72,0,5.12,34.52,17.72,17.72,0,100,,57,3.3,29.02,5.4,5,20,20,20,12,30,50,50,36.51,24.39,281.98,0.7,2.36,1.66,97.22,2.17,6.83,0.07,,,,,,,,,,,
Justin Fields,,0,QB,5200,CHI,vs DET,32,22.25,7.3,0,5,1,36.68,254.15,1.23,1.48,0.224,5.73,29.47,0.19,5.73,0,0,0,0,0,0,0,0,0,0,0,17.69,17.69,0,6.74,32.29,17.69,17.69,0,100,,40,3.4,8.26,1.6,31,22,21,21,115,32,51,51,21.29,12.43,147.21,0.86,2.93,0.64,70.3,6.5,33.43,0.21,,,,,,,,,,,
Cole Beasley,,0,WR,5400,BUF,vs HOU,24,32.00,7.5,13.9,14.1,0,0,0,0,0,0,0,0,0,10.5,0.256,10.5,7.47,75.36,0.44,0,0,0,0,0,0,17.65,17.65,0,6.4,32.65,17.65,17.65,0,100,,27,3.3,3.60,0.7,72,25,19,19,153,30,52,52,0.03,0.01,0.17,,,0.01,2.03,0.01,0.06,,5.86,4.17,43.64,0.24,,,,,,,
Terry McLaurin,,0,WR,6900,WAS,@ ATL,21,24.75,8.3,15.5,17,0,0,0,0,0,0,0,0,0,10.09,0.2521,10.09,6.29,86.11,0.44,0,0,0,0,0,0,17.54,17.54,0,5.09,34.14,17.54,17.54,0,100,,42,2.5,33.30,4.8,4,10,20,20,6,15,53,53,,,,,,,,0.08,1,,7.67,4.78,67.31,0.35,,,,,,,
Teddy Bridgewater,!,0,QB,5700,DEN,vs BAL,12,22.50,8.4,17.6,18.8,1,34.83,251.26,1.36,0.68,0.122,3.69,13.08,0.22,3.69,0,0,0,0,0,0,0,0,0,0,0,17.44,17.44,0,4.84,34.24,17.44,17.44,0,100,,38,3.1,6.80,1.2,33,17,22,22,129,27,54,54,26.83,18.02,194.4,0.52,2.05,0.95,83.02,2.87,10.17,0.17,,,,,,,,,,,
Justin Jefferson,,0,WR,7300,MIN,vs CLE,11,25.25,10.6,18.5,20.3,0,0,0,0,0,0,0,0,0,8.8,0.28,8.8,5.8,85.57,0.51,0,0,0,0,0,0,17.42,17.42,0,1.52,38.62,17.42,17.42,0,100,,46,2.4,20.40,2.8,14,6,21,21,41,11,55,55,0.11,0.06,0.97,,,,8.63,0.22,0.64,,9.11,6,91.5,0.53,,,,,,,
Jameis Winston,,0,QB,5600,NO,vs NYG,16,24.75,8.4,2.2,17.8,1,29.57,227.47,1.54,1,0.155,4.47,18.78,0.17,4.47,0,0,0,0,0,0,0,0,0,0,0,17.16,17.16,0,4.56,33.96,17.16,17.16,0,100,,55,3.1,13.04,2.3,25,18,23,23,77,28,56,56,32.89,20.16,253.47,1.11,2.27,1.64,89.31,3.41,14.33,0.13,,,,,,,,,,,
Amari Cooper,,0,WR,6000,DAL,vs CAR,27,27.75,11,15.6,17.6,0,0,0,0,0,0,0,0,0,9.44,0.2232,9.44,5.92,78.69,0.52,0,0,0,0,0,0,16.91,16.91,0,0.41,38.91,16.91,16.91,0,100,,25,2.8,15.90,2.7,22,19,22,22,63,24,57,57,,,,,,,,0.13,0.35,,7.61,4.77,64.37,0.43,,,,,,,
Trevor Lawrence,,0,QB,5400,JAC,@ CIN,14,19.50,5.7,0,15.1,1,38.07,269.42,1.43,1.02,0.1157,2.41,10.77,0.06,2.41,0,0,0,0,0,0,0,0,0,0,0,16.91,16.91,0,8.36,28.31,16.91,16.91,0,100,,58,3.1,17.76,3.3,22,20,24,24,54,30,57,57,35.47,21.47,218.47,0.95,1.79,0.79,75.67,4.11,18.37,0.11,,,,,,,,,,,
Derek Carr,,0,QB,5900,LV,@ LAC,5,24.25,7.7,19.2,26.8,1,32.6,255.22,1.44,0.63,0.111,2.96,8.91,0.07,2.96,0,0,0,0,0,0,0,0,0,0,0,16.65,16.65,0,5.1,32.05,16.65,16.65,0,100,,56,2.8,15.44,2.6,24,15,25,25,67,25,58,58,34.96,23.01,256.89,0.68,1.96,1.55,95.03,1.98,5.96,0.05,,,,,,,,,,,
Jared Goff,,0,QB,5200,DET,@ CHI,23,19.25,8.5,17.6,20.8,1,32.28,235.29,1.54,0.67,0.121,2.59,5.75,0.13,2.59,0,0,0,0,0,0,0,0,0,0,0,16.26,16.26,0,3.51,33.26,16.26,16.26,0,100,,51,3.1,18.76,3.6,18,22,26,26,49,32,59,59,34.99,22.23,254.85,0.73,2,1.49,92.07,2.18,4.84,0.11,,,,,,,,,,,
Kirk Cousins,,0,QB,6400,MIN,vs CLE,19,25.25,8,21.2,26.1,1,31.43,250.28,1.68,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.12,16.12,0,4.12,32.12,16.12,16.12,0,100,,59,2.5,11.12,1.7,27,11,27,27,89,20,60,60,34.17,23.08,263.14,0.66,2.08,1.81,101.54,2.13,6.82,0.15,,,,,,,,,,,
