,,,,,Game and Vegas,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,Proj. Fantasy Pts,,,Projected Values,,,,,,,,,Actual Data,,Position Rankings,,,,Overall Rankings,,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
Lamar Jackson,,0,QB,7400,BAL,vs CIN,10,26.00,11.3,22.9,26.6,1,27.31,214.15,1.59,0.67,0.2966,10.02,61.44,0.33,10.02,0,0,0,0,0,0,0,0,0,0,0,22.38,22.38,0,5.43,44.98,22.38,22.38,0,100,,48,3,23.08,3.1,8,5,4,4,22,9,11,11,23.8,15.11,178.2,0.58,2,1.46,92.35,10.52,64.51,0.35,,,,,,,,,,,
Tom Brady,,0,QB,7700,TB,vs CHI,18,29.50,8.5,23.2,27.5,1,40.7,315.21,2.17,0.6,0.11,2.3,3.07,0.15,2.3,0,0,0,0,0,0,0,0,0,0,0,21.9,21.9,0,9.15,38.9,21.9,21.9,0,100,,60,2.8,24.44,3.2,7,3,5,5,19,6,12,12,38.5,24.93,288.98,0.57,1.63,2.06,99.41,1.87,2.5,0.12,,,,,,,,,,,
Matthew Stafford,,0,QB,7100,LAR,vs DET,31,33.75,7.3,17.5,24.2,1,38.18,302.85,2.04,0.81,0.1274,3.95,13.5,0.07,3.95,0,0,0,0,0,0,0,0,0,0,0,21.23,21.23,0,10.28,35.83,21.23,21.23,0,100,,62,3,30.16,4.2,2,6,6,6,7,11,13,13,35.49,23.45,269.52,0.75,2.43,1.83,98.6,2.13,7.28,0.04,,,,,,,,,,,
Aaron Jones,,0,RB,7500,GB,vs WAS,24,28.00,11.3,18.3,19,0,0,0,0,0,0.541,15.87,80.97,0.8,21.11,0.1609,5.24,3.87,30.33,0.23,0,0,0,0,0,0,21.18,21.18,0,4.23,43.78,21.18,21.18,0,100,,33,2.8,8.90,1.2,31,4,3,3,98,8,14,14,,,,,,,,12.26,62.55,0.62,3.82,2.82,22.89,0.19,,,,,,,
Terry McLaurin,,0,WR,6900,WAS,@ GB,15,20.00,8.3,15.5,16.6,0,0,0,0,0,0,0,0,0,12.16,0.3515,12.16,7.58,103.63,0.53,0,0,0,0,0,0,21.12,21.12,0,8.67,37.72,21.12,21.12,0,100,,42,3.1,28.20,4.1,5,7,6,6,11,13,15,15,,,,,,,,0.08,1,,7.67,4.78,67.31,0.35,,,,,,,
Brandin Cooks,,0,WR,6000,HOU,@ ARI,19,13.75,9.2,16.1,16.8,0,0,0,0,0,0,0,0,0,11.41,0.418,11.41,7.36,95.1,0.55,0,0,0,0,0,0,20.17,20.17,0,6.37,38.57,20.17,20.17,0,100,,39,3.4,7.10,1.2,42,15,7,7,108,22,16,16,,,,,,,,0.37,2.04,0.01,7.55,4.87,69.13,0.37,,,,,,,
Aaron Rodgers,,0,QB,7500,GB,vs WAS,14,28.00,8.8,25.5,20.1,1,32.55,248.5,2.25,0.34,0.071,2.08,10.18,0.09,2.08,0,0,0,0,0,0,0,0,0,0,0,20.16,20.16,0,6.96,37.76,20.16,20.16,0,100,,60,2.7,24.66,3.3,5,4,7,7,17,8,17,17,35.56,23.08,261.94,0.37,2.37,2.15,103.35,2.92,14.29,0.13,,,,,,,,,,,
Chris Godwin,,0,WR,5900,TB,vs CHI,21,29.50,10,16,15.9,0,0,0,0,0,0,0,0,0,10.14,0.2492,10.14,7.11,94.12,0.59,0,0,0,0,0,0,20.06,20.06,0,5.06,40.06,20.06,20.06,0,100,,31,3.4,28.10,4.8,6,16,8,8,12,23,18,18,,,,,,,,0.08,0.47,0.01,6.83,4.79,65.35,0.4,,,,,,,
Derek Carr,,0,QB,6000,LV,vs PHI,12,24.50,7.7,19.2,21.4,1,36.38,285.42,1.77,0.71,0.1736,4.73,14.24,0.12,4.73,0,0,0,0,0,0,0,0,0,0,0,19.93,19.93,0,8.38,35.33,19.93,19.93,0,100,,56,3.3,23.02,3.8,9,10,8,8,23,22,19,19,34.96,23.01,256.89,0.68,1.96,1.55,95.03,1.98,5.96,0.05,,,,,,,,,,,
D'Andre Swift,,0,RB,6000,DET,@ LAR,9,16.75,7.8,15,18.2,0,0,0,0,0,0.485,10.33,48.49,0.51,17.86,0.2308,7.53,5.95,45.7,0.25,0,0,0,0,0,0,19.93,19.93,0,8.23,35.53,19.93,19.93,0,100,,52,3.3,28.40,4.7,2,14,4,4,9,22,19,19,0.04,,,,,,1.41,10.18,47.79,0.5,5.11,4.04,31.11,0.18,,,,,,,
Travis Kelce,,0,TE,7600,KC,@ TEN,5,31.50,9.3,23.5,19.1,0,0,0,0,0,0,0,0,0,10.12,0.2534,10.12,7.21,88.25,0.63,0,0,0,0,0,0,19.82,19.82,0,5.87,38.42,19.82,19.82,0,100,,47,2.6,13.50,1.8,7,1,1,1,63,7,20,20,0.03,0.02,0.05,0.01,,0.01,1.9,0.06,0.09,0.02,8.25,5.88,74.68,0.51,,,,,,,
Mike Evans,,0,WR,6500,TB,vs CHI,21,29.50,10.1,15.9,17.2,0,0,0,0,0,0,0,0,0,10.68,0.2625,10.68,6.17,92.05,0.74,0,0,0,0,0,0,19.82,19.82,0,4.67,40.02,19.82,19.82,0,100,,41,3,31.60,4.9,3,10,9,9,4,17,20,20,,,,,,,,0.01,0.09,,8.58,4.96,76.23,0.59,,,,,,,
Sam Darnold,,0,QB,5900,CAR,@ NYG,24,23.00,8,12.3,22.3,1,35.9,265.01,1.32,1.15,0.2375,6.3,24.85,0.39,6.3,0,0,0,0,0,0,0,0,0,0,0,19.56,19.56,0,7.56,35.56,19.56,19.56,0,100,,46,3.3,3.48,0.6,26,11,9,9,141,23,21,21,32.5,19.44,212.48,1.04,2.66,1.08,77.53,3.24,12.78,0.2,,,,,,,,,,,
Matt Ryan,,0,QB,5700,ATL,@ MIA,21,24.25,8.4,19.5,20,1,39.79,303.92,1.83,0.76,0.06,1.52,4.78,0.05,1.52,0,0,0,0,0,0,0,0,0,0,0,19.49,19.49,0,6.89,36.29,19.49,19.49,0,100,,57,3.4,22.44,3.9,10,13,10,10,24,25,22,22,36.51,24.39,281.98,0.7,2.36,1.66,97.22,2.17,6.83,0.07,,,,,,,,,,,
Jonathan Taylor,,0,RB,7100,IND,@ SF,16,19.25,11.2,17.5,20.4,0,0,0,0,0,0.563,14.93,78.02,0.74,18.95,0.1241,4.02,3.23,25.66,0.11,0,0,0,0,0,0,18.7,18.7,0,1.9,41.1,18.7,18.7,0,100,,45,2.6,22.00,3.1,5,5,5,5,26,11,23,23,,,,,,,,17.44,91.14,0.86,2.94,2.36,19.61,0.08,,,,,,,
Jimmy Garoppolo,,0,QB,5700,SF,vs IND,32,22.25,8.5,11.6,16.2,1,35.94,298.21,1.64,1.03,0.1129,2.5,3.28,0.11,2.5,0,0,0,0,0,0,0,0,0,0,0,18.45,18.45,0,5.7,35.45,18.45,18.45,0,100,,37,3.2,8.24,1.4,22,13,11,11,100,25,24,24,24.52,16.41,202.98,0.7,1.73,1.19,87.91,2.35,3.08,0.1,,,,,,,,,,,
Joe Burrow,,0,QB,6200,CIN,@ BAL,6,20.00,8.1,19.8,20,1,31.88,259.14,1.69,0.69,0.1136,2.79,10.38,0.15,2.79,0,0,0,0,0,0,0,0,0,0,0,18.37,18.37,0,6.22,34.57,18.37,18.37,0,100,,61,3,30.64,4.9,1,9,12,12,5,20,25,25,36.09,24.5,279.41,0.78,3.59,1.72,98.28,3.06,11.38,0.16,,,,,,,,,,,
Calvin Ridley,,0,WR,6600,ATL,@ MIA,23,24.25,9.6,20.4,14.6,0,0,0,0,0,0,0,0,0,9.15,0.23,9.15,5.97,81.33,0.66,0,0,0,0,0,0,18.06,18.06,0,3.66,37.26,18.06,18.06,0,100,,41,2.7,12.60,1.9,27,9,10,10,72,16,26,26,,,,,,,,0.27,1.27,,7.76,5.06,68.2,0.57,,,,,,,
Ryan Tannehill,,0,QB,6400,TEN,vs KC,26,27.50,7.5,21.9,17.7,1,31.22,246.51,1.56,0.78,0.106,2.89,13.14,0.23,2.89,0,0,0,0,0,0,0,0,0,0,0,18.01,18.01,0,6.76,33.01,18.01,18.01,0,100,,58,2.8,20.40,3.2,13,8,13,13,31,18,27,27,29.17,19.09,222.32,0.73,2.38,1.57,96.98,2.9,13.19,0.23,,,,,,,,,,,
Darrel Williams,,0,RB,5800,KC,@ TEN,30,31.50,7.2,5.4,9.6,0,0,0,0,0,0.5539,16.95,68.67,0.81,20.59,0.0913,3.64,2.86,24.26,0.13,0,0,0,0,0,0,17.79,17.79,0,6.99,32.19,17.79,17.79,0,100,,12,3.1,8.00,1.4,32,16,6,6,101,24,28,28,,,,,,,,5.85,23.7,0.28,2.43,1.91,16.81,0.09,,,,,,,
DeVonta Smith,,0,WR,5400,PHI,@ LV,12,23.50,7.4,0,11.9,0,0,0,0,0,0,0,0,0,10.48,0.274,10.48,6.24,87.68,0.42,0,0,0,0,0,0,17.53,17.53,0,6.43,32.33,17.53,17.53,0,100,,33,3.2,11.10,2.1,31,21,11,11,82,28,29,29,,,,,,,,,,,6.3,3.75,52.8,0.25,,,,,,,
Jameis Winston,,0,QB,5900,NO,@ SEA,13,23.25,8.4,2.2,18.9,1,28.94,219.29,1.65,0.98,0.163,4.77,20.05,0.18,4.77,0,0,0,0,0,0,0,0,0,0,0,17.48,17.48,0,4.88,34.28,17.48,17.48,0,100,,55,3,16.88,2.9,15,11,14,14,45,23,30,30,32.89,20.16,253.47,1.11,2.27,1.64,89.31,3.41,14.33,0.13,,,,,,,,,,,
JaMarr Chase,,0,WR,6200,CIN,@ BAL,6,20.00,12.2,0,19.7,0,0,0,0,0,0,0,0,0,8.34,0.2617,8.34,5.37,84.99,0.6,0,0,0,0,0,0,17.47,17.47,0,0,41.87,17.47,17.47,0,100,,36,2.8,37.10,6,2,13,12,12,2,20,31,31,,,,,,,,0.61,2.48,,8.17,5.26,87.22,0.65,,,,,,,
Leonard Fournette,,0,RB,6400,TB,vs CHI,4,29.50,8.9,13.2,16.3,0,0,0,0,0,0.6147,12.83,51.66,0.45,19.59,0.1661,6.76,5.29,35.99,0.1,0,0,0,0,0,0,17.36,17.36,0,4.01,35.16,17.36,17.36,0,100,,48,2.7,17.00,2.7,12,10,7,7,43,18,32,32,0.01,,,,,,0.56,15.76,63.46,0.55,4.92,3.85,27,0.07,,,,,,,
Hunter Renfrow,,0,WR,4800,LV,vs PHI,4,24.50,7.1,8.3,12.9,0,0,0,0,0,0,0,0,0,9.64,0.2651,9.64,7.18,72.52,0.46,0,0,0,0,0,0,17.19,17.19,0,6.54,31.39,17.19,17.19,0,100,,39,3.6,12.80,2.7,25,27,13,13,69,34,33,33,,,,,,,,0.06,0.06,,6.2,4.62,49.6,0.32,,,,,,,
Jaylen Waddle,,0,WR,5600,MIA,vs ATL,24,23.25,9.7,0,14.1,0,0,0,0,0,0,0,0,0,9.23,0.2766,9.23,6.65,70.36,0.49,0,0,0,0,0,0,16.63,16.63,0,2.08,36.03,16.63,16.63,0,100,,44,3,15.30,2.7,18,19,14,14,53,26,34,34,,,,,,,,0.17,0.61,0.06,9.17,6.61,69.72,0.5,,,,,,,
Taylor Heinicke,,0,QB,5200,WAS,@ GB,20,20.00,8.4,0,18,1,34.59,242.12,1.35,1.13,0.166,4.14,21.71,0.07,4.14,0,0,0,0,0,0,0,0,0,0,0,16.55,16.55,0,3.95,33.35,16.55,16.55,0,100,,29,3.2,22.22,4.3,11,18,15,15,25,30,35,35,25.09,16.23,170.41,0.82,1.86,0.95,87.05,3,15.73,0.05,,,,,,,,,,,
Michael Pittman,,0,WR,5100,IND,@ SF,7,19.25,7.9,8.4,13.5,0,0,0,0,0,0,0,0,0,9.61,0.2967,9.61,6.44,77.87,0.37,0,0,0,0,0,0,16.45,16.45,0,4.6,32.25,16.45,16.45,0,100,,35,3.2,23.50,4.6,8,24,15,15,21,31,36,36,,,,,,,,0.28,2.53,,6.63,4.44,56.13,0.25,,,,,,,
Teddy Bridgewater,,0,QB,5600,DEN,@ CLE,17,19.50,8.4,17.6,18,1,33.95,254.51,1.31,0.66,0.0922,2.33,8.26,0.14,2.33,0,0,0,0,0,0,0,0,0,0,0,16.43,16.43,0,3.83,33.23,16.43,16.43,0,100,,38,2.9,14.78,2.6,16,14,16,16,56,26,37,37,26.83,18.02,194.4,0.52,2.05,0.95,83.02,2.87,10.17,0.17,,,,,,,,,,,
Justin Fields,,0,QB,5300,CHI,@ TB,27,17.50,7.3,0,7.7,1,30.93,214.62,1.06,1.25,0.2985,6.71,34.51,0.22,6.71,0,0,0,0,0,0,0,0,0,0,0,16.35,16.35,0,5.4,30.95,16.35,16.35,0,100,,40,3.1,6.16,1.2,23,17,17,17,116,29,38,38,21.29,12.43,147.21,0.86,2.93,0.64,70.3,6.5,33.43,0.21,,,,,,,,,,,
Mac Jones,,0,QB,5300,NE,vs NYJ,15,24.75,6,0,14.1,1,32.1,241.3,1.48,0.91,0.127,3.46,8.93,0.13,3.46,0,0,0,0,0,0,0,0,0,0,0,16.34,16.34,0,7.34,28.34,16.34,16.34,0,100,,58,3.1,25.18,4.8,4,17,18,18,15,29,39,39,30.48,20.48,219.57,0.86,1.71,1.29,92.01,2.86,7.38,,,,,,,,,,,,
Carson Wentz,,0,QB,5400,IND,@ SF,5,19.25,7.1,18.4,17.9,1,32.4,230.14,1.51,0.63,0.113,3,12.18,0.08,3,0,0,0,0,0,0,0,0,0,0,0,16.31,16.31,0,5.66,30.51,16.31,16.31,0,100,,62,3,21.30,3.9,12,16,19,19,28,28,40,40,35.22,22.07,238.94,0.68,2.48,1.67,90.29,3.67,14.9,0.1,,,,,,,,,,,
Daniel Jones,,0,QB,5400,NYG,vs CAR,3,20.00,8.9,14,18.7,1,30.79,210.16,1.37,0.7,0.1982,4.1,22.81,0.11,4.1,0,0,0,0,0,0,0,0,0,0,0,16.13,16.13,0,2.78,33.93,16.13,16.13,0,100,,46,3,17.52,3.2,14,16,20,20,40,28,41,41,33.08,20.88,219.05,0.75,2.83,1.2,85.13,4.7,26.15,0.13,,,,,,,,,,,
A.J. Brown,,0,WR,6300,TEN,vs KC,10,27.50,10.4,18.7,9.1,0,0,0,0,0,0,0,0,0,7.67,0.2458,7.67,4.8,75.32,0.63,0,0,0,0,0,0,16.11,16.11,0,0.51,36.91,16.11,16.11,0,100,,34,2.6,30.30,4.8,4,12,16,16,6,19,42,42,0.04,,,,,,1.58,0.12,1.58,0.02,6.9,4.32,70.12,0.52,,,,,,,
Cordarrelle Patterson,,0,RB,6300,ATL,@ MIA,19,24.25,6.8,4.1,20.4,0,0,0,0,0,0.353,8.95,41.11,0.29,15.08,0.154,6.13,4.53,42.59,0.23,0,0,0,0,0,0,16.02,16.02,0,5.82,29.62,16.02,16.02,0,100,,3,2.5,14.10,2.2,20,11,8,8,61,19,43,43,0.01,,,,,,0.4,3.37,15.48,0.11,2.69,1.99,18.48,0.1,,,,,,,
Chase Edmonds,,0,RB,5600,ARI,vs HOU,32,33.75,7.7,10.5,12.7,0,0,0,0,0,0.3221,10.32,47.2,0.26,16.8,0.1569,6.48,4.97,35.65,0.2,0,0,0,0,0,0,16.02,16.02,0,4.47,31.42,16.02,16.02,0,100,,9,2.9,10.00,1.8,27,18,8,8,91,26,43,43,,,,,,,,6.28,28.72,0.16,3.04,2.33,17,0.09,,,,,,,
Courtland Sutton,,0,WR,6400,DEN,@ CLE,13,19.50,7.1,9.6,16.4,0,0,0,0,0,0,0,0,0,10.01,0.2949,10.01,5.65,83.27,0.33,0,0,0,0,0,0,15.96,15.96,0,5.31,30.16,15.96,15.96,0,100,,34,2.5,11.80,1.8,29,11,17,17,78,18,44,44,0.04,0.04,1.02,,,,6.84,0.09,0.4,,6.34,3.58,54.51,0.23,,,,,,,
Jared Goff,,0,QB,5000,DET,@ LAR,4,16.75,8.5,17.6,16.4,1,32.61,238.26,1.5,0.68,0.091,1.94,4.31,0.1,1.94,0,0,0,0,0,0,0,0,0,0,0,15.88,15.88,0,3.13,32.88,15.88,15.88,0,100,,51,3.2,13.02,2.6,17,20,21,21,67,32,45,45,34.99,22.23,254.85,0.73,2,1.49,92.07,2.18,4.84,0.11,,,,,,,,,,,
Joe Mixon,,0,RB,6500,CIN,@ BAL,3,20.00,8.9,17.3,16.2,0,0,0,0,0,0.7211,17.7,72.22,0.49,21.18,0.1091,3.48,2.86,20.84,0.1,0,0,0,0,0,0,15.71,15.71,0,2.36,33.51,15.71,15.71,0,100,,44,2.4,11.90,1.8,24,9,9,9,76,17,46,46,0.01,0.01,0.08,,,0.01,1.82,16.9,68.96,0.47,3.36,2.76,21.08,0.11,,,,,,,
Antonio Gibson,,0,RB,5900,WAS,@ GB,6,20.00,7.9,14.4,13.6,0,0,0,0,0,0.592,14.77,61.26,0.6,18.68,0.113,3.91,3.14,21.57,0.1,0,0,0,0,0,0,15.62,15.62,0,3.77,31.42,15.62,15.62,0,100,,47,2.6,7.60,1.3,33,15,10,10,105,23,47,47,,,,,,,,14.24,59.06,0.58,3.36,2.7,19.09,0.09,,,,,,,
Tua Tagovailoa,,0,QB,5500,MIA,vs ATL,22,23.25,9.3,14.7,14.4,1,33.38,227.77,1.51,0.75,0.0638,1.61,4.73,0.12,1.61,0,0,0,0,0,0,0,0,0,0,0,15.59,15.59,0,1.64,34.19,15.59,15.59,0,100,,42,2.8,28.54,5.2,3,15,22,22,8,27,48,48,30.44,20.32,208.24,0.68,1.76,1.36,89.78,3.24,9.52,0.24,,,,,,,,,,,
Myles Gaskin,,0,RB,5300,MIA,vs ATL,22,23.25,8.2,16.6,11.2,0,0,0,0,0,0.393,9.94,37.65,0.2,16.4,0.1936,6.46,5.13,35.7,0.32,0,0,0,0,0,0,15.59,15.59,0,3.29,31.99,15.59,15.59,0,100,,25,2.9,17.70,3.3,9,21,11,11,38,29,48,48,,,,,,,,10.32,39.09,0.21,3.59,2.85,19.79,0.18,,,,,,,
Chuba Hubbard,,0,RB,6100,CAR,@ NYG,18,23.00,6.1,0,9.7,0,0,0,0,0,0.653,17.32,61.56,0.49,22.29,0.1384,4.97,3.35,20.95,0.13,0,0,0,0,0,0,15.32,15.32,0,6.17,27.52,15.32,15.32,0,100,,27,2.5,9.60,1.6,29,13,12,12,94,21,49,49,,,,,,,,10.18,36.18,0.29,2.18,1.47,10.24,0.06,,,,,,,
Darrell Henderson,,0,RB,6600,LAR,vs DET,20,33.75,7.2,8.9,18.2,0,0,0,0,0,0.5228,16.2,71.64,0.51,19.45,0.085,3.25,2.32,17.21,0.16,0,0,0,0,0,0,15.23,15.23,0,4.43,29.63,15.23,15.23,0,100,,24,2.3,9.40,1.4,30,8,13,13,95,16,50,50,,,,,,,,9.54,42.19,0.3,2.16,1.54,11.92,0.11,,,,,,,
DK Metcalf,,0,WR,6800,SEA,vs NO,29,18.25,8.8,18.5,18,0,0,0,0,0,0,0,0,0,8.37,0.3052,8.37,5.14,67.57,0.54,0,0,0,0,0,0,15.14,15.14,0,1.94,32.74,15.14,15.14,0,100,,42,2.2,17.60,2.6,13,8,18,18,39,14,51,51,,,,,,,,0.06,0.31,,7.33,4.5,65.85,0.59,,,,,,,
DeAndre Hopkins,,0,WR,7700,ARI,vs HOU,18,33.75,8.8,19.4,16.5,0,0,0,0,0,0,0,0,0,8.5,0.2059,8.5,5.32,67.58,0.48,0,0,0,0,0,0,14.96,14.96,0,1.76,32.56,14.96,14.96,0,100,,53,1.9,18.30,2.4,12,4,19,19,36,6,52,52,0.03,0.01,0.05,0.01,,0.01,0.28,0.04,0.11,,10.14,6.35,81.95,0.55,,,,,,,
Damien Harris,,0,RB,5700,NE,vs NYJ,23,24.75,7.1,10,11.4,0,0,0,0,0,0.7219,19.66,93.09,0.94,19.66,0,0,0,0,0,0,0,0,0,0,0,14.95,14.95,0,4.3,29.15,14.95,14.95,0,100,,42,2.6,28.30,5,3,17,14,14,10,25,53,53,,,,,,,,12.97,61.41,0.62,1.14,0.97,7.48,,,,,,,,
Geno Smith,,0,QB,5100,SEA,vs NO,19,18.25,7.7,1.1,10.9,1,27.42,211.43,1.55,0.43,0.0655,1.37,4.42,0.04,1.37,0,0,0,0,0,0,0,0,0,0,0,14.91,14.91,0,3.36,30.31,14.91,14.91,0,100,,0,2.9,11.88,2.3,19,19,23,23,77,31,54,54,15.88,10.81,108.63,0.25,1.75,0.69,75.28,2.19,7.06,0.06,,,,,,,,,,,
Zach Wilson,,0,QB,5100,NYJ,@ NE,9,17.75,6.3,0,11.6,1,32.8,217.78,1.06,0.95,0.0892,1.93,12.32,0.27,1.93,0,0,0,0,0,0,0,0,0,0,0,14.85,14.85,0,5.4,27.45,14.85,14.85,0,100,,50,2.9,2.04,0.4,29,19,24,24,156,31,55,55,29.46,16.38,179.54,0.85,3.38,0.69,71.08,2.23,14.23,0.31,,,,,,,,,,,
Robby Anderson,,0,WR,4800,CAR,@ NYG,28,23.00,7.9,14.6,7.7,0,0,0,0,0,0,0,0,0,9.93,0.2767,9.93,5.62,66.8,0.42,0,0,0,0,0,0,14.82,14.82,0,2.97,30.62,14.82,14.82,0,100,,29,3.1,4.40,0.9,52,27,20,20,132,34,56,56,,,,,,,,0.17,1.03,,6.75,3.82,50.6,0.31,,,,,,,
Cardinals,,0,DST,3100,ARI,vs HOU,27,13.75,6.4,6.5,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.73,1.32,1.54,0,0.22,13.75,14.77,14.77,0,5.17,27.57,14.77,14.77,0,100,,7,4.8,11.00,3.5,5,7,1,1,83,51,57,57,,,,,,,,,,,,,,,2.53,0.75,0.65,0.15,0.04,23.12,350.63
Henry Ruggs III,,0,WR,5500,LV,vs PHI,4,24.50,6.9,6.9,13.4,0,0,0,0,0,0,0,0,0,7.21,0.1983,7.21,4.56,79.05,0.34,0,0,0,0,0,0,14.51,14.51,0,4.16,28.31,14.51,14.51,0,100,,22,2.6,7.10,1.3,42,20,21,21,108,27,58,58,,,,,,,,0.6,3.25,,3.95,2.5,46.05,0.2,,,,,,,
D'Ernest Johnson,,0,RB,4800,CLE,vs DEN,15,20.50,7.6,1.3,0.9,0,0,0,0,0,0.6516,18.69,98.31,0.41,20.19,0.0574,1.5,1.17,8.73,0.03,0,0,0,0,0,0,14.51,14.51,0,3.11,29.71,14.51,14.51,0,100,,0,3,27.80,5.8,4,26,15,15,13,34,58,58,,,,,,,,5.96,31.35,0.13,1.57,1.22,9.65,,,,,,,,
