"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. DIFF ","% OVER ","OPPORTUNITY ","EFFICIENCY "
"35","Cedric Tillman",CLE,"vs. LAC","4 out of 5 stars","C+","11.0","+0.6","23% (4/17)","7%","Good"
"36","Romeo Doubs",GB,"vs. DET","2 out of 5 stars","C+","10.9","+0.8","43% (7/16)","12%","Poor"
"37","DeAndre Hopkins",KC,"vs. TB","3 out of 5 stars","C+","10.9","-2.1","25% (4/16)","7%","Great"
"38","Keenan Allen",CHI,"at ARI","5 out of 5 stars","C","10.9","+0.5","36% (4/11)","10%","Average"
"39","Keon Coleman",BUF,"vs. MIA","3 out of 5 stars","C","10.8","+1.0","62% (5/8)","19%","Poor"
"40","Jerry Jeudy",CLE,"vs. LAC","4 out of 5 stars","C","10.8","-1.9","37% (6/16)","12%","Bad"
"41","Wan'Dale Robinson",NYG,"vs. WAS","4 out of 5 stars","C","10.8","+0.7","50% (8/16)","12%","Average"
"42","Jordan Addison",MIN,"vs. IND","3 out of 5 stars","C","10.6","-0.9","15% (2/13)","9%","Good"
"43","Xavier Legette",CAR,"vs. NO","3 out of 5 stars","C","10.3","-0.8","50% (4/8)","13%","Good"
"44","Jalen McMillan",TB,"at KC","3 out of 5 stars","C","10.1","-1.3","33% (2/6)","9%","Bad"
"45","Rome Odunze",CHI,"at ARI","5 out of 5 stars","C","9.3","-1.3","14% (1/7)","13%","Bad"
"46","Elijah Moore",CLE,"vs. LAC","4 out of 5 stars","C","9.3","-0.2","41% (7/17)","6%","Bad"
"47","Jalen Tolbert",DAL,"at ATL","4 out of 5 stars","C","9.1","+1.0","37% (6/16)","15%","Poor"
"48","DeMario Douglas",NE,"at TEN","2 out of 5 stars","C-","9.1","-1.1","35% (5/14)","4%","Great"
"49","Michael Wilson",ARI,"vs. CHI","2 out of 5 stars","C-","8.9","-0.2","50% (6/12)","17%","Average"
"50","Jalen Coker",CAR,"vs. NO","3 out of 5 stars","C-","8.8","+4.4","75% (3/4)","12%","Poor"
"51","Christian Watson",GB,"vs. DET","2 out of 5 stars","C-","8.7","0.0","41% (5/12)","16%","Poor"
"52","Rashod Bateman",BAL,"vs. DEN","3 out of 5 stars","D+","8.6","+1.0","50% (8/16)","6%","Great"
"53","Tre Tucker",LV,"at CIN","3 out of 5 stars","D+","8.5","+1.1","37% (6/16)","8%","Good"
"54","Noah Brown",WAS,"at NYG","3 out of 5 stars","D+","8.1","+2.4","50% (7/14)","4%","Average"
"55","Joshua Palmer",LAC,"at CLE","3 out of 5 stars","D","8.0","-0.8","25% (2/8)","8%","Bad"
"56","Darius Slayton",NYG,"vs. WAS","4 out of 5 stars","D","8.0","+2.3","50% (8/16)","6%","Average"
"57","Ray-Ray McCloud III",ATL,"vs. DAL","3 out of 5 stars","D","7.7","-1.0","44% (4/9)","5%","Bad"
"58","Diontae Johnson",BAL,"vs. DEN","3 out of 5 stars","D","7.6","-0.6","50% (8/16)","0%","Bad"
"59","Parker Washington",JAC,"at PHI","2 out of 5 stars","D","7.6","-0.8","25% (3/12)","3%","Bad"
"60","Trey Palmer",TB,"at KC","3 out of 5 stars","D","7.4","-0.5","26% (4/15)","2%","Great"
"61","Andrei Iosivas",CIN,"vs. LV","4 out of 5 stars","D","7.4","-0.4","37% (6/16)","7%","Good"
"62","Quentin Johnston",LAC,"at CLE","3 out of 5 stars","D-","7.4","0.0","42% (6/14)","12%","Great"
"63","Alec Pierce",IND,"at MIN","2 out of 5 stars","D","7.4","+1.9","37% (6/16)","6%","Great"
"64","Sterling Shepard",TB,"at KC","3 out of 5 stars","F","7.4","-0.1","33% (4/12)","5%","Average"
"65","Gabe Davis",JAC,"at PHI","2 out of 5 stars","F","7.3","-2.3","18% (3/16)","17%","Bad"
"66","Dontayvion Wicks",GB,"vs. DET","2 out of 5 stars","F","7.0","+1.0","60% (9/15)","12%","Good"
"67","Demarcus Robinson",LAR,"at SEA","3 out of 5 stars","D-","7.0","+3.2","61% (8/13)","12%","Average"
"68","Jalen Nailor",MIN,"vs. IND","3 out of 5 stars","F","6.9","+0.8","50% (5/10)","12%","Good"
"69","Jake Bobo",SEA,"vs. LAR","2 out of 5 stars","F","6.7","-0.7","35% (6/17)","1%","Bad"
"70","Nick Westbrook-Ikhine",TEN,"vs. NE","4 out of 5 stars","F","6.7","+0.2","33% (4/12)","30%","Good"
"71","Kalif Raymond",DET,"at GB","2 out of 5 stars","F","6.6","+1.9","60% (9/15)","4%","Great"
"72","Tyler Boyd",TEN,"vs. NE","4 out of 5 stars","F","6.6","-1.0","25% (4/16)","13%","Bad"
"73","John Metchie III",HOU,"at NYJ","2 out of 5 stars","F","6.5","-1.0","21% (3/14)","7%","Bad"
"74","Troy Franklin",DEN,"at BAL","4 out of 5 stars","F","6.5","-0.3","28% (2/7)","9%","Bad"
"75","Xavier Hutchinson",HOU,"at NYJ","2 out of 5 stars","F","6.5","-0.9","31% (5/16)","2%","Bad"
"76","DJ Turner",LV,"at CIN","3 out of 5 stars","F","6.3","+0.6","33% (3/9)","6%","Great"
"77","Kayshon Boutte",NE,"at TEN","2 out of 5 stars","F","6.3","+1.8","66% (6/9)","9%","Poor"
"78","Robert Woods",HOU,"at NYJ","2 out of 5 stars","F","6.2","-1.7","21% (3/14)","1%","Bad"
"79","Tim Patrick",DET,"at GB","2 out of 5 stars","F","6.2","+0.2","50% (3/6)","5%","Bad"
"80","Adonai Mitchell",IND,"at MIN","2 out of 5 stars","F","6.2","-2.8","12% (1/8)","5%","Bad"
"81","Mason Tipton",NO,"at CAR","2 out of 5 stars","F","6.1","-0.2","28% (2/7)","3%","Bad"
"82","Greg Dortch",ARI,"vs. CHI","2 out of 5 stars","F","5.9","+0.4","37% (6/16)","9%","Bad"
"83","KaVontae Turpin",DAL,"at ATL","4 out of 5 stars","F","5.8","+1.3","40% (6/15)","10%","Bad"
"84","Mike Williams",NYJ,"vs. HOU","4 out of 5 stars","F","5.6","-3.1","25% (2/8)","9%","Bad"
"85","Tutu Atwell",LAR,"at SEA","3 out of 5 stars","F","5.6","-0.9","35% (5/14)","6%","Bad"
"86","Devaughn Vele",DEN,"at BAL","4 out of 5 stars","F","5.5","+2.4","50% (2/4)","3%","Bad"
"87","Olamide Zaccheaus",WAS,"at NYG","3 out of 5 stars","F","5.5","-0.1","25% (4/16)","2%","Bad"
"88","Justin Watson",KC,"vs. TB","3 out of 5 stars","F","5.1","0.0","33% (5/15)","2%","Bad"
"89","Kendrick Bourne",NE,"at TEN","2 out of 5 stars","F","4.8","-3.5","0% (0/4)","6%","Bad"
"90","Lil'Jordan Humphrey",DEN,"at BAL","4 out of 5 stars","F","4.6","+1.1","60% (9/15)","6%","Bad"
"91","Jermaine Burton",CIN,"vs. LV","4 out of 5 stars","F","4.6","+0.3","28% (2/7)","6%","Bad"
"92","Luke McCaffrey",WAS,"at NYG","3 out of 5 stars","F","4.6","-1.8","12% (1/8)","3%","Bad"
"93","David Moore",CAR,"vs. NO","3 out of 5 stars","F","4.5","+1.0","50% (6/12)","7%","Bad"
"94","Jalen Brooks",DAL,"at ATL","4 out of 5 stars","F","4.4","-0.5","33% (3/9)","3%","Bad"
"95","Mecole Hardman Jr.",KC,"vs. TB","3 out of 5 stars","F","4.2","+0.3","22% (2/9)","6%","Average"
"96","Jonathan Mingo",CAR,"vs. NO","3 out of 5 stars","F","4.1","-3.0","11% (2/17)","5%","Bad"
"97","Nelson Agholor",BAL,"vs. DEN","3 out of 5 stars","F","4.1","+0.2","31% (5/16)","4%","Average"
"98","Jahan Dotson",PHI,"vs. JAC","3 out of 5 stars","F","4.0","-2.6","26% (4/15)","3%","Bad"
"99","Simi Fehoko",LAC,"at CLE","3 out of 5 stars","F","4.0","-0.9","18% (2/11)","11%","Bad"
"100","Ja'Lynn Polk",NE,"at TEN","2 out of 5 stars","F","3.9","-2.6","28% (2/7)","7%","Average"
"101","Zay Jones",ARI,"vs. CHI","2 out of 5 stars","F","3.8","-0.9","10% (1/10)","0%","N/A"
"102","Dyami Brown",WAS,"at NYG","3 out of 5 stars","F","3.7","-0.3","25% (4/16)","4%","Average"
"103","DJ Chark Jr.",LAC,"at CLE","3 out of 5 stars","F","3.6","+1.3","37% (3/8)","0%","N/A"
"104","Allen Robinson II",DET,"at GB","2 out of 5 stars","F","3.6","-0.5","36% (4/11)","0%","N/A"
"105","Marvin Mims Jr.",DEN,"at BAL","4 out of 5 stars","F","3.5","-1.7","26% (4/15)","2%","Bad"
"106","Mack Hollins",BUF,"vs. MIA","3 out of 5 stars","F","3.4","-0.3","33% (3/9)","6%","Great"
"107","Odell Beckham Jr.",MIA,"at BUF","3 out of 5 stars","F","3.2","0.0","36% (4/11)","5%","Bad"
"108","Tim Jones",JAC,"at PHI","2 out of 5 stars","F","2.8","-0.5","12% (1/8)","0%","Bad"
"109","Rakim Jarrett",TB,"at KC","3 out of 5 stars","F","2.5","+0.9","40% (2/5)","6%","Bad"
"110","Bo Melton",GB,"vs. DET","2 out of 5 stars","F","2.5","+1.5","45% (5/11)","4%","Bad"
"111","Cedrick Wilson Jr.",NO,"at CAR","2 out of 5 stars","F","2.3","0.0","40% (6/15)","2%","Great"
"112","Ryan Miller",TB,"at KC","3 out of 5 stars","F","2.2","-","-","3%","Bad"
"113","Curtis Samuel",BUF,"vs. MIA","3 out of 5 stars","F","2.1","-1.9","28% (4/14)","4%","Bad"
"114","Laviska Shenault Jr.",SEA,"vs. LAR","2 out of 5 stars","F","1.8","-0.7","33% (3/9)","0%","N/A"
"115","Jordan Whittington",LAR,"at SEA","3 out of 5 stars","F","1.8","-0.5","50% (3/6)","2%","Bad"
"116","Tyler Johnson",LAR,"at SEA","3 out of 5 stars","F","1.7","-1.0","28% (2/7)","7%","Bad"
"117","Trenton Irwin",CIN,"vs. LV","4 out of 5 stars","F","1.6","-1.0","21% (3/14)","20%","Bad"
"118","Malik Washington",MIA,"at BUF","3 out of 5 stars","F","1.4","-0.4","50% (1/2)","3%","Bad"
"119","Xavier Gipson",NYJ,"vs. HOU","4 out of 5 stars","F","1.2","+0.3","47% (8/17)","7%","Good"
"120","K.J. Osborn",NE,"at TEN","2 out of 5 stars","F","1.2","-1.0","21% (3/14)","5%","Great"
"121","Ashton Dulin",IND,"at MIN","2 out of 5 stars","F","1.1","+0.4","25% (2/8)","4%","Average"
"122","Marquez Valdes-Scantling",NO,"at CAR","2 out of 5 stars","F","1.1","-2.3","7% (1/14)","0%","N/A"
"123","Alex Bachman",LV,"at CIN","3 out of 5 stars","F","1.0","-0.9","33% (1/3)","1%","Bad"
"124","Equanimeous St. Brown",NO,"at CAR","2 out of 5 stars","F","0.9","-1.1","16% (1/6)","0%","N/A"
"125","KhaDarel Hodge",ATL,"vs. DAL","3 out of 5 stars","F","0.8","0.0","20% (3/15)","8%","Great"
"126","Elijah Cooks",JAC,"at PHI","2 out of 5 stars","F","0.7","+0.2","50% (1/2)","0%","N/A"
"127","DeAndre Carter",CHI,"at ARI","5 out of 5 stars","F","0.6","+0.1","33% (4/12)","4%","Bad"
"128","Isaiah Williams",DET,"at GB","2 out of 5 stars","F","0.6","-0.5","0% (0/1)","1%","Bad"
"129","Dareke Young",SEA,"vs. LAR","2 out of 5 stars","F","0.6","-0.7","0% (0/5)","0%","Bad"
"130","Kristian Wilkerson",LV,"at CIN","3 out of 5 stars","F","0.5","+0.5","20% (1/5)","18%","Great"
"131","Tyquan Thornton",NE,"at TEN","2 out of 5 stars","F","0.5","-1.8","28% (4/14)","6%","Bad"
"132","Adam Thielen",CAR,"vs. NO","3 out of 5 stars","F","0.4","-2.8","25% (3/12)","4%","Great"
"133","River Cracraft",MIA,"at BUF","3 out of 5 stars","F","0.4","-1.3","16% (1/6)","0%","N/A"
"134","Javon Baker",NE,"at TEN","2 out of 5 stars","F","0.3","-0.1","0% (0/2)","0%","N/A"
"135","Derius Davis",LAC,"at CLE","3 out of 5 stars","F","0.3","-1.2","21% (3/14)","4%","Bad"
"136","Tee Higgins",CIN,"vs. LV","4 out of 5 stars","F","0.3","+2.7","45% (5/11)","14%","Average"
"137","Ainias Smith",PHI,"vs. JAC","3 out of 5 stars","F","0.2","-","-","0%","N/A"
"138","Jha'Quan Jackson",TEN,"vs. NE","4 out of 5 stars","F","0.2","-0.7","0% (0/1)","0%","N/A"
"139","Steven Sims Jr.",HOU,"at NYJ","2 out of 5 stars","F","0.2","-1.7","0% (0/2)","0%","Bad"
"140","Charlie Jones",CIN,"vs. LV","4 out of 5 stars","F","0.1","-0.8","9% (1/11)","0%","Bad"
"141","Brandon Powell",MIN,"vs. IND","3 out of 5 stars","F","0.1","-0.5","20% (3/15)","2%","Bad"
"142","Jaelon Darden",CLE,"vs. LAC","4 out of 5 stars","F","0.0","-","-","0%","N/A"
"143","Trent Sherfield Sr.",MIN,"vs. IND","3 out of 5 stars","F","0.0","-0.4","26% (4/15)","1%","Great"
"144","Malachi Corley",NYJ,"vs. HOU","4 out of 5 stars","F","0.0","-0.9","0% (0/5)","1%","Bad"
"145","Jalen Reagor",LAC,"at CLE","3 out of 5 stars","F","0.0","-","-","7%","Bad"
"146","Dee Eskridge",MIA,"at BUF","3 out of 5 stars","F","0.0","-0.4","0% (0/3)","0%","N/A"
"147","Jalin Hyatt",NYG,"vs. WAS","4 out of 5 stars","F","0.0","-2.5","6% (1/16)","2%","Bad"
"148","Bryce Oliver",TEN,"vs. NE","4 out of 5 stars","F","0.0","-","-","0%","N/A"
"149","Johnny Wilson",PHI,"vs. JAC","3 out of 5 stars","F","0.0","-1.5","0% (0/7)","3%","Bad"
"150","Ramel Keyton",LV,"at CIN","3 out of 5 stars","F","0.0","-","-","0%","N/A"
"151","Zach Pascal",ARI,"vs. CHI","2 out of 5 stars","F","0.0","-1.7","0% (0/8)","0%","N/A"
"152","Ryan Flournoy",DAL,"at ATL","4 out of 5 stars","F","0.0","-0.8","0% (0/3)","0%","Bad"
"153","Montrell Washington",KC,"vs. TB","3 out of 5 stars","F","0.0","-","-","0%","N/A"
"154","Mason Kinsey",TEN,"vs. NE","4 out of 5 stars","F","0.0","-1.4","0% (0/2)","0%","N/A"
