"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"73","Blake Whiteheart",CLE,"at WAS","2 out of 5 stars","F","0.1","-","-","27%","Good"
"74","Ross Dwelley",ATL,"vs. TB","2 out of 5 stars","F","0.1","-0.3","20% (1/5)","0%","N/A"
"75","Marcedes Lewis",CHI,"vs. CAR","4 out of 5 stars","F","0.0","+0.1","16% (2/12)","0%","N/A"
"76","Josiah Deguara",JAC,"vs. IND","4 out of 5 stars","F","0.0","-1.0","25% (2/8)","6%","Bad"
"77","Brevyn Spann-Ford",DAL,"at PIT","4 out of 5 stars","F","0.0","-1.8","0% (0/3)","0%","N/A"
"78","Quintin Morris",BUF,"at HOU","2 out of 5 stars","F","0.0","-0.4","20% (1/5)","0%","N/A"
"79","Jake Tonges",SF,"vs. ARI","3 out of 5 stars","F","0.0","-1.5","0% (0/2)","0%","N/A"
"80","Ko Kieft",TB,"at ATL","2 out of 5 stars","F","0.0","+0.5","16% (1/6)","0%","N/A"
"81","Robert Tonyan",MIN,"vs. NYJ","3 out of 5 stars","F","0.0","-0.3","33% (4/12)","0%","N/A"
"82","Jody Fortson Jr.",KC,"vs. NO","4 out of 5 stars","F","0.0","-","-","0%","N/A"
"83","Jaheim Bell",NE,"vs. MIA","2 out of 5 stars","F","0.0","-0.5","0% (0/1)","0%","N/A"
"84","Andrew Beck",GB,"at LAR","5 out of 5 stars","F","0.0","-","-","0%","N/A"
"85","Brady Russell",SEA,"vs. NYG","3 out of 5 stars","F","0.0","-0.6","0% (0/1)","0%","N/A"
"86","John Samuel Shenker",LV,"at DEN","3 out of 5 stars","F","0.0","-","-","0%","N/A"
"87","Dallin Holker",NO,"at KC","4 out of 5 stars","F","0.0","-0.9","0% (0/1)","0%","N/A"
"88","Brenden Bates",NYJ,"at MIN","3 out of 5 stars","F","0.0","-","-","0%","N/A"
