"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. DIFF ","% OVER ","OPPORTUNITY ","EFFICIENCY "
"84","Tim Patrick",DET,"vs. JAC","3 out of 5 stars","F","3.8","-0.6","37% (3/8)","4%","Bad"
"85","Ja'Lynn Polk",NE,"vs. LAR","3 out of 5 stars","F","3.6","-1.9","33% (3/9)","7%","Average"
"86","Van Jefferson",PIT,"vs. BAL","3 out of 5 stars","F","3.5","-1.1","20% (3/15)","8%","Bad"
"87","Jalen Brooks",DAL,"vs. HOU","4 out of 5 stars","F","3.5","-0.6","27% (3/11)","5%","Bad"
"88","Malik Washington",MIA,"vs. LV","3 out of 5 stars","F","3.4","+1.9","50% (2/4)","2%","Great"
"89","Justin Watson",KC,"at BUF","4 out of 5 stars","F","3.4","+0.1","37% (6/16)","2%","Bad"
"90","Odell Beckham Jr.",MIA,"vs. LV","3 out of 5 stars","F","3.4","-1.1","18% (2/11)","3%","Bad"
"91","Luke McCaffrey",WAS,"at PHI","2 out of 5 stars","F","3.4","-1.7","20% (2/10)","2%","Bad"
"92","Nelson Agholor",BAL,"at PIT","3 out of 5 stars","F","3.1","+0.9","43% (7/16)","4%","Great"
"93","Tutu Atwell",LAR,"at NE","3 out of 5 stars","F","3.1","-0.8","33% (5/15)","5%","Bad"
"94","Xavier Gipson",NYJ,"vs. IND","4 out of 5 stars","F","3.0","0.0","35% (6/17)","5%","Good"
"95","KaVontae Turpin",DAL,"vs. HOU","4 out of 5 stars","F","3.0","+0.6","31% (5/16)","10%","Bad"
"96","Robert Woods",HOU,"at DAL","4 out of 5 stars","F","3.0","-1.3","26% (4/15)","2%","Bad"
"97","Jahan Dotson",PHI,"vs. WAS","4 out of 5 stars","F","2.9","-2.3","33% (5/15)","2%","Bad"
"98","Cedrick Wilson Jr.",NO,"vs. CLE","3 out of 5 stars","F","2.8","-0.6","33% (5/15)","2%","Great"
"99","Dyami Brown",WAS,"at PHI","2 out of 5 stars","F","2.8","-1.1","18% (3/16)","3%","Poor"
"100","Xavier Hutchinson",HOU,"at DAL","4 out of 5 stars","F","2.6","-1.3","25% (4/16)","2%","Bad"
"101","Mecole Hardman Jr.",KC,"at BUF","4 out of 5 stars","F","2.6","+0.1","20% (2/10)","4%","Average"
"102","Kevin Austin Jr.",NO,"vs. CLE","3 out of 5 stars","F","2.3","-","-","0%","Bad"
"103","Malachi Corley",NYJ,"vs. IND","4 out of 5 stars","F","2.2","-0.9","0% (0/6)","3%","Bad"
"104","Tyler Johnson",LAR,"at NE","3 out of 5 stars","F","2.1","+0.1","44% (4/9)","7%","Bad"
"105","Kendrick Bourne",NE,"vs. LAR","3 out of 5 stars","F","2.0","-2.8","16% (1/6)","6%","Bad"
"106","DJ Turner",LV,"at MIA","3 out of 5 stars","F","1.9","0.0","30% (3/10)","6%","Great"
"107","Ramel Keyton",LV,"at MIA","3 out of 5 stars","F","1.9","-","-","0%","N/A"
"108","Bo Melton",GB,"at CHI","2 out of 5 stars","F","1.9","+1.4","50% (6/12)","5%","Bad"
"109","Ashton Dulin",IND,"at NYJ","3 out of 5 stars","F","1.8","+0.1","30% (3/10)","3%","Average"
"110","Jalen Reagor",LAC,"vs. CIN","3 out of 5 stars","F","1.8","-0.3","33% (3/9)","4%","Bad"
