player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Kwity Paye,56713,ED,IND,1,1,0,,0,0,14,0,0,,71.7,80.0,61.2,72.1,73.8,0,2,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,40,40,0,0,40,0,0,0,22,18,0,2,3,0,0,2,0,0,0,
Jordan Elliott,56734,DI,SF,1,0,0,,0,0,28,0,0,,50.6,75.0,53.6,53.2,66.8,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,25,25,5,18,0,2,0,0,8,17,0,1,1,0,0,0,0,0,0,
Kurt Hinish,56787,DI,HST,1,0,0,,0,0,13,0,0,,67.1,74.6,63.4,63.9,22.4,0,1,0,0,,100.0,1,0,0,0.0,0,0,0,0,0,0,19,19,5,13,0,1,0,0,10,9,0,0,0,0,0,1,0,0,0,
Dayo Odeyingbo,56923,ED,IND,1,1,0,,0,0,14,0,0,,71.1,80.5,67.5,65.4,73.5,2,1,0,0,,0.0,0,0,0,0.0,0,0,0,1,0,0,47,46,0,7,36,3,0,1,23,24,0,2,3,2,0,3,0,0,0,
Jordan Jackson,56957,DI,DEN,1,0,0,,0,0,10,0,0,60.0,33.6,76.0,50.1,33.3,66.8,1,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,31,31,0,21,2,8,0,0,23,8,0,1,1,0,0,1,0,0,0,
James Lynch,56962,DI,TEN,1,0,0,,0,0,31,0,0,,41.1,71.8,56.4,52.9,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,8,8,1,6,0,1,0,0,6,2,0,0,0,0,0,0,0,0,0,
K.J. Britt,57727,LB,TB,1,3,0,100.0,0,0,30,0,0,59.4,56.3,73.7,52.2,57.6,79.4,0,0,0,0,7,0.0,0,0,0,95.8,1,0,0,38,0,23,43,2,0,0,2,0,0,41,4,16,3,3,3,0,1,0,0,7,4,7.0
Jalen Pitre,57737,CB,HST,1,0,0,100.0,0,0,13,0,0,44.9,47.8,74.1,58.3,62.0,71.4,0,1,0,0,11,0.0,0,0,0,104.2,2,0,0,3,0,12,21,2,0,0,2,0,0,19,2,7,16,0,1,0,2,1,0,18,17,9.0
Isaiah McDuffie,57754,LB,GB,1,1,0,100.0,0,0,12,0,0,43.6,55.2,74.5,68.2,70.8,76.5,0,1,0,0,21,0.0,0,0,0,118.8,3,0,0,34,0,25,41,4,0,0,4,0,0,37,2,14,3,2,3,0,3,1,0,50,42,16.7
James Houston,57810,ED,DET,1,0,0,,0,0,11,0,0,,68.8,70.4,56.8,63.9,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,4,4,0,0,4,0,0,0,2,2,0,0,0,0,0,0,0,0,0,
Mykal Walker,57834,LB,WAS,1,0,0,,0,0,32,0,0,,60.0,61.7,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
Robert Beal Jr.,57840,ED,SF,1,0,0,,0,0,28,0,0,,54.3,77.0,64.6,51.7,71.7,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,21,21,0,1,18,2,0,0,5,16,0,2,2,0,0,1,0,0,0,
Josh Paschal,57908,ED,DET,1,2,0,,0,0,11,0,0,,53.3,80.9,48.8,62.0,43.3,0,2,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,49,49,0,2,44,3,0,0,31,18,0,2,2,0,0,2,0,0,0,
Patrick Queen,57941,LB,PIT,1,3,0,50.0,0,0,25,0,0,53.7,66.7,75.9,67.5,75.2,64.4,0,0,0,0,18,12.5,1,1,0,68.8,2,0,0,47,3,30,58,5,0,0,5,0,0,53,2,26,3,1,4,0,4,0,0,24,5,12.0
K'Lavon Chaisson,57945,ED,LV,1,0,0,,0,0,23,0,0,60.1,52.1,76.2,50.1,59.6,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,2,23,23,0,0,19,4,0,0,17,4,0,0,0,0,0,0,0,0,0,
J.J. Russell,57958,LB,TB,1,0,0,100.0,0,0,30,0,0,66.5,69.5,70.0,,,73.8,0,0,0,0,11,0.0,0,0,0,110.4,2,0,0,5,0,8,8,0,0,0,0,0,3,8,0,0,0,0,2,0,2,0,0,21,12,10.5
Baron Browning,58095,ED,ARZ,1,1,0,100.0,0,0,1,0,0,60.3,51.3,76.2,51.5,54.2,73.6,0,1,0,0,11,0.0,0,0,0,93.8,2,0,0,0,0,6,34,34,0,0,34,0,0,0,20,8,0,1,2,0,2,1,0,13,14,6.5
