Rk,Player,Tm,Age,Pos,G,GS,Cmp,Att,Yds,1D,Air,Air/Cmp,Air/Att,ADOT,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Scrm,Yds/Scr
42,Dwayne Haskins,WAS,22,,1,0,9,17,107,5,35,3.9,2.1,7.8,72,8,1,5.9,1,5.9,2,1,2,2,11.5
43,Matt Barkley,BUF,29,,1,0,9,16,127,5,73,8.1,4.6,8.2,54,6,1,6.3,4,25,10,1,0,0,
44,Ryan Tannehill,TEN,31,,2,0,13,16,144,6,110,8.5,6.9,9.4,34,2.6,0,0,1,6.3,6,3,1,1,6
45,Nick Foles,JAX,30,qb,1,1,5,8,75,3,50,10,6.3,8.6,25,5,0,0,2,25,1,1,1,0,
46,Robert Griffin,BAL,29,,1,0,6,6,55,5,38,6.3,6.3,6.3,17,2.8,0,0,0,0,4,0,0,0,
47,Trevor Siemian,NYJ,28,qb,1,1,3,6,3,,-8,-2.7,-1.3,6.8,11,3.7,0,0,2,33.3,4,1,1,0,
48,Josh McCown,PHI,40,,3,0,3,5,24,2,9,3,1.8,4.4,15,5,1,20,0,0,0,0,0,0,
49,Jaylen Samuels,PIT,23,,5,0,4,5,35,2,-15,-3.8,-3,-2.2,50,12.5,0,0,1,20,3,0,1,0,
50,Jarrett Stidham,NWE,23,,2,0,2,4,14,1,9,4.5,2.3,5.3,5,2.5,0,0,2,50,2,0,0,0,
51,Odell Beckham,CLE,27,WR,6,6,1,2,20,1,15,15,7.5,32.5,5,5,0,0,0,0,0,0,0,0,
52,Julian Edelman,NWE,33,WR,6,5,1,1,32,1,-6,-6,-6,-6,38,38,0,0,0,0,0,0,0,0,
53,Jake Elliott,PHI,24,K,6,0,0,1,0,,0,,0,6,0,,0,0,0,0,0,0,0,0,
54,Garrett Gilbert,CLE,28,,1,0,0,1,0,,0,,0,4,0,,0,0,0,0,0,0,0,0,
55,Taysom Hill,NOR,29,qb,6,1,1,1,18,1,15,15,15,15,3,3,0,0,0,0,0,0,0,1,11
56,DeAndre Hopkins,HOU,27,WR,6,6,0,1,0,0,0,,0,9,0,,0,0,0,0,0,0,0,0,
57,Alvin Kamara,NOR,24,RB,6,6,1,1,13,1,11,11,11,11,2,2,0,0,0,0,1,0,0,0,
58,Christian McCaffrey,CAR,23,RB,6,6,0,1,0,0,0,,0,0,0,,0,0,0,0,1,1,0,0,
59,Matt Moore,KAN,35,,1,0,0,1,0,,0,,0,-4,0,,0,0,1,100,0,0,0,0,
60,Dante Pettis,SFO,24,WR,5,3,1,1,16,1,-4,-4,-4,-4,20,20,0,0,0,0,0,0,0,0,
61,Tyrod Taylor,LAC,30,,5,0,1,1,7,1,7,7,7,7,0,0,0,0,0,0,1,0,0,0,
