Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
32,Ryan Fitzpatrick,MIA,37,QB,3,2,0-2-0,27,52,51.9,303,1,1.9,4,7.7,49,5.8,2.8,11.2,101,44,18.8,6,28,4.74,1.98,10.3,,
33,Drew Brees,NOR,40,QB,2,2,1/1/00,35,48,72.9,408,2,4.2,2,4.2,41,8.5,7.5,11.7,204,94.8,74.9,1,8,8.16,7.14,2,1,1
34,Luke Falk,NYJ,25,qb,2,1,0-1-0,32,47,68.1,296,0,0,1,2.1,36,6.3,5.3,9.3,148,76.2,20.6,7,44,4.67,3.83,13,,
35,Mason Rudolph,PIT,24,qb,2,1,0-1-0,26,46,56.5,286,4,8.7,2,4.3,76,6.2,6,11,143,86,19.5,2,14,5.67,5.46,4.2,,
36,Sam Darnold,NYJ,22,qb,1,1,0-1-0,28,41,68.3,175,1,2.4,0,0,19,4.3,4.8,6.3,175,84.9,27.5,4,20,3.44,3.89,8.9,,
37,Daniel Jones,NYG,22,qb,2,1,1-0-0,26,40,65,353,2,5,0,0,75,8.8,9.8,13.6,176.5,109.7,86.8,5,24,7.31,8.2,11.1,1,1
38,Kyle Allen,CAR,23,qb,1,1,1-0-0,19,26,73.1,261,4,15.4,0,0,52,10,13.1,13.7,261,144.4,90.4,2,21,8.57,11.43,7.1,,
39,Nick Foles,JAX,30,qb,1,1,0-1-0,5,8,62.5,75,1,12.5,0,0,35,9.4,11.9,15,75,132.8,94.1,0,0,9.38,11.88,0,,
40,Robert Griffin,BAL,29,,1,0,,6,6,100,55,1,16.7,0,0,12,9.2,12.5,9.2,55,144.4,99.7,0,0,9.17,12.5,0,,
41,Trevor Siemian,NYJ,28,qb,1,1,0-1-0,3,6,50,3,0,0,0,0,3,0.5,0.5,1,3,56.2,1.3,2,17,-1.75,-1.75,25,,
42,Josh McCown,PHI,40,,1,0,,3,5,60,24,0,0,0,0,13,4.8,4.8,8,24,72.1,57.7,0,0,4.8,4.8,0,,
43,Jarrett Stidham,NWE,23,,1,0,,2,3,66.7,14,0,0,1,33.3,11,4.7,-10.3,7,14,37.5,0.1,1,7,1.75,-9.5,25,,
44,Julian Edelman,NWE,33,WR,3,3,,1,1,100,32,0,0,0,0,32,32,32,32,10.7,118.7,89.5,0,0,32,32,0,,
45,Matt Moore,KAN,35,,1,0,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,2.9,0,0,0,0,0,,
46,Dante Pettis,SFO,24,wr,3,1,,1,1,100,16,0,0,0,0,16,16,16,16,5.3,118.7,59.8,0,0,16,16,0,,
