Rk,Player,Tm,Age,Pos,G,GS,Cmp,Att,Yds,1D,Air,Air/Cmp,Air/Att,ADOT,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Scrm,Yds/Scr
58,Johnny Hekker,LAR,29,P,8,0,1,1,23,1,3,3,3,3,20,20,0,0,0,0,0,0,0,0,
59,Taysom Hill,NOR,29,qb,8,1,1,1,18,1,15,15,15,15,3,3,0,0,0,0,0,0,0,1,11
60,DeAndre Hopkins,HOU,27,WR,8,8,0,1,0,0,0,,0,9,0,,0,0,0,0,0,0,0,0,
61,Brett Hundley,ARI,26,,1,0,0,1,0,,0,,0,44,0,,0,0,1,100,1,1,0,0,
62,Alvin Kamara,NOR,24,RB,6,6,1,1,13,1,11,11,11,11,2,2,0,0,0,0,1,0,0,0,
63,Brett Kern,TEN,33,P,8,0,1,1,11,1,3,3,3,3,8,8,0,0,0,0,0,0,0,0,
64,Christian McCaffrey,CAR,23,RB,7,7,0,1,0,0,0,,0,0,0,,0,0,0,0,1,1,0,0,
65,Zach Pascal,IND,25,WR,7,5,0,1,0,0,0,,0,21,0,,0,0,1,100,0,0,0,0,
66,Dante Pettis,SFO,24,WR,7,4,1,1,16,1,-4,-4,-4,-4,20,20,0,0,0,0,0,0,0,0,
67,Tyrod Taylor,LAC,30,,5,0,1,1,7,1,7,7,7,7,0,0,0,0,0,0,1,0,0,0,
