Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
15,Josh Allen,BUF,23,QB,5,5,4/1/00,102,163,62.6,1122,5,3.1,7,4.3,51,6.9,5.6,11,224.4,75.2,34.7,13,76,5.94,4.72,7.4,2,3
16,Lamar Jackson,BAL,22,QB,5,5,3/2/00,106,162,65.4,1271,11,6.8,5,3.1,83,7.8,7.8,12,254.2,99.1,65.2,15,80,6.73,6.7,8.5,1,1
17,Derek Carr,OAK,28,QB,5,5,3/2/00,118,161,73.3,1117,6,3.7,3,1.9,43,6.9,6.8,9.5,223.4,96.7,50.3,8,48,6.33,6.24,4.7,1,1
18,Baker Mayfield,CLE,24,QB,5,5,2/3/00,90,161,55.9,1247,4,2.5,8,5,89,7.7,6,13.9,249.4,68.5,29.8,16,128,6.32,4.74,9,,
19,Deshaun Watson,HOU,24,QB,5,5,3/2/00,110,159,69.2,1364,11,6.9,1,0.6,54,8.6,9.7,12.4,272.8,115.9,76.2,18,102,7.13,8.12,10.2,,
20,Russell Wilson,SEA,31,QB,5,5,4/1/00,114,156,73.1,1409,12,7.7,0,0,54,9,10.6,12.4,281.8,126.3,80.4,13,82,7.85,9.27,7.7,2,2
21,Marcus Mariota,TEN,26,QB,5,5,2/3/00,87,141,61.7,1116,7,5,0,0,75,7.9,8.9,12.8,223.2,103,35.2,22,155,5.9,6.75,13.5,,
22,Matthew Stafford,DET,31,QB,4,4,2/1/01,88,141,62.4,1122,9,6.4,2,1.4,47,8,8.6,12.8,280.5,102.6,69.2,7,54,7.22,7.82,4.7,2,1
23,Case Keenum,WAS,31,QB,4,4,0-4-0,92,135,68.1,970,7,5.2,4,3,69,7.2,6.9,10.5,242.5,93.8,45.5,7,70,6.34,6.06,4.9,,
24,Kirk Cousins,MIN,31,QB,5,5,3/2/00,86,126,68.3,1041,5,4,2,1.6,61,8.3,8.3,12.1,208.2,100,35.9,11,86,6.97,7.04,8,,
25,Teddy Bridgewater,NOR,27,QB,4,3,3-0-0,85,121,70.2,849,6,5,2,1.7,42,7,7.3,10,212.3,99.5,40.1,7,60,6.16,6.4,5.5,1,1
26,Jimmy Garoppolo,SFO,28,QB,4,4,4-0-0,78,113,69,920,7,6.2,4,3.5,39,8.1,7.8,11.8,230,99.4,52.5,4,27,7.63,7.29,3.4,1,1
27,Daniel Jones,NYG,22,QB,4,3,2/1/00,70,109,64.2,760,4,3.7,3,2.8,75,7,6.5,10.9,190,85.4,68.8,9,59,5.94,5.47,7.6,1,1
28,Mitchell Trubisky,CHI,25,QB,4,4,3/1/00,69,106,65.1,588,3,2.8,2,1.9,36,5.5,5.3,8.5,147,81,31.3,8,43,4.78,4.52,7,1,1
29,Mason Rudolph,PIT,24,QB,4,3,1/2/00,63,94,67,646,7,7.4,2,2.1,76,6.9,7.4,10.3,161.5,102.5,44.6,3,25,6.4,6.92,3.1,,
30,Kyle Allen,CAR,23,QB,3,3,3-0-0,60,90,66.7,674,5,5.6,0,0,52,7.5,8.6,11.2,224.7,107.4,57.2,8,71,6.15,7.17,8.2,0,1
31,Eli Manning,NYG,38,qb,2,2,0-2-0,56,89,62.9,556,2,2.2,2,2.2,43,6.2,5.7,9.9,278,78.7,30,2,13,5.97,5.42,2.2,,
32,Cam Newton,CAR,30,qb,2,2,0-2-0,50,89,56.2,572,0,0,1,1.1,44,6.4,5.9,11.4,286,71,23.1,6,43,5.57,5.09,6.3,,
33,Josh Rosen,MIA,22,QB,4,2,0-2-0,43,84,51.2,482,1,1.2,3,3.6,40,5.7,4.4,11.2,120.5,57.7,39.9,11,63,4.41,3.2,11.6,,
34,Luke Falk,NYJ,25,QB,3,2,0-2-0,47,73,64.4,416,0,0,3,4.1,36,5.7,3.8,8.9,138.7,62.4,7.7,16,96,3.6,2.08,18,,
35,Ben Roethlisberger,PIT,37,qb,2,2,0-2-0,35,62,56.5,351,0,0,1,1.6,45,5.7,4.9,10,175.5,66,20.8,2,7,5.38,4.67,3.1,,
36,Chase Daniel,CHI,33,qb,2,1,0-1-0,44,60,73.3,426,3,5,2,3.3,37,7.1,6.6,9.7,213,95.6,65.9,5,44,5.88,5.42,7.7,,
37,Ryan Fitzpatrick,MIA,37,QB,3,2,0-2-0,27,52,51.9,303,1,1.9,4,7.7,49,5.8,2.8,11.2,101,44,18.8,6,28,4.74,1.98,10.3,,
38,Drew Brees,NOR,40,qb,2,2,1/1/00,35,48,72.9,408,2,4.2,2,4.2,41,8.5,7.5,11.7,204,94.8,74.9,1,8,8.16,7.14,2,1,1
39,Sam Darnold,NYJ,22,qb,1,1,0-1-0,28,41,68.3,175,1,2.4,0,0,19,4.3,4.8,6.3,175,84.9,27.5,4,20,3.44,3.89,8.9,,
40,Colt McCoy,WAS,33,qb,1,1,0-1-0,18,27,66.7,119,0,0,1,3.7,22,4.4,2.7,6.6,119,60.6,9.8,6,44,2.27,0.91,18.2,,
41,Dwayne Haskins,WAS,22,,1,0,,9,17,52.9,107,0,0,3,17.6,39,6.3,-1.6,11.9,107,32.8,26.1,2,21,4.53,-2.58,10.5,,
42,Matt Barkley,BUF,29,,1,0,,9,16,56.3,127,0,0,1,6.3,28,7.9,5.1,14.1,127,56,11.3,1,9,6.94,4.29,5.9,,
43,Devlin Hodges,PIT,23,,1,0,,7,9,77.8,68,0,0,0,0,18,7.6,7.6,9.7,68,98.1,97.6,0,0,7.56,7.56,0,,
44,Nick Foles,JAX,30,qb,1,1,0-1-0,5,8,62.5,75,1,12.5,0,0,35,9.4,11.9,15,75,132.8,94.1,0,0,9.38,11.88,0,,
45,Robert Griffin,BAL,29,,1,0,,6,6,100,55,1,16.7,0,0,12,9.2,12.5,9.2,55,144.4,99.7,0,0,9.17,12.5,0,,
46,Trevor Siemian,NYJ,28,qb,1,1,0-1-0,3,6,50,3,0,0,0,0,3,0.5,0.5,1,3,56.2,1.3,2,17,-1.75,-1.75,25,,
47,Josh McCown,PHI,40,,2,0,,3,5,60,24,0,0,0,0,13,4.8,4.8,8,12,72.1,57.7,0,0,4.8,4.8,0,,
48,Jaylen Samuels,PIT,23,,5,0,,4,5,80,35,0,0,1,20,21,7,-2,8.8,7,56.2,1.2,0,0,7,-2,0,,
49,Jarrett Stidham,NWE,23,,2,0,,2,4,50,14,0,0,1,25,11,3.5,-7.8,7,7,18.7,0.1,1,7,1.4,-7.6,20,,
50,Odell Beckham,CLE,27,WR,5,5,,1,2,50,20,0,0,0,0,20,10,10,20,4,85.4,,0,0,10,10,0,,
51,Julian Edelman,NWE,33,WR,5,5,,1,1,100,32,0,0,0,0,32,32,32,32,6.4,118.7,89.5,0,0,32,32,0,,
52,Garrett Gilbert,CLE,28,,1,0,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0.2,0,0,0,0,0,,
53,Taysom Hill,NOR,29,qb,5,1,,1,1,100,18,0,0,0,0,18,18,18,18,3.6,118.7,81,0,0,18,18,0,,
54,DeAndre Hopkins,HOU,27,WR,5,5,,0,1,0,0,0,0,1,100,0,0,-45,,0,0,0,0,0,0,-45,0,,
55,Alvin Kamara,NOR,24,RB,5,5,,1,1,100,13,0,0,0,0,13,13,13,13,2.6,118.7,63.4,0,0,13,13,0,,
56,Christian McCaffrey,CAR,23,RB,5,5,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0.1,0,0,0,0,0,,
57,Matt Moore,KAN,35,,1,0,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,2.9,0,0,0,0,0,,
58,Dante Pettis,SFO,24,WR,4,2,,1,1,100,16,0,0,0,0,16,16,16,16,4,118.7,59.8,0,0,16,16,0,,
59,Tyrod Taylor,LAC,30,,5,0,,1,1,100,7,0,0,0,0,7,7,7,7,1.4,95.8,48.3,0,0,7,7,0,,
