Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
15,Lamar Jackson,BAL,22,QB,6,6,4/2/00,127,195,65.1,1507,11,5.6,5,2.6,83,7.7,7.7,11.9,251.2,96.7,70.3,16,88,6.73,6.7,7.6,1,1
16,Gardner Minshew,JAX,23,QB,6,5,2/3/00,124,194,63.9,1442,9,4.6,2,1,69,7.4,7.9,11.6,240.3,97.5,,14,93,6.49,6.92,6.7,1,1
17,Russell Wilson,SEA,31,QB,6,6,5/1/00,137,189,72.5,1704,14,7.4,0,0,54,9,10.5,12.4,284,124.7,81.8,16,93,7.86,9.22,7.8,3,3
18,Matthew Stafford,DET,31,QB,5,5,2/2/01,106,173,61.3,1387,9,5.2,2,1.2,66,8,8.5,13.1,277.4,99.1,63.6,10,76,7.16,7.66,5.5,2,1
19,Jacoby Brissett,IND,27,QB,5,5,3/2/00,108,167,64.7,1062,10,6,3,1.8,48,6.4,6.7,9.8,212.4,94.9,53.5,6,52,5.84,6.21,3.5,1,1
20,Josh Allen,BUF,23,QB,5,5,4/1/00,102,163,62.6,1122,5,3.1,7,4.3,51,6.9,5.6,11,224.4,75.2,34.7,13,76,5.94,4.72,7.4,2,3
21,Derek Carr,OAK,28,QB,5,5,3/2/00,118,161,73.3,1117,6,3.7,3,1.9,43,6.9,6.8,9.5,223.4,96.7,50.3,8,48,6.33,6.24,4.7,1,1
22,Case Keenum,WAS,31,QB,5,5,1/4/00,105,160,65.6,1136,9,5.6,4,2.5,69,7.1,7.1,10.8,227.2,94.7,45,7,70,6.38,6.38,4.2,,
23,Marcus Mariota,TEN,26,QB,6,6,2/4/00,94,159,59.1,1179,7,4.4,2,1.3,75,7.4,7.7,12.5,196.5,91.7,30.8,25,162,5.53,5.8,13.6,,
24,Teddy Bridgewater,NOR,27,QB,5,4,4-0-0,109,157,69.4,1089,7,4.5,2,1.3,42,6.9,7.3,10,217.8,98.4,40.3,10,78,6.05,6.35,6,1,2
25,Kirk Cousins,MIN,31,QB,6,6,4/2/00,108,155,69.7,1374,9,5.8,3,1.9,62,8.9,9.2,12.7,229,108.4,51.6,12,94,7.66,7.93,7.2,,
26,Jimmy Garoppolo,SFO,28,QB,5,5,5-0-0,102,146,69.9,1163,7,4.8,5,3.4,45,8,7.4,11.4,232.6,95.2,54.2,6,38,7.4,6.84,3.9,1,1
27,Daniel Jones,NYG,22,QB,5,4,2/2/00,85,140,60.7,921,5,3.6,6,4.3,75,6.6,5.4,10.8,184.2,74.1,55.6,10,59,5.75,4.61,6.7,1,1
28,Kyle Allen,CAR,23,QB,4,4,4-0-0,80,122,65.6,901,7,5.7,0,0,52,7.4,8.5,11.3,225.3,106.6,56.3,10,89,6.15,7.21,7.6,0,1
29,Josh Rosen,MIA,22,QB,5,3,0-3-0,58,109,53.2,567,1,0.9,5,4.6,40,5.2,3.3,9.8,113.4,52,19.4,16,93,3.79,2.15,12.8,,
30,Mitchell Trubisky,CHI,25,QB,4,4,3/1/00,69,106,65.1,588,3,2.8,2,1.9,36,5.5,5.3,8.5,147,81,31.3,8,43,4.78,4.52,7,1,1
31,Mason Rudolph,PIT,24,QB,4,3,1/2/00,63,94,67,646,7,7.4,2,2.1,76,6.9,7.4,10.3,161.5,102.5,44.6,3,25,6.4,6.92,3.1,,
32,Eli Manning,NYG,38,qb,2,2,0-2-0,56,89,62.9,556,2,2.2,2,2.2,43,6.2,5.7,9.9,278,78.7,30,2,13,5.97,5.42,2.2,,
33,Cam Newton,CAR,30,qb,2,2,0-2-0,50,89,56.2,572,0,0,1,1.1,44,6.4,5.9,11.4,286,71,23.1,6,43,5.57,5.09,6.3,,
34,Sam Darnold,NYJ,22,qb,2,2,1/1/00,51,73,69.9,513,3,4.1,1,1.4,92,7,7.2,10.1,256.5,97.6,45.2,6,32,6.09,6.28,7.6,,
35,Luke Falk,NYJ,25,qb,3,2,0-2-0,47,73,64.4,416,0,0,3,4.1,36,5.7,3.8,8.9,138.7,62.4,7.7,16,96,3.6,2.08,18,,
36,Ryan Fitzpatrick,MIA,37,qb,4,2,0-2-0,39,70,55.7,435,2,2.9,4,5.7,49,6.2,4.2,11.2,108.8,60.1,35.3,6,28,5.36,3.51,7.9,,
37,Ben Roethlisberger,PIT,37,qb,2,2,0-2-0,35,62,56.5,351,0,0,1,1.6,45,5.7,4.9,10,175.5,66,20.8,2,7,5.38,4.67,3.1,,
38,Chase Daniel,CHI,33,qb,2,1,0-1-0,44,60,73.3,426,3,5,2,3.3,37,7.1,6.6,9.7,213,95.6,65.9,5,44,5.88,5.42,7.7,,
39,Drew Brees,NOR,40,qb,2,2,1/1/00,35,48,72.9,408,2,4.2,2,4.2,41,8.5,7.5,11.7,204,94.8,74.9,1,8,8.16,7.14,2,1,1
40,Devlin Hodges,PIT,23,qb,2,1,1-0-0,22,29,75.9,200,1,3.4,1,3.4,26,6.9,6,9.1,100,91.2,88.4,0,0,6.9,6.03,0,,
41,Colt McCoy,WAS,33,qb,1,1,0-1-0,18,27,66.7,122,0,0,1,3.7,22,4.5,2.9,6.8,122,61,9.8,6,44,2.36,1,18.2,,
42,Dwayne Haskins,WAS,22,,1,0,,9,17,52.9,107,0,0,3,17.6,39,6.3,-1.6,11.9,107,32.8,26.1,2,21,4.53,-2.58,10.5,,
43,Matt Barkley,BUF,29,,1,0,,9,16,56.3,127,0,0,1,6.3,28,7.9,5.1,14.1,127,56,11.3,1,9,6.94,4.29,5.9,,
44,Ryan Tannehill,TEN,31,,2,0,,13,16,81.3,144,0,0,1,6.3,25,9,6.2,11.1,72,78.1,7.9,4,35,5.45,3.2,20,,
45,Nick Foles,JAX,30,qb,1,1,0-1-0,5,8,62.5,75,1,12.5,0,0,35,9.4,11.9,15,75,132.8,94.1,0,0,9.38,11.88,0,,
46,Robert Griffin,BAL,29,,1,0,,6,6,100,55,1,16.7,0,0,12,9.2,12.5,9.2,55,144.4,99.7,0,0,9.17,12.5,0,,
47,Trevor Siemian,NYJ,28,qb,1,1,0-1-0,3,6,50,3,0,0,0,0,3,0.5,0.5,1,3,56.2,1.3,2,17,-1.75,-1.75,25,,
48,Josh McCown,PHI,40,,3,0,,3,5,60,24,0,0,0,0,13,4.8,4.8,8,8,72.1,57.7,0,0,4.8,4.8,0,,
49,Jaylen Samuels,PIT,23,,5,0,,4,5,80,35,0,0,1,20,21,7,-2,8.8,7,56.2,1.2,0,0,7,-2,0,,
50,Jarrett Stidham,NWE,23,,2,0,,2,4,50,14,0,0,1,25,11,3.5,-7.8,7,7,18.7,0.1,1,7,1.4,-7.6,20,,
51,Odell Beckham,CLE,27,WR,6,6,,1,2,50,20,0,0,0,0,20,10,10,20,3.3,85.4,,0,0,10,10,0,,
52,Julian Edelman,NWE,33,WR,6,5,,1,1,100,32,0,0,0,0,32,32,32,32,5.3,118.7,89.5,0,0,32,32,0,,
53,Jake Elliott,PHI,24,K,6,0,,0,1,0,0,0,0,1,100,0,0,-45,,0,0,,0,0,0,-45,0,,
54,Garrett Gilbert,CLE,28,,1,0,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0.2,0,0,0,0,0,,
55,Taysom Hill,NOR,29,qb,6,1,,1,1,100,18,0,0,0,0,18,18,18,18,3,118.7,90.1,0,0,18,18,0,,
56,DeAndre Hopkins,HOU,27,WR,6,6,,0,1,0,0,0,0,1,100,0,0,-45,,0,0,0,0,0,0,-45,0,,
57,Alvin Kamara,NOR,24,RB,6,6,,1,1,100,13,0,0,0,0,13,13,13,13,2.2,118.7,63.4,0,0,13,13,0,,
58,Christian McCaffrey,CAR,23,RB,6,6,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0.1,0,0,0,0,0,,
59,Matt Moore,KAN,35,,1,0,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,2.9,0,0,0,0,0,,
60,Dante Pettis,SFO,24,WR,5,3,,1,1,100,16,0,0,0,0,16,16,16,16,3.2,118.7,59.8,0,0,16,16,0,,
61,Tyrod Taylor,LAC,30,,5,0,,1,1,100,7,0,0,0,0,7,7,7,7,1.4,95.8,48.3,0,0,7,7,0,,
