,,,,,Games,,Rushing,,,,,,,,
38,Jamaal Williams,GNB,24,,3,0,26,87,5,49,1.9,38,1.5,1,26
39,Jordan Howard,PHI,25,,3,0,25,99,7,39,1.6,60,2.4,2,12.5
40,Alexander Mattison,MIN,21,,3,0,25,132,7,77,3.1,55,2.2,3,8.3
41,Rex Burkhead,NWE,29,rb,3,1,24,112,5,72,3,40,1.7,2,12
42,Kenyan Drake,MIA,25,rb,3,1,22,69,2,38,1.7,31,1.4,0,
43,Adrian Peterson,WAS,34,RB,2,2,22,62,3,31,1.4,31,1.4,0,
44,Damien Williams,KAN,27,RB,2,2,22,34,5,0,0,34,1.5,1,22
45,Malcolm Brown,LAR,26,,3,0,20,97,5,19,1,78,3.9,7,2.9
46,Justin Jackson,LAC,24,,3,0,18,142,5,60,3.3,82,4.6,3,6
47,Jeff Wilson,SFO,24,,2,0,18,52,7,36,2,16,0.9,0,
48,Kalen Ballage,MIA,24,RB,3,2,17,22,1,7,0.4,15,0.9,1,17
49,Duke Johnson,HOU,26,,3,0,17,90,2,36,2.1,54,3.2,4,4.3
50,Russell Wilson,SEA,31,QB,3,3,17,81,5,54,3.2,27,1.6,1,17
51,C.J. Anderson,DET,28,,2,0,16,43,1,5,0.3,38,2.4,1,16
52,Giovani Bernard,CIN,28,,3,0,16,32,1,10,0.6,22,1.4,1,16
53,Rashaad Penny,SEA,23,,2,0,16,80,2,23,1.4,57,3.6,0,
54,Deshaun Watson,HOU,24,QB,3,3,15,63,4,58,3.9,5,0.3,2,7.5
55,Marcus Mariota,TEN,26,QB,3,3,14,90,4,68,4.9,22,1.6,1,14
56,Kyler Murray,ARI,22,QB,3,3,14,86,5,85,6.1,1,0.1,0,
57,Jacoby Brissett,IND,27,QB,3,3,13,38,5,11,0.8,27,2.1,0,
58,Latavius Murray,NOR,29,,3,0,13,52,2,36,2.8,16,1.2,2,6.5
59,Jameis Winston,TAM,25,QB,3,3,13,25,2,23,1.8,2,0.2,0,
60,Kirk Cousins,MIN,31,QB,3,3,12,37,5,31,2.6,6,0.5,0,
61,Jimmy Garoppolo,SFO,28,QB,3,3,12,9,3,7,0.6,2,0.2,0,
62,Jared Goff,LAR,25,QB,3,3,12,12,1,8,0.7,4,0.3,0,
63,Chris Thompson,WAS,29,,3,0,12,42,2,36,3,6,0.5,0,
64,Gardner Minshew,JAX,23,QB,3,2,11,80,2,70,6.4,10,0.9,2,5.5
65,Dak Prescott,DAL,26,QB,3,3,11,88,6,77,7,11,1,0,
66,Ito Smith,ATL,24,,3,0,11,63,5,45,4.1,18,1.6,1,11
67,Darren Sproles,PHI,36,rb,3,1,11,51,2,29,2.6,22,2,0,
68,DeAndre Washington,OAK,26,,3,0,11,39,2,14,1.3,25,2.3,2,5.5
69,Carson Wentz,PHI,27,QB,3,3,11,41,6,21,1.9,20,1.8,2,5.5
70,Derrius Guice,WAS,22,rb,1,1,10,18,0,2,0.2,16,1.6,0,
71,Ty Johnson,DET,,,3,0,10,41,2,12,1.2,29,2.9,2,5
72,Devin Singletary,BUF,22,rb,2,1,10,127,6,92,9.2,35,3.5,2,5
73,Matthew Stafford,DET,31,QB,3,3,10,36,3,34,3.4,2,0.2,0,
74,Mike Davis,CHI,26,rb,3,1,9,22,0,15,1.7,7,0.8,0,
75,Justice Hill,BAL,22,,3,0,9,32,2,21,2.3,11,1.2,0,
76,Dion Lewis,TEN,29,,3,0,9,29,1,11,1.2,18,2,0,
77,Darrel Williams,KAN,24,,3,0,9,62,2,41,4.6,21,2.3,0,
78,Tarik Cohen,CHI,24,RB,3,2,8,16,1,7,0.9,9,1.1,1,8
79,Nyheim Hines,IND,23,rb,3,1,8,25,2,18,2.3,7,0.9,0,
80,Jordan Wilkins,IND,25,,3,0,8,80,2,7,0.9,73,9.1,0,
81,T.J. Yeldon,BUF,26,,3,0,8,30,1,9,1.1,21,2.6,0,
82,Wayne Gallman,NYG,25,,3,0,7,30,3,19,2.7,11,1.6,0,
83,Ty Montgomery,NYJ,26,,3,0,7,30,1,28,4,2,0.3,0,
84,Cordarrelle Patterson,CHI,28,WR,3,2,7,62,1,62,8.9,0,0,0,
85,James White,NWE,27,,2,0,7,36,1,32,4.6,4,0.6,0,
86,Tevin Coleman,SFO,26,rb,1,1,6,23,1,12,2,11,1.8,0,
87,Patrick Mahomes,KAN,24,QB,3,3,6,10,1,9,1.5,1,0.2,0,
88,C.J. Prosise,SEA,25,,3,0,6,12,1,4,0.7,8,1.3,0,
89,Matt Ryan,ATL,34,QB,3,3,6,30,1,27,4.5,3,0.5,0,
90,Teddy Bridgewater,NOR,27,qb,2,1,5,17,0,10,2,7,1.4,0,
91,Derek Carr,OAK,28,QB,3,3,5,20,1,20,4,0,0,0,
92,Chase Edmonds,ARI,23,,3,0,5,22,0,9,1.8,13,2.6,0,
93,Daniel Jones,NYG,22,qb,2,1,5,33,3,31,6.2,2,0.4,0,
94,Cam Newton,CAR,30,QB,2,2,5,-2,0,-2,-0.4,0,0,0,
95,Jalen Richard,OAK,26,,3,0,5,21,1,16,3.2,5,1,0,
96,Aaron Rodgers,GNB,36,QB,3,3,5,7,0,5,1,2,0.4,0,
97,Mason Rudolph,PIT,24,qb,2,1,5,22,2,6,1.2,16,3.2,1,5
98,Jaylen Samuels,PIT,23,,3,0,5,22,1,9,1.8,13,2.6,0,
99,Darwin Thompson,KAN,23,,3,0,5,9,1,0,0,9,1.8,0,
100,Mitchell Trubisky,CHI,25,QB,3,3,5,21,1,18,3.6,3,0.6,0,
101,Robert Woods,LAR,27,WR,3,3,5,43,2,29,5.8,14,2.8,1,5
102,Tom Brady,NWE,42,QB,3,3,4,0,1,0,0,0,0,0,
103,Robert Griffin,BAL,29,,1,0,4,9,0,3,0.8,6,1.5,1,4
104,D'Ernest Johnson,CLE,23,,3,0,4,21,0,18,4.5,3,0.8,0,
105,Isaiah McKenzie,BUF,24,,3,0,4,14,1,5,1.3,9,2.3,0,
106,Philip Rivers,LAC,38,QB,3,3,4,27,2,27,6.8,0,0,0,
107,Benny Snell,PIT,21,,3,0,4,29,1,2,0.5,27,6.8,0,
108,Mark Walton,MIA,22,,2,0,4,16,1,11,2.8,5,1.3,0,
109,Ameer Abdullah,MIN,26,,3,0,3,10,,8,2.7,2,0.7,0,
110,Kyle Allen,CAR,23,qb,1,1,3,-1,0,-1,-0.3,0,0,0,
111,Brandon Bolden,NWE,29,rb,2,1,3,5,0,4,1.3,1,0.3,0,
112,Mike Boone,MIN,24,,3,0,3,28,1,22,7.3,6,2,0,
113,Andy Dalton,CIN,32,QB,3,3,3,3,1,3,1,0,0,0,
114,Joe Flacco,DEN,34,QB,3,3,3,6,2,5,1.7,1,0.3,0,
115,Taysom Hill,NOR,29,,3,0,3,13,0,7,2.3,6,2,1,3
116,Case Keenum,WAS,31,QB,3,3,3,2,1,2,0.7,0,0,0,
117,J.D. McKissic,DET,26,,3,0,3,46,1,25,8.3,21,7,1,3
118,Josh Rosen,MIA,22,qb,3,1,3,13,0,13,4.3,0,0,0,
119,Steven Sims,WAS,22,,3,0,3,16,0,15,5,1,0.3,0,
120,Derek Watt,LAC,27,,3,0,3,3,2,3,1,0,0,0,
121,Alex Armah,CAR,25,,3,0,2,5,1,3,1.5,2,1,0,
122,Reggie Bonnafon,CAR,23,,3,0,2,5,,0,0,5,2.5,0,
123,Randall Cobb,DAL,29,,3,0,2,11,0,6,3,5,2.5,0,
124,Brandin Cooks,LAR,26,WR,3,3,2,10,1,8,4,2,1,0,
125,James Develin,NWE,31,FB,2,2,2,3,1,3,1.5,0,0,0,
126,Phillip Dorsett,NWE,26,,3,0,2,12,0,11,5.5,1,0.5,0,
127,Julian Edelman,NWE,33,WR,3,3,2,9,1,6,3,3,1.5,0,
128,Ryan Fitzpatrick,MIA,37,QB,3,2,2,14,2,14,7,0,0,0,
129,Taylor Gabriel,CHI,28,WR,3,2,2,21,1,21,10.5,0,0,0,
130,Jakeem Grant,MIA,27,,3,0,2,0,0,0,0,0,0,0,
131,Eli Manning,NYG,38,QB,2,2,2,8,1,6,3,2,1,0,
132,Sean Mannion,MIN,27,,1,0,2,-2,,-2,-1,0,0,0,
133,Elijhaa Penny,NYG,26,rb,3,1,2,3,,1,0.5,2,1,0,
134,Deebo Samuel,SFO,23,WR,3,2,2,7,0,2,1,5,2.5,0,
135,Sterling Shepard,NYG,26,WR,2,2,2,21,1,21,10.5,0,0,0,
136,Ryan Tannehill,TEN,31,,1,0,2,-2,,-2,-1,0,0,0,
137,Dede Westbrook,JAX,26,WR,3,3,2,6,0,4,2,2,1,0,
138,Keenan Allen,LAC,27,WR,3,3,1,3,0,3,3,0,0,0,
139,Ryquell Armstead,JAX,23,,3,0,1,7,,2,2,5,5,0,
140,Tyler Boyd,CIN,25,WR,3,3,1,3,0,3,3,0,0,0,
141,Antonio Brown,NWE,31,,1,0,1,5,1,5,5,0,0,0,
142,John Brown,BUF,29,WR,3,3,1,4,0,2,2,2,2,0,
143,Parris Campbell,IND,22,,3,0,1,7,0,5,5,2,2,0,
144,Jamison Crowder,NYJ,26,WR,3,3,1,4,0,0,0,4,4,1,1
145,Sam Darnold,NYJ,22,qb,1,1,1,0,0,0,0,0,0,0,
146,Patrick DiMarco,BUF,30,FB,3,2,1,1,,-1,-1,2,2,0,
147,Gerald Everett,LAR,25,te,3,1,1,0,0,0,0,0,0,0,
148,Noah Fant,DEN,22,TE,3,2,1,-5,0,-5,-5,0,0,0,
149,Bennie Fowler,NYG,28,WR,3,2,1,20,1,17,17,3,3,0,
150,Russell Gage,ATL,23,,3,0,1,-1,0,-1,-1,0,0,1,1
151,Josh Gordon,NWE,28,WR,3,3,1,1,0,1,1,0,0,0,
152,Mecole Hardman,KAN,21,wr,3,1,1,7,1,6,6,1,1,0,
153,Darrell Henderson,LAR,22,,1,0,1,0,,-2,-2,2,2,0,
154,Tyreek Hill,KAN,25,wr,1,1,1,5,0,2,2,3,3,0,
155,Dontrell Hilliard,CLE,24,,2,0,1,4,1,2,2,2,2,0,
156,Johnny Holton,PIT,28,,3,0,1,9,1,7,7,2,2,0,
157,Adam Humphries,TEN,26,wr,3,1,1,1,0,1,1,0,0,0,
158,Alshon Jeffery,PHI,29,WR,2,2,1,2,1,1,1,1,1,0,
159,Diontae Johnson,PIT,23,wr,3,1,1,6,0,3,3,3,3,0,
160,Marvin Jones,DET,29,WR,3,3,1,4,0,3,3,1,1,0,
161,Kyle Juszczyk,SFO,28,RB,3,3,1,6,0,3,3,3,3,0,
162,Christian Kirk,ARI,23,WR,3,3,1,12,1,0,0,12,12,1,1
163,Dawson Knox,BUF,23,,3,0,1,9,1,6,6,3,3,0,
164,Cooper Kupp,LAR,26,WR,3,3,1,6,0,6,6,0,0,0,
165,Jarvis Landry,CLE,27,WR,3,3,1,10,1,9,9,1,1,0,
166,Anthony Levine,BAL,32,,3,0,1,60,1,60,60,0,0,0,
167,Zach Line,NOR,29,fb,3,1,1,0,,0,0,0,0,0,
168,Baker Mayfield,CLE,24,QB,3,3,1,-1,0,-1,-1,0,0,0,
169,D.J. Moore,CAR,22,WR,3,3,1,12,1,8,8,4,4,0,
170,Matt Moore,KAN,35,,1,0,1,-1,,-1,-1,0,0,0,
171,Breshad Perriman,TAM,26,,3,0,1,13,1,13,13,0,0,0,
172,Ben Roethlisberger,PIT,37,QB,2,2,1,7,0,7,7,0,0,0,
173,Curtis Samuel,CAR,23,WR,3,3,1,2,0,-1,-1,3,3,1,1
174,Mohamed Sanu,ATL,30,WR,3,2,1,2,1,0,0,2,2,0,
175,Wendell Smallwood,WAS,25,,3,0,1,4,0,0,0,4,4,0,
176,Jonnu Smith,TEN,24,TE,3,3,1,10,1,-3,-3,13,13,1,1
177,Adam Thielen,MIN,29,WR,3,3,1,1,1,0,0,1,1,1,1
178,Marquez Valdes-Scantling,GNB,25,WR,3,3,1,0,0,0,0,0,0,0,
179,Darren Waller,OAK,27,TE,3,3,1,7,0,4,4,3,3,0,
180,Albert Wilson,MIA,27,,1,0,1,1,0,1,1,0,0,0,
