Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
42,Nick Foles,JAX,30,qb,1,1,0-1-0,5,8,62.5,75,1,12.5,0,0,35,9.4,11.9,15,75,132.8,94.1,0,0,9.38,11.88,0,,
43,Robert Griffin,BAL,29,,1,0,,6,6,100,55,1,16.7,0,0,12,9.2,12.5,9.2,55,144.4,99.7,0,0,9.17,12.5,0,,
44,Trevor Siemian,NYJ,28,qb,1,1,0-1-0,3,6,50,3,0,0,0,0,3,0.5,0.5,1,3,56.2,1.3,2,17,-1.75,-1.75,25,,
45,Josh McCown,PHI,40,,1,0,,3,5,60,24,0,0,0,0,13,4.8,4.8,8,24,72.1,57.7,0,0,4.8,4.8,0,,
46,Jaylen Samuels,PIT,23,,4,0,,3,3,100,31,0,0,0,0,21,10.3,10.3,10.3,7.8,109.7,63.2,0,0,10.33,10.33,0,,
47,Jarrett Stidham,NWE,23,,1,0,,2,3,66.7,14,0,0,1,33.3,11,4.7,-10.3,7,14,37.5,0.1,1,7,1.75,-9.5,25,,
48,Odell Beckham,CLE,27,WR,4,4,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,,0,0,0,0,0,,
49,Julian Edelman,NWE,33,WR,4,4,,1,1,100,32,0,0,0,0,32,32,32,32,8,118.7,89.5,0,0,32,32,0,,
50,DeAndre Hopkins,HOU,27,WR,4,4,,0,1,0,0,0,0,1,100,0,0,-45,,0,0,0,0,0,0,-45,0,,
51,Matt Moore,KAN,35,,1,0,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,2.9,0,0,0,0,0,,
52,Dante Pettis,SFO,24,wr,3,1,,1,1,100,16,0,0,0,0,16,16,16,16,5.3,118.7,59.8,0,0,16,16,0,,
53,Tyrod Taylor,LAC,30,,4,0,,1,1,100,7,0,0,0,0,7,7,7,7,1.8,95.8,48.3,0,0,7,7,0,,
