player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Jameson Williams,101701,WR,DET,1,6.6,0,71.4,0.0,0,1,0,0.0,0,2,11,0,73.4,70.0,56.3,,60.8,0.0,0,0,8,0.0,0,27,2,5,100.0,27,37.0,10,78.3,7,0,63.0,17,28,23,4.6,5.6,1.04
Michael Pittman Jr.,29049,WR,IND,1,6.1,0,71.4,0.0,0,1,0,0.0,0,0,14,0,73.4,68.0,63.9,,65.1,0.0,0,1,10,0.0,0,25,1,5,88.0,22,20.0,5,47.0,7,0,80.0,20,42,33,6.6,8.4,1.91
Sterling Shepard,10674,WR,TB,1,6.6,2,57.1,100.0,2,2,0,20.0,1,2,30,0,41.6,67.0,54.2,,57.5,0.0,0,0,21,0.0,0,30,1,4,93.3,28,66.7,20,74.7,7,0,33.3,10,42,36,9.0,10.5,1.5
Khalil Shakir,84140,WR,BUF,1,6.9,0,57.1,0.0,0,1,0,0.0,0,1,4,0,72.1,67.0,62.2,,61.2,0.0,0,0,18,0.0,0,18,0,4,94.4,17,66.7,12,67.6,7,0,33.3,6,30,22,5.5,7.5,1.76
Pat Freiermuth,84085,TE,PIT,1,6.6,0,85.7,,0,0,0,14.3,1,2,25,0,49.2,68.8,66.3,76.0,59.5,45.5,15,0,25,15.2,5,33,0,6,81.8,27,48.5,16,146.7,7,1,6.1,2,68,25,4.2,11.3,2.52
Xavier Worthy,144718,WR,KC,1,9.7,1,71.4,,0,0,0,0.0,0,3,16,0,73.4,68.0,71.4,,70.5,0.0,0,0,19,0.0,0,39,0,5,89.7,35,23.1,9,93.8,7,0,71.8,28,54,33,6.6,10.8,1.54
Taysom Hill,12112,TE,NO,1,4.6,0,71.4,50.0,1,2,0,0.0,0,2,20,0,73.4,72.6,57.0,,66.0,8.0,2,0,21,0.0,0,25,0,5,96.0,24,60.0,15,83.6,7,0,16.0,4,37,16,3.2,7.4,1.54
Zay Flowers,97268,WR,BLT,1,18.7,2,42.9,0.0,0,1,0,0.0,0,3,3,0,70.5,67.4,65.7,,67.6,0.0,0,0,40,0.0,0,44,0,3,97.7,43,38.6,17,81.8,7,0,61.4,27,74,14,4.7,24.7,1.72
Mark Andrews,47436,TE,BLT,1,10.0,0,85.7,100.0,2,2,0,14.3,1,3,3,0,49.7,69.8,72.1,40.0,74.1,10.0,3,0,23,6.7,2,30,0,6,90.0,27,80.0,24,146.1,7,1,10.0,3,67,13,2.2,11.2,2.48
Juwan Johnson,28305,TE,NO,1,8.2,3,83.3,0.0,0,1,0,0.0,0,2,20,0,73.4,68.0,62.8,56.7,61.4,37.1,13,0,21,8.6,3,35,0,5,88.6,31,40.0,14,91.7,6,0,22.9,8,36,21,4.2,7.2,1.16
Chigoziem Okonkwo,84000,TE,TEN,1,8.8,1,50.0,100.0,2,2,0,0.0,0,1,31,0,72.1,67.0,57.8,,60.1,25.8,8,0,14,0.0,0,31,0,3,90.3,28,48.4,15,62.5,6,0,22.6,7,27,6,2.0,9.0,0.96
Rome Odunze,73774,WR,CHI,1,18.3,0,33.3,,0,0,0,0.0,0,2,6,0,68.3,64.0,52.7,,55.1,0.0,0,0,19,0.0,0,51,0,2,86.3,44,27.5,14,47.2,6,0,70.6,36,25,2,1.0,12.5,0.57
A.J. Brown,48327,WR,PHI,1,14.0,1,83.3,,0,0,0,0.0,0,4,24,0,73.4,68.0,76.6,,80.0,0.0,0,0,15,0.0,0,24,1,5,91.7,22,16.7,4,112.5,6,0,83.3,20,66,16,3.2,13.2,3.0
Jayden Reed,78171,WR,GB,1,9.5,0,50.0,0.0,0,1,0,25.0,1,2,12,0,36.2,71.9,72.1,,65.4,0.0,0,0,12,0.0,0,22,0,3,95.5,21,63.6,14,100.0,6,2,36.4,8,24,14,4.7,8.0,1.14
Jordan Addison,123000,WR,MIN,1,14.8,1,66.7,,0,0,0,0.0,0,2,18,0,72.1,67.0,65.2,,64.5,0.0,0,0,26,0.0,0,40,0,4,95.0,38,45.0,18,95.1,6,0,55.0,22,54,16,4.0,13.5,1.42
Alec Pierce,78038,WR,IND,1,21.3,0,33.3,33.3,1,3,0,0.0,0,2,14,0,68.3,64.0,64.6,,64.9,0.0,0,1,13,0.0,0,24,0,2,87.5,21,33.3,8,42.4,6,1,66.7,16,16,4,2.0,8.0,0.76
Bijan Robinson,123126,HB,ATL,1,-1.3,1,100.0,,0,0,0,0.0,0,1,2,0,76.5,79.8,67.5,78.4,69.6,0.0,0,0,11,6.3,2,32,0,6,84.4,27,6.3,2,89.6,6,0,3.1,1,33,41,6.8,5.5,1.22
Kayshon Boutte,124087,WR,NE,1,8.3,0,50.0,50.0,1,2,0,0.0,0,1,19,0,72.1,67.0,65.9,,65.8,0.0,0,0,29,0.0,0,43,0,3,90.7,39,20.9,9,72.2,6,0,79.1,34,41,22,7.3,13.7,1.05
Justice Hill,45865,HB,BLT,1,-3.0,2,66.7,,0,0,0,0.0,0,0,3,0,72.1,70.3,58.4,23.9,55.5,0.0,0,0,5,9.7,3,31,0,4,87.1,27,9.7,3,70.1,6,0,0.0,0,15,32,8.0,3.8,0.56
Brandin Cooks,8655,WR,DAL,1,13.0,0,50.0,0.0,0,2,0,0.0,0,3,9,0,70.5,65.8,74.3,,71.0,0.0,0,0,11,0.0,0,22,0,3,90.9,20,9.1,2,95.8,6,1,90.9,20,16,3,1.0,5.3,0.8
Noah Gray,60878,TE,KC,1,10.5,1,66.7,,0,0,0,0.0,0,2,16,0,72.1,67.0,87.7,75.6,78.1,50.0,16,0,26,9.4,3,32,0,4,84.4,27,37.5,12,97.9,6,0,3.1,1,58,25,6.3,14.5,2.15
Tony Pollard,27126,HB,TEN,1,4.0,0,66.7,,0,0,0,33.3,2,1,31,0,28.7,22.1,43.0,11.6,44.4,0.0,0,0,30,22.6,7,31,0,4,71.0,22,9.7,3,80.6,6,0,6.5,2,33,14,3.5,8.3,1.5
Najee Harris,57121,HB,PIT,1,-2.3,4,100.0,,0,0,0,0.0,0,3,25,0,74.6,76.9,73.6,24.2,89.5,0.0,0,0,25,15.8,3,19,0,6,78.9,15,0.0,0,104.2,6,0,0.0,0,54,68,11.3,9.0,3.6
Tommy Tremble,84025,TE,CAR,1,7.5,1,83.3,100.0,2,2,1,0.0,0,4,5,0,73.4,68.0,68.8,74.1,67.8,40.4,21,0,38,7.7,4,52,1,5,90.4,47,42.3,22,118.8,6,0,13.5,7,77,36,7.2,15.4,1.64
Alvin Kamara,11822,HB,NO,1,0.2,0,66.7,,0,0,0,33.3,2,0,20,0,29.2,78.6,62.7,75.6,37.6,0.0,0,0,8,8.6,3,35,0,4,85.7,30,11.4,4,70.1,6,0,0.0,0,7,9,2.3,1.8,0.23
CeeDee Lamb,61570,WR,DAL,1,7.3,3,33.3,,0,0,0,60.0,3,2,9,0,25.9,64.0,47.0,,50.0,0.0,0,0,22,0.0,0,35,0,2,85.7,30,40.0,14,56.9,6,0,60.0,21,39,19,9.5,19.5,1.3
Tucker Kraft,104034,TE,GB,1,2.8,1,100.0,,0,0,0,0.0,0,4,12,0,74.6,68.8,89.7,58.1,91.4,63.0,17,0,17,14.8,4,27,1,6,81.5,22,25.9,7,118.8,6,0,11.1,3,78,61,10.2,13.0,3.55
Sam LaPorta,101690,TE,DET,1,8.2,0,60.0,33.3,1,3,0,0.0,0,2,11,0,70.5,65.8,64.4,76.8,62.6,45.7,16,0,3,14.3,5,35,0,3,85.7,30,37.1,13,104.2,5,2,17.1,6,6,0,0.0,2.0,0.2
Dontayvion Wicks,99711,WR,GB,1,6.4,2,80.0,100.0,1,1,0,20.0,1,1,12,0,41.6,67.0,62.7,,59.6,8.3,2,0,10,0.0,0,24,0,4,95.8,23,33.3,8,91.7,5,0,58.3,14,30,14,3.5,7.5,1.3
George Pickens,99229,WR,PIT,1,8.4,1,60.0,0.0,0,1,0,0.0,0,3,25,0,70.5,65.8,70.0,,73.9,0.0,0,1,36,0.0,0,40,2,3,95.0,38,10.0,4,104.2,5,1,90.0,36,74,44,14.7,24.7,1.95
Deebo Samuel,48274,WR,SF,1,1.0,0,80.0,,0,0,0,0.0,0,0,28,0,72.1,20.9,55.9,,56.2,0.0,0,0,7,0.0,0,19,0,4,94.7,18,26.3,5,83.3,5,0,73.7,14,20,18,4.5,5.0,1.11
