player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Jonathan Mingo,97774,WR,DAL,1,2,0,9,8.0,0,100.0,100.0,1,1,0.0,0,0,0,64.7,75.5,0,8,0.0,0,3,1,100.0,3,100.0,1,33.3,0,8,0,0.0,8.0,2.67,0,9.0,0,0.0,,0,0,,0,0,0,,55.4,0,0,0.0,0,4,0,100.0,4,39.6,1,25.0,0,0,0,,,0.0
Elijah Higgins,98027,TE,ARZ,1,2,0,1,4.0,0,0.0,0.0,0,1,,0,0,0,,57.4,0,0,0.0,0,2,0,100.0,2,39.6,1,50.0,0,0,0,,,0.0,0,-1.0,1,100.0,,0,0,0.0,0,0,0,64.7,57.0,0,5,14.3,1,7,1,85.7,6,87.5,1,16.7,0,5,6,6.0,5.0,0.83
Rhamondre Stevenson,98689,HB,NE,1,2,0,19,2.5,0,0.0,,0,0,,0,0,0,,56.2,0,0,20.0,1,5,0,80.0,4,39.6,2,50.0,0,0,0,,,0.0,0,,0,,,0,0,,0,0,0,64.7,70.3,0,0,14.3,2,14,0,71.4,10,0.0,0,0.0,0,0,0,,,0.0
Eric Gray,99143,HB,NYG,1,2,0,21,,0,,,0,0,,0,0,0,,60.0,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,0,0.5,1,100.0,,0,0,0.0,0,0,0,68.3,59.9,0,4,12.5,1,8,2,87.5,7,81.3,2,28.6,0,7,6,3.0,3.5,1.0
JaMycal Hasty,25582,HB,NE,1,2,0,19,,0,,,0,0,,0,0,0,,58.2,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,0,0.0,0,100.0,,0,0,0.0,0,0,0,68.3,62.7,0,1,0.0,0,7,2,100.0,7,79.2,2,28.6,0,0,0,0.0,0.0,0.0
Darius Slayton,25578,WR,NYG,1,2,0,21,,0,,,0,0,,0,0,0,,56.0,0,0,0.0,0,4,0,100.0,4,0.0,0,0.0,0,0,0,,,0.0,0,,0,,,0,0,,0,0,0,,52.6,0,0,0.0,0,16,0,93.8,15,0.0,0,0.0,0,0,0,,,0.0
Dontayvion Wicks,99711,WR,GB,1,2,0,12,,0,,,0,0,,0,0,0,,56.3,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,0,17.5,0,50.0,,0,0,0.0,0,1,0,64.7,66.4,0,25,0.0,0,9,1,100.0,9,95.8,2,22.2,0,25,11,11.0,25.0,2.78
Pharaoh Brown,12247,TE,SEA,1,2,0,29,,0,,,0,0,,0,0,0,,59.9,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,0,5.5,1,100.0,,0,0,0.0,0,1,0,68.3,71.0,0,13,27.3,3,11,2,72.7,8,106.3,2,25.0,0,19,8,4.0,9.5,2.38
Luke McCaffrey,101634,WR,WAS,1,2,0,32,,0,,,0,0,,0,0,0,,57.5,0,0,0.0,0,3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,0,3.0,0,100.0,,0,0,0.0,0,0,0,64.7,55.2,0,8,0.0,0,10,1,90.0,9,100.0,1,11.1,0,8,5,5.0,8.0,0.89
Samaje Perine,11869,HB,KC,1,2,0,16,-7.0,0,100.0,,0,0,0.0,0,0,0,64.7,57.6,0,-2,25.0,2,8,1,75.0,6,79.2,1,16.7,0,-2,5,5.0,-2.0,-0.33,0,,0,,,0,0,,0,0,0,,54.0,0,0,10.0,1,10,0,70.0,7,0.0,0,0.0,0,0,0,,,0.0
