CPT,FLEX,FLEX,FLEX,FLEX,FLEX,,Instructions
,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,TE,Tyrone Swoopes (20380182),Tyrone Swoopes,20380182,CPT,300,SEA@WAS 11/29/2021 09:45PM ET,WAS,0
,,,,,,,RB,Nick Bellore (20380183),Nick Bellore,20380183,CPT,300,SEA@WAS 11/29/2021 09:45PM ET,SEA,0
,,,,,,,RB,Chris Carson (20380184),Chris Carson,20380184,CPT,300,SEA@WAS 11/29/2021 09:45PM ET,SEA,12.28
,,,,,,,WR,Dax Milne (20380185),Dax Milne,20380185,CPT,300,SEA@WAS 11/29/2021 09:45PM ET,WAS,1.46
,,,,,,,TE,Colby Parkinson (20380186),Colby Parkinson,20380186,CPT,300,SEA@WAS 11/29/2021 09:45PM ET,SEA,0.39
,,,,,,,WR,Dyami Brown (20380187),Dyami Brown,20380187,CPT,300,SEA@WAS 11/29/2021 09:45PM ET,WAS,1.96
,,,,,,,RB,Derrius Guice (20380188),Derrius Guice,20380188,CPT,300,SEA@WAS 11/29/2021 09:45PM ET,WAS,0
,,,,,,,RB,Travis Homer (20380189),Travis Homer,20380189,CPT,300,SEA@WAS 11/29/2021 09:45PM ET,SEA,3.64
,,,,,,,WR,Aaron Fuller (20380190),Aaron Fuller,20380190,CPT,300,SEA@WAS 11/29/2021 09:45PM ET,SEA,0
,,,,,,,WR,Marken Michel (20380191),Marken Michel,20380191,CPT,300,SEA@WAS 11/29/2021 09:45PM ET,WAS,0
,,,,,,,TE,Temarrick Hemingway (20380192),Temarrick Hemingway,20380192,CPT,300,SEA@WAS 11/29/2021 09:45PM ET,WAS,0
,,,,,,,WR,John Ursua (20380193),John Ursua,20380193,CPT,300,SEA@WAS 11/29/2021 09:45PM ET,SEA,0
,,,,,,,TE,Dylan Cantrell (20380194),Dylan Cantrell,20380194,CPT,300,SEA@WAS 11/29/2021 09:45PM ET,WAS,0
,,,,,,,TE,Sammis Reyes (20380195),Sammis Reyes,20380195,CPT,300,SEA@WAS 11/29/2021 09:45PM ET,WAS,0
,,,,,,,WR,Kelvin Harmon (20380196),Kelvin Harmon,20380196,CPT,300,SEA@WAS 11/29/2021 09:45PM ET,WAS,0
,,,,,,,TE,Tyler Ott (20380197),Tyler Ott,20380197,CPT,300,SEA@WAS 11/29/2021 09:45PM ET,SEA,0
,,,,,,,WR,Phillip Dorsett II (20380198),Phillip Dorsett II,20380198,CPT,300,SEA@WAS 11/29/2021 09:45PM ET,SEA,0.43
,,,,,,,WR,Antonio Gandy-Golden (20380199),Antonio Gandy-Golden,20380199,CPT,300,SEA@WAS 11/29/2021 09:45PM ET,WAS,0
