QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,WR,Corey Davis (20285957),Corey Davis,20285957,WR/FLEX,4800,NYJ@HOU 11/28/2021 01:00PM ET,NYJ,13.21
,,,,,,,,,,RB,Ronald Jones II (20285697),Ronald Jones II,20285697,RB/FLEX,4800,TB@IND 11/28/2021 01:00PM ET,TB,4.06
,,,,,,,,,,RB,Jordan Howard (20285693),Jordan Howard,20285693,RB/FLEX,4800,PHI@NYG 11/28/2021 01:00PM ET,PHI,11.35
,,,,,,,,,,TE,Dallas Goedert (20286283),Dallas Goedert,20286283,TE/FLEX,4800,PHI@NYG 11/28/2021 01:00PM ET,PHI,9.71
,,,,,,,,,,QB,P.J. Walker (20285595),P.J. Walker,20285595,QB,4800,CAR@MIA 11/28/2021 01:00PM ET,CAR,2.45
,,,,,,,,,,QB,Jacoby Brissett (20285596),Jacoby Brissett,20285596,QB,4800,CAR@MIA 11/28/2021 01:00PM ET,MIA,9.89
,,,,,,,,,,RB,D'Onta Foreman (20285695),D'Onta Foreman,20285695,RB/FLEX,4800,TEN@NE 11/28/2021 01:00PM ET,TEN,5.9
,,,,,,,,,,WR,Tim Patrick (20285959),Tim Patrick,20285959,WR/FLEX,4800,LAC@DEN 11/28/2021 04:05PM ET,DEN,11.33
,,,,,,,,,,QB,Josh Johnson (20285598),Josh Johnson,20285598,QB,4700,NYJ@HOU 11/28/2021 01:00PM ET,NYJ,14.58
,,,,,,,,,,WR,Jamison Crowder (20285961),Jamison Crowder,20285961,WR/FLEX,4700,NYJ@HOU 11/28/2021 01:00PM ET,NYJ,11.79
,,,,,,,,,,QB,Sam Darnold (20285597),Sam Darnold,20285597,QB,4700,CAR@MIA 11/28/2021 01:00PM ET,CAR,17.10
,,,,,,,,,,WR,Robby Anderson (20285963),Robby Anderson,20285963,WR/FLEX,4700,CAR@MIA 11/28/2021 01:00PM ET,CAR,6.69
,,,,,,,,,,RB,Alexander Mattison (20285699),Alexander Mattison,20285699,RB/FLEX,4700,MIN@SF 11/28/2021 04:25PM ET,MIN,7.36
,,,,,,,,,,QB,Jake Luton (20285599),Jake Luton,20285599,QB,4600,CAR@MIA 11/28/2021 01:00PM ET,MIA,0
,,,,,,,,,,RB,Dontrell Hilliard (20285703),Dontrell Hilliard,20285703,RB/FLEX,4600,TEN@NE 11/28/2021 01:00PM ET,TEN,8.1
,,,,,,,,,,TE,Noah Fant (20286285),Noah Fant,20286285,TE/FLEX,4600,LAC@DEN 11/28/2021 04:05PM ET,DEN,10.88
,,,,,,,,,,RB,Trey Sermon (20285701),Trey Sermon,20285701,RB/FLEX,4600,MIN@SF 11/28/2021 04:25PM ET,SF,3.54
,,,,,,,,,,RB,Adrian Peterson (20285707),Adrian Peterson,20285707,RB/FLEX,4500,-,FA,6.33
,,,,,,,,,,RB,David Johnson (20285705),David Johnson,20285705,RB/FLEX,4500,NYJ@HOU 11/28/2021 01:00PM ET,HOU,6.45
,,,,,,,,,,TE,Hunter Henry (20286287),Hunter Henry,20286287,TE/FLEX,4500,TEN@NE 11/28/2021 01:00PM ET,NE,10.26
,,,,,,,,,,WR,Jamal Agnew (20285965),Jamal Agnew,20285965,WR/FLEX,4500,ATL@JAX 11/28/2021 01:00PM ET,JAX,8.2
,,,,,,,,,,QB,Drew Lock (20285600),Drew Lock,20285600,QB,4500,LAC@DEN 11/28/2021 04:05PM ET,DEN,3.52
,,,,,,,,,,TE,Rob Gronkowski (20286289),Rob Gronkowski,20286289,TE/FLEX,4400,TB@IND 11/28/2021 01:00PM ET,TB,14.3
,,,,,,,,,,WR,Laviska Shenault Jr. (20285967),Laviska Shenault Jr.,20285967,WR/FLEX,4400,ATL@JAX 11/28/2021 01:00PM ET,JAX,8.28
,,,,,,,,,,WR,Olamide Zaccheaus (20285969),Olamide Zaccheaus,20285969,WR/FLEX,4400,ATL@JAX 11/28/2021 01:00PM ET,ATL,5.77
,,,,,,,,,,RB,Sony Michel (20285709),Sony Michel,20285709,RB/FLEX,4400,LAR@GB 11/28/2021 04:25PM ET,LAR,5.52
,,,,,,,,,,RB,Ty Johnson (20285713),Ty Johnson,20285713,RB/FLEX,4300,NYJ@HOU 11/28/2021 01:00PM ET,NYJ,8.35
,,,,,,,,,,WR,Nelson Agholor (20285971),Nelson Agholor,20285971,WR/FLEX,4300,TEN@NE 11/28/2021 01:00PM ET,NE,7.92
,,,,,,,,,,TE,Pat Freiermuth (20286291),Pat Freiermuth,20286291,TE/FLEX,4300,PIT@CIN 11/28/2021 01:00PM ET,PIT,9.37
,,,,,,,,,,RB,Carlos Hyde (20285711),Carlos Hyde,20285711,RB/FLEX,4300,ATL@JAX 11/28/2021 01:00PM ET,JAX,4.01
,,,,,,,,,,RB,Rex Burkhead (20285717),Rex Burkhead,20285717,RB/FLEX,4200,NYJ@HOU 11/28/2021 01:00PM ET,HOU,2.41
,,,,,,,,,,RB,Kenneth Gainwell (20285715),Kenneth Gainwell,20285715,RB/FLEX,4200,PHI@NYG 11/28/2021 01:00PM ET,PHI,7.78
,,,,,,,,,,RB,Wayne Gallman Jr. (20285719),Wayne Gallman Jr.,20285719,RB/FLEX,4200,ATL@JAX 11/28/2021 01:00PM ET,ATL,2.32
,,,,,,,,,,TE,Tyler Higbee (20286293),Tyler Higbee,20286293,TE/FLEX,4200,LAR@GB 11/28/2021 04:25PM ET,LAR,9.04
,,,,,,,,,,QB,Mike Glennon (20285604),Mike Glennon,20285604,QB,4100,PHI@NYG 11/28/2021 01:00PM ET,NYG,10.04
,,,,,,,,,,QB,C.J. Beathard (20285603),C.J. Beathard,20285603,QB,4100,ATL@JAX 11/28/2021 01:00PM ET,JAX,1.32
,,,,,,,,,,QB,Chase Daniel (20285602),Chase Daniel,20285602,QB,4100,LAC@DEN 11/28/2021 04:05PM ET,LAC,0
,,,,,,,,,,WR,Marquez Valdes-Scantling (20285973),Marquez Valdes-Scantling,20285973,WR/FLEX,4100,LAR@GB 11/28/2021 04:25PM ET,GB,8.98
,,,,,,,,,,QB,Sean Mannion (20285601),Sean Mannion,20285601,QB,4100,MIN@SF 11/28/2021 04:25PM ET,MIN,0
,,,,,,,,,,QB,James Morgan (20285618),James Morgan,20285618,QB,4000,NYJ@HOU 11/28/2021 01:00PM ET,NYJ,0
,,,,,,,,,,RB,Phillip Lindsay (20285881),Phillip Lindsay,20285881,RB/FLEX,4000,CAR@MIA 11/28/2021 01:00PM ET,MIA,3.17
,,,,,,,,,,QB,Deshaun Watson (20285633),Deshaun Watson,20285633,QB,4000,NYJ@HOU 11/28/2021 01:00PM ET,HOU,0
,,,,,,,,,,QB,Jeff Driskel (20285634),Jeff Driskel,20285634,QB,4000,NYJ@HOU 11/28/2021 01:00PM ET,HOU,0
,,,,,,,,,,RB,Tevin Coleman (20285865),Tevin Coleman,20285865,RB/FLEX,4000,NYJ@HOU 11/28/2021 01:00PM ET,NYJ,3.18
,,,,,,,,,,RB,La'Mical Perine (20285867),La'Mical Perine,20285867,RB/FLEX,4000,NYJ@HOU 11/28/2021 01:00PM ET,NYJ,0.1
,,,,,,,,,,RB,Austin Walter (20285869),Austin Walter,20285869,RB/FLEX,4000,NYJ@HOU 11/28/2021 01:00PM ET,NYJ,0
,,,,,,,,,,RB,Nick Bawden (20285871),Nick Bawden,20285871,RB/FLEX,4000,NYJ@HOU 11/28/2021 01:00PM ET,NYJ,1.5
,,,,,,,,,,RB,Royce Freeman (20285873),Royce Freeman,20285873,RB/FLEX,4000,NYJ@HOU 11/28/2021 01:00PM ET,HOU,1.52
