,,,,,Game and Vegas,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,Proj. Fantasy Pts,,,Projected Values,,,,Position Rankings,,,,Overall Rankings,,,Actual Data,,Position Rankings,,,Overall Rankings,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
Saquon Barkley,,0,RB,8900,NYG,vs DET,24,23.75,10.4,11.7,21.3,0,0,0,0,0,0.6563,22.6,102.01,0.65,28.61,0.1984,6.01,4.43,31.74,0.14,0,0,0,0,0,0,22.55,22.55,0,6.95,43.35,22.55,22.55,36,0,100,,113,45,2.5,5.50,0.6,2,2,2,3,10,10,,,,,,,,15.91,71.81,0.46,5.52,4.07,31.22,0.15,,,,,,,
Austin Ekeler,,0,RB,8500,LAC,vs KC,8,23.75,10,21.9,24,0,0,0,0,0,0.4902,12,54.91,0.45,19.68,0.2058,7.68,6.13,53.81,0.47,0,0,0,0,0,0,22.52,22.52,0,7.52,42.52,22.52,22.52,8,0,100,,33,41,2.6,18.00,2.1,3,3,3,5,11,11,,,,,,,,8.99,41.14,0.34,5.56,4.44,39.91,0.35,,,,,,,
Mark Andrews,,0,TE,6800,BAL,vs CAR,23,27.25,9.3,19,15.9,0,0,0,0,0,0,0,0,0,11.29,0.3314,11.29,7.5,93.21,0.85,0,0,0,0,0,0,21.92,21.92,0,7.97,40.52,21.92,21.92,7,0,100,,62,30,3.2,12.30,1.8,2,2,2,20,12,12,,,,,,,,0.04,0.09,,6.61,4.39,55.89,0.49,,,,,,,
Stefon Diggs,,0,WR,8300,BUF,vs CLE,24,28.25,9.9,16,25.6,0,0,0,0,0,0,0,0,0,11.97,0.3371,11.97,8.21,99.8,0.62,0,0,0,0,0,0,21.91,21.91,0,7.06,41.71,21.91,21.91,15,0,100,,47,42,2.6,14.80,1.8,4,3,3,7,13,13,0.02,0.01,0.12,,0.02,,0.98,0.28,1.45,0.01,8.51,5.84,73.85,0.48,,,,,,,
DeAndre Hopkins,!,0,WR,7900,ARI,vs SF,11,17.00,8.8,14.7,23.4,0,0,0,0,0,0,0,0,0,12.82,0.3662,12.82,8.11,98.45,0.61,0,0,0,0,0,0,21.62,21.62,0,8.42,39.22,21.62,21.62,11,0,100,,32,54,2.7,18.10,2.3,6,4,4,11,14,14,0.03,0.01,0.05,0.01,,0.01,0.27,0.04,0.11,,10.18,6.44,82.55,0.55,,,,,,,
Alvin Kamara,,0,RB,7600,NO,vs LAR,3,20.75,10.9,18.1,17.3,0,0,0,0,0,0.5709,15.65,70.87,0.72,21.77,0.2027,6.12,4.73,39.71,0.24,0,0,0,0,0,0,21.55,21.55,0,5.2,43.35,21.55,21.55,18,0,100,,60,47,2.8,12.90,1.7,8,4,4,14,15,15,0.01,0.01,0.14,,,,1.55,12.43,56.29,0.57,6.47,5,43.31,0.26,,,,,,,
A.J. Brown,,0,WR,8000,PHI,@ IND,2,25.75,10.6,15.6,17.6,0,0,0,0,0,0,0,0,0,10.51,0.3275,10.51,6.47,103.21,0.7,0,0,0,0,0,0,20.99,20.99,0,5.09,42.19,20.99,20.99,33,0,100,,76,33,2.6,10.00,1.3,5,5,5,10,16,16,0.04,,,,,,1.39,0.11,1.39,0.02,6.98,4.3,70.3,0.56,,,,,,,
Dak Prescott,,0,QB,6600,DAL,@ MIN,22,25.25,9.1,22,16.3,1,37.47,284.58,1.62,0.69,0.1203,3.66,17.31,0.32,3.66,0,0,0,0,0,0,0,0,0,0,0,20.82,20.82,0,7.17,39.02,20.82,20.82,12,0,100,,28,56,3.2,20.64,3.1,9,6,6,22,17,17,33.76,22.32,255.67,0.62,2.06,1.66,97.88,3.56,16.84,0.31,,,,,,,,,,,
Justin Jefferson,,0,WR,9100,MIN,vs DAL,17,23.25,10.9,20.2,25.2,0,0,0,0,0,0,0,0,0,10.65,0.3261,10.65,7.1,103.92,0.55,0,0,0,0,0,0,20.79,20.79,0,4.44,42.59,20.79,20.79,44,0,100,,104,47,2.3,6.30,0.7,1,6,6,1,18,18,0.12,0.07,1.35,,,,9.98,0.23,0.84,0.02,9.42,6.28,95.86,0.49,,,,,,,
Justin Herbert,,0,QB,6900,LAC,vs KC,29,23.75,8.7,24.1,17.7,1,37.33,273.61,1.93,0.72,0.1373,3.36,14.12,0.19,3.36,0,0,0,0,0,0,0,0,0,0,0,20.5,20.5,0,7.45,37.9,20.5,20.5,11,0,100,,27,62,3,20.70,3,7,7,7,19,19,19,39.62,26.19,283.29,0.76,1.79,2.02,97.73,3.45,14.5,0.19,,,,,,,,,,,
Daniel Jones,,0,QB,5700,NYG,vs DET,30,23.75,8.6,16.4,17.1,1,30.3,216.61,1.23,0.62,0.25,8.61,49.53,0.29,8.61,0,0,0,0,0,0,0,0,0,0,0,19.66,19.66,0,6.76,36.86,19.66,19.66,4,0,100,,10,49,3.4,29.64,5.2,14,8,8,31,20,20,32.02,20.26,212.64,0.66,2.83,1.13,86.6,5.13,29.51,0.17,,,,,,,,,,,
Courtland Sutton,,0,WR,6000,DEN,vs LV,27,21.75,6.9,9.2,11.5,0,0,0,0,0,0,0,0,0,11.84,0.3772,11.84,6.66,100.69,0.48,0,0,0,0,0,0,19.61,19.61,0,9.26,33.41,19.61,19.61,23,0,100,,59,36,3.3,13.00,2.2,19,7,7,28,21,21,0.03,0.03,0.9,,,,6.04,0.08,0.35,,6.52,3.67,53.8,0.22,,,,,,,
Joe Mixon,!,0,RB,7400,CIN,@ PIT,5,21.25,9.8,18.2,19.4,0,0,0,0,0,0.7188,14.05,57.52,0.43,20.69,0.2083,6.64,5.41,40.97,0.25,0,0,0,0,0,0,19.34,19.34,0,4.64,38.94,19.34,19.34,24,0,100,,82,40,2.6,9.20,1.2,10,5,5,16,22,22,0.01,0.01,0.08,,,0.01,1.66,16.73,68.49,0.51,3.52,2.87,21.53,0.13,,,,,,,
Josh Jacobs,,0,RB,7500,LV,@ DEN,17,19.75,8.5,15.7,20.5,0,0,0,0,0,0.8526,14.22,62.75,0.55,20.75,0.1792,6.53,5.18,35.6,0.16,0,0,0,0,0,0,19.28,19.28,0,6.53,36.28,19.28,19.28,6,0,100,,25,49,2.6,22.00,2.9,9,6,6,15,23,23,,,,,,,,17.06,75.28,0.66,3.38,2.68,18.79,,,,,,,,
Kirk Cousins,,0,QB,6100,MIN,vs DAL,10,23.25,7.8,19.5,18.4,1,32.67,260.78,1.73,0.63,0.1042,2.67,8.26,0.2,2.67,0,0,0,0,0,0,0,0,0,0,0,18.75,18.75,0,7.05,34.35,18.75,18.75,30,0,100,,133,60,3.1,3.20,0.5,10,9,9,27,24,24,34.46,23.2,263.26,0.66,2.1,1.8,100.93,2.16,6.68,0.16,,,,,,,,,,,
Derek Carr,,0,QB,5600,LV,@ DEN,2,19.75,7.6,17.4,15.8,1,36.43,271.81,2.01,0.68,0.0632,1.05,3.23,0.03,1.05,0,0,0,0,0,0,0,0,0,0,0,18.74,18.74,0,7.34,33.94,18.74,18.74,8,0,100,,20,56,3.3,23.28,4.2,15,10,10,32,25,25,34.88,22.89,255.09,0.65,1.95,1.54,94.8,1.98,6.09,0.05,,,,,,,,,,,
Russell Wilson,,0,QB,5800,DEN,vs LV,31,21.75,8.5,16.9,15.6,1,31.39,236.16,1.62,0.57,0.1502,4.37,22.96,0.1,4.37,0,0,0,0,0,0,0,0,0,0,0,18.25,18.25,0,5.5,35.25,18.25,18.25,21,0,100,,74,58,3.1,10.68,1.8,13,11,11,30,26,26,31.3,20.24,242.47,0.57,2.85,1.87,101.56,4.73,24.85,0.11,,,,,,,,,,,
Nick Chubb,,0,RB,8200,CLE,@ BUF,11,21.25,9.8,15.9,21.6,0,0,0,0,0,0.6685,16.3,86.79,0.69,20.09,0.1191,3.79,2.81,21.04,0.08,0,0,0,0,0,0,18.21,18.21,0,3.51,37.81,18.21,18.21,23,0,100,,79,41,2.2,9.70,1.2,4,7,7,8,27,27,,,,,,,,15.62,83.17,0.66,2.17,1.61,13.25,0.06,,,,,,,
Marcus Mariota,,0,QB,5500,ATL,vs CHI,9,25.25,9.6,2.1,16.5,1,30.31,232.66,1.31,0.76,0.1639,4.99,29.76,0.24,4.99,0,0,0,0,0,0,0,0,0,0,0,18.2,18.2,0,3.8,37.4,18.2,18.2,13,0,100,,34,36,3.3,17.74,3.2,16,12,12,33,28,28,24.57,15.35,183.45,0.62,2.26,1.1,83.51,3.95,23.56,0.19,,,,,,,,,,,
Joe Burrow,,0,QB,6800,CIN,@ PIT,26,21.25,8.5,20.9,24.1,1,31.88,247.13,1.58,0.61,0.1667,3.26,11.47,0.24,3.26,0,0,0,0,0,0,0,0,0,0,0,18.18,18.18,0,5.43,35.18,18.18,18.18,1,0,100,,6,60,2.7,31.70,4.7,8,13,13,20,29,29,35.87,24.62,280.49,0.69,3.38,1.79,100.72,3.15,11.08,0.23,,,,,,,,,,,
Aaron Jones,,0,RB,7200,GB,vs TEN,1,21.75,11.1,16.4,17.2,0,0,0,0,0,0.5435,13.83,70.48,0.64,18.45,0.1497,4.62,3.45,25.67,0.21,0,0,0,0,0,0,18.17,18.17,0,1.52,40.37,18.17,18.17,14,0,100,,51,34,2.5,14.00,1.9,11,8,8,17,30,30,,,,,,,,12.41,63.24,0.57,3.87,2.89,22.65,0.2,,,,,,,
Amon-Ra St. Brown,,0,WR,7200,DET,@ NYG,16,20.75,11,14.6,16.5,0,0,0,0,0,0,0,0,0,10.46,0.3075,10.46,7.69,80.71,0.38,0,0,0,0,0,0,18.04,18.04,0,1.54,40.04,18.04,18.04,14,0,100,,46,28,2.5,15.00,2.1,9,8,8,17,31,31,,,,,,,,0.42,5.46,0.04,7.88,5.79,59.58,0.33,,,,,,,
Dalvin Cook,,0,RB,8000,MIN,vs DAL,12,23.25,9.8,16.5,17.4,0,0,0,0,0,0.7083,18.18,85.73,0.71,21.73,0.1086,3.55,2.73,20.67,0.06,0,0,0,0,0,0,17.99,17.99,0,3.29,37.59,17.99,17.99,30,0,100,,97,49,2.2,7.20,0.9,6,9,9,10,32,32,,,,,,,,17.46,82.33,0.68,4.07,3.13,24.72,0.07,,,,,,,
Tee Higgins,,0,WR,7100,CIN,@ PIT,31,21.25,9,16.6,14.8,0,0,0,0,0,0,0,0,0,9.3,0.2916,9.3,6.08,88.1,0.51,0,0,0,0,0,0,17.95,17.95,0,4.45,35.95,17.95,17.95,4,0,100,,12,40,2.5,26.80,3.8,10,9,9,18,33,33,,,,,,,,0.12,0.68,,7.46,4.88,70.05,0.41,,,,,,,
Deebo Samuel,,0,WR,6900,SF,@ ARI,9,26.00,8.6,20.6,14,0,0,0,0,0,0.1072,3.18,21.09,0.29,10.74,0.2358,7.56,4.96,73.14,0.3,0,0,0,0,0,0,17.92,17.92,0,5.02,35.12,17.92,17.92,7,0,100,,22,46,2.6,22.40,3.2,11,10,10,19,34,34,0.04,0.02,0.45,,,0.02,3.73,2.7,17.91,0.25,6.45,4.23,62.57,0.25,,,,,,,
Aaron Rodgers,,0,QB,6000,GB,vs TEN,32,21.75,8.6,21.1,15.6,1,30.84,238.88,2.15,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.81,17.81,0,4.91,35.01,17.81,17.81,14,0,100,,40,60,3,17.08,2.8,11,14,14,28,35,35,35.5,23.02,260.24,0.4,2.32,2.13,102.87,2.81,13.8,0.12,,,,,,,,,,,
Derrick Henry,,0,RB,8100,TEN,@ GB,19,18.75,12.3,24.5,21.4,0,0,0,0,0,0.7629,23.6,113.67,1.03,23.6,0,0,0,0,0,0,0,0,0,0,0,17.55,17.55,0,0,42.15,17.55,17.55,4,0,100,,14,25,2.2,25.36,3.1,5,10,10,9,36,36,0.05,0.04,0.22,,,0.02,7.82,17.34,83.52,0.76,1.58,1.22,10.67,0.03,,,,,,,
James Conner,,0,RB,6300,ARI,vs SF,7,17.00,10.6,15.9,12.2,0,0,0,0,0,0.7796,15.76,64.5,0.79,19.64,0.1109,3.88,3.26,24.81,0.1,0,0,0,0,0,0,17.53,17.53,0,1.63,38.73,17.53,17.53,16,0,100,,56,23,2.8,13.40,2.1,15,11,11,25,37,37,,,,,,,,11.35,46.45,0.57,3.12,2.62,21.07,0.09,,,,,,,
Jared Goff,,0,QB,5400,DET,@ NYG,13,20.75,8.6,15.1,17.4,1,34.03,244.23,1.71,0.71,0.0777,2.24,5.06,0.1,2.24,0,0,0,0,0,0,0,0,0,0,0,17.01,17.01,0,4.11,34.21,17.01,17.01,27,0,100,,102,50,3.2,6.50,1.2,17,15,15,34,38,38,34.84,22.18,255.07,0.73,1.97,1.48,91.97,2.15,4.86,0.1,,,,,,,,,,,
Rhamondre Stevenson,,0,RB,6700,NE,vs NYJ,23,20.75,8.7,10.1,16.9,0,0,0,0,0,0.5001,13.27,61.45,0.44,18.72,0.1957,5.45,4.38,32.23,0.09,0,0,0,0,0,0,16.93,16.93,0,3.88,34.33,16.93,16.93,13,0,100,,50,33,2.5,14.20,2.1,13,12,12,21,39,39,,,,,,,,12.27,56.82,0.41,3,2.41,17.41,0.05,,,,,,,
Taylor Heinicke,,0,QB,5300,WAS,@ HOU,12,22.25,8.1,15.2,15.2,1,33.61,231.86,1.61,1.1,0.1111,3.48,17.04,0.09,3.48,0,0,0,0,0,0,0,0,0,0,0,16.86,16.86,0,4.71,33.06,16.86,16.86,24,0,100,,93,34,3.2,7.84,1.5,18,16,16,35,40,40,25.88,16.62,176.5,0.85,1.92,1,86.31,3.19,15.62,0.08,,,,,,,,,,,
Jonathan Taylor,,0,RB,7800,IND,vs PHI,14,19.75,11.1,22.9,14.8,0,0,0,0,0,0.576,13.51,69.23,0.6,17.33,0.1281,3.82,2.99,23.34,0.1,0,0,0,0,0,0,16.45,16.45,0,0,38.65,16.45,16.45,11,0,100,,37,43,2.1,17.40,2.2,7,13,13,12,41,41,,,,,,,,17.49,89.63,0.78,3.05,2.39,18.78,0.07,,,,,,,
Jimmy Garoppolo,,0,QB,5900,SF,@ ARI,17,26.00,8.2,15.8,16.6,1,32.05,265.66,1.47,0.88,0.0715,2.12,2.82,0.09,2.12,0,0,0,0,0,0,0,0,0,0,0,16.45,16.45,0,4.15,32.85,16.45,16.45,5,0,100,,13,41,2.8,25.42,4.3,12,17,17,29,41,41,25.17,16.86,208.07,0.69,1.77,1.21,89.18,2.31,3.07,0.1,,,,,,,,,,,
Terry McLaurin,,0,WR,5900,WAS,@ HOU,8,22.25,8.1,13.3,14.2,0,0,0,0,0,0,0,0,0,9.54,0.2838,9.54,5.98,84.19,0.34,0,0,0,0,0,0,16.44,16.44,0,4.29,32.64,16.44,16.44,36,0,100,,80,43,2.8,9.60,1.6,20,11,11,29,42,42,,,,,,,,0.12,0.93,,7.67,4.81,68.46,0.32,,,,,,,
Miles Sanders,,0,RB,6900,PHI,@ IND,13,25.75,7.8,10,13.9,0,0,0,0,0,0.5109,17.55,88.11,0.4,21.43,0.121,3.88,2.74,20.51,0.06,0,0,0,0,0,0,16.36,16.36,0,4.66,31.96,16.36,16.36,34,0,100,,109,40,2.4,5.80,0.8,12,14,14,19,43,43,,,,,,,,12.63,63.41,0.29,3.35,2.37,18.16,0.06,,,,,,,
Dameon Pierce,,0,RB,6500,HOU,vs WAS,2,19.25,6.5,0,15.6,0,0,0,0,0,0.8367,21.1,98.74,0.38,23.64,0.0759,2.54,2.07,11.38,0.08,0,0,0,0,0,0,15.84,15.84,0,6.09,28.84,15.84,15.84,41,0,100,,128,58,2.4,3.70,0.6,14,15,15,23,44,44,,,,,,,,18.33,85.78,0.33,3,2.44,14,0.11,,,,,,,
Jacoby Brissett,,0,QB,5400,CLE,@ BUF,3,21.25,8,7.9,15.2,1,31.79,231.34,1.26,0.47,0.0973,2.37,9.09,0.16,2.37,0,0,0,0,0,0,0,0,0,0,0,15.69,15.69,0,3.69,31.69,15.69,15.69,3,0,100,,9,26,2.9,29.86,5.5,17,18,18,34,45,45,22.36,13.61,146.51,0.33,1.82,0.66,69.63,3.25,12.46,0.22,,,,,,,,,,,
Zach Wilson,,0,QB,5000,NYJ,@ NE,19,17.75,6.4,12.6,13.5,1,32.51,224.87,1.02,0.94,0.1289,3.2,16.21,0.32,3.2,0,0,0,0,0,0,0,0,0,0,0,15.68,15.68,0,6.08,28.48,15.68,15.68,29,0,100,,111,50,3.1,5.68,1.1,21,19,19,38,46,46,28.95,16.26,186.11,0.84,2.95,0.68,73.41,2.63,13.32,0.26,,,,,,,,,,,
Andy Dalton,,0,QB,5300,NO,vs LAR,8,20.75,7.6,12.5,15.3,1,30.19,220.42,1.42,0.73,0.1039,2.85,9.32,0.13,2.85,0,0,0,0,0,0,0,0,0,0,0,15.48,15.48,0,4.08,30.68,15.48,15.48,10,0,100,,24,54,2.9,22.20,4.2,18,20,20,35,47,47,32.88,20.65,232.41,0.8,2.2,1.45,89.28,2.64,8.63,0.12,,,,,,,,,,,
Matthew Stafford,!,0,QB,5500,LAR,@ NO,7,18.75,7.3,22.5,13.5,1,31.43,230.09,1.52,0.66,0.0813,1.67,5.48,0.04,1.67,0,0,0,0,0,0,0,0,0,0,0,15.41,15.41,0,4.46,30.01,15.41,15.41,18,0,100,,48,61,2.8,14.76,2.7,16,21,21,33,48,48,35.45,23.43,267.81,0.74,2.47,1.77,98.07,2.11,6.93,0.05,,,,,,,,,,,
Kenyan Drake,,0,RB,5900,BAL,vs CAR,26,27.25,9,8.5,10.7,0,0,0,0,0,0.4374,16.4,73.59,0.64,19.25,0.0837,2.85,2.1,15.56,0.08,0,0,0,0,0,0,15.34,15.34,0,1.84,33.34,15.34,15.34,29,0,100,,96,18,2.6,7.30,1.2,19,16,16,29,49,49,,,,,,,,9.03,40.52,0.35,3.07,2.26,17.17,0.09,,,,,,,
DJ Moore,,0,WR,5700,CAR,@ BAL,22,14.25,7.7,14.6,11.2,0,0,0,0,0,0,0,0,0,9.36,0.33,9.36,5.55,77.48,0.34,0,0,0,0,0,0,15.34,15.34,0,3.79,30.74,15.34,15.34,50,0,100,,114,43,2.7,5.40,0.9,22,12,12,31,49,49,0.01,,,,,,0.54,0.49,4.4,,7.86,4.66,65.63,0.23,,,,,,,
Brandin Cooks,,0,WR,5400,HOU,vs WAS,30,19.25,9.1,15.2,10.2,0,0,0,0,0,0,0,0,0,8.46,0.253,8.46,5.46,73.54,0.38,0,0,0,0,0,0,15.09,15.09,0,1.44,33.29,15.09,15.09,33,0,100,,76,38,2.8,10.00,1.9,25,13,13,34,50,50,,,,,,,,0.36,1.98,0.01,7.49,4.83,67.81,0.36,,,,,,,
D'Onta Foreman,,0,RB,5900,CAR,@ BAL,10,14.25,8.5,11.1,9.3,0,0,0,0,0,0.7224,15.97,70.88,0.45,18.83,0.101,2.86,2.07,25.21,0.11,0,0,0,0,0,0,15.04,15.04,0,2.29,32.04,15.04,15.04,47,0,100,,140,0,2.5,2.40,0.4,19,17,17,29,51,51,,,,,,,,9.97,44.25,0.28,0.91,0.66,8.09,0.03,,,,,,,
Michael Pittman,,0,WR,6100,IND,vs PHI,4,19.75,7.8,14.4,14.7,0,0,0,0,0,0,0,0,0,8.95,0.2999,8.95,6.11,71.23,0.28,0,0,0,0,0,0,14.91,14.91,0,3.21,30.51,14.91,14.91,19,0,100,,55,37,2.4,13.50,2.2,18,14,14,27,52,52,,,,,,,,0.23,2.03,,7.1,4.85,56.95,0.2,,,,,,,
Davis Mills,,0,QB,5200,HOU,vs WAS,24,19.25,7.9,13.8,13.5,1,33.43,234.81,1.42,0.92,0.0612,1.54,3.7,0.06,1.54,0,0,0,0,0,0,0,0,0,0,0,14.88,14.88,0,3.03,30.68,14.88,14.88,20,0,100,,66,42,2.9,11.76,2.3,19,22,22,36,53,53,31.32,20.32,210.86,0.86,2.45,1.23,84.82,1.36,3.27,,,,,,,,,,,,
Foster Moreau,,0,TE,3700,LV,@ DEN,12,19.75,4.5,5.7,7.8,0,0,0,0,0,0,0,0,0,7.53,0.2068,7.53,5.21,59.22,0.62,0,0,0,0,0,0,14.85,14.85,0,8.1,23.85,14.85,14.85,19,0,100,,122,29,4,4.30,1.2,16,3,3,51,54,54,,,,,,,,,0.05,,3.05,2.11,24.46,0.3,,,,,,,
Gabriel Davis,,0,WR,6300,BUF,vs CLE,24,28.25,10.3,11.5,13.9,0,0,0,0,0,0,0,0,0,6.78,0.191,6.78,3.73,67.18,0.72,0,0,0,0,0,0,14.77,14.77,0,0,35.37,14.77,14.77,26,0,100,,65,2,2.3,11.80,1.9,16,15,15,25,55,55,,,,,,,,0.02,,,4.45,2.45,45.89,0.52,,,,,,,
Kenny Pickett,,0,QB,5300,PIT,vs CIN,11,18.25,3.8,0,13.6,1,30.75,197.38,0.79,1.26,0.1496,3.98,21.96,0.44,3.98,0,0,0,0,0,0,0,0,0,0,0,14.63,14.63,0,8.93,22.23,14.63,14.63,17,0,100,,44,72,2.8,16.00,3,18,23,23,35,56,56,32.5,21.67,193.5,1.33,,0.33,,4.5,24.83,0.5,,,,,,,,,,,
Devin Singletary,,0,RB,5800,BUF,vs CLE,29,28.25,6.3,12.6,11.6,0,0,0,0,0,0.4713,13.91,64,0.35,18.3,0.1236,4.39,3.31,21.52,0.08,0,0,0,0,0,0,14.44,14.44,0,4.99,27.04,14.44,14.44,9,0,100,,35,44,2.5,17.70,3.1,20,18,18,30,57,57,,,,,,,,10.7,49.23,0.27,3.45,2.6,17.6,0.07,,,,,,,
Tyler Higbee,,0,TE,4000,LAR,@ NO,5,18.75,6.3,9.3,9.2,0,0,0,0,0,0,0,0,0,8.68,0.2762,8.68,5.91,62.97,0.37,0,0,0,0,0,0,14.43,14.43,0,4.98,27.03,14.43,14.43,9,0,100,,88,14,3.6,8.50,2.1,13,4,4,48,58,58,,,,,,,,0.01,0.01,,4.36,2.97,30.62,0.18,,,,,,,
Greg Dulcich,,0,TE,3800,DEN,vs LV,18,21.75,4.4,0,9.6,0,0,0,0,0,0,0,0,0,7.52,0.2397,7.52,4.66,71.23,0.43,0,0,0,0,0,0,14.36,14.36,0,7.76,23.16,14.36,14.36,14,0,100,,100,54,3.8,7.00,1.8,15,5,5,50,59,59,,,,,,,,,,,5.25,3.25,48.25,0.25,,,,,,,
Colt McCoy,,0,QB,4900,ARI,vs SF,4,17.00,7.5,6.6,13.9,1,35.02,249.27,1.24,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.22,14.22,0,2.97,29.22,14.22,14.22,23,0,100,,90,0,2.9,8.32,1.7,22,24,24,39,60,60,17.29,11.71,116.18,0.35,1.53,0.53,73.6,2.94,7.47,,,,,,,,,,,,
