,,,,,Game and Vegas,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,Proj. Fantasy Pts,,,Projected Values,,,,,,,,,Position Rankings,,,Overall Rankings,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
Chris Godwin,,0,WR,6400,TB,vs DAL,31,21.75,9.5,18.5,15.4,0,0,0,0,0,0,0,0,0,11.15,0.2519,11.15,7.89,97.57,0.6,0,0,0,0,0,0,21.25,21.25,0,7,40.25,21.25,21.25,0,100,,36,3.3,10,3,3,13,12,12,,,,,,,,0.1,0.45,0.01,7.31,5.17,66.17,0.37,,,,,,,
Dak Prescott,,0,QB,6000,DAL,@ TB,32,23.75,8.9,22,18.1,1,34.49,264.72,1.64,0.7,0.12,4.06,19,0.32,4.06,0,0,0,0,0,0,0,0,0,0,0,20.27,20.27,0,6.92,38.07,20.27,20.27,0,100,,56,3.4,6,7,7,17,13,13,33.73,22.33,255.26,0.68,2.03,1.7,97.7,3.59,16.8,0.28,,,,,,,,,,,
Trevor Lawrence,!,0,QB,5700,JAC,vs LAC,6,22.75,7.7,13.4,19.1,1,38.24,261.77,1.4,0.81,0.1948,5.6,25.93,0.3,5.6,0,0,0,0,0,0,0,0,0,0,0,19.65,19.65,0,8.1,35.05,19.65,19.65,0,100,,52,3.4,9,8,8,20,14,14,34.88,21.94,228.06,0.74,1.74,1.09,83.7,3.97,18.38,0.21,,,,,,,,,,,
Stefon Diggs,,0,WR,7600,BUF,vs MIA,2,28.25,9.8,16,21.1,0,0,0,0,0,0,0,0,0,10.56,0.3056,10.56,7.22,87.99,0.55,0,0,0,0,0,0,19.32,19.32,0,4.62,38.92,19.32,19.32,0,100,,42,2.5,5,4,4,7,15,15,0.02,0.01,0.12,,0.02,,0.93,0.27,1.35,0.01,8.48,5.8,73.28,0.48,,,,,,,
Dalvin Cook,,0,RB,7000,MIN,vs NYG,22,25.75,9.8,16.5,14.6,0,0,0,0,0,0.7204,19.13,88.55,0.71,23,0.0935,3.87,2.97,22.93,0.08,0,0,0,0,0,0,18.86,18.86,0,4.16,38.46,18.86,18.86,0,100,,47,2.7,4,4,4,8,16,16,,,,,0.01,,,17.19,79.57,0.64,3.95,3.03,24.09,0.08,,,,,,,
Mike Evans,,0,WR,6900,TB,vs DAL,31,21.75,10.4,17.9,15.6,0,0,0,0,0,0,0,0,0,10.13,0.2289,10.13,5.86,86.62,0.72,0,0,0,0,0,0,18.84,18.84,0,3.24,39.64,18.84,18.84,0,100,,38,2.7,7,5,5,9,17,17,,,,,,,,0.01,0.08,,8.62,4.99,76.24,0.57,,,,,,,
CeeDee Lamb,,0,WR,7700,DAL,@ TB,16,23.75,9,14.2,18.6,0,0,0,0,0,0,0,0,0,10.1,0.2929,10.1,6.75,86.81,0.55,0,0,0,0,0,0,18.73,18.73,0,5.23,36.73,18.73,18.73,0,100,,42,2.4,4,6,6,6,18,18,,,,,0.02,,,0.59,4.12,0.02,7.78,5.2,67.8,0.39,,,,,,,
Tyreek Hill,,0,WR,7900,MIA,@ BUF,29,15.25,11.5,18.4,21.3,0,0,0,0,0,0,0,0,0,11.02,0.3642,11.02,7.52,83.87,0.44,0,0,0,0,0,0,18.55,18.55,0,1.3,41.55,18.55,18.55,0,100,,39,2.3,3,7,7,5,19,19,0.01,,,0.01,,,,0.93,7.06,0.07,8.19,5.59,77.03,0.56,,,,,,,
Brock Purdy,,0,QB,5300,SF,vs SEA,7,25.50,8.4,0,12.3,1,31.3,259.14,1.96,0.73,0.0835,2.84,1.68,0.13,2.84,0,0,0,0,0,0,0,0,0,0,0,18.42,18.42,0,5.82,35.22,18.42,18.42,0,100,,32,3.5,11,9,9,24,20,20,18.89,12.67,152.67,0.44,,1.44,,2.44,1.44,0.11,,,,,,,,,,,
Joe Mixon,,0,RB,6800,CIN,vs BAL,2,24.75,9.5,18.2,17.3,0,0,0,0,0,0.6058,16.11,65.79,0.48,21.09,0.1405,4.98,4.08,29.34,0.16,0,0,0,0,0,0,17.43,17.43,0,3.18,36.43,17.43,17.43,0,100,,41,2.6,5,5,5,10,21,21,0.01,0.01,0.07,,,0.01,1.56,16.44,67.14,0.49,3.61,2.96,22.26,0.12,,,,,,,
Keenan Allen,,0,WR,7000,LAC,@ JAC,15,24.75,9.2,16.9,17.1,0,0,0,0,0,0,0,0,0,10.12,0.2323,10.12,6.99,78.21,0.43,0,0,0,0,0,0,17.39,17.39,0,3.59,35.79,17.39,17.39,0,100,,48,2.5,6,8,8,8,22,22,0.02,,,,0.01,,0.8,0.16,1.08,,9.61,6.64,77.2,0.41,,,,,,,
Geno Smith,,0,QB,5600,SEA,@ SF,18,16.50,9.4,14.1,19.5,1,27.98,219.81,1.5,0.51,0.2081,4.74,23.14,0.09,4.74,0,0,0,0,0,0,0,0,0,0,0,17.14,17.14,0,3.04,35.94,17.14,17.14,0,100,,32,3.1,10,10,10,21,23,23,24.77,16.94,181.55,0.45,2.26,1.26,88.14,3.06,14.94,0.06,,,,,,,,,,,
Travis Etienne,,0,RB,6300,JAC,vs LAC,23,22.75,8.7,0,13.1,0,0,0,0,0,0.6364,18.28,93.49,0.41,21.61,0.087,3.33,2.59,22.36,0.08,0,0,0,0,0,0,17.12,17.12,0,4.07,34.52,17.12,17.12,0,100,,34,2.7,7,6,6,14,24,24,,,,,,,,12.94,66.18,0.29,2.65,2.06,18.59,,,,,,,,
Christian Kirk,,0,WR,5900,JAC,vs LAC,11,22.75,7.8,12.3,14.8,0,0,0,0,0,0,0,0,0,9.98,0.2609,9.98,6.5,77.43,0.44,0,0,0,0,0,0,16.88,16.88,0,5.18,32.48,16.88,16.88,0,100,,37,2.9,13,9,9,18,25,25,0.03,0.01,0.45,,,,2.14,0.28,2.07,,6.77,4.41,54.88,0.34,,,,,,,
Mark Andrews,,0,TE,5200,BAL,@ CIN,9,15.75,9.1,19,13.3,0,0,0,0,0,0,0,0,0,9.96,0.3709,9.96,6.6,72.98,0.44,0,0,0,0,0,0,16.54,16.54,0,2.89,34.74,16.54,16.54,0,100,,31,3.2,2,1,1,25,26,26,,,,,,,,0.05,0.1,,6.64,4.4,55.51,0.45,,,,,,,
Deebo Samuel,,0,WR,5700,SF,vs SEA,4,25.50,8.5,20.6,13.3,0,0,0,0,0,0.0714,2.43,15.71,0.23,9.78,0.2347,7.35,4.81,67.56,0.32,0,0,0,0,0,0,16.44,16.44,0,3.69,33.44,16.44,16.44,0,100,,45,2.9,15,10,10,20,27,27,0.03,0.02,0.41,,,0.02,3.41,2.71,17.52,0.26,6.48,4.24,60.98,0.22,,,,,,,
Leonard Fournette,,0,RB,5300,TB,vs DAL,17,21.75,8.9,19.6,14.4,0,0,0,0,0,0.5474,11.04,43.54,0.36,17.11,0.1372,6.07,4.87,33.36,0.12,0,0,0,0,0,0,15.44,15.44,0,2.09,33.24,15.44,15.44,0,100,,47,2.9,14,7,7,24,28,28,0.02,,,0.01,,,0.47,14.86,58.61,0.49,5.01,4.02,28.48,0.09,,,,,,,
DK Metcalf,,0,WR,6200,SEA,@ SF,25,16.50,8.6,14.5,13.8,0,0,0,0,0,0,0,0,0,8.27,0.2955,8.27,5.09,67.09,0.57,0,0,0,0,0,0,15.22,15.22,0,2.32,32.42,15.22,15.22,0,100,,42,2.5,11,11,11,15,29,29,,,,,,,,0.04,0.25,,7.59,4.67,65.7,0.55,,,,,,,
Tony Pollard,,0,RB,6400,DAL,@ TB,13,23.75,9.1,10.6,16.3,0,0,0,0,0,0.3801,12.85,65.75,0.42,16.68,0.1111,3.83,2.88,23.61,0.13,0,0,0,0,0,0,15.12,15.12,0,1.47,33.32,15.12,15.12,0,100,,13,2.4,6,8,8,13,30,30,,,,,,,,8.29,42.42,0.27,2.63,1.98,16.44,0.08,,,,,,,
Gabriel Davis,,0,WR,4800,BUF,vs MIA,2,28.25,9.6,11.5,11.7,0,0,0,0,0,0,0,0,0,7.42,0.2148,7.42,4.06,68.54,0.7,0,0,0,0,0,0,15.11,15.11,0,0.71,34.31,15.11,15.11,0,100,,7,3.1,17,12,12,29,31,31,,,,,,,,0.02,,,4.73,2.59,45.31,0.49,,,,,,,
Tyler Lockett,,0,WR,6000,SEA,@ SF,25,16.50,9.8,16,15.5,0,0,0,0,0,0,0,0,0,7.31,0.2614,7.31,5.21,66.49,0.5,0,0,0,0,0,0,14.86,14.86,0,0.16,34.46,14.86,14.86,0,100,,26,2.5,12,13,13,17,32,32,,,,,,,,0.3,2.01,0.01,5.91,4.21,57.36,0.42,,,,,,,
Tee Higgins,,0,WR,6500,CIN,vs BAL,9,24.75,9.2,16.6,16.6,0,0,0,0,0,0,0,0,0,7.81,0.2207,7.81,5.1,69.71,0.42,0,0,0,0,0,0,14.59,14.59,0,0.79,32.99,14.59,14.59,0,100,,41,2.2,9,14,14,12,33,33,,,,,,,,0.11,0.6,,7.6,4.96,71,0.45,,,,,,,
Mike Williams,!,0,WR,6200,LAC,@ JAC,15,24.75,9.2,16.2,14.5,0,0,0,0,0,0,0,0,0,7.92,0.1818,7.92,4.69,70.42,0.47,0,0,0,0,0,0,14.55,14.55,0,0.75,32.95,14.55,14.55,0,100,,21,2.3,11,15,15,15,34,34,,,,,,,,0.1,0.33,0.01,5.94,3.52,54.9,0.35,,,,,,,
Tyler Huntley,!,0,QB,5000,BAL,@ CIN,12,15.75,8.7,12.8,10.6,1,26.86,178.36,0.96,0.6,0.2172,5.88,27.73,0.17,5.88,0,0,0,0,0,0,0,0,0,0,0,14.17,14.17,0,1.12,31.57,14.17,14.17,0,100,,14,2.8,13,11,11,27,35,35,21.2,13.73,120.93,0.47,1.73,0.33,69.61,6.87,32.4,0.2,,,,,,,,,,,
George Kittle,,0,TE,6100,SF,vs SEA,26,25.50,9.5,13.3,13.6,0,0,0,0,0,0,0,0,0,6.81,0.2176,6.81,4.86,62.42,0.49,0,0,0,0,0,0,14.04,14.04,0,0,33.04,14.04,14.04,0,100,,30,2.3,1,2,2,16,36,36,,,,,,,,0.12,0.77,,6.53,4.66,61.28,0.36,,,,,,,
Adam Thielen,,0,WR,4400,MIN,vs NYG,14,25.75,10,15.6,10.6,0,0,0,0,0,0,0,0,0,7.29,0.1762,7.29,4.99,60.43,0.48,0,0,0,0,0,0,13.91,13.91,0,0,33.91,13.91,13.91,0,100,,29,3.2,19,16,16,33,37,37,0.01,,,0.01,,,-3.51,0.19,1.48,0.01,6.8,4.65,58.01,0.46,,,,,,,
T.J. Hockenson,,0,TE,5100,MIN,vs NYG,15,25.75,8.2,12.1,13.1,0,0,0,0,0,0,0,0,0,8.57,0.2072,8.57,5.66,57.8,0.41,0,0,0,0,0,0,13.9,13.9,0,1.6,30.3,13.9,13.9,0,100,,25,2.7,3,3,3,26,38,38,,,,,,,,0.02,,,6.54,4.32,45.39,0.32,,,,,,,
Isaiah Hodgins,,0,WR,4100,NYG,@ MIN,17,22.75,5.8,0,11.2,0,0,0,0,0,0,0,0,0,7.04,0.2124,7.04,5.54,54.25,0.48,0,0,0,0,0,0,13.85,13.85,0,5.15,25.45,13.85,13.85,0,100,,48,3.4,22,17,17,36,39,39,,,,,,,,,,,5.22,4.11,43.56,0.44,,,,,,,
Brandon Aiyuk,,0,WR,5800,SF,vs SEA,4,25.50,7.2,9.8,13.6,0,0,0,0,0,0,0,0,0,6.74,0.2152,6.74,4.41,57.83,0.51,0,0,0,0,0,0,13.25,13.25,0,2.45,27.65,13.25,13.25,0,100,,44,2.3,14,18,18,19,40,40,,,,,,,,0.27,2.44,0.04,6.46,4.23,56.75,0.38,,,,,,,
Zay Jones,,0,WR,4300,JAC,vs LAC,11,22.75,7.4,7.9,12.8,0,0,0,0,0,0,0,0,0,9.14,0.2391,9.14,5.34,54.88,0.3,0,0,0,0,0,0,12.63,12.63,0,1.53,27.43,12.63,12.63,0,100,,1,2.9,20,19,19,34,41,41,0.02,0.01,0.33,,,,1.37,0.09,0.27,,5.05,2.95,31.68,0.19,,,,,,,
Richie James,,0,WR,3900,NYG,@ MIN,17,22.75,7.5,0,8.5,0,0,0,0,0,0,0,0,0,6.64,0.2001,6.64,4.85,59.38,0.3,0,0,0,0,0,0,12.59,12.59,0,1.34,27.59,12.59,12.59,0,100,,3,3.2,24,20,20,38,42,42,,,,,,,,0.12,0.15,,3.82,2.79,37,0.21,,,,,,,
Devin Singletary,,0,RB,5500,BUF,vs MIA,7,28.25,6.3,12.6,11.5,0,0,0,0,0,0.4494,12.45,57.87,0.32,15.97,0.1018,3.52,2.64,17.28,0.05,0,0,0,0,0,0,12.38,12.38,0,2.93,24.98,12.38,12.38,0,100,,44,2.3,12,9,9,22,43,43,,,,,,,,10.85,50.43,0.28,3.31,2.48,16.85,0.06,,,,,,,
Kenneth Walker III,,0,RB,6100,SEA,@ SF,1,16.50,8.7,0,14.7,0,0,0,0,0,0.6034,13.76,63.95,0.57,15.67,0.0682,1.91,1.46,7.95,0.05,0,0,0,0,0,0,12.37,12.37,0,0,29.77,12.37,12.37,0,100,,41,2,8,10,10,16,44,44,,,,,,,,15.43,71.71,0.64,2.14,1.64,9.5,,,,,,,,
Darius Slayton,,0,WR,4200,NYG,@ MIN,17,22.75,8.1,5.4,10,0,0,0,0,0,0,0,0,0,7.88,0.2375,7.88,4.34,60.12,0.32,0,0,0,0,0,0,12.27,12.27,0,0.12,28.47,12.27,12.27,0,100,,13,2.9,21,21,21,35,45,45,,,,,,,,0.05,-0.25,,5.52,3.04,45.61,0.27,,,,,,,
Josh Palmer,,0,WR,5300,LAC,@ JAC,15,24.75,7.1,6.2,11,0,0,0,0,0,0,0,0,0,7.48,0.1717,7.48,5.04,51.78,0.34,0,0,0,0,0,0,12.26,12.26,0,1.61,26.46,12.26,12.26,0,100,,18,2.3,16,22,22,24,46,46,,,,,,,,0.06,0.32,,5.03,3.39,36.19,0.23,,,,,,,
Jaylen Waddle,!,0,WR,6600,MIA,@ BUF,29,15.25,9.4,15.6,16.4,0,0,0,0,0,0,0,0,0,7.34,0.2428,7.34,5.11,54.78,0.23,0,0,0,0,0,0,11.97,11.97,0,0,30.77,11.97,11.97,0,100,,41,1.8,8,23,23,11,47,47,,,,,,,,0.15,0.88,0.03,7.79,5.42,71.85,0.42,,,,,,,
Skylar Thompson,,0,QB,4800,MIA,@ BUF,19,15.25,3.1,0,3.2,1,30.25,201.33,0.99,0.87,0.1135,2.09,3.14,0.08,2.09,0,0,0,0,0,0,0,0,0,0,0,11.94,11.94,0,7.29,18.14,11.94,11.94,0,100,,3,2.5,15,12,12,29,48,48,15,8.57,76.29,0.43,,0.14,,2,3,,,,,,,,,,,,
Dalton Schultz,,0,TE,4300,DAL,@ TB,30,23.75,6.7,12.5,9.6,0,0,0,0,0,0,0,0,0,6.27,0.1818,6.27,4.41,44.36,0.37,0,0,0,0,0,0,11.07,11.07,0,1.02,24.47,11.07,11.07,0,100,,27,2.6,5,4,4,34,49,49,,,,,,,,,,,5.27,3.71,37.81,0.29,,,,,,,
Ezekiel Elliott,,0,RB,6000,DAL,@ TB,13,23.75,8.8,14.6,12.4,0,0,0,0,0,0.5,16.91,74.34,0.6,16.91,0,0,0,0,0,0,0,0,0,0,0,11.03,11.03,0,0,28.63,11.03,11.03,0,100,,52,1.8,9,11,11,17,50,50,0.02,0.01,0.04,0.01,,,-3.04,18.03,79.26,0.64,3.88,2.91,22.15,0.11,,,,,,,
K.J. Osborn,,0,WR,4500,MIN,vs NYG,14,25.75,7.8,9.3,9.5,0,0,0,0,0,0,0,0,0,6,0.1451,6,3.84,44.22,0.41,0,0,0,0,0,0,10.72,10.72,0,0,26.32,10.72,10.72,0,100,,17,2.4,18,24,24,32,51,51,,,,,,,,0.12,0.47,,5.06,3.24,38.38,0.35,,,,,,,
Russell Gage,,0,WR,3800,TB,vs DAL,31,21.75,7.7,13.2,9.6,0,0,0,0,0,0,0,0,0,6.59,0.1488,6.59,4.51,44.48,0.28,0,0,0,0,0,0,10.64,10.64,0,0,26.04,10.64,10.64,0,100,,21,2.8,25,25,25,39,52,52,0.03,0.02,0.64,,,0.02,3.24,0.1,0.34,,5.85,4,40.84,0.23,,,,,,,
Marvin Jones,,0,WR,3400,JAC,vs LAC,11,22.75,8.6,10.8,7.5,0,0,0,0,0,0,0,0,0,6.23,0.163,6.23,3.77,49.36,0.32,0,0,0,0,0,0,10.63,10.63,0,0,27.83,10.63,10.63,0,100,,30,3.1,29,26,26,43,53,53,,,,,,,,0.07,0.3,,6.63,4.01,54.88,0.39,,,,,,,
Evan Engram,,0,TE,4400,JAC,vs LAC,4,22.75,7.3,6.9,10.8,0,0,0,0,0,0,0,0,0,7.07,0.1848,7.07,4.5,46.12,0.23,0,0,0,0,0,0,10.49,10.49,0,0,25.09,10.49,10.49,0,100,,29,2.4,4,5,5,33,54,54,,,,,,,,0.2,1.13,0.01,6.43,4.09,43.83,0.24,,,,,,,
Dawson Knox,,0,TE,4000,BUF,vs MIA,28,28.25,6,11.5,9,0,0,0,0,0,0,0,0,0,5.08,0.147,5.08,3.35,37.89,0.45,0,0,0,0,0,0,9.84,9.84,0,0.84,21.84,9.84,9.84,0,100,,27,2.5,6,6,6,37,55,55,,,,,,,,0.02,0.21,,4.08,2.69,31.56,0.39,,,,,,,
J.K. Dobbins,,0,RB,5700,BAL,@ CIN,4,15.75,7,0,10.9,0,0,0,0,0,0.3904,10.57,60.83,0.52,10.94,0.0138,0.37,0.28,1.77,0.01,0,0,0,0,0,0,9.72,9.72,0,0,23.72,9.72,9.72,0,100,,39,1.7,11,12,12,20,56,56,,,,,,,,9.8,56.4,0.48,1.52,1.16,8.28,0.04,,,,,,,
Raheem Mostert,!,0,RB,5800,MIA,@ BUF,11,15.25,9.4,2,11,0,0,0,0,0,0.3903,7.17,39.28,0.26,10.11,0.0971,2.94,2.22,14.64,0.09,0,0,0,0,0,0,9.71,9.71,0,0,28.51,9.71,9.71,0,100,,11,1.7,10,13,13,19,57,57,,,,,,,,9.77,53.53,0.36,1.75,1.32,10.77,0.09,,,,,,,
Gerald Everett,,0,TE,3900,LAC,@ JAC,19,24.75,5.1,8,9.3,0,0,0,0,0,0,0,0,0,6.16,0.1414,6.16,3.99,40.31,0.28,0,0,0,0,0,0,9.7,9.7,0,2.05,19.9,9.7,9.7,0,100,,22,2.5,7,7,7,38,58,58,,,,,,,,0.1,0.56,0.01,4,2.59,27.21,0.18,,,,,,,
Michael Gallup,,0,WR,3700,DAL,@ TB,16,23.75,7.6,10.5,7.5,0,0,0,0,0,0,0,0,0,5.92,0.1717,5.92,3.25,46.28,0.3,0,0,0,0,0,0,9.68,9.68,0,0,24.88,9.68,9.68,0,100,,28,2.6,26,27,27,40,59,59,,,,,,,,,,,6.24,3.43,49.47,0.29,,,,,,,
Julio Jones,,0,WR,3500,TB,vs DAL,31,21.75,11.3,8.7,7,0,0,0,0,0,0,0,0,0,5.06,0.1143,5.06,3.3,47.11,0.22,0,0,0,0,0,0,9.33,9.33,0,0,31.93,9.33,9.33,0,100,,38,2.7,28,28,28,42,60,60,,,,,,,,0.1,0.74,,9.17,5.98,88.32,0.37,,,,,,,
James Cook,,0,RB,4800,BUF,vs MIA,7,28.25,5.3,0,6.7,0,0,0,0,0,0.2247,6.22,35.45,0.15,9.5,0.095,3.28,2.09,17.27,0.09,0,0,0,0,0,0,8.8,8.8,0,0.85,19.4,8.8,8.8,0,100,,21,1.8,19,14,14,29,61,61,,,,,,,,5.56,31.69,0.13,2.06,1.31,11.25,0.06,,,,,,,
Bills,,0,DST,3300,BUF,vs MIA,10,15.25,5.8,8.1,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77,1.17,0.55,0.14,0.21,15.25,8.75,8.75,0,0.05,20.35,8.75,8.75,0,100,,19,2.7,4,1,1,44,62,62,,,,,,,,,,,,,,,2.24,0.96,0.54,0.13,0.04,20.71,332.38
Jeff Wilson,,0,RB,5400,MIA,@ BUF,11,15.25,8.5,7.8,10.4,0,0,0,0,0,0.4961,9.12,40.92,0.35,11.09,0.0652,1.97,1.22,8.49,0.06,0,0,0,0,0,0,8.62,8.62,0,0,25.62,8.62,8.62,0,100,,12,1.6,13,15,15,23,63,63,,,,,,,,9.88,44.33,0.38,1.96,1.21,10.44,0.1,,,,,,,
Demarcus Robinson,,0,WR,3500,BAL,@ CIN,30,15.75,5.8,4.8,6.7,0,0,0,0,0,0,0,0,0,5.84,0.2175,5.84,3.71,36.98,0.19,0,0,0,0,0,0,8.55,8.55,0,0,20.15,8.55,8.55,0,100,,2,2.4,28,29,29,42,64,64,,,,,,,,,,,3.53,2.24,25.5,0.18,,,,,,,
49ers,,0,DST,3600,SF,vs SEA,15,16.5,5.7,7.6,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.72,1.24,0.56,0,0.19,16.5,8.46,8.46,0,0,19.86,8.46,8.46,0,100,,10,2.4,1,2,2,41,65,65,,,,,,,,,,,,,,,2.35,0.67,0.54,0.12,0.01,22.9,339.69
Tyler Boyd,,0,WR,4000,CIN,vs BAL,9,24.75,8.1,11,10.8,0,0,0,0,0,0,0,0,0,4.98,0.1405,4.98,3.4,38.36,0.2,0,0,0,0,0,0,8.44,8.44,0,0,24.64,8.44,8.44,0,100,,30,2.1,23,30,30,37,66,66,0.05,0.03,0.79,,0.01,,3.72,0.17,1.48,,6.31,4.31,50.87,0.28,,,,,,,
Daniel Bellinger,,0,TE,3000,NYG,@ MIN,22,22.75,3.7,0,6.7,0,0,0,0,0,0,0,0,0,4.56,0.1376,4.56,3.91,32.25,0.21,0,0,0,0,0,0,8.4,8.4,0,2.85,15.8,8.4,8.4,0,100,,45,2.8,11,8,8,47,67,67,,,,,,,,0.09,0.18,0.09,3.18,2.73,24.36,0.18,,,,,,,
Hayden Hurst,,0,TE,3100,CIN,vs BAL,5,24.75,4.8,5.4,8.1,0,0,0,0,0,0,0,0,0,4.98,0.1405,4.98,3.53,33.04,0.26,0,0,0,0,0,0,8.39,8.39,0,1.19,17.99,8.39,8.39,0,100,,27,2.7,10,9,9,46,68,68,,,,,,,,0.01,,,3.75,2.66,26.04,0.22,,,,,,,
