,,,,,Game and Vegas,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,Proj. Fantasy Pts,,,Projected Values,,,,Position Rankings,,,,Overall Rankings,,,Actual Data,,Position Rankings,,,Overall Rankings,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
Tom Brady,,0,QB,6100,TB,vs SEA,17,23.25,8.4,23.9,16.6,1,44.25,343.36,2.19,0.61,0.0619,1.05,1.35,0.06,1.05,0,0,0,0,0,0,0,0,0,0,0,22.38,22.38,0,9.78,39.18,22.38,22.38,18,0,100,,46,61,3.7,17.02,2.8,10,5,5,28,11,11,39,25.3,289.89,0.54,1.63,2.01,99.02,1.83,2.36,0.11,,,,,,,,,,,
Mike Evans,,0,WR,7100,TB,vs SEA,6,23.25,10,17.9,16.2,0,0,0,0,0,0,0,0,0,11.9,0.269,11.9,6.9,101.06,0.83,0,0,0,0,0,0,21.99,21.99,0,6.99,41.99,21.99,21.99,36,0,100,,83,41,3.1,10.40,1.5,10,3,3,18,12,12,,,,,,,,0.01,0.08,,8.64,5.01,76.46,0.58,,,,,,,
Josh Jacobs,,0,RB,7600,LV,vs IND,8,22.75,8.6,15.7,20.2,0,0,0,0,0,0.8421,20.72,91.8,0.79,26.05,0.1737,5.33,4.24,29.51,0.13,0,0,0,0,0,0,21.89,21.89,0,8.99,39.09,21.89,21.89,7,0,100,,22,48,2.9,22.60,3,7,4,4,13,13,13,,,,,,,,16.98,75.23,0.65,3.29,2.62,18.62,,,,,,,,
Dak Prescott,,0,QB,6600,DAL,@ GB,2,23.75,9.2,22,14.7,1,35.71,273.74,1.57,0.64,0.1689,4.84,23.06,0.42,4.84,0,0,0,0,0,0,0,0,0,0,0,21.42,21.42,0,7.62,39.82,21.42,21.42,7,0,100,,25,55,3.2,21.20,3.2,7,6,6,23,14,14,33.62,22.27,255.57,0.6,2.06,1.65,98.09,3.56,16.96,0.31,,,,,,,,,,,
Justin Jefferson,,0,WR,8800,MIN,@ BUF,17,20.25,10.6,20.2,23.6,0,0,0,0,0,0,0,0,0,10.94,0.3297,10.94,7.31,105.64,0.56,0,0,0,0,0,0,21.23,21.23,0,5.33,42.43,21.23,21.23,2,0,100,,3,48,2.4,38.30,4.4,3,4,4,4,15,15,0.12,0.07,1.38,,,,10.22,0.24,0.86,0.02,9.26,6.19,93.55,0.48,,,,,,,
Saquon Barkley,,0,RB,8600,NYG,vs HOU,31,23.25,10.4,11.7,20.7,0,0,0,0,0,0.6458,20.25,91.55,0.59,26.13,0.1817,5.88,4.34,31.5,0.14,0,0,0,0,0,0,21.03,21.03,0,5.43,41.83,21.03,21.03,3,0,100,,12,45,2.4,26.00,3,2,5,5,6,16,16,,,,,,,,15.55,70.3,0.45,5.6,4.13,31.66,0.15,,,,,,,
Aaron Rodgers,,0,QB,5800,GB,vs DAL,5,20.75,8.6,21.1,15.1,1,33.01,265.97,2.32,0.37,0.0612,1.49,7.34,0.06,1.49,0,0,0,0,0,0,0,0,0,0,0,20.64,20.64,0,7.74,37.84,20.64,20.64,10,0,100,,29,60,3.6,20.36,3.5,13,7,7,31,17,17,35.63,23.1,260.53,0.4,2.32,2.12,102.51,2.82,13.89,0.12,,,,,,,,,,,
CeeDee Lamb,,0,WR,7000,DAL,@ GB,2,23.75,8,14.2,14.6,0,0,0,0,0,0,0,0,0,11.58,0.3242,11.58,7.37,97.05,0.58,0,0,0,0,0,0,20.56,20.56,0,8.56,36.56,20.56,20.56,1,0,100,,2,44,2.9,41.00,5.9,11,5,5,19,18,18,,,,,0.02,,,0.6,4.17,0.02,7.48,4.76,63.21,0.33,,,,,,,
Davante Adams,,0,WR,8700,LV,vs IND,3,22.75,10.7,22.7,21,0,0,0,0,0,0,0,0,0,10.92,0.356,10.92,7.25,87.12,0.71,0,0,0,0,0,0,20.22,20.22,0,4.17,41.62,20.22,20.22,6,0,100,,8,45,2.3,30.60,3.5,4,6,6,5,19,19,0.01,0.01,0.29,,0.01,,1.91,0.03,-0.01,,9.5,6.31,77.49,0.72,,,,,,,
Jonathan Taylor,,0,RB,7500,IND,@ LV,17,18.75,11.2,22.9,12.7,0,0,0,0,0,0.6707,17.47,88.66,0.78,21.87,0.1505,4.4,3.43,23.92,0.13,0,0,0,0,0,0,20.15,20.15,0,3.35,42.55,20.15,20.15,1,0,100,,10,42,2.7,27.30,3.6,8,6,6,14,20,20,,,,,,,,17.38,88.2,0.78,3.08,2.4,18.85,0.08,,,,,,,
Amari Cooper,,0,WR,6500,CLE,@ MIA,24,23.25,10.9,14.2,16.5,0,0,0,0,0,0,0,0,0,12.08,0.3481,12.08,7.5,92.46,0.53,0,0,0,0,0,0,19.93,19.93,0,3.58,41.73,19.93,19.93,55,0,100,,114,26,3.1,6.20,1,15,7,7,24,21,21,0.01,,,0.01,,,,0.12,0.34,,7.65,4.75,64.77,0.44,,,,,,,
Daniel Jones,,0,QB,5700,NYG,vs HOU,7,23.25,8.7,16.4,16.9,1,32.38,225.62,1.31,0.67,0.2604,8.17,47.19,0.27,8.17,0,0,0,0,0,0,0,0,0,0,0,19.93,19.93,0,6.88,37.33,19.93,19.93,16,0,100,,42,48,3.5,18.28,3.2,14,8,8,32,21,21,32.35,20.41,212.98,0.67,2.83,1.11,85.15,5.13,29.63,0.17,,,,,,,,,,,
D'Andre Swift,,0,RB,6400,DET,@ CHI,32,22.75,7.7,16.6,15.2,0,0,0,0,0,0.4189,12.33,57.09,0.57,19.02,0.1837,6.69,5.32,41.52,0.22,0,0,0,0,0,0,19.92,19.92,0,8.37,35.32,19.92,19.92,28,0,100,,98,51,3.1,8.20,1.3,16,7,7,25,22,22,0.03,,,,,,1.28,9.65,44.68,0.45,5.03,4,30.74,0.19,,,,,,,
Aaron Jones,,0,RB,7200,GB,vs DAL,12,20.75,11.1,16.4,16.1,0,0,0,0,0,0.5,12.2,61.96,0.57,18.5,0.1908,6.3,4.7,33.65,0.28,0,0,0,0,0,0,19.36,19.36,0,2.71,41.56,19.36,19.36,2,0,100,,11,33,2.7,26.60,3.7,10,8,8,17,23,23,,,,,,,,12.27,62.32,0.57,3.89,2.9,22.7,0.2,,,,,,,
JuJu Smith-Schuster,!,0,WR,6000,KC,vs JAC,27,30.25,9.6,7.1,14.9,0,0,0,0,0,0,0,0,0,10.32,0.2411,10.32,7.07,85.37,0.62,0,0,0,0,0,0,19.33,19.33,0,4.93,38.53,19.33,19.33,59,0,100,,120,35,3.2,5.30,0.9,20,8,8,29,24,24,,,,,,,,0.05,0.3,0.01,7.68,5.26,62.72,0.41,,,,,,,
Tua Tagovailoa,,0,QB,6700,MIA,vs CLE,16,26.25,9.6,15,21.2,1,35.65,271.24,1.87,0.72,0.0855,2.53,7.17,0.16,2.53,0,0,0,0,0,0,0,0,0,0,0,19.29,19.29,0,4.89,38.49,19.29,19.29,4,0,100,,19,41,2.9,23.40,3.5,6,9,9,22,25,25,29.8,20,214.9,0.6,1.6,1.4,92.94,3.2,9.07,0.2,,,,,,,,,,,
Justin Herbert,,0,QB,6800,LAC,@ SF,10,18.75,8.6,24.1,18.3,1,37.33,260.98,1.91,0.71,0.11,2.34,9.83,0.14,2.34,0,0,0,0,0,0,0,0,0,0,0,19.19,19.19,0,6.29,36.39,19.19,19.19,24,0,100,,70,63,2.8,13.04,1.9,5,10,10,21,26,26,39.73,26.32,285.41,0.76,1.78,2.05,98.33,3.41,14.32,0.2,,,,,,,,,,,
Stefon Diggs,,0,WR,8300,BUF,vs MIN,21,26.25,9.9,16,25.3,0,0,0,0,0,0,0,0,0,10.31,0.3258,10.31,7.06,86.52,0.54,0,0,0,0,0,0,18.95,18.95,0,4.1,38.75,18.95,18.95,7,0,100,,9,42,2.3,27.80,3.3,5,9,9,8,27,27,0.02,0.01,0.12,,0.02,,0.99,0.28,1.46,0.01,8.45,5.79,73.4,0.48,,,,,,,
Chris Godwin,,0,WR,6300,TB,vs SEA,6,23.25,9.6,18.5,11.8,0,0,0,0,0,0,0,0,0,9.93,0.2245,9.93,6.88,87.44,0.54,0,0,0,0,0,0,18.86,18.86,0,4.46,38.06,18.86,18.86,13,0,100,,34,33,3,19.10,3,17,10,10,26,28,28,,,,,,,,0.11,0.49,0.01,7.09,4.91,65.06,0.37,,,,,,,
Allen Lazard,,0,WR,6100,GB,vs DAL,10,20.75,7.1,9.6,15.1,0,0,0,0,0,0,0,0,0,9.69,0.2936,9.69,6.36,80.39,0.74,0,0,0,0,0,0,18.84,18.84,0,8.19,33.04,18.84,18.84,49,0,100,,102,31,3.1,7.50,1.2,19,11,11,28,29,29,,,,,,,,0.15,1.56,,4.77,3.13,43.23,0.42,,,,,,,
Kirk Cousins,,0,QB,6000,MIN,@ BUF,3,20.25,7.8,19.5,18.1,1,33.18,265.92,1.78,0.63,0.0938,1.87,5.83,0.14,1.87,0,0,0,0,0,0,0,0,0,0,0,18.55,18.55,0,6.85,34.15,18.55,18.55,9,0,100,,28,60,3.1,20.48,3.4,11,11,11,29,30,30,34.34,23.15,262.51,0.65,2.09,1.81,101.16,2.13,6.64,0.16,,,,,,,,,,,
A.J. Brown,,0,WR,7900,PHI,vs WAS,30,26.75,10.5,15.6,19.6,0,0,0,0,0,0,0,0,0,9.31,0.3237,9.31,5.77,88.36,0.65,0,0,0,0,0,0,18.51,18.51,0,2.76,39.51,18.51,18.51,75,0,100,,146,35,2.3,1.70,0.2,7,12,12,11,31,31,0.04,,,,,,1.41,0.11,1.41,0.02,7.04,4.36,71.43,0.57,,,,,,,
Jacoby Brissett,,0,QB,5400,CLE,@ MIA,26,23.25,8.1,7.9,15.1,1,34.71,254.91,1.45,0.52,0.1306,3.68,13.86,0.26,3.68,0,0,0,0,0,0,0,0,0,0,0,18.42,18.42,0,6.27,34.62,18.42,18.42,19,0,100,,48,24,3.4,16.48,3.1,17,12,12,35,32,32,22.17,13.48,145.52,0.33,1.8,0.65,69.34,3.2,12.05,0.23,,,,,,,,,,,
Derrick Henry,,0,RB,8300,TEN,vs DEN,20,20.75,12.3,24.5,23,0,0,0,0,0,0.7604,20.54,99.42,0.91,22.39,0.0697,1.85,1.43,12.45,0.04,0,0,0,0,0,0,18.32,18.32,0,0,42.92,18.32,18.32,27,0,100,,96,25,2.2,8.70,1,4,9,9,8,33,33,0.05,0.04,0.22,,,0.02,7.9,17.32,83.83,0.77,1.57,1.21,10.64,0.03,,,,,,,
Geno Smith,,0,QB,6200,SEA,@ TB,15,21.25,9.7,14.1,19.4,1,27.99,218.41,1.59,0.4,0.2295,5.49,23.63,0.17,5.49,0,0,0,0,0,0,0,0,0,0,0,18.08,18.08,0,3.53,37.48,18.08,18.08,11,0,100,,30,18,2.9,20.20,3.3,9,13,13,27,34,34,20.83,14.48,154.13,0.3,1.96,1.04,85.85,2.96,12.74,0.09,,,,,,,,,,,
Cooper Kupp,!,0,WR,9000,LAR,vs ARI,12,20.75,10.5,28.3,26.8,0,0,0,0,0,0,0,0,0,9.53,0.3077,9.53,6.94,75.06,0.6,0,0,0,0,0,0,18.05,18.05,0,2.3,39.05,18.05,18.05,67,0,100,,136,46,2,2.90,0.3,2,13,13,3,35,35,0.06,,,,,,1.89,0.29,1.61,0.01,8.89,6.47,81.82,0.62,,,,,,,
James Conner,,0,RB,6200,ARI,@ LAR,2,17.75,10.7,15.9,10.3,0,0,0,0,0,0.6962,17.4,71.55,0.85,20.72,0.0983,3.32,2.79,21.67,0.1,0,0,0,0,0,0,17.81,17.81,0,1.76,39.21,17.81,17.81,6,0,100,,18,21,2.9,23.60,3.8,18,10,10,27,36,36,,,,,,,,11.22,46.14,0.55,3.12,2.62,21.12,0.1,,,,,,,
Jared Goff,,0,QB,5500,DET,@ CHI,9,22.75,8.7,15.1,17.8,1,36.41,262.05,1.83,0.77,0.0535,1.57,3.51,0.07,1.57,0,0,0,0,0,0,0,0,0,0,0,17.8,17.8,0,4.75,35.2,17.8,17.8,22,0,100,,58,50,3.2,14.84,2.7,16,14,14,34,37,37,34.93,22.22,255.27,0.74,1.97,1.48,91.74,2.13,4.76,0.1,,,,,,,,,,,
DeAndre Hopkins,,0,WR,8000,ARI,@ LAR,14,17.75,8.9,14.7,24.6,0,0,0,0,0,0,0,0,0,10.29,0.3044,10.29,6.5,80.6,0.51,0,0,0,0,0,0,17.62,17.62,0,4.27,35.42,17.62,17.62,12,0,100,,32,53,2.2,19.80,2.5,6,14,14,10,38,38,0.03,0.01,0.05,0.01,,0.01,0.28,0.04,0.11,,10.15,6.41,82.42,0.56,,,,,,,
Travis Etienne,,0,RB,7100,JAC,@ KC,15,21.25,8.8,0,15.4,0,0,0,0,0,0.6794,17.01,96.42,0.56,20.29,0.0919,3.28,2.23,19.29,0.07,0,0,0,0,0,0,17.58,17.58,0,4.38,35.18,17.58,17.58,23,0,100,,84,43,2.5,10.30,1.5,11,11,11,18,39,39,,,,,,,,13.33,75.56,0.44,3.11,2.11,19.33,,,,,,,,
Trevor Lawrence,,0,QB,5400,JAC,@ KC,28,21.25,6.1,13.4,17.1,1,35.74,238.06,1.35,0.9,0.1917,4.8,21.99,0.22,4.8,0,0,0,0,0,0,0,0,0,0,0,17.54,17.54,0,8.39,29.74,17.54,17.54,8,0,100,,26,59,3.2,20.96,3.9,17,15,15,35,40,40,35,21.42,219.85,0.88,1.69,0.88,78.48,4.08,18.69,0.19,,,,,,,,,,,
Deebo Samuel,,0,WR,7300,SF,vs LAC,20,26.75,8.6,20.6,14.9,0,0,0,0,0,0.0985,3.23,21.45,0.3,10.42,0.2358,7.19,4.75,70.26,0.29,0,0,0,0,0,0,17.46,17.46,0,4.56,34.66,17.46,17.46,51,0,100,,107,46,2.4,7.10,1,9,15,15,16,41,41,0.04,0.02,0.46,,,0.02,3.81,2.67,17.73,0.25,6.46,4.27,63.31,0.25,,,,,,,
Kenneth Walker III,,0,RB,6800,SEA,@ TB,6,21.25,10.6,0,15.2,0,0,0,0,0,0.6256,14.98,77.04,0.95,18.33,0.1196,3.35,2.51,9.56,0.09,0,0,0,0,0,0,17.41,17.41,0,1.51,38.61,17.41,17.41,18,0,100,,68,30,2.6,13.20,1.9,13,12,12,21,42,42,,,,,,,,13.88,71.38,0.88,2,1.5,6,,,,,,,,
Dameon Pierce,,0,RB,6300,HOU,@ NYG,10,18.25,6.8,0,16,0,0,0,0,0,0.8265,21,96.2,0.43,24.46,0.1002,3.46,2.88,13.38,0.14,0,0,0,0,0,0,17.26,17.26,0,7.06,30.86,17.26,17.26,18,0,100,,68,58,2.7,13.20,2.1,17,13,13,26,43,43,,,,,,,,18.5,84.75,0.38,3,2.5,12.25,0.13,,,,,,,
Andy Dalton,,0,QB,5500,NO,@ PIT,29,19.25,7.6,12.5,16.3,1,31.75,232.86,1.52,0.76,0.1059,2.83,9.34,0.13,2.83,0,0,0,0,0,0,0,0,0,0,0,16.35,16.35,0,4.95,31.55,16.35,16.35,26,0,100,,92,54,3,9.06,1.6,16,16,16,34,44,44,32.95,20.69,233.03,0.79,2.2,1.46,89.56,2.64,8.71,0.12,,,,,,,,,,,
Michael Pittman,,0,WR,6200,IND,@ LV,28,18.75,7.9,14.4,15,0,0,0,0,0,0,0,0,0,10.01,0.3423,10.01,6.8,71.95,0.36,0,0,0,0,0,0,16.16,16.16,0,4.31,31.96,16.16,16.16,31,0,100,,72,36,2.6,12.30,2,18,16,16,27,45,45,,,,,,,,0.23,2.08,,7.05,4.79,57.05,0.21,,,,,,,
Russell Wilson,,0,QB,5900,DEN,@ TEN,30,18.75,8.5,16.9,15.6,1,28.28,225.27,1.39,0.52,0.131,2.96,15.7,0.07,2.96,0,0,0,0,0,0,0,0,0,0,0,16.04,16.04,0,3.29,33.04,16.04,16.04,21,0,100,,55,58,2.7,15.24,2.6,12,17,17,30,46,46,31.22,20.23,242.13,0.57,2.83,1.88,101.81,4.71,24.98,0.11,,,,,,,,,,,
Derek Carr,,0,QB,5600,LV,vs IND,13,22.75,7.7,17.4,15.5,1,30.68,229.71,1.63,0.58,0.0737,1.81,5.56,0.05,1.81,0,0,0,0,0,0,0,0,0,0,0,15.98,15.98,0,4.43,31.38,15.98,15.98,17,0,100,,43,55,2.9,17.92,3.2,15,18,18,33,47,47,34.86,22.88,255.15,0.66,1.95,1.53,94.77,2,6.14,0.05,,,,,,,,,,,
Jaylen Waddle,,0,WR,7600,MIA,vs CLE,25,26.25,9.5,15.6,19.7,0,0,0,0,0,0,0,0,0,8.56,0.2402,8.56,6.16,70.78,0.44,0,0,0,0,0,0,15.88,15.88,0,1.63,34.88,15.88,15.88,35,0,100,,81,44,2.1,10.60,1.4,8,17,17,13,48,48,,,,,,,,0.16,0.8,0.04,8.4,6.04,73.08,0.48,,,,,,,
Ryan Tannehill,,0,QB,5200,TEN,vs DEN,1,20.75,7.5,16.9,12.1,1,26.48,203.38,1.37,0.65,0.1146,3.1,13.51,0.24,3.1,0,0,0,0,0,0,0,0,0,0,0,15.76,15.76,0,4.51,30.76,15.76,15.76,12,0,100,,33,57,3,19.40,3.7,19,19,19,37,49,49,28.93,18.96,220.52,0.71,2.39,1.55,97.14,2.95,12.86,0.23,,,,,,,,,,,
Jimmy Garoppolo,,0,QB,5800,SF,vs LAC,18,26.75,8.3,15.8,16.7,1,30.5,252.71,1.43,0.85,0.0606,1.99,2.68,0.08,1.99,0,0,0,0,0,0,0,0,0,0,0,15.73,15.73,0,3.28,32.33,15.73,15.73,20,0,100,,52,40,2.7,15.90,2.7,13,20,20,31,50,50,25.13,16.83,207.61,0.7,1.78,1.23,89.11,2.28,3.07,0.09,,,,,,,,,,,
Davis Mills,,0,QB,5100,HOU,@ NYG,22,18.25,8,13.8,12.9,1,34.52,242.22,1.51,0.96,0.0612,1.56,3.74,0.06,1.56,0,0,0,0,0,0,0,0,0,0,0,15.5,15.5,0,3.5,31.5,15.5,15.5,14,0,100,,37,41,3,18.76,3.7,20,21,21,38,51,51,31.05,20.24,205.71,0.86,2.38,1.24,84.8,1.43,3.43,,,,,,,,,,,,
Marcus Mariota,,0,QB,5400,ATL,@ CAR,23,21.75,9.6,2.1,16.2,1,26.59,201.21,1.12,0.66,0.1376,4.06,23.92,0.19,4.06,0,0,0,0,0,0,0,0,0,0,0,15.4,15.4,0,1,34.6,15.4,15.4,15,0,100,,38,36,2.9,18.74,3.5,17,22,22,35,52,52,24.51,15.3,183.42,0.61,2.23,1.08,83.44,3.96,23.33,0.19,,,,,,,,,,,
Dalvin Cook,,0,RB,8000,MIN,@ BUF,4,20.25,9.8,16.5,16.2,0,0,0,0,0,0.7188,14.31,66.84,0.56,17.96,0.1099,3.65,2.81,21.22,0.06,0,0,0,0,0,0,15.34,15.34,0,0.64,34.94,15.34,15.34,2,0,100,,11,49,1.9,26.60,3.3,6,14,14,10,53,53,,,,,,,,17.51,81.79,0.68,4.06,3.13,24.69,0.07,,,,,,,
Sam Ehlinger,,0,QB,5000,IND,@ LV,32,18.75,3.7,0.3,7.8,1,29.25,195.6,1.11,0.56,0.205,5.34,24.03,0.2,5.34,0,0,0,0,0,0,0,0,0,0,0,15.31,15.31,0,9.76,22.71,15.31,15.31,32,0,100,,164,0,3.1,0.00,,21,23,23,39,54,54,10.4,6.4,60.8,0.2,2.2,,29.14,2.8,12.6,,,,,,,,,,,,
DJ Moore,,0,WR,5800,CAR,vs ATL,32,19.75,7.7,14.6,11.6,0,0,0,0,0,0,0,0,0,9.78,0.2913,9.78,5.79,78.45,0.26,0,0,0,0,0,0,15.2,15.2,0,3.65,30.6,15.2,15.2,53,0,100,,109,43,2.6,6.90,1.2,22,18,18,31,55,55,0.01,,,,,,0.55,0.5,4.46,,7.89,4.67,66.14,0.24,,,,,,,
Josh Palmer,,0,WR,5900,LAC,@ SF,16,18.75,6.1,6.2,11.1,0,0,0,0,0,0,0,0,0,8.81,0.2361,8.81,5.97,63.96,0.46,0,0,0,0,0,0,15.13,15.13,0,5.98,27.33,15.13,15.13,50,0,100,,104,22,2.6,7.40,1.3,21,19,19,30,56,56,,,,,,,,0.09,0.45,,4.5,3.05,31.77,0.23,,,,,,,
Cordarrelle Patterson,,0,RB,6400,ATL,@ CAR,29,21.75,7.1,15,16.6,0,0,0,0,0,0.4496,13.27,62.43,0.54,16.59,0.125,3.32,2.46,22.66,0.14,0,0,0,0,0,0,15.05,15.05,0,4.4,29.25,15.05,15.05,43,0,100,,135,4,2.4,3.00,0.5,16,15,15,25,57,57,0.01,,,,,,0.39,3.66,17.22,0.15,2.63,1.95,18.15,0.1,,,,,,,
Leonard Fournette,!,0,RB,6500,TB,vs SEA,25,23.25,8.9,19.6,16.3,0,0,0,0,0,0.6598,11.24,44.39,0.39,16.93,0.1287,5.69,4.51,30.78,0.11,0,0,0,0,0,0,15.03,15.03,0,1.68,32.83,15.03,15.03,20,0,100,,75,48,2.3,11.80,1.8,15,16,16,24,58,58,0.01,,,,,,0.51,15.32,60.5,0.53,5.03,3.99,28.36,0.1,,,,,,,
Miles Sanders,,0,RB,6900,PHI,vs WAS,3,26.75,7.8,10,15,0,0,0,0,0,0.4874,19.51,98.17,0.46,21.31,0.0627,1.8,1.28,9.17,0.03,0,0,0,0,0,0,14.95,14.95,0,3.25,30.55,14.95,14.95,37,0,100,,119,41,2.2,5.40,0.8,12,17,17,20,59,59,,,,,,,,12.64,63.6,0.3,3.4,2.42,18.52,0.06,,,,,,,
Christian Kirk,,0,WR,5900,JAC,@ KC,18,21.25,7.6,12.3,14.8,0,0,0,0,0,0,0,0,0,9.12,0.2553,9.12,5.93,69.44,0.34,0,0,0,0,0,0,14.91,14.91,0,3.51,30.11,14.91,14.91,4,0,100,,6,38,2.5,34.50,5.8,21,20,20,30,60,60,0.03,0.02,0.5,,,,2.4,0.29,2.33,,6.64,4.32,53.44,0.33,,,,,,,
Nick Chubb,,0,RB,8100,CLE,@ MIA,19,23.25,9.9,15.9,22.3,0,0,0,0,0,0.583,16.42,87.34,0.69,17.8,0.0399,1.38,1.03,7.69,0.03,0,0,0,0,0,0,14.85,14.85,0,0,34.65,14.85,14.85,12,0,100,,51,41,1.8,16.10,2,5,18,18,9,61,61,,,,,,,,15.69,83.46,0.66,2.14,1.59,13.19,0.06,,,,,,,
