,,,,,Game and Vegas,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,Proj. Fantasy Pts,,,Projected Values,,,,Position Rankings,,,,Overall Rankings,,,Actual Data,,Position Rankings,,,Overall Rankings,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
Tyreek Hill,!,0,WR,8800,MIA,vs HOU,3,30.25,11.6,18.4,23.7,0,0,0,0,0,0,0,0,0,11.63,0.3202,11.63,8,104.72,0.75,0,0,0,0,0,0,22.97,22.97,0,5.57,46.17,22.97,22.97,24,0,100,,60,38,2.6,15.00,1.7,1,2,2,1,10,10,0.01,,,0.01,,,,0.97,7.41,0.06,8.14,5.6,76.91,0.56,,,,,,,
DeAndre Hopkins,,0,WR,7700,ARI,vs LAC,12,23.25,8.8,14.7,22.3,0,0,0,0,0,0,0,0,0,13.24,0.3256,13.24,8.39,104.14,0.66,0,0,0,0,0,0,22.76,22.76,0,9.56,40.36,22.76,22.76,16,0,100,,39,54,3,18.70,2.4,5,3,3,11,11,11,0.03,0.01,0.05,0.01,,0.01,0.27,0.03,0.1,,10.16,6.44,82.66,0.55,,,,,,,
Tua Tagovailoa,,0,QB,6900,MIA,vs HOU,7,30.25,9.3,15,21.5,1,36.33,279.33,1.87,0.68,0.2216,7.08,19.86,0.44,7.08,0,0,0,0,0,0,0,0,0,0,0,22.6,22.6,0,8.65,41.2,22.6,22.6,18,0,100,,52,44,3.3,15.96,2.3,6,7,7,18,12,12,30.06,20.22,219.72,0.56,1.63,1.44,94.38,3.03,8.5,0.19,,,,,,,,,,,
Alvin Kamara,!,0,RB,7300,NO,@ SF,10,17.50,10.9,18.1,16.8,0,0,0,0,0,0.7237,17.67,79.51,0.79,23.55,0.1939,5.88,4.55,38.03,0.21,0,0,0,0,0,0,22.3,22.3,0,5.95,44.1,22.3,22.3,32,0,100,,113,46,3.1,9.00,1.2,9,3,3,15,13,13,0.01,0.01,0.14,,,,1.52,12.37,55.66,0.55,6.46,5,43.28,0.25,,,,,,,
Travis Kelce,,0,TE,7700,KC,vs LAR,13,28.75,9.3,17.8,23.5,0,0,0,0,0,0,0,0,0,10.72,0.256,10.72,7.62,96.5,0.8,0,0,0,0,0,0,22.07,22.07,0,8.12,40.67,22.07,22.07,5,0,100,,55,48,2.9,15.70,2,1,1,1,11,14,14,0.03,0.01,0.04,0.01,,0.01,1.78,0.07,0.12,0.01,8.34,5.93,75.18,0.56,,,,,,,
Geno Smith,,0,QB,6000,SEA,vs LV,28,25.75,9.8,14.1,19.5,1,33.92,272.41,1.94,0.49,0.2413,6.46,28.27,0.17,6.46,0,0,0,0,0,0,0,0,0,0,0,22.01,22.01,0,7.31,41.61,22.01,22.01,8,0,100,,17,23,3.7,24.32,4.1,10,8,8,27,15,15,21.96,15.32,165.92,0.32,2.04,1.12,87.85,3.08,13.48,0.08,,,,,,,,,,,
Davante Adams,,0,WR,8600,LV,@ SEA,10,21.75,10.8,22.7,23.4,0,0,0,0,0,0,0,0,0,11.74,0.3131,11.74,7.78,94.3,0.77,0,0,0,0,0,0,21.83,21.83,0,5.63,43.43,21.83,21.83,26,0,100,,66,45,2.5,14.40,1.7,2,4,4,2,16,16,0.01,0.01,0.28,,0.01,,1.86,0.02,-0.01,,9.57,6.34,78.38,0.73,,,,,,,
Josh Jacobs,,0,RB,7700,LV,@ SEA,29,21.75,9.6,15.7,20.6,0,0,0,0,0,0.8646,16.41,73.92,0.63,23.19,0.1807,6.78,5.4,39.28,0.16,0,0,0,0,0,0,21.46,21.46,0,7.06,40.66,21.46,21.46,1,0,100,,1,45,2.8,51.30,6.7,7,4,4,11,17,17,,,,,,,,17.47,78.69,0.67,3.45,2.75,20.38,,,,,,,,
CeeDee Lamb,,0,WR,7100,DAL,vs NYG,14,27.75,8.7,14.2,16.7,0,0,0,0,0,0,0,0,0,11.69,0.3031,11.69,7.51,100.31,0.63,0,0,0,0,0,0,21.32,21.32,0,8.27,38.72,21.32,21.32,12,0,100,,29,41,3,20.70,2.9,9,5,5,16,18,18,,,,,0.02,,,0.6,4.13,0.02,7.67,4.93,65.69,0.36,,,,,,,
A.J. Brown,,0,WR,7500,PHI,vs GB,18,26.25,10.4,15.6,16.9,0,0,0,0,0,0,0,0,0,10.75,0.3645,10.75,6.65,99.52,0.75,0,0,0,0,0,0,21.1,21.1,0,5.5,41.9,21.1,21.1,29,0,100,,72,34,2.8,13.60,1.8,7,6,6,13,19,19,0.03,,,,,,1.34,0.1,1.34,0.02,6.97,4.31,69.71,0.56,,,,,,,
Saquon Barkley,,0,RB,8000,NYG,@ DAL,9,17.75,10.3,11.7,19.7,0,0,0,0,0,0.6563,17.88,79.6,0.52,25.06,0.2329,7.18,5.25,36.9,0.16,0,0,0,0,0,0,20.98,20.98,0,5.53,41.58,20.98,20.98,16,0,100,,58,45,2.6,15.20,1.9,4,5,5,8,20,20,,,,,,,,15.8,70.34,0.46,5.52,4.04,30.57,0.14,,,,,,,
Dak Prescott,,0,QB,6200,DAL,vs NYG,8,27.75,9,22,17.2,1,38.56,292.92,1.69,0.72,0.096,2.53,11.94,0.21,2.53,0,0,0,0,0,0,0,0,0,0,0,20.21,20.21,0,6.71,38.21,20.21,20.21,17,0,100,,47,56,3.3,16.84,2.7,9,9,9,25,21,21,33.63,22.3,255.94,0.63,2.02,1.67,98.24,3.54,16.7,0.3,,,,,,,,,,,
Gabriel Davis,,0,WR,5300,BUF,@ DET,29,31.75,10.1,11.5,13.7,0,0,0,0,0,0,0,0,0,9.34,0.2054,9.34,5.25,91.75,0.94,0,0,0,0,0,0,20.07,20.07,0,4.92,40.27,20.07,20.07,54,0,100,,122,3,3.8,7.80,1.5,26,7,7,34,22,22,,,,,,,,0.02,,,4.52,2.54,46.2,0.5,,,,,,,
Nick Chubb,,0,RB,7800,CLE,vs TB,6,19.75,9.7,15.9,20.4,0,0,0,0,0,0.6609,20.08,105.55,0.84,22.83,0.0981,2.75,2.06,15.85,0.05,0,0,0,0,0,0,19.54,19.54,0,4.99,38.94,19.54,19.54,5,0,100,,22,42,2.5,23.20,3,6,6,6,10,23,23,,,,,,,,15.74,82.74,0.66,2.16,1.62,13.77,0.05,,,,,,,
Kenny Pickett,,0,QB,5100,PIT,@ IND,6,18.75,3.4,0,13.9,1,43.85,284.38,1.19,1.32,0.178,4.26,23.71,0.37,4.26,0,0,0,0,0,0,0,0,0,0,0,19.41,19.41,0,14.31,26.21,19.41,19.41,25,0,100,,82,75,3.8,12.16,2.4,18,10,10,36,24,24,33.13,21.88,200,1,,0.38,,4.38,24.38,0.38,,,,,,,,,,,
Kenneth Walker III,,0,RB,6900,SEA,vs LV,26,25.75,9.5,0,15,0,0,0,0,0,0.6611,17.69,80.46,1.18,20.77,0.0909,3.08,2.34,13.49,0.08,0,0,0,0,0,0,19.3,19.3,0,5.05,38.3,19.3,19.3,13,0,100,,45,38,2.8,16.90,2.4,12,7,7,18,25,25,,,,,,,,13.5,61.4,0.9,2.5,1.9,11.6,,,,,,,,
Justin Jefferson,,0,WR,8400,MIN,vs NE,19,22.25,11,20.2,23.4,0,0,0,0,0,0,0,0,0,9.72,0.3079,9.72,6.51,95.77,0.51,0,0,0,0,0,0,19.15,19.15,0,2.65,41.15,19.15,19.15,1,0,100,,4,46,2.3,32.34,3.9,3,8,8,4,26,26,0.13,0.09,1.53,,,,12.04,0.22,0.8,0.02,9.36,6.27,95.42,0.49,,,,,,,
Derek Carr,,0,QB,5700,LV,@ SEA,22,21.75,7.6,17.4,16.5,1,37.51,280.39,2.02,0.71,0.0625,1.19,3.67,0.03,1.19,0,0,0,0,0,0,0,0,0,0,0,19.13,19.13,0,7.73,34.33,19.13,19.13,11,0,100,,24,56,3.4,22.80,4,12,11,11,30,27,27,34.91,22.91,255.84,0.66,1.93,1.55,94.93,1.97,6.07,0.05,,,,,,,,,,,
Tee Higgins,,0,WR,6900,CIN,@ TEN,31,21.75,9.1,16.6,16.1,0,0,0,0,0,0,0,0,0,9.74,0.2856,9.74,6.41,94.06,0.55,0,0,0,0,0,0,19.12,19.12,0,5.47,37.32,19.12,19.12,5,0,100,,12,42,2.8,27.40,4,10,9,9,18,28,28,,,,,,,,0.12,0.65,,7.63,5.02,72.88,0.42,,,,,,,
Aaron Rodgers,!,0,QB,5800,GB,@ PHI,4,20.25,8.6,21.1,15.7,1,31.96,251.25,2.34,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.04,19.04,0,6.14,36.24,19.04,19.04,27,0,100,,88,60,3.3,11.50,2,11,12,12,29,29,29,35.38,22.94,259.01,0.41,2.31,2.13,102.75,2.78,13.58,0.12,,,,,,,,,,,
Jaylen Waddle,,0,WR,7300,MIA,vs HOU,3,30.25,9.2,15.6,18.8,0,0,0,0,0,0,0,0,0,10.28,0.283,10.28,7.32,86.16,0.5,0,0,0,0,0,0,18.94,18.94,0,5.14,37.34,18.94,18.94,30,0,100,,73,45,2.6,13.50,1.8,8,10,10,15,30,30,,,,,,,,0.15,0.74,0.04,8.33,5.93,73.26,0.44,,,,,,,
Taylor Heinicke,,0,QB,5300,WAS,vs ATL,18,21.75,7.9,15.2,13.7,1,37.23,256.65,1.91,1.18,0.1154,3.4,15.9,0.08,3.4,0,0,0,0,0,0,0,0,0,0,0,18.8,18.8,0,6.95,34.6,18.8,18.8,24,0,100,,79,35,3.5,12.42,2.3,16,13,13,34,31,31,25.82,16.46,175.64,0.82,1.79,1,86.09,3.11,14.54,0.07,,,,,,,,,,,
Tom Brady,,0,QB,5800,TB,@ CLE,9,22.75,8.4,23.9,16.6,1,34.76,271.72,1.69,0.48,0.1607,3.41,4.28,0.2,3.41,0,0,0,0,0,0,0,0,0,0,0,18.78,18.78,0,6.18,35.58,18.78,18.78,13,0,100,,41,60,3.2,18.04,3.1,11,14,14,29,32,32,38.96,25.3,289.33,0.54,1.63,2.01,99.1,1.85,2.32,0.11,,,,,,,,,,,
Jeff Wilson,,0,RB,5900,MIA,vs HOU,31,30.25,8.8,7.8,12,0,0,0,0,0,0.5615,17.95,81.35,0.72,22.03,0.1124,4.08,2.63,22.36,0.24,0,0,0,0,0,0,18.76,18.76,0,5.56,36.36,18.76,18.76,23,0,100,,81,13,3.2,12.20,2.1,19,8,8,28,33,33,,,,,,,,9.98,45.23,0.4,1.88,1.21,10.81,0.12,,,,,,,
Daniel Jones,,0,QB,5500,NYG,@ DAL,11,17.75,8.7,16.4,18.3,1,30.85,223.01,1.27,0.64,0.25,6.81,39.38,0.24,6.81,0,0,0,0,0,0,0,0,0,0,0,18.74,18.74,0,5.69,36.14,18.74,18.74,20,0,100,,64,49,3.4,14.52,2.6,14,15,15,32,34,34,32.33,20.41,215.57,0.67,2.82,1.12,86.39,5.12,29.61,0.18,,,,,,,,,,,
Pat Freiermuth,,0,TE,4000,PIT,@ IND,23,18.75,4.6,9.4,10.9,0,0,0,0,0,0,0,0,0,12.12,0.2763,12.12,8.68,76.29,0.4,0,0,0,0,0,0,18.71,18.71,0,11.81,27.91,18.71,18.71,18,0,100,,130,53,4.7,6.90,1.7,10,2,2,47,35,35,,,,,,,,,,,5.74,4.11,38.63,0.3,,,,,,,
Derrick Henry,,0,RB,8300,TEN,vs CIN,20,20.75,12.2,24.5,21.8,0,0,0,0,0,0.7732,20.51,97.75,0.89,22.62,0.0768,2.11,1.64,14.95,0.04,0,0,0,0,0,0,18.49,18.49,0,0.19,42.89,18.49,18.49,18,0,100,,63,26,2.2,14.70,1.8,3,9,9,5,36,36,0.07,0.06,0.25,,,0.03,8.82,17.44,83.12,0.76,1.6,1.24,11.67,0.03,,,,,,,
Travis Etienne,!,0,RB,6700,JAC,vs BAL,7,20.25,9.1,0,14.9,0,0,0,0,0,0.7059,18.84,103.13,0.56,22.08,0.0957,3.24,2.3,19.95,0.07,0,0,0,0,0,0,18.39,18.39,0,4.74,36.59,18.39,18.39,66,0,100,,186,33,2.7,0.30,0,13,10,10,20,37,37,,,,,,,,12.09,66.18,0.36,2.82,2,18.36,,,,,,,,
Diontae Johnson,,0,WR,5200,PIT,@ IND,2,18.75,7.7,17,10.1,0,0,0,0,0,0,0,0,0,13.22,0.3014,13.22,8.2,81.03,0.33,0,0,0,0,0,0,18.28,18.28,0,6.73,33.68,18.28,18.28,43,0,100,,105,44,3.5,9.90,1.9,27,11,11,35,38,38,,,,,,,,0.31,2.26,,8.64,5.36,56.62,0.34,,,,,,,
Joe Burrow,,0,QB,6700,CIN,@ TEN,31,21.75,8.5,20.9,24.8,1,34.12,264.57,1.71,0.67,0.1023,2.01,6.93,0.13,2.01,0,0,0,0,0,0,0,0,0,0,0,18.23,18.23,0,5.48,35.23,18.23,18.23,14,0,100,,42,60,2.7,18.00,2.7,8,16,16,20,39,39,35.98,24.54,282.05,0.71,3.29,1.83,100.57,3.32,11.44,0.22,,,,,,,,,,,
Rhamondre Stevenson,,0,RB,6400,NE,@ MIN,13,20.25,8.5,10.1,16.7,0,0,0,0,0,0.5151,14.62,65.68,0.46,20.39,0.1961,5.77,4.77,36.77,0.07,0,0,0,0,0,0,18.2,18.2,0,5.45,35.2,18.2,18.2,7,0,100,,32,36,2.8,20.20,3.2,15,11,11,23,40,40,,,,,,,,12.17,54.67,0.38,3.42,2.83,21.46,0.04,,,,,,,
Tyler Lockett,,0,WR,6200,SEA,vs LV,23,25.75,9.8,16,15.2,0,0,0,0,0,0,0,0,0,8.87,0.2614,8.87,6.34,81.96,0.58,0,0,0,0,0,0,18.02,18.02,0,3.32,37.62,18.02,18.02,22,0,100,,54,26,2.9,15.80,2.5,17,12,12,25,41,41,,,,,,,,0.31,2.09,0.01,5.83,4.17,57.06,0.42,,,,,,,
JuJu Smith-Schuster,,0,WR,5700,KC,vs LAR,4,28.75,9.6,7.1,13.8,0,0,0,0,0,0,0,0,0,9.75,0.2328,9.75,6.67,79.74,0.56,0,0,0,0,0,0,18,18,0,3.6,37.2,18,18,60,0,100,,131,34,3.2,6.80,1.2,22,13,13,30,42,42,,,,,,,,0.05,0.29,0.01,7.57,5.18,62,0.39,,,,,,,
Garrett Wilson,,0,WR,4300,NYJ,vs CHI,6,21.75,9.7,0,11.6,0,0,0,0,0,0,0,0,0,10.24,0.2568,10.24,6.35,83.58,0.54,0,0,0,0,0,0,17.95,17.95,0,3.4,37.35,17.95,17.95,6,0,100,,13,25,4.2,26.40,6.1,36,14,14,44,43,43,,,,,,,,0.36,0.36,,7.18,4.45,57.09,0.36,,,,,,,
Mike White,,0,QB,4900,NYJ,vs CHI,13,21.75,10.7,13.8,0,1,39.86,307.95,1.9,1.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.93,17.93,0,1.88,39.33,17.93,17.93,5,0,100,,11,36,3.7,27.80,5.7,20,17,17,38,44,44,32,22,253.6,1.6,1,1.6,95.36,1.6,0.2,,,,,,,,,,,,
DK Metcalf,,0,WR,6500,SEA,vs LV,23,25.75,8.6,14.5,13.1,0,0,0,0,0,0,0,0,0,9.64,0.2841,9.64,5.91,79.63,0.66,0,0,0,0,0,0,17.83,17.83,0,4.93,35.03,17.83,17.83,14,0,100,,33,43,2.7,20.00,3.1,14,15,15,22,45,45,,,,,,,,0.05,0.27,,7.54,4.62,65.97,0.57,,,,,,,
Kirk Cousins,,0,QB,5600,MIN,vs NE,19,22.25,7.9,19.5,16.8,1,31.58,249.53,1.66,0.61,0.0957,2.36,7.28,0.18,2.36,0,0,0,0,0,0,0,0,0,0,0,17.82,17.82,0,5.97,33.62,17.82,17.82,10,0,100,,23,59,3.2,22.86,4.1,13,18,18,31,46,46,34.39,23.17,262.3,0.66,2.13,1.8,100.76,2.13,6.57,0.16,,,,,,,,,,,
Trevor Lawrence,,0,QB,5500,JAC,vs BAL,3,20.25,6.5,13.4,17.5,1,33.83,228.86,1.35,0.79,0.2059,5.5,25.19,0.25,5.5,0,0,0,0,0,0,0,0,0,0,0,17.78,17.78,0,8.03,30.78,17.78,17.78,3,0,100,,9,58,3.2,28.94,5.3,14,19,19,32,47,47,35.25,21.96,224.86,0.82,1.89,1,81.3,4,18.32,0.18,,,,,,,,,,,
Amon-Ra St. Brown,,0,WR,6600,DET,vs BUF,30,22.75,11,14.6,16.3,0,0,0,0,0,0,0,0,0,9.68,0.2798,9.68,7.25,77.45,0.4,0,0,0,0,0,0,17.4,17.4,0,0.9,39.4,17.4,17.4,3,0,100,,7,30,2.6,30.90,4.7,13,16,16,21,48,48,,,,,,,,0.46,5.46,0.04,7.96,5.96,62.62,0.35,,,,,,,
Aaron Jones,,0,RB,7100,GB,@ PHI,19,20.25,10.9,16.4,16.9,0,0,0,0,0,0.5543,11.66,58.99,0.53,16.92,0.1647,5.26,3.95,29.03,0.23,0,0,0,0,0,0,17.31,17.31,0,0.96,39.11,17.31,17.31,10,0,100,,37,35,2.4,18.90,2.7,10,12,12,16,49,49,,,,,,,,12.4,62.73,0.56,3.9,2.93,23.01,0.2,,,,,,,
Jonathan Taylor,,0,RB,7900,IND,vs PIT,3,20.75,10.9,22.9,15.1,0,0,0,0,0,0.553,13.08,66.27,0.59,17.65,0.1482,4.57,3.58,28.13,0.12,0,0,0,0,0,0,17.28,17.28,0,0.93,39.08,17.28,17.28,11,0,100,,38,44,2.2,18.80,2.4,5,13,13,9,50,50,,,,,,,,17.65,89.42,0.79,3.09,2.42,18.42,0.07,,,,,,,
Courtland Sutton,,0,WR,5600,DEN,@ CAR,24,18.75,6.8,9.2,11.7,0,0,0,0,0,0,0,0,0,10.13,0.3451,10.13,5.77,85.68,0.48,0,0,0,0,0,0,17.22,17.22,0,7.02,30.82,17.22,17.22,30,0,100,,73,37,3.1,13.50,2.4,23,17,17,31,51,51,0.03,0.03,0.87,,,,5.85,0.08,0.34,,6.55,3.73,54.56,0.21,,,,,,,
Deebo Samuel,,0,WR,6800,SF,vs NO,16,25.50,8.6,20.6,14.9,0,0,0,0,0,0.1071,3.57,23.8,0.33,10.48,0.2358,6.91,4.51,65.8,0.26,0,0,0,0,0,0,17.01,17.01,0,4.11,34.21,17.01,17.01,57,0,100,,127,46,2.5,7.30,1.1,11,18,18,19,52,52,0.04,0.02,0.44,,,0.02,3.6,2.69,17.93,0.25,6.51,4.25,62.11,0.24,,,,,,,
Dalvin Cook,,0,RB,7500,MIN,vs NE,5,22.25,9.8,16.5,16.4,0,0,0,0,0,0.7234,17.81,83.35,0.67,20.83,0.0957,3.02,2.32,17.5,0.05,0,0,0,0,0,0,16.73,16.73,0,2.03,36.33,16.73,16.73,31,0,100,,107,48,2.2,9.60,1.3,8,14,14,13,53,53,,,,,,,,17.44,81.62,0.66,4.04,3.1,24.23,0.07,,,,,,,
Russell Wilson,,0,QB,5400,DEN,@ CAR,21,18.75,8.5,16.9,15,1,29.35,223.07,1.3,0.52,0.1852,4.41,23.18,0.1,4.41,0,0,0,0,0,0,0,0,0,0,0,16.52,16.52,0,3.77,33.52,16.52,16.52,31,0,100,,109,58,3.1,9.48,1.8,15,20,20,33,54,54,31.33,20.26,241.73,0.56,2.85,1.85,101.34,4.68,24.6,0.11,,,,,,,,,,,
Jared Goff,,0,QB,5200,DET,vs BUF,16,22.75,8.6,15.1,16.3,1,34.59,248.53,1.58,0.72,0.0693,1.84,4.07,0.09,1.84,0,0,0,0,0,0,0,0,0,0,0,16.49,16.49,0,3.59,33.69,16.49,16.49,15,0,100,,44,50,3.2,17.60,3.4,17,21,21,35,55,55,34.77,22.14,254.02,0.72,1.95,1.47,91.95,2.15,4.75,0.1,,,,,,,,,,,
Chris Godwin,,0,WR,6000,TB,@ CLE,9,22.75,9.7,18.5,12.8,0,0,0,0,0,0,0,0,0,8.58,0.2469,8.58,6,74.84,0.5,0,0,0,0,0,0,16.48,16.48,0,1.93,35.88,16.48,16.48,2,0,100,,5,34,2.7,32.00,5.3,19,19,19,27,56,56,,,,,,,,0.11,0.48,0.01,7.17,5.01,65.67,0.39,,,,,,,
Mark Andrews,,0,TE,6500,BAL,@ JAC,20,23.25,9.2,19,15.5,0,0,0,0,0,0,0,0,0,8.32,0.2351,8.32,5.53,69.26,0.64,0,0,0,0,0,0,16.3,16.3,0,2.5,34.7,16.3,16.3,11,0,100,,93,31,2.5,11.00,1.7,2,3,3,22,57,57,,,,,,,,0.04,0.09,,6.63,4.41,55.91,0.47,,,,,,,
Najee Harris,,0,RB,5800,PIT,@ IND,11,18.75,8,16.8,12.6,0,0,0,0,0,0.6998,16.75,63.55,0.39,22.26,0.1256,5.51,4.39,23.85,0.13,0,0,0,0,0,0,16.25,16.25,0,4.25,32.25,16.25,16.25,26,0,100,,95,47,2.8,10.90,1.9,20,15,15,29,58,58,0.03,0.03,0.13,,,,2.78,16.07,60.97,0.37,4.43,3.53,20.5,0.17,,,,,,,
Curtis Samuel,,0,WR,5000,WAS,vs ATL,28,21.75,6.8,2,12.3,0,0,0,0,0,0.0673,1.98,12.45,0.12,11.19,0.2474,9.21,5.85,63.02,0.34,0,0,0,0,0,0,16.16,16.16,0,5.96,29.76,16.16,16.16,87,0,100,,178,35,3.2,1.30,0.3,29,20,20,37,59,59,,,,,,,,1.53,9.62,0.09,5.53,3.51,38.34,0.25,,,,,,,
Ryan Tannehill,,0,QB,5400,TEN,vs CIN,17,20.75,7.4,16.9,14.4,1,27.5,217.29,1.38,0.66,0.1031,2.74,11.83,0.21,2.74,0,0,0,0,0,0,0,0,0,0,0,15.99,15.99,0,4.89,30.79,15.99,15.99,23,0,100,,77,58,3,12.54,2.3,15,22,22,33,60,60,29.03,19.02,222.69,0.7,2.37,1.54,97.35,2.93,12.65,0.22,,,,,,,,,,,
Devin Singletary,,0,RB,5700,BUF,@ DET,22,31.75,6.2,12.6,12.2,0,0,0,0,0,0.4828,13.57,62.66,0.34,19.27,0.1253,5.7,4.3,28.02,0.09,0,0,0,0,0,0,15.95,15.95,0,6.65,28.35,15.95,15.95,32,0,100,,113,46,2.8,9.00,1.6,21,16,16,30,61,61,,,,,,,,10.87,50.19,0.27,3.39,2.56,17.34,0.06,,,,,,,
Andy Dalton,,0,QB,5300,NO,@ SF,10,17.50,7.6,12.5,16.1,1,30.32,223.08,1.45,0.72,0.1316,3.21,10.48,0.13,3.21,0,0,0,0,0,0,0,0,0,0,0,15.83,15.83,0,4.43,31.03,15.83,15.83,30,0,100,,101,54,3,10.26,1.9,16,23,23,34,62,62,32.76,20.63,232.4,0.78,2.2,1.45,89.84,2.65,8.65,0.11,,,,,,,,,,,
