,,,,,Game and Vegas,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,Proj. Fantasy Pts,,,Projected Values,,,,Position Rankings,,,,Overall Rankings,,,Actual Data,,Position Rankings,,,Overall Rankings,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
Justin Jefferson,,0,WR,9300,MIN,vs DET,23,28.75,10.9,20.2,26.6,0,0,0,0,0,0,0,0,0,11.96,0.323,11.96,8.01,115.71,0.61,0,0,0,0,0,0,23.24,23.24,0,6.89,45.04,23.24,23.24,65,0,100,,141,46,2.5,4.40,0.5,2,4,4,2,10,10,0.13,0.08,1.49,,,,11.01,0.23,0.67,0.03,9.23,6.18,92.54,0.49,,,,,,,
Stefon Diggs,!,0,WR,7700,BUF,@ MIA,9,29.25,9.9,16,38.5,0,0,0,0,0,0,0,0,0,12.18,0.2965,12.18,8.35,99.93,0.63,0,0,0,0,0,0,22.12,22.12,0,7.27,41.92,22.12,22.12,27,0,100,,63,41,2.9,14.40,1.9,6,5,5,11,11,11,0.02,0.01,0.13,,0.02,,1.02,0.29,1.5,0.01,8.4,5.76,72.32,0.48,,,,,,,
Christian McCaffrey,,0,RB,8800,CAR,vs NO,14,19.75,11,18.2,17.8,0,0,0,0,0,0.6211,14.03,64.15,0.52,21.17,0.2161,7.14,5.77,48.52,0.31,0,0,0,0,0,0,22.02,22.02,0,5.52,44.02,22.02,22.02,10,0,100,,44,52,2.5,16.50,1.9,2,3,3,4,12,12,0.05,0.02,0.78,,,0.02,9.86,13.42,61.36,0.5,7.53,6.08,51.63,0.3,,,,,,,
Kirk Cousins,,0,QB,6700,MIN,vs DET,28,28.75,7.9,19.5,15.5,1,37.02,294.99,2.01,0.71,0.0947,2.83,8.92,0.21,2.83,0,0,0,0,0,0,0,0,0,0,0,21.28,21.28,0,9.43,37.08,21.28,21.28,11,0,100,,33,60,3.2,18.30,2.7,8,5,5,20,13,13,34.31,23.17,263.46,0.66,2.07,1.8,101.28,2.12,6.68,0.16,,,,,,,,,,,
Travis Kelce,,0,TE,7900,KC,@ IND,31,27.75,9.3,17.8,19.6,0,0,0,0,0,0,0,0,0,10.32,0.2619,10.32,7.37,92.48,0.75,0,0,0,0,0,0,21.12,21.12,0,7.17,39.72,21.12,21.12,3,0,100,,36,47,2.7,17.90,2.3,1,1,1,9,14,14,0.03,0.02,0.05,0.01,,0.01,1.86,0.06,0.09,0.02,8.26,5.9,74.3,0.55,,,,,,,
Joe Burrow,,0,QB,6600,CIN,@ NYJ,25,25.75,7.8,20.9,21.4,1,35.58,282.14,1.85,0.73,0.1675,4.63,15.69,0.25,4.63,0,0,0,0,0,0,0,0,0,0,0,21.02,21.02,0,9.32,36.62,21.02,21.02,6,0,100,,20,62,3.2,23.00,3.5,9,6,6,21,15,15,35.91,24.31,277.71,0.74,3.43,1.74,98.81,3.17,10.74,0.17,,,,,,,,,,,
Derek Carr,,0,QB,5900,LV,@ TEN,11,23.25,7.6,17.4,17.9,1,41.62,308.65,2.21,0.8,0.049,1.07,3.35,0.03,1.07,0,0,0,0,0,0,0,0,0,0,0,20.9,20.9,0,9.5,36.1,20.9,20.9,5,0,100,,17,56,3.5,23.82,4,15,7,7,28,16,16,34.99,22.98,256.56,0.67,1.95,1.55,94.92,2.02,6.32,0.05,,,,,,,,,,,
Amon-Ra St. Brown,!,0,WR,7200,DET,@ MIN,29,22.75,11.3,14.6,31.4,0,0,0,0,0,0,0,0,0,11.66,0.3097,11.66,8.63,87.73,0.55,0,0,0,0,0,0,20.7,20.7,0,3.75,43.3,20.7,20.7,32,0,100,,70,28,2.9,13.30,1.8,9,6,6,16,17,17,,,,,,,,0.45,6.45,0.05,7.9,5.85,59.15,0.4,,,,,,,
Brandin Cooks,,0,WR,5800,HOU,@ CHI,3,18.25,9.2,15.2,12.3,0,0,0,0,0,0,0,0,0,11.76,0.3394,11.76,7.59,97.5,0.55,0,0,0,0,0,0,20.64,20.64,0,6.84,39.04,20.64,20.64,67,0,100,,143,38,3.6,4.20,0.7,21,7,7,29,18,18,,,,,,,,0.36,1.99,0.01,7.53,4.86,68.21,0.37,,,,,,,
CeeDee Lamb,,0,WR,6600,DAL,@ NYG,16,18.75,8.2,14.2,10,0,0,0,0,0,0,0,0,0,11.78,0.3295,11.78,7.53,98.3,0.53,0,0,0,0,0,0,20.54,20.54,0,8.24,36.94,20.54,20.54,10,0,100,,22,42,3.1,22.70,3.4,13,8,8,21,19,19,,,,,0.03,,,0.54,4.33,0.03,7.46,4.77,62.56,0.33,,,,,,,
David Montgomery,!,0,RB,5900,CHI,vs HOU,26,21.25,8.2,15.6,13.3,0,0,0,0,0,0.505,16.32,63.89,0.46,23.66,0.2373,7.34,5.79,45.66,0.12,0,0,0,0,0,0,20.23,20.23,0,7.93,36.63,20.23,20.23,58,0,100,,171,43,3.4,1.10,0.2,18,4,4,28,20,20,0.02,,,0.02,,,,15.76,61.7,0.44,3.32,2.62,20.74,0.06,,,,,,,
Mark Andrews,,0,TE,6900,BAL,@ NE,1,23.75,9.2,19,19.5,0,0,0,0,0,0,0,0,0,10.03,0.2729,10.03,6.72,86.37,0.79,0,0,0,0,0,0,20.1,20.1,0,6.3,38.5,20.1,20.1,1,0,100,,7,31,2.9,28.90,4.2,2,2,2,18,21,21,,,,,,,,0.03,0.04,,6.63,4.44,56.29,0.49,,,,,,,
Marcus Mariota,,0,QB,5500,ATL,@ SEA,27,21.25,9.7,2.1,18.6,1,31.32,240.38,1.35,0.78,0.2456,6.45,37.72,0.32,6.45,0,0,0,0,0,0,0,0,0,0,0,19.93,19.93,0,5.38,39.33,19.93,19.93,14,0,100,,38,35,3.6,17.56,3.2,19,8,8,32,22,22,24.76,15.41,184.67,0.62,2.23,1.06,82.13,3.87,22.63,0.19,,,,,,,,,,,
Jonathan Taylor,,0,RB,9000,IND,vs KC,8,23.75,11.3,22.9,18.9,0,0,0,0,0,0.7777,19.55,99.16,0.91,22.38,0.0939,2.83,2.21,18.08,0.08,0,0,0,0,0,0,19.87,19.87,0,2.92,42.47,19.87,19.87,21,0,100,,76,42,2.2,12.10,1.3,1,5,5,3,23,23,,,,,,,,17.61,89.32,0.82,3,2.34,19.13,0.08,,,,,,,
Joe Mixon,!,0,RB,7600,CIN,@ NYJ,32,25.75,8.8,18.2,16.4,0,0,0,0,0,0.7685,21.23,85.94,0.59,25.81,0.1287,4.58,3.75,27.17,0.14,0,0,0,0,0,0,19.44,19.44,0,6.24,37.04,19.44,19.44,37,0,100,,121,44,2.6,6.80,0.9,6,6,6,12,24,24,0.01,0.01,0.08,,,0.01,1.75,16.89,68.37,0.47,3.41,2.79,20.73,0.11,,,,,,,
Tua Tagovailoa,,0,QB,6100,MIA,vs BUF,1,25.25,9.3,15,29.3,1,36.54,270.6,1.85,0.83,0.0795,2.4,6.96,0.17,2.4,0,0,0,0,0,0,0,0,0,0,0,19.11,19.11,0,5.16,37.71,19.11,19.11,24,0,100,,80,40,3.1,11.44,1.9,13,9,9,26,25,25,29.37,19.59,203.78,0.67,1.7,1.3,89.67,3.04,8.81,0.22,,,,,,,,,,,
Diontae Johnson,,0,WR,5700,PIT,@ CLE,10,16.75,8,17,13.1,0,0,0,0,0,0,0,0,0,12.66,0.3333,12.66,7.84,83.7,0.48,0,0,0,0,0,0,19.09,19.09,0,7.09,35.09,19.09,19.09,22,0,100,,45,44,3.3,16.40,2.9,22,9,9,30,26,26,,,,,,,,0.27,2.29,,8.78,5.44,58.47,0.38,,,,,,,
Tom Brady,,0,QB,6000,TB,vs GB,21,21.25,8.5,23.9,10.9,1,38.25,282.04,1.82,0.55,0.0869,1.86,2.42,0.12,1.86,0,0,0,0,0,0,0,0,0,0,0,18.97,18.97,0,6.22,35.97,18.97,18.97,20,0,100,,58,60,3.2,14.74,2.5,14,10,10,27,27,27,38.73,25.16,290.05,0.56,1.62,2.05,99.46,1.86,2.42,0.12,,,,,,,,,,,
Aaron Rodgers,,0,QB,6400,GB,@ TB,15,20.25,8.7,21.1,11.5,1,30.5,230.07,1.97,0.33,0.128,2.9,14.11,0.13,2.9,0,0,0,0,0,0,0,0,0,0,0,18.94,18.94,0,5.89,36.34,18.94,18.94,15,0,100,,41,60,3,17.10,2.7,11,11,11,23,28,28,35.58,23.11,261.45,0.38,2.34,2.14,103.17,2.86,13.92,0.13,,,,,,,,,,,
Jaylen Waddle,,0,WR,6800,MIA,vs BUF,1,25.25,9.6,15.6,30.4,0,0,0,0,0,0,0,0,0,10.93,0.2992,10.93,7.83,81.54,0.49,0,0,0,0,0,0,18.92,18.92,0,4.52,38.12,18.92,18.92,16,0,100,,34,41,2.8,18.10,2.7,11,10,10,19,29,29,,,,,,,,0.19,0.95,0.05,8.52,6.1,67.57,0.43,,,,,,,
Daniel Jones,,0,QB,5100,NYG,vs DAL,9,19.75,8.6,16.4,15.6,1,33.31,240.89,1.28,0.74,0.266,6.23,36,0.2,6.23,0,0,0,0,0,0,0,0,0,0,0,18.82,18.82,0,5.92,36.02,18.82,18.82,20,0,100,,58,48,3.7,14.74,2.9,23,12,12,36,30,30,32.56,20.56,215.02,0.72,2.79,1.12,84.63,4.95,28.6,0.16,,,,,,,,,,,
JaMarr Chase,,0,WR,8100,CIN,@ NYJ,20,25.75,11.7,18.9,21.4,0,0,0,0,0,0,0,0,0,9.16,0.2574,9.16,5.85,89.61,0.64,0,0,0,0,0,0,18.65,18.65,0,1.1,42.05,18.65,18.65,31,0,100,,68,36,2.3,13.70,1.7,4,11,11,7,31,31,,,,,,,,0.65,2.12,,8.31,5.31,83.31,0.62,,,,,,,
Justin Fields,,0,QB,5600,CHI,vs HOU,19,21.25,6.9,12.1,12.2,1,30.92,220.89,0.99,1.2,0.297,9.6,53.49,0.23,9.6,0,0,0,0,0,0,0,0,0,0,0,18.32,18.32,0,7.97,32.12,18.32,18.32,31,0,100,,119,44,3.3,6.94,1.2,18,13,13,31,32,32,21.39,12.33,152.17,0.83,3.28,0.61,71.05,7,39,0.17,,,,,,,,,,,
Jared Goff,,0,QB,5800,DET,@ MIN,24,22.75,8.7,15.1,21.3,1,37.66,273.45,1.75,0.78,0.0777,2.13,4.76,0.11,2.13,0,0,0,0,0,0,0,0,0,0,0,18.29,18.29,0,5.24,35.69,18.29,18.29,19,0,100,,57,50,3.2,14.88,2.6,16,14,14,29,33,33,35.1,22.27,256.12,0.73,1.97,1.5,91.93,2.17,4.85,0.11,,,,,,,,,,,
A.J. Brown,,0,WR,7300,PHI,@ WAS,25,26.75,10.2,15.6,20.2,0,0,0,0,0,0,0,0,0,9.35,0.2913,9.35,5.8,88.76,0.58,0,0,0,0,0,0,18.16,18.16,0,2.86,38.56,18.16,18.16,13,0,100,,31,34,2.5,19.50,2.7,8,12,12,15,34,34,0.04,,,,,,1.49,0.11,1.49,0.02,6.96,4.32,70.15,0.51,,,,,,,
Aaron Jones,,0,RB,7400,GB,@ TB,7,20.25,11.2,16.4,22.8,0,0,0,0,0,0.4828,10.93,55.79,0.53,16.9,0.1956,5.97,4.41,34.17,0.26,0,0,0,0,0,0,18.15,18.15,0,1.35,40.55,18.15,18.15,38,0,100,,122,33,2.5,6.70,0.9,8,7,7,14,35,35,,,,,,,,12.31,62.83,0.6,3.82,2.82,22.43,0.18,,,,,,,
Deebo Samuel,,0,WR,7800,SF,@ DEN,2,22.75,8.7,20.6,14.2,0,0,0,0,0,0.2101,5.98,39.97,0.57,11.62,0.2004,5.64,3.71,55.97,0.23,0,0,0,0,0,0,18.1,18.1,0,5.05,35.5,18.1,18.1,34,0,100,,72,46,2.3,12.90,1.7,5,13,13,10,36,36,0.04,0.02,0.48,,,0.02,3.96,2.72,18.18,0.26,6.38,4.2,63.42,0.26,,,,,,,
Carson Wentz,,0,QB,6300,WAS,vs PHI,16,20.75,7.3,16.2,32.3,1,34.28,233.2,1.78,0.66,0.1563,4.07,16.52,0.11,4.07,0,0,0,0,0,0,0,0,0,0,0,18.1,18.1,0,7.15,32.7,18.1,18.1,28,0,100,,99,60,2.9,9.64,1.5,12,15,15,24,36,36,35.26,22.05,237.67,0.68,2.55,1.63,89.59,3.63,14.73,0.1,,,,,,,,,,,
Kyler Murray,,0,QB,7300,ARI,vs LAR,6,22.75,8.6,21.6,23.8,1,32.46,234.96,1.39,0.69,0.1869,4.04,22.61,0.26,4.04,0,0,0,0,0,0,0,0,0,0,0,18.09,18.09,0,5.19,35.29,18.09,18.09,16,0,100,,46,61,2.5,16.36,2.2,6,16,16,15,37,37,35.04,23.3,245.62,0.75,2.17,1.49,93.78,6.49,36.32,0.42,,,,,,,,,,,
Saquon Barkley,,0,RB,7500,NYG,vs DAL,19,19.75,10.7,11.7,24.1,0,0,0,0,0,0.6383,14.96,68.68,0.43,21.04,0.1825,6.08,4.46,32.04,0.15,0,0,0,0,0,0,18.01,18.01,0,1.96,39.41,18.01,18.01,6,0,100,,23,43,2.4,22.60,3,7,8,8,13,38,38,,,,,,,,15.16,69.6,0.44,5.7,4.18,32.64,0.16,,,,,,,
Javonte Williams,,0,RB,6300,DEN,vs SF,3,21.75,6.9,12.5,15.2,0,0,0,0,0,0.4468,11.3,50.05,0.18,18.53,0.2425,7.23,5.69,39.07,0.37,0,0,0,0,0,0,17.9,17.9,0,7.55,31.7,17.9,17.9,29,0,100,,103,43,2.8,9.00,1.4,14,9,9,24,39,39,,,,,,,,11.9,52.71,0.19,3.57,2.81,18.67,0.14,,,,,,,
Antonio Gibson,,0,RB,6400,WAS,vs PHI,17,20.75,7.7,14.9,16.1,0,0,0,0,0,0.6042,15.75,65.06,0.63,20.77,0.1463,5.02,4.05,28.23,0.11,0,0,0,0,0,0,17.82,17.82,0,6.27,33.22,17.82,17.82,25,0,100,,83,45,2.8,11.00,1.7,13,10,10,23,40,40,,,,,,,,13.59,56.14,0.54,3.32,2.68,18.84,0.08,,,,,,,
Baker Mayfield,,0,QB,5200,CAR,vs NO,2,19.75,6.6,14.5,16.2,1,33.05,241.53,1.39,0.94,0.2737,6.18,21.43,0.21,6.18,0,0,0,0,0,0,0,0,0,0,0,17.68,17.68,0,7.78,30.88,17.68,17.68,25,0,100,,86,60,3.4,10.70,2.1,22,17,17,35,41,41,32.06,19.6,232.15,0.91,2.24,1.49,88.03,2.69,9.33,0.09,,,,,,,,,,,
Gabriel Davis,,0,WR,6300,BUF,@ MIA,9,29.25,10.5,11.5,18.8,0,0,0,0,0,0,0,0,0,7.86,0.1913,7.86,4.42,78.97,0.88,0,0,0,0,0,0,17.6,17.6,0,1.85,38.6,17.6,17.6,56,0,100,,122,0,2.8,6.70,1.1,16,14,14,24,42,42,,,,,,,,0.03,,,4.23,2.38,44.6,0.53,,,,,,,
Mitchell Trubisky,,0,QB,5000,PIT,@ CLE,14,16.75,9.8,1.5,12.5,1,37.97,254.21,1.69,0.87,0.0938,1.95,10.01,0.09,1.95,0,0,0,0,0,0,0,0,0,0,0,17.6,17.6,0,2.9,37.2,17.6,17.6,18,0,100,,55,31,3.5,14.98,3,24,18,18,37,42,42,27.84,17.73,185.02,0.64,1.92,1.06,82.22,3.42,17.55,0.16,,,,,,,,,,,
Christian Kirk,,0,WR,6200,JAC,@ LAC,14,19.75,7.7,12.3,23.3,0,0,0,0,0,0,0,0,0,10.74,0.2727,10.74,6.94,80.68,0.42,0,0,0,0,0,0,17.53,17.53,0,5.98,32.93,17.53,17.53,14,0,100,,32,36,2.8,19.20,3.1,17,15,15,25,43,43,0.02,0.02,0.53,,,,1.92,0.27,2.34,,6.56,4.24,53.08,0.32,,,,,,,
Justin Herbert,,0,QB,7400,LAC,vs JAC,26,25.75,8.5,24.1,25.4,1,34.74,254.2,1.97,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.39,17.39,0,4.64,34.39,17.39,17.39,21,0,100,,61,64,2.4,14.58,2,5,19,19,14,44,44,38.89,25.76,287.53,0.74,1.79,2.13,99.96,3.53,14.55,0.21,,,,,,,,,,,
Matthew Stafford,,0,QB,6500,LAR,@ ARI,30,25.75,7.3,22.5,15.8,1,34.88,268.34,1.84,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.35,17.35,0,6.4,31.95,17.35,17.35,27,0,100,,93,61,2.7,10.16,1.6,10,20,20,22,45,45,35.57,23.51,269.54,0.75,2.48,1.79,98.3,2.11,7.16,0.04,,,,,,,,,,,
Joe Flacco,,0,QB,5300,NYJ,vs CIN,17,19.75,7.1,12.4,24.6,1,41.6,274.82,1.47,0.91,0.0922,2.18,4.83,0.13,2.18,0,0,0,0,0,0,0,0,0,0,0,17.23,17.23,0,6.58,31.43,17.23,17.23,30,0,100,,116,53,3.3,7.40,1.4,21,21,21,34,46,46,37.78,23.91,241.14,0.83,1.96,1.22,84.69,1.48,3.28,0.09,,,,,,,,,,,
Pat Freiermuth,,0,TE,4600,PIT,@ CLE,24,16.75,4.7,9.4,12.4,0,0,0,0,0,0,0,0,0,9.8,0.2581,9.8,7.1,63.52,0.59,0,0,0,0,0,0,16.99,16.99,0,9.94,26.39,16.99,16.99,24,0,100,,127,51,3.7,6.10,1.3,7,3,3,41,47,47,,,,,,,,,,,5.27,3.82,34.41,0.36,,,,,,,
Cooper Rush,,0,QB,5200,DAL,@ NYG,20,18.75,7.5,7.3,8.1,1,35.75,270.17,1.48,0.21,0.0695,1.64,0.9,0.06,1.64,0,0,0,0,0,0,0,0,0,0,0,16.97,16.97,0,5.72,31.97,16.97,16.97,22,0,100,,75,0,3.3,12.40,2.4,22,22,22,35,48,48,15.27,9.36,114.82,0.09,0.91,0.64,89.58,1.82,1,,,,,,,,,,,,
Geno Smith,,0,QB,5000,SEA,vs ATL,23,22.25,10.3,14.1,12.1,1,26.78,211.85,1.54,0.37,0.1857,4.17,15.46,0.19,4.17,0,0,0,0,0,0,0,0,0,0,0,16.95,16.95,0,1.5,37.55,16.95,16.95,7,0,100,,21,5,3.4,22.90,4.6,24,23,23,37,49,49,18.58,12.84,139.53,0.26,1.74,0.95,82.94,2.47,9.16,0.11,,,,,,,,,,,
Alvin Kamara,,0,RB,7000,NO,@ CAR,29,21.75,10.8,18.1,7.6,0,0,0,0,0,0.4234,13.31,60.61,0.63,17.51,0.1368,4.2,3.24,27.9,0.16,0,0,0,0,0,0,16.83,16.83,0,0.63,38.43,16.83,16.83,31,0,100,,109,47,2.4,8.30,1.2,11,11,11,17,50,50,0.01,0.01,0.15,,,,1.64,12.4,56.47,0.59,6.42,4.96,43.18,0.25,,,,,,,
Michael Carter,,0,RB,5200,NYJ,vs CIN,5,19.75,7.3,11.3,13.5,0,0,0,0,0,0.5542,13.08,53.74,0.41,19.15,0.146,6.07,4.23,32.84,0.16,0,0,0,0,0,0,16.31,16.31,0,5.36,30.91,16.31,16.31,43,0,100,,131,35,3.1,5.60,1.1,25,12,12,35,51,51,,,,,,,,10.21,41.95,0.32,4,2.79,22.37,,,,,,,,
Darren Waller,,0,TE,5800,LV,@ TEN,8,23.25,9.7,12.8,14.5,0,0,0,0,0,0,0,0,0,9.47,0.2276,9.47,6.62,76.69,0.33,0,0,0,0,0,0,16.27,16.27,0,1.72,35.67,16.27,16.27,27,0,100,,134,22,2.8,5.20,0.9,3,4,4,29,52,52,,,,,,,,0.05,0.42,,6.77,4.73,55.44,0.27,,,,,,,
Mac Jones,!,0,QB,5100,NE,vs BAL,32,21.75,6.1,14.4,12.1,1,32.74,241.36,1.51,1.02,0.1702,4.12,11.8,0.07,4.12,0,0,0,0,0,0,0,0,0,0,0,16.27,16.27,0,7.12,28.47,16.27,16.27,8,0,100,,24,58,3.2,21.94,4.3,23,24,24,36,52,52,30.55,20.55,224.18,0.95,1.77,1.23,90.65,2.95,8.45,0.05,,,,,,,,,,,
Trevor Lawrence,,0,QB,5400,JAC,@ LAC,29,19.75,5.9,13.4,16.5,1,39.37,265.5,1.35,1.05,0.1,2.12,9.56,0.05,2.12,0,0,0,0,0,0,0,0,0,0,0,16.23,16.23,0,7.38,28.03,16.23,16.23,4,0,100,,12,58,3,25.18,4.7,20,25,25,33,53,53,35.59,21.45,221.5,0.95,1.73,0.91,76.89,3.95,17.82,0.09,,,,,,,,,,,
Jameis Winston,,0,QB,5200,NO,@ CAR,13,21.75,8.4,17.3,16.2,1,30.69,239.91,1.53,1.04,0.0721,2.27,9.49,0.09,2.27,0,0,0,0,0,0,0,0,0,0,0,16.17,16.17,0,3.57,32.97,16.17,16.17,10,0,100,,30,55,3.1,19.62,3.8,22,26,26,35,54,54,32.99,20.22,254.63,1.12,2.26,1.63,89.16,3.4,14.22,0.13,,,,,,,,,,,
Chase Edmonds,,0,RB,5100,MIA,vs BUF,25,25.25,7.7,11.5,7.8,0,0,0,0,0,0.4545,13.7,61.62,0.4,18.9,0.1424,5.2,3.96,27.05,0.15,0,0,0,0,0,0,16.13,16.13,0,4.58,31.53,16.13,16.13,11,0,100,,50,9,3.2,15.70,3.1,26,13,13,36,55,55,,,,,,,,6.17,27.75,0.18,2.98,2.27,16.48,0.1,,,,,,,
Curtis Samuel,,0,WR,5100,WAS,vs PHI,8,20.75,7,2,21.6,0,0,0,0,0,0.1042,2.72,17.55,0.16,11.31,0.2505,8.59,5.46,57.73,0.35,0,0,0,0,0,0,16.05,16.05,0,5.55,30.05,16.05,16.05,33,0,100,,71,33,3.1,13.10,2.6,28,16,16,36,56,56,,,,,,,,1.35,8.71,0.08,5.71,3.63,38.73,0.26,,,,,,,
Courtland Sutton,,0,WR,6300,DEN,vs SF,24,21.75,7,9.2,17,0,0,0,0,0,0,0,0,0,9.2,0.3087,9.2,5.25,81.26,0.44,0,0,0,0,0,0,16.02,16.02,0,5.52,30.02,16.02,16.02,17,0,100,,37,36,2.5,17.70,2.8,16,17,17,24,57,57,0.04,0.04,0.96,,,,6.48,0.09,0.38,,6.5,3.71,55.57,0.23,,,,,,,
Damien Harris,,0,RB,5600,NE,vs BAL,1,21.75,7.1,14.5,12.3,0,0,0,0,0,0.4787,11.58,54.34,0.57,16.1,0.138,4.52,3.8,26.13,0.12,0,0,0,0,0,0,15.99,15.99,0,5.34,30.19,15.99,15.99,20,0,100,,73,41,2.9,12.60,2.3,21,14,14,31,58,58,,,,,,,,12.78,59.97,0.63,1.19,1,6.91,,,,,,,,
D'Andre Swift,!,0,RB,7200,DET,@ MIN,24,22.75,7.8,16.6,23.1,0,0,0,0,0,0.3592,9.83,46.08,0.47,15.21,0.1428,5.38,4.24,32.58,0.17,0,0,0,0,0,0,15.95,15.95,0,4.25,31.55,15.95,15.95,35,0,100,,115,51,2.2,7.60,1.1,10,15,15,16,59,59,0.03,,,,,,1.37,10.07,47.21,0.48,5.07,4,30.55,0.17,,,,,,,
