,,,,,Game and Vegas,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,Proj. Fantasy Pts,,,Projected Values,,,,Position Rankings,,,,Overall Rankings,,,Actual Data,,Position Rankings,,,Overall Rankings,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
Rhamondre Stevenson,,0,RB,6200,NE,vs IND,12,22.25,8.9,10.1,17.1,0,0,0,0,0,0.7424,20.03,93.5,0.71,25.88,0.2125,5.85,4.95,37.29,0.16,0,0,0,0,0,0,23.25,23.25,0,9.9,41.05,23.25,23.25,10,0,100,,40,30,3.8,16.00,2.6,13,3,3,21,10,10,,,,,,,,12.14,56.67,0.43,2.81,2.38,17.76,,,,,,,,
Stefon Diggs,,0,WR,8400,BUF,@ NYJ,16,27.75,10,16,26.9,0,0,0,0,0,0,0,0,0,12.53,0.2955,12.53,8.6,104.96,0.67,0,0,0,0,0,0,23.12,23.12,0,8.12,43.12,23.12,23.12,18,0,100,,51,41,2.8,14.30,1.7,4,4,4,5,11,11,0.02,0.01,0.12,,0.02,,1,0.28,1.47,0.01,8.44,5.79,73.24,0.49,,,,,,,
Justin Herbert,,0,QB,7200,LAC,@ ATL,26,25.75,8.6,24.1,19.1,1,43.22,307.42,2.24,0.82,0.1429,3.37,14.14,0.19,3.37,0,0,0,0,0,0,0,0,0,0,0,22.99,22.99,0,10.09,40.19,22.99,22.99,18,0,100,,56,63,3.2,13.10,1.8,6,5,5,12,12,12,39.65,26.23,286.43,0.75,1.83,2.08,98.74,3.48,14.6,0.2,,,,,,,,,,,
Derek Carr,,0,QB,5400,LV,@ JAC,23,24.75,7.7,17.4,15.1,1,43.36,326.94,2.37,0.82,0.0784,1.7,5.21,0.04,1.7,0,0,0,0,0,0,0,0,0,0,0,22.5,22.5,0,10.95,37.9,22.5,22.5,9,0,100,,28,55,4.2,18.36,3.4,16,6,6,29,13,13,34.85,22.9,255.12,0.66,1.95,1.53,94.73,2.02,6.19,0.05,,,,,,,,,,,
Tua Tagovailoa,,0,QB,6700,MIA,@ CHI,2,25.25,9.5,15,20.3,1,41.33,315.17,2.06,0.86,0.1102,2.84,8.48,0.19,2.84,0,0,0,0,0,0,0,0,0,0,0,21.97,21.97,0,7.72,40.97,21.97,21.97,3,0,100,,10,41,3.3,27.08,4,7,7,7,16,14,14,29.79,19.97,211.9,0.62,1.66,1.34,91.47,3.14,9.38,0.21,,,,,,,,,,,
Joe Burrow,,0,QB,6600,CIN,vs CAR,19,24.75,8.6,20.9,24.7,1,38.23,295.33,1.94,0.75,0.1735,4.13,14.69,0.28,4.13,0,0,0,0,0,0,0,0,0,0,0,21.97,21.97,0,9.07,39.17,21.97,21.97,8,0,100,,25,60,3.3,19.14,2.9,8,7,7,17,14,14,36.08,24.68,282.45,0.71,3.45,1.82,100.5,3.13,11.13,0.21,,,,,,,,,,,
Joe Mixon,,0,RB,6500,CIN,vs CAR,13,24.75,8.6,18.2,14.6,0,0,0,0,0,0.7143,17.02,68.83,0.47,24.45,0.1943,7.43,6.07,45.32,0.25,0,0,0,0,0,0,21.81,21.81,0,8.91,39.01,21.81,21.81,1,0,100,,1,45,3.4,58.10,8.9,10,4,4,18,15,15,0.01,0.01,0.08,,,0.01,1.68,16.67,67.41,0.46,3.5,2.86,21.06,0.12,,,,,,,
Tom Brady,,0,QB,6000,TB,vs LAR,7,22.75,8.5,23.9,16.8,1,42.27,330.23,2.14,0.6,0.0714,1.26,1.63,0.08,1.26,0,0,0,0,0,0,0,0,0,0,0,21.81,21.81,0,9.06,38.81,21.81,21.81,14,0,100,,44,60,3.6,15.20,2.5,10,8,8,23,15,15,38.86,25.22,289.96,0.55,1.63,2.02,99.17,1.84,2.38,0.11,,,,,,,,,,,
A.J. Brown,,0,WR,7800,PHI,@ HOU,7,29.25,10.6,15.6,20.1,0,0,0,0,0,0,0,0,0,11.02,0.338,11.02,6.82,103.56,0.75,0,0,0,0,0,0,21.68,21.68,0,5.78,42.88,21.68,21.68,14,0,100,,41,34,2.8,15.90,2,7,5,5,8,16,16,0.04,,,,,,1.44,0.11,1.44,0.02,7.05,4.36,71.65,0.56,,,,,,,
Geno Smith,,0,QB,5800,SEA,@ ARI,27,23.75,9.7,14.1,19.1,1,32.28,265.08,1.92,0.43,0.2466,6.13,25.19,0.2,6.13,0,0,0,0,0,0,0,0,0,0,0,21.57,21.57,0,7.02,40.97,21.57,21.57,5,0,100,,19,15,3.7,21.80,3.8,12,9,9,25,17,17,20.23,13.95,148.64,0.27,1.95,1,84.89,2.82,11.59,0.09,,,,,,,,,,,
Cooper Kupp,,0,WR,8900,LAR,@ TB,21,19.75,10.5,28.3,26.4,0,0,0,0,0,0,0,0,0,10.44,0.3176,10.44,7.57,95.21,0.73,0,0,0,0,0,0,21.47,21.47,0,5.72,42.47,21.47,21.47,3,0,100,,7,46,2.4,29.80,3.3,1,6,6,1,18,18,0.06,,,,,,1.91,0.26,1.62,0.01,8.89,6.45,81.29,0.62,,,,,,,
Kyler Murray,,0,QB,7400,ARI,vs SEA,15,25.75,8.5,21.6,21.5,1,41.91,301.04,1.72,0.92,0.1513,3.66,20.86,0.22,3.66,0,0,0,0,0,0,0,0,0,0,0,21.41,21.41,0,8.66,38.41,21.41,21.41,7,0,100,,22,62,2.9,20.00,2.7,5,10,10,10,19,19,35.13,23.38,245.89,0.77,2.27,1.48,93.46,6.55,37.34,0.39,,,,,,,,,,,
Chris Godwin,,0,WR,6200,TB,vs LAR,10,22.75,9.7,18.5,12,0,0,0,0,0,0,0,0,0,11.04,0.2611,11.04,7.66,98.06,0.62,0,0,0,0,0,0,21.19,21.19,0,6.64,40.59,21.19,21.19,23,0,100,,67,33,3.4,10.70,1.7,19,7,7,21,20,20,,,,,,,,0.1,0.49,0.01,7.05,4.89,65.43,0.38,,,,,,,
Jaylen Waddle,,0,WR,7400,MIA,@ CHI,2,25.25,9.7,15.6,19.7,0,0,0,0,0,0,0,0,0,11.62,0.2812,11.62,8.35,93.41,0.58,0,0,0,0,0,0,21.17,21.17,0,6.62,40.57,21.17,21.17,7,0,100,,24,43,2.9,19.50,2.6,9,8,8,10,21,21,,,,,,,,0.17,0.83,0.04,8.46,6.08,72.58,0.46,,,,,,,
Justin Jefferson,,0,WR,8600,MIN,@ WAS,26,23.25,10.7,20.2,22.9,0,0,0,0,0,0,0,0,0,10.78,0.3109,10.78,7.25,104.96,0.53,0,0,0,0,0,0,20.93,20.93,0,4.88,42.33,20.93,20.93,4,0,100,,9,47,2.4,28.50,3.3,2,9,9,3,22,22,0.12,0.07,1.41,,,,10.47,0.22,0.63,0.02,9.17,6.17,93.02,0.46,,,,,,,
Derrick Henry,,0,RB,8500,TEN,@ KC,7,15.75,12.4,24.5,22.5,0,0,0,0,0,0.7297,21.48,103.58,0.94,24.78,0.15,3.3,2.53,17.8,0.06,0,0,0,0,0,0,20.67,20.67,0,2.07,45.47,20.67,20.67,4,0,100,,13,24,2.4,26.50,3.1,2,5,5,4,23,23,0.05,0.04,0.22,,,0.02,7.98,17.32,83.52,0.76,1.59,1.22,10.75,0.03,,,,,,,
DeAndre Hopkins,,0,WR,7900,ARI,vs SEA,9,25.75,8.9,14.7,30.1,0,0,0,0,0,0,0,0,0,11.73,0.28,11.73,7.39,92.88,0.65,0,0,0,0,0,0,20.58,20.58,0,7.23,38.38,20.58,20.58,19,0,100,,54,53,2.6,13.60,1.7,6,10,10,7,24,24,0.03,0.01,0.05,0.01,,0.01,0.28,0.04,0.11,,10.2,6.43,82.83,0.55,,,,,,,
Tyler Lockett,,0,WR,6100,SEA,@ ARI,18,23.75,9.9,16,15.1,0,0,0,0,0,0,0,0,0,10.48,0.3247,10.48,7.5,92.57,0.62,0,0,0,0,0,0,20.48,20.48,0,5.63,40.28,20.48,20.48,11,0,100,,32,25,3.4,17.70,2.9,20,11,11,22,25,25,,,,,,,,0.32,2.14,0.01,5.84,4.18,57.01,0.4,,,,,,,
Aaron Rodgers,,0,QB,5900,GB,@ DET,30,26.75,8.7,21.1,14.9,1,37.99,276.68,2.4,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.26,20.26,0,7.21,37.66,20.26,20.26,13,0,100,,38,60,3.4,16.64,2.8,11,11,11,24,26,26,35.57,23.1,260.28,0.38,2.33,2.13,102.91,2.81,13.67,0.12,,,,,,,,,,,
Josh Jacobs,,0,RB,7300,LV,@ JAC,26,24.75,8.6,15.7,21.4,0,0,0,0,0,0.7745,16.77,74.46,0.66,22.61,0.1348,5.84,4.63,32.07,0.14,0,0,0,0,0,0,20.08,20.08,0,7.18,37.28,20.08,20.08,16,0,100,,63,48,2.8,11.70,1.6,6,6,6,11,27,27,,,,,,,,16.98,75.39,0.67,3.29,2.61,18.59,,,,,,,,
Aaron Jones,!,0,RB,7400,GB,@ DET,30,26.75,11.1,16.4,17.3,0,0,0,0,0,0.5376,14.25,72.69,0.67,19.64,0.1419,5.39,4.01,31.5,0.27,0,0,0,0,0,0,20.07,20.07,0,3.42,42.27,20.07,20.07,26,0,100,,97,34,2.7,6.50,0.9,5,7,7,10,28,28,,,,,,,,12.31,62.79,0.58,3.91,2.91,22.74,0.2,,,,,,,
Travis Kelce,,0,TE,7800,KC,vs TEN,31,29.75,9.2,17.8,21.8,0,0,0,0,0,0,0,0,0,9.76,0.2557,9.76,6.99,88.24,0.7,0,0,0,0,0,0,20.01,20.01,0,6.21,38.41,20.01,20.01,2,0,100,,17,48,2.6,23.60,3,1,1,1,8,29,29,0.03,0.02,0.05,0.01,,0.01,1.83,0.07,0.12,0.02,8.27,5.92,74.73,0.54,,,,,,,
Mike Evans,,0,WR,7200,TB,vs LAR,10,22.75,10,17.9,17.2,0,0,0,0,0,0,0,0,0,10.52,0.2488,10.52,6.11,89.65,0.74,0,0,0,0,0,0,19.52,19.52,0,4.52,39.52,19.52,19.52,31,0,100,,82,42,2.7,9.00,1.3,11,12,12,12,30,30,,,,,,,,0.01,0.08,,8.62,5.01,76.76,0.59,,,,,,,
Travis Etienne,,0,RB,6300,JAC,vs LV,21,22.75,7.7,0,13.6,0,0,0,0,0,0.6763,19.38,120.29,0.42,23.05,0.0973,3.67,2.41,21.06,0.07,0,0,0,0,0,0,19.49,19.49,0,7.94,34.89,19.49,19.49,3,0,100,,8,43,3.1,29.60,4.7,12,8,8,20,31,31,,,,,,,,11.5,71.38,0.25,3.25,2.13,19.63,,,,,,,,
Justin Fields,,0,QB,5300,CHI,vs MIA,20,21.25,7.6,12.1,16.2,1,31.57,227.19,1.08,1.18,0.2812,9.31,53.09,0.31,9.31,0,0,0,0,0,0,0,0,0,0,0,19.4,19.4,0,8,34.6,19.4,19.4,1,0,100,,2,45,3.7,45.72,8.6,17,12,12,30,32,32,21.45,12.6,153.45,0.8,3.35,0.7,74.21,7.4,42.2,0.25,,,,,,,,,,,
Kirk Cousins,,0,QB,6200,MIN,@ WAS,21,23.25,7.9,19.5,18.2,1,34.68,277.06,1.85,0.66,0.0928,2.02,6.36,0.15,2.02,0,0,0,0,0,0,0,0,0,0,0,19.36,19.36,0,7.51,35.16,19.36,19.36,12,0,100,,35,60,3.1,17.40,2.8,9,13,13,21,33,33,34.29,23.15,262.49,0.65,2.09,1.8,101.32,2.13,6.71,0.16,,,,,,,,,,,
Tee Higgins,,0,WR,7300,CIN,vs CAR,8,24.75,9.1,16.6,15.1,0,0,0,0,0,0,0,0,0,9.89,0.2588,9.89,6.41,94.59,0.57,0,0,0,0,0,0,19.29,19.29,0,5.64,37.49,19.29,19.29,21,0,100,,57,40,2.6,13.00,1.8,10,13,13,11,34,34,,,,,,,,0.13,0.7,,7.45,4.83,70.3,0.43,,,,,,,
Trevor Lawrence,,0,QB,5200,JAC,vs LV,31,22.75,6.2,13.4,17.1,1,37.67,248,1.42,0.99,0.2093,6,25.98,0.3,6,0,0,0,0,0,0,0,0,0,0,0,19.01,19.01,0,9.71,31.41,19.01,19.01,10,0,100,,32,57,3.7,17.70,3.4,18,14,14,31,35,35,35.16,21.28,219.24,0.92,1.76,0.88,77.26,4,17.32,0.2,,,,,,,,,,,
DK Metcalf,,0,WR,6400,SEA,@ ARI,18,23.75,8.8,14.5,12.9,0,0,0,0,0,0,0,0,0,10.48,0.3247,10.48,6.33,84.31,0.7,0,0,0,0,0,0,18.96,18.96,0,5.76,36.56,18.96,18.96,16,0,100,,47,41,3,14.70,2.3,17,14,14,19,36,36,,,,,,,,0.05,0.28,,7.42,4.48,65.97,0.58,,,,,,,
Deon Jackson,,0,RB,5200,IND,@ NE,4,18.25,9.4,3,8.2,0,0,0,0,0,0.7463,20.14,61.32,0.94,23.72,0.1244,3.58,3.58,28.87,0.11,0,0,0,0,0,0,18.9,18.9,0,4.8,37.7,18.9,18.9,30,0,100,,104,0,3.6,5.60,1.1,23,9,9,31,37,37,,,,,,,,5.38,16.38,0.25,1.75,1.75,13.5,,,,,,,,
D'Onta Foreman,,0,RB,6000,CAR,@ CIN,18,17.75,8.4,11.1,8.3,0,0,0,0,0,0.8702,23.62,106.13,0.68,25.51,0.0634,1.89,1.43,18.93,0.06,0,0,0,0,0,0,18.38,18.38,0,5.78,35.18,18.38,18.38,34,0,100,,118,0,3.1,4.10,0.7,15,10,10,23,38,38,,,,,,,,9.37,42.1,0.27,0.83,0.63,8.7,0.03,,,,,,,
Andy Dalton,,0,QB,5700,NO,vs BAL,25,22.25,7.6,12.5,17.2,1,32.97,254.57,1.73,0.78,0.1014,3.15,10.4,0.14,3.15,0,0,0,0,0,0,0,0,0,0,0,18.2,18.2,0,6.8,33.4,18.2,18.2,20,0,100,,62,54,3.2,11.90,2.1,13,15,15,26,39,39,32.99,20.71,233.28,0.78,2.18,1.46,89.62,2.65,8.75,0.12,,,,,,,,,,,
Curtis Samuel,,0,WR,5200,WAS,vs MIN,23,20.25,6.9,2,12.8,0,0,0,0,0,0.074,1.9,12.19,0.1,12.22,0.2935,10.32,6.57,68.93,0.42,0,0,0,0,0,0,17.8,17.8,0,7.45,31.6,17.8,17.8,13,0,100,,36,35,3.4,17.10,3.3,29,15,15,31,40,40,,,,,,,,1.45,9.3,0.08,5.72,3.64,39.13,0.25,,,,,,,
DJ Moore,,0,WR,5800,CAR,@ CIN,6,17.75,7.7,14.6,12.6,0,0,0,0,0,0.032,0.87,7.71,0.03,11.69,0.3621,10.82,6.42,87.12,0.28,0,0,0,0,0,0,17.76,17.76,0,6.21,33.16,17.76,17.76,43,0,100,,115,44,3.1,4.40,0.8,23,16,16,25,41,41,0.01,,,,,,0.56,0.51,4.52,,7.92,4.7,66.73,0.24,,,,,,,
Marcus Mariota,,0,QB,5300,ATL,vs LAC,24,23.75,9.7,2.1,17.3,1,30.16,231.39,1.36,0.76,0.1431,4,23.62,0.2,4,0,0,0,0,0,0,0,0,0,0,0,17.5,17.5,0,2.95,36.9,17.5,17.5,24,0,100,,90,36,3.3,7.56,1.4,17,16,16,30,42,42,24.52,15.34,184.09,0.62,2.23,1.1,83.62,3.95,23.32,0.2,,,,,,,,,,,
Taylor Heinicke,,0,QB,5400,WAS,vs MIN,22,20.25,8.4,15.2,19.3,1,35.17,247.43,1.5,1.14,0.1203,3.09,15.84,0.08,3.09,0,0,0,0,0,0,0,0,0,0,0,16.82,16.82,0,4.22,33.62,16.82,16.82,15,0,100,,48,33,3.1,14.66,2.7,16,17,17,29,43,43,25.67,16.67,176.21,0.83,1.83,1,87.47,3.08,15.79,0.08,,,,,,,,,,,
Raheem Mostert,,0,RB,6100,MIA,@ CHI,31,25.25,9.8,2,10.4,0,0,0,0,0,0.512,13.19,72.24,0.52,17.08,0.094,3.89,2.86,23.9,0.2,0,0,0,0,0,0,16.79,16.79,0,2.09,36.39,16.79,16.79,23,0,100,,84,6,2.8,8.60,1.4,14,11,11,22,44,44,,,,,,,,9.73,53.29,0.38,1.58,1.16,10.36,0.09,,,,,,,
Jared Goff,,0,QB,5500,DET,vs GB,4,22.75,8.7,15.1,18.5,1,35.56,254.5,1.59,0.75,0.0691,1.71,3.83,0.08,1.71,0,0,0,0,0,0,0,0,0,0,0,16.65,16.65,0,3.6,34.05,16.65,16.65,19,0,100,,59,50,3,12.38,2.3,15,18,18,28,45,45,35.02,22.3,256.5,0.74,1.99,1.48,91.88,2.15,4.82,0.1,,,,,,,,,,,
Leonard Fournette,,0,RB,6600,TB,vs LAR,2,22.75,8.9,19.6,17,0,0,0,0,0,0.6735,11.91,47.21,0.41,18.22,0.1492,6.31,5.01,34.05,0.13,0,0,0,0,0,0,16.38,16.38,0,3.03,34.18,16.38,16.38,18,0,100,,66,48,2.5,11.00,1.7,9,12,12,17,46,46,0.01,,,,,,0.51,15.4,61.04,0.53,5,3.97,28.19,0.1,,,,,,,
Matthew Stafford,,0,QB,5600,LAR,@ TB,16,19.75,7.3,22.5,13.9,1,32.87,249.3,1.65,0.68,0.0513,0.99,3.28,0.02,0.99,0,0,0,0,0,0,0,0,0,0,0,16.34,16.34,0,5.39,30.94,16.34,16.34,22,0,100,,69,61,2.9,10.50,1.9,14,19,19,27,47,47,35.52,23.52,268.69,0.74,2.46,1.78,98.22,2.11,7,0.05,,,,,,,,,,,
Terry McLaurin,,0,WR,5900,WAS,vs MIN,23,20.25,8.1,13.3,13.4,0,0,0,0,0,0,0,0,0,9.34,0.2657,9.34,5.85,81.32,0.38,0,0,0,0,0,0,16.26,16.26,0,4.11,32.46,16.26,16.26,24,0,100,,68,43,2.8,10.60,1.8,22,17,17,24,48,48,,,,,,,,0.13,0.96,,7.58,4.75,67.6,0.33,,,,,,,
Josh Palmer,,0,WR,5100,LAC,@ ATL,32,25.75,5.4,6.2,9.4,0,0,0,0,0,0,0,0,0,9.59,0.2219,9.59,6.36,64.88,0.55,0,0,0,0,0,0,16.15,16.15,0,8.05,26.95,16.15,16.15,5,0,100,,20,24,3.2,21.60,4.2,30,18,18,32,49,49,,,,,,,,0.1,0.48,,4.24,2.81,28.24,0.24,,,,,,,
Zach Wilson,,0,QB,5100,NYJ,vs BUF,3,17.75,6.6,12.6,13.9,1,35.97,241.02,1.1,1.1,0.129,2.64,13.43,0.3,2.64,0,0,0,0,0,0,0,0,0,0,0,16.08,16.08,0,6.18,29.28,16.08,16.08,21,0,100,,64,49,3.2,11.56,2.3,19,20,20,32,50,50,29.17,16.17,187.89,0.89,3,0.67,71.87,2.5,12.72,0.28,,,,,,,,,,,
Antonio Gibson,,0,RB,5500,WAS,vs MIN,19,20.25,7.5,14.9,13.1,0,0,0,0,0,0.3518,9.03,37.43,0.35,15.41,0.1815,6.38,5.17,35.89,0.22,0,0,0,0,0,0,15.92,15.92,0,4.67,30.92,15.92,15.92,25,0,100,,96,48,2.9,6.70,1.2,20,13,13,28,51,51,,,,,,,,13.33,55.26,0.51,3.44,2.79,19.82,0.13,,,,,,,
Dameon Pierce,,0,RB,6000,HOU,vs PHI,14,16.25,7.3,0,15.8,0,0,0,0,0,0.8182,16.62,74.02,0.41,20.85,0.1361,4.23,3.53,16.72,0.14,0,0,0,0,0,0,15.9,15.9,0,4.95,30.5,15.9,15.9,8,0,100,,37,54,2.7,16.90,2.8,15,14,14,23,52,52,,,,,,,,17.29,77,0.43,3.43,2.86,14,0.14,,,,,,,
Garrett Wilson,,0,WR,4800,NYJ,vs BUF,15,17.75,9.6,0,11.8,0,0,0,0,0,0,0,0,0,10.99,0.3056,10.99,6.33,76.88,0.3,0,0,0,0,0,0,15.82,15.82,0,1.42,35.02,15.82,15.82,10,0,100,,30,19,3.3,17.90,3.7,33,19,19,35,53,53,,,,,,,,0.13,-0.25,,7.38,4.25,53.63,0.25,,,,,,,
Dalvin Cook,,0,RB,7800,MIN,@ WAS,5,23.25,9.8,16.5,16.6,0,0,0,0,0,0.701,15.28,71.79,0.6,18.63,0.0965,3.35,2.62,19.89,0.05,0,0,0,0,0,0,15.69,15.69,0,0.99,35.29,15.69,15.69,13,0,100,,54,49,2,13.60,1.7,3,15,15,8,54,54,,,,,,,,17.52,82.31,0.69,4.03,3.15,24.93,0.06,,,,,,,
Michael Pittman,,0,WR,6800,IND,@ NE,13,18.25,7.9,14.4,16.4,0,0,0,0,0,0,0,0,0,8.96,0.3114,8.96,6.13,76.67,0.29,0,0,0,0,0,0,15.54,15.54,0,3.69,31.34,15.54,15.54,39,0,100,,108,37,2.3,5.20,0.8,13,20,20,15,55,55,,,,,,,,0.24,2.13,,7.08,4.84,57.97,0.21,,,,,,,
Devin Duvernay,,0,WR,4900,BAL,@ NO,12,23.25,4.9,4.8,12.1,0,0,0,0,0,0,0,0,0,8.6,0.2313,8.6,6.3,63.59,0.48,0,0,0,0,0,0,15.54,15.54,0,8.19,25.34,15.54,15.54,63,0,100,,142,20,3.2,1.50,0.3,32,20,20,34,55,55,,,,,,,,0.49,4.73,0.03,2.84,2.08,21.24,0.14,,,,,,,
Gabriel Davis,,0,WR,6900,BUF,@ NYJ,16,27.75,10.3,11.5,14.1,0,0,0,0,0,0,0,0,0,6.9,0.1628,6.9,3.79,69.33,0.76,0,0,0,0,0,0,15.28,15.28,0,0,35.88,15.28,15.28,38,0,100,,107,0,2.2,5.30,0.8,12,21,21,14,56,56,,,,,,,,0.02,,,4.33,2.38,45.07,0.52,,,,,,,
Miles Sanders,,0,RB,6700,PHI,@ HOU,32,29.25,7.9,10,14.9,0,0,0,0,0,0.4946,18.92,94.98,0.44,21.33,0.0739,2.41,1.72,12.14,0.03,0,0,0,0,0,0,15.25,15.25,0,3.4,31.05,15.25,15.25,12,0,100,,43,40,2.3,15.30,2.3,8,16,16,16,57,57,,,,,,,,12.55,63,0.29,3.47,2.47,18.9,0.06,,,,,,,
Foster Moreau,,0,TE,3200,LV,@ JAC,11,24.75,4.4,5.7,7.1,0,0,0,0,0,0,0,0,0,7.8,0.1798,7.8,5.49,59.79,0.63,0,0,0,0,0,0,15.25,15.25,0,8.65,24.05,15.25,15.25,22,0,100,,106,28,4.8,5.40,1.7,15,2,2,51,57,57,,,,,,,,,,,2.97,2.09,23.43,0.29,,,,,,,
Allen Lazard,,0,WR,6000,GB,@ DET,28,26.75,7,9.6,14.5,0,0,0,0,0,0,0,0,0,7.32,0.1926,7.32,4.89,66.77,0.6,0,0,0,0,0,0,15.17,15.17,0,4.67,29.17,15.17,15.17,9,0,100,,27,31,2.5,18.70,3.1,21,22,22,23,58,58,,,,,,,,0.15,1.6,,4.66,3.11,42.3,0.4,,,,,,,
